la_fabrique_de_crimes_01_f000001|Voici déjà plusieurs années que les fabricants de crimes ne livrent rien.|Voici déjà plusieurs années que les fabricants de crimes ne livrent rien.
la_fabrique_de_crimes_07_f000041|Étais-je mûre pour la poésie? Traversais-je un de ces quarts d'heure bénis, que l'Être suprême, dans sa sollicitude, a marqués pour le sentiment? Je ne sais.|Étais-je mûre pour la poésie? Traversais-je un de ces quarts d'heure bénis, que l'Être suprême, dans sa sollicitude, a marqués pour le sentiment? Je ne sais.
la_fabrique_de_crimes_07_f000042|J'ignore tout. On n'a jamais pu m'apprendre l'arithmétique, mais j'ai mon coeur.|J'ignore tout. On n'a jamais pu m'apprendre l'arithmétique, mais j'ai mon coeur.
la_fabrique_de_crimes_07_f000043|J'appelais Olinda, la première de mes neuf caméristes, et je lui dis: -- Olinda, roule-moi une cigarette, je ne sens plus mon âme!|J'appelais Olinda, la première de mes neuf caméristes, et je lui dis: -- Olinda, roule-moi une cigarette, je ne sens plus mon âme!
la_fabrique_de_crimes_07_f000044|Elle était grecque de naissance, mais française par le goût des loteries autorisées, dont les gros lots la rattachaient à l'espérance.|Elle était grecque de naissance, mais française par le goût des loteries autorisées, dont les gros lots la rattachaient à l'espérance.
la_fabrique_de_crimes_07_f000045|Elle a perdu depuis, dans ces entreprises, son innocence et ses économies.|Elle a perdu depuis, dans ces entreprises, son innocence et ses économies.
la_fabrique_de_crimes_07_f000046|Pour un franc vous pouvez y gagner des sommes importantes. Mais vous ne voyez jamais arriver cette somme, ni revenir votre franc.|Pour un franc vous pouvez y gagner des sommes importantes. Mais vous ne voyez jamais arriver cette somme, ni revenir votre franc.
la_fabrique_de_crimes_07_f000047|-- Olinda, repris-je, d'où vient que la voix de ce jeune porteur d'eau me brûle les bronches et met des battements insensés sous l'étoffe de mon corsage?|-- Olinda, repris-je, d'où vient que la voix de ce jeune porteur d'eau me brûle les bronches et met des battements insensés sous l'étoffe de mon corsage?
la_fabrique_de_crimes_07_f000048|Je ne l'avais pas vu, mais mon imagination désordonnée avait deviné l'homme de vingt-huit ans à son organe enchanteur.|Je ne l'avais pas vu, mais mon imagination désordonnée avait deviné l'homme de vingt-huit ans à son organe enchanteur.
la_fabrique_de_crimes_07_f000049|Olinda me répondit: -- Pour faire une connaissance, autant attendre un officier ou quelqu'un de chez l'agent de change. Moi, un porteur d'eau, ça ne me chausse pas!|Olinda me répondit: -- Pour faire une connaissance, autant attendre un officier ou quelqu'un de chez l'agent de change. Moi, un porteur d'eau, ça ne me chausse pas!
la_fabrique_de_crimes_07_f000050|L'insensée! Je ne crache ni sur les officiers ni sur les employés de la haute banque; mais il y a porteur d'eau et porteur d'eau.|L'insensée! Je ne crache ni sur les officiers ni sur les employés de la haute banque; mais il y a porteur d'eau et porteur d'eau.
la_fabrique_de_crimes_07_f000051|Ma fièvre me disait que celui-ci était un prince.|Ma fièvre me disait que celui-ci était un prince.
la_fabrique_de_crimes_07_f000052|Que dis-je, un prince, c'était le Fils de la Condamnée, c'était Coriolan, le mystérieux aborigène des ruines de Palmyre, c'était le docteur Fandango!|Que dis-je, un prince, c'était le Fils de la Condamnée, c'était Coriolan, le mystérieux aborigène des ruines de Palmyre, c'était le docteur Fandango!
la_fabrique_de_crimes_07_f000053|Olinda, pure comme l'acier et fidèle autant que lui, me roula une cigarette.|Olinda, pure comme l'acier et fidèle autant que lui, me roula une cigarette.
la_fabrique_de_crimes_07_f000054|Je préférai une prise de tabac, puis un chou à la crème, puis n'importe quelle bagatelle peu coûteuse. J'étais hystérique et fantasque, cela peut arriver à tout le monde.|Je préférai une prise de tabac, puis un chou à la crème, puis n'importe quelle bagatelle peu coûteuse. J'étais hystérique et fantasque, cela peut arriver à tout le monde.
la_fabrique_de_crimes_07_f000055|Ma seconde femme de chambre, Herminie, native du bois Meudon, où elle avait été trouvée au bord de l'eau, dans un foulard démarqué,|Ma seconde femme de chambre, Herminie, native du bois Meudon, où elle avait été trouvée au bord de l'eau, dans un foulard démarqué,
la_fabrique_de_crimes_07_f000056|peu d'heures après sa naissance, probablement entachée d'inconséquences, entra en ce moment et déposa à mes pieds un bouquet de fleurs rares, entouré de papier glacé.|peu d'heures après sa naissance, probablement entachée d'inconséquences, entra en ce moment et déposa à mes pieds un bouquet de fleurs rares, entouré de papier glacé.
la_fabrique_de_crimes_07_f000057|Je tressaillis, car leur odeur attaqua mes nerfs d'une façon à la fois délicieuse et irritante.|Je tressaillis, car leur odeur attaqua mes nerfs d'une façon à la fois délicieuse et irritante.
la_fabrique_de_crimes_07_f000058|Je mordis la troisième de mes suivantes et Luciole, la quatrième, une Suissesse sans goitre de la plus grande beauté, ayant témoigné sa surprise,|Je mordis la troisième de mes suivantes et Luciole, la quatrième, une Suissesse sans goitre de la plus grande beauté, ayant témoigné sa surprise,
la_fabrique_de_crimes_07_f000059|reçut de moi un dangereux coup de pied dans les lombes.|reçut de moi un dangereux coup de pied dans les lombes.
la_fabrique_de_crimes_07_f000060|Cela était si éloigné de mon caractère que mes autres confidentes s'enfuirent et ne sont jamais revenues.|Cela était si éloigné de mon caractère que mes autres confidentes s'enfuirent et ne sont jamais revenues.
la_fabrique_de_crimes_07_f000061|À l'intérieur du bouquet de fleurs rares était une lettre en chiffres, accompagnée d'un autre papier qui en donnait la clef.|À l'intérieur du bouquet de fleurs rares était une lettre en chiffres, accompagnée d'un autre papier qui en donnait la clef.
la_fabrique_de_crimes_07_f000062|Si j'avais gardé quelques doutes, ils se seraient évanouis à la vue de cette double précaution, dénotant une grande délicatesse.|Si j'avais gardé quelques doutes, ils se seraient évanouis à la vue de cette double précaution, dénotant une grande délicatesse.
la_fabrique_de_crimes_07_f000063|-- Qui que tu sois, m'écriai-je en moi-même, ô mon jeune inconnu!|-- Qui que tu sois, m'écriai-je en moi-même, ô mon jeune inconnu!
la_fabrique_de_crimes_07_f000064|tu n'appartiens pas à la simple bourgeoisie.|tu n'appartiens pas à la simple bourgeoisie.
la_fabrique_de_crimes_07_f000065|La lettre était ainsi conçue: 17, 34594, 2903549669...|La lettre était ainsi conçue: 17, 34594, 2903549669...
la_fabrique_de_crimes_07_f000066|Mais il vaut mieux vous la traduire en langue vulgaire: Ma chère demoiselle Elvire,|Mais il vaut mieux vous la traduire en langue vulgaire: Ma chère demoiselle Elvire,
la_fabrique_de_crimes_07_f000067|La génération spontanée est une idée toute moderne.|La génération spontanée est une idée toute moderne.
la_fabrique_de_crimes_07_f000068|J'ai lieu de croire que j'en suis le produit. Mon berceau fut la solitude sablonneuse et aride.|J'ai lieu de croire que j'en suis le produit. Mon berceau fut la solitude sablonneuse et aride.
la_fabrique_de_crimes_07_f000069|Je n'ai ni père, ni mère, ni oncle, ni tante, ni cousin, ni cousine.|Je n'ai ni père, ni mère, ni oncle, ni tante, ni cousin, ni cousine.
la_fabrique_de_crimes_07_f000070|Je pourrais prolonger cette énumération, je préfère vous dire en un seul mot que je suis à l'abri de toute espèce de famille.|Je pourrais prolonger cette énumération, je préfère vous dire en un seul mot que je suis à l'abri de toute espèce de famille.
la_fabrique_de_crimes_07_f000071|Cela me rend indépendant et pensif.|Cela me rend indépendant et pensif.
la_fabrique_de_crimes_07_f000072|Ma famille, c'est l'humanité!|Ma famille, c'est l'humanité!
la_fabrique_de_crimes_07_f000073|Vous me demanderez peut-être alors pourquoi on m'appelle le Fils de la Condamnée.|Vous me demanderez peut-être alors pourquoi on m'appelle le Fils de la Condamnée.
la_fabrique_de_crimes_07_f000074|Ceci monte une courte explication. Vous n'ignorez pas les soins que les Arabes accordent à leurs coursiers.|Ceci monte une courte explication. Vous n'ignorez pas les soins que les Arabes accordent à leurs coursiers.
la_fabrique_de_crimes_07_f000075|Non seulement ils les nettoient avec minutie, mais encore ils partagent avec eux leur propre nourriture. En outre, ils en éloignent avec sollicitude toute cause de maladie.|Non seulement ils les nettoient avec minutie, mais encore ils partagent avec eux leur propre nourriture. En outre, ils en éloignent avec sollicitude toute cause de maladie.
la_fabrique_de_crimes_07_f000076|Par une claire matinée de printemps, Saali, la plus belle jument des haras de Ben Hadour, fut accusée de maladie.|Par une claire matinée de printemps, Saali, la plus belle jument des haras de Ben Hadour, fut accusée de maladie.
la_fabrique_de_crimes_07_f000077|Le conseil des vétérinaires du Sahara l'examina et la condamna à être abattue, mais Abd-el-Kader, son maître, chargé de l'exécution, eut pitié d'elle.|Le conseil des vétérinaires du Sahara l'examina et la condamna à être abattue, mais Abd-el-Kader, son maître, chargé de l'exécution, eut pitié d'elle.
la_fabrique_de_crimes_07_f000078|Il fallait cependant qu'elle disparût, dans l'intérêt des autres cavales.|Il fallait cependant qu'elle disparût, dans l'intérêt des autres cavales.
la_fabrique_de_crimes_07_f000079|Abd-el-Kader lui attacha au cou un sac de dattes et un panier de maïs, puis, l'ayant conduite aux confins du territoire, il lui dit en versant des larmes: Ô ma cavale préférée, Allah est Allah! tu es incommodée d'une maladie incurable.|Abd-el-Kader lui attacha au cou un sac de dattes et un panier de maïs, puis, l'ayant conduite aux confins du territoire, il lui dit en versant des larmes: Ô ma cavale préférée, Allah est Allah! tu es incommodée d'une maladie incurable.
la_fabrique_de_crimes_07_f000080|Fuis jusqu'aux ruines de Palmyre où est l'herbe de la guérison.|Fuis jusqu'aux ruines de Palmyre où est l'herbe de la guérison.
la_fabrique_de_crimes_07_f000081|Palmyre, aussi nommée Cadmor, dut son origine au roi Salomon, célèbre par ses dérèglements et sa sagesse.|Palmyre, aussi nommée Cadmor, dut son origine au roi Salomon, célèbre par ses dérèglements et sa sagesse.
la_fabrique_de_crimes_07_f000082|Elle fit un grand commerce de commissions et de transit, sous l'incomparable Zénobie, veuve d'Odenat. Des voyageurs y trouvèrent mon berceau, je suis musulman par mon baptême.|Elle fit un grand commerce de commissions et de transit, sous l'incomparable Zénobie, veuve d'Odenat. Des voyageurs y trouvèrent mon berceau, je suis musulman par mon baptême.
la_fabrique_de_crimes_07_f000083|J'étais né depuis quelques heures au sein même des splendides décombres, sur le seuil d'un palais ruiné qui portait le n° 179 de la rue de l'Euphrate.|J'étais né depuis quelques heures au sein même des splendides décombres, sur le seuil d'un palais ruiné qui portait le n 179 de la rue de l'Euphrate.
la_fabrique_de_crimes_07_f000084|Quel fut mon étonnement de voir arriver Saali? On naît médecin. Je la guéris malgré mon peu d'expérience.|Quel fut mon étonnement de voir arriver Saali? On naît médecin. Je la guéris malgré mon peu d'expérience.
la_fabrique_de_crimes_07_f000085|En retour, elle me nourrit de son lait.|En retour, elle me nourrit de son lait.
la_fabrique_de_crimes_07_f000086|Saali avait été condamnée par le conseil des vétérinaires du Sahara;|Saali avait été condamnée par le conseil des vétérinaires du Sahara;
la_fabrique_de_crimes_07_f000087|j'étais le nourrisson de Saali; ne vous étonnez plus qu'on m'ait nommé le Fils de la Condamnée, rien de plus logique...|j'étais le nourrisson de Saali; ne vous étonnez plus qu'on m'ait nommé le Fils de la Condamnée, rien de plus logique...
la_fabrique_de_crimes_07_f000088|Ici, l'atelier des Piqueuses de bottines manifesta son mécontentement par des murmures et Anaïs, la gérante, crut pouvoir demander à la belle Elvire:|Ici, l'atelier des Piqueuses de bottines manifesta son mécontentement par des murmures et Anaïs, la gérante, crut pouvoir demander à la belle Elvire:
la_fabrique_de_crimes_07_f000089|-- Est-ce qu'elle va durer longtemps, la lettre du docteur?|-- Est-ce qu'elle va durer longtemps, la lettre du docteur?
la_fabrique_de_crimes_07_f000090|Léocadie ajouta: -- Elle est drôlement tannante!|Léocadie ajouta: -- Elle est drôlement tannante!
la_fabrique_de_crimes_07_f000091|Elvire de Rudelame-Carthagène, réprima un mouvement de colère.|Elvire de Rudelame-Carthagène, réprima un mouvement de colère.
la_fabrique_de_crimes_07_f000092|-- Vous eussiez mieux aimé, filles du peuple, que le suave Fandango eût reçu le jour dans les cachots de l'inquisition ou au pied de la guillotine!|-- Vous eussiez mieux aimé, filles du peuple, que le suave Fandango eût reçu le jour dans les cachots de l'inquisition ou au pied de la guillotine!
la_fabrique_de_crimes_07_f000093|Il vous faut des émotions acres et poivrées? C'est bien! ma position malheureuse exige une grande prudence, je vais abréger.|Il vous faut des émotions acres et poivrées? C'est bien! ma position malheureuse exige une grande prudence, je vais abréger.
la_fabrique_de_crimes_07_f000094|Saali était musulmane. Quand Fandango fut reçu docteur, il traversa les mers avec elle et vint à Paris.|Saali était musulmane. Quand Fandango fut reçu docteur, il traversa les mers avec elle et vint à Paris.
la_fabrique_de_crimes_07_f000095|Saali traîne maintenant le fiacre de Mustapha. Elle est heureuse.|Saali traîne maintenant le fiacre de Mustapha. Elle est heureuse.
la_fabrique_de_crimes_07_f000096|Je passe une grande quantité de pages et j'arrive à la fin: Mon passé est un abîme, mon présent un poëme, mon avenir une vapeur!|Je passe une grande quantité de pages et j'arrive à la fin: Mon passé est un abîme, mon présent un poëme, mon avenir une vapeur!
la_fabrique_de_crimes_07_f000097|... Voilà pourquoi, ma chère demoiselle, j'ai pris ce déguisement de porteur d'eau, qui était indispensable.|... Voilà pourquoi, ma chère demoiselle, j'ai pris ce déguisement de porteur d'eau, qui était indispensable.
la_fabrique_de_crimes_07_f000098|Minuit sonnant, à l'aide d'un truc connu de moi, je pénétrerai dans votre chambre à coucher par la cheminée.|Minuit sonnant, à l'aide d'un truc connu de moi, je pénétrerai dans votre chambre à coucher par la cheminée.
la_fabrique_de_crimes_07_f000099|Si vous vous y opposez, sonnez du cor par trois fois: si au contraire, vous exaucez mes voeux, mettez une fleur de pervenche à votre boutonnière.|Si vous vous y opposez, sonnez du cor par trois fois: si au contraire, vous exaucez mes voeux, mettez une fleur de pervenche à votre boutonnière.
la_fabrique_de_crimes_07_f000100|Celui qui vous aime plus que la vie, CORIOLAN le Fils de la Condamnée.|Celui qui vous aime plus que la vie, CORIOLAN le Fils de la Condamnée.
la_fabrique_de_crimes_07_f000101|Je n'ai pas besoin de spécifier que cette lettre ne calma en rien ma fièvre brûlante.|Je n'ai pas besoin de spécifier que cette lettre ne calma en rien ma fièvre brûlante.
la_fabrique_de_crimes_07_f000102|Comme j'en achevais la lecture, l'organe de mon séducteur s'éleva au lointain et lança une dernière fois dans l'atmosphère ce cri caractéristique: -- Qui veut d'l'eau... au!|Comme j'en achevais la lecture, l'organe de mon séducteur s'éleva au lointain et lança une dernière fois dans l'atmosphère ce cri caractéristique: -- Qui veut d'l'eau... au!
la_fabrique_de_crimes_07_f000103|J'appelai Olinda et j'eus des spasmes douloureux sur son sein.|J'appelai Olinda et j'eus des spasmes douloureux sur son sein.
la_fabrique_de_crimes_07_f000104|Ma perplexité était indescriptible comme le caméléon lui-même.|Ma perplexité était indescriptible comme le caméléon lui-même.
la_fabrique_de_crimes_07_f000105|Devais-je sonner du cor ou attacher une fleur de pervenche à mon corsage?|Devais-je sonner du cor ou attacher une fleur de pervenche à mon corsage?
la_fabrique_de_crimes_07_f000106|Ma pudeur penchait vers le cuivre, mon amour allait vers la fleur.|Ma pudeur penchait vers le cuivre, mon amour allait vers la fleur.
la_fabrique_de_crimes_07_f000107|Je n'avais jamais vu Coriolan, il est vrai, mais sa lettre dont vous m'avez contrainte à couper la portion, la plus attachante, allumait dans mes veines un véritable incendie.|Je n'avais jamais vu Coriolan, il est vrai, mais sa lettre dont vous m'avez contrainte à couper la portion, la plus attachante, allumait dans mes veines un véritable incendie.
la_fabrique_de_crimes_07_f000108|Néanmoins, la pudeur fut en moi, la plus forte. J'allais saisir le cor, lorsque Olinda qui devinait mon coeur, me tendit la pervenche fatale...|Néanmoins, la pudeur fut en moi, la plus forte. J'allais saisir le cor, lorsque Olinda qui devinait mon coeur, me tendit la pervenche fatale...
la_fabrique_de_crimes_07_f000109|-- À la bonne heure! s'écria d'une seule voix l'atelier des Piqueuses de bottines réunies.|-- À la bonne heure! s'écria d'une seule voix l'atelier des Piqueuses de bottines réunies.
la_fabrique_de_crimes_07_f000110|-- Le sort en était jeté, reprit la jeune accouchée. Je fis un bout de toilette et j'attendis la douzième heure, en proie à des sensations inexprimables.|-- Le sort en était jeté, reprit la jeune accouchée. Je fis un bout de toilette et j'attendis la douzième heure, en proie à des sensations inexprimables.
la_fabrique_de_crimes_07_f000111|Minuit sonna. Un bruit qu'il serait malaisé de définir se fit entendre dans le tuyau de ma cheminée.|Minuit sonna. Un bruit qu'il serait malaisé de définir se fit entendre dans le tuyau de ma cheminée.
la_fabrique_de_crimes_07_f000112|Malheureusement, elle était à la prussienne, Je m'attendais à chaque instant à voir déboucher mon Coriolan, semblable à un immortel, quoiqu'un peu souillé de suie.|Malheureusement, elle était à la prussienne, Je m'attendais à chaque instant à voir déboucher mon Coriolan, semblable à un immortel, quoiqu'un peu souillé de suie.
la_fabrique_de_crimes_07_f000113|Rien ne vint. Le conduit était trop étroit.|Rien ne vint. Le conduit était trop étroit.
la_fabrique_de_crimes_07_f000114|Après une demi-heure d'angoisse, pendant laquelle les gémissements inarticulés de mon séducteur me brisèrent l'âme cent fois, Olinda me dit:|Après une demi-heure d'angoisse, pendant laquelle les gémissements inarticulés de mon séducteur me brisèrent l'âme cent fois, Olinda me dit:
la_fabrique_de_crimes_07_f000115|-- Il n'y a pas à tortiller, il faut aller chercher le fumiste!|-- Il n'y a pas à tortiller, il faut aller chercher le fumiste!
la_fabrique_de_crimes_07_f000116|L'idée d'un pareil scandale m'arracha des hurlements.|L'idée d'un pareil scandale m'arracha des hurlements.
la_fabrique_de_crimes_07_f000117|Le fumiste! à cette heure de la nuit, el qu'allait-il trouver dans le tuyau de la cheminée?|Le fumiste! à cette heure de la nuit, el qu'allait-il trouver dans le tuyau de la cheminée?
la_fabrique_de_crimes_07_f000118|Il faut avoir passé par ces traverses pour en soupçonner l'amertume.|Il faut avoir passé par ces traverses pour en soupçonner l'amertume.
la_fabrique_de_crimes_07_f000119|Mais à de pareilles heures, l'âme se raidit et acquiert un ressort incalculable.|Mais à de pareilles heures, l'âme se raidit et acquiert un ressort incalculable.
la_fabrique_de_crimes_07_f000120|Il me restait quatre confidentes, j'ordonnai à trois d'entre elles de parcourir les corridors de l'hôtel et de verser des narcotiques puissants à tous ceux qui n'étaient pas encore endormis.|Il me restait quatre confidentes, j'ordonnai à trois d'entre elles de parcourir les corridors de l'hôtel et de verser des narcotiques puissants à tous ceux qui n'étaient pas encore endormis.
la_fabrique_de_crimes_07_f000121|Cette précaution me garantissait le mystère.|Cette précaution me garantissait le mystère.
la_fabrique_de_crimes_07_f000122|Quant à Olinda, je l'envoyai chez le fumiste.|Quant à Olinda, je l'envoyai chez le fumiste.
la_fabrique_de_crimes_07_f000123|Elle avait mis un masque pour n'être point reconnue dans l'obscurité.|Elle avait mis un masque pour n'être point reconnue dans l'obscurité.
la_fabrique_de_crimes_07_f000124|Moyennant une somme considérable, le fumiste consentit à quitter les moiteurs de son lit et se laissa bander les yeux.|Moyennant une somme considérable, le fumiste consentit à quitter les moiteurs de son lit et se laissa bander les yeux.
la_fabrique_de_crimes_07_f000125|En cet état, on le fit monter dans un fiacre sans numéro, et après mille détours, on l'arrêta à la porte de l'hôtel.|En cet état, on le fit monter dans un fiacre sans numéro, et après mille détours, on l'arrêta à la porte de l'hôtel.
la_fabrique_de_crimes_07_f000126|Tout y dormait; l'effet du narcotique avait été instantané: Olinda et le fumiste trouvèrent les corridors jonchés de serviteurs plongés dans le repos.|Tout y dormait; l'effet du narcotique avait été instantané: Olinda et le fumiste trouvèrent les corridors jonchés de serviteurs plongés dans le repos.
la_fabrique_de_crimes_07_f000127|Ils entrèrent chez moi par une porte dérobée dont nul ne soupçonnait l'existence, et le fumiste ayant ôté son bandeau, je poussai un long cri de satisfaction.|Ils entrèrent chez moi par une porte dérobée dont nul ne soupçonnait l'existence, et le fumiste ayant ôté son bandeau, je poussai un long cri de satisfaction.
la_fabrique_de_crimes_07_f000128|C'était le Rémouleur!|C'était le Rémouleur!
la_fabrique_de_crimes_07_f000129|-- Je savais tout, me dit-il avec cordialité. J'ai éloigné le vrai fumiste sous un prétexte et j'ai pris place dans son lit, pour le cas où le Fils de la Condamnée aurait besoin de moi... À l'ouvrage!|-- Je savais tout, me dit-il avec cordialité. J'ai éloigné le vrai fumiste sous un prétexte et j'ai pris place dans son lit, pour le cas où le Fils de la Condamnée aurait besoin de moi... À l'ouvrage!
la_fabrique_de_crimes_07_f000130|Il se mit alors à attaquer le mur de ma chambre avec un marteau de maçon entouré de vieux linge, pour empêcher le bruit.|Il se mit alors à attaquer le mur de ma chambre avec un marteau de maçon entouré de vieux linge, pour empêcher le bruit.
la_fabrique_de_crimes_07_f000131|Olinda avait eu une jeunesse déréglée, mais elle n'avait jamais connu le véritable amour.|Olinda avait eu une jeunesse déréglée, mais elle n'avait jamais connu le véritable amour.
la_fabrique_de_crimes_07_f000132|Â son regard qui enveloppait le faux fumiste comme une flamme, je devinai le besoin secret de son coeur.|Â son regard qui enveloppait le faux fumiste comme une flamme, je devinai le besoin secret de son coeur.
la_fabrique_de_crimes_07_f000133|-- Jeune Grecque, lui dis-je, veux-tu épouser cet inconnu?|-- Jeune Grecque, lui dis-je, veux-tu épouser cet inconnu?
la_fabrique_de_crimes_07_f000134|Elle se jeta à mes pieds et embrassa mes genoux pour cacher son trouble.|Elle se jeta à mes pieds et embrassa mes genoux pour cacher son trouble.
la_fabrique_de_crimes_07_f000135|Je la relevai en murmurant à son oreille avec une caresse: -- Attends qu'il ait démoli le mur, je bénirai votre union.|Je la relevai en murmurant à son oreille avec une caresse: -- Attends qu'il ait démoli le mur, je bénirai votre union.
la_fabrique_de_crimes_07_f000136|Le Rémouleur, cependant, éprouva une certaine difficulté à percer ce vieux plâtras.|Le Rémouleur, cependant, éprouva une certaine difficulté à percer ce vieux plâtras.
la_fabrique_de_crimes_07_f000137|Son marteau rebondit plusieurs fois contre des ossements humains, car le palais de mes ancêtres était presque entièrement bâti avec les produits de leurs crimes.|Son marteau rebondit plusieurs fois contre des ossements humains, car le palais de mes ancêtres était presque entièrement bâti avec les produits de leurs crimes.
la_fabrique_de_crimes_07_f000138|Il relira une grande quantité de squelettes ayant appartenu à de vieilles chanoinesses ou à de jeunes vierges.|Il relira une grande quantité de squelettes ayant appartenu à de vieilles chanoinesses ou à de jeunes vierges.
la_fabrique_de_crimes_07_f000139|Aussitôt qu'il eut pratiqué un trou assez grand pour donner passage à un homme, une voix sonore et agréable sortit de la cheminée.|Aussitôt qu'il eut pratiqué un trou assez grand pour donner passage à un homme, une voix sonore et agréable sortit de la cheminée.
la_fabrique_de_crimes_07_f000140|-- Qui vive? demanda-t-elle avec anxiété.|-- Qui vive? demanda-t-elle avec anxiété.
la_fabrique_de_crimes_07_f000141|-- Malade du docteur Fandango, répondit le Rémouleur sans hésiter.|-- Malade du docteur Fandango, répondit le Rémouleur sans hésiter.
la_fabrique_de_crimes_07_f000142|-- Aucun des trois Pieuvres mâles de l'impasse Guéménée n'est à l'horizon? demanda encore la voix agréable.|-- Aucun des trois Pieuvres mâles de l'impasse Guéménée n'est à l'horizon? demanda encore la voix agréable.
la_fabrique_de_crimes_07_f000143|-- Aucun.|-- Aucun.
la_fabrique_de_crimes_07_f000144|-- La fille de l'assassin de sa famille a-t-elle sonné du cor par trois fois?|-- La fille de l'assassin de sa famille a-t-elle sonné du cor par trois fois?
la_fabrique_de_crimes_07_f000145|-- Non, au contraire, elle a une fleur de pervenche à son corsage.|-- Non, au contraire, elle a une fleur de pervenche à son corsage.
la_fabrique_de_crimes_07_f000146|-- C'est bien!... Compagnons de l'humanité, sortez de votre asile!|-- C'est bien!... Compagnons de l'humanité, sortez de votre asile!
la_fabrique_de_crimes_07_f000147|Aussitôt s'élancèrent du trou le jeune et vaillant Mustapha, mon cousin par alliance, qui dissimule ses ancêtres sous la profession de cocher de fiacre, Simon le joueur d'orgues, Mandina de Hachecor, vêtue d'un domino noir, le véritable Silvio Pellico et d'autres.|Aussitôt s'élancèrent du trou le jeune et vaillant Mustapha, mon cousin par alliance, qui dissimule ses ancêtres sous la profession de cocher de fiacre, Simon le joueur d'orgues, Mandina de Hachecor, vêtue d'un domino noir, le véritable Silvio Pellico et d'autres.
la_fabrique_de_crimes_07_f000148|L'avant-dernier était le prêtre éthiopien, dont j'ai omis de vous parler jusqu'à ce jour.|L'avant-dernier était le prêtre éthiopien, dont j'ai omis de vous parler jusqu'à ce jour.
la_fabrique_de_crimes_07_f000149|Je remarquai avec étonnement que cet ecclésiastique n'avait qu'un bras, qu une jambe et qu'un oeil.|Je remarquai avec étonnement que cet ecclésiastique n'avait qu'un bras, qu une jambe et qu'un oeil.
la_fabrique_de_crimes_07_f000150|Le dernier était le Fils de la Condamnée.|Le dernier était le Fils de la Condamnée.
la_fabrique_de_crimes_08_f000001|TRAHISON!|TRAHISON!
la_fabrique_de_crimes_08_f000002|Il faudrait la plume d'or des poètes pour vous dire l'effet produit par l'anecdote des aventures du faux fumiste sur les Piqueuses de bottines réunies.|Il faudrait la plume d'or des poètes pour vous dire l'effet produit par l'anecdote des aventures du faux fumiste sur les Piqueuses de bottines réunies.
la_fabrique_de_crimes_08_f000003|-- Aviez-vous cru, s'écria tout à coup mademoiselle de Rudelame en pleurant, fusse pendant le quart d'une seconde, aviez-vous cru, jeunes filles du commun,|-- Aviez-vous cru, s'écria tout à coup mademoiselle de Rudelame en pleurant, fusse pendant le quart d'une seconde, aviez-vous cru, jeunes filles du commun,
la_fabrique_de_crimes_08_f000004|que la descendante de mes aïeux, l'amante de Coriolan, était coupable?|que la descendante de mes aïeux, l'amante de Coriolan, était coupable?
la_fabrique_de_crimes_08_f000005|La présence seule du prêtre éthiopien doit vous dire avec quelle régularité les choses se passèrent.|La présence seule du prêtre éthiopien doit vous dire avec quelle régularité les choses se passèrent.
la_fabrique_de_crimes_08_f000006|Le docteur Fandango ôta son costume de porteur d'eau; il avait par-dessous des vêtements propres et d'une étonnante magnificence.|Le docteur Fandango ôta son costume de porteur d'eau; il avait par-dessous des vêtements propres et d'une étonnante magnificence.
la_fabrique_de_crimes_08_f000007|À son médium était le diamant du Vieux de la Montagne qui lui fut donné par la reine.|À son médium était le diamant du Vieux de la Montagne qui lui fut donné par la reine.
la_fabrique_de_crimes_08_f000008|Tous les ordres étrangers brillaient sur sa large poitrine. Il s'était fait la barbe peu de temps auparavant.|Tous les ordres étrangers brillaient sur sa large poitrine. Il s'était fait la barbe peu de temps auparavant.
la_fabrique_de_crimes_08_f000009|Que dire? Vous connaissez sa beauté. Tous les jolis garçons qui l'entouraient avaient l'air de ses domestiques.|Que dire? Vous connaissez sa beauté. Tous les jolis garçons qui l'entouraient avaient l'air de ses domestiques.
la_fabrique_de_crimes_08_f000010|Il mit un genou en terre devant moi et me passa au cou un joyau en corail aquatique, d'un prix extravagant, aussi précieux par la matière que par le travail, en murmurant:|Il mit un genou en terre devant moi et me passa au cou un joyau en corail aquatique, d'un prix extravagant, aussi précieux par la matière que par le travail, en murmurant:
la_fabrique_de_crimes_08_f000011|-- Vierge adorée, ceci est la croix de ma mère!|-- Vierge adorée, ceci est la croix de ma mère!
la_fabrique_de_crimes_08_f000012|Son émotion était maladive. Il ajouta: -- Grâce aux effets du porteur d'eau, j'ai surmonté tous les dangers inséparables de mon entreprise. Désormais, soyons tout au bonheur.|Son émotion était maladive. Il ajouta: -- Grâce aux effets du porteur d'eau, j'ai surmonté tous les dangers inséparables de mon entreprise. Désormais, soyons tout au bonheur.
la_fabrique_de_crimes_08_f000013|Sur un geste de lui, les lambris de ma chambre à coucher furent immédiatement tendus de satin vert clair, parsemé de bouquets de topaze.|Sur un geste de lui, les lambris de ma chambre à coucher furent immédiatement tendus de satin vert clair, parsemé de bouquets de topaze.
