sulamif_s000001|Все суета сует и томление духа, — так говорит Екклезиаст.|Все суета сует и томление духа, - так говорит Екклезиаст.
sulamif_s000443|Однако, когда я поручил тебе умертвить моего брата Адонию, также схватившегося за священные рога жертвенника, разве ты ослушался меня, Ванея?|Однако, когда я поручил тебе умертвить моего брата Адонию, также схватившегося за священные рога жертвенника, разве ты ослушался меня, Ванея?
sulamif_s000444|Они молчат с минуту и глубоко, без улыбки смотрят друг на друга. Птицы громко перекликаются среди деревьев. Грудь девушки часто колеблется под ветхим полотном.|Они молчат с минуту и глубоко, без улыбки смотрят друг на друга. Птицы громко перекликаются среди деревьев. Грудь девушки часто колеблется под ветхим полотном.
sulamif_s000445|Говори. — приказала Астис.|Говори. - приказала Астис.
sulamif_s000446|Все части тела Озириса нашла Изида, кроме одной, священного Фаллуса, оплодотворяющего материнское чрево, созидающего новую вечную жизнь. Теперь приближался самый великий акт в мистерии Озириса и Изиды.|Все части тела Озириса нашла Изида, кроме одной, священного Фаллуса, оплодотворяющего материнское чрево, созидающего новую вечную жизнь. Теперь приближался самый великий акт в мистерии Озириса и Изиды.
sulamif_s000447|целовал поочередно пальцы на ее ногах, и нанизывал на них кольца с такими прекрасными и редкими камнями, каких не было даже на эфоде первосвященника.|целовал поочередно пальцы на ее ногах, и нанизывал на них кольца с такими прекрасными и редкими камнями, каких не было даже на эфоде первосвященника.
sulamif_s000448|Затем приблизились к трону Соломонову три брата, судившиеся о наследстве. Отец их перед смертью сказал им: Чтобы вы не ссорились при дележе, я сам разделю вас по справедливости.|Затем приблизились к трону Соломонову три брата, судившиеся о наследстве. Отец их перед смертью сказал им: Чтобы вы не ссорились при дележе, я сам разделю вас по справедливости.
sulamif_s000449|Он даже привел двух свидетелей, подтверждавших, что они видели, как Захария при них передавал камень жене Ахиора.|Он даже привел двух свидетелей, подтверждавших, что они видели, как Захария при них передавал камень жене Ахиора.
sulamif_s000450|— ты вспомни обо мне в этот миг.|- ты вспомни обо мне в этот миг.
sulamif_s000451|Соломон приникает жадно устами к ее зовущему рту. Он чувствует пламень ее губ, и скользкость ее зубов, и сладкую влажность ее языка и весь горит таким нестерпимым желанием,|Соломон приникает жадно устами к ее зовущему рту. Он чувствует пламень ее губ, и скользкость ее зубов, и сладкую влажность ее языка и весь горит таким нестерпимым желанием,
sulamif_s000452|Соломон прошел молча мимо жреца, но тот протянул вслед ему руку и воскликнул с мольбой:|Соломон прошел молча мимо жреца, но тот протянул вслед ему руку и воскликнул с мольбой:
sulamif_s000453|то, вытаскивая много раз из мешка, ты все-таки рано или поздно извлечешь и драгоценность.|то, вытаскивая много раз из мешка, ты все-таки рано или поздно извлечешь и драгоценность.
sulamif_s000454|Адонии и Семея, — теперь главный начальник войска, невысокий, тучный старец с редкой длинной седой бородой;|Адонии и Семея, - теперь главный начальник войска, невысокий, тучный старец с редкой длинной седой бородой;
sulamif_s000455|Милый!|Милый!
sulamif_s000456|Так обошла богиня весь храм, возвращаясь назад к алтарю, и все страстнее и громче становилось пение хора. Священное воодушевление овладевало жрецами и молящимися.|Так обошла богиня весь храм, возвращаясь назад к алтарю, и все страстнее и громче становилось пение хора. Священное воодушевление овладевало жрецами и молящимися.
sulamif_s000457|И так как все колонны завершались капителями в виде нежных цветов лотоса или тонких свертков папируса,|И так как все колонны завершались капителями в виде нежных цветов лотоса или тонких свертков папируса,
sulamif_s000458|пораженный мудростью царя, упал ниц перед его троном и признался в своем преступлении.|пораженный мудростью царя, упал ниц перед его троном и признался в своем преступлении.
sulamif_s000459|и Емана, и Хилколы, и Додры, сыновей Махола.|и Емана, и Хилколы, и Додры, сыновей Махола.
sulamif_s000460|Шестьдесят воинов, блестя золочеными шлемами и щитами, стояло в ряд по левую и по правую сторону трона; старшим над ними сегодня был чернокудрый красавец Элиав, сын Ахилуда.|Шестьдесят воинов, блестя золочеными шлемами и щитами, стояло в ряд по левую и по правую сторону трона; старшим над ними сегодня был чернокудрый красавец Элиав, сын Ахилуда.
sulamif_s000461|Злобный Сет заманил своего брата, божественного Озириса, на пиршество, хитростью заставил его лечь в роскошный гроб и, захлопнув над ним крышку,|Злобный Сет заманил своего брата, божественного Озириса, на пиршество, хитростью заставил его лечь в роскошный гроб и, захлопнув над ним крышку,
sulamif_s000462|про которого сложился слух, что он никогда не спит, пожираемый огнем внутренней неизлечимой болезни.|про которого сложился слух, что он никогда не спит, пожираемый огнем внутренней неизлечимой болезни.
sulamif_s000463|Неужели ты думаешь, что я поверю этому? Лицо твое не огрубело от ветра и не обожжено солнцем, и руки твои белы. На тебе дорогой хитон, и одна застежка на нем стоит годовой платы,|Неужели ты думаешь, что я поверю этому? Лицо твое не огрубело от ветра и не обожжено солнцем, и руки твои белы. На тебе дорогой хитон, и одна застежка на нем стоит годовой платы,
sulamif_s000464|и отдаст десять сиклей священных на храм.|и отдаст десять сиклей священных на храм.
sulamif_s000465|И, как и теперь, спросил его первосвященник, отец Азарии, дряхлый старик:|И, как и теперь, спросил его первосвященник, отец Азарии, дряхлый старик:
sulamif_s000466|Не буду стрелять в труп моего отца.|Не буду стрелять в труп моего отца.
sulamif_s000467|Это ты, Элиав? — спросила царица юношу, который тихо вошел в дверь.|Это ты, Элиав? - спросила царица юношу, который тихо вошел в дверь.
sulamif_s000468|которую в те времена давали перед казнью преступникам для возбуждения в них мужества, но которая также обладала великим свойством порождать и поддерживать в людях огонь священного безумия.|которую в те времена давали перед казнью преступникам для возбуждения в них мужества, но которая также обладала великим свойством порождать и поддерживать в людях огонь священного безумия.
sulamif_s000469|Сердце мое затрепетало и раскрылось навстречу к тебе, как раскрывается цветок во время летней ночи от южного ветра. Чем ты так пленил меня, мой возлюбленный?|Сердце мое затрепетало и раскрылось навстречу к тебе, как раскрывается цветок во время летней ночи от южного ветра. Чем ты так пленил меня, мой возлюбленный?
sulamif_s000470|красавицы Астис, дочери египетского фараона Суссакима.|красавицы Астис, дочери египетского фараона Суссакима.
sulamif_s000471|Сестра моя спит, я боюсь разбудить ее.|Сестра моя спит, я боюсь разбудить ее.
sulamif_s000472|Также пришла в дом Ливанский женщина, бедная вдова каменщика, и сказала:|Также пришла в дом Ливанский женщина, бедная вдова каменщика, и сказала:
sulamif_s000473|лицом к окну, освещенная луною через переплет решетки.|лицом к окну, освещенная луною через переплет решетки.
sulamif_s000474|но ты единственная моя, кроткая моя, прекраснейшая из женщин.|но ты единственная моя, кроткая моя, прекраснейшая из женщин.
sulamif_s000475|Как и вчера, заря пылает над Аназе. Подымается ветер. Струится аромат виноградного цветения.|Как и вчера, заря пылает над Аназе. Подымается ветер. Струится аромат виноградного цветения.
sulamif_s000476|и восхвалят тебя все женщины на земле.|и восхвалят тебя все женщины на земле.
sulamif_s000477|Через некоторое время слепки были готовы. Но один из свидетелей сделал свой слепок в виде лошадиной головы, как обычно обделывались драгоценные камни;|Через некоторое время слепки были готовы. Но один из свидетелей сделал свой слепок в виде лошадиной головы, как обычно обделывались драгоценные камни;
sulamif_s000478|желтокожих египтянок, неутомимых в любви и безумных в ревности; сладострастных вавилонянок, у которых все тело под одеждой было гладко, как мрамор,|желтокожих египтянок, неутомимых в любви и безумных в ревности; сладострастных вавилонянок, у которых все тело под одеждой было гладко, как мрамор,
sulamif_s000479|Через семь лет, в месяце Буле, был завершен храм господень и через тринадцать лет — царский дворец. За кедровые бревна с Ливана, за кипарисные и оливковые доски,|Через семь лет, в месяце Буле, был завершен храм господень и через тринадцать лет - царский дворец. За кедровые бревна с Ливана, за кипарисные и оливковые доски,
sulamif_s000480|И понял царь, что во многой мудрости много печали, и кто умножает познание — умножает скорбь. Узнал он также, что и при смехе иногда болит сердце и концом радости бывает печаль.|И понял царь, что во многой мудрости много печали, и кто умножает познание - умножает скорбь. Узнал он также, что и при смехе иногда болит сердце и концом радости бывает печаль.
sulamif_s000481|В храме Изиды на горе Ватн-эль-Хав только что отошла первая часть великого тайнодействия, на которую допускались верующие малого посвящения. Очередной жрец — древний старец в белой одежде,|В храме Изиды на горе Ватн-эль-Хав только что отошла первая часть великого тайнодействия, на которую допускались верующие малого посвящения. Очередной жрец - древний старец в белой одежде,
sulamif_s000482|День дохнул прохладою, Убегают ночные тени.|День дохнул прохладою, Убегают ночные тени.
sulamif_s000483|Она вышла из бассейна свежая, холодная и благоухающая, покрытая дрожащими каплями воды.|Она вышла из бассейна свежая, холодная и благоухающая, покрытая дрожащими каплями воды.
sulamif_s000484|Теперь спрашиваю я вас, кто из всех трех поступил лучше пред лицом бога — девица, жених или разбойник?|Теперь спрашиваю я вас, кто из всех трех поступил лучше пред лицом бога - девица, жених или разбойник?
sulamif_s000485|и желто-золотистый хрисолит — друг торговцев и воров; и сардоникс, любимый царями и царицами; и малиновый лигирий: его находят, как известно,|и желто-золотистый хрисолит - друг торговцев и воров; и сардоникс, любимый царями и царицами; и малиновый лигирий: его находят, как известно,
sulamif_s000486|льется себе, как звонкий ручей в горах, повторяя все те же пять-шесть нот.|льется себе, как звонкий ручей в горах, повторяя все те же пять-шесть нот.
sulamif_s000487|Царь опять промолчал.|Царь опять промолчал.
sulamif_s000488|Камни Шамир бывают мужские и женские; зарытые глубоко в землю, они способны размножаться.|Камни Шамир бывают мужские и женские; зарытые глубоко в землю, они способны размножаться.
sulamif_s000489|историограф, и Ахелар, начальник двора Соломонова, и Завуф, носивший высокий титул друга царя, и Бен-Авинодав, женатый на старшей дочери Соломона — Тафафии,|историограф, и Ахелар, начальник двора Соломонова, и Завуф, носивший высокий титул друга царя, и Бен-Авинодав, женатый на старшей дочери Соломона - Тафафии,
sulamif_s000490|Слезы восторга и благодарности — блаженные слезы блестят на бледном и прекрасном лице Суламифи. Изнемогая от любви, она опускается на землю и едва слышно шепчет безумные слова:|Слезы восторга и благодарности - блаженные слезы блестят на бледном и прекрасном лице Суламифи. Изнемогая от любви, она опускается на землю и едва слышно шепчет безумные слова:
sulamif_s000491|Там продала она ювелиру за три драхмы и один динарий свою единственную драгоценность — праздничные серьги,|Там продала она ювелиру за три драхмы и один динарий свою единственную драгоценность - праздничные серьги,
sulamif_s000492|Она низко склоняет голову и шепчет:|Она низко склоняет голову и шепчет:
sulamif_s000493|Так живописал царя Соломона Иосафат, сын Ахилуда, историк его дней.|Так живописал царя Соломона Иосафат, сын Ахилуда, историк его дней.
sulamif_s000494|после которых имена полководцев сияли в веках, точно кровавые звезды, но время стерло даже самую память о них.|после которых имена полководцев сияли в веках, точно кровавые звезды, но время стерло даже самую память о них.
sulamif_s000495|и Баст из Бубаса, под видом кошки, Шу, бог воздуха — лев, Пта — апис, Гатор — богиня веселья — корова, Анубис, бог бальзамирования, с головою шакала,|и Баст из Бубаса, под видом кошки, Шу, бог воздуха - лев, Пта - апис, Гатор - богиня веселья - корова, Анубис, бог бальзамирования, с головою шакала,
sulamif_s000496|Но она тихо качает головою:|Но она тихо качает головою:
sulamif_s000497|Светел и радостен был Соломон в этот день, когда сидел он на троне в зале дома Ливанского и творил суд над людьми, приходившими к нему.|Светел и радостен был Соломон в этот день, когда сидел он на троне в зале дома Ливанского и творил суд над людьми, приходившими к нему.
sulamif_s000498|Соломон спросил их, кто они по делам своим, и, услышав ответ, что оба они охотники-лучники, сказал:|Соломон спросил их, кто они по делам своим, и, услышав ответ, что оба они охотники-лучники, сказал:
sulamif_s000499|Он сияет в темноте ночи, но даже днем теряет свой свет на руке убийцы. Шамир привязывают к руке женщины, которая мучится тяжелыми родами, и его также надевают воины на левую руку, отправляясь в бой.|Он сияет в темноте ночи, но даже днем теряет свой свет на руке убийцы. Шамир привязывают к руке женщины, которая мучится тяжелыми родами, и его также надевают воины на левую руку, отправляясь в бой.
sulamif_s000500|О, не гляди на меня! — просит Суламифь. — Глаза твои волнуют меня.|О, не гляди на меня! - просит Суламифь. - Глаза твои волнуют меня.
sulamif_s000501|Три тысячи шестьсот приставников надзирали за работами, а над приставниками начальствовал Азария, сын Нафанов, человек жестокий и деятельный,|Три тысячи шестьсот приставников надзирали за работами, а над приставниками начальствовал Азария, сын Нафанов, человек жестокий и деятельный,
sulamif_s000502|светилась серебряная луна, мерцали бесчисленные звезды, и парили на распростертых крыльях птицы.|светилась серебряная луна, мерцали бесчисленные звезды, и парили на распростертых крыльях птицы.
sulamif_s000503|Правая рука у нее под головой, левой он обнимает ее. В радостном испуге сбрасывает она с себя дремоту, ищет возлюбленного около себя на ложе, но не находит никого.|Правая рука у нее под головой, левой он обнимает ее. В радостном испуге сбрасывает она с себя дремоту, ищет возлюбленного около себя на ложе, но не находит никого.
sulamif_s000504|На указательном пальце левой руки носил Соломон гемму из кроваво-красного астерикса, извергавшего из себя шесть лучей жемчужного цвета. Много сотен лет было этому кольцу,|На указательном пальце левой руки носил Соломон гемму из кроваво-красного астерикса, извергавшего из себя шесть лучей жемчужного цвета. Много сотен лет было этому кольцу,
sulamif_s000505|Позволь мне сходить в тот город, где живет прежний мой возлюбленный.|Позволь мне сходить в тот город, где живет прежний мой возлюбленный.
sulamif_s000506|Рассеянным взором оглядела царица храм и верующих. Много здесь было почтенных и знаменитых людей из свиты Соломоновой и из его военачальников:|Рассеянным взором оглядела царица храм и верующих. Много здесь было почтенных и знаменитых людей из свиты Соломоновой и из его военачальников:
sulamif_s000507|Но никого уже нет на дороге, которая одиноко белеет среди темных кустов в серой утренней мгле. Милый не дождался — ушел, даже шагов его не слышно.|Но никого уже нет на дороге, которая одиноко белеет среди темных кустов в серой утренней мгле. Милый не дождался - ушел, даже шагов его не слышно.
sulamif_s000508|Молодой воин под взглядом Соломона поднял голову и, встретившись глазами с гневными, страшными глазами царя, побледнел и застонал. Выражение отчаяния и ужаса исказило его черты.|Молодой воин под взглядом Соломона поднял голову и, встретившись глазами с гневными, страшными глазами царя, побледнел и застонал. Выражение отчаяния и ужаса исказило его черты.
sulamif_s000509|Завесы из фиолетовых и пурпурных тканей висели от пола до потолка при входе в залу, отделяя притвор, где между пяти колонн толпились истцы, просители и свидетели,|Завесы из фиолетовых и пурпурных тканей висели от пола до потолка при входе в залу, отделяя притвор, где между пяти колонн толпились истцы, просители и свидетели,
sulamif_s000510|И, оставшись один лицом к лицу с телом Суламифи, он долго глядел на ее прекрасные черты. Лицо ее было бело, и никогда оно не было так красиво при ее жизни.|И, оставшись один лицом к лицу с телом Суламифи, он долго глядел на ее прекрасные черты. Лицо ее было бело, и никогда оно не было так красиво при ее жизни.
sulamif_s000511|Я иду, — ответил покорно Элиав.|Я иду, - ответил покорно Элиав.
sulamif_s000512|Дитя мое, тысячи раз может любить человек, но только один раз он любит. Тьмы тем людей думают, что они любят, но только двум из них посылает бог любовь.|Дитя мое, тысячи раз может любить человек, но только один раз он любит. Тьмы тем людей думают, что они любят, но только двум из них посылает бог любовь.
sulamif_s000513|Чего бы глаза царя ни пожелали, он не отказывал им и не возбранял сердцу своему никакого веселия. Семьсот жен было у царя и триста наложниц, не считая рабынь и танцовщиц.|Чего бы глаза царя ни пожелали, он не отказывал им и не возбранял сердцу своему никакого веселия. Семьсот жен было у царя и триста наложниц, не считая рабынь и танцовщиц.
sulamif_s000514|Сквозь прозрачную материю розово светилась ее кожа и видны были все чистые линии и возвышения ее стройного тела, которое до сих пор, несмотря на тридцатилетний возраст царицы,|Сквозь прозрачную материю розово светилась ее кожа и видны были все чистые линии и возвышения ее стройного тела, которое до сих пор, несмотря на тридцатилетний возраст царицы,
sulamif_s000515|Глядя в окно на небо, где ночь уже побеждала догорающий вечер, Суламифь остановила свои глаза на яркой голубоватой звезде, которая трепетала кротко и нежно.|Глядя в окно на небо, где ночь уже побеждала догорающий вечер, Суламифь остановила свои глаза на яркой голубоватой звезде, которая трепетала кротко и нежно.
sulamif_s000516|Царь покачал головой, выслушал их и сказал:|Царь покачал головой, выслушал их и сказал:
sulamif_s000517|Царь, теперь не поможет ни наука, ни бог. Когда извлечем меч, оставленный в ее груди, она тотчас же умрет.|Царь, теперь не поможет ни наука, ни бог. Когда извлечем меч, оставленный в ее груди, она тотчас же умрет.
sulamif_s000518|Расскажи мне, Элиав, все, что ты знаешь о царе и об этой девочке из виноградника.|Расскажи мне, Элиав, все, что ты знаешь о царе и об этой девочке из виноградника.
sulamif_s000519|Самый же троп был из слоновой кости с золотой инкрустацией и золотыми локотниками в виде лежащих львов. Высокая спинка трона завершалась золотым диском.|Самый же троп был из слоновой кости с золотой инкрустацией и золотыми локотниками в виде лежащих львов. Высокая спинка трона завершалась золотым диском.
sulamif_s000520|Так просто разрешил царь первую загадку Балкис-Македы.|Так просто разрешил царь первую загадку Балкис-Македы.
sulamif_s000521|Всегда облекал он свои мысли изящными выражениями, потому что золотому яблоку в чаше из прозрачного сардоникса подобно слово, сказанное умело,|Всегда облекал он свои мысли изящными выражениями, потому что золотому яблоку в чаше из прозрачного сардоникса подобно слово, сказанное умело,
sulamif_s000522|Она подходит ближе и смотрит на царя с трепетом и с восхищением. Невыразимо прекрасно ее смуглое и яркое лицо. Тяжелые, густые темно-рыжие волосы,|Она подходит ближе и смотрит на царя с трепетом и с восхищением. Невыразимо прекрасно ее смуглое и яркое лицо. Тяжелые, густые темно-рыжие волосы,
sulamif_s000523|Глаза же у царя были темны, как самый темный агат, как небо в безлунную летнюю ночь, а ресницы, разверзавшиеся стрелами вверх и вниз, походили на черные лучи вокруг черных звезд.|Глаза же у царя были темны, как самый темный агат, как небо в безлунную летнюю ночь, а ресницы, разверзавшиеся стрелами вверх и вниз, походили на черные лучи вокруг черных звезд.
sulamif_s000524|Я не верю тебе, красавица. Ты так прекрасна.|Я не верю тебе, красавица. Ты так прекрасна.
sulamif_s000525|Так проходит несколько минут. Наконец, отрываясь губами от ее рта, Соломон говорит в упоении, и голос его дрожит:|Так проходит несколько минут. Наконец, отрываясь губами от ее рта, Соломон говорит в упоении, и голос его дрожит:
sulamif_s000526|Так посетила царя Соломона — величайшего из царей и мудрейшего из мудрецов — его первая и последняя любовь.|Так посетила царя Соломона - величайшего из царей и мудрейшего из мудрецов - его первая и последняя любовь.
sulamif_s000527|Все это было сделано с таким необычайным искусством, что непредупрежденный человек ни за что не заметил бы стекла и стал бы давать клятву, что перед ним находится бассейн с чистой свежей водой.|Все это было сделано с таким необычайным искусством, что непредупрежденный человек ни за что не заметил бы стекла и стал бы давать клятву, что перед ним находится бассейн с чистой свежей водой.
sulamif_s000528|Дай мне поцеловать твои руки, не отнимай их от моего рта до тех пор, пока последнее дыхание не отлетит от меня. Никогда не было и не будет женщины счастливее меня.|Дай мне поцеловать твои руки, не отнимай их от моего рта до тех пор, пока последнее дыхание не отлетит от меня. Никогда не было и не будет женщины счастливее меня.
sulamif_s000529|Все они были — иные по вере, иные по корыстным расчетам, иные из подражания, а иные из сластолюбивых целей — поклонниками Изиды.|Все они были - иные по вере, иные по корыстным расчетам, иные из подражания, а иные из сластолюбивых целей - поклонниками Изиды.
sulamif_s000530|Но волнующее, опьяняющее любопытство влекло к ней души и отдавало во власть ей тела. Те, кто испытал хоть однажды ее свирепые кровавые ласки,|Но волнующее, опьяняющее любопытство влекло к ней души и отдавало во власть ей тела. Те, кто испытал хоть однажды ее свирепые кровавые ласки,
sulamif_s000531|К утру Суламифи не стало.|К утру Суламифи не стало.
sulamif_s000532|У меня одно имя с царем. Меня зовут Соломон. Прощай. Я люблю тебя.|У меня одно имя с царем. Меня зовут Соломон. Прощай. Я люблю тебя.
sulamif_s000533|под его управлением находилось шестьдесят городов, окруженных стенами, с воротами на медных затворах; и Ваана, сын Хушая, некогда славившийся искусством метать копье на расстоянии тридцати парасангов, и многие другие.|под его управлением находилось шестьдесят городов, окруженных стенами, с воротами на медных затворах; и Ваана, сын Хушая, некогда славившийся искусством метать копье на расстоянии тридцати парасангов, и многие другие.
sulamif_s000534|После небольшого молчания он возгласил:|После небольшого молчания он возгласил:
sulamif_s000535|Это камень любви, гнева и крови. На руке человека, томящегося в лихорадке или опьяненного желанием, он становится теплее и горит красным пламенем.|Это камень любви, гнева и крови. На руке человека, томящегося в лихорадке или опьяненного желанием, он становится теплее и горит красным пламенем.
sulamif_s000536|Тогда ответил Соломон:|Тогда ответил Соломон:
sulamif_s000537|Встань, возлюбленная моя. Прекрасная моя, выйди. Близится утро, раскрываются цветы, виноград льет свое благоухание, время пения настало, голос горлицы доносится с гор.|Встань, возлюбленная моя. Прекрасная моя, выйди. Близится утро, раскрываются цветы, виноград льет свое благоухание, время пения настало, голос горлицы доносится с гор.
sulamif_s000538|Одного лишь не терпел Соломон и преследовал смертью — жертвоприношение детей.|Одного лишь не терпел Соломон и преследовал смертью - жертвоприношение детей.
sulamif_s000539|Дорогою заночевали они в лесу, а пояс для сохранности зарыли в землю. Когда же они проснулись наутро, то не нашли пояса в том месте, куда его положили.|Дорогою заночевали они в лесу, а пояс для сохранности зарыли в землю. Когда же они проснулись наутро, то не нашли пояса в том месте, куда его положили.
sulamif_s000540|Все ближе слышится голос. Вот он уже здесь, рядом, за раскидистыми кедрами, за темной зеленью можжевельника. Тогда царь осторожно раздвигает руками ветви,|Все ближе слышится голос. Вот он уже здесь, рядом, за раскидистыми кедрами, за темной зеленью можжевельника. Тогда царь осторожно раздвигает руками ветви,
sulamif_s000541|Соломон любил украшать свою возлюбленную драгоценностями. Как стройны твои маленькие ноги в сандалиях! — восклицал он с восторгом, и, становясь перед нею на колени,|Соломон любил украшать свою возлюбленную драгоценностями. Как стройны твои маленькие ноги в сандалиях! - восклицал он с восторгом, и, становясь перед нею на колени,
sulamif_s000542|Возьми жезл этого человека и разломи его пополам.|Возьми жезл этого человека и разломи его пополам.
sulamif_s000543|персепольскую бирюзу, которая приносит счастье в любви, прекращает, ссору супругов, отводит царский гнев и благоприятствует при укрощении и продаже лошадей;|персепольскую бирюзу, которая приносит счастье в любви, прекращает, ссору супругов, отводит царский гнев и благоприятствует при укрощении и продаже лошадей;
sulamif_s000544|Тотчас же вслед за этим его положили на носилки и унесли из алтаря. Жрец-привратник вышел из храма. Он ударил деревянным молотком в громадный медный круг,|Тотчас же вслед за этим его положили на носилки и унесли из алтаря. Жрец-привратник вышел из храма. Он ударил деревянным молотком в громадный медный круг,
sulamif_s000545|Обойми меня. Прижми меня к себе крепче. Положи меня, как печать, на сердце твоем, как печать, на мышце твоей!|Обойми меня. Прижми меня к себе крепче. Положи меня, как печать, на сердце твоем, как печать, на мышце твоей!
sulamif_s000546|И решетка отворяется изнутри?|И решетка отворяется изнутри?
sulamif_s000547|На другом конце его сидит царь, сияющий золотом и драгоценными камнями и приветливым взглядом черных глаз. Дверь отворяется перед царицею, и она делает шаг вперед, но вскрикивает и.|На другом конце его сидит царь, сияющий золотом и драгоценными камнями и приветливым взглядом черных глаз. Дверь отворяется перед царицею, и она делает шаг вперед, но вскрикивает и.
