kleinzaches_01_f000001|Erstes Kapitel.|Erstes Kapitel.
kleinzaches_05_f000167|Balthasar wollte laut aufschreien, aber Prosper Alpanus faßte ihn bei beiden Schultern hart an, und der Schrei erstickte in der Brust.|Balthasar wollte laut aufschreien, aber Prosper Alpanus faßte ihn bei beiden Schultern hart an, und der Schrei erstickte in der Brust.
kleinzaches_05_f000168|Ruhig, sprach Prosper leise, ruhig Balthasar!|Ruhig, sprach Prosper leise, ruhig Balthasar!
kleinzaches_05_f000169|Nehmen Sie dies Rohr und führen Sie Streiche gegen den Kleinen, doch ohne sich von der Stelle zu rühren.|Nehmen Sie dies Rohr und führen Sie Streiche gegen den Kleinen, doch ohne sich von der Stelle zu rühren.
kleinzaches_05_f000170|Balthasar tat es und gewahrte zu seiner Lust, wie der Kleine sich krümmte, umstülpte, sich auf der Erde wälzte!|Balthasar tat es und gewahrte zu seiner Lust, wie der Kleine sich krümmte, umstülpte, sich auf der Erde wälzte!
kleinzaches_05_f000171|In der Wut sprang er vorwärts, da zerrann das Bild in Dunst und Nebel, und Prosper Alpanus riß den tollen Balthasar mit Gewalt zurück, laut rufend: Halten Sie ein!|In der Wut sprang er vorwärts, da zerrann das Bild in Dunst und Nebel, und Prosper Alpanus riß den tollen Balthasar mit Gewalt zurück, laut rufend: Halten Sie ein!
kleinzaches_05_f000172|zerschlagen Sie den magischen Spiegel, so sind wir alle verloren!|zerschlagen Sie den magischen Spiegel, so sind wir alle verloren!
kleinzaches_05_f000173|Wir wollen in das Helle zurück.|Wir wollen in das Helle zurück.
kleinzaches_05_f000174|Die Freunde verließen auf des Doktors Geheiß den Saal und traten in ein anstoßendes helles Zimmer.|Die Freunde verließen auf des Doktors Geheiß den Saal und traten in ein anstoßendes helles Zimmer.
kleinzaches_05_f000175|Dem Himmel, rief Fabian, tief Atem schöpfend, dem Himmel sei gedankt, daß wir aus dem verwünschten Saal heraus sind.|Dem Himmel, rief Fabian, tief Atem schöpfend, dem Himmel sei gedankt, daß wir aus dem verwünschten Saal heraus sind.
kleinzaches_05_f000176|Die schwüle Luft hat mir beinahe das Herz abgedrückt, und dann die albernen Taschenspielereien dazu, die mir in tiefer Seele zuwider sind.|Die schwüle Luft hat mir beinahe das Herz abgedrückt, und dann die albernen Taschenspielereien dazu, die mir in tiefer Seele zuwider sind.
kleinzaches_05_f000177|Balthasar wollte antworten, als Prosper Alpanus eintrat.|Balthasar wollte antworten, als Prosper Alpanus eintrat.
kleinzaches_05_f000178|Es ist, sprach er, es ist nunmehr gewiß, daß der mißgestaltete Zinnober weder ein Wurzelmann noch ein Erdgeist ist, sondern ein gewöhnlicher Mensch.|Es ist, sprach er, es ist nunmehr gewiß, daß der mißgestaltete Zinnober weder ein Wurzelmann noch ein Erdgeist ist, sondern ein gewöhnlicher Mensch.
kleinzaches_05_f000179|Aber es ist eine geheime zauberische Macht im Spiele, die zu erkennen mir bis jetzt noch nicht gelungen, und ebendeshalb kann ich auch noch nicht helfen.|Aber es ist eine geheime zauberische Macht im Spiele, die zu erkennen mir bis jetzt noch nicht gelungen, und ebendeshalb kann ich auch noch nicht helfen.
kleinzaches_05_f000180|Besuchen Sie mich bald wieder, Balthasar, wir wollen dann sehen, was weiter zu beginnen.|Besuchen Sie mich bald wieder, Balthasar, wir wollen dann sehen, was weiter zu beginnen.
kleinzaches_05_f000181|Auf Wiedersehn!|Auf Wiedersehn!
kleinzaches_05_f000182|Also, sprach Fabian, dicht an den Doktor herantretend, also ein Zauberer sind Sie, Herr Doktor, und können mit all Ihrer Zauberkunst nicht einmal dem kleinen erbärmlichen Zinnober zu Leibe?|Also, sprach Fabian, dicht an den Doktor herantretend, also ein Zauberer sind Sie, Herr Doktor, und können mit all Ihrer Zauberkunst nicht einmal dem kleinen erbärmlichen Zinnober zu Leibe?
kleinzaches_05_f000183|Wissen Sie wohl, daß ich Sie mitsamt Ihren bunten Bildern, Püppchen, magischen Spiegeln, mit all Ihrem fratzenhaften Kram für einen rechten ausgemachten Charlatan halte?|Wissen Sie wohl, daß ich Sie mitsamt Ihren bunten Bildern, Püppchen, magischen Spiegeln, mit all Ihrem fratzenhaften Kram für einen rechten ausgemachten Charlatan halte?
kleinzaches_05_f000184|Der Balthasar, der ist verliebt und macht Verse, dem können Sie allerlei Zeug einreden, aber bei mir kommen Sie schlecht an!|Der Balthasar, der ist verliebt und macht Verse, dem können Sie allerlei Zeug einreden, aber bei mir kommen Sie schlecht an!
kleinzaches_05_f000185|Ich bin ein aufgeklärter Mensch und statuiere durchaus keine Wunder!|Ich bin ein aufgeklärter Mensch und statuiere durchaus keine Wunder!
kleinzaches_05_f000186|Halten Sie, erwiderte Prosper Alpanus, indem er stärker und herzlicher lachte, als man es ihm nach seinem ganzen Wesen wohl zutrauen konnte, halten Sie das, wie Sie wollen.|Halten Sie, erwiderte Prosper Alpanus, indem er stärker und herzlicher lachte, als man es ihm nach seinem ganzen Wesen wohl zutrauen konnte, halten Sie das, wie Sie wollen.
kleinzaches_05_f000187|Aber – bin ich gleich nicht eben ein Zauberer, so gebiete ich doch über hübsche Kunststückchen.|Aber - bin ich gleich nicht eben ein Zauberer, so gebiete ich doch über hübsche Kunststückchen.
kleinzaches_05_f000188|Aus Wieglebs ›Magie‹ wohl oder sonst! rief Fabian.|Aus Wieglebs Magie wohl oder sonst! rief Fabian.
kleinzaches_05_f000189|Nun da finden Sie an unserm Professor Mosch Terpin Ihren Meister und dürfen sich mit ihm nicht vergleichen, denn der ehrliche Mann zeigt uns immer,|Nun da finden Sie an unserm Professor Mosch Terpin Ihren Meister und dürfen sich mit ihm nicht vergleichen, denn der ehrliche Mann zeigt uns immer,
kleinzaches_05_f000190|daß alles natürlich zugeht und umgibt sich gar nicht mit solcher geheimnisvoller Wirtschaft, als Sie, mein Herr Doktor.|daß alles natürlich zugeht und umgibt sich gar nicht mit solcher geheimnisvoller Wirtschaft, als Sie, mein Herr Doktor.
kleinzaches_05_f000191|Nun, ich empfehle mich Ihnen gehorsamst!|Nun, ich empfehle mich Ihnen gehorsamst!
kleinzaches_05_f000192|Ei, sprach der Doktor, Sie werden doch nicht so im Zorn von mir scheiden?|Ei, sprach der Doktor, Sie werden doch nicht so im Zorn von mir scheiden?
kleinzaches_05_f000193|Und damit strich er dem Fabian an beiden Armen einige Male leise herab von der Schulter bis zum Handgelenk, daß diesem ganz besonders zumute wurde und er beklommen rief: Was machen Sie denn, Herr Doktor!|Und damit strich er dem Fabian an beiden Armen einige Male leise herab von der Schulter bis zum Handgelenk, daß diesem ganz besonders zumute wurde und er beklommen rief: Was machen Sie denn, Herr Doktor!
kleinzaches_05_f000194|Gehen Sie, meine Herrn, sprach der Doktor, Sie, Herr Balthasar, hoffe ich recht bald wiederzusehen.|Gehen Sie, meine Herrn, sprach der Doktor, Sie, Herr Balthasar, hoffe ich recht bald wiederzusehen.
kleinzaches_05_f000195|Bald wird die Hilfe gefunden sein!|Bald wird die Hilfe gefunden sein!
kleinzaches_05_f000196|Er bekommt doch kein Trinkgeld, mein Freund, rief Fabian im Herausgehen dem goldgelben Portier zu und faßte ihm nach dem Jabot.|Er bekommt doch kein Trinkgeld, mein Freund, rief Fabian im Herausgehen dem goldgelben Portier zu und faßte ihm nach dem Jabot.
kleinzaches_05_f000197|Der Portier sagte aber wieder nichts als Quirrr und biß abermals den Fabian in den Finger.|Der Portier sagte aber wieder nichts als Quirrr und biß abermals den Fabian in den Finger.
kleinzaches_05_f000198|Bestie! rief Fabian und rannte von dannen.|Bestie! rief Fabian und rannte von dannen.
kleinzaches_05_f000199|Die beiden Frösche ermangelten nicht, die beiden Freunde höflich zu geleiten bis ans Gattertor, das sich mit einem dumpfen Donner öffnete und schloß.|Die beiden Frösche ermangelten nicht, die beiden Freunde höflich zu geleiten bis ans Gattertor, das sich mit einem dumpfen Donner öffnete und schloß.
kleinzaches_05_f000200|Ich weiß, sprach Balthasar, als er auf der Landstraße hinter dem Fabian herwandelte, ich weiß gar nicht, Bruder, was du heute für einen seltsamen Rock angezogen hast mit solch entsetzlich langen Schößen und solch kurzen Ärmeln.|Ich weiß, sprach Balthasar, als er auf der Landstraße hinter dem Fabian herwandelte, ich weiß gar nicht, Bruder, was du heute für einen seltsamen Rock angezogen hast mit solch entsetzlich langen Schößen und solch kurzen Ärmeln.
kleinzaches_05_f000201|Fabian gewahrte zu seinem Erstaunen, daß sein kurzes Röckchen hinterwärts bis zur Erde herabgewachsen, daß dagegen die sonst über die Gnüge langen Ärmel hinaufgeschrumpft waren bis an den Ellbogen.|Fabian gewahrte zu seinem Erstaunen, daß sein kurzes Röckchen hinterwärts bis zur Erde herabgewachsen, daß dagegen die sonst über die Gnüge langen Ärmel hinaufgeschrumpft waren bis an den Ellbogen.
kleinzaches_05_f000202|Tausend Donner, was ist das!|Tausend Donner, was ist das!
kleinzaches_05_f000203|rief er und zog und zupfte an den Ärmeln und rückte die Schultern.|rief er und zog und zupfte an den Ärmeln und rückte die Schultern.
kleinzaches_05_f000204|Das schien auch zu helfen, aber wie sie nun durchs Stadttor gingen, so schrumpften die Ärmel herauf, so wuchsen die Rockschöße, daß alles Ziehens und Zupfens und Rückens ungeachtet die Ärmel bald hoch oben an der Schulter saßen,|Das schien auch zu helfen, aber wie sie nun durchs Stadttor gingen, so schrumpften die Ärmel herauf, so wuchsen die Rockschöße, daß alles Ziehens und Zupfens und Rückens ungeachtet die Ärmel bald hoch oben an der Schulter saßen,
kleinzaches_05_f000205|Fabians nackte Arme preisgebend, daß bald sich ihm eine Schleppe nachwälzte, länger und länger sich dehnend.|Fabians nackte Arme preisgebend, daß bald sich ihm eine Schleppe nachwälzte, länger und länger sich dehnend.
kleinzaches_05_f000206|Alle Leute standen still und lachten aus vollem Halse, die Straßenbuben rannten dutzendweise jubelnd und jauchzend über den langen Talar und rissen Fabian um, und wie er sich wieder aufraffte, fehlte kein Stückchen von der Schleppe, nein!|Alle Leute standen still und lachten aus vollem Halse, die Straßenbuben rannten dutzendweise jubelnd und jauchzend über den langen Talar und rissen Fabian um, und wie er sich wieder aufraffte, fehlte kein Stückchen von der Schleppe, nein!
kleinzaches_05_f000207|sie war noch länger geworden.|sie war noch länger geworden.
kleinzaches_05_f000208|Und immer toller und toller wurde Gelächter, Jubel und Geschrei, bis sich endlich Fabian, halb wahnsinnig, in ein offnes Haus stürzte.|Und immer toller und toller wurde Gelächter, Jubel und Geschrei, bis sich endlich Fabian, halb wahnsinnig, in ein offnes Haus stürzte.
kleinzaches_05_f000209|Sogleich war auch die Schleppe verschwunden.|Sogleich war auch die Schleppe verschwunden.
kleinzaches_05_f000210|Balthasar hatte gar nicht Zeit, sich über Fabians seltsame Verzauberung viel zu verwundern; denn der Referendarius Pulcher faßte ihn, riß ihn fort in eine abgelegene Straße und sprach:|Balthasar hatte gar nicht Zeit, sich über Fabians seltsame Verzauberung viel zu verwundern; denn der Referendarius Pulcher faßte ihn, riß ihn fort in eine abgelegene Straße und sprach:
kleinzaches_05_f000211|Wie ist es möglich, daß du nicht schon fort bist, daß du dich hier noch sehen lassen kannst, da der Pedell mit dem Verhaftsbefehl dich schon verfolgt.|Wie ist es möglich, daß du nicht schon fort bist, daß du dich hier noch sehen lassen kannst, da der Pedell mit dem Verhaftsbefehl dich schon verfolgt.
kleinzaches_05_f000212|Was ist das, wovon sprichst du?|Was ist das, wovon sprichst du?
kleinzaches_05_f000213|fragte Balthasar voll Erstaunen.|fragte Balthasar voll Erstaunen.
kleinzaches_05_f000214|So weit, fuhr der Referendarius fort, so weit riß dich der Wahnsinn der Eifersucht hin, daß du das Hausrecht verletztest, feindlich einbrechend in Mosch Terpins Haus, daß du den Zinnober überfielst bei seiner Braut,|So weit, fuhr der Referendarius fort, so weit riß dich der Wahnsinn der Eifersucht hin, daß du das Hausrecht verletztest, feindlich einbrechend in Mosch Terpins Haus, daß du den Zinnober überfielst bei seiner Braut,
kleinzaches_05_f000215|daß du den mißgestalteten Däumling halb tot prügeltest!|daß du den mißgestalteten Däumling halb tot prügeltest!
kleinzaches_05_f000216|Ich bitte dich, schrie Balthasar, den ganzen Tag war ich ja nicht in Kerepes, schändliche Lügen.|Ich bitte dich, schrie Balthasar, den ganzen Tag war ich ja nicht in Kerepes, schändliche Lügen.
kleinzaches_05_f000217|O still, still, fiel ihm Pulcher ins Wort, Fabians toller unsinniger Einfall, ein Schleppkleid anzuziehen, rettet dich.|O still, still, fiel ihm Pulcher ins Wort, Fabians toller unsinniger Einfall, ein Schleppkleid anzuziehen, rettet dich.
kleinzaches_05_f000218|Niemand achtet jetzt deiner!|Niemand achtet jetzt deiner!
kleinzaches_05_f000219|Entziehe dich nur der schimpflichen Verhaftung, das übrige wollen wir denn schon ausfechten.|Entziehe dich nur der schimpflichen Verhaftung, das übrige wollen wir denn schon ausfechten.
kleinzaches_05_f000220|Du darfst nicht mehr in deine Wohnung!|Du darfst nicht mehr in deine Wohnung!
kleinzaches_05_f000221|Gib mir die Schlüssel, ich schicke dir alles nach.|Gib mir die Schlüssel, ich schicke dir alles nach.
kleinzaches_05_f000222|Fort nach Hoch-Jakobsheim!|Fort nach Hoch-Jakobsheim!
kleinzaches_05_f000223|Und damit riß der Referendarius den Balthasar fort durch entlegene Gassen, durchs Tor hin nach dem Dorfe Hoch-Jakobsheim, wo der berühmte Gelehrte Ptolomäus Philadelphus sein merkwürdiges Buch über die unbekannte Völkerschaft der Studenten schrieb.|Und damit riß der Referendarius den Balthasar fort durch entlegene Gassen, durchs Tor hin nach dem Dorfe Hoch-Jakobsheim, wo der berühmte Gelehrte Ptolomäus Philadelphus sein merkwürdiges Buch über die unbekannte Völkerschaft der Studenten schrieb.
kleinzaches_05_f000224|Ende von Kapitel 5.|Ende von Kapitel fünf.
kleinzaches_06_f000001|Kapitel sechs von Klein zaches, genannt Zinnober von E. T. A. Hoffmann.|Kapitel sechs von Klein zaches, genannt Zinnober von E. T. A. Hoffmann.
kleinzaches_06_f000002|Diese Librivox Aufnahme ist in der public Domain.|Diese Librivox Aufnahme ist in der public Domain.
kleinzaches_06_f000003|Sechstes Kapitel Wie der Geheime Spezialrat Zinnober in seinem Garten frisiert wurde und im Grase ein Taubad nahm.|Sechstes Kapitel Wie der Geheime Spezialrat Zinnober in seinem Garten frisiert wurde und im Grase ein Taubad nahm.
kleinzaches_06_f000004|Der Orden des grüngefleckten Tigers.|Der Orden des grüngefleckten Tigers.
kleinzaches_06_f000005|Glücklicher Einfall eines Theaterschneiders.|Glücklicher Einfall eines Theaterschneiders.
kleinzaches_06_f000006|Wie das Fräulein von Rosenschön sich mit Kaffee begoß und Prosper Alpanus ihr seine Freundschaft versicherte.|Wie das Fräulein von Rosenschön sich mit Kaffee begoß und Prosper Alpanus ihr seine Freundschaft versicherte.
kleinzaches_06_f000007|Der Professor Mosch Terpin schwamm in lauter Wonne.|Der Professor Mosch Terpin schwamm in lauter Wonne.
kleinzaches_06_f000008|Konnte, sprach er zu sich selbst, konnte mir denn etwas Glücklicheres begegnen, als daß der vortreffliche Geheime Spezialrat in mein Haus kam als Studiosus?|Konnte, sprach er zu sich selbst, konnte mir denn etwas Glücklicheres begegnen, als daß der vortreffliche Geheime Spezialrat in mein Haus kam als Studiosus?
kleinzaches_06_f000009|Er heiratet meine Tochter – er wird mein Schwiegersohn, durch ihn erlange ich die Gunst des vortrefflichen Fürsten Barsanuph und steige nach auf der Leiter, die mein herrliches Zinnoberchen hinaufklimmt.|Er heiratet meine Tochter - er wird mein Schwiegersohn, durch ihn erlange ich die Gunst des vortrefflichen Fürsten Barsanuph und steige nach auf der Leiter, die mein herrliches Zinnoberchen hinaufklimmt.
kleinzaches_06_f000010|Wahr ist es, daß es mir oft selbst unbegreiflich vorkommt, wie das Mädchen, die Candida, so ganz und gar vernarrt sein kann in den Kleinen.|Wahr ist es, daß es mir oft selbst unbegreiflich vorkommt, wie das Mädchen, die Candida, so ganz und gar vernarrt sein kann in den Kleinen.
kleinzaches_06_f000011|Sonst sieht das Frauenzimmer wohl mehr auf ein hübsches Äußere, als auf besondere Geistesgaben, und schaue ich denn nun zuweilen das Spezialmännlein an, so ist es mir,|Sonst sieht das Frauenzimmer wohl mehr auf ein hübsches Äußere, als auf besondere Geistesgaben, und schaue ich denn nun zuweilen das Spezialmännlein an, so ist es mir,
kleinzaches_06_f000012|als ob er nicht ganz hübsch zu nennen – sogar – bossu – still – St – St – die Wände haben Ohren – Er ist des Fürsten Liebling, wird immer höher steigen – höher hinauf und ist mein Schwiegersohn!|als ob er nicht ganz hübsch zu nennen - sogar - bossu - still - St - St - die Wände haben Ohren - Er ist des Fürsten Liebling, wird immer höher steigen - höher hinauf und ist mein Schwiegersohn!
kleinzaches_06_f000013|Mosch Terpin hatte recht, Candida äußerte die entschiedenste Neigung für den Kleinen und sprach, gab hie und da einer, den Zinnobers seltsamer Spuk nicht berückt hatte, zu verstehen,|Mosch Terpin hatte recht, Candida äußerte die entschiedenste Neigung für den Kleinen und sprach, gab hie und da einer, den Zinnobers seltsamer Spuk nicht berückt hatte, zu verstehen,
kleinzaches_06_f000014|daß der Geheime Spezialrat doch eigentlich ein fatales mißgestaltetes Ding sei, sogleich von den wunderschönen Haaren, womit ihn die Natur begabt.|daß der Geheime Spezialrat doch eigentlich ein fatales mißgestaltetes Ding sei, sogleich von den wunderschönen Haaren, womit ihn die Natur begabt.
kleinzaches_06_f000015|Niemand lächelte aber, wenn Candida also sprach, hämischer als der Referendarius Pulcher.|Niemand lächelte aber, wenn Candida also sprach, hämischer als der Referendarius Pulcher.
kleinzaches_06_f000016|Dieser stellte dem Zinnober nach auf Schritten und Tritten, und hierin stand ihm getreulich der Geheime Sekretär Adrian bei, ebenderselbe junge Mensch, den Zinnobers Zauber beinahe aus dem Bureau des Ministers verdrängt hätte,|Dieser stellte dem Zinnober nach auf Schritten und Tritten, und hierin stand ihm getreulich der Geheime Sekretär Adrian bei, ebenderselbe junge Mensch, den Zinnobers Zauber beinahe aus dem Bureau des Ministers verdrängt hätte,
kleinzaches_06_f000017|und der des Fürsten Gunst nur durch die vortreffliche Fleckkugel wieder gewann, die er ihm überreichte.|und der des Fürsten Gunst nur durch die vortreffliche Fleckkugel wieder gewann, die er ihm überreichte.
kleinzaches_06_f000018|Der Geheime Spezialrat Zinnober bewohnte ein schönes Haus mit einem noch schöneren Garten, in dessen Mitte sich ein mit dichtem Gebüsch umgebener Platz befand, auf dem die herrlichsten Rosen blühten.|Der Geheime Spezialrat Zinnober bewohnte ein schönes Haus mit einem noch schöneren Garten, in dessen Mitte sich ein mit dichtem Gebüsch umgebener Platz befand, auf dem die herrlichsten Rosen blühten.
kleinzaches_06_f000019|Man hatte bemerkt, daß allemal den neunten Tag Zinnober bei Tagesanbruch leise aufstand, sich, so sauer es ihm werden mochte, ohne alle Hilfe des Bedienten ankleidete, in den Garten hinabstieg und in den Gebüschen verschwand, die jenen Platz umgaben.|Man hatte bemerkt, daß allemal den neunten Tag Zinnober bei Tagesanbruch leise aufstand, sich, so sauer es ihm werden mochte, ohne alle Hilfe des Bedienten ankleidete, in den Garten hinabstieg und in den Gebüschen verschwand, die jenen Platz umgaben.
kleinzaches_06_f000020|Pulcher und Adrian, irgendein Geheimnis ahnend, wagten es in einer Nacht, als Zinnober, wie sie von seinem Kammerdiener erfahren, vor neun Tagen jenen Platz besucht hatte, die Gartenmauer zu übersteigen und sich in den Gebüschen zu verbergen.|Pulcher und Adrian, irgendein Geheimnis ahnend, wagten es in einer Nacht, als Zinnober, wie sie von seinem Kammerdiener erfahren, vor neun Tagen jenen Platz besucht hatte, die Gartenmauer zu übersteigen und sich in den Gebüschen zu verbergen.
kleinzaches_06_f000021|Kaum war der Morgen angebrochen, als sie den Kleinen daherwandeln sahen, schnupfend und prustend, weil ihm, da er mitten durch ein Blumenbeet ging, die tauichten Halme und Stauden um die Nase schlugen.|Kaum war der Morgen angebrochen, als sie den Kleinen daherwandeln sahen, schnupfend und prustend, weil ihm, da er mitten durch ein Blumenbeet ging, die tauichten Halme und Stauden um die Nase schlugen.
kleinzaches_06_f000022|Als er auf dem Rasenplatz bei den Rosen angekommen, ging ein süßtönendes Wehen durch die Büsche, und durchdringender wurde der Rosenduft.|Als er auf dem Rasenplatz bei den Rosen angekommen, ging ein süßtönendes Wehen durch die Büsche, und durchdringender wurde der Rosenduft.
kleinzaches_06_f000023|Eine schöne verschleierte Frau mit Flügeln an den Schultern schwebte herab, setzte sich auf den zierlichen Stuhl, der mitten unter den Rosenbüschen stand, nahm mit den leisen Worten:|Eine schöne verschleierte Frau mit Flügeln an den Schultern schwebte herab, setzte sich auf den zierlichen Stuhl, der mitten unter den Rosenbüschen stand, nahm mit den leisen Worten:
kleinzaches_06_f000024|Komm, mein liebes Kind, den kleinen Zinnober und kämmte ihm mit einem goldenen Kamm sein langes Haar, das den Rücken hinabwallte.|Komm, mein liebes Kind, den kleinen Zinnober und kämmte ihm mit einem goldenen Kamm sein langes Haar, das den Rücken hinabwallte.
kleinzaches_06_f000025|Das schien dem Kleinen sehr wohl zu tun, denn er blinzelte mit den Äugelein und streckte die Beinchen lang aus und knurrte und murrte beinahe wie ein Kater.|Das schien dem Kleinen sehr wohl zu tun, denn er blinzelte mit den Äugelein und streckte die Beinchen lang aus und knurrte und murrte beinahe wie ein Kater.
kleinzaches_06_f000026|Das hatte wohl fünf Minuten gedauert, da strich noch einmal die zauberische Frau mit einem Finger dem Kleinen die Scheitel entlang, und Pulcher und Adrian gewahrten einen schmalen, feuerfarb glänzenden Streif auf dem Haupte Zinnobers.|Das hatte wohl fünf Minuten gedauert, da strich noch einmal die zauberische Frau mit einem Finger dem Kleinen die Scheitel entlang, und Pulcher und Adrian gewahrten einen schmalen, feuerfarb glänzenden Streif auf dem Haupte Zinnobers.
kleinzaches_06_f000027|Nun sprach die Frau: Lebe wohl, mein süßes Kind!|Nun sprach die Frau: Lebe wohl, mein süßes Kind!
kleinzaches_06_f000028|Sei klug, sei klug, so wie du kannst!|Sei klug, sei klug, so wie du kannst!
kleinzaches_06_f000029|Der Kleine sprach: Adieu, Mütterchen, klug bin ich genug, du brauchst mir das gar nicht sooft zu wiederholen.|Der Kleine sprach: Adieu, Mütterchen, klug bin ich genug, du brauchst mir das gar nicht sooft zu wiederholen.
kleinzaches_06_f000030|Die Frau erhob sich langsam und verschwand in den Lüften.|Die Frau erhob sich langsam und verschwand in den Lüften.
kleinzaches_06_f000031|Pulcher und Adrian waren starr vor Erstaunen.|Pulcher und Adrian waren starr vor Erstaunen.
kleinzaches_06_f000032|Als nun aber Zinnober davonschreiten wollte, sprang der Referendarius hervor und rief laut: Guten Morgen, Herr Geheimer Spezialrat!|Als nun aber Zinnober davonschreiten wollte, sprang der Referendarius hervor und rief laut: Guten Morgen, Herr Geheimer Spezialrat!
kleinzaches_06_f000033|ei, wie schön haben Sie sich frisieren lassen!|ei, wie schön haben Sie sich frisieren lassen!
kleinzaches_06_f000034|Zinnober schaute sich um und wollte, als er den Referendarius erblickte, schnell davonrennen.|Zinnober schaute sich um und wollte, als er den Referendarius erblickte, schnell davonrennen.
kleinzaches_06_f000035|Ungeschickt und schwächlich auf den Beinchen, wie er nun aber war, stolperte er und fiel in das hohe Gras, das die Halme über ihn zusammenschlug, und er lag im Taubade.|Ungeschickt und schwächlich auf den Beinchen, wie er nun aber war, stolperte er und fiel in das hohe Gras, das die Halme über ihn zusammenschlug, und er lag im Taubade.
kleinzaches_06_f000036|Pulcher sprang hinzu und half ihm auf die Beine, aber Zinnober schnarrte ihn an: Herr, wie kommen Sie hier in meinen Garten! scheren Sie sich zum Teufel!|Pulcher sprang hinzu und half ihm auf die Beine, aber Zinnober schnarrte ihn an: Herr, wie kommen Sie hier in meinen Garten! scheren Sie sich zum Teufel!
kleinzaches_06_f000037|Und damit hüpfte und rannte er, so rasch er nur vermochte, hinein ins Haus.|Und damit hüpfte und rannte er, so rasch er nur vermochte, hinein ins Haus.
kleinzaches_06_f000038|Pulcher schrieb dem Balthasar diese wunderbare Begebenheit und versprach seine Aufmerksamkeit auf das kleine zauberische Ungetüm zu verdoppeln.|Pulcher schrieb dem Balthasar diese wunderbare Begebenheit und versprach seine Aufmerksamkeit auf das kleine zauberische Ungetüm zu verdoppeln.
kleinzaches_06_f000039|Zinnober schien über das, was ihm widerfahren, trostlos.|Zinnober schien über das, was ihm widerfahren, trostlos.
kleinzaches_06_f000040|Er ließ sich zu Bette bringen und stöhnte und ächzte so, daß die Kunde, wie er plötzlich erkrankt, bald zum Minister Mondschein, zum Fürsten Barsanuph gelangte.|Er ließ sich zu Bette bringen und stöhnte und ächzte so, daß die Kunde, wie er plötzlich erkrankt, bald zum Minister Mondschein, zum Fürsten Barsanuph gelangte.
kleinzaches_06_f000041|Fürst Barsanuph schickte sogleich seinen Leibarzt zu dem kleinen Liebling.|Fürst Barsanuph schickte sogleich seinen Leibarzt zu dem kleinen Liebling.
kleinzaches_06_f000042|Mein vortrefflichster Geheimer Spezialrat, sprach der Leibarzt, als er den Puls befühlt, Sie opfern sich auf für den Staat.|Mein vortrefflichster Geheimer Spezialrat, sprach der Leibarzt, als er den Puls befühlt, Sie opfern sich auf für den Staat.
kleinzaches_06_f000043|Angestrengte Arbeit hat Sie aufs Krankenbett geworfen, anhaltendes Denken Ihnen das unsägliche Leiden verursacht, das Sie empfinden müssen.|Angestrengte Arbeit hat Sie aufs Krankenbett geworfen, anhaltendes Denken Ihnen das unsägliche Leiden verursacht, das Sie empfinden müssen.
kleinzaches_06_f000044|Sie sehen im Antlitz sehr blaß und eingefallen aus, aber Ihr wertes Haupt glüht schrecklich!|Sie sehen im Antlitz sehr blaß und eingefallen aus, aber Ihr wertes Haupt glüht schrecklich!
kleinzaches_06_f000045|Ei, ei! doch keine Gehirnentzündung?|Ei, ei! doch keine Gehirnentzündung?
kleinzaches_06_f000046|Sollte das Wohl des Staats dergleichen hervorgebracht haben?|Sollte das Wohl des Staats dergleichen hervorgebracht haben?
kleinzaches_06_f000047|Kaum möglich!|Kaum möglich!
kleinzaches_06_f000048|Erlauben Sie doch!|Erlauben Sie doch!
kleinzaches_06_f000049|Der Leibarzt mochte wohl denselben roten Streif auf Zinnobers Haupte gewahren, den Pulcher und Adrian entdeckt hatten.|Der Leibarzt mochte wohl denselben roten Streif auf Zinnobers Haupte gewahren, den Pulcher und Adrian entdeckt hatten.
kleinzaches_06_f000050|Er wollte, nachdem er einige magnetische Striche aus der Ferne versucht, den Kranken auch verschiedentlich angehaucht, worüber dieser merklich mauzte und quinkelierte, nun mit der Hand hinfahren über das Haupt und berührte dasselbe unversehens.|Er wollte, nachdem er einige magnetische Striche aus der Ferne versucht, den Kranken auch verschiedentlich angehaucht, worüber dieser merklich mauzte und quinkelierte, nun mit der Hand hinfahren über das Haupt und berührte dasselbe unversehens.
kleinzaches_06_f000051|Da sprang Zinnober, schäumend vor Wut, in die Höhe und gab mit seinem kleinen Knochenhändchen dem Leibarzt, der sich gerade ganz über ihn hingebeugt, eine solche derbe Ohrfeige, daß es im ganzen Zimmer widerhallte.|Da sprang Zinnober, schäumend vor Wut, in die Höhe und gab mit seinem kleinen Knochenhändchen dem Leibarzt, der sich gerade ganz über ihn hingebeugt, eine solche derbe Ohrfeige, daß es im ganzen Zimmer widerhallte.
kleinzaches_06_f000052|Was wollen Sie, schrie Zinnober, was wollen Sie von mir, was krabbeln Sie mir herum auf meinem Kopfe!|Was wollen Sie, schrie Zinnober, was wollen Sie von mir, was krabbeln Sie mir herum auf meinem Kopfe!
