undine_01_f000001|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_10_f000026|Ursach zu den bittersten Klagen über diese glückliche Nebenbuhlerin zu haben.|Ursach zu den bittersten Klagen über diese glückliche Nebenbuhlerin zu haben.
undine_10_f000027|In dieser gegenseitigen Neigung wußte die eine bei ihren Pflegeeltern, die andre bei ihrem Ehegatten den Tag der Abreise weiter und weiter hinauszuschieben;|In dieser gegenseitigen Neigung wußte die eine bei ihren Pflegeeltern, die andre bei ihrem Ehegatten den Tag der Abreise weiter und weiter hinauszuschieben;
undine_10_f000028|ja, es war schon die Rede davon gewesen, Bertalda solle Undinen auf einige Zeit nach Burg Ringstetten an die Quellen der Donau begleiten.|ja, es war schon die Rede davon gewesen, Bertalda solle Undinen auf einige Zeit nach Burg Ringstetten an die Quellen der Donau begleiten.
undine_10_f000029|Sie sprachen auch einmal eines schönen Abends davon, als sie eben bei Sternenschein auf dem mit hohen Bäumen eingefaßten Markte der Reichsstadt umherwandelten.|Sie sprachen auch einmal eines schönen Abends davon, als sie eben bei Sternenschein auf dem mit hohen Bäumen eingefaßten Markte der Reichsstadt umherwandelten.
undine_10_f000030|Die beiden jungen Eheleute hatten Bertalden noch spät zu einem Spaziergange abgeholt, und alle drei zogen vertraulich unter dem tiefblauen Himmel auf und ab,|Die beiden jungen Eheleute hatten Bertalden noch spät zu einem Spaziergange abgeholt, und alle drei zogen vertraulich unter dem tiefblauen Himmel auf und ab,
undine_10_f000031|oftmals in ihren Gesprächen durch die Bewunderung unterbrochen, die sie dem kostbaren Springborn in der Mitte des Platzes und seinem wundersamen Rauschen und Sprudeln zollen mußten.|oftmals in ihren Gesprächen durch die Bewunderung unterbrochen, die sie dem kostbaren Springborn in der Mitte des Platzes und seinem wundersamen Rauschen und Sprudeln zollen mußten.
undine_10_f000032|Es war ihnen so lieb und heimlich zu Sinn; zwischen die Baumschatten durch stahlen sich die Lichtschimmer der nahen Häuser, ein stilles Gesumse von spielenden Kindern und andern luftwandelnden Menschen wogte um sie her;|Es war ihnen so lieb und heimlich zu Sinn; zwischen die Baumschatten durch stahlen sich die Lichtschimmer der nahen Häuser, ein stilles Gesumse von spielenden Kindern und andern luftwandelnden Menschen wogte um sie her;
undine_10_f000033|man war so allein und doch so freundlich in der heitern, lebendigen Welt mitten inne; was bei Tage Schwierigkeit geschienen hatte, das ebnete sich nun wie von selber,|man war so allein und doch so freundlich in der heitern, lebendigen Welt mitten inne; was bei Tage Schwierigkeit geschienen hatte, das ebnete sich nun wie von selber,
undine_10_f000034|und die drei Freunde konnten gar nicht mehr begreifen, warum wegen Bertaldas Mitreise auch nur die geringste Bedenklichkeit habe obwalten mögen.|und die drei Freunde konnten gar nicht mehr begreifen, warum wegen Bertaldas Mitreise auch nur die geringste Bedenklichkeit habe obwalten mögen.
undine_10_f000035|Da kam, als sie eben den Tag ihrer gemeinschaftlichen Abfahrt bestimmen wollten, ein langer Mann von der Miete des Marktplatzes her auf sie zugegangen,|Da kam, als sie eben den Tag ihrer gemeinschaftlichen Abfahrt bestimmen wollten, ein langer Mann von der Miete des Marktplatzes her auf sie zugegangen,
undine_10_f000036|neigte sich ehrerbietig vor der Gesellschaft und sagte der jungen Frau etwas ins Ohr.|neigte sich ehrerbietig vor der Gesellschaft und sagte der jungen Frau etwas ins Ohr.
undine_10_f000037|Sie trat, unzufrieden über die Störung und über den Störer, einige Schritte mit dem Fremden zur Seite, und beide begannen miteinander zu flüstern,|Sie trat, unzufrieden über die Störung und über den Störer, einige Schritte mit dem Fremden zur Seite, und beide begannen miteinander zu flüstern,
undine_10_f000038|es schien, in einer fremden Sprache.|es schien, in einer fremden Sprache.
undine_10_f000039|Huldbrand glaubte den seltsamen Mann zu kennen und sah so starr auf ihn hin, daß er Bertaldens staunende Fragen weder hörte noch beantwortete.|Huldbrand glaubte den seltsamen Mann zu kennen und sah so starr auf ihn hin, daß er Bertaldens staunende Fragen weder hörte noch beantwortete.
undine_10_f000040|Mit einem Male klopfte Undine freudig in die Hände und ließ den Fremden lachend stehn, der sich mit vielem Kopfschütteln und hastigen, unzufriedenen Schritten entfernte und in den Brunnen hineinstieg.|Mit einem Male klopfte Undine freudig in die Hände und ließ den Fremden lachend stehn, der sich mit vielem Kopfschütteln und hastigen, unzufriedenen Schritten entfernte und in den Brunnen hineinstieg.
undine_10_f000041|Nun glaubte Huldbrand seiner Sache ganz gewiß zu sein, Bertalda aber fragte: Was wollte dir denn der Brunnenmeister, liebe Undine? – Die junge Frau lachte heimlich in sich hinein und erwiderte:|Nun glaubte Huldbrand seiner Sache ganz gewiß zu sein, Bertalda aber fragte: Was wollte dir denn der Brunnenmeister, liebe Undine? - Die junge Frau lachte heimlich in sich hinein und erwiderte:
undine_10_f000042|Übermorgen, auf deinen Namenstag, sollst dues erfahren, du liebliches Kind.|Übermorgen, auf deinen Namenstag, sollst dues erfahren, du liebliches Kind.
undine_10_f000043|Und weiter war nichts aus ihr herauszubringen. Sie lud nun Bertalden und durch sie ihre Pflegeeltern an dem bestimmten Tage zur Mittagstafel,|Und weiter war nichts aus ihr herauszubringen. Sie lud nun Bertalden und durch sie ihre Pflegeeltern an dem bestimmten Tage zur Mittagstafel,
undine_10_f000044|und man ging bald darauf auseinander.|und man ging bald darauf auseinander.
undine_10_f000045|Kühleborn? fragte Huldbrand mit einem geheimen Schauder seine schöne Gattin, als sie von Bertalda Abschied genommen hatten und nun allein durch die dunkler werdenden Gassen zu Haus gingen.|Kühleborn? fragte Huldbrand mit einem geheimen Schauder seine schöne Gattin, als sie von Bertalda Abschied genommen hatten und nun allein durch die dunkler werdenden Gassen zu Haus gingen.
undine_10_f000046|Ja, er war es, antwortete Undine, und er wollte mir auch allerhand dummes Zeug vorsprechen! Aber mitten darin hat er mich, ganz gegen seine Absicht,|Ja, er war es, antwortete Undine, und er wollte mir auch allerhand dummes Zeug vorsprechen! Aber mitten darin hat er mich, ganz gegen seine Absicht,
undine_10_f000047|mit einer höchst willkommenen Botschaft erfreut.|mit einer höchst willkommenen Botschaft erfreut.
undine_10_f000048|Willst du diese nun gleich wissen, mein holder Herr und Gemahl, so brauchst du nur zu gebieten, und ich spreche mir alles vom Herzen los.|Willst du diese nun gleich wissen, mein holder Herr und Gemahl, so brauchst du nur zu gebieten, und ich spreche mir alles vom Herzen los.
undine_10_f000049|Wolltest du aber deiner Undine eine recht, recht große Freude gönnen, so ließest du es bis übermorgen und hättest dann auch an der Überraschung dein Teil.|Wolltest du aber deiner Undine eine recht, recht große Freude gönnen, so ließest du es bis übermorgen und hättest dann auch an der Überraschung dein Teil.
undine_10_f000050|Der Ritter gewährte seiner Gattin gern, warum sie so anmutig bat, und noch im Entschlummern lispelte sie lächelnd vor sich hin: Was sie sich freuen wird und sich wundern über ihres Brunnenmeisters Botschaft, die liebe, liebe Bertalda!|Der Ritter gewährte seiner Gattin gern, warum sie so anmutig bat, und noch im Entschlummern lispelte sie lächelnd vor sich hin: Was sie sich freuen wird und sich wundern über ihres Brunnenmeisters Botschaft, die liebe, liebe Bertalda!
undine_10_f000051|Ende des Zehntes Kapitels.|Ende des Zehntes Kapitels.
undine_11_f000001|Eilftes Kapitel von Undine von Friedrich de la Motte Fouque.|Eilftes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_11_f000002|Diese librivox Aufnahme ist in der publik domain.|Diese librivox Aufnahme ist in der publik domain.
undine_11_f000003|Bertaldas Namensfeier|Bertaldas Namensfeier
undine_11_f000004|Die Gesellschaft saß bei Tafel, Bertalda mit Kleinodien und Blumen, den mannigfachen Geschenken ihrer Pflegeeltern und Freunde geschmückt, wie eine Frühlingsgöttin,|Die Gesellschaft saß bei Tafel, Bertalda mit Kleinodien und Blumen, den mannigfachen Geschenken ihrer Pflegeeltern und Freunde geschmückt, wie eine Frühlingsgöttin,
undine_11_f000005|obenan, zu ihrer Seiten Undine und Huldbrand.|obenan, zu ihrer Seiten Undine und Huldbrand.
undine_11_f000006|Als das reiche Mahl zu Ende ging und man den Nachtisch auftrug, blieben die Türen offen; nach alter, guter Sitte in deutschen Landen, damit auch das Volk zusehen könne und sich an der Lustigkeit der Herrschaften mitfreuen.|Als das reiche Mahl zu Ende ging und man den Nachtisch auftrug, blieben die Türen offen; nach alter, guter Sitte in deutschen Landen, damit auch das Volk zusehen könne und sich an der Lustigkeit der Herrschaften mitfreuen.
undine_11_f000007|Bediente trugen Wein und Kuchen unter den Zuschauern herum. Huldbrand und Bertalda warteten mit heimlicher Ungeduld auf die versprochne Erklärung und verwandten,|Bediente trugen Wein und Kuchen unter den Zuschauern herum. Huldbrand und Bertalda warteten mit heimlicher Ungeduld auf die versprochne Erklärung und verwandten,
undine_11_f000008|sosehr es sich tun ließ, kein Auge von Undinen.|sosehr es sich tun ließ, kein Auge von Undinen.
undine_11_f000009|Aber die schöne Frau blieb noch immer still und lächelte nur heimlich und innig froh vor sich hin. Wer um ihre getane Verheißung wußte, konnte sehn,|Aber die schöne Frau blieb noch immer still und lächelte nur heimlich und innig froh vor sich hin. Wer um ihre getane Verheißung wußte, konnte sehn,
undine_11_f000010|daß sie ihr erquickendes Geheimnis alle Augenblick verraten wollte und es doch noch immer in lüsterner Entsagung zurücklegte, wie es Kinder bisweilen mit ihren liebsten Leckerbissen tun.|daß sie ihr erquickendes Geheimnis alle Augenblick verraten wollte und es doch noch immer in lüsterner Entsagung zurücklegte, wie es Kinder bisweilen mit ihren liebsten Leckerbissen tun.
undine_11_f000011|Bertalda und Huldbrand teilten dies wonnige Gefühl, in hoffender Bangigkeit das neue Glück erwartend, welches von ihrer Freundin Lippen auf sie herniedertauen sollte.|Bertalda und Huldbrand teilten dies wonnige Gefühl, in hoffender Bangigkeit das neue Glück erwartend, welches von ihrer Freundin Lippen auf sie herniedertauen sollte.
undine_11_f000012|Da baten verschiedne von der Gesellschaft Undinen um ein Lied. Es schien ihr gelegen zu kommen, sie ließ sich sogleich ihre Laute bringen und sang folgende Worte:|Da baten verschiedne von der Gesellschaft Undinen um ein Lied. Es schien ihr gelegen zu kommen, sie ließ sich sogleich ihre Laute bringen und sang folgende Worte:
undine_11_f000013|Morgen so hell,|Morgen so hell,
undine_11_f000014|Blumen so bunt,|Blumen so bunt,
undine_11_f000015|Gräser so duftig und hoch|Gräser so duftig und hoch
undine_11_f000016|An wallenden Sees Gestade!|An wallenden Sees Gestade!
undine_11_f000017|Was zwischen den Gräsern|Was zwischen den Gräsern
undine_11_f000018|Schimmert so licht?|Schimmert so licht?
undine_11_f000019|Istes eine Blüte weiß und groß,|Istes eine Blüte weiß und groß,
undine_11_f000020|Vom Himmel gefallen in Wiesenschoß?|Vom Himmel gefallen in Wiesenschoß?
undine_11_f000021|Ach, ist ein zartes Kind! –|Ach, ist ein zartes Kind! -
undine_11_f000022|Unbewußt mit Blumen tändeltes,|Unbewußt mit Blumen tändeltes,
undine_11_f000023|Faßt nach goldnen Morgenlichtern; –|Faßt nach goldnen Morgenlichtern; -
undine_11_f000024|O woher? Woher, du Holdes? –|O woher? Woher, du Holdes? -
undine_11_f000025|Fern vom unbekannten Strande|Fern vom unbekannten Strande
undine_11_f000026|Trug es hier der See heran; –|Trug es hier der See heran; -
undine_11_f000027|Nein, fasse nicht, du zartes Leben,|Nein, fasse nicht, du zartes Leben,
undine_11_f000028|Mit deiner kleinen Hand herum;|Mit deiner kleinen Hand herum;
undine_11_f000029|Nicht Hand wird dir zurückgegeben,|Nicht Hand wird dir zurückgegeben,
undine_11_f000030|Die Blumen sind so fremd und stumm.|Die Blumen sind so fremd und stumm.
undine_11_f000031|Die wissen wohl sich schön zu schmücken,|Die wissen wohl sich schön zu schmücken,
undine_11_f000032|Zu duften auch nach Herzenslust,|Zu duften auch nach Herzenslust,
undine_11_f000033|Doch keine mag dich an sich drücken,|Doch keine mag dich an sich drücken,
undine_11_f000034|Fern ist die traute Mutterbrust.|Fern ist die traute Mutterbrust.
undine_11_f000035|So früh noch an des Lebens Toren,|So früh noch an des Lebens Toren,
undine_11_f000036|Noch Himmelslächeln im Gesicht,|Noch Himmelslächeln im Gesicht,
undine_11_f000037|Hast du das Beste schon verloren,|Hast du das Beste schon verloren,
undine_11_f000038|O armes Kind, und weißt es nicht.|O armes Kind, und weißt es nicht.
undine_11_f000039|Ein edler Herzog kommt geritten|Ein edler Herzog kommt geritten
undine_11_f000040|Und hemmt vor dir des Rosses Lauf;|Und hemmt vor dir des Rosses Lauf;
undine_11_f000041|Zu hoher Kunst und reinen Sitten|Zu hoher Kunst und reinen Sitten
undine_11_f000042|Zieht er in seiner Burg dich auf.|Zieht er in seiner Burg dich auf.
undine_11_f000043|Du hast unendlich viel gewonnen,|Du hast unendlich viel gewonnen,
undine_11_f000044|Du blühst, die Schönst im ganzen Land,|Du blühst, die Schönst im ganzen Land,
undine_11_f000045|Doch ach! die allerbesten Wonnen|Doch ach! die allerbesten Wonnen
undine_11_f000046|Ließest du am unbekannten Strand.|Ließest du am unbekannten Strand.
undine_11_f000047|Undine senkte mit einem wehmütigen Lächeln ihre Laute; die Augen der herzoglichen Pflegeeltern Bertaldens standen voller Tränen.|Undine senkte mit einem wehmütigen Lächeln ihre Laute; die Augen der herzoglichen Pflegeeltern Bertaldens standen voller Tränen.
undine_11_f000048|So war es am Morgen, wo ich dich fand, du arme, holde Waise, sagte der Herzog tief bewegt; die schöne Sängerin hat wohl recht; das Beste haben wir dir dennoch nicht zu geben vermocht. –|So war es am Morgen, wo ich dich fand, du arme, holde Waise, sagte der Herzog tief bewegt; die schöne Sängerin hat wohl recht; das Beste haben wir dir dennoch nicht zu geben vermocht. -
undine_11_f000049|Wir müssen aber auch hören, wie es den armen Eltern ergangen ist, sagte Undine, schlug die Saiten und sang:|Wir müssen aber auch hören, wie es den armen Eltern ergangen ist, sagte Undine, schlug die Saiten und sang:
undine_11_f000050|Mutter geht durch ihre Kammern,|Mutter geht durch ihre Kammern,
undine_11_f000051|Räumt die Schränke ein und aus,|Räumt die Schränke ein und aus,
undine_11_f000052|Sucht, und weiß nicht was, mit Jammern,|Sucht, und weiß nicht was, mit Jammern,
undine_11_f000053|Findet nichts, als leeres Haus.|Findet nichts, als leeres Haus.
undine_11_f000054|Leeres Haus! O Wort der Klage|Leeres Haus! O Wort der Klage
undine_11_f000055|Dem, der einst ein holdes Kind|Dem, der einst ein holdes Kind
undine_11_f000056|Drin gegängelt hat am Tage,|Drin gegängelt hat am Tage,
undine_11_f000057|Drin gewiegt in Nächten lind.|Drin gewiegt in Nächten lind.
undine_11_f000058|Wieder grünen wohl die Buchen,|Wieder grünen wohl die Buchen,
undine_11_f000059|Wieder kommt der Sonne Licht,|Wieder kommt der Sonne Licht,
undine_11_f000060|Aber, Mutter, laß dein Suchen,|Aber, Mutter, laß dein Suchen,
undine_11_f000061|Wieder kommt dein Liebes nicht.|Wieder kommt dein Liebes nicht.
undine_11_f000062|Und wenn Abendlüfte fächeln,|Und wenn Abendlüfte fächeln,
undine_11_f000063|Vater heim zum Herde kehrt,|Vater heim zum Herde kehrt,
undine_11_f000064|Regt siches fast in ihm wie Lächeln,|Regt siches fast in ihm wie Lächeln,
undine_11_f000065|Dran doch gleich die Träne zehrt.|Dran doch gleich die Träne zehrt.
undine_11_f000066|Vater weiß, in seinen Zimmern|Vater weiß, in seinen Zimmern
undine_11_f000067|Findet er die Todesruh,|Findet er die Todesruh,
undine_11_f000068|Hört nur bleicher Mutter Wimmern,|Hört nur bleicher Mutter Wimmern,
undine_11_f000069|Und kein Kindlein lacht ihm zu.|Und kein Kindlein lacht ihm zu.
undine_11_f000070|O, um Gott, Undine, wo sind meine Eltern? rief die weinende Bertalda. Du weißt es gewiß, du hast es erfahren, du wundersame Frau, denn sonst hättest du mir das Herz nicht so zerrissen.|O, um Gott, Undine, wo sind meine Eltern? rief die weinende Bertalda. Du weißt es gewiß, du hast es erfahren, du wundersame Frau, denn sonst hättest du mir das Herz nicht so zerrissen.
undine_11_f000071|Sind sie vielleicht schon hier? Wär es? – Ihr Auge durchflog die glänzende Gesellschaft und weilte auf einer regierenden Herrin, die ihrem Pflegevater zunächst saß.|Sind sie vielleicht schon hier? Wär es? - Ihr Auge durchflog die glänzende Gesellschaft und weilte auf einer regierenden Herrin, die ihrem Pflegevater zunächst saß.
undine_11_f000072|Da beugte sich Undine nach der Tür zurück, ihre Augen flossen in der süßesten Rührung über. Wo sind denn die armen, harrenden Eltern? fragte sie,|Da beugte sich Undine nach der Tür zurück, ihre Augen flossen in der süßesten Rührung über. Wo sind denn die armen, harrenden Eltern? fragte sie,
undine_11_f000073|und der alte Fischer mit seiner Frau wankten aus dem Haufen der Zuschauer vor.|und der alte Fischer mit seiner Frau wankten aus dem Haufen der Zuschauer vor.
undine_11_f000074|Ihre Augen hingen fragend bald an Undinen, bald an dem schönen Fräulein, das ihre Tochter sein sollte. – Sie ist es! stammelte die entzückte Geberin,|Ihre Augen hingen fragend bald an Undinen, bald an dem schönen Fräulein, das ihre Tochter sein sollte. - Sie ist es! stammelte die entzückte Geberin,
undine_11_f000075|und die zwei alten Leute hingen lautweinend und Gott preisend an dem Halse der Wiedergefundnen.|und die zwei alten Leute hingen lautweinend und Gott preisend an dem Halse der Wiedergefundnen.
undine_11_f000076|Aber entsetzt und zürnend riß sich Bertalda aus ihrer Umarmung los. Es war zu viel für dieses stolze Gemüt, eine solche Wiedererkennung in dem Augenblicke,|Aber entsetzt und zürnend riß sich Bertalda aus ihrer Umarmung los. Es war zu viel für dieses stolze Gemüt, eine solche Wiedererkennung in dem Augenblicke,
undine_11_f000077|wo sie fest gemeint hatte, ihren bisherigen Glanz noch zu steigern, und die Hoffnung Thronhimmel und Kronen über ihr Haupt herunterregnen ließ.|wo sie fest gemeint hatte, ihren bisherigen Glanz noch zu steigern, und die Hoffnung Thronhimmel und Kronen über ihr Haupt herunterregnen ließ.
undine_11_f000078|Es kam ihr vor, als habe ihre Nebenbuhlerin dies alles ersonnen, um sie nur recht ausgesucht vor Huldbranden und aller Welt zu demütigen.|Es kam ihr vor, als habe ihre Nebenbuhlerin dies alles ersonnen, um sie nur recht ausgesucht vor Huldbranden und aller Welt zu demütigen.
undine_11_f000079|Sie schalt Undinen, sie schalt die beiden Alten; die häßlichen Worte: Betrügerin und erkauftes Volk! rissen sich von ihren Lippen.|Sie schalt Undinen, sie schalt die beiden Alten; die häßlichen Worte: Betrügerin und erkauftes Volk! rissen sich von ihren Lippen.
undine_11_f000080|Da sagte die alte Fischersfrau nur ganz leise vor sich hin: Ach Gott, ist sie ein böses Weibsbild geworden; und dennoch fühl iches im Herzen, daß sie von mir geboren ist.|Da sagte die alte Fischersfrau nur ganz leise vor sich hin: Ach Gott, ist sie ein böses Weibsbild geworden; und dennoch fühl iches im Herzen, daß sie von mir geboren ist.
undine_11_f000081|Der alte Fischer aber hatte seine Hände gefaltet und betete still, daß die hier seine Tochter nicht sein möge. – Undine wankte todesbleich von den Eltern zu Bertalda,|Der alte Fischer aber hatte seine Hände gefaltet und betete still, daß die hier seine Tochter nicht sein möge. - Undine wankte todesbleich von den Eltern zu Bertalda,
undine_11_f000082|von Bertalda zu den Eltern, plötzlich aus all den Himmeln, die sie sich geträumt hatte, in eine Angst und ein Entsetzen gestürzt, das ihr bisher auch nicht im Traume kundgeworden war.|von Bertalda zu den Eltern, plötzlich aus all den Himmeln, die sie sich geträumt hatte, in eine Angst und ein Entsetzen gestürzt, das ihr bisher auch nicht im Traume kundgeworden war.
undine_11_f000083|Hast du denn eine Seele? Hast du denn wirklich eine Seele, Bertalda? schrie sie einige Male in ihre zürnende Freundin hinein, als wolle sie sie aus einem plötzlichen Wahnsinn oder einem tollmachenden Nachtgesichte gewaltsam zur Besinnung bringen.|Hast du denn eine Seele? Hast du denn wirklich eine Seele, Bertalda? schrie sie einige Male in ihre zürnende Freundin hinein, als wolle sie sie aus einem plötzlichen Wahnsinn oder einem tollmachenden Nachtgesichte gewaltsam zur Besinnung bringen.
undine_11_f000084|Als aber Bertalda nur immer noch ungestümer wütete, als die verstoßenen Eltern laut zu heulen anfingen und die Gesellschaft sich streitend und eifernd in verschiedne Parten teilte,|Als aber Bertalda nur immer noch ungestümer wütete, als die verstoßenen Eltern laut zu heulen anfingen und die Gesellschaft sich streitend und eifernd in verschiedne Parten teilte,
undine_11_f000085|erbat sie sich mit einem Male so würdig und ernst die Freiheit, in den Zimmern ihres Mannes zu reden, daß alles um sie her wie auf einen Wink still ward.|erbat sie sich mit einem Male so würdig und ernst die Freiheit, in den Zimmern ihres Mannes zu reden, daß alles um sie her wie auf einen Wink still ward.
undine_11_f000086|Sie trat darauf an das obre Ende des Tisches, wo Bertalda gesessen hatte, demütig und stolz, und sprach, während sich aller Augen unverwandt auf sie richteten, folgendergestalt:|Sie trat darauf an das obre Ende des Tisches, wo Bertalda gesessen hatte, demütig und stolz, und sprach, während sich aller Augen unverwandt auf sie richteten, folgendergestalt:
undine_11_f000087|Ihr Leute, die ihr so feindlich ausseht und so verstört und mir mein liebes Fest so grimm zerreißt, ach Gott, ich wußte von euern törichten Sitten und eurer harten Sinnesweise nichts und werde mich wohl mein lebelang nicht drin finden.|Ihr Leute, die ihr so feindlich ausseht und so verstört und mir mein liebes Fest so grimm zerreißt, ach Gott, ich wußte von euern törichten Sitten und eurer harten Sinnesweise nichts und werde mich wohl mein lebelang nicht drin finden.
undine_11_f000088|Daß ich alles verkehrt angefangen habe, liegt nicht an mir; glaubt nur, es liegt einzig an euch, sowenig es auch darnach aussehen mag.|Daß ich alles verkehrt angefangen habe, liegt nicht an mir; glaubt nur, es liegt einzig an euch, sowenig es auch darnach aussehen mag.
undine_11_f000089|Ich habe euch auch deshalb nur wenig zu sagen, aber das eine muß gesagt sein: ich habe nicht gelogen. Beweise kann und will ich euch außer meiner Versicherung nicht geben,|Ich habe euch auch deshalb nur wenig zu sagen, aber das eine muß gesagt sein: ich habe nicht gelogen. Beweise kann und will ich euch außer meiner Versicherung nicht geben,
undine_11_f000090|aber beschwören will ich es.|aber beschwören will ich es.
undine_11_f000091|Mir hat es derselbe gesagt, der Bertalden von ihren Eltern weg ins Wasser lockte und sie nachher dem Herzog in seinen Weg auf die grüne Wiese legte.|Mir hat es derselbe gesagt, der Bertalden von ihren Eltern weg ins Wasser lockte und sie nachher dem Herzog in seinen Weg auf die grüne Wiese legte.
undine_11_f000092|Sie ist eine Zauberin, rief Bertalda, eine Hexe, die mit bösen Geistern Umgang hat! Sie bekennt es ja selbst.|Sie ist eine Zauberin, rief Bertalda, eine Hexe, die mit bösen Geistern Umgang hat! Sie bekennt es ja selbst.
undine_11_f000093|Das tue ich nicht, sagte Undine, einen ganzen Himmel der Unschuld und Zuversicht in ihren Augen. Ich bin auch keine Hexe; seht mich nur darauf an.|Das tue ich nicht, sagte Undine, einen ganzen Himmel der Unschuld und Zuversicht in ihren Augen. Ich bin auch keine Hexe; seht mich nur darauf an.
undine_11_f000094|So lügt sie und prahlt, fiel Bertalda ein, und kann nicht behaupten, daß ich dieser niedern Leute Kind sei. Meine herzoglichen Eltern, ich bitte euch,|So lügt sie und prahlt, fiel Bertalda ein, und kann nicht behaupten, daß ich dieser niedern Leute Kind sei. Meine herzoglichen Eltern, ich bitte euch,
undine_11_f000095|führt mich aus dieser Gesellschaft fort und aus dieser Stadt, wo man nur darauf ausgeht, mich zu schmähen.|führt mich aus dieser Gesellschaft fort und aus dieser Stadt, wo man nur darauf ausgeht, mich zu schmähen.
undine_11_f000096|Der alte, ehrsame Herzog aber blieb fest stehen, und seine Gemahlin sagte: Wir müssen durchaus wissen, woran wir sind; Gott sei vor, daß ich eher nur einen Fuß aus diesem Saale setze.|Der alte, ehrsame Herzog aber blieb fest stehen, und seine Gemahlin sagte: Wir müssen durchaus wissen, woran wir sind; Gott sei vor, daß ich eher nur einen Fuß aus diesem Saale setze.
undine_11_f000097|Da näherte sich die alte Fischerin, beugte sich tief vor der Herzogin und sagte: Ihr schließt mir das Herz auf, hohe, gottesfürchtige Frau.|Da näherte sich die alte Fischerin, beugte sich tief vor der Herzogin und sagte: Ihr schließt mir das Herz auf, hohe, gottesfürchtige Frau.
undine_11_f000098|Ich muß Euch sagen, wenn dieses böse Fräulein meine Tochter ist, trägt sie ein Mal, gleich einem Veilchen, zwischen beiden Schultern und ein gleiches auf dem Spann ihres linken Fußes.|Ich muß Euch sagen, wenn dieses böse Fräulein meine Tochter ist, trägt sie ein Mal, gleich einem Veilchen, zwischen beiden Schultern und ein gleiches auf dem Spann ihres linken Fußes.
undine_11_f000099|Wenn sie sich nur mit mir aus dem Saale entfernen wollte. – Ich entblöße mich nicht vor der Bäuerin, sagte Bertalda, ihr stolz den Rücken wendend.|Wenn sie sich nur mit mir aus dem Saale entfernen wollte. - Ich entblöße mich nicht vor der Bäuerin, sagte Bertalda, ihr stolz den Rücken wendend.
undine_11_f000100|Aber vor mir doch wohl, entgegnete die Herzogin mit großem Ernst. Ihr werdet mir in jenes Gemach folgen, Jungfrau, und die gute Alte kommt mit.|Aber vor mir doch wohl, entgegnete die Herzogin mit großem Ernst. Ihr werdet mir in jenes Gemach folgen, Jungfrau, und die gute Alte kommt mit.
undine_11_f000101|Die drei verschwanden, und alle übrigen blieben in großer Erwartung schweigend zurück. Nach einer kleinen Weile kamen die Frauen wieder, Bertalda totenbleich, und die Herzogin sagte:|Die drei verschwanden, und alle übrigen blieben in großer Erwartung schweigend zurück. Nach einer kleinen Weile kamen die Frauen wieder, Bertalda totenbleich, und die Herzogin sagte:
undine_11_f000102|Recht muß Recht bleiben: deshalben erklär ich, daß unsre Frau Wirtin vollkommen wahr gesprochen hat. Bertalda ist des Fischers Tochter, und so viel ist,|Recht muß Recht bleiben: deshalben erklär ich, daß unsre Frau Wirtin vollkommen wahr gesprochen hat. Bertalda ist des Fischers Tochter, und so viel ist,
undine_11_f000103|als man hier zu wissen braucht.|als man hier zu wissen braucht.
undine_11_f000104|Das fürstliche Ehepaar ging mit der Pflegetochter fort; auf einen Wink des Herzogs folgte ihnen der Fischer mit seiner Frau.|Das fürstliche Ehepaar ging mit der Pflegetochter fort; auf einen Wink des Herzogs folgte ihnen der Fischer mit seiner Frau.
undine_11_f000105|Die andern Gäste entfernten sich schweigend oder heimlich murmelnd, und Undine sank herzlich weinend in Huldbrands Arme.|Die andern Gäste entfernten sich schweigend oder heimlich murmelnd, und Undine sank herzlich weinend in Huldbrands Arme.
undine_11_f000106|Ende des Eilftes Kapitels.|Ende des Eilftes Kapitels.
undine_12_f000001|Zwölftes Kapitel von Undine von Friedrich de la Motte Fouque.|Zwölftes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_12_f000002|Diese librivox Aufnahme ist in der publik domain.|Diese librivox Aufnahme ist in der publik domain.
undine_12_f000003|Wie sie aus der Reichsstadt abreisten|Wie sie aus der Reichsstadt abreisten
undine_12_f000004|Dem Herrn von Ringstetten wär es freilich lieber gewesen, wenn sich alles an diesem Tage anders gefügt hätte; aber auch so, wie es nun einmal war,|Dem Herrn von Ringstetten wär es freilich lieber gewesen, wenn sich alles an diesem Tage anders gefügt hätte; aber auch so, wie es nun einmal war,
undine_12_f000005|konnte es ihm nicht unlieb sein, da sich seine reizende Frau so fromm und gutmütig und herzlich bewies. –|konnte es ihm nicht unlieb sein, da sich seine reizende Frau so fromm und gutmütig und herzlich bewies. -
undine_12_f000006|Wenn ich ihr eine Seele gegeben habe, mußt er bei sich selber sagen, gab ich ihr wohl eine beßre als meine eigne ist; und nun dachte er einzig darauf,|Wenn ich ihr eine Seele gegeben habe, mußt er bei sich selber sagen, gab ich ihr wohl eine beßre als meine eigne ist; und nun dachte er einzig darauf,
