sous_les_mers_1_01_f000001|UN ÉCUEIL FUYANT|UN ÉCUEIL FUYANT
sous_les_mers_2_08_f000099|ce martyr de l'affranchissement de la race noire, John Brown, suspendu à son gibet, tel que l'a si terriblement dessiné le crayon de Victor Hugo.|ce martyr de l'affranchissement de la race noire, John Brown, suspendu à son gibet, tel que l'a si terriblement dessiné le crayon de Victor Hugo.
sous_les_mers_2_08_f000100|Quel lien existait-il entre ces âmes héroïques et l'âme du capitaine Nemo?|Quel lien existait-il entre ces âmes héroïques et l'âme du capitaine Nemo?
sous_les_mers_2_08_f000101|Pouvais-je enfin, de cette réunion de portraits, dégager le mystère de son existence? Était-il le champion des peuples opprimés, le libérateur des races esclaves? Avait-il figuré dans les dernières commotions politiques ou sociales de ce siècle.|Pouvais-je enfin, de cette réunion de portraits, dégager le mystère de son existence? Était-il le champion des peuples opprimés, le libérateur des races esclaves? Avait-il figuré dans les dernières commotions politiques ou sociales de ce siècle.
sous_les_mers_2_08_f000102|Avait-il été l'un des héros de la terrible guerre américaine, guerre lamentable et à jamais glorieuse?...|Avait-il été l'un des héros de la terrible guerre américaine, guerre lamentable et à jamais glorieuse?...
sous_les_mers_2_08_f000103|Tout à coup l'horloge sonna huit heures. Le battement du premier coup de marteau sur le timbre m'arracha à mes rêves.|Tout à coup l'horloge sonna huit heures. Le battement du premier coup de marteau sur le timbre m'arracha à mes rêves.
sous_les_mers_2_08_f000104|Je tressaillis comme si un oeil invisible eût pu plonger au plus secret de mes pensées, et je me précipitai hors de la chambre.|Je tressaillis comme si un oeil invisible eût pu plonger au plus secret de mes pensées, et je me précipitai hors de la chambre.
sous_les_mers_2_08_f000105|Là, mes regards s'arrêtèrent sur la boussole. Notre direction était toujours au nord.|Là, mes regards s'arrêtèrent sur la boussole. Notre direction était toujours au nord.
sous_les_mers_2_08_f000106|Le loch indiquait une vitesse modérée, le manomètre, une profondeur de soixante pieds environ. Les circonstances favorisaient donc les projets du Canadien.|Le loch indiquait une vitesse modérée, le manomètre, une profondeur de soixante pieds environ. Les circonstances favorisaient donc les projets du Canadien.
sous_les_mers_2_08_f000107|Je regagnai ma chambre. Je me vêtis chaudement, bottes de mer, bonnet de loutre, casaque de byssus doublée de peau de phoque. J'étais prêt.|Je regagnai ma chambre. Je me vêtis chaudement, bottes de mer, bonnet de loutre, casaque de byssus doublée de peau de phoque. J'étais prêt.
sous_les_mers_2_08_f000108|J'attendis. Les frémissements de l'hélice troublaient seuls le silence profond qui régnait à bord.|J'attendis. Les frémissements de l'hélice troublaient seuls le silence profond qui régnait à bord.
sous_les_mers_2_08_f000109|J'écoutais, je tendais l'oreille. Quelque éclat de voix ne m'apprendrait-il pas, tout à coup, que Ned Land venait d'être surpris dans ses projets d'évasion? Une inquiétude mortelle m'envahit.|J'écoutais, je tendais l'oreille. Quelque éclat de voix ne m'apprendrait-il pas, tout à coup, que Ned Land venait d'être surpris dans ses projets d'évasion? Une inquiétude mortelle m'envahit.
sous_les_mers_2_08_f000110|J'essayai vainement de reprendre mon sang-froid.|J'essayai vainement de reprendre mon sang-froid.
sous_les_mers_2_08_f000111|A neuf heures moins quelques minutes, je collai mon oreille près de la porte du capitaine.|A neuf heures moins quelques minutes, je collai mon oreille près de la porte du capitaine.
sous_les_mers_2_08_f000112|Nul bruit. Je quittai ma chambre, et je revins au salon qui était plongé dans une demi-obscurité, mais désert.|Nul bruit. Je quittai ma chambre, et je revins au salon qui était plongé dans une demi-obscurité, mais désert.
sous_les_mers_2_08_f000113|J'ouvris la porte communiquant avec la bibliothèque.|J'ouvris la porte communiquant avec la bibliothèque.
sous_les_mers_2_08_f000114|Même clarté insuffisante, même solitude. J'allai me poster près de la porte qui donnait sur la cage de l'escalier central. J'attendis le signal de Ned Land.|Même clarté insuffisante, même solitude. J'allai me poster près de la porte qui donnait sur la cage de l'escalier central. J'attendis le signal de Ned Land.
sous_les_mers_2_08_f000115|En ce moment, les frémissements de l'hélice diminuèrent sensiblement, puis ils cessèrent tout à fait.|En ce moment, les frémissements de l'hélice diminuèrent sensiblement, puis ils cessèrent tout à fait.
sous_les_mers_2_08_f000116|Pourquoi ce changement dans les allures du Nautilus? Cette halte favorisait-elle ou gênait-elle les desseins de Ned Land, je n'aurais pu le dire.|Pourquoi ce changement dans les allures du Nautilus? Cette halte favorisait-elle ou gênait-elle les desseins de Ned Land, je n'aurais pu le dire.
sous_les_mers_2_08_f000117|Le silence n'était plus troublé que par les battements de mon coeur.|Le silence n'était plus troublé que par les battements de mon coeur.
sous_les_mers_2_08_f000118|Soudain, un léger choc se fit sentir. Je compris que le Nautilus venait de s'arrêter sur le fond de l'océan.|Soudain, un léger choc se fit sentir. Je compris que le Nautilus venait de s'arrêter sur le fond de l'océan.
sous_les_mers_2_08_f000119|Mon inquiétude redoubla. Le signal du Canadien ne m'arrivait pas.|Mon inquiétude redoubla. Le signal du Canadien ne m'arrivait pas.
sous_les_mers_2_08_f000120|J'avais envie de rejoindre Ned Land pour l'engager à remettre sa tentative. Je sentais que notre navigation ne se faisait plus dans les conditions ordinaires...|J'avais envie de rejoindre Ned Land pour l'engager à remettre sa tentative. Je sentais que notre navigation ne se faisait plus dans les conditions ordinaires...
sous_les_mers_2_08_f000121|En ce moment, la porte du grand salon s'ouvrit, et le capitaine Nemo parut. Il m'aperçut, et, sans autre préambule:|En ce moment, la porte du grand salon s'ouvrit, et le capitaine Nemo parut. Il m'aperçut, et, sans autre préambule:
sous_les_mers_2_08_f000122|Ah! Monsieur le professeur, dit-il d'un ton aimable, je vous cherchais. Savez-vous votre histoire d'Espagne?|Ah! Monsieur le professeur, dit-il d'un ton aimable, je vous cherchais. Savez-vous votre histoire d'Espagne?
sous_les_mers_2_08_f000123|On saurait à fond l'histoire de son propre pays que, dans les conditions où je me trouvais, l'esprit troublé, la tête perdue, on ne pourrait en citer un mot.|On saurait à fond l'histoire de son propre pays que, dans les conditions où je me trouvais, l'esprit troublé, la tête perdue, on ne pourrait en citer un mot.
sous_les_mers_2_08_f000124|Eh bien? reprit le capitaine Nemo, vous avez entendu ma question?|Eh bien? reprit le capitaine Nemo, vous avez entendu ma question?
sous_les_mers_2_08_f000125|Savez-vous l'histoire d'Espagne?|Savez-vous l'histoire d'Espagne?
sous_les_mers_2_08_f000126|-- Très mal, répondis-je.|-- Très mal, répondis-je.
sous_les_mers_2_08_f000127|-- Voilà bien les savants, dit le capitaine ils ne savent pas. Alors, asseyez-vous, ajouta-t-il, et je vais vous raconter un curieux épisode de cette histoire.|-- Voilà bien les savants, dit le capitaine ils ne savent pas. Alors, asseyez-vous, ajouta-t-il, et je vais vous raconter un curieux épisode de cette histoire.
sous_les_mers_2_08_f000128|Le capitaine s'étendit sur un divan, et, machinalement, je pris place auprès de lui, dans la pénombre.|Le capitaine s'étendit sur un divan, et, machinalement, je pris place auprès de lui, dans la pénombre.
sous_les_mers_2_08_f000129|Monsieur le professeur, me dit-il, écoutez-moi bien. Cette histoire vous intéressera par un certain côté, car elle répondra à une question que sans doute vous n'avez pu résoudre.|Monsieur le professeur, me dit-il, écoutez-moi bien. Cette histoire vous intéressera par un certain côté, car elle répondra à une question que sans doute vous n'avez pu résoudre.
sous_les_mers_2_08_f000130|-- Je vous écoute, capitaine, dis-je, ne sachant où mon interlocuteur voulait en venir, et me demandant si cet incident se rapportait à nos projets de fuite.|-- Je vous écoute, capitaine, dis-je, ne sachant où mon interlocuteur voulait en venir, et me demandant si cet incident se rapportait à nos projets de fuite.
sous_les_mers_2_08_f000131|-- Monsieur le professeur, reprit le capitaine Nemo, si vous le voulez bien, nous remonterons à 1702.|-- Monsieur le professeur, reprit le capitaine Nemo, si vous le voulez bien, nous remonterons à 1702.
sous_les_mers_2_08_f000132|Vous n'ignorez pas qu'à cette époque, votre roi Louis XIV, croyant qu'il suffisait d'un geste de potentat pour faire rentrer les Pyrénées sous terre, avait imposé le duc d'Anjou, son petit-fils, aux Espagnols.|Vous n'ignorez pas qu'à cette époque, votre roi Louis XIV, croyant qu'il suffisait d'un geste de potentat pour faire rentrer les Pyrénées sous terre, avait imposé le duc d'Anjou, son petit-fils, aux Espagnols.
sous_les_mers_2_08_f000133|Ce prince, qui régna plus ou moins mal sous le nom de Philippe V, eut affaire, au-dehors, à forte partie.|Ce prince, qui régna plus ou moins mal sous le nom de Philippe V, eut affaire, au-dehors, à forte partie.
sous_les_mers_2_08_f000134|En effet, l'année précédente, les maisons royales de Hollande, d'Autriche et d'Angleterre, avaient conclu à la Haye un traité d'alliance,|En effet, l'année précédente, les maisons royales de Hollande, d'Autriche et d'Angleterre, avaient conclu à la Haye un traité d'alliance,
sous_les_mers_2_08_f000135|dans le but d'arracher la couronne d'Espagne à Philippe V, pour la placer sur la tête d'un archiduc, auquel elles donnèrent prématurément le nom de Charles III.|dans le but d'arracher la couronne d'Espagne à Philippe V, pour la placer sur la tête d'un archiduc, auquel elles donnèrent prématurément le nom de Charles III.
sous_les_mers_2_08_f000136|L'Espagne dut résister à cette coalition. Mais elle était à peu près dépourvue de soldats et de marins.|L'Espagne dut résister à cette coalition. Mais elle était à peu près dépourvue de soldats et de marins.
sous_les_mers_2_08_f000137|Cependant, l'argent ne lui manquait pas, à la condition toutefois que ses galions, chargés de l'or et de l'argent de l'Amérique, entrassent dans ses ports.|Cependant, l'argent ne lui manquait pas, à la condition toutefois que ses galions, chargés de l'or et de l'argent de l'Amérique, entrassent dans ses ports.
sous_les_mers_2_08_f000138|Or, vers la fin de 1702, elle attendait un riche convoi que la France faisait escorter par une flotte de vingt-trois vaisseaux commandés par l'amiral de Château-Renaud,|Or, vers la fin de 1702, elle attendait un riche convoi que la France faisait escorter par une flotte de vingt-trois vaisseaux commandés par l'amiral de Château-Renaud,
sous_les_mers_2_08_f000139|car les marines coalisées couraient alors l'Atlantique.|car les marines coalisées couraient alors l'Atlantique.
sous_les_mers_2_08_f000140|Ce convoi devait se rendre à Cadix, mais l'amiral, ayant appris que la flotte anglaise croisait dans ces parages, résolut de rallier un port de France.|Ce convoi devait se rendre à Cadix, mais l'amiral, ayant appris que la flotte anglaise croisait dans ces parages, résolut de rallier un port de France.
sous_les_mers_2_08_f000141|Les commandants espagnols du convoi protestèrent contre cette décision.|Les commandants espagnols du convoi protestèrent contre cette décision.
sous_les_mers_2_08_f000142|Ils voulurent être conduits dans un port espagnol, et, à défaut de Cadix, dans la baie de Vigo, située sur la côte nord-ouest de l'Espagne, et qui n'était pas bloquée.|Ils voulurent être conduits dans un port espagnol, et, à défaut de Cadix, dans la baie de Vigo, située sur la côte nord-ouest de l'Espagne, et qui n'était pas bloquée.
sous_les_mers_2_08_f000143|L'amiral de Château-Renaud eut la faiblesse d'obéir à cette injonction, et les galions entrèrent dans la baie de Vigo.|L'amiral de Château-Renaud eut la faiblesse d'obéir à cette injonction, et les galions entrèrent dans la baie de Vigo.
sous_les_mers_2_08_f000144|Malheureusement cette baie forme une rade ouverte qui ne peut être aucunement défendue.|Malheureusement cette baie forme une rade ouverte qui ne peut être aucunement défendue.
sous_les_mers_2_08_f000145|Il fallait donc se hâter de décharger les galions avant l'arrivée des flottes coalisées, et le temps n'eût pas manqué à ce débarquement,|Il fallait donc se hâter de décharger les galions avant l'arrivée des flottes coalisées, et le temps n'eût pas manqué à ce débarquement,
sous_les_mers_2_08_f000146|si une misérable question de rivalité n'eût surgi tout à coup.|si une misérable question de rivalité n'eût surgi tout à coup.
sous_les_mers_2_08_f000147|Vous suivez bien l'enchaînement des faits? me demanda le capitaine Nemo.|Vous suivez bien l'enchaînement des faits? me demanda le capitaine Nemo.
sous_les_mers_2_08_f000148|-- Parfaitement, dis-je, ne sachant encore à quel propos m'était faite cette leçon d'histoire.|-- Parfaitement, dis-je, ne sachant encore à quel propos m'était faite cette leçon d'histoire.
sous_les_mers_2_08_f000149|-- Je continue. Voici ce qui se passa. Les commerçants de Cadix avaient un privilège d'après lequel ils devaient recevoir toutes les marchandises qui venaient des Indes occidentales.|-- Je continue. Voici ce qui se passa. Les commerçants de Cadix avaient un privilège d'après lequel ils devaient recevoir toutes les marchandises qui venaient des Indes occidentales.
sous_les_mers_2_08_f000150|Or, débarquer les lingots des galions au port de Vigo, c'était aller contre leur droit.|Or, débarquer les lingots des galions au port de Vigo, c'était aller contre leur droit.
sous_les_mers_2_08_f000151|Ils se plaignirent donc à Madrid, et ils obtinrent du faible Philippe V que le convoi, sans procéder à son déchargement, resterait en séquestre dans la rade de Vigo jusqu'au moment où les flottes ennemies se seraient éloignées.|Ils se plaignirent donc à Madrid, et ils obtinrent du faible Philippe V que le convoi, sans procéder à son déchargement, resterait en séquestre dans la rade de Vigo jusqu'au moment où les flottes ennemies se seraient éloignées.
sous_les_mers_2_08_f000152|Or, pendant que l'on prenait cette décision, le 22 octobre 1702, les vaisseaux anglais arrivèrent dans la baie de Vigo.|Or, pendant que l'on prenait cette décision, le 22 octobre 1702, les vaisseaux anglais arrivèrent dans la baie de Vigo.
sous_les_mers_2_08_f000153|L'amiral de Château-Renaud, malgré ses forces inférieures, se battit courageusement.|L'amiral de Château-Renaud, malgré ses forces inférieures, se battit courageusement.
sous_les_mers_2_08_f000154|Mais quand il vit que les richesses du convoi allaient tomber entre les mains des ennemis, il incendia et saborda les galions qui s'engloutirent avec leurs immenses trésors.|Mais quand il vit que les richesses du convoi allaient tomber entre les mains des ennemis, il incendia et saborda les galions qui s'engloutirent avec leurs immenses trésors.
sous_les_mers_2_08_f000155|Le capitaine Nemo s'était arrêté. Je l'avoue, je ne voyais pas encore en quoi cette histoire pouvait m'intéresser.|Le capitaine Nemo s'était arrêté. Je l'avoue, je ne voyais pas encore en quoi cette histoire pouvait m'intéresser.
sous_les_mers_2_08_f000156|Eh bien? Lui demandai-je.|Eh bien? Lui demandai-je.
sous_les_mers_2_08_f000157|-- Eh bien, monsieur Aronnax, me répondit le capitaine Nemo, nous sommes dans cette baie de Vigo, et il ne tient qu'à vous d'en pénétrer les mystères.|-- Eh bien, monsieur Aronnax, me répondit le capitaine Nemo, nous sommes dans cette baie de Vigo, et il ne tient qu'à vous d'en pénétrer les mystères.
sous_les_mers_2_08_f000158|Le capitaine se leva et me pria de le suivre. J'avais eu le temps de me remettre.|Le capitaine se leva et me pria de le suivre. J'avais eu le temps de me remettre.
sous_les_mers_2_08_f000159|J'obéis. Le salon était obscur, mais à travers les vitres transparentes étincelaient les flots de la mer. Je regardai.|J'obéis. Le salon était obscur, mais à travers les vitres transparentes étincelaient les flots de la mer. Je regardai.
sous_les_mers_2_08_f000160|Autour du Nautilus, dans un rayon d'une demi-mille, les eaux apparaissaient imprégnées de lumière électrique.|Autour du Nautilus, dans un rayon d'une demi-mille, les eaux apparaissaient imprégnées de lumière électrique.
sous_les_mers_2_08_f000161|Le fond sableux était net et clair. Des hommes de l'équipage, revêtus de scaphandres, s'occupaient à déblayer des tonneaux à demi pourris, des caisses éventrées, au milieu d'épaves encore noircies.|Le fond sableux était net et clair. Des hommes de l'équipage, revêtus de scaphandres, s'occupaient à déblayer des tonneaux à demi pourris, des caisses éventrées, au milieu d'épaves encore noircies.
sous_les_mers_2_08_f000162|De ces caisses, de ces barils, s'échappaient des lingots d'or et d'argent, des cascades de piastres et de bijoux.|De ces caisses, de ces barils, s'échappaient des lingots d'or et d'argent, des cascades de piastres et de bijoux.
sous_les_mers_2_08_f000163|Le sable en était jonché. Puis, chargés de ce précieux butin, ces hommes revenaient au Nautilus, y déposaient leur fardeau et allaient reprendre cette inépuisable pêche d'argent et d'or.|Le sable en était jonché. Puis, chargés de ce précieux butin, ces hommes revenaient au Nautilus, y déposaient leur fardeau et allaient reprendre cette inépuisable pêche d'argent et d'or.
sous_les_mers_2_08_f000164|Je comprenais. C'était ici le théâtre de la bataille du 22 octobre 1702.|Je comprenais. C'était ici le théâtre de la bataille du 22 octobre 1702.
sous_les_mers_2_08_f000165|Ici même avaient coulé les galions chargés pour le compte du gouvernement espagnol.|Ici même avaient coulé les galions chargés pour le compte du gouvernement espagnol.
sous_les_mers_2_08_f000166|Ici le capitaine Nemo venait encaisser, suivant ses besoins, les millions dont il lestait son Nautilus.|Ici le capitaine Nemo venait encaisser, suivant ses besoins, les millions dont il lestait son Nautilus.
sous_les_mers_2_08_f000167|C'était pour lui, pour lui seul que l'Amérique avait livré ses précieux métaux.|C'était pour lui, pour lui seul que l'Amérique avait livré ses précieux métaux.
sous_les_mers_2_08_f000168|Il était l'héritier direct et sans partage de ces trésors arrachés aux Incas et aux vaincus de Fernand Cortez!|Il était l'héritier direct et sans partage de ces trésors arrachés aux Incas et aux vaincus de Fernand Cortez!
sous_les_mers_2_08_f000169|Saviez-vous, monsieur le professeur, me demanda-t-il en souriant, que la mer contînt tant de richesse?|Saviez-vous, monsieur le professeur, me demanda-t-il en souriant, que la mer contînt tant de richesse?
sous_les_mers_2_08_f000170|-- Je savais, répondis-je, que l'on évalue à deux millions de tonnes l'argent qui est tenu en suspension dans ses eaux.|-- Je savais, répondis-je, que l'on évalue à deux millions de tonnes l'argent qui est tenu en suspension dans ses eaux.
sous_les_mers_2_08_f000171|-- Sans doute, mais pour extraire cet argent, les dépenses l'emporteraient sur le profit.|-- Sans doute, mais pour extraire cet argent, les dépenses l'emporteraient sur le profit.
sous_les_mers_2_08_f000172|Ici, au contraire, je n'ai qu'à ramasser ce que les hommes ont perdu, et non seulement dans cette baie de Vigo, mais encore sur mille théâtres de naufrages dont ma carte sous-marine a noté la place.|Ici, au contraire, je n'ai qu'à ramasser ce que les hommes ont perdu, et non seulement dans cette baie de Vigo, mais encore sur mille théâtres de naufrages dont ma carte sous-marine a noté la place.
sous_les_mers_2_08_f000173|Comprenez-vous maintenant que je sois riche à milliards?|Comprenez-vous maintenant que je sois riche à milliards?
sous_les_mers_2_08_f000174|-- Je le comprends, capitaine. Permettez-moi, pourtant, de vous dire qu'en exploitant précisément cette baie de Vigo, vous n'avez fait que devancer les travaux d'une société rivale.|-- Je le comprends, capitaine. Permettez-moi, pourtant, de vous dire qu'en exploitant précisément cette baie de Vigo, vous n'avez fait que devancer les travaux d'une société rivale.
sous_les_mers_2_08_f000175|-- Et laquelle?|-- Et laquelle?
sous_les_mers_2_08_f000176|-- Une société qui a reçu du gouvernement espagnol le privilège de rechercher les galions engloutis.|-- Une société qui a reçu du gouvernement espagnol le privilège de rechercher les galions engloutis.
sous_les_mers_2_08_f000177|Les actionnaires sont alléchés par l'appât d'un énorme bénéfice, car on évalue à cinq cents millions la valeur de ces richesses naufragées.|Les actionnaires sont alléchés par l'appât d'un énorme bénéfice, car on évalue à cinq cents millions la valeur de ces richesses naufragées.
sous_les_mers_2_08_f000178|-- Cinq cents millions! me répondit le capitaine Nemo. Ils y étaient, mais ils n'y sont plus.|-- Cinq cents millions! me répondit le capitaine Nemo. Ils y étaient, mais ils n'y sont plus.
sous_les_mers_2_08_f000179|-- En effet, dis-je. Aussi un bon avis à ces actionnaires serait-il acte de charité.|-- En effet, dis-je. Aussi un bon avis à ces actionnaires serait-il acte de charité.
sous_les_mers_2_08_f000180|Qui sait pourtant s'il serait bien reçu. Ce que les joueurs regrettent par-dessus tout, d'ordinaire, c'est moins la perte de leur argent que celle de leurs folles espérances.|Qui sait pourtant s'il serait bien reçu. Ce que les joueurs regrettent par-dessus tout, d'ordinaire, c'est moins la perte de leur argent que celle de leurs folles espérances.
sous_les_mers_2_08_f000181|Je les plains moins après tout que ces milliers de malheureux auxquels tant de richesses bien réparties eussent pu profiter, tandis qu'elles seront à jamais stériles pour eux!|Je les plains moins après tout que ces milliers de malheureux auxquels tant de richesses bien réparties eussent pu profiter, tandis qu'elles seront à jamais stériles pour eux!
sous_les_mers_2_08_f000182|Je n'avais pas plutôt exprimé ce regret que je sentis qu'il avait dû blesser le capitaine Nemo.|Je n'avais pas plutôt exprimé ce regret que je sentis qu'il avait dû blesser le capitaine Nemo.
sous_les_mers_2_08_f000183|Stériles! répondit-il en s'animant. Croyez-vous donc, monsieur, que ces richesses soient perdues, alors que c'est moi qui les ramasse?|Stériles! répondit-il en s'animant. Croyez-vous donc, monsieur, que ces richesses soient perdues, alors que c'est moi qui les ramasse?
sous_les_mers_2_08_f000184|Est-ce pour moi, selon vous, que je me donne la peine de recueillir ces trésors?|Est-ce pour moi, selon vous, que je me donne la peine de recueillir ces trésors?
sous_les_mers_2_08_f000185|Qui vous dit que je n'en fais pas un bon usage? Croyez-vous que j'ignore qu'il existe des êtres souffrants, des races opprimées sur cette terre,|Qui vous dit que je n'en fais pas un bon usage? Croyez-vous que j'ignore qu'il existe des êtres souffrants, des races opprimées sur cette terre,
sous_les_mers_2_08_f000186|des misérables à soulager, des victimes à venger? Ne comprenez-vous pas?...|des misérables à soulager, des victimes à venger? Ne comprenez-vous pas?...
sous_les_mers_2_08_f000187|Le capitaine Nemo s'arrêta sur ces dernières paroles, regrettant peut-être d'avoir trop parlé.|Le capitaine Nemo s'arrêta sur ces dernières paroles, regrettant peut-être d'avoir trop parlé.
sous_les_mers_2_08_f000188|Mais j'avais deviné. Quels que fussent les motifs qui l'avaient forcé à chercher l'indépendance sous les mers, avant tout il était resté un homme!|Mais j'avais deviné. Quels que fussent les motifs qui l'avaient forcé à chercher l'indépendance sous les mers, avant tout il était resté un homme!
sous_les_mers_2_08_f000189|Son coeur palpitait encore aux souffrances de l'humanité, et son immense charité s'adressait aux races asservies comme aux individus!|Son coeur palpitait encore aux souffrances de l'humanité, et son immense charité s'adressait aux races asservies comme aux individus!
sous_les_mers_2_08_f000190|Et je compris alors à qui étaient destinés ces millions expédiés par le capitaine Nemo, lorsque le Nautilus naviguait dans les eaux de la Crète insurgée!|Et je compris alors à qui étaient destinés ces millions expédiés par le capitaine Nemo, lorsque le Nautilus naviguait dans les eaux de la Crète insurgée!
sous_les_mers_2_09_f000001|UN CONTINENT DISPARU|UN CONTINENT DISPARU
sous_les_mers_2_09_f000002|Le lendemain matin, 19 février, je vis entrer le Canadien dans ma chambre. J'attendais sa visite. Il avait l'air très désappointé.|Le lendemain matin, 19 février, je vis entrer le Canadien dans ma chambre. J'attendais sa visite. Il avait l'air très désappointé.
sous_les_mers_2_09_f000003|Eh bien, monsieur? me dit-il.|Eh bien, monsieur? me dit-il.
sous_les_mers_2_09_f000004|-- Oui! il a fallu que ce damné capitaine s'arrêtât précisément à l'heure ou nous allions fuir son bateau.|-- Oui! il a fallu que ce damné capitaine s'arrêtât précisément à l'heure ou nous allions fuir son bateau.
sous_les_mers_2_09_f000005|-- Oui, Ned, il avait affaire chez son banquier.|-- Oui, Ned, il avait affaire chez son banquier.
sous_les_mers_2_09_f000006|-- Son banquier!|-- Son banquier!
sous_les_mers_2_09_f000007|-- Ou plutôt sa maison de banque. J'entends par là cet Océan où ses richesses sont plus en sûreté qu'elles ne le seraient dans les caisses d'un État.|-- Ou plutôt sa maison de banque. J'entends par là cet Océan où ses richesses sont plus en sûreté qu'elles ne le seraient dans les caisses d'un État.
sous_les_mers_2_09_f000008|Je racontai alors au Canadien les incidents de la veille, dans le secret espoir de le ramener à l'idée de ne point abandonner le capitaine;|Je racontai alors au Canadien les incidents de la veille, dans le secret espoir de le ramener à l'idée de ne point abandonner le capitaine;
sous_les_mers_2_09_f000009|mais mon récit n'eut d'autre résultat que le regret énergiquement exprimé par Ned de n'avoir pu faire pour son compte une promenade sur le champ de bataille de Vigo.|mais mon récit n'eut d'autre résultat que le regret énergiquement exprimé par Ned de n'avoir pu faire pour son compte une promenade sur le champ de bataille de Vigo.
sous_les_mers_2_09_f000010|Enfin, dit-il, tout n'est pas fini! Ce n'est qu'un coup de harpon perdu! Une autre fois nous réussirons, et dès ce soir s'il le faut...|Enfin, dit-il, tout n'est pas fini! Ce n'est qu'un coup de harpon perdu! Une autre fois nous réussirons, et dès ce soir s'il le faut...
sous_les_mers_2_09_f000011|-- Quelle est la direction du Nautilus? demandai-je.|-- Quelle est la direction du Nautilus? demandai-je.
sous_les_mers_2_09_f000012|-- Je l'ignore, répondit Ned.|-- Je l'ignore, répondit Ned.
sous_les_mers_2_09_f000013|-- Eh bien! à midi, nous verrons le point.|-- Eh bien! à midi, nous verrons le point.
sous_les_mers_2_09_f000014|Le Canadien retourna près de Conseil. Dès que je fus habillé, je passai dans le salon.|Le Canadien retourna près de Conseil. Dès que je fus habillé, je passai dans le salon.
sous_les_mers_2_09_f000015|Le compas n'était pas rassurant. La route du Nautilus était sud-sud-ouest. Nous tournions le dos à l'Europe.|Le compas n'était pas rassurant. La route du Nautilus était sud-sud-ouest. Nous tournions le dos à l'Europe.
sous_les_mers_2_09_f000016|J'attendis avec une certaine impatience que le point fut reporté sur la carte.|J'attendis avec une certaine impatience que le point fut reporté sur la carte.
sous_les_mers_2_09_f000017|Vers onze heures et demie, les réservoirs se vidèrent, et notre appareil remonta à la surface de l'Océan. Je m'élançai vers la plate-forme. Ned Land m'y avait précédé.|Vers onze heures et demie, les réservoirs se vidèrent, et notre appareil remonta à la surface de l'Océan. Je m'élançai vers la plate-forme. Ned Land m'y avait précédé.
sous_les_mers_2_09_f000018|Plus de terres en vue. Rien que la mer immense. Quelques voiles à l'horizon, de celles sans doute qui vont chercher jusqu'au cap San-Roque les vents favorables pour doubler le cap de Bonne-Espérance.|Plus de terres en vue. Rien que la mer immense. Quelques voiles à l'horizon, de celles sans doute qui vont chercher jusqu'au cap San-Roque les vents favorables pour doubler le cap de Bonne-Espérance.
sous_les_mers_2_09_f000019|Le temps était couvert. Un coup de vent se préparait.|Le temps était couvert. Un coup de vent se préparait.
sous_les_mers_2_09_f000020|Ned rageant, essayait de percer l'horizon brumeux. Il espérait encore que, derrière tout ce brouillard, s'étendait cette terre si désirée.|Ned rageant, essayait de percer l'horizon brumeux. Il espérait encore que, derrière tout ce brouillard, s'étendait cette terre si désirée.
sous_les_mers_2_09_f000021|A midi, le soleil se montra un instant. Le second profita de cette éclaircie pour prendre sa hauteur.|A midi, le soleil se montra un instant. Le second profita de cette éclaircie pour prendre sa hauteur.
sous_les_mers_2_09_f000022|Puis, la mer devenant plus houleuse, nous redescendîmes, et le panneau fut refermé.|Puis, la mer devenant plus houleuse, nous redescendîmes, et le panneau fut refermé.
sous_les_mers_2_09_f000023|Une heure après, lorsque je consultai la carte, je vis que la position du Nautilus était indiquée par 16°17' de longitude et 33°22' de latitude, à cent cinquante lieues de la côte la plus rapprochée.|Une heure après, lorsque je consultai la carte, je vis que la position du Nautilus était indiquée par 1617' de longitude et 3322' de latitude, à cent cinquante lieues de la côte la plus rapprochée.
sous_les_mers_2_09_f000024|Il n'y avait pas moyen de songer à fuir, et je laisse à penser quelles furent les colères du Canadien, quand je lui fis connaître notre situation.|Il n'y avait pas moyen de songer à fuir, et je laisse à penser quelles furent les colères du Canadien, quand je lui fis connaître notre situation.
sous_les_mers_2_09_f000025|Pour mon compte, je ne me désolai pas outre mesure.|Pour mon compte, je ne me désolai pas outre mesure.
sous_les_mers_2_09_f000026|Je me sentis comme soulagé du poids qui m'oppressait, et je pus reprendre avec une sorte de calme relatif mes travaux habituels.|Je me sentis comme soulagé du poids qui m'oppressait, et je pus reprendre avec une sorte de calme relatif mes travaux habituels.
sous_les_mers_2_09_f000027|Le soir, vers onze heures, je reçus la visite très inattendue du capitaine Nemo.|Le soir, vers onze heures, je reçus la visite très inattendue du capitaine Nemo.
sous_les_mers_2_09_f000028|Il me demanda fort gracieusement si je me sentais fatigué d'avoir veillé la nuit précédente. Je répondis négativement.|Il me demanda fort gracieusement si je me sentais fatigué d'avoir veillé la nuit précédente. Je répondis négativement.
sous_les_mers_2_09_f000029|Alors, monsieur Aronnax, je vous proposerai une curieuse excursion.|Alors, monsieur Aronnax, je vous proposerai une curieuse excursion.
sous_les_mers_2_09_f000030|-- Proposez, capitaine.|-- Proposez, capitaine.
