tom_sawyer_01_f000001|Vorwort des Autors.|Vorwort des Autors.
tom_sawyer_06_f000316|In Wahrheit hatten sie Lust, es überhaupt nicht zu sprechen, aber sie hatten doch Furcht, soweit vom Wege abzuirren,|In Wahrheit hatten sie Lust, es überhaupt nicht zu sprechen, aber sie hatten doch Furcht, soweit vom Wege abzuirren,
tom_sawyer_06_f000317|um nicht ein plötzliches, speziell für sie bestimmtes Donnerwetter vom Himmel herabzubeschwören.|um nicht ein plötzliches, speziell für sie bestimmtes Donnerwetter vom Himmel herabzubeschwören.
tom_sawyer_06_f000318|Dann endlich befanden sie sich ganz dicht am Rande des Schlafes - als noch einmal ein Störenfried auftrat, der sich nicht abweisen lassen wollte.|Dann endlich befanden sie sich ganz dicht am Rande des Schlafes - als noch einmal ein Störenfried auftrat, der sich nicht abweisen lassen wollte.
tom_sawyer_06_f000319|Es war das Gewissen. Sie begannen die unbestimmte Empfindung zu haben, daß sie doch wohl unrecht getan hätten, fortzulaufen.|Es war das Gewissen. Sie begannen die unbestimmte Empfindung zu haben, daß sie doch wohl unrecht getan hätten, fortzulaufen.
tom_sawyer_06_f000320|Danach dachten sie an die gestohlenen Lebensmittel und damit begann erst die rechte Selbstquälerei für sie.|Danach dachten sie an die gestohlenen Lebensmittel und damit begann erst die rechte Selbstquälerei für sie.
tom_sawyer_06_f000321|Sie versuchten sie von sich abzuwenden, indem sie sich des gestohlenen Zuckerwerks und der Äpfel erinnerten, die sie auf dem Kerbholz hatten.|Sie versuchten sie von sich abzuwenden, indem sie sich des gestohlenen Zuckerwerks und der Äpfel erinnerten, die sie auf dem Kerbholz hatten.
tom_sawyer_06_f000322|Aber das Gewissen ließ sich durch solche mageren Einwände nicht beruhigen.|Aber das Gewissen ließ sich durch solche mageren Einwände nicht beruhigen.
tom_sawyer_06_f000323|Es schien ihnen schließlich doch unmöglich, um die unumstößliche Tatsache herumzukommen, daß Äpfelstehlen lediglich stibitzen sei,|Es schien ihnen schließlich doch unmöglich, um die unumstößliche Tatsache herumzukommen, daß Äpfelstehlen lediglich stibitzen sei,
tom_sawyer_06_f000324|während das Forttragen von Schinken, Speckseiten und solchen Wertgegenständen nur als vollgültiger, klarer Diebstahl bezeichnet werden könne - und dagegen gab es ein Verbot in der Bibel!|während das Forttragen von Schinken, Speckseiten und solchen Wertgegenständen nur als vollgültiger, klarer Diebstahl bezeichnet werden könne - und dagegen gab es ein Verbot in der Bibel!
tom_sawyer_06_f000325|Worauf sie innerlich beschlossen, daß, solange sie auch bei dem Geschäft bleiben würden, ihre Seeräubereien nicht wieder durch das Verbrechen des Diebstahls gebrandmarkt werden sollten.|Worauf sie innerlich beschlossen, daß, solange sie auch bei dem Geschäft bleiben würden, ihre Seeräubereien nicht wieder durch das Verbrechen des Diebstahls gebrandmarkt werden sollten.
tom_sawyer_06_f000326|Ihr Gewissen schloß auf dieser Grundlage denn auch Waffenstillstand, und diese merkwürdig inkonsequenten Piraten fielen in tiefen Schlummer.|Ihr Gewissen schloß auf dieser Grundlage denn auch Waffenstillstand, und diese merkwürdig inkonsequenten Piraten fielen in tiefen Schlummer.
tom_sawyer_07_f000001|Vierzehntes Kapitel.|Vierzehntes Kapitel.
tom_sawyer_07_f000002|Als Tom morgens erwachte, war er sehr erstaunt über seine Umgebung. Er setzte sich auf, rieb sich die Augen und schaute um sich; dann begriff er.|Als Tom morgens erwachte, war er sehr erstaunt über seine Umgebung. Er setzte sich auf, rieb sich die Augen und schaute um sich; dann begriff er.
tom_sawyer_07_f000003|Es herrschte kühle, graue Dämmerung und ein wundervoller Hauch von Ruhe und Frieden in der tiefen, alles durchdringenden Stille und Lautlosigkeit des Waldes.|Es herrschte kühle, graue Dämmerung und ein wundervoller Hauch von Ruhe und Frieden in der tiefen, alles durchdringenden Stille und Lautlosigkeit des Waldes.
tom_sawyer_07_f000004|Nicht ein Blatt rührte sich, nicht ein Laut störte das große Nachdenken der Natur.|Nicht ein Blatt rührte sich, nicht ein Laut störte das große Nachdenken der Natur.
tom_sawyer_07_f000005|Tautropfen lagen auf Blättern und Gräsern. Eine weiße Schicht Asche bedeckte die Feuerstelle, und ein dünner, blauer Streifen Rauch hob sich in die Luft empor.|Tautropfen lagen auf Blättern und Gräsern. Eine weiße Schicht Asche bedeckte die Feuerstelle, und ein dünner, blauer Streifen Rauch hob sich in die Luft empor.
tom_sawyer_07_f000006|Joe und Huck schliefen noch. Jetzt plötzlich begann ein Vogel im Innern des Waldes zu singen; andere antworteten; dann machte sich das Hämmern eines Spechtes hörbar.|Joe und Huck schliefen noch. Jetzt plötzlich begann ein Vogel im Innern des Waldes zu singen; andere antworteten; dann machte sich das Hämmern eines Spechtes hörbar.
tom_sawyer_07_f000007|Allmählich erhellte sich der kühl-trübe Grauton des Morgens, und ebenso allmählich vermehrten sich die Stimmen, und das Leben nahm zu.|Allmählich erhellte sich der kühl-trübe Grauton des Morgens, und ebenso allmählich vermehrten sich die Stimmen, und das Leben nahm zu.
tom_sawyer_07_f000008|Alle Wunder der den Schlaf abschüttelnden und an die Arbeit gehenden Natur entfalteten sich vor dem staunenden Knaben.|Alle Wunder der den Schlaf abschüttelnden und an die Arbeit gehenden Natur entfalteten sich vor dem staunenden Knaben.
tom_sawyer_07_f000009|Ein kleines, grünes Kriechtier kam über ein von Tau bedecktes Blatt daher, zwei Drittel des Körpers von Zeit zu Zeit in die Luft erhebend,|Ein kleines, grünes Kriechtier kam über ein von Tau bedecktes Blatt daher, zwei Drittel des Körpers von Zeit zu Zeit in die Luft erhebend,
tom_sawyer_07_f000010|herumschnüffelnd, dann wieder weiterkriechend, maßnehmend, wie Tom bei sich sagte.|herumschnüffelnd, dann wieder weiterkriechend, maßnehmend, wie Tom bei sich sagte.
tom_sawyer_07_f000011|Und als die Raupe sich ihm selbst näherte, saß er mäuschenstill und hoffte, je nachdem sie sich auf ihn zu bewegte oder eine andere Richtung einschlug;|Und als die Raupe sich ihm selbst näherte, saß er mäuschenstill und hoffte, je nachdem sie sich auf ihn zu bewegte oder eine andere Richtung einschlug;
tom_sawyer_07_f000012|und als sie schließlich, nachdem sie einen Augenblick peinvoller Erwartung für Tom ihren gekrümmten Leib aufgerichtet gehalten hatte,|und als sie schließlich, nachdem sie einen Augenblick peinvoller Erwartung für Tom ihren gekrümmten Leib aufgerichtet gehalten hatte,
tom_sawyer_07_f000013|entschieden auf Tom losmarschierte und eine Entdeckungsreise auf ihm antrat, war sein ganzes Herz voll Vergnügen,|entschieden auf Tom losmarschierte und eine Entdeckungsreise auf ihm antrat, war sein ganzes Herz voll Vergnügen,
tom_sawyer_07_f000014|denn er hoffte daraufhin ganz zweifellos, einen neuen Anzug zu bekommen - eine herrliche Piratenuniform.|denn er hoffte daraufhin ganz zweifellos, einen neuen Anzug zu bekommen - eine herrliche Piratenuniform.
tom_sawyer_07_f000015|Nun erschien eine Prozession Ameisen, Gott weiß, woher, um sich an ihre Arbeit zu machen;|Nun erschien eine Prozession Ameisen, Gott weiß, woher, um sich an ihre Arbeit zu machen;
tom_sawyer_07_f000016|eine schleppte ganz mutig eine tote Spinne, die fünfmal so groß war wie sie selbst, und zerrte sie auf einen Baumstrunk.|eine schleppte ganz mutig eine tote Spinne, die fünfmal so groß war wie sie selbst, und zerrte sie auf einen Baumstrunk.
tom_sawyer_07_f000017|Ein braun geflecktes Käferchen kraxelte einen Grashalm in die Höhe, und Tom beugte sich zu ihm herab und sang:|Ein braun geflecktes Käferchen kraxelte einen Grashalm in die Höhe, und Tom beugte sich zu ihm herab und sang:
tom_sawyer_07_f000018|Käferchen, Käferchen, flieg nach Haus, Kinder allein in dem brennenden Haus!|Käferchen, Käferchen, flieg nach Haus, Kinder allein in dem brennenden Haus!
tom_sawyer_07_f000019|worauf es die Flügel ausbreitete, um heimwärts zu fliegen und nach den allein gelassenen Kinderchen zu sehen,|worauf es die Flügel ausbreitete, um heimwärts zu fliegen und nach den allein gelassenen Kinderchen zu sehen,
tom_sawyer_07_f000020|was Tom nicht weiter überraschte, denn er kannte längst die Leichtgläubigkeit und die Furcht dieses Tieres vor Feuer und hatte sie mehr als einmal ruchlos ausgenutzt.|was Tom nicht weiter überraschte, denn er kannte längst die Leichtgläubigkeit und die Furcht dieses Tieres vor Feuer und hatte sie mehr als einmal ruchlos ausgenutzt.
tom_sawyer_07_f000021|Die ganze Natur war jetzt wach und in Bewegung, lange Nadeln von Sonnenlicht brachen durch das dichte Laub fern und nah, und kleine Schmetterlinge flatterten hin und her.|Die ganze Natur war jetzt wach und in Bewegung, lange Nadeln von Sonnenlicht brachen durch das dichte Laub fern und nah, und kleine Schmetterlinge flatterten hin und her.
tom_sawyer_07_f000022|Tom weckte die anderen Piraten, und alle stürmten heulend davon, waren in zwei oder drei Minuten entkleidet und jagten sich und stießen sich herum in dem seichten, klaren Wasser der Sandbank.|Tom weckte die anderen Piraten, und alle stürmten heulend davon, waren in zwei oder drei Minuten entkleidet und jagten sich und stießen sich herum in dem seichten, klaren Wasser der Sandbank.
tom_sawyer_07_f000023|Sie empfanden nicht das geringste Verlangen nach dem kleinen Dorfe, das in der Ferne an der majestätischen Wasserwüste noch fest schlief.|Sie empfanden nicht das geringste Verlangen nach dem kleinen Dorfe, das in der Ferne an der majestätischen Wasserwüste noch fest schlief.
tom_sawyer_07_f000024|Eine zufällige Strömung oder eine schwache Welle hatte das Floß fortgetrieben.|Eine zufällige Strömung oder eine schwache Welle hatte das Floß fortgetrieben.
tom_sawyer_07_f000025|Indessen freuten sie sich eher darüber, denn durch sein Verschwinden war die Brücke zwischen ihnen und der Zivilisation gleichsam abgebrochen.|Indessen freuten sie sich eher darüber, denn durch sein Verschwinden war die Brücke zwischen ihnen und der Zivilisation gleichsam abgebrochen.
tom_sawyer_07_f000026|Sie kehrten wunderbar erfrischt zu ihrem Lagerplatz zurück, vergnügt und heißhungrig; bald hatten sie das Lagerfeuer wieder angezündet.|Sie kehrten wunderbar erfrischt zu ihrem Lagerplatz zurück, vergnügt und heißhungrig; bald hatten sie das Lagerfeuer wieder angezündet.
tom_sawyer_07_f000027|Huck fand eine Quelle goldklaren Wassers in der Nähe, sie machten Becher aus Eichenrinde oder Blättern und konstatierten,|Huck fand eine Quelle goldklaren Wassers in der Nähe, sie machten Becher aus Eichenrinde oder Blättern und konstatierten,
tom_sawyer_07_f000028|daß Wasser, von solcher Wild-Wald-Romantik versüßt, ein sehr guter Ersatz für Kaffee sei.|daß Wasser, von solcher Wild-Wald-Romantik versüßt, ein sehr guter Ersatz für Kaffee sei.
tom_sawyer_07_f000029|Während Joe sich daran machte, Speck zum Frühstück zu rösten, baten Tom und Huck ihn, einen Augenblick zu warten;|Während Joe sich daran machte, Speck zum Frühstück zu rösten, baten Tom und Huck ihn, einen Augenblick zu warten;
tom_sawyer_07_f000030|sie rannten nach einer vielversprechenden Stelle der Sandbank und warfen dort ihre Angeln aus;|sie rannten nach einer vielversprechenden Stelle der Sandbank und warfen dort ihre Angeln aus;
tom_sawyer_07_f000031|fast sofort hatten sie Erfolg. Joe hatte gar nicht Zeit gehabt, ungeduldig zu werden, als sie schon zurück waren mit ein paar Handvoll Forellen,|fast sofort hatten sie Erfolg. Joe hatte gar nicht Zeit gehabt, ungeduldig zu werden, als sie schon zurück waren mit ein paar Handvoll Forellen,
tom_sawyer_07_f000032|einem riesigen Barsch und anderen Fischen, - Vorrat genug für eine ganze Familie.|einem riesigen Barsch und anderen Fischen, - Vorrat genug für eine ganze Familie.
tom_sawyer_07_f000033|Sie brieten die Fische mit Speck und waren überrascht; denn kein Fisch war ihnen bisher so delikat erschienen.|Sie brieten die Fische mit Speck und waren überrascht; denn kein Fisch war ihnen bisher so delikat erschienen.
tom_sawyer_07_f000034|Sie wußten nicht, daß ein Fisch um so besser ist, je eher er übers Feuer kommt;|Sie wußten nicht, daß ein Fisch um so besser ist, je eher er übers Feuer kommt;
tom_sawyer_07_f000035|auch überlegten sie sich kaum, welche Würze Schlaf und Bewegung im Freien, ein Bad und die Zutat eines tüchtigen Hungers ausmachten.|auch überlegten sie sich kaum, welche Würze Schlaf und Bewegung im Freien, ein Bad und die Zutat eines tüchtigen Hungers ausmachten.
tom_sawyer_07_f000036|Nach dem Frühstück lagen sie im Schatten herum, während Huck ein Pfeifchen schmauchte, und dann machten sie sich zu einer Entdeckungsreise durch den Wald auf die Füße.|Nach dem Frühstück lagen sie im Schatten herum, während Huck ein Pfeifchen schmauchte, und dann machten sie sich zu einer Entdeckungsreise durch den Wald auf die Füße.
tom_sawyer_07_f000037|Sie trollten lustig dahin über vermoderte Baumstämme, durch wirres Gestrüpp, zwischen schweigenden Königen des Waldes hindurch,|Sie trollten lustig dahin über vermoderte Baumstämme, durch wirres Gestrüpp, zwischen schweigenden Königen des Waldes hindurch,
tom_sawyer_07_f000038|die von oben bis unten mit allerhand Schlingpflanzen behangen waren.|die von oben bis unten mit allerhand Schlingpflanzen behangen waren.
tom_sawyer_07_f000039|Ab und zu trafen sie auf verborgene, mit Gras bewachsene und mit Blumen geschmückte kleine Lichtungen.|Ab und zu trafen sie auf verborgene, mit Gras bewachsene und mit Blumen geschmückte kleine Lichtungen.
tom_sawyer_07_f000040|Sie fanden eine Menge Dinge, die ihnen gefielen, aber nichts, was sie in Entzücken gesetzt hätte.|Sie fanden eine Menge Dinge, die ihnen gefielen, aber nichts, was sie in Entzücken gesetzt hätte.
tom_sawyer_07_f000041|Sie stellten fest, daß die Insel über drei Meilen lang und eine Viertelmeile breit und daß die Küste,|Sie stellten fest, daß die Insel über drei Meilen lang und eine Viertelmeile breit und daß die Küste,
tom_sawyer_07_f000042|wo sie ihr am nächsten war, nur durch einen schmalen Kanal, kaum zweihundert Meter breit, von ihr getrennt sei.|wo sie ihr am nächsten war, nur durch einen schmalen Kanal, kaum zweihundert Meter breit, von ihr getrennt sei.
tom_sawyer_07_f000043|Alle paar Stunden nahmen sie ein Bad, so war es hoher Nachmittag, als sie zum Lager zurückkehrten.|Alle paar Stunden nahmen sie ein Bad, so war es hoher Nachmittag, als sie zum Lager zurückkehrten.
tom_sawyer_07_f000044|Sie waren zu hungrig, um wieder Fische zu fangen, fielen daher tüchtig über ihren Schinken her, warfen sich dann im Schatten nieder und plauderten.|Sie waren zu hungrig, um wieder Fische zu fangen, fielen daher tüchtig über ihren Schinken her, warfen sich dann im Schatten nieder und plauderten.
tom_sawyer_07_f000045|Aber das Gespräch geriet bald ins Stocken und erstarb dann ganz.|Aber das Gespräch geriet bald ins Stocken und erstarb dann ganz.
tom_sawyer_07_f000046|Die Stille und Einsamkeit, die über dem Walde lagen, und die Empfindung der Verlassenheit begannen auf die Gemüter zu wirken.|Die Stille und Einsamkeit, die über dem Walde lagen, und die Empfindung der Verlassenheit begannen auf die Gemüter zu wirken.
tom_sawyer_07_f000047|Sie versanken in Nachdenken. Eine Art unbestimmter Sehnsucht ergriff sie und lastete immer schwerer auf ihnen - es war das Heimweh.|Sie versanken in Nachdenken. Eine Art unbestimmter Sehnsucht ergriff sie und lastete immer schwerer auf ihnen - es war das Heimweh.
tom_sawyer_07_f000048|Selbst Finn, der Bluthändige, träumte von seinen Treppenstufen und leeren Regentonnen. Aber sie schämten sich ihrer Schwäche, und niemand war tapfer genug, davon zu sprechen.|Selbst Finn, der Bluthändige, träumte von seinen Treppenstufen und leeren Regentonnen. Aber sie schämten sich ihrer Schwäche, und niemand war tapfer genug, davon zu sprechen.
tom_sawyer_07_f000049|Jetzt plötzlich wurden die Jungen durch einen ganz besonderen Schall in der Ferne aufgeschreckt, wie es wohl durch das Ticken einer Wanduhr geschieht,|Jetzt plötzlich wurden die Jungen durch einen ganz besonderen Schall in der Ferne aufgeschreckt, wie es wohl durch das Ticken einer Wanduhr geschieht,
tom_sawyer_07_f000050|das man schon lange gehört hat, ohne es zu bemerken.|das man schon lange gehört hat, ohne es zu bemerken.
tom_sawyer_07_f000051|Indessen wurde der geheimnisvolle Ton bestimmter und drängte sich geradezu der Wahrnehmung auf.|Indessen wurde der geheimnisvolle Ton bestimmter und drängte sich geradezu der Wahrnehmung auf.
tom_sawyer_07_f000052|Die Jungen fuhren in die Höhe, schauten einander an, und dann verharrte jeder in lauschender Stellung.|Die Jungen fuhren in die Höhe, schauten einander an, und dann verharrte jeder in lauschender Stellung.
tom_sawyer_07_f000053|Es folgte langes Stillschweigen, tief und ungestört; dann kam ein tiefer, dumpfer Ton aus weiter Ferne herüber.|Es folgte langes Stillschweigen, tief und ungestört; dann kam ein tiefer, dumpfer Ton aus weiter Ferne herüber.
tom_sawyer_07_f000054|Was ist das, schrie Joe atemlos.|Was ist das, schrie Joe atemlos.
tom_sawyer_07_f000055|Möchtes auch wissen, entgegnete Tom flüsternd.|Möchtes auch wissen, entgegnete Tom flüsternd.
tom_sawyer_07_f000056|es ist nicht Donner, schloß sich Huck in erschrecktem Ton an, denn Donner - Still! befahl Tom, horcht - dann sprecht.|es ist nicht Donner, schloß sich Huck in erschrecktem Ton an, denn Donner - Still! befahl Tom, horcht - dann sprecht.
tom_sawyer_07_f000057|Sie warteten eine Zeitlang, die ihnen eine Ewigkeit dünkte, und dann unterbrach derselbe dumpfe Ton die tiefe Stille.|Sie warteten eine Zeitlang, die ihnen eine Ewigkeit dünkte, und dann unterbrach derselbe dumpfe Ton die tiefe Stille.
tom_sawyer_07_f000058|Wollen wir hingehen und nachsehen?|Wollen wir hingehen und nachsehen?
tom_sawyer_07_f000059|Sie sprangen auf und rannten nach der dem Dorfe zugewandten Küste.|Sie sprangen auf und rannten nach der dem Dorfe zugewandten Küste.
tom_sawyer_07_f000060|Sie teilten die Büsche auf der Sandbank und spähten hindurch über die Wasserfläche.|Sie teilten die Büsche auf der Sandbank und spähten hindurch über die Wasserfläche.
tom_sawyer_07_f000061|Das kleine, eiserne Dampfboot befand sich über eine Meile unterhalb des Dorfes, mit dem Strome treibend.|Das kleine, eiserne Dampfboot befand sich über eine Meile unterhalb des Dorfes, mit dem Strome treibend.
tom_sawyer_07_f000062|Das Verdeck schien mit Menschen bedeckt. Eine Menge Boote trieben sich um den Dampfer herum oder ließen sich von der Strömung treiben,|Das Verdeck schien mit Menschen bedeckt. Eine Menge Boote trieben sich um den Dampfer herum oder ließen sich von der Strömung treiben,
tom_sawyer_07_f000063|aber die Jungen konnten nicht herausbringen, was die Leute vorhatten.|aber die Jungen konnten nicht herausbringen, was die Leute vorhatten.
tom_sawyer_07_f000064|Plötzlich schoß eine große weiße Dampfwolke vom Dampfboot aus über den Fluß, und als sie sich ausbreitete und in kleinen Wölkchen in die Höhe stieg,|Plötzlich schoß eine große weiße Dampfwolke vom Dampfboot aus über den Fluß, und als sie sich ausbreitete und in kleinen Wölkchen in die Höhe stieg,
tom_sawyer_07_f000065|tönte derselbe dumpfe Ton den Lauschenden in die gespitzten Ohren.|tönte derselbe dumpfe Ton den Lauschenden in die gespitzten Ohren.
tom_sawyer_07_f000066|Jetzt weiß ich! schrie Tom, es ist jemand ertrunken!|Jetzt weiß ich! schrie Tom, es ist jemand ertrunken!
tom_sawyer_07_f000067|es ist an dem, bestätigte Huck. Sie machten es letzten Sommer so, als Bill Turner unterging.|es ist an dem, bestätigte Huck. Sie machten es letzten Sommer so, als Bill Turner unterging.
tom_sawyer_07_f000068|Sie schossen ene Kanone über dem Wasser ab und davon kam er wieder raus.|Sie schossen ene Kanone über dem Wasser ab und davon kam er wieder raus.
tom_sawyer_07_f000069|Ja - und sie nahmen Laibe Brot, taten Quecksilber erein und ließen sie dann schwimmen, und wo einer dann ertrunken ist, dahin schwimmen sie ganz richtig und bleiben da stehen.|Ja - und sie nahmen Laibe Brot, taten Quecksilber erein und ließen sie dann schwimmen, und wo einer dann ertrunken ist, dahin schwimmen sie ganz richtig und bleiben da stehen.
tom_sawyer_07_f000070|Ja, sagte Joe, das habe ich auch gehört. Möchte aber wissen, was das Brot damit zu tun hat.|Ja, sagte Joe, das habe ich auch gehört. Möchte aber wissen, was das Brot damit zu tun hat.
tom_sawyer_07_f000071|O, ich denke, es Brot ists wenigste, meinte Tom. Ich meine, es ist mehr, was sie drüber sprechen, ehe siees aussetzen.|O, ich denke, es Brot ists wenigste, meinte Tom. Ich meine, es ist mehr, was sie drüber sprechen, ehe siees aussetzen.
tom_sawyer_07_f000072|Aber sie sprechen ja gar nichts drüber, warf Huck ein. Ich habes gesehen, und sie tatenes nicht !|Aber sie sprechen ja gar nichts drüber, warf Huck ein. Ich habes gesehen, und sie tatenes nicht !
tom_sawyer_07_f000073|Na, das ist sonderbar, kopfschüttelte Tom. Aber sie sagen gewiß was zu sich selbst. Natürlich tun siees. Jeder weiß das.|Na, das ist sonderbar, kopfschüttelte Tom. Aber sie sagen gewiß was zu sich selbst. Natürlich tun siees. Jeder weiß das.
tom_sawyer_07_f000074|Die anderen gaben zu, daß das, was Tom da sage, was für sich habe, denn ein lumpiges Stück Brot, nicht durch eine Besprechung mit besonderer Kraft ausgestattet,|Die anderen gaben zu, daß das, was Tom da sage, was für sich habe, denn ein lumpiges Stück Brot, nicht durch eine Besprechung mit besonderer Kraft ausgestattet,
tom_sawyer_07_f000075|konnte sich nicht so klug und geschickt benehmen, wenn man es auf eine Unternehmung von solcher Wichtigkeit ausschickte.|konnte sich nicht so klug und geschickt benehmen, wenn man es auf eine Unternehmung von solcher Wichtigkeit ausschickte.
tom_sawyer_07_f000076|Teufel, sagte Joe, ich wollte ich wäre drüben!|Teufel, sagte Joe, ich wollte ich wäre drüben!
tom_sawyer_07_f000077|Ich auch, bestätigte Huck. Ich gäb enen Haufen, um zu wissen, was das ist.|Ich auch, bestätigte Huck. Ich gäb enen Haufen, um zu wissen, was das ist.
tom_sawyer_07_f000078|Die Jungen horchten und warteten. Plötzlich durchfuhr ein erleuchteter Gedanke Toms Hirn, und er rief aus: Jungs, ich weiß, wen sie suchen dort drüben! Uns suchen sie!|Die Jungen horchten und warteten. Plötzlich durchfuhr ein erleuchteter Gedanke Toms Hirn, und er rief aus: Jungs, ich weiß, wen sie suchen dort drüben! Uns suchen sie!
tom_sawyer_07_f000079|Sie fühlten sich sofort als Helden. Hier war ein glänzender Triumph.|Sie fühlten sich sofort als Helden. Hier war ein glänzender Triumph.
tom_sawyer_07_f000080|Sie wurden vermißt. Sie wurden beweint. Herzen brachen ihretwegen.|Sie wurden vermißt. Sie wurden beweint. Herzen brachen ihretwegen.
tom_sawyer_07_f000081|Tränen wurden vergossen. Anklagende Erinnerung an unfreundliche Handlungen gegen diese armen Verlorenen stiegen auf, und nutzloses Bedauern und Gewissensbisse quälten die Herzen.|Tränen wurden vergossen. Anklagende Erinnerung an unfreundliche Handlungen gegen diese armen Verlorenen stiegen auf, und nutzloses Bedauern und Gewissensbisse quälten die Herzen.
tom_sawyer_07_f000082|Und das beste - die Vermißten wurden zum öffentlichen Gesprächsthema des ganzen Dorfes, und dann der Neid aller Buben, soweit diese glänzende Botschaft drang!|Und das beste - die Vermißten wurden zum öffentlichen Gesprächsthema des ganzen Dorfes, und dann der Neid aller Buben, soweit diese glänzende Botschaft drang!
tom_sawyer_07_f000083|Es war herrlich! Es gab dem Piratenspielen erst den rechten Wert.|Es war herrlich! Es gab dem Piratenspielen erst den rechten Wert.
tom_sawyer_07_f000084|Als die Dämmerung hereinbrach, kehrte das Dampfboot zu seinen gewöhnlichen Geschäften zurück, und die Boote verschwanden.|Als die Dämmerung hereinbrach, kehrte das Dampfboot zu seinen gewöhnlichen Geschäften zurück, und die Boote verschwanden.
tom_sawyer_07_f000085|Die Piraten kehrten in ihr Lager zurück. Sie waren noch ganz betäubt durch den Überschwang ihrer neuen Größe und das wunderbare Aufsehen, das sie erregten.|Die Piraten kehrten in ihr Lager zurück. Sie waren noch ganz betäubt durch den Überschwang ihrer neuen Größe und das wunderbare Aufsehen, das sie erregten.
tom_sawyer_07_f000086|Sie fingen Fische, bereiteten ihr Abendessen, verzehrten es und legten sich dann nieder, um Vermutungen anzustellen, was das Dorf über sie denken und sprechen möchte.|Sie fingen Fische, bereiteten ihr Abendessen, verzehrten es und legten sich dann nieder, um Vermutungen anzustellen, was das Dorf über sie denken und sprechen möchte.
tom_sawyer_07_f000087|Und die Bilder, die sie sich von der allgemeinen Bestürzung, deren Ursache sie waren, machten, entzückten sie über alle Maßen.|Und die Bilder, die sie sich von der allgemeinen Bestürzung, deren Ursache sie waren, machten, entzückten sie über alle Maßen.
tom_sawyer_07_f000088|Aber als die Schatten der Nacht sie zu umhüllen begannen, hörten sie auf zu plaudern und saßen da, schauten ins Feuer, während ihr Geist augenscheinlich ganz wo anders weilte.|Aber als die Schatten der Nacht sie zu umhüllen begannen, hörten sie auf zu plaudern und saßen da, schauten ins Feuer, während ihr Geist augenscheinlich ganz wo anders weilte.
tom_sawyer_07_f000089|Der Rausch war geschwunden, und Tom und Joe konnten an niemand zu Hause zurückdenken, der sich über ihre Heldentat so freuen mochte, wie sie es taten.|Der Rausch war geschwunden, und Tom und Joe konnten an niemand zu Hause zurückdenken, der sich über ihre Heldentat so freuen mochte, wie sie es taten.
tom_sawyer_07_f000090|Trübe Ahnungen stellten sich ein. Sie fühlten sich unbehaglich und unglücklich.|Trübe Ahnungen stellten sich ein. Sie fühlten sich unbehaglich und unglücklich.
tom_sawyer_07_f000091|Ein oder zwei Seufzer entschlüpften ihnen. Endlich wagte Joe einen Fühler auszustrecken, um zu sehen,|Ein oder zwei Seufzer entschlüpften ihnen. Endlich wagte Joe einen Fühler auszustrecken, um zu sehen,
tom_sawyer_07_f000092|wie die anderen über die Rückkehr zur Zivilisation denken mochten, - nicht jetzt natürlich - aber - Tom wies ihn mit Verachtung zurück!|wie die anderen über die Rückkehr zur Zivilisation denken mochten, - nicht jetzt natürlich - aber - Tom wies ihn mit Verachtung zurück!
tom_sawyer_07_f000093|Huck, bis jetzt noch ganz gleichmütig, stimmte Tom bei, und der Wankelmütige gab eine demütige Erklärung ab und war froh,|Huck, bis jetzt noch ganz gleichmütig, stimmte Tom bei, und der Wankelmütige gab eine demütige Erklärung ab und war froh,
tom_sawyer_07_f000094|sich mit einem so geringen Odium schwachherzigen Heimwehs, als es sich nur immer machen ließ, aus der Affäre zu ziehen.|sich mit einem so geringen Odium schwachherzigen Heimwehs, als es sich nur immer machen ließ, aus der Affäre zu ziehen.
tom_sawyer_07_f000095|Für den Augenblick war die Empörung also offenbar niedergeschlagen.|Für den Augenblick war die Empörung also offenbar niedergeschlagen.
tom_sawyer_07_f000096|Als die Nacht dunkelte, begann Huck zu nicken und sogleich zu schnarchen.|Als die Nacht dunkelte, begann Huck zu nicken und sogleich zu schnarchen.
tom_sawyer_07_f000097|Joe war der nächste. Tom lag eine Zeitlang unbeweglich auf den Ellbogen, die beiden aufmerksam beobachtend.|Joe war der nächste. Tom lag eine Zeitlang unbeweglich auf den Ellbogen, die beiden aufmerksam beobachtend.
tom_sawyer_07_f000098|Schließlich erhob er sich vorsichtig auf die Knie und kroch durch das Gras und den flackernden Widerschein des Lagerfeuers.|Schließlich erhob er sich vorsichtig auf die Knie und kroch durch das Gras und den flackernden Widerschein des Lagerfeuers.
tom_sawyer_07_f000099|Er sammelte und untersuchte verschiedene große Stücke weißer Sykomorenrinde und wählte schließlich zwei, die ihm die besten schienen, aus.|Er sammelte und untersuchte verschiedene große Stücke weißer Sykomorenrinde und wählte schließlich zwei, die ihm die besten schienen, aus.
tom_sawyer_07_f000100|Dann kroch er wieder zum Feuer und kritzelte etwas mit Rotstift auf jedes von ihnen.|Dann kroch er wieder zum Feuer und kritzelte etwas mit Rotstift auf jedes von ihnen.
