reisenachtilsit_1_f000001|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.
reisenachtilsit_2_f000073|Über das weite Haff hin ist es nach Westen wie eine blaugraue Decke gebreitet, nur drüben die Nehrung steht dunkelrot im Morgenschein.|Über das weite Haff hin ist es nach Westen wie eine blaugraue Decke gebreitet, nur drüben die Nehrung steht dunkelrot im Morgenschein.
reisenachtilsit_2_f000074|Wie sie um die Windenburger Ecke herumkommen, dort, wo die Landzunge sich spitz in das Wasser hineinstreckt, lockert er erst die Segelleine und wirft dann mit raschem Griff das Steuer um, denn von nun an geht es mit vollem Wind geradeswegs nach Osten.|Wie sie um die Windenburger Ecke herumkommen, dort, wo die Landzunge sich spitz in das Wasser hineinstreckt, lockert er erst die Segelleine und wirft dann mit raschem Griff das Steuer um, denn von nun an geht es mit vollem Wind geradeswegs nach Osten.
reisenachtilsit_2_f000075|So oft sie zum Vater nach Minge fuhr, vor dieser Stelle hat sie schon immer Angst gehabt, denn wenn irgend einmal ein Unglück geschehen ist, dann war es nur hier.|So oft sie zum Vater nach Minge fuhr, vor dieser Stelle hat sie schon immer Angst gehabt, denn wenn irgend einmal ein Unglück geschehen ist, dann war es nur hier.
reisenachtilsit_2_f000076|Und sie sucht in ihrer ungewissen Angst das liebe Minge, das in der Ferne ganz deutlich zu sehen ist, und denkt bei sich: Ach Vater, wenn du wüßtest, was für einen schlimmen Weg die Indre fährt.|Und sie sucht in ihrer ungewissen Angst das liebe Minge, das in der Ferne ganz deutlich zu sehen ist, und denkt bei sich: Ach Vater, wenn du wüßtest, was für einen schlimmen Weg die Indre fährt.
reisenachtilsit_2_f000077|Aber sie ist still im Herrn. Nur die gefährliche Stelle macht ihr das Herz eng.|Aber sie ist still im Herrn. Nur die gefährliche Stelle macht ihr das Herz eng.
reisenachtilsit_2_f000078|Und dann fährt der Kahn glatt auf die Mündung zu, die mit ihren Grasbändern rechts und links schon lange auf sie zu warten scheint.|Und dann fährt der Kahn glatt auf die Mündung zu, die mit ihren Grasbändern rechts und links schon lange auf sie zu warten scheint.
reisenachtilsit_2_f000079|Da liegt nun vor ihr der breite Atmathstrom, breit wie die Memel selber, von der er ein Arm ist, und das hübsche kleine Windchen macht auf dem Wasser ein Reibeisen.|Da liegt nun vor ihr der breite Atmathstrom, breit wie die Memel selber, von der er ein Arm ist, und das hübsche kleine Windchen macht auf dem Wasser ein Reibeisen.
reisenachtilsit_2_f000080|Zwei Mundvoll mehr wären gut, sagt der Ansas halb abgewandt zu ihr herüber, denn wenn der Gegenstrom auch schwach ist, der Kahn merkt ihn doch.|Zwei Mundvoll mehr wären gut, sagt der Ansas halb abgewandt zu ihr herüber, denn wenn der Gegenstrom auch schwach ist, der Kahn merkt ihn doch.
reisenachtilsit_2_f000081|Sie denkt bloß: Ich möchte nach Minge. Aber Minge liegt längst im Rücken.|Sie denkt bloß: Ich möchte nach Minge. Aber Minge liegt längst im Rücken.
reisenachtilsit_2_f000082|Denn drüben ist schon Kuwertshof, das einsam zwischen Wasserläufen gelegene Wiesengut, von dem die Leute sagen, daß, wer darauf wohnen will, sich Schwimmhäute anschaffen muß, sonst kann er nicht vor und nicht zurück.|Denn drüben ist schon Kuwertshof, das einsam zwischen Wasserläufen gelegene Wiesengut, von dem die Leute sagen, daß, wer darauf wohnen will, sich Schwimmhäute anschaffen muß, sonst kann er nicht vor und nicht zurück.
reisenachtilsit_2_f000083|Auch ich kann nicht vor und nicht zurück, denkt sie, und muß stillhalten, wie er es bestimmt.|Auch ich kann nicht vor und nicht zurück, denkt sie, und muß stillhalten, wie er es bestimmt.
reisenachtilsit_2_f000084|Nun macht der Strom den großen Ellbogen nach Süden hin, und die Segel schlagen zur Seite, so daß sie ihn mit seinem ganzen Körper sehen kann.|Nun macht der Strom den großen Ellbogen nach Süden hin, und die Segel schlagen zur Seite, so daß sie ihn mit seinem ganzen Körper sehen kann.
reisenachtilsit_2_f000085|Sie sitzt auf der Paragge, dem Abschlag vorn an der Spitze, und er hinten am Steuer.|Sie sitzt auf der Paragge, dem Abschlag vorn an der Spitze, und er hinten am Steuer.
reisenachtilsit_2_f000086|Der Mast steht zwischen ihnen. Ihr ist, als will er sich vor ihren Blicken verstecken.|Der Mast steht zwischen ihnen. Ihr ist, als will er sich vor ihren Blicken verstecken.
reisenachtilsit_2_f000087|Er rückt nach rechts, er rückt nach links, aber es hilft ihm nichts.|Er rückt nach rechts, er rückt nach links, aber es hilft ihm nichts.
reisenachtilsit_2_f000088|Armer Mann, denkt sie, ich möchte nicht an deiner Stelle sein.|Armer Mann, denkt sie, ich möchte nicht an deiner Stelle sein.
reisenachtilsit_2_f000089|Und sie lächelt ihn traurig an, so leid tut er ihr.|Und sie lächelt ihn traurig an, so leid tut er ihr.
reisenachtilsit_2_f000090|Auf der rechten Seite kommt nun Ruß, der große Herrenort, in dem so viel getrunken wird wie nirgends auf der Welt.|Auf der rechten Seite kommt nun Ruß, der große Herrenort, in dem so viel getrunken wird wie nirgends auf der Welt.
reisenachtilsit_2_f000091|Vor dem Rußner Wasserpunsch fürchten sich ja selbst die Herren von der Regierung.|Vor dem Rußner Wasserpunsch fürchten sich ja selbst die Herren von der Regierung.
reisenachtilsit_2_f000092|Zuerst mit den vielen Flößen davor der Anckersche Holzplatz und eine Sägemühle und dann noch eine und noch eine.|Zuerst mit den vielen Flößen davor der Anckersche Holzplatz und eine Sägemühle und dann noch eine und noch eine.
reisenachtilsit_2_f000093|Die Dzimken, die Flößer, die mit den Hölzern stromab aus Rußland kommen, sitzen in ihren langen, grauen Hemden auf der Floßkante und baden sich die Füße.|Die Dzimken, die Flößer, die mit den Hölzern stromab aus Rußland kommen, sitzen in ihren langen, grauen Hemden auf der Floßkante und baden sich die Füße.
reisenachtilsit_2_f000094|Hinter ihnen rauchen die Kessel zum Frühstücksbrot.|Hinter ihnen rauchen die Kessel zum Frühstücksbrot.
reisenachtilsit_2_f000095|Er wird mir wohl Gift ereintun, denkt sie. Aber noch hat sie das mitgebrachte Essen in ihrer Hand, und was anderes wird sie nicht zu sich nehmen.|Er wird mir wohl Gift ereintun, denkt sie. Aber noch hat sie das mitgebrachte Essen in ihrer Hand, und was anderes wird sie nicht zu sich nehmen.
reisenachtilsit_2_f000096|Die Insel Brionischken kommt mit ihrer neuen Sägemühle.|Die Insel Brionischken kommt mit ihrer neuen Sägemühle.
reisenachtilsit_2_f000097|Auch hier liegen Holztriften fest, und die Dzimken, die Tag und Nacht Musik machen müssen, fassen schon an, die Kehlen zu stimmen.|Auch hier liegen Holztriften fest, und die Dzimken, die Tag und Nacht Musik machen müssen, fassen schon an, die Kehlen zu stimmen.
reisenachtilsit_2_f000098|Eins von den Liedern kennt sie: Lytus lynòju, rasà rasòju, O mùdu abùdu lovò gulèju.|Eins von den Liedern kennt sie: Lytus lynoju, rasa rasoju, O mudu abudu lovo guleju.
reisenachtilsit_2_f000099|Sie denkt: Wenn alles so wäre wie einst, dann würden wir jetzt mitsingen.|Sie denkt: Wenn alles so wäre wie einst, dann würden wir jetzt mitsingen.
reisenachtilsit_2_f000100|Die Dzimken winken ihnen auch einladend mit den Händen, aber keines von ihnen beiden grüßt wieder.|Die Dzimken winken ihnen auch einladend mit den Händen, aber keines von ihnen beiden grüßt wieder.
reisenachtilsit_2_f000101|Und viele andere haben ihnen während der Fahrt noch zugewinkt, aber niemals haben sie Antwort gegeben.|Und viele andere haben ihnen während der Fahrt noch zugewinkt, aber niemals haben sie Antwort gegeben.
reisenachtilsit_2_f000102|Hinter Ruß kommt, wie wir ja wissen, eine traurige Gegend.|Hinter Ruß kommt, wie wir ja wissen, eine traurige Gegend.
reisenachtilsit_2_f000103|Links das Medszokel-Moor, wo die Ärmsten der Armen wohnen, rechts das Bredszuller Moor, das auch nicht viel wert ist.|Links das Medszokel-Moor, wo die Ärmsten der Armen wohnen, rechts das Bredszuller Moor, das auch nicht viel wert ist.
reisenachtilsit_2_f000104|Aber dahinter erhebt sich auf Hügeln und Höhen der Ibenhorst, der weitberühmte Wald, in dem die wilden Elche hausen.|Aber dahinter erhebt sich auf Hügeln und Höhen der Ibenhorst, der weitberühmte Wald, in dem die wilden Elche hausen.
reisenachtilsit_2_f000105|Und sie muß an jenen Frühlingstag denken, vor sieben Jahren.|Und sie muß an jenen Frühlingstag denken, vor sieben Jahren.
reisenachtilsit_2_f000106|Sie trug damals die Elske im sechsten Monat und war in der Wirtschaft schon wenig mehr nütze.|Sie trug damals die Elske im sechsten Monat und war in der Wirtschaft schon wenig mehr nütze.
reisenachtilsit_2_f000107|Da sagte er eines Tages zu ihr: Wir wollen nach Ibenhorst fahren, vielleicht daß wir die Elche sehen.|Da sagte er eines Tages zu ihr: Wir wollen nach Ibenhorst fahren, vielleicht daß wir die Elche sehen.
reisenachtilsit_2_f000108|Aber er nahm nicht wie heute die Waltelle das Mittelboot –, denn damit kommt man in den kleinen Seitenflüssen nicht vorwärts, sondern den Handkahn.|Aber er nahm nicht wie heute die Waltelle das Mittelboot -, denn damit kommt man in den kleinen Seitenflüssen nicht vorwärts, sondern den Handkahn.
reisenachtilsit_2_f000109|In dem fuhren sie nun eng aneinander gedrückt durch das Gewirr der fließenden Gräben, durch Rohr und Binsen, stunden- und stundenlang.|In dem fuhren sie nun eng aneinander gedrückt durch das Gewirr der fließenden Gräben, durch Rohr und Binsen, stunden- und stundenlang.
reisenachtilsit_2_f000110|Und sie hatte den Kopf auf seinem Schoß liegen und sagte ein Mal über das andere: Ach, was brauchen wir Elche zu sehen, es ist ja auch so ganz wunderschön.|Und sie hatte den Kopf auf seinem Schoß liegen und sagte ein Mal über das andere: Ach, was brauchen wir Elche zu sehen, es ist ja auch so ganz wunderschön.
reisenachtilsit_2_f000111|Und schließlich sahen sie doch einen. Es war ein mächtiger Bulle mit einem Geweih, rein wie zwei Mühlenflügel.|Und schließlich sahen sie doch einen. Es war ein mächtiger Bulle mit einem Geweih, rein wie zwei Mühlenflügel.
reisenachtilsit_2_f000112|Der stand ganz nahe im Röhricht und kaute und sah sie an.|Der stand ganz nahe im Röhricht und kaute und sah sie an.
reisenachtilsit_2_f000113|Ansas sagte: Sehr wild scheint der nicht zu sein, ich fahre einfach auf ihn los.|Ansas sagte: Sehr wild scheint der nicht zu sein, ich fahre einfach auf ihn los.
reisenachtilsit_2_f000114|Aber die Elske in ihrem Leibe, die wollte das nicht und machte einen heftigen Sprung.|Aber die Elske in ihrem Leibe, die wollte das nicht und machte einen heftigen Sprung.
reisenachtilsit_2_f000115|Und als sie ihm das sagte, da wußte er nicht, wie rasch er umkehren sollte.|Und als sie ihm das sagte, da wußte er nicht, wie rasch er umkehren sollte.
reisenachtilsit_2_f000116|An jenen Frühlingstag also muß sie denken, und dabei kommt mitten aus ihrer Ergebung der Jammer plötzlich über sie, so daß sie die gefalteten Hände vor die Stirn legt und dreimal weinend sagt: O Gott, o Gott, o Gott!|An jenen Frühlingstag also muß sie denken, und dabei kommt mitten aus ihrer Ergebung der Jammer plötzlich über sie, so daß sie die gefalteten Hände vor die Stirn legt und dreimal weinend sagt: O Gott, o Gott, o Gott!
reisenachtilsit_2_f000117|Dann sieht sie, daß er das Ruder festmacht und über die Großmastbank zu ihr herübersteigt.|Dann sieht sie, daß er das Ruder festmacht und über die Großmastbank zu ihr herübersteigt.
reisenachtilsit_2_f000118|Worüber klagst du eigentlich? hört sie ihn sagen.|Worüber klagst du eigentlich? hört sie ihn sagen.
reisenachtilsit_2_f000119|Sie hebt die Augen zu ihm auf und sagt: Ach Ansas, Ansas, weißt du nicht besser als ich, warum ich klage?|Sie hebt die Augen zu ihm auf und sagt: Ach Ansas, Ansas, weißt du nicht besser als ich, warum ich klage?
reisenachtilsit_2_f000120|Da dreht er sich auf seinen Hacken um und geht stumm zum Hinterende zurück.|Da dreht er sich auf seinen Hacken um und geht stumm zum Hinterende zurück.
reisenachtilsit_2_f000121|Auf einer der entgegenfahrenden Triften spielt ein Dzimke die Harmonika.|Auf einer der entgegenfahrenden Triften spielt ein Dzimke die Harmonika.
reisenachtilsit_2_f000122|Sie denkt: Nun wird die Elske wohl nie mehr Klavier spielen lernen... und der Willus wird auch niemals ein Pfarrer werden.|Sie denkt: Nun wird die Elske wohl nie mehr Klavier spielen lernen... und der Willus wird auch niemals ein Pfarrer werden.
reisenachtilsit_2_f000123|Denn das hat sie sich in ihrem Sinne vorgenommen, weil es ein gottgefälliges Werk ist.|Denn das hat sie sich in ihrem Sinne vorgenommen, weil es ein gottgefälliges Werk ist.
reisenachtilsit_2_f000124|Sie denkt weiter: Ich werde es mir noch vorher von ihm versprechen lassen.|Sie denkt weiter: Ich werde es mir noch vorher von ihm versprechen lassen.
reisenachtilsit_2_f000125|Aber wie kann sie wissen, wann das Schreckliche kommen wird, so daß sie noch Zeit behält zum Bitten?|Aber wie kann sie wissen, wann das Schreckliche kommen wird, so daß sie noch Zeit behält zum Bitten?
reisenachtilsit_2_f000126|Jeden Augenblick kann es kommen, denn oft ist alles menschenleer auch an den Ufern weit und breit.|Jeden Augenblick kann es kommen, denn oft ist alles menschenleer auch an den Ufern weit und breit.
reisenachtilsit_2_f000127|Was mag er nur in der Sackleinwand haben? denkt sie weiter.|Was mag er nur in der Sackleinwand haben? denkt sie weiter.
reisenachtilsit_2_f000128|Da drin muß es sein, womit er das Schreckliche ausüben will.|Da drin muß es sein, womit er das Schreckliche ausüben will.
reisenachtilsit_2_f000129|Aber was kann es sein? Das Paket ist rund und halbmannslang und etwa wie ein Milcheimer so stark.|Aber was kann es sein? Das Paket ist rund und halbmannslang und etwa wie ein Milcheimer so stark.
reisenachtilsit_2_f000130|Als er es vor der Abfahrt auf den Boden warf, ist kein Schall zu hören gewesen.|Als er es vor der Abfahrt auf den Boden warf, ist kein Schall zu hören gewesen.
reisenachtilsit_2_f000131|Es muß also leicht sein von Gewicht. Das Beste ist, denkt sie, ich lasse es kommen, wie es kommt, und nutze die Zeit, um Frieden zu machen mit dem Herrn.|Es muß also leicht sein von Gewicht. Das Beste ist, denkt sie, ich lasse es kommen, wie es kommt, und nutze die Zeit, um Frieden zu machen mit dem Herrn.
reisenachtilsit_2_f000132|Aber der Herr hat ihr den Frieden längst gesandt.|Aber der Herr hat ihr den Frieden längst gesandt.
reisenachtilsit_2_f000133|Sie weiß kaum, um was sie beten soll. Denn um die Rettung zu beten, ziemt ihr nicht.|Sie weiß kaum, um was sie beten soll. Denn um die Rettung zu beten, ziemt ihr nicht.
reisenachtilsit_2_f000134|Da braucht sie ja nur zu schreien, wenn irgendein Floß kommt.|Da braucht sie ja nur zu schreien, wenn irgendein Floß kommt.
reisenachtilsit_2_f000135|Und so betet sie für die Kinder. Immer der Reihe nach und dann wieder von vorne.|Und so betet sie für die Kinder. Immer der Reihe nach und dann wieder von vorne.
reisenachtilsit_2_f000136|Wie lange Zeit so verflossen ist, kann sie nicht sagen.|Wie lange Zeit so verflossen ist, kann sie nicht sagen.
reisenachtilsit_2_f000137|Aber die Sonne steht schon ganz hoch, da hört sie von drüben seine Stimme: Bring mir zu essen, ich habe Hunger!|Aber die Sonne steht schon ganz hoch, da hört sie von drüben seine Stimme: Bring mir zu essen, ich habe Hunger!
reisenachtilsit_2_f000138|Das Herz schlägt ihr plötzlich oben im Halse. Jetzt wird es geschehen, denkt sie.|Das Herz schlägt ihr plötzlich oben im Halse. Jetzt wird es geschehen, denkt sie.
reisenachtilsit_2_f000139|Aber wie sie ihm die Neunaugen und die Rauchwurst hinüberträgt und Brot und Butter dazu, da zittert sie nicht, denn jetzt denkt sie wieder: Nein, so kann es nicht geschehen, er wird sich eine andere Art und Weise suchen.|Aber wie sie ihm die Neunaugen und die Rauchwurst hinüberträgt und Brot und Butter dazu, da zittert sie nicht, denn jetzt denkt sie wieder: Nein, so kann es nicht geschehen, er wird sich eine andere Art und Weise suchen.
reisenachtilsit_2_f000140|Und dann, wie er fragt: Ißt du denn nichts?|Und dann, wie er fragt: Ißt du denn nichts?
reisenachtilsit_2_f000141|kommt ihr plötzlich der Gedanke: Es wird gar nicht geschehen. Und nur mein trüber Sinn malt es mir aus.|kommt ihr plötzlich der Gedanke: Es wird gar nicht geschehen. Und nur mein trüber Sinn malt es mir aus.
reisenachtilsit_2_f000142|Aber sie braucht ihn nur anzusehen, wie er dasitzt, in sich zusammengekrochen und die Blicke irgendwohin ins Weite oder aufs Wasser gerichtet, bloß nicht auf sie, dann weiß sie: Es wird doch geschehen.|Aber sie braucht ihn nur anzusehen, wie er dasitzt, in sich zusammengekrochen und die Blicke irgendwohin ins Weite oder aufs Wasser gerichtet, bloß nicht auf sie, dann weiß sie: Es wird doch geschehen.
reisenachtilsit_2_f000143|Mit einmal faßt sie sich ein Herz und fragt: Was hast du da in der Sackleinwand?|Mit einmal faßt sie sich ein Herz und fragt: Was hast du da in der Sackleinwand?
reisenachtilsit_2_f000144|Er zieht finster den Mund in die Höhe und antwortet: Meine Wasserstiefel.|Er zieht finster den Mund in die Höhe und antwortet: Meine Wasserstiefel.
reisenachtilsit_2_f000145|Aber sie weiß, das das nicht wahr sein kann, denn deren Absätze sind eisenbeschlagen und hätten beim Hinschmeißen geklappert.|Aber sie weiß, das das nicht wahr sein kann, denn deren Absätze sind eisenbeschlagen und hätten beim Hinschmeißen geklappert.
reisenachtilsit_2_f000146|Dann packt sie die Speisen zusammen und geht nach dem Vorderende zurück.|Dann packt sie die Speisen zusammen und geht nach dem Vorderende zurück.
reisenachtilsit_2_f000147|Die Sonne sticht nun sehr, und sie muß ihr Kopftuch tief in die Augen ziehen.|Die Sonne sticht nun sehr, und sie muß ihr Kopftuch tief in die Augen ziehen.
reisenachtilsit_2_f000148|Längst haben sie die arme Moorgegend verlassen, auch der schwarze Rand des Ibenhorstes ist untergesunken, und hinter dem Damm dehnt sich die fruchtbare Niederung, wo der Morgen tausend Mark kostet und die Bauern Rotwein auf dem Tische haben.|Längst haben sie die arme Moorgegend verlassen, auch der schwarze Rand des Ibenhorstes ist untergesunken, und hinter dem Damm dehnt sich die fruchtbare Niederung, wo der Morgen tausend Mark kostet und die Bauern Rotwein auf dem Tische haben.
reisenachtilsit_2_f000149|Die Klokener Fähre kommt, hinter der Kaukehmen liegt, der große, reiche Marktort, in dessen bestem Gasthaus nur studierte Leute aus und ein gehen dürfen.|Die Klokener Fähre kommt, hinter der Kaukehmen liegt, der große, reiche Marktort, in dessen bestem Gasthaus nur studierte Leute aus und ein gehen dürfen.
reisenachtilsit_2_f000150|Wenn der Willus Pfarrer sein wird, wird er dort auch aus und ein gehen dürfen. Aber der Willus wird ja nie Pfarrer sein.|Wenn der Willus Pfarrer sein wird, wird er dort auch aus und ein gehen dürfen. Aber der Willus wird ja nie Pfarrer sein.
reisenachtilsit_2_f000151|Wird etwa die Busze ihn auf die hohe Schule gehen lassen?|Wird etwa die Busze ihn auf die hohe Schule gehen lassen?
reisenachtilsit_2_f000152|Nun dauert es noch etwa eine Stunde, dann kommt die Stelle, an der die Gilge sich abzweigt.|Nun dauert es noch etwa eine Stunde, dann kommt die Stelle, an der die Gilge sich abzweigt.
reisenachtilsit_2_f000153|Sie sieht das blanke Gewässer nach rechts hin im Grünen verschwinden, fragt aber nichts.|Sie sieht das blanke Gewässer nach rechts hin im Grünen verschwinden, fragt aber nichts.
reisenachtilsit_2_f000154|Da kriegt der Ansas mit einemmal die Sprache wieder und sagt: Du, Indre, von nun an heißt es nicht mehr der Rußstrom, jetzt ist es die Memel.|Da kriegt der Ansas mit einemmal die Sprache wieder und sagt: Du, Indre, von nun an heißt es nicht mehr der Rußstrom, jetzt ist es die Memel.
reisenachtilsit_2_f000155|Sie bedankt sich für die Belehrung, und dann wird es wieder still.|Sie bedankt sich für die Belehrung, und dann wird es wieder still.
reisenachtilsit_2_f000156|So lange still, bis Ansas plötzlich den Arm hebt und ganz erfreut nach vorne zeigt. Sie wendet sich um und fragt: Was ist? Was wird sein? sagt er.|So lange still, bis Ansas plötzlich den Arm hebt und ganz erfreut nach vorne zeigt. Sie wendet sich um und fragt: Was ist? Was wird sein? sagt er.
reisenachtilsit_2_f000157|Tilsit wird sein. Sie sieht nicht nach Tilsit. Sie sieht bloß nach ihm. Er lacht übers ganze Gesicht, weil sie nun bald da sind.|Tilsit wird sein. Sie sieht nicht nach Tilsit. Sie sieht bloß nach ihm. Er lacht übers ganze Gesicht, weil sie nun bald da sind.
reisenachtilsit_2_f000158|Es wird nicht geschehen, denkt sie. Der Mensch kann sich nicht freuen, der so Schreckliches mit sich herumträgt.|Es wird nicht geschehen, denkt sie. Der Mensch kann sich nicht freuen, der so Schreckliches mit sich herumträgt.
reisenachtilsit_2_f000159|Und dann wird er ganz ärgerlich, weil sie so gar keine Neugier zeigt.|Und dann wird er ganz ärgerlich, weil sie so gar keine Neugier zeigt.
reisenachtilsit_2_f000160|Da vorne bauen sie die große Eisenbahnbrücke, sagt er, und hinten steht auch Napoleons Kirchturm, aber du siehst dich nicht einmal um.|Da vorne bauen sie die große Eisenbahnbrücke, sagt er, und hinten steht auch Napoleons Kirchturm, aber du siehst dich nicht einmal um.
reisenachtilsit_2_f000161|Sie entschuldigt sich und läßt sich alles erklären. Und so kommen sie immer näher.|Sie entschuldigt sich und läßt sich alles erklären. Und so kommen sie immer näher.
reisenachtilsit_3_f000001|Die Mauerpfeiler, die aus dem Wasser wachsen, und die Eisengerüste hoch oben, die in der Luft hängen wie der Netzstil beim Fischen so was hat sie wirklich noch nie gesehen.|Die Mauerpfeiler, die aus dem Wasser wachsen, und die Eisengerüste hoch oben, die in der Luft hängen wie der Netzstil beim Fischen so was hat sie wirklich noch nie gesehen.
reisenachtilsit_3_f000002|Alles war Unsinn, denkt sie. Es wird nicht geschehen.|Alles war Unsinn, denkt sie. Es wird nicht geschehen.
reisenachtilsit_3_f000003|Und dann kommen Holzplätze, so groß wie der Anckersche in Ruß, und Schornstein nach Schornstein, und dann die Stadt selber.|Und dann kommen Holzplätze, so groß wie der Anckersche in Ruß, und Schornstein nach Schornstein, und dann die Stadt selber.
reisenachtilsit_3_f000004|Mit Wohnhäusern, noch höher als die Speicher in Memel.|Mit Wohnhäusern, noch höher als die Speicher in Memel.
reisenachtilsit_3_f000005|Denn Memel kennt sie. Dorthin ist sie früher manchmal zum Markt mitgefahren und um die See zu sehen.|Denn Memel kennt sie. Dorthin ist sie früher manchmal zum Markt mitgefahren und um die See zu sehen.
reisenachtilsit_3_f000006|Napoleons Kirchturm hätte sie sich wunderbarer vorgestellt.|Napoleons Kirchturm hätte sie sich wunderbarer vorgestellt.
reisenachtilsit_3_f000007|Die acht Kugeln sind wirklich da, aber das Mauerwerk steht darauf, als ob es gar nicht anders sein könnte.|Die acht Kugeln sind wirklich da, aber das Mauerwerk steht darauf, als ob es gar nicht anders sein könnte.
reisenachtilsit_3_f000008|Ansas zieht die Segel ein und lenkt dem steinernen Ufer zu.|Ansas zieht die Segel ein und lenkt dem steinernen Ufer zu.
reisenachtilsit_3_f000009|Dort, wo er festmacht, liegen schon ein paar andere Fischerkähne, mit deren Besitzern er sich begrüßt.|Dort, wo er festmacht, liegen schon ein paar andere Fischerkähne, mit deren Besitzern er sich begrüßt.
reisenachtilsit_3_f000010|Es sind Leute aus Tawe und Inse, die ihren Fang am Morgen verkauft haben.|Es sind Leute aus Tawe und Inse, die ihren Fang am Morgen verkauft haben.
reisenachtilsit_3_f000011|Kommt ihr Wilwischker jetzt auch schon hierher, sagt einer neidisch, und verderbt uns die Preise?|Kommt ihr Wilwischker jetzt auch schon hierher, sagt einer neidisch, und verderbt uns die Preise?
reisenachtilsit_3_f000012|Ansas, der sich gerade die Wichsstiefel anzieht, antwortet ihm gar nicht.|Ansas, der sich gerade die Wichsstiefel anzieht, antwortet ihm gar nicht.
reisenachtilsit_3_f000013|Für solche Gespräche ist er zu stolz.|Für solche Gespräche ist er zu stolz.
reisenachtilsit_3_f000014|Indre breitet das weiße Reisetuch über den vorderen Abschlag und setzt die Speisen darauf.|Indre breitet das weiße Reisetuch über den vorderen Abschlag und setzt die Speisen darauf.
reisenachtilsit_3_f000015|Neben den Neunaugen und der Rauchwurst hat sie auch Soleier und selbstgeräucherten Lachs mit eingepackt.|Neben den Neunaugen und der Rauchwurst hat sie auch Soleier und selbstgeräucherten Lachs mit eingepackt.
reisenachtilsit_3_f000016|Und da sie seit halb vier in der Frühe nichts mehr gegessen hat, merkt sie jetzt, daß ihr schon längst vor Hunger ganz schwach ist.|Und da sie seit halb vier in der Frühe nichts mehr gegessen hat, merkt sie jetzt, daß ihr schon längst vor Hunger ganz schwach ist.
reisenachtilsit_3_f000017|Sie sitzen nun beide auf den Kanten des Bootes einander nahe gegenüber und essen das Mitgenommene als Mittagbrot.|Sie sitzen nun beide auf den Kanten des Bootes einander nahe gegenüber und essen das Mitgenommene als Mittagbrot.
reisenachtilsit_3_f000018|Geld, um in ein vornehmes Gasthaus zu gehen und sich auftafeln zu lassen vom Besten, hat Ansas wohl übergenug.|Geld, um in ein vornehmes Gasthaus zu gehen und sich auftafeln zu lassen vom Besten, hat Ansas wohl übergenug.
reisenachtilsit_3_f000019|Aber das ist nicht Fischergewohnheit.|Aber das ist nicht Fischergewohnheit.
reisenachtilsit_3_f000020|Sie denkt nun gar nicht mehr an das Schreckliche, aber das Herz liegt ihr von all dem Fürchten noch wie ein Stein in der Brust.|Sie denkt nun gar nicht mehr an das Schreckliche, aber das Herz liegt ihr von all dem Fürchten noch wie ein Stein in der Brust.
reisenachtilsit_3_f000021|Jetzt ist es der Ansas, der nicht viel essen kann, denn die Erwartung, ihr alles zu zeigen, läßt ihm keine Geduld.|Jetzt ist es der Ansas, der nicht viel essen kann, denn die Erwartung, ihr alles zu zeigen, läßt ihm keine Geduld.
reisenachtilsit_3_f000022|Er steht auf und sagt: Nun kann es losgehen.|Er steht auf und sagt: Nun kann es losgehen.
reisenachtilsit_3_f000023|Aber vorher kehrt er noch nach hinten zurück, das Hängeschloß zu holen, damit der Kahn nicht etwa inzwischen verschwindet.|Aber vorher kehrt er noch nach hinten zurück, das Hängeschloß zu holen, damit der Kahn nicht etwa inzwischen verschwindet.
reisenachtilsit_3_f000024|Dabei kommt er mit einem Fuß zufällig unter den runden Sack, der vor dem Steuersitz liegt.|Dabei kommt er mit einem Fuß zufällig unter den runden Sack, der vor dem Steuersitz liegt.
reisenachtilsit_3_f000025|Der fliegt wie von selber hoch, so leicht ist er, und sinkt dann wieder zurück.|Der fliegt wie von selber hoch, so leicht ist er, und sinkt dann wieder zurück.
reisenachtilsit_3_f000026|Sie sieht, wie er dabei erschrickt und zu ihr herüberglupt, ob siees auch nicht bemerkt hat.|Sie sieht, wie er dabei erschrickt und zu ihr herüberglupt, ob siees auch nicht bemerkt hat.
reisenachtilsit_3_f000027|Und der Stein in ihrer Brust wird schwerer.|Und der Stein in ihrer Brust wird schwerer.
reisenachtilsit_3_f000028|Aber wie sie das Ufer hinanschreiten und er ihr alles erklärt, denkt sie wieder: Es kann nicht sein, es muß eine andere Bewandtnis haben.|Aber wie sie das Ufer hinanschreiten und er ihr alles erklärt, denkt sie wieder: Es kann nicht sein, es muß eine andere Bewandtnis haben.
reisenachtilsit_3_f000029|Dann biegen sie in die Deutsche Straße ein, die breit ist wie ein Strom und an ihren Rändern lauter Schlösser stehen hat.|Dann biegen sie in die Deutsche Straße ein, die breit ist wie ein Strom und an ihren Rändern lauter Schlösser stehen hat.
reisenachtilsit_3_f000030|In den Schlössern kann man sich kaufen, was man will, und alles ist viel schöner und prächtiger als in Memel.|In den Schlössern kann man sich kaufen, was man will, und alles ist viel schöner und prächtiger als in Memel.
