das_letzte_marchen_004_f000001|Abschnitt 4 von das letzte Märchen vom Paul Keller.|Abschnitt vier von das letzte Marchen vom Paul Keller.
das_letzte_marchen_009_f000239|Nun war Ruhe – aber Ruhe ohne Frieden, jene Stille, die nur dazu dient, ungestört zu fragen und zu grübeln, jene brütende, angstvolle Stille vor Sturm und Tat.|Nun war Ruhe - aber Ruhe ohne Frieden, jene Stille, die nur dazu dient, ungestört zu fragen und zu grübeln, jene brütende, angstvolle Stille vor Sturm und Tat.
das_letzte_marchen_009_f000240|Das furchtbare Geheimnis des Königsmordes lag über dem Volk, auch über uns.|Das furchtbare Geheimnis des Königsmordes lag über dem Volk, auch über uns.
das_letzte_marchen_009_f000241|Eine Sühnehand mußte kommen, die Last von den Seelen zu nehmen, die das Gerechtigkeitsgefühl niederdrückte, eine Hand, die dem brennenden Rachedurst einen labenden Blutstrank reichte.|Eine Sühnehand mußte kommen, die Last von den Seelen zu nehmen, die das Gerechtigkeitsgefühl niederdrückte, eine Hand, die dem brennenden Rachedurst einen labenden Blutstrank reichte.
das_letzte_marchen_009_f000242|Daß wußten wir alle.|Daß wußten wir alle.
das_letzte_marchen_009_f000243|Auch drüben im Nachbarlande hatte der König gesprochen.|Auch drüben im Nachbarlande hatte der König gesprochen.
das_letzte_marchen_009_f000244|Auch er hatte die verleumderische Anklage der Posaune zu entkräften versucht.|Auch er hatte die verleumderische Anklage der Posaune zu entkräften versucht.
das_letzte_marchen_009_f000245|Aber er war ein schwacher Mann.|Aber er war ein schwacher Mann.
das_letzte_marchen_009_f000246|Es war ihm nicht gelungen, das gesunde Gefühl der Scham über die Lüge in seinem Volke wachzurufen.|Es war ihm nicht gelungen, das gesunde Gefühl der Scham über die Lüge in seinem Volke wachzurufen.
das_letzte_marchen_009_f000247|Mürrisch waren die Leute heimgegangen, ohne Reue.|Mürrisch waren die Leute heimgegangen, ohne Reue.
das_letzte_marchen_009_f000248|Und als bekannt wurde, was dem Erbprinzen geschehen, wie er des Königsmordes geziehen und nur durch den Mut einer einzigen vor einem schmachvollen Tode bewahrt geblieben sei, fuhr die Flamme wilder Kriegslust höher empor als zuvor.|Und als bekannt wurde, was dem Erbprinzen geschehen, wie er des Königsmordes geziehen und nur durch den Mut einer einzigen vor einem schmachvollen Tode bewahrt geblieben sei, fuhr die Flamme wilder Kriegslust höher empor als zuvor.
das_letzte_marchen_009_f000249|Wenig Nachrichten sind aus jener Zeit der Erregung aus dem Nachbarlande an mich gelangt, die eine aber doch, die mir in jenen schweren Tagen Trost und Freude gab.|Wenig Nachrichten sind aus jener Zeit der Erregung aus dem Nachbarlande an mich gelangt, die eine aber doch, die mir in jenen schweren Tagen Trost und Freude gab.
das_letzte_marchen_009_f000250|Als Friedensapostel trat Juvento auf in seiner Heimat.|Als Friedensapostel trat Juvento auf in seiner Heimat.
das_letzte_marchen_009_f000251|Wohl erklärte er sich frei und lediglich jeglicher Schuld, die Falschheit und Hinterlist ihm angedichtet habe; aber einer Schuld zieh er sich doch.|Wohl erklärte er sich frei und lediglich jeglicher Schuld, die Falschheit und Hinterlist ihm angedichtet habe; aber einer Schuld zieh er sich doch.
das_letzte_marchen_009_f000252|Aus Stolz habe er geschwiegen gegen alle Verdächtigung.|Aus Stolz habe er geschwiegen gegen alle Verdächtigung.
das_letzte_marchen_009_f000253|Nicht mit Worten wollte er sich verteidigen, vertrauen wollte er gewinnen durch sein Leben bei allen, am meisten bei Goldina, die er liebte und der er seine Unschuld nicht beweisen und erklären wollte, von der er verlangte, daß sie bedingungslos an ihn glaube.|Nicht mit Worten wollte er sich verteidigen, vertrauen wollte er gewinnen durch sein Leben bei allen, am meisten bei Goldina, die er liebte und der er seine Unschuld nicht beweisen und erklären wollte, von der er verlangte, daß sie bedingungslos an ihn glaube.
das_letzte_marchen_009_f000254|Nun sei Unheil erwachsen aus seinem stolzen Schweigen.|Nun sei Unheil erwachsen aus seinem stolzen Schweigen.
das_letzte_marchen_009_f000255|Jetzt aber Friede, Friede mit dem Brudervolk, mit dem Volke dieses heiligen, toten Königs!|Jetzt aber Friede, Friede mit dem Brudervolk, mit dem Volke dieses heiligen, toten Königs!
das_letzte_marchen_009_f000256|Und – sein Volk wandte sich ab von ihm, sein Vater – alle.|Und - sein Volk wandte sich ab von ihm, sein Vater - alle.
das_letzte_marchen_009_f000257|Er aber ging in einer Kutte durch die Straßen und auf die Plätze und ruhte nicht, zu reden Tag und Nacht, – er, dem bis dahin nur selten ein Wort über die Lippen kam.|Er aber ging in einer Kutte durch die Straßen und auf die Plätze und ruhte nicht, zu reden Tag und Nacht, - er, dem bis dahin nur selten ein Wort über die Lippen kam.
das_letzte_marchen_009_f000258|Ja, Trost und Freude brachte mir diese Kunde in jener schweren Zeit, aber mit Reue erkannte ich, daß auch ich dem Prinzen unrecht getan.|Ja, Trost und Freude brachte mir diese Kunde in jener schweren Zeit, aber mit Reue erkannte ich, daß auch ich dem Prinzen unrecht getan.
das_letzte_marchen_009_f000259|Deshalb hatte ich nie meine Liebe für ihn los werden können – deshalb!|Deshalb hatte ich nie meine Liebe für ihn los werden können - deshalb!
das_letzte_marchen_009_f000260|Und deshalb mußte ihm das Herz dieses edlen Königskindes gehören.|Und deshalb mußte ihm das Herz dieses edlen Königskindes gehören.
das_letzte_marchen_009_f000261|Er war nicht ohne Fehle, aber er war edel.|Er war nicht ohne Fehle, aber er war edel.
das_letzte_marchen_009_f000262|Qualvoll kam auch mir die grüblerische Frage nach dem Urheber all dieser Schändlichkeit.|Qualvoll kam auch mir die grüblerische Frage nach dem Urheber all dieser Schändlichkeit.
das_letzte_marchen_009_f000263|Mein Verdacht fiel auf Hamrigula, aber ich kämpfte die Regung nieder.|Mein Verdacht fiel auf Hamrigula, aber ich kämpfte die Regung nieder.
das_letzte_marchen_009_f000264|Nie ist ein Herz auf so gefahrvoller Bahn, schlecht zu werden, als wenn es sich falschem Verdacht hingibt.|Nie ist ein Herz auf so gefahrvoller Bahn, schlecht zu werden, als wenn es sich falschem Verdacht hingibt.
das_letzte_marchen_009_f000265|Und hatte nicht auch dieser Prinz furchtbares Unrecht erlitten?|Und hatte nicht auch dieser Prinz furchtbares Unrecht erlitten?
das_letzte_marchen_009_f000266|So fehlte mir gänzlich des Rätsels Lösung.|So fehlte mir gänzlich des Rätsels Lösung.
das_letzte_marchen_009_f000267|Tag und Nacht flutete das Volk auf den Straßen.|Tag und Nacht flutete das Volk auf den Straßen.
das_letzte_marchen_009_f000268|Seine Erregung war gedämpft, denn im Königsschlosse lag ein Toter.|Seine Erregung war gedämpft, denn im Königsschlosse lag ein Toter.
das_letzte_marchen_009_f000269|Nur wenn Prinz Hamrigula in seinem Wagen durch die Straßen fuhr, wurde ein kurzer Jubel laut.|Nur wenn Prinz Hamrigula in seinem Wagen durch die Straßen fuhr, wurde ein kurzer Jubel laut.
das_letzte_marchen_009_f000270|Hamrigula hatte ein Manifest erlassen, daß er die provisorische Regierung übernähme bis zu dem Tage, da der Wille des Volkes seinen König bestimme.|Hamrigula hatte ein Manifest erlassen, daß er die provisorische Regierung übernähme bis zu dem Tage, da der Wille des Volkes seinen König bestimme.
das_letzte_marchen_009_f000271|Kein Gegenerlaß wurde kund; er wäre auch nutzlos gewesen.|Kein Gegenerlaß wurde kund; er wäre auch nutzlos gewesen.
das_letzte_marchen_009_f000272|Mir war bedrückt zumute; ich fand keine Ruhe, wo ich auch ging und stand.|Mir war bedrückt zumute; ich fand keine Ruhe, wo ich auch ging und stand.
das_letzte_marchen_009_f000273|Am zweiten Tage ging ich nach dem Schloß.|Am zweiten Tage ging ich nach dem Schloß.
das_letzte_marchen_009_f000274|Goldina war für niemand zu sehen.|Goldina war für niemand zu sehen.
das_letzte_marchen_009_f000275|Sie hielt Totenwache bei ihrem Vater.|Sie hielt Totenwache bei ihrem Vater.
das_letzte_marchen_009_f000276|Aber meine Braut fand ich.|Aber meine Braut fand ich.
das_letzte_marchen_009_f000277|Die roten Wangen waren verblichen; von dem schwarzen Trauerkleide hob sich ihr Gesicht marmorweiß ab.|Die roten Wangen waren verblichen; von dem schwarzen Trauerkleide hob sich ihr Gesicht marmorweiß ab.
das_letzte_marchen_009_f000278|Wir hielten uns fest umschlungen, wir zwei Fremdlinge in diesem erregten Lande.|Wir hielten uns fest umschlungen, wir zwei Fremdlinge in diesem erregten Lande.
das_letzte_marchen_009_f000279|Und wir haben geweint miteinander um den toten Märchenkönig.|Und wir haben geweint miteinander um den toten Märchenkönig.
das_letzte_marchen_009_f000280|Es ahnte mir, daß schwere Tage für das Königsschloß kommen würden, wie gern hätte ich die Geliebte fortgeführt an einen sicheren Ort, am liebsten in das kleine, weiße Menschenhaus droben auf der grünen Aue.|Es ahnte mir, daß schwere Tage für das Königsschloß kommen würden, wie gern hätte ich die Geliebte fortgeführt an einen sicheren Ort, am liebsten in das kleine, weiße Menschenhaus droben auf der grünen Aue.
das_letzte_marchen_009_f000281|Aber sie konnte und wollte ihre Herrin nicht verlassen, und auch ich hätte in diesem Augenblick der Gefahr das bedrohte Land nicht verlassen mögen.|Aber sie konnte und wollte ihre Herrin nicht verlassen, und auch ich hätte in diesem Augenblick der Gefahr das bedrohte Land nicht verlassen mögen.
das_letzte_marchen_009_f000282|So sprachen wir uns beide Mut und Trost zu und gelobten uns, treu unserer Pflicht auszuharren.|So sprachen wir uns beide Mut und Trost zu und gelobten uns, treu unserer Pflicht auszuharren.
das_letzte_marchen_009_f000283|Ehe ich ging, sah sie mir dankbar in die Augen.|Ehe ich ging, sah sie mir dankbar in die Augen.
das_letzte_marchen_009_f000284|Wenn du nicht hier wärst, würde ich in diesem Lande vor Angst und Heimweh gestorben sein.|Wenn du nicht hier wärst, würde ich in diesem Lande vor Angst und Heimweh gestorben sein.
das_letzte_marchen_009_f000285|Mut, Mut, Geliebte, die Pflichterfüllung in schwerer Zeit ist das Herrlichste des Menschenloses.|Mut, Mut, Geliebte, die Pflichterfüllung in schwerer Zeit ist das Herrlichste des Menschenloses.
das_letzte_marchen_009_f000286|Der dritte Tag – der letzte Tag!|Der dritte Tag - der letzte Tag!
das_letzte_marchen_009_f000287|Nun mußte er begraben werden.|Nun mußte er begraben werden.
das_letzte_marchen_009_f000288|Die Glocken hatten im Lande geläutet Tag und Nacht.|Die Glocken hatten im Lande geläutet Tag und Nacht.
das_letzte_marchen_009_f000289|Draußen im Märchenwald sang der Wind ein düsteres Totenlied, die Zweige der Bäume beugten und drehten sich in einförmigem Trauerreigen, und die Blumenglocken schwangen ganz langsam hin und her, so daß ihr Läuten abgerissen, verloren und wimmernd klang.|Draußen im Märchenwald sang der Wind ein düsteres Totenlied, die Zweige der Bäume beugten und drehten sich in einförmigem Trauerreigen, und die Blumenglocken schwangen ganz langsam hin und her, so daß ihr Läuten abgerissen, verloren und wimmernd klang.
das_letzte_marchen_009_f000290|Unter den hohen Bäumen saßen um schwelende Pechkessel weinende Zwerge; in langen Prozessionen, schwarzverschleiert, schritten die Nymphen auf einsamen Wegen, und die kleinen Quellen summten in dunkeln Psalmentönen.|Unter den hohen Bäumen saßen um schwelende Pechkessel weinende Zwerge; in langen Prozessionen, schwarzverschleiert, schritten die Nymphen auf einsamen Wegen, und die kleinen Quellen summten in dunkeln Psalmentönen.
das_letzte_marchen_009_f000291|Eine graue Rauch- und Staubwolke lag über der Stadt.|Eine graue Rauch- und Staubwolke lag über der Stadt.
das_letzte_marchen_009_f000292|Da glitzerte kein Fenster, da blinkte keine Silbermauer.|Da glitzerte kein Fenster, da blinkte keine Silbermauer.
das_letzte_marchen_009_f000293|Die Leute schritten daher mit blassen Wangen und brennenden Augen, und auch mir war das Herz schwer von herbem Leib.|Die Leute schritten daher mit blassen Wangen und brennenden Augen, und auch mir war das Herz schwer von herbem Leib.
das_letzte_marchen_009_f000294|Der dritte Tag – der letzte Tag!|Der dritte Tag - der letzte Tag!
das_letzte_marchen_009_f000295|Von einem Tod zu einem Begräbnis, das sind die einzigen trüben Stunden, die zu rasch vergehen.|Von einem Tod zu einem Begräbnis, das sind die einzigen trüben Stunden, die zu rasch vergehen.
das_letzte_marchen_009_f000296|Vom Königspalast durch alle die größten Straßen und breitesten Plätze, in einem weiten Umweg führte die Totenstraße hinab zu der Brücke des Lebens und Todes.|Vom Königspalast durch alle die größten Straßen und breitesten Plätze, in einem weiten Umweg führte die Totenstraße hinab zu der Brücke des Lebens und Todes.
das_letzte_marchen_009_f000297|Ein blühender, grüner Weg!|Ein blühender, grüner Weg!
das_letzte_marchen_009_f000298|Alle Bäume und Kräuter, alle Blumen und Gräser hatten die würdigsten unter sich ausgewählt, mit dem König zu sterben.|Alle Bäume und Kräuter, alle Blumen und Gräser hatten die würdigsten unter sich ausgewählt, mit dem König zu sterben.
das_letzte_marchen_009_f000299|Nun lagen auf der Straße Eichenzweige und Palmenwedel, rote Rosen und zarte Anemonen, Getreideähren und blühende Heide, der blaue Enzian von der Bergfirne und die Kuckucksblume von der Talwiese.|Nun lagen auf der Straße Eichenzweige und Palmenwedel, rote Rosen und zarte Anemonen, Getreideähren und blühende Heide, der blaue Enzian von der Bergfirne und die Kuckucksblume von der Talwiese.
das_letzte_marchen_009_f000300|Von der neunten Morgenstunde an hatte sich das Volk auf den Straßen aufgestellt.|Von der neunten Morgenstunde an hatte sich das Volk auf den Straßen aufgestellt.
das_letzte_marchen_009_f000301|Ein breites Spalier, viel zu interessant, als daß ich es in der langen Zeit des Wartens nicht aufmerksam betrachtet hätte.|Ein breites Spalier, viel zu interessant, als daß ich es in der langen Zeit des Wartens nicht aufmerksam betrachtet hätte.
das_letzte_marchen_009_f000302|Ganz vorn die kleinen Geisterlein, die im Wald und auf der Wiese hausen:|Ganz vorn die kleinen Geisterlein, die im Wald und auf der Wiese hausen:
das_letzte_marchen_009_f000303|Ameisenbauern, Blattlausjäger, Moosgärtner, Tausammler, Sandmüller, Heupferdschmiede, Spinnseiler, Bienenlotsen und solch nützliche Leute mehr, aber auch fahrendes Künstlervolk, wie Rispenturner, Mondscheintänzerinnen, Mückenkunstreiter, Grashalmpfeifer, Teufelsbarthexen, Glühwurmfresser und Kieselsteinathleten.|Ameisenbauern, Blattlausjäger, Moosgärtner, Tausammler, Sandmüller, Heupferdschmiede, Spinnseiler, Bienenlotsen und solch nützliche Leute mehr, aber auch fahrendes Künstlervolk, wie Rispenturner, Mondscheintänzerinnen, Mückenkunstreiter, Grashalmpfeifer, Teufelsbarthexen, Glühwurmfresser und Kieselsteinathleten.
das_letzte_marchen_009_f000304|Alle diese Leutchen stehen still und betreten da, alle, auch das leichte Völklein der Künstler.|Alle diese Leutchen stehen still und betreten da, alle, auch das leichte Völklein der Künstler.
das_letzte_marchen_009_f000305|In der zweiten Reihe Blumen- und Wassergeister, die einen Kopf größer sind als die Vorderleute.|In der zweiten Reihe Blumen- und Wassergeister, die einen Kopf größer sind als die Vorderleute.
das_letzte_marchen_009_f000306|Unter den Blumengeistern viele schmale, vornehme Gesichtchen, die heißen, durstigen Augen niedergeschlagen, den Scheitel mit den duftigen Haaren gesenkt.|Unter den Blumengeistern viele schmale, vornehme Gesichtchen, die heißen, durstigen Augen niedergeschlagen, den Scheitel mit den duftigen Haaren gesenkt.
das_letzte_marchen_009_f000307|Die Wassergeister in dunkelblauen Kleidern sind viel robuster; die Trauer hält nur mühsam Platz auf ihren trinkfröhlichen, dicken Gesichtern; ihre Wangen sind zu glatt, und so müssen sie ein wenig grinsen, um in den Runzeln die Trauer besser festhalten zu können.|Die Wassergeister in dunkelblauen Kleidern sind viel robuster; die Trauer hält nur mühsam Platz auf ihren trinkfröhlichen, dicken Gesichtern; ihre Wangen sind zu glatt, und so müssen sie ein wenig grinsen, um in den Runzeln die Trauer besser festhalten zu können.
das_letzte_marchen_009_f000308|Dann in der dritten Reihe die Kinder des Volkes.|Dann in der dritten Reihe die Kinder des Volkes.
das_letzte_marchen_009_f000309|Die Mädchen tuscheln und begucken ihre Kleider, die Knaben schauen meist sehr forsch geradeaus, aber manchmal greift einer in die Tasche und zeigt dem Nachbar einen geheimen Schatz.|Die Mädchen tuscheln und begucken ihre Kleider, die Knaben schauen meist sehr forsch geradeaus, aber manchmal greift einer in die Tasche und zeigt dem Nachbar einen geheimen Schatz.
das_letzte_marchen_009_f000310|Manche von den ganz Kleinen, die oft kaum hundert Jahre alt sein mögen, fangen an zu weinen und werden von den älteren Geschwistern geräuschvoll beschwichtigt.|Manche von den ganz Kleinen, die oft kaum hundert Jahre alt sein mögen, fangen an zu weinen und werden von den älteren Geschwistern geräuschvoll beschwichtigt.
das_letzte_marchen_009_f000311|In der vierten Reihe die höhere Jugend, junge Studierende beiderlei Geschlechts.|In der vierten Reihe die höhere Jugend, junge Studierende beiderlei Geschlechts.
das_letzte_marchen_009_f000312|Die Mädchen in Trauerkleidern, die von den seltsam strengen, weißen Gesichtern grell abstechen, die jungen Männer in strammer Haltung, wohlbedacht auf die schwarze Binde am linken Arm und einige mit schwarzumränderten Augengläsern.|Die Mädchen in Trauerkleidern, die von den seltsam strengen, weißen Gesichtern grell abstechen, die jungen Männer in strammer Haltung, wohlbedacht auf die schwarze Binde am linken Arm und einige mit schwarzumränderten Augengläsern.
das_letzte_marchen_009_f000313|Dann in mehreren Reihen das Volk.|Dann in mehreren Reihen das Volk.
das_letzte_marchen_009_f000314|Alles bunt durcheinander, denn es gibt für die Reichen keine Extraplätze.|Alles bunt durcheinander, denn es gibt für die Reichen keine Extraplätze.
das_letzte_marchen_009_f000315|Sie müssen alle am Wege stehen, wenn der König vorbeizieht.|Sie müssen alle am Wege stehen, wenn der König vorbeizieht.
das_letzte_marchen_009_f000316|Nur einige werden in die hinterste Reihe gewiesen: die Waldschrate, die keine Kleiderbürste besitzen, und die Feuermänner, die einem unterjochten Helotenvolke angehören.|Nur einige werden in die hinterste Reihe gewiesen: die Waldschrate, die keine Kleiderbürste besitzen, und die Feuermänner, die einem unterjochten Helotenvolke angehören.
das_letzte_marchen_009_f000317|Den Beschluß machen die Tiere.|Den Beschluß machen die Tiere.
das_letzte_marchen_009_f000318|Die kleinen sitzen auf den großen; der Hase auf dem Hunde, das Lamm auf dem Wolfe, der Sperling auf dem Ohre des Bären, das Marienkäferchen auf dem Schnabel des Sperlings.|Die kleinen sitzen auf den großen; der Hase auf dem Hunde, das Lamm auf dem Wolfe, der Sperling auf dem Ohre des Bären, das Marienkäferchen auf dem Schnabel des Sperlings.
das_letzte_marchen_009_f000319|Es ist großer Königsfriede, da hat keines etwas zu fürchten.|Es ist großer Königsfriede, da hat keines etwas zu fürchten.
das_letzte_marchen_009_f000320|So sieht der Spalierweg aus, durch den der Märchenkönig zur Ruhe zieht.|So sieht der Spalierweg aus, durch den der Märchenkönig zur Ruhe zieht.
das_letzte_marchen_009_f000321|Ich habe meinen Platz an der Brücke des Lebens und des Todes und kann alles deutlich übersehen.|Ich habe meinen Platz an der Brücke des Lebens und des Todes und kann alles deutlich übersehen.
das_letzte_marchen_009_f000322|Gegen Mittag wird auf dem Turme des Palastes die große Königsglocke geläutet.|Gegen Mittag wird auf dem Turme des Palastes die große Königsglocke geläutet.
das_letzte_marchen_009_f000323|Das ist das Zeichen, daß der Trauerzug aufgebrochen ist.|Das ist das Zeichen, daß der Trauerzug aufgebrochen ist.
das_letzte_marchen_009_f000324|Durch all die Großen und Kleinen geht eine schwere Erregung.|Durch all die Großen und Kleinen geht eine schwere Erregung.
das_letzte_marchen_009_f000325|Der König kommt!|Der König kommt!
das_letzte_marchen_009_f000326|Eine Menge wehender Fahnen wird von Kriegsleuten getragen; sie eröffnen den Zug.|Eine Menge wehender Fahnen wird von Kriegsleuten getragen; sie eröffnen den Zug.
das_letzte_marchen_009_f000327|Die Soldaten ziehen den Fluß des Lebens hinaus und nehmen an seinen grünen Ufern hüben und drüben Aufstellung.|Die Soldaten ziehen den Fluß des Lebens hinaus und nehmen an seinen grünen Ufern hüben und drüben Aufstellung.
das_letzte_marchen_009_f000328|Dann kommen die Kinder.|Dann kommen die Kinder.
das_letzte_marchen_009_f000329|Sie streuen aus kleinen Körben Diamantsteinchen und Perlen auf die Zweige und Blumen, die am Wege liegen.|Sie streuen aus kleinen Körben Diamantsteinchen und Perlen auf die Zweige und Blumen, die am Wege liegen.
das_letzte_marchen_009_f000330|Und sie haben die Augen voll Tränen.|Und sie haben die Augen voll Tränen.
das_letzte_marchen_009_f000331|Weinen, weil sie sehen, daß alle weinen, alle, die am Wege stehen und alle, die in langem Zuge hinter ihnen kommen: die Handwerksleute und Künstler, die Priester und die Bauern.|Weinen, weil sie sehen, daß alle weinen, alle, die am Wege stehen und alle, die in langem Zuge hinter ihnen kommen: die Handwerksleute und Künstler, die Priester und die Bauern.
das_letzte_marchen_009_f000332|Ein Nachtigallenchor fliegt in der Luft.|Ein Nachtigallenchor fliegt in der Luft.
das_letzte_marchen_009_f000333|Sein süßes Lied ist eine ergreifende Klage um den toten König.|Sein süßes Lied ist eine ergreifende Klage um den toten König.
das_letzte_marchen_009_f000334|Die Adler schweben hoch im Kreise, und die ganze Luft ist voll gefiederten Volkes, das zur Trauerfeier kam.|Die Adler schweben hoch im Kreise, und die ganze Luft ist voll gefiederten Volkes, das zur Trauerfeier kam.
das_letzte_marchen_009_f000335|In kurzen Abständen hallen dumpfe Donnerschläge.|In kurzen Abständen hallen dumpfe Donnerschläge.
das_letzte_marchen_009_f000336|Da geht ein Zittern durch die Erde, und ich glaube, diese schweren Trauersalven sind laut genug, daß auch die Menschen droben sie hören werden.|Da geht ein Zittern durch die Erde, und ich glaube, diese schweren Trauersalven sind laut genug, daß auch die Menschen droben sie hören werden.
das_letzte_marchen_009_f000337|Sie werden bleich sein bei dem unheimlichen Grollen, aber nicht wissen, daß der Märchenkönig gestorben ist.|Sie werden bleich sein bei dem unheimlichen Grollen, aber nicht wissen, daß der Märchenkönig gestorben ist.
das_letzte_marchen_009_f000338|Vorbei zieht der endlose Trauerzug, aber eine schwere Erregung hat mich gefaßt, ich bin nicht mehr imstande, die einzelnen zu betrachten.|Vorbei zieht der endlose Trauerzug, aber eine schwere Erregung hat mich gefaßt, ich bin nicht mehr imstande, die einzelnen zu betrachten.
das_letzte_marchen_009_f000339|Kaum, daß es mir auffällt, daß ein Dichter auf weißem Hirsch vorbeireitet und auf seiner kurzen Harfe die Elegie begleitet, die er singt, und daß wilde, schwarzhaarige Waldmädchen zu der Elegie einen Totenreigen tanzen.|Kaum, daß es mir auffällt, daß ein Dichter auf weißem Hirsch vorbeireitet und auf seiner kurzen Harfe die Elegie begleitet, die er singt, und daß wilde, schwarzhaarige Waldmädchen zu der Elegie einen Totenreigen tanzen.
das_letzte_marchen_009_f000340|Posaunenchöre gehen vorüber, die ihre schweren, langsamen Weisen schmettern.|Posaunenchöre gehen vorüber, die ihre schweren, langsamen Weisen schmettern.
das_letzte_marchen_009_f000341|Große Trauerwagen kommen, auf denen stehen lebende Bilder, die Haupttugenden und Haupttaten des Königs darstellend.|Große Trauerwagen kommen, auf denen stehen lebende Bilder, die Haupttugenden und Haupttaten des Königs darstellend.
das_letzte_marchen_009_f000342|Ich achte auf das alles kaum, ich warte auf ihn.|Ich achte auf das alles kaum, ich warte auf ihn.
das_letzte_marchen_009_f000343|Nun kommt er!|Nun kommt er!
das_letzte_marchen_009_f000344|Weißhaarige, würdige Männer des Landes tragen einen Schild von riesiger Ausdehnung, darauf sitzt auf goldenem Thronsessel der tote Märchenkönig.|Weißhaarige, würdige Männer des Landes tragen einen Schild von riesiger Ausdehnung, darauf sitzt auf goldenem Thronsessel der tote Märchenkönig.
das_letzte_marchen_009_f000345|Er sitzt aufrecht, als ob er lebe.|Er sitzt aufrecht, als ob er lebe.
das_letzte_marchen_009_f000346|Seine Augen stehen offen.|Seine Augen stehen offen.
das_letzte_marchen_009_f000347|O, diese Augen, die so lange für alle gewacht haben und die auch jetzt noch jeden anschauen!|O, diese Augen, die so lange für alle gewacht haben und die auch jetzt noch jeden anschauen!
das_letzte_marchen_009_f000348|O, diese geliebten weißen Haare, die so ehrwürdig leuchten auf diesem Königshaupte, ein heiliger Firnenschnee auf dem höchsten Gipfel des Volkes!|O, diese geliebten weißen Haare, die so ehrwürdig leuchten auf diesem Königshaupte, ein heiliger Firnenschnee auf dem höchsten Gipfel des Volkes!
das_letzte_marchen_009_f000349|Seid gesegnet, ihr meine Brüder, ihr meine Kinder!|Seid gesegnet, ihr meine Brüder, ihr meine Kinder!
das_letzte_marchen_009_f000350|Seid gesegnet!|Seid gesegnet!
das_letzte_marchen_009_f000351|Da knien alle Leute laut weinend nieder, strecken noch einmal die Hände nach ihm aus, schauen noch einmal in das milde Gesicht.|Da knien alle Leute laut weinend nieder, strecken noch einmal die Hände nach ihm aus, schauen noch einmal in das milde Gesicht.
das_letzte_marchen_009_f000352|Auch ich bin auf die Knie gefallen, und auch mir, dem Fremdling, rinnen die Tränen heiß und schwer.|Auch ich bin auf die Knie gefallen, und auch mir, dem Fremdling, rinnen die Tränen heiß und schwer.
das_letzte_marchen_009_f000353|Hinter dem Toten, ganz allein, geht Goldina, barfuß, mit bloßem Haupt, in schwarzem Kleid.|Hinter dem Toten, ganz allein, geht Goldina, barfuß, mit bloßem Haupt, in schwarzem Kleid.
das_letzte_marchen_009_f000354|Süßes, liebes Märchenkind, du Schöne und Reine, wie ich dich liebe in deinem Schmerz!|Süßes, liebes Märchenkind, du Schöne und Reine, wie ich dich liebe in deinem Schmerz!
das_letzte_marchen_009_f000355|Auf der Brücke setzen die Männer den Schild zur Erde.|Auf der Brücke setzen die Männer den Schild zur Erde.
das_letzte_marchen_009_f000356|Zu Ende ist des Königs letzter Gang durch sein Volk und seine Stadt.|Zu Ende ist des Königs letzter Gang durch sein Volk und seine Stadt.
das_letzte_marchen_009_f000357|Grün und silbern leuchtet der Fluß des Lebens, wie immer.|Grün und silbern leuchtet der Fluß des Lebens, wie immer.
das_letzte_marchen_009_f000358|Seine Strudel glitzern, seine Katarakte rauschen, die blühenden Zweige hängen in seine Fluten hinein, und auf seinen Wellen schwimmen die Wasserrosen.|Seine Strudel glitzern, seine Katarakte rauschen, die blühenden Zweige hängen in seine Fluten hinein, und auf seinen Wellen schwimmen die Wasserrosen.
das_letzte_marchen_009_f000359|Vier Priester treten ans Geländer der Brücke und starren den Fluß hinauf.|Vier Priester treten ans Geländer der Brücke und starren den Fluß hinauf.
das_letzte_marchen_009_f000360|Die Glocke schweigt, kein Laut rührt sich mehr.|Die Glocke schweigt, kein Laut rührt sich mehr.
das_letzte_marchen_009_f000361|Nur die vier Priester singen ein düsteres Lied.|Nur die vier Priester singen ein düsteres Lied.
das_letzte_marchen_009_f000362|Auch der tote König sitzt, das Gesicht stromaufwärtgerichtet, als ob er warte.|Auch der tote König sitzt, das Gesicht stromaufwärtgerichtet, als ob er warte.
das_letzte_marchen_009_f000363|Da wird in der Ferne auf dem Fluß eine schwarze Gondel sichtbar.|Da wird in der Ferne auf dem Fluß eine schwarze Gondel sichtbar.
das_letzte_marchen_009_f000364|Das Glockengeläute setzt wieder ein, das Volk fängt laut an zu weinen, und Goldina sinkt auf die Knie nieder und bedeckt erschauernd das Gesicht mit beiden Händen.|Das Glockengeläute setzt wieder ein, das Volk fängt laut an zu weinen, und Goldina sinkt auf die Knie nieder und bedeckt erschauernd das Gesicht mit beiden Händen.
das_letzte_marchen_009_f000365|Langsam kommt die Gondel den Fluß herabgezogen.|Langsam kommt die Gondel den Fluß herabgezogen.
das_letzte_marchen_009_f000366|Kein Steuermann lenkt sie, sie kommt von selbst.|Kein Steuermann lenkt sie, sie kommt von selbst.
