jizn_gnora_s000001|казалось, отбивает такт некоего мысленного расчета, какой она производит.|казалось, отбивает такт некоего мысленного расчета, какой она производит.
jizn_gnora_s000493|Хорошо, - сказал Гнор, - человек этот, конечно, Робинзон или внук его. Я готов засвидетельствовать ему свое почтение. Он угостит нас козьим молоком и обществом попугая.|Хорошо, - сказал Гнор, - человек этот, конечно, Робинзон или внук его. Я готов засвидетельствовать ему свое почтение. Он угостит нас козьим молоком и обществом попугая.
jizn_gnora_s000494|Мард погладил больную руку.|Мард погладил больную руку.
jizn_gnora_s000495|Вид черной матросской ленты повергал меня в трепет, в восторженную зависть к этим существам тропических стран тропические страны для меня начинались тогда от зоологического магазина на Дерибасовской,|Вид черной матросской ленты повергал меня в трепет, в восторженную зависть к этим существам тропических стран тропические страны для меня начинались тогда от зоологического магазина на Дерибасовской,
jizn_gnora_s000496|Хорошо, но вы проиграли.|Хорошо, но вы проиграли.
jizn_gnora_s000497|Липкий мрак наполнял переулки; стучали одинокие ручные тележки; фантастические контуры храмов теплились редкими огоньками. Мостовая, усеянная шелухой фруктов,|Липкий мрак наполнял переулки; стучали одинокие ручные тележки; фантастические контуры храмов теплились редкими огоньками. Мостовая, усеянная шелухой фруктов,
jizn_gnora_s000498|Энниок остановился и усмехнулся: дерзкая мысль пришла ему в голову. Решив умереть шумно, он быстро отыскал глазами наиболее почтенного, увешанного погремушками старика.|Энниок остановился и усмехнулся: дерзкая мысль пришла ему в голову. Решив умереть шумно, он быстро отыскал глазами наиболее почтенного, увешанного погремушками старика.
jizn_gnora_s000499|Геннисон отступил с чувством падения и восторга. — А! — сказал он, имея, наконец, мужество стать только художником. — Да, это искусство. Ведь это все равно, что поймать луч.|Геннисон отступил с чувством падения и восторга.- А!- сказал он, имея, наконец, мужество стать только художником.- Да, это искусство. Ведь это все равно, что поймать луч.
jizn_gnora_s000500|Коломб внимательно пробежал еще раз газетную заметку о странной казни и взял фельетониста за пуговицу жилета.|Коломб внимательно пробежал еще раз газетную заметку о странной казни и взял фельетониста за пуговицу жилета.
jizn_gnora_s000501|Я никому не скажу, вы тоже не скажете ни одной душе, таким образом это дело пройдет безвредно. И. вот она, — покажите-ка ей место в кассе Грилль-Рума.|Я никому не скажу, вы тоже не скажете ни одной душе, таким образом это дело пройдет безвредно. И. вот она,- покажите-ка ей место в кассе Грилль-Рума.
jizn_gnora_s000502|и делал так до тех пор, пока из тысяч представлений не начинало, как бы эхом физического воздействия, властно завладевать его сознанием и уверенностью одно,|и делал так до тех пор, пока из тысяч представлений не начинало, как бы эхом физического воздействия, властно завладевать его сознанием и уверенностью одно,
jizn_gnora_s000503|Толпа зашевелилась; из нее выступил пожилой матрос.|Толпа зашевелилась; из нее выступил пожилой матрос.
jizn_gnora_s000504|Когда я первый раз в жизни посетил обсерваторию, - сказал Гнор,|Когда я первый раз в жизни посетил обсерваторию, - сказал Гнор,
jizn_gnora_s000505|Палач ударил, - сказал Консейль.|Палач ударил, - сказал Консейль.
jizn_gnora_s000506|Плясунчики, голые обезьяны! Плюньте на своих деревяшек! Вы очень забавны, но надоели!|Плясунчики, голые обезьяны! Плюньте на своих деревяшек! Вы очень забавны, но надоели!
jizn_gnora_s000507|Неосторожное движение Гимнаста выдало его. Он случайно толкнул коленом крышку, она упала прежде, чем он успел придержать ее, и в общем смятении глазам врагов предстал воин средневековья, с занесенным мечом.|Неосторожное движение Гимнаста выдало его. Он случайно толкнул коленом крышку, она упала прежде, чем он успел придержать ее, и в общем смятении глазам врагов предстал воин средневековья, с занесенным мечом.
jizn_gnora_s000508|Не спрашивай; потом, когда схлынет это безумие - безумие твоих колен, твоего тела, тебя, твоих глаз и слов, первых слов за восемь лет, - я расскажу тебе сказку - и ты поплачешь.|Не спрашивай; потом, когда схлынет это безумие - безумие твоих колен, твоего тела, тебя, твоих глаз и слов, первых слов за восемь лет, - я расскажу тебе сказку - и ты поплачешь.
jizn_gnora_s000509|Это приснилось, - подумал молодой человек и лег снова, пытаясь заснуть.|Это приснилось, - подумал молодой человек и лег снова, пытаясь заснуть.
jizn_gnora_s000510|несомненно, владел ужасом, зная, в чем он.|несомненно, владел ужасом, зная, в чем он.
jizn_gnora_s000511|поверх всего опрокинул, сломав, несколько витрин с монетами, которые раскатились по полу совершенно так, как раскатывались, если их просыпали при Гамилькаре Барке.|поверх всего опрокинул, сломав, несколько витрин с монетами, которые раскатились по полу совершенно так, как раскатывались, если их просыпали при Гамилькаре Барке.
jizn_gnora_s000512|Она улыбнулась и, улыбаясь, скрылась в боковой двери.|Она улыбнулась и, улыбаясь, скрылась в боковой двери.
jizn_gnora_s000513|отдохнул от унижений и нищеты и задумал новые работы, после которых придут слава и обеспеченность.|отдохнул от унижений и нищеты и задумал новые работы, после которых придут слава и обеспеченность.
jizn_gnora_s000514|Как живет. Как дышит и размышляет.|Как живет. Как дышит и размышляет.
jizn_gnora_s000515|Раненый помолчал. Видимо, он боролся с желанием простить и с каким-то ядовитым воспоминанием. Он вздохнул, поморщился, взглянул доктору в глаза и нехотя, сдавленно произнес:|Раненый помолчал. Видимо, он боролся с желанием простить и с каким-то ядовитым воспоминанием. Он вздохнул, поморщился, взглянул доктору в глаза и нехотя, сдавленно произнес:
jizn_gnora_s000516|Дайте вино, сигары и карты.|Дайте вино, сигары и карты.
jizn_gnora_s000517|Не знаю. - Голос Энниока делался все более певучим и приятным. - Я не завишу от пароходных компаний; ведь у меня, как вы знаете, есть своя яхта.|Не знаю. - Голос Энниока делался все более певучим и приятным. - Я не завишу от пароходных компаний; ведь у меня, как вы знаете, есть своя яхта.
jizn_gnora_s000518|Да, случайность. - Энниок погасил электричество. - Пойдемте завтракать, милый, и поговорим о предстоящем нам плавании.|Да, случайность. - Энниок погасил электричество. - Пойдемте завтракать, милый, и поговорим о предстоящем нам плавании.
jizn_gnora_s000519|В глубине большого высокого дома неизвестный музыкант играл на рояле вторую половину арии, хорошо известной прохожему. Прохожий остановился, как останавливаются,|В глубине большого высокого дома неизвестный музыкант играл на рояле вторую половину арии, хорошо известной прохожему. Прохожий остановился, как останавливаются,
jizn_gnora_s000520|Неделя, две недели - какая разница? - равнодушно возразил Энниок. Мы посетим глухие углы земли и напомним самим себе любопытных рыб, попавших в золотые сети чудес.|Неделя, две недели - какая разница? - равнодушно возразил Энниок. Мы посетим глухие углы земли и напомним самим себе любопытных рыб, попавших в золотые сети чудес.
jizn_gnora_s000521|Против воли Геннисона беспокоила мысль, в которой он не мог признаться даже себе. Он взглянул на часы — было почти семь — и встал.|Против воли Геннисона беспокоила мысль, в которой он не мог признаться даже себе. Он взглянул на часы - было почти семь - и встал.
jizn_gnora_s000522|Над прошлым, настоящим и будущим имеет власть человек.|Над прошлым, настоящим и будущим имеет власть человек.
jizn_gnora_s000523|Не договорив, она кивнула Гнору, продолжая смотреть на него тем взглядом, каким умеет смотреть лишь женщина в расцвете первой любви, отошла к двери,|Не договорив, она кивнула Гнору, продолжая смотреть на него тем взглядом, каким умеет смотреть лишь женщина в расцвете первой любви, отошла к двери,
jizn_gnora_s000524|Ваше счастье, - сказал Гнор с некоторой досадой, - я проиграл.|Ваше счастье, - сказал Гнор с некоторой досадой, - я проиграл.
jizn_gnora_s000525|Черви и бубны светятся в ваших глазах, - сказал Энниок, - пики - в моих. - Он успокоился, первая карта была страшнее, но чувствовал где-то внутри,|Черви и бубны светятся в ваших глазах, - сказал Энниок, - пики - в моих. - Он успокоился, первая карта была страшнее, но чувствовал где-то внутри,
jizn_gnora_s000526|Прохожие остановились; некоторые из них, с видом лунатика, медленно пошли за бегущим, вопросительно смотря друг на друга, затем, вдруг сорвавшись,|Прохожие остановились; некоторые из них, с видом лунатика, медленно пошли за бегущим, вопросительно смотря друг на друга, затем, вдруг сорвавшись,
jizn_gnora_s000527|где буря снесла прозрачные крыши, стерла границы усилий природы и человека, развертывая пораженному зрению творчество первобытных форм, столь родственное нашим земным понятиям о чудесном и странном.|где буря снесла прозрачные крыши, стерла границы усилий природы и человека, развертывая пораженному зрению творчество первобытных форм, столь родственное нашим земным понятиям о чудесном и странном.
jizn_gnora_s000528|при огромном стечении народа, днем, отрубить человеческую голову, была змеиная сила очарования.|при огромном стечении народа, днем, отрубить человеческую голову, была змеиная сила очарования.
jizn_gnora_s000529|Когда?|Когда?
jizn_gnora_s000530|Океан кашлял, - сказал он, - и выплюнул нас. Куда? Где мы? И что такое теперь мы?|Океан кашлял, - сказал он, - и выплюнул нас. Куда? Где мы? И что такое теперь мы?
jizn_gnora_s000531|2.|два.
jizn_gnora_s000532|Тогда этот человек взял меня за руку и поцеловал, а потом Кента. У меня было, признаться, погано на душе, так как я ударил его два раза, когда настиг.|Тогда этот человек взял меня за руку и поцеловал, а потом Кента. У меня было, признаться, погано на душе, так как я ударил его два раза, когда настиг.
jizn_gnora_s000533|небольшой ореховый биллиард выглядел хмуро, как ученическая меловая доска в пустом классе.|небольшой ореховый биллиард выглядел хмуро, как ученическая меловая доска в пустом классе.
jizn_gnora_s000534|но, падая, умрет через пять секунд.|но, падая, умрет через пять секунд.
jizn_gnora_s000535|Казалось мне, что уже один вид корабля кладет начало какому-то бесконечному приключению, серии романов и потрясающих событий, овеянных шумом волн.|Казалось мне, что уже один вид корабля кладет начало какому-то бесконечному приключению, серии романов и потрясающих событий, овеянных шумом волн.
jizn_gnora_s000536|Между тем это был всего-навсего главный бухгалтер Одесской Мануфактуры Пташникова, человек безобидный и добрый. Узнав, что я еду с одним рублем,|Между тем это был всего-навсего главный бухгалтер Одесской Мануфактуры Пташникова, человек безобидный и добрый. Узнав, что я еду с одним рублем,
jizn_gnora_s000537|Я ведь все знаю. Одним словом, Стерс еще сказал, что моя Женщина — удачнейший символ науки, ведущей младенца — Человечество — к горной вершине Знания.|Я ведь все знаю. Одним словом, Стерс еще сказал, что моя Женщина - удачнейший символ науки, ведущей младенца - Человечество - к горной вершине Знания.
jizn_gnora_s000538|Кармен, видишь ли ты меня? Я протягиваю тебе руки, коснись их своими, мне страшно.|Кармен, видишь ли ты меня? Я протягиваю тебе руки, коснись их своими, мне страшно.
jizn_gnora_s000539|Хотят, - проговорил Мард, - чтобы я срезался на пассажире. Вздор!|Хотят, - проговорил Мард, - чтобы я срезался на пассажире. Вздор!
jizn_gnora_s000540|я не помню его названия; он невелик, зеленый, с коричневыми тычинками.|я не помню его названия; он невелик, зеленый, с коричневыми тычинками.
jizn_gnora_s000541|Я - Гнор, - сказал неизвестный. - Меня привезли матросы. Я жил здесь.|Я - Гнор, - сказал неизвестный. - Меня привезли матросы. Я жил здесь.
jizn_gnora_s000542|В дверь постучали: сначала тихо, потом громче.|В дверь постучали: сначала тихо, потом громче.
jizn_gnora_s000543|Было лето, стояла удушливая жара, но, в пыли и зное, обливаясь потом, выхаживал я каждый день молы, останавливаясь перед вновь прибывшими пароходами и,|Было лето, стояла удушливая жара, но, в пыли и зное, обливаясь потом, выхаживал я каждый день молы, останавливаясь перед вновь прибывшими пароходами и,
jizn_gnora_s000544|Отчего вы проснулись? - спросил Энниок зевая. - Я выпил бы кофе, но буфетчик еще спит, также и горничные. Вы, может быть, видели страшный сон?|Отчего вы проснулись? - спросил Энниок зевая. - Я выпил бы кофе, но буфетчик еще спит, также и горничные. Вы, может быть, видели страшный сон?
jizn_gnora_s000545|И если вы захотите, - прибавил он, - для вас найдется хорошенькая поместительная каюта.|И если вы захотите, - прибавил он, - для вас найдется хорошенькая поместительная каюта.
jizn_gnora_s000546|какая известна детям, долго игравшим на воздухе, - до огней в доме и сумеречных звезд неба. И мысль вернулась к нему.|какая известна детям, долго игравшим на воздухе, - до огней в доме и сумеречных звезд неба. И мысль вернулась к нему.
jizn_gnora_s000547|где на возвышениях, покрытых зеленым сукном, виднелись неподвижные существа из воска и глины, полные той странной, преображенной жизненности, какая отличает скульптуру.|где на возвышениях, покрытых зеленым сукном, виднелись неподвижные существа из воска и глины, полные той странной, преображенной жизненности, какая отличает скульптуру.
jizn_gnora_s000548|сопротивлению, ударам и натиску.|сопротивлению, ударам и натиску.
jizn_gnora_s000549|Поймите, - произнес он особенным, заставившим многих вздрогнуть усилием голоса, - восемь лет. Я один. Солнце, песок, лес. Безмолвие. Раз вечером поднялся туман.|Поймите, - произнес он особенным, заставившим многих вздрогнуть усилием голоса, - восемь лет. Я один. Солнце, песок, лес. Безмолвие. Раз вечером поднялся туман.
jizn_gnora_s000550|Гнор хотел отвечать шуткой, но стиснутые зубы Энниока мгновенно изменили спокойное настроение юноши, он молча пожал плечами.|Гнор хотел отвечать шуткой, но стиснутые зубы Энниока мгновенно изменили спокойное настроение юноши, он молча пожал плечами.
jizn_gnora_s000551|Мард посмотрел на матросов. Многие улыбались напряженной, неловкой улыбкой людей, охваченных жгучим любопытством. Боцман стоял по левую руку Марда.|Мард посмотрел на матросов. Многие улыбались напряженной, неловкой улыбкой людей, охваченных жгучим любопытством. Боцман стоял по левую руку Марда.
jizn_gnora_s000552|днем, кто хотел, работал носильщиком в складах пристани, а ночью нес очередную вахту около пакгаузов Общества.|днем, кто хотел, работал носильщиком в складах пристани, а ночью нес очередную вахту около пакгаузов Общества.
jizn_gnora_s000553|Не знаю.|Не знаю.
jizn_gnora_s000554|Энниок! - сказал Гнор твердым и ясным голосом - последнее усилие отравленной воли. - Это писали вы?|Энниок! - сказал Гнор твердым и ясным голосом - последнее усилие отравленной воли. - Это писали вы?
jizn_gnora_s000555|Он стал тасовать карты, долго мешал их, потом веером развернул на столе, крапом вверх.|Он стал тасовать карты, долго мешал их, потом веером развернул на столе, крапом вверх.
jizn_gnora_s000556|Как вы совершили преступление?|Как вы совершили преступление?
jizn_gnora_s000557|правдивость которого он улавливал в страхе, овладевавшем им после каждого из этих немых голосов тела, обреченного смерти.|правдивость которого он улавливал в страхе, овладевавшем им после каждого из этих немых голосов тела, обреченного смерти.
jizn_gnora_s000558|И я, - сказала девушка. - Прощайте, мне нужно прилечь, я устала, Гнор, и если вы.|И я, - сказала девушка. - Прощайте, мне нужно прилечь, я устала, Гнор, и если вы.
jizn_gnora_s000559|Снова подул ветер. Ночью я проснулся от мук жажды; был мрак и грохот. Голубые молнии полосовали пространство; меня вместе с плотом швыряло то вверх - к тучам,|Снова подул ветер. Ночью я проснулся от мук жажды; был мрак и грохот. Голубые молнии полосовали пространство; меня вместе с плотом швыряло то вверх - к тучам,
jizn_gnora_s000560|Он выстрелил несколько раз сквозь доски, соображая в то же время, куда бежать. Шум и грохот за дверью показал ему, что там шарахнулись. Он подбежал к окну,|Он выстрелил несколько раз сквозь доски, соображая в то же время, куда бежать. Шум и грохот за дверью показал ему, что там шарахнулись. Он подбежал к окну,
jizn_gnora_s000561|Смерть двойке, - проговорил Энниок, - смерть и мне.|Смерть двойке, - проговорил Энниок, - смерть и мне.
jizn_gnora_s000562|Сегодня никто не спит, - сказал Гнор. - Я люблю вас. Энниок и я - мы не спим. Вы третья.|Сегодня никто не спит, - сказал Гнор. - Я люблю вас. Энниок и я - мы не спим. Вы третья.
jizn_gnora_s000563|Волшебный свет, игра цветных теней и оцепенение зелени окружали Гнора; земля беззвучно дышала полной грудью - задумчивая земля пустынь, кротких и грозных, как любовный крик зверя.|Волшебный свет, игра цветных теней и оцепенение зелени окружали Гнора; земля беззвучно дышала полной грудью - задумчивая земля пустынь, кротких и грозных, как любовный крик зверя.
jizn_gnora_s000564|Бесконечные толпы черных женщин с поднятыми к небу руками стремились вверх; кипящая груда их касалась небес; с неба в красных просветах туч падали вниз прозрачным хаосом нагие, розовые и белые женщины.|Бесконечные толпы черных женщин с поднятыми к небу руками стремились вверх; кипящая груда их касалась небес; с неба в красных просветах туч падали вниз прозрачным хаосом нагие, розовые и белые женщины.
jizn_gnora_s000565|внимательно рассматривая палача в сюртуке, черных перчатках, цилиндре и черном галстуке.|внимательно рассматривая палача в сюртуке, черных перчатках, цилиндре и черном галстуке.
jizn_gnora_s000566|В течение десяти минут Джен побывала в лучших магазинах, накупила массу вещей, переехала из комнаты в квартиру, а Геннисон между супом и котлетой съездил в Европу,|В течение десяти минут Джен побывала в лучших магазинах, накупила массу вещей, переехала из комнаты в квартиру, а Геннисон между супом и котлетой съездил в Европу,
jizn_gnora_s000567|Как вас зовут?|Как вас зовут?
jizn_gnora_s000568|Шар задевал поочередно остальных двух сухими щелчками и возвращался к Энниоку.|Шар задевал поочередно остальных двух сухими щелчками и возвращался к Энниоку.
jizn_gnora_s000569|Пять, - сказал Гнор. - Пять, - повторил он, задев обоих, и удовлетворенно вздохнул. - Мне остается четыре.|Пять, - сказал Гнор. - Пять, - повторил он, задев обоих, и удовлетворенно вздохнул. - Мне остается четыре.
jizn_gnora_s000570|и пальцы его стали красными - от крови губ Эбергайля, губ, не пожалевших себя.|и пальцы его стали красными - от крови губ Эбергайля, губ, не пожалевших себя.
jizn_gnora_s000571|Тогда ударит, - мертвея, подумал Эбергайль. - Меня обманули.|Тогда ударит, - мертвея, подумал Эбергайль. - Меня обманули.
jizn_gnora_s000572|О некоторых местах, особенно в молодости, остаются жгучие воспоминания. Я знаю земной шар; сделать крюк в тысячу миль ради вас и прогулки не даст мне ничего, кроме здоровья.|О некоторых местах, особенно в молодости, остаются жгучие воспоминания. Я знаю земной шар; сделать крюк в тысячу миль ради вас и прогулки не даст мне ничего, кроме здоровья.
jizn_gnora_s000573|Скульптор, не мни покорной И вязкой глины ком.|Скульптор, не мни покорной И вязкой глины ком.
jizn_gnora_s000574|Играя, ему удалось свести шары рядом; он поглаживал их своим шаром то с одной, то с другой стороны, стараясь не разъединить их и не оставаться с ними на прямой линии.|Играя, ему удалось свести шары рядом; он поглаживал их своим шаром то с одной, то с другой стороны, стараясь не разъединить их и не оставаться с ними на прямой линии.
jizn_gnora_s000575|сказал Кент, - чтобы мы ему дали переодеться.|сказал Кент, - чтобы мы ему дали переодеться.
jizn_gnora_s000576|О-р. Э-э. А-а.|О-р. Э-э. А-а.
jizn_gnora_s000577|может быть, в минуты задумчивости, когда грустная неудовлетворенность жизнью перебивается мимолетным развлечением, смехом гостя, заботой дня, интересом минуты.|может быть, в минуты задумчивости, когда грустная неудовлетворенность жизнью перебивается мимолетным развлечением, смехом гостя, заботой дня, интересом минуты.
jizn_gnora_s000578|но не упал, поднял руки и, потрясая вырванным у старика идолом, крикнул изо всей силы:|но не упал, поднял руки и, потрясая вырванным у старика идолом, крикнул изо всей силы:
jizn_gnora_s000579|Верно, - сухо ответил Гнор, - пощечина и пожатие руки - этим я выразил бы всего вас. В силу известной причины я не делаю первого. Возьмите второе.|Верно, - сухо ответил Гнор, - пощечина и пожатие руки - этим я выразил бы всего вас. В силу известной причины я не делаю первого. Возьмите второе.
jizn_gnora_s000580|Слабый шум послышался в стороне; Гнор обернулся, прислушиваясь, почти уверенный в немедленном появлении незнакомца, жителя острова. Он старался представить его наружность.|Слабый шум послышался в стороне; Гнор обернулся, прислушиваясь, почти уверенный в немедленном появлении незнакомца, жителя острова. Он старался представить его наружность.
jizn_gnora_s000581|Как?! — закричал Нурс, — эту самую. и это — ваша. Ну, а я вам скажу, что она-то мне всех больше понравилась. Что же вы теперь будете делать?|Как?!- закричал Нурс,- эту самую. и это - ваша. Ну, а я вам скажу, что она-то мне всех больше понравилась. Что же вы теперь будете делать?
jizn_gnora_s000582|Он был одержим тоской, увеличивающей изо дня в день силы переносить ее. Это был юг жизни, ее знойный полдень; жаркие голубые тени, жажда и шум невидимого еще ключа.|Он был одержим тоской, увеличивающей изо дня в день силы переносить ее. Это был юг жизни, ее знойный полдень; жаркие голубые тени, жажда и шум невидимого еще ключа.
jizn_gnora_s000583|Нурс вышел.|Нурс вышел.
jizn_gnora_s000584|Однако именно благодаря этому письму второй бухгалтер устроил мне приют и полное матросское содержание, — правда, без жалованья, — в так называемой береговой команде.|Однако именно благодаря этому письму второй бухгалтер устроил мне приют и полное матросское содержание,- правда, без жалованья,- в так называемой береговой команде.
jizn_gnora_s000585|Ай, и деньги тут, на полу.|Ай, и деньги тут, на полу.
jizn_gnora_s000586|Я жил в полусне новых явлений. Тогда один случай, может быть незначительный в сложном обиходе человеческих масс, наполняющих тысячи кораблей,|Я жил в полусне новых явлений. Тогда один случай, может быть незначительный в сложном обиходе человеческих масс, наполняющих тысячи кораблей,
jizn_gnora_s000587|где пестрый отвес скалы разделял берег, увидел лодку.|где пестрый отвес скалы разделял берег, увидел лодку.
jizn_gnora_s000588|Я прострелил ему сердце. Он не мог умереть стоя и падать, делая такой ненужный жест, как закрытие глаз. Следовательно, он был жив, падая; и знал, что делает.|Я прострелил ему сердце. Он не мог умереть стоя и падать, делая такой ненужный жест, как закрытие глаз. Следовательно, он был жив, падая; и знал, что делает.
jizn_gnora_s000589|— показал мне, что я никуда не ушел, что я — не в преддверии сказочных стран, полных беззаветного ликования, а среди простых, грешных людей.|- показал мне, что я никуда не ушел, что я - не в преддверии сказочных стран, полных беззаветного ликования, а среди простых, грешных людей.
jizn_gnora_s000590|Я хранил себя, - сказал Гнор, - для лучших времен.|Я хранил себя, - сказал Гнор, - для лучших времен.
jizn_gnora_s000591|Голос был похож, очень похож, - пробормотал он, поворачиваясь на другой бок. Так он дремал с открытыми глазами минут пять, размышляя о близком своем отъезде, о любви и нежности.|Голос был похож, очень похож, - пробормотал он, поворачиваясь на другой бок. Так он дремал с открытыми глазами минут пять, размышляя о близком своем отъезде, о любви и нежности.
jizn_gnora_s000592|как по призовому столбу, и страшился оказаться несостоятельным в этом упражнении.|как по призовому столбу, и страшился оказаться несостоятельным в этом упражнении.
jizn_gnora_s000593|Вот когда география совершила злое дело.|Вот когда география совершила злое дело.
jizn_gnora_s000594|другой укладывал, по временам выпрямляясь и царапая ногтем листок бумаги:|другой укладывал, по временам выпрямляясь и царапая ногтем листок бумаги:
jizn_gnora_s000595|Тайфун - жизнь? - спросил Гнор. - Но кто живет так?|Тайфун - жизнь? - спросил Гнор. - Но кто живет так?
jizn_gnora_s000596|Мало. Хотите пятьдесят?|Мало. Хотите пятьдесят?
jizn_gnora_s000597|Берите вы.|Берите вы.
jizn_gnora_s000598|Снова загремел ключ, и Эбергайль встал с сияющими глазами. Он знал, что лезвие не опустится. С чувством внутреннего торжества притворился он,|Снова загремел ключ, и Эбергайль встал с сияющими глазами. Он знал, что лезвие не опустится. С чувством внутреннего торжества притворился он,
jizn_gnora_s000599|Эбергайль стал так, как сказал палач, и, свесив подбородок за край плахи, невольно улыбнулся. Внизу, под его глазами, был шероховатый, свежий настил с небольшой щелью меж досок.|Эбергайль стал так, как сказал палач, и, свесив подбородок за край плахи, невольно улыбнулся. Внизу, под его глазами, был шероховатый, свежий настил с небольшой щелью меж досок.
jizn_gnora_s000600|Раз, - сказал тот. Шары забегали, бесшумными углами чертя сукно, и остановились в выгодном положении. - Два. - Ударяя кием, он почти не сходил с места.|Раз, - сказал тот. Шары забегали, бесшумными углами чертя сукно, и остановились в выгодном положении. - Два. - Ударяя кием, он почти не сходил с места.
jizn_gnora_s000601|Венчик, похожий на саранчу, медленно расправлял лепестки. Они выровнялись, напряглись - и цветок стал покачиваться от ветерка. Он был не совсем красив, но оригинален.|Венчик, похожий на саранчу, медленно расправлял лепестки. Они выровнялись, напряглись - и цветок стал покачиваться от ветерка. Он был не совсем красив, но оригинален.
jizn_gnora_s000602|Джен, я схожу. Ты понимаешь — это не беспокойство, не зависть — нет; я совершенно уверен в благополучном исходе дела, но. но я посмотрю все-таки, нет ли там модели Ледана.|Джен, я схожу. Ты понимаешь - это не беспокойство, не зависть - нет; я совершенно уверен в благополучном исходе дела, но. но я посмотрю все-таки, нет ли там модели Ледана.
jizn_gnora_s000603|Он быстро оделся, вышел и стал бродить по улицам. В туземных кварталах горели масляные фонари из красной и голубой бумаги; воняло горелым маслом, отбросами, жирной пылью.|Он быстро оделся, вышел и стал бродить по улицам. В туземных кварталах горели масляные фонари из красной и голубой бумаги; воняло горелым маслом, отбросами, жирной пылью.
