meraviglieduemila_01_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_12_salgari_f000089|Divorarono poscia un’abbondante zuppa di pesce, vuotarono alcune tazze di latte di renna, poi, essendosi il vento un po’ calmato|Divorarono poscia unabbondante zuppa di pesce, vuotarono alcune tazze di latte di renna, poi, essendosi il vento un po calmato
meraviglieduemila_12_salgari_f000090|fecero una escursione nei dintorni della baia colla speranza di veder giungere il vascello aereo che doveva condurli in Europa.|fecero una escursione nei dintorni della baia colla speranza di veder giungere il vascello aereo che doveva condurli in Europa.
meraviglieduemila_12_salgari_f000091|Non fu che alle prime ore dell’indomani che furono avvertiti dal loro ospite che il vascello aereo era comparso all’orizzonte.|Non fu che alle prime ore dellindomani che furono avvertiti dal loro ospite che il vascello aereo era comparso allorizzonte.
meraviglieduemila_12_salgari_f000092|Sorseggiarono una tazza di tè e, indossati i grossi mantelli di pelle d’orso|Sorseggiarono una tazza di tè e, indossati i grossi mantelli di pelle dorso
meraviglieduemila_12_salgari_f000093|si precipitarono verso la baia, per godersi lo spettacolo dell’arrivo.|si precipitarono verso la baia, per godersi lo spettacolo dellarrivo.
meraviglieduemila_12_salgari_f000094|Il vascello volante era ormai visibile e solcava lo spazio maestosamente|Il vascello volante era ormai visibile e solcava lo spazio maestosamente
meraviglieduemila_12_salgari_f000095|tenendosi a centocinquanta metri dai banchi di ghiaccio che si stendevano sull’oceano.|tenendosi a centocinquanta metri dai banchi di ghiaccio che si stendevano sulloceano.
meraviglieduemila_12_salgari_f000096|Somigliava agli omnibus volanti che già Brandok e Toby avevano veduto a Nuova York, però più in grande|Somigliava agli omnibus volanti che già Brandok e Toby avevano veduto a Nuova York, però più in grande
meraviglieduemila_12_salgari_f000097|avendo la piattaforma più larga, dieci ali, quattro eliche mostruose e doppi timoni.|avendo la piattaforma più larga, dieci ali, quattro eliche mostruose e doppi timoni.
meraviglieduemila_12_salgari_f000098|Sopra si estendeva una galleria a vetri, riservata ai viaggiatori, e sormontata da un albero con una antenna|Sopra si estendeva una galleria a vetri, riservata ai viaggiatori, e sormontata da un albero con una antenna
meraviglieduemila_12_salgari_f000099|probabilmente qualche apparecchio elettrico per la trasmissione dei telegrammi aerei.|probabilmente qualche apparecchio elettrico per la trasmissione dei telegrammi aerei.
meraviglieduemila_12_salgari_f000100|Il vascello che si avanzava con grande velocità fu ben presto sopra la baia.|Il vascello che si avanzava con grande velocità fu ben presto sopra la baia.
meraviglieduemila_12_salgari_f000101|Descrisse, nonostante il forte vento, una curva assai allungata|Descrisse, nonostante il forte vento, una curva assai allungata
meraviglieduemila_12_salgari_f000102|ed andò a posarsi dolcemente entro un recinto costruito su una collinetta che sorgeva a qualche centinaio di metri dalla stazione estiva.|ed andò a posarsi dolcemente entro un recinto costruito su una collinetta che sorgeva a qualche centinaio di metri dalla stazione estiva.
meraviglieduemila_12_salgari_f000103|— Andiamo a raggiungerlo subito — disse Brandok, che li aveva seguiti assieme al pescatore che portava le valigie.|- Andiamo a raggiungerlo subito - disse Brandok, che li aveva seguiti assieme al pescatore che portava le valigie.
meraviglieduemila_12_salgari_f000104|— Il Centauro non si ferma più d’un quarto d’ora|- Il Centauro non si ferma più dun quarto dora
meraviglieduemila_12_salgari_f000105|appena il tempo sufficiente per consegnare la posta e sbarcare dei viveri e del tabacco per i pescatori e per i guardiani.|appena il tempo sufficiente per consegnare la posta e sbarcare dei viveri e del tabacco per i pescatori e per i guardiani.
meraviglieduemila_12_salgari_f000106|Salirono la collina, entrarono nel recinto e s’imbarcarono, dopo aver fatto acquisto del biglietto.|Salirono la collina, entrarono nel recinto e simbarcarono, dopo aver fatto acquisto del biglietto.
meraviglieduemila_12_salgari_f000107|A bordo del vascello aereo non vi erano che sette uomini: il comandante, due macchinisti, due timonieri, uno stewart ed un medico.|A bordo del vascello aereo non vi erano che sette uomini: il comandante, due macchinisti, due timonieri, uno stewart ed un medico.
meraviglieduemila_12_salgari_f000108|L’interno della galleria era diviso in quattro scompartimenti.|Linterno della galleria era diviso in quattro scompartimenti.
meraviglieduemila_12_salgari_f000109|Uno riservato alle macchine e all’equipaggio;|Uno riservato alle macchine e allequipaggio;
meraviglieduemila_12_salgari_f000110|uno a camera da letto, suddivisa in piccole cabine di leggera lamiera d’alluminio o d’un metallo consimile; il terzo a sala da pranzo;|uno a camera da letto, suddivisa in piccole cabine di leggera lamiera dalluminio o dun metallo consimile; il terzo a sala da pranzo;
meraviglieduemila_12_salgari_f000111|il quarto a biblioteca e sala da conversazione, con un organo elettrico per divertire i viaggiatori.|il quarto a biblioteca e sala da conversazione, con un organo elettrico per divertire i viaggiatori.
meraviglieduemila_12_salgari_f000112|— Bellissimo! — aveva esclamato Brandok, osservando i ricchi mobili che arredavano le sale. — Meraviglioso!|- Bellissimo! - aveva esclamato Brandok, osservando i ricchi mobili che arredavano le sale. - Meraviglioso!
meraviglieduemila_12_salgari_f000113|— E quello che conta, tanto più sicuro delle navi che solcano gli oceani — disse Holker. — Quando giungeremo a Londra? — chiese Toby.|- E quello che conta, tanto più sicuro delle navi che solcano gli oceani - disse Holker. - Quando giungeremo a Londra? - chiese Toby.
meraviglieduemila_12_salgari_f000114|— Fra quarantasei ore — disse il comandante della nave.|- Fra quarantasei ore - disse il comandante della nave.
meraviglieduemila_12_salgari_f000115|— Dobbiamo spingerci prima fin sulle coste dell’Irlanda per deporre nella città sottomarina un pericoloso galeotto che ci è stato consegnato dalle autorità norvegesi di Bergen e che è suddito inglese.|- Dobbiamo spingerci prima fin sulle coste dellIrlanda per deporre nella città sottomarina un pericoloso galeotto che ci è stato consegnato dalle autorità norvegesi di Bergen e che è suddito inglese.
meraviglieduemila_12_salgari_f000116|— Ecco una buona occasione per visitare quella città, — disse Holker, — e anche i grandi mulini del Gulf-Stream.|- Ecco una buona occasione per visitare quella città, - disse Holker, - e anche i grandi mulini del Gulf-Stream.
meraviglieduemila_12_salgari_f000117|Non supponevo di essere tanto fortunato.|Non supponevo di essere tanto fortunato.
meraviglieduemila_12_salgari_f000118|— Avete più nulla da imbarcare? — chiese il capitano.|- Avete più nulla da imbarcare? - chiese il capitano.
meraviglieduemila_12_salgari_f000119|— Null’altro, signore — rispose Brandok.|- Nullaltro, signore - rispose Brandok.
meraviglieduemila_12_salgari_f000120|— Allora partiamo senza indugio: sta per scoppiare un nuovo ciclone e non amo fermarmi qui o dovermi rifugiare ancora nei fiords della Norvegia.|- Allora partiamo senza indugio: sta per scoppiare un nuovo ciclone e non amo fermarmi qui o dovermi rifugiare ancora nei fiords della Norvegia.
meraviglieduemila_12_salgari_f000121|A causa degli uragani sono già in ritardo di due giorni.|A causa degli uragani sono già in ritardo di due giorni.
meraviglieduemila_12_salgari_f000122|Il Centauro, ad un comando del capitano|Il Centauro, ad un comando del capitano
meraviglieduemila_12_salgari_f000123|aveva rimesso in movimento le due poderose macchine e si era innalzato di duecento metri salutando la popolazione della stazione con dei sibili acutissimi.|aveva rimesso in movimento le due poderose macchine e si era innalzato di duecento metri salutando la popolazione della stazione con dei sibili acutissimi.
meraviglieduemila_12_salgari_f000124|Girò due volte sulla baia, poi prese lo slancio dirigendosi verso sud-ovest, con rapidità fantastica.|Girò due volte sulla baia, poi prese lo slancio dirigendosi verso sud-ovest, con rapidità fantastica.
meraviglieduemila_12_salgari_f000125|Dinanzi alla baia si estendevano degli immensi banchi di ghiaccio|Dinanzi alla baia si estendevano degli immensi banchi di ghiaccio
meraviglieduemila_12_salgari_f000126|solcati da canali più o meno larghi e che mandavano in alto un bagliore intenso|solcati da canali più o meno larghi e che mandavano in alto un bagliore intenso
meraviglieduemila_12_salgari_f000127|quasi accecante, dovuto alla rifrazione di tutta quella massa trasparente.|quasi accecante, dovuto alla rifrazione di tutta quella massa trasparente.
meraviglieduemila_12_salgari_f000128|In lontananza invece appariva la tinta azzurrocupa del mare che indicava le acque libere dell’Oceano Atlantico.|In lontananza invece appariva la tinta azzurrocupa del mare che indicava le acque libere dellOceano Atlantico.
meraviglieduemila_12_salgari_f000129|Brandok, Toby e Holker, ben coperti dai loro mantelli di pelo, si erano seduti fuori della galleria|Brandok, Toby e Holker, ben coperti dai loro mantelli di pelo, si erano seduti fuori della galleria
meraviglieduemila_12_salgari_f000130|sulle panchine di prora, per godersi meglio quello spettacolo.|sulle panchine di prora, per godersi meglio quello spettacolo.
meraviglieduemila_12_salgari_f000131|Il vascello volante, nonostante la sua mole, si comportava meravigliosamente bene|Il vascello volante, nonostante la sua mole, si comportava meravigliosamente bene
meraviglieduemila_12_salgari_f000132|gareggiando coi lesti gabbiani e coi grossi albatros che lo seguivano o lo precedevano.|gareggiando coi lesti gabbiani e coi grossi albatros che lo seguivano o lo precedevano.
meraviglieduemila_12_salgari_f000133|Manteneva una linea rigorosamente diritta, orientata sulla bussola, senza abbassarsi nemmeno d’un metro.|Manteneva una linea rigorosamente diritta, orientata sulla bussola, senza abbassarsi nemmeno dun metro.
meraviglieduemila_12_salgari_f000134|Non era un pallone, era un vero vascello che obbediva alle mosse dei due timoni, che funzionavano come le code dei volatili.|Non era un pallone, era un vero vascello che obbediva alle mosse dei due timoni, che funzionavano come le code dei volatili.
meraviglieduemila_12_salgari_f000135|— Una scoperta stupefacente — ripeteva Brandok, che respirava a pieni polmoni l’aria gelata eppur vivificante dell’oceano.|- Una scoperta stupefacente - ripeteva Brandok, che respirava a pieni polmoni laria gelata eppur vivificante delloceano.
meraviglieduemila_12_salgari_f000136|— Chi avrebbe detto che l’uomo sarebbe riuscito a dividere cogli uccelli l’impero dello spazio?|- Chi avrebbe detto che luomo sarebbe riuscito a dividere cogli uccelli limpero dello spazio?
meraviglieduemila_12_salgari_f000137|Che cosa sono i famosi condor in confronto a questi vascelli volanti?|Che cosa sono i famosi condor in confronto a questi vascelli volanti?
meraviglieduemila_12_salgari_f000138|— Questi vascelli superano in velocità gli uccelli? — chiese Toby.|- Questi vascelli superano in velocità gli uccelli? - chiese Toby.
meraviglieduemila_12_salgari_f000139|— Li lasciano indietro senza fatica — rispose Holker. — Anche le fregate?|- Li lasciano indietro senza fatica - rispose Holker. - Anche le fregate?
meraviglieduemila_12_salgari_f000140|— Sono gli unici volatili che li superano, potendo quelli percorrere centosessanta chilometri all’ora. — E gli albatros? — chiese Brandok.|- Sono gli unici volatili che li superano, potendo quelli percorrere centosessanta chilometri allora. - E gli albatros? - chiese Brandok.
meraviglieduemila_12_salgari_f000141|— Quantunque abbiano un’ampiezza d’ali che in media va dai quattro metri ai quattro e mezzo, non possono lottare colle fregate.|- Quantunque abbiano unampiezza dali che in media va dai quattro metri ai quattro e mezzo, non possono lottare colle fregate.
meraviglieduemila_12_salgari_f000142|— Che velocità sviluppano queste navi volanti?|- Che velocità sviluppano queste navi volanti?
meraviglieduemila_12_salgari_f000143|— Centocinquanta chilometri all’ora — rispose Holker.|- Centocinquanta chilometri allora - rispose Holker.
meraviglieduemila_12_salgari_f000144|— E dire che noi, ai nostri tempi, andavamo superbi delle nostre torpediniere|- E dire che noi, ai nostri tempi, andavamo superbi delle nostre torpediniere
meraviglieduemila_12_salgari_f000145|che riuscivano a percorrere ventiquattro o venticinque miglia all’ora! — disse Toby.|che riuscivano a percorrere ventiquattro o venticinque miglia allora! - disse Toby.
meraviglieduemila_12_salgari_f000146|— Che progressi! Che progressi!|- Che progressi! Che progressi!
meraviglieduemila_12_salgari_f000147|— Ditemi, signor Holker — disse Brandok.|- Ditemi, signor Holker - disse Brandok.
meraviglieduemila_12_salgari_f000148|— Le navi moderne che velocità raggiungono?|- Le navi moderne che velocità raggiungono?
meraviglieduemila_12_salgari_f000149|— Le cinquanta e anche le sessanta miglia all’ora — rispose l’interrogato. — Che macchine hanno? — Mosse dall’elettricità.|- Le cinquanta e anche le sessanta miglia allora - rispose linterrogato. - Che macchine hanno? - Mosse dallelettricità.
meraviglieduemila_12_salgari_f000150|— E la forma è quella d’un tempo? — Giudicatene voi.|- E la forma è quella dun tempo? - Giudicatene voi.
meraviglieduemila_12_salgari_f000151|Ecco laggiù appunto una nave che forse viene dall’Isola degli Orsi.|Ecco laggiù appunto una nave che forse viene dallIsola degli Orsi.
meraviglieduemila_12_salgari_f000152|Vi sembra che rassomigli ad una di quelle che percorrevano gli oceani ai vostri tempi?|Vi sembra che rassomigli ad una di quelle che percorrevano gli oceani ai vostri tempi?
meraviglieduemila_12_salgari_f000153|Brandok e Toby si erano vivamente alzati guardando nella direzione indicata dal loro amico e videro delinearsi sull’orizzonte una specie di fuso lunghissimo che correva sulle onde con estrema rapidità,|Brandok e Toby si erano vivamente alzati guardando nella direzione indicata dal loro amico e videro delinearsi sullorizzonte una specie di fuso lunghissimo che correva sulle onde con estrema rapidità,
meraviglieduemila_12_salgari_f000154|senza alcuna traccia di fumo.|senza alcuna traccia di fumo.
meraviglieduemila_12_salgari_f000155|— Quella nave è il Tangaroff — disse il capitano del vascello aereo.|- Quella nave è il Tangaroff - disse il capitano del vascello aereo.
meraviglieduemila_12_salgari_f000156|— Viene dal Mar Bianco e si reca in Islanda.|- Viene dal Mar Bianco e si reca in Islanda.
meraviglieduemila_12_salgari_f000157|Una bella nave, ve lo dico io, che cammina come uno squalo.|Una bella nave, ve lo dico io, che cammina come uno squalo.
meraviglieduemila_12_salgari_f000158|Non ha paura dei ghiacci la sua prora!|Non ha paura dei ghiacci la sua prora!
meraviglieduemila_12_salgari_f000159|— Non rassomiglia affatto alle navi che solcavano i mari ai nostri tempi — disse Brandok quando il capitano si fu allontanato.|- Non rassomiglia affatto alle navi che solcavano i mari ai nostri tempi - disse Brandok quando il capitano si fu allontanato.
meraviglieduemila_12_salgari_f000160|— Le hanno modificate i costruttori del Duemila?|- Le hanno modificate i costruttori del Duemila?
meraviglieduemila_12_salgari_f000161|— In gran parte, per ottenere una maggiore velocità e meno rollio e beccheggio — disse Holker.|- In gran parte, per ottenere una maggiore velocità e meno rollio e beccheggio - disse Holker.
meraviglieduemila_12_salgari_f000162|— Hanno dato allo scafo una forma di sigaro molto affilato a prora e la coperta è quasi scomparsa non essendovi che il posto per una torre destinata ai timonieri.|- Hanno dato allo scafo una forma di sigaro molto affilato a prora e la coperta è quasi scomparsa non essendovi che il posto per una torre destinata ai timonieri.
meraviglieduemila_12_salgari_f000163|Come vedete, le navi moderne sono quasi tutte sommerse e chiuse sopraccoperta in modo che durante le tempeste le onde possono spazzarle senza produrre il minimo inconveniente.|Come vedete, le navi moderne sono quasi tutte sommerse e chiuse sopraccoperta in modo che durante le tempeste le onde possono spazzarle senza produrre il minimo inconveniente.
meraviglieduemila_12_salgari_f000164|— Sapete che cosa mi ricordano, nella forma, queste nuove navi?|- Sapete che cosa mi ricordano, nella forma, queste nuove navi?
meraviglieduemila_12_salgari_f000165|I battelli sottomarini che si incominciavano ad usare ai nostri tempi. — È vero — confermò Toby. — E come procedono? Ancora ad elica? — Sì, e a ruote.|I battelli sottomarini che si incominciavano ad usare ai nostri tempi. - È vero - confermò Toby. - E come procedono? Ancora ad elica? - Sì, e a ruote.
meraviglieduemila_12_salgari_f000166|Sotto la carena entro appositi incavi ne hanno otto, dieci e perfino dodici|Sotto la carena entro appositi incavi ne hanno otto, dieci e perfino dodici
meraviglieduemila_12_salgari_f000167|che talvolta aiutano potentemente le eliche poppiere — disse Holker.|che talvolta aiutano potentemente le eliche poppiere - disse Holker.
meraviglieduemila_12_salgari_f000168|— Con questo doppio sistema che ricorda un po’ i nostri antichi piroscafi rotanti|- Con questo doppio sistema che ricorda un po i nostri antichi piroscafi rotanti
meraviglieduemila_12_salgari_f000169|i nostri ingegneri navali hanno potuto imprimere alle nostre navi cinquanta e perfino sessanta miglia all’ora.|i nostri ingegneri navali hanno potuto imprimere alle nostre navi cinquanta e perfino sessanta miglia allora.
meraviglieduemila_12_salgari_f000170|— E voi mi avete detto che non, rollano e non beccheggiano?|- E voi mi avete detto che non, rollano e non beccheggiano?
meraviglieduemila_12_salgari_f000171|— Il mal di mare è ora quasi sconosciuto, sui piroscafi moderni, e anche le più formidabili ondate non riescono nemmeno a scuoterli. — E perchè? — chiese Toby.|- Il mal di mare è ora quasi sconosciuto, sui piroscafi moderni, e anche le più formidabili ondate non riescono nemmeno a scuoterli. - E perchè? - chiese Toby.
meraviglieduemila_12_salgari_f000172|— Perchè i loro fianchi sono spalmati d’una vernice grassa che, distendendosi lentamente sull’acqua|- Perchè i loro fianchi sono spalmati duna vernice grassa che, distendendosi lentamente sullacqua
meraviglieduemila_12_salgari_f000173|produce il medesimo effetto dell’olio usato dai balenieri nelle tempeste.|produce il medesimo effetto dellolio usato dai balenieri nelle tempeste.
meraviglieduemila_12_salgari_f000174|— Che cosa non hanno inventato questi uomini del Duemila! — esclamò Brandok.|- Che cosa non hanno inventato questi uomini del Duemila! - esclamò Brandok.
meraviglieduemila_12_salgari_f000175|— Molte cose, infatti, e utilissime — rispose Holker, sorridendo.|- Molte cose, infatti, e utilissime - rispose Holker, sorridendo.
meraviglieduemila_12_salgari_f000176|— E di navi a vela ce ne sono ancora? — chiese Toby.|- E di navi a vela ce ne sono ancora? - chiese Toby.
meraviglieduemila_12_salgari_f000177|— Da settant’anni non se ne vede più una.|- Da settantanni non se ne vede più una.
meraviglieduemila_12_salgari_f000178|Guardate che bella nave e ditemi se non vale meglio di quelle che navigavano cent’anni fa.|Guardate che bella nave e ditemi se non vale meglio di quelle che navigavano centanni fa.
meraviglieduemila_13_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_13_salgari_f000002|Capitulo Tredicesimo Navi volanti e Marittime.|Capitulo Tredicesimo Navi volanti e Marittime.
meraviglieduemila_13_salgari_f000003|Il Tangaroff in quel momento incrociava il battello volante, passandovi a babordo.|Il Tangaroff in quel momento incrociava il battello volante, passandovi a babordo.
meraviglieduemila_13_salgari_f000004|Era un fuso enorme tutto in acciaio, lungo più di centocinquanta metri, colla prora acutissima e largo al centro una quindicina di metri.|Era un fuso enorme tutto in acciaio, lungo più di centocinquanta metri, colla prora acutissima e largo al centro una quindicina di metri.
meraviglieduemila_13_salgari_f000005|Era tutto coperto, con un gran numero di finestre al posto della coperta difese da vetri che dovevano avere un grande spessore.|Era tutto coperto, con un gran numero di finestre al posto della coperta difese da vetri che dovevano avere un grande spessore.
meraviglieduemila_13_salgari_f000006|Nel mezzo si ergeva una torre pure in metallo, alta quattro metri, sulla cui piattaforma stavano seduti, presso la ruota, due timonieri.|Nel mezzo si ergeva una torre pure in metallo, alta quattro metri, sulla cui piattaforma stavano seduti, presso la ruota, due timonieri.
meraviglieduemila_13_salgari_f000007|Dietro si innalzava un albero per la telegrafia aerea.|Dietro si innalzava un albero per la telegrafia aerea.
meraviglieduemila_13_salgari_f000008|Filava velocemente, quasi senza produrre alcun rumore, lasciandosi dietro una scia candidissima che pareva oleosa.|Filava velocemente, quasi senza produrre alcun rumore, lasciandosi dietro una scia candidissima che pareva oleosa.
meraviglieduemila_13_salgari_f000009|Più che una nave, sembrava un balenottero lanciato a tutta velocità.|Più che una nave, sembrava un balenottero lanciato a tutta velocità.
meraviglieduemila_13_salgari_f000010|Nel momento in cui passavano sotto il Centauro|Nel momento in cui passavano sotto il Centauro
meraviglieduemila_13_salgari_f000011|l’apparato elettrico di questo fece udire un lungo tintinnio e registrò un dispaccio lanciato dai timonieri del Tangaroff.|lapparato elettrico di questo fece udire un lungo tintinnio e registrò un dispaccio lanciato dai timonieri del Tangaroff.
meraviglieduemila_13_salgari_f000012|Era un cordiale — buon viaggio — che inviavano ai naviganti dell’aria|Era un cordiale - buon viaggio - che inviavano ai naviganti dellaria
meraviglieduemila_13_salgari_f000013|unitamente alla notizia che i ghiacci avevano ormai interrotta la navigazione nel Mar Bianco.|unitamente alla notizia che i ghiacci avevano ormai interrotta la navigazione nel Mar Bianco.
meraviglieduemila_13_salgari_f000014|— Bella! Splendida! — esclamò Brandok che seguiva collo sguardo il velocissimo piroscafo.|- Bella! Splendida! - esclamò Brandok che seguiva collo sguardo il velocissimo piroscafo.
meraviglieduemila_13_salgari_f000015|— Quando potrà giungere in Islanda?|- Quando potrà giungere in Islanda?
meraviglieduemila_13_salgari_f000016|— Domani sera — rispose Holker. — Malgrado i ghiacci?|- Domani sera - rispose Holker. - Malgrado i ghiacci?
meraviglieduemila_13_salgari_f000017|— Se ne ridono dei ghiacci le nostre navi.|- Se ne ridono dei ghiacci le nostre navi.
meraviglieduemila_13_salgari_f000018|Li assalgono a colpi di sperone e li disgregano per quanto spessore abbiano.|Li assalgono a colpi di sperone e li disgregano per quanto spessore abbiano.
meraviglieduemila_13_salgari_f000019|Sono veri arieti, d’una potenza inaudita.|Sono veri arieti, duna potenza inaudita.
meraviglieduemila_13_salgari_f000020|— Nipote mio, — disse Toby — che cosa è avvenuto dei battelli sottomarini che ai nostri tempi facevano tanto parlare?|- Nipote mio, - disse Toby - che cosa è avvenuto dei battelli sottomarini che ai nostri tempi facevano tanto parlare?
meraviglieduemila_13_salgari_f000021|— Dopo che le guerre sono state rese impossibili, sono scomparsi o quasi.|- Dopo che le guerre sono state rese impossibili, sono scomparsi o quasi.
meraviglieduemila_13_salgari_f000022|Ve ne sono ancora alcuni che servono per le esplorazioni sottomarine|Ve ne sono ancora alcuni che servono per le esplorazioni sottomarine
meraviglieduemila_13_salgari_f000023|e per il ricupero delle ricchezze perdute in fondo ai mari. — E del Canale di Panama? — chiese Brandok.|e per il ricupero delle ricchezze perdute in fondo ai mari. - E del Canale di Panama? - chiese Brandok.
meraviglieduemila_13_salgari_f000024|— È compiuto, mio caro signore, e già da ottantacinque anni.|- È compiuto, mio caro signore, e già da ottantacinque anni.
meraviglieduemila_13_salgari_f000025|— Quella grande impresa è stata condotta a termine? — Sì, dai nostri connazionali;|- Quella grande impresa è stata condotta a termine? - Sì, dai nostri connazionali;
meraviglieduemila_13_salgari_f000026|ed altre ancora ne sono state ultimate per accorciare i viaggi alle navi.|ed altre ancora ne sono state ultimate per accorciare i viaggi alle navi.
meraviglieduemila_13_salgari_f000027|L’istmo di Corinto che univa la Morea alla Grecia è stato pure tagliato;|Listmo di Corinto che univa la Morea alla Grecia è stato pure tagliato;
meraviglieduemila_13_salgari_f000028|quello della penisola di Malacca pure, ed ora si sta compiendo un’altra grande opera. — Quale?|quello della penisola di Malacca pure, ed ora si sta compiendo unaltra grande opera. - Quale?
meraviglieduemila_13_salgari_f000029|— Il grande deserto del Sahara sta per divenire un mare accessibile anche alle più grandi navi.|- Il grande deserto del Sahara sta per divenire un mare accessibile anche alle più grandi navi.
meraviglieduemila_13_salgari_f000030|Ci lavorano da cinque anni e fra cinque o sei mesi anche quell’opera sarà compiuta.|Ci lavorano da cinque anni e fra cinque o sei mesi anche quellopera sarà compiuta.
meraviglieduemila_13_salgari_f000031|— Che cosa vi rimane ora da fare? — chiese Brandok.|- Che cosa vi rimane ora da fare? - chiese Brandok.
meraviglieduemila_13_salgari_f000032|— Mantenere il mondo in equilibrio, ve lo dissi già, — rispose Holker — e speriamo che vi riescano i nostri scienziati.|- Mantenere il mondo in equilibrio, ve lo dissi già, - rispose Holker - e speriamo che vi riescano i nostri scienziati.
meraviglieduemila_13_salgari_f000033|La campana ci chiama a colazione;|La campana ci chiama a colazione;
meraviglieduemila_13_salgari_f000034|quest’aria marina mi ha messo addosso un appetito da lupo. Imitatemi amici; vi troverete meglio dopo.|questaria marina mi ha messo addosso un appetito da lupo. Imitatemi amici; vi troverete meglio dopo.
meraviglieduemila_13_salgari_f000035|Mentre passavano nel salotto da pranzo, il vascello volante continuava la sua corsa verso sud-ovest|Mentre passavano nel salotto da pranzo, il vascello volante continuava la sua corsa verso sud-ovest
meraviglieduemila_13_salgari_f000036|divorando lo spazio con una rapidità di centoventi chilometri all’ora.|divorando lo spazio con una rapidità di centoventi chilometri allora.
meraviglieduemila_13_salgari_f000037|L’oceano era sempre coperto da vasti banchi di ghiaccio e anche ice-bergs i quali proiettavano dei riflessi accecanti.|Loceano era sempre coperto da vasti banchi di ghiaccio e anche ice-bergs i quali proiettavano dei riflessi accecanti.
meraviglieduemila_13_salgari_f000038|Qua e là si scorgevano dei canali, entro i quali mostravasi ancora qualche rarissima foca|Qua e là si scorgevano dei canali, entro i quali mostravasi ancora qualche rarissima foca
meraviglieduemila_13_salgari_f000039|una delle poche sfuggite alle feroci distruzioni dei pescatori norvegesi e russi.|una delle poche sfuggite alle feroci distruzioni dei pescatori norvegesi e russi.
meraviglieduemila_13_salgari_f000040|I tre amici stavano per terminare il pasto, semplice sì ma assai abbondante|I tre amici stavano per terminare il pasto, semplice sì ma assai abbondante
meraviglieduemila_13_salgari_f000041|quando udirono la suoneria dell’apparato elettrico tintinnare e poco dopo videro comparire il capitano colla fronte abbuiata.|quando udirono la suoneria dellapparato elettrico tintinnare e poco dopo videro comparire il capitano colla fronte abbuiata.
meraviglieduemila_13_salgari_f000042|— Avete ricevuto qualche cattivo dispaccio, comandante? — chiese Holker.|- Avete ricevuto qualche cattivo dispaccio, comandante? - chiese Holker.
meraviglieduemila_13_salgari_f000043|— Mi telegrafano dalla stazione scozzese di Capo York che una bufera terribile imperversa da due giorni intorno alle isole britanniche — rispose il capitano.|- Mi telegrafano dalla stazione scozzese di Capo York che una bufera terribile imperversa da due giorni intorno alle isole britanniche - rispose il capitano.
meraviglieduemila_13_salgari_f000044|— S’annuncia ben cattivo l’inverno, quest’anno.|- Sannuncia ben cattivo linverno, questanno.
meraviglieduemila_13_salgari_f000045|— Sarete costretto a rifugiarvi nuovamente sulle coste norvegesi?|- Sarete costretto a rifugiarvi nuovamente sulle coste norvegesi?
meraviglieduemila_13_salgari_f000046|— Non voglio perdere altro tempo; sfiderò il ciclone. — Resisterà la vostra nave? — chiese Brandok. — Non vi inquietate signori;|- Non voglio perdere altro tempo; sfiderò il ciclone. - Resisterà la vostra nave? - chiese Brandok. - Non vi inquietate signori;
meraviglieduemila_13_salgari_f000047|il mio Centauro è costruito con acciaio di prima qualità.|il mio Centauro è costruito con acciaio di prima qualità.
meraviglieduemila_13_salgari_f000048|Non erano trascorse tre ore, che già la bufera, annunciata dalla stazione scozzese|Non erano trascorse tre ore, che già la bufera, annunciata dalla stazione scozzese
meraviglieduemila_13_salgari_f000049|si faceva sentire anche nei paraggi percorsi dal vascello volante.|si faceva sentire anche nei paraggi percorsi dal vascello volante.
meraviglieduemila_13_salgari_f000050|Il cielo si era oscurato e dei soffi impetuosi, delle vere raffiche marine giungevano dal mezzodì|Il cielo si era oscurato e dei soffi impetuosi, delle vere raffiche marine giungevano dal mezzodì
meraviglieduemila_13_salgari_f000051|investendo poderosamente le ali e le eliche del Centauro.|investendo poderosamente le ali e le eliche del Centauro.
meraviglieduemila_13_salgari_f000052|L’oceano si rompeva in ondate che diventavano rapidamente altissime|Loceano si rompeva in ondate che diventavano rapidamente altissime
meraviglieduemila_13_salgari_f000053|le quali disgregavano con mille fragori i banchi di ghiaccio scendenti dall’isola Jean Mayen.|le quali disgregavano con mille fragori i banchi di ghiaccio scendenti dallisola Jean Mayen.
meraviglieduemila_13_salgari_f000054|Il comandante aveva dato ordine ai suoi macchinisti di aumentare la velocità sperando di sottrarsi agli assalti imminenti del ciclone|Il comandante aveva dato ordine ai suoi macchinisti di aumentare la velocità sperando di sottrarsi agli assalti imminenti del ciclone
meraviglieduemila_13_salgari_f000055|e dando la possibilità ai timonieri di dirigersi verso ovest per evitare il centro della bufera.|e dando la possibilità ai timonieri di dirigersi verso ovest per evitare il centro della bufera.
