sandmann_1_f000001|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.
sandmann_3_f000005|Ihr habt über mich gesprochen.|Ihr habt über mich gesprochen.
sandmann_3_f000006|Du liesest ihr wohl logische Kollegia, damit sie alles fein sichten und sondern lerne.|Du liesest ihr wohl logische Kollegia, damit sie alles fein sichten und sondern lerne.
sandmann_3_f000007|Laß das bleiben!|Laß das bleiben!
sandmann_3_f000008|Übrigens ist es wohl gewiß, daß der Wetterglashändler Giuseppe Coppola keinesweges der alte Advokat Coppelius ist.|Übrigens ist es wohl gewiß, daß der Wetterglashändler Giuseppe Coppola keinesweges der alte Advokat Coppelius ist.
sandmann_3_f000009|Ich höre bei dem erst neuerdings angekommenen Professor der Physik, der, wie jener berühmte Naturforscher, Spalanzani heißt und italienischer Abkunft ist, Kollegia.|Ich höre bei dem erst neuerdings angekommenen Professor der Physik, der, wie jener berühmte Naturforscher, Spalanzani heißt und italienischer Abkunft ist, Kollegia.
sandmann_3_f000010|Der kennt den Coppola schon seit vielen Jahren und überdem hört man es auch seiner Aussprache an, daß er wirklich Piemonteser ist.|Der kennt den Coppola schon seit vielen Jahren und überdem hört man es auch seiner Aussprache an, daß er wirklich Piemonteser ist.
sandmann_3_f000011|Coppelius war ein Deutscher, aber wie mich dünkt, kein ehrlicher.|Coppelius war ein Deutscher, aber wie mich dünkt, kein ehrlicher.
sandmann_3_f000012|Ganz beruhigt bin ich nicht.|Ganz beruhigt bin ich nicht.
sandmann_3_f000013|Haltet Ihr, Du und Clara, mich immerhin für einen düstern Träumer, aber nicht los kann ich den Eindruck werden, den Coppelius' verfluchtes Gesicht auf mich macht.|Haltet Ihr, Du und Clara, mich immerhin für einen düstern Träumer, aber nicht los kann ich den Eindruck werden, den Coppelius' verfluchtes Gesicht auf mich macht.
sandmann_3_f000014|Ich bin froh, daß er fort ist aus der Stadt, wie mir Spalanzani sagt.|Ich bin froh, daß er fort ist aus der Stadt, wie mir Spalanzani sagt.
sandmann_3_f000015|Dieser Professor ist ein wunderlicher Kauz.|Dieser Professor ist ein wunderlicher Kauz.
sandmann_3_f000016|Ein kleiner rundlicher Mann, das Gesicht mit starken Backenknochen, feiner Nase, aufgeworfenen Lippen, kleinen stechenden Augen.|Ein kleiner rundlicher Mann, das Gesicht mit starken Backenknochen, feiner Nase, aufgeworfenen Lippen, kleinen stechenden Augen.
sandmann_3_f000017|Doch besser, als in jeder Beschreibung, siehst Du ihn, wenn Du den Cagliostro, wie er von Chodowiecki in irgend einem Berlinischen Taschenkalender steht, anschauest.|Doch besser, als in jeder Beschreibung, siehst Du ihn, wenn Du den Cagliostro, wie er von Chodowiecki in irgend einem Berlinischen Taschenkalender steht, anschauest.
sandmann_3_f000018|So sieht Spalanzani aus.|So sieht Spalanzani aus.
sandmann_3_f000019|Neulich steige ich die Treppe herauf und nehme wahr, daß die sonst einer Glastüre dicht vorgezogene Gardine zur Seite einen kleinen Spalt läßt.|Neulich steige ich die Treppe herauf und nehme wahr, daß die sonst einer Glastüre dicht vorgezogene Gardine zur Seite einen kleinen Spalt läßt.
sandmann_3_f000020|Selbst weiß ich nicht, wie ich dazu kam, neugierig durchzublicken.|Selbst weiß ich nicht, wie ich dazu kam, neugierig durchzublicken.
sandmann_3_f000021|Ein hohes, sehr schlank im reinsten Ebenmaß gewachsenes, herrlich gekleidetes Frauenzimmer saß im Zimmer vor einem kleinen Tisch, auf den sie beide Ärme, die Hände zusammengefaltet, gelegt hatte.|Ein hohes, sehr schlank im reinsten Ebenmaß gewachsenes, herrlich gekleidetes Frauenzimmer saß im Zimmer vor einem kleinen Tisch, auf den sie beide Ärme, die Hände zusammengefaltet, gelegt hatte.
sandmann_3_f000022|Sie saß der Türe gegenüber, so, daß ich ihr engelschönes Gesicht ganz erblickte.|Sie saß der Türe gegenüber, so, daß ich ihr engelschönes Gesicht ganz erblickte.
sandmann_3_f000023|Sie schien mich nicht zu bemerken, und überhaupt hatten ihre Augen etwas Starres, beinahe möcht ich sagen, keine Sehkraft, es war mir so, als schliefe sie mit offnen Augen.|Sie schien mich nicht zu bemerken, und überhaupt hatten ihre Augen etwas Starres, beinahe möcht ich sagen, keine Sehkraft, es war mir so, als schliefe sie mit offnen Augen.
sandmann_3_f000024|Mir wurde ganz unheimlich und deshalb schlich ich leise fort ins Auditorium, das daneben gelegen.|Mir wurde ganz unheimlich und deshalb schlich ich leise fort ins Auditorium, das daneben gelegen.
sandmann_3_f000025|Nachher erfuhr ich, daß die Gestalt, die ich gesehen, Spalanzanis Tochter, Olimpia war, die er sonderbarer und schlechter Weise einsperrt, so, daß durchaus kein Mensch in ihre Nähe kommen darf.|Nachher erfuhr ich, daß die Gestalt, die ich gesehen, Spalanzanis Tochter, Olimpia war, die er sonderbarer und schlechter Weise einsperrt, so, daß durchaus kein Mensch in ihre Nähe kommen darf.
sandmann_3_f000026|Am Ende hat es eine Bewandtnis mit ihr, sie ist vielleicht blödsinnig oder sonst.|Am Ende hat es eine Bewandtnis mit ihr, sie ist vielleicht blödsinnig oder sonst.
sandmann_3_f000027|Weshalb schreibe ich Dir aber das alles?|Weshalb schreibe ich Dir aber das alles?
sandmann_3_f000028|Besser und ausführlicher hätte ich Dir das mündlich erzählen können.|Besser und ausführlicher hätte ich Dir das mündlich erzählen können.
sandmann_3_f000029|Wisse nämlich, daß ich über vierzehn Tage bei Euch bin.|Wisse nämlich, daß ich über vierzehn Tage bei Euch bin.
sandmann_3_f000030|Ich muß mein süßes liebes Engelsbild, meine Clara, wiedersehen.|Ich muß mein süßes liebes Engelsbild, meine Clara, wiedersehen.
sandmann_3_f000031|Weggehaucht wird dann die Verstimmung sein, die sich (ich muß das gestehen) nach dem fatalen verständigen Briefe meiner bemeistern wollte.|Weggehaucht wird dann die Verstimmung sein, die sich ich muß das gestehen nach dem fatalen verständigen Briefe meiner bemeistern wollte.
sandmann_3_f000032|Deshalb schreibe ich auch heute nicht an sie. Tausend Grüße etc. etc. etc.|Deshalb schreibe ich auch heute nicht an sie. Tausend Grüße etc. etc. etc.
sandmann_3_f000033|Seltsamer und wunderlicher kann nichts erfunden werden, als dasjenige ist, was sich mit meinem armen Freunde, dem jungen Studenten Nathanael, zugetragen, und was ich dir, günstiger Leser! zu erzählen unternommen.|Seltsamer und wunderlicher kann nichts erfunden werden, als dasjenige ist, was sich mit meinem armen Freunde, dem jungen Studenten Nathanael, zugetragen, und was ich dir, günstiger Leser! zu erzählen unternommen.
sandmann_3_f000034|Hast du, Geneigtester!|Hast du, Geneigtester!
sandmann_3_f000035|wohl jemals etwas erlebt, das deine Brust, Sinn und Gedanken ganz und gar erfüllte, alles andere daraus verdrängend?|wohl jemals etwas erlebt, das deine Brust, Sinn und Gedanken ganz und gar erfüllte, alles andere daraus verdrängend?
sandmann_3_f000036|Es gärte und kochte in dir, zur siedenden Glut entzündet sprang das Blut durch die Adern und färbte höher deine Wangen.|Es gärte und kochte in dir, zur siedenden Glut entzündet sprang das Blut durch die Adern und färbte höher deine Wangen.
sandmann_3_f000037|Dein Blick war so seltsam als wolle er Gestalten, keinem andern Auge sichtbar, im leeren Raum erfassen und die Rede zerfloß in dunkle Seufzer.|Dein Blick war so seltsam als wolle er Gestalten, keinem andern Auge sichtbar, im leeren Raum erfassen und die Rede zerfloß in dunkle Seufzer.
sandmann_3_f000038|Da frugen dich die Freunde: Wie ist Ihnen, Verehrter?|Da frugen dich die Freunde: Wie ist Ihnen, Verehrter?
sandmann_3_f000039|Was haben Sie, Teurer?|Was haben Sie, Teurer?
sandmann_3_f000040|Und nun wolltest du das innere Gebilde mit allen glühenden Farben und Schatten und Lichtern aussprechen und mühtest dich ab, Worte zu finden, um nur anzufangen.|Und nun wolltest du das innere Gebilde mit allen glühenden Farben und Schatten und Lichtern aussprechen und mühtest dich ab, Worte zu finden, um nur anzufangen.
sandmann_3_f000041|Aber es war dir, als müßtest du nun gleich im ersten Wort alles Wunderbare, Herrliche, Entsetzliche, Lustige, Grauenhafte, das sich zugetragen, recht zusammengreifen, so daß es, wie ein elektrischer Schlag, alle treffe.|Aber es war dir, als müßtest du nun gleich im ersten Wort alles Wunderbare, Herrliche, Entsetzliche, Lustige, Grauenhafte, das sich zugetragen, recht zusammengreifen, so daß es, wie ein elektrischer Schlag, alle treffe.
sandmann_3_f000042|Doch jedes Wort, alles was Rede vermag, schien dir farblos und frostig und tot.|Doch jedes Wort, alles was Rede vermag, schien dir farblos und frostig und tot.
sandmann_3_f000043|Du suchst und suchst, und stotterst und stammelst, und die nüchternen Fragen der Freunde schlagen, wie eisige Windeshauche, hinein in deine innere Glut, bis sie verlöschen will.|Du suchst und suchst, und stotterst und stammelst, und die nüchternen Fragen der Freunde schlagen, wie eisige Windeshauche, hinein in deine innere Glut, bis sie verlöschen will.
sandmann_3_f000044|Hattest du aber, wie ein kecker Maler, erst mit einigen verwegenen Strichen, den Umriß deines innern Bildes hingeworfen,|Hattest du aber, wie ein kecker Maler, erst mit einigen verwegenen Strichen, den Umriß deines innern Bildes hingeworfen,
sandmann_3_f000045|so trugst du mit leichter Mühe immer glühender und glühender die Farben auf und das lebendige Gewühl mannigfacher Gestalten riß die Freunde fort und sie sahen,|so trugst du mit leichter Mühe immer glühender und glühender die Farben auf und das lebendige Gewühl mannigfacher Gestalten riß die Freunde fort und sie sahen,
sandmann_3_f000046|wie du, sich selbst mitten im Bilde, das aus deinem Gemüt hervorgegangen!|wie du, sich selbst mitten im Bilde, das aus deinem Gemüt hervorgegangen!
sandmann_3_f000047|Mich hat, wie ich es dir, geneigter Leser!|Mich hat, wie ich es dir, geneigter Leser!
sandmann_3_f000048|gestehen muß, eigentlich niemand nach der Geschichte des jungen Nathanael gefragt; du weißt ja aber wohl, daß ich zu dem wunderlichen Geschlechte der Autoren gehöre, denen,|gestehen muß, eigentlich niemand nach der Geschichte des jungen Nathanael gefragt; du weißt ja aber wohl, daß ich zu dem wunderlichen Geschlechte der Autoren gehöre, denen,
sandmann_3_f000049|tragen sie etwas so in sich, wie ich es vorhin beschrieben, so zumute wird, als frage jeder, der in ihre Nähe kommt und nebenher auch wohl noch die ganze Welt:|tragen sie etwas so in sich, wie ich es vorhin beschrieben, so zumute wird, als frage jeder, der in ihre Nähe kommt und nebenher auch wohl noch die ganze Welt:
sandmann_3_f000050|Was ist es denn? Erzählen Sie Liebster?|Was ist es denn? Erzählen Sie Liebster?
sandmann_3_f000051|So trieb es mich denn gar gewaltig, von Nathanaels verhängnisvollem Leben zu dir zu sprechen.|So trieb es mich denn gar gewaltig, von Nathanaels verhängnisvollem Leben zu dir zu sprechen.
sandmann_3_f000052|Das Wunderbare, Seltsame davon erfüllte meine ganze Seele, aber eben deshalb und weil ich dich, o mein Leser!|Das Wunderbare, Seltsame davon erfüllte meine ganze Seele, aber eben deshalb und weil ich dich, o mein Leser!
sandmann_3_f000053|gleich geneigt machen mußte, Wunderliches zu ertragen, welches nichts Geringes ist, quälte ich mich ab, Nathanaels Geschichte, bedeutend originell, ergreifend, anzufangen: Es war einmal der schönste Anfang jeder Erzählung, zu nüchtern!|gleich geneigt machen mußte, Wunderliches zu ertragen, welches nichts Geringes ist, quälte ich mich ab, Nathanaels Geschichte, bedeutend originell, ergreifend, anzufangen: Es war einmal der schönste Anfang jeder Erzählung, zu nüchtern!
sandmann_3_f000054|In der kleinen Provinzialstadt S. lebte etwas besser, wenigstens ausholend zum Klimax.|In der kleinen Provinzialstadt S. lebte etwas besser, wenigstens ausholend zum Klimax.
sandmann_3_f000055|Oder gleich medias in res: Scher er sich zum Teufel, rief, Wut und Entsetzen im wilden Blick, der Student Nathanael,|Oder gleich medias in res: Scher er sich zum Teufel, rief, Wut und Entsetzen im wilden Blick, der Student Nathanael,
sandmann_3_f000056|als der Wetterglashändler Giuseppe Coppola Das hatte ich in der Tat schon aufgeschrieben, als ich in dem wilden Blick des Studenten Nathanael etwas Possierliches zu verspüren glaubte;|als der Wetterglashändler Giuseppe Coppola Das hatte ich in der Tat schon aufgeschrieben, als ich in dem wilden Blick des Studenten Nathanael etwas Possierliches zu verspüren glaubte;
sandmann_3_f000057|die Geschichte ist aber gar nicht spaßhaft.|die Geschichte ist aber gar nicht spaßhaft.
sandmann_3_f000058|Mir kam keine Rede in den Sinn, die nur im mindesten etwas von dem Farbenglanz des innern Bildes abzuspiegeln schien.|Mir kam keine Rede in den Sinn, die nur im mindesten etwas von dem Farbenglanz des innern Bildes abzuspiegeln schien.
sandmann_3_f000059|Ich beschloß gar nicht anzufangen. Nimm, geneigter Leser!|Ich beschloß gar nicht anzufangen. Nimm, geneigter Leser!
sandmann_3_f000060|die drei Briefe, welche Freund Lothar mir gütigst mitteilte, für den Umriß des Gebildes, in das ich nun erzählend immer mehr und mehr Farbe hineinzutragen mich bemühen werde.|die drei Briefe, welche Freund Lothar mir gütigst mitteilte, für den Umriß des Gebildes, in das ich nun erzählend immer mehr und mehr Farbe hineinzutragen mich bemühen werde.
sandmann_3_f000061|Vielleicht gelingt es mir, manche Gestalt, wie ein guter Porträtmaler, so aufzufassen, daß du es ähnlich findest, ohne das Original zu kennen, ja daß es dir ist, als hättest du die Person recht oft schon mit leibhaftigen Augen gesehen.|Vielleicht gelingt es mir, manche Gestalt, wie ein guter Porträtmaler, so aufzufassen, daß du es ähnlich findest, ohne das Original zu kennen, ja daß es dir ist, als hättest du die Person recht oft schon mit leibhaftigen Augen gesehen.
sandmann_3_f000062|Vielleicht wirst du, o mein Leser!|Vielleicht wirst du, o mein Leser!
sandmann_3_f000063|dann glauben, daß nichts wunderlicher und toller sei, als das wirkliche Leben und daß dieses der Dichter doch nur, wie in eines matt geschliffnen Spiegels dunklem Widerschein, auffassen könne.|dann glauben, daß nichts wunderlicher und toller sei, als das wirkliche Leben und daß dieses der Dichter doch nur, wie in eines matt geschliffnen Spiegels dunklem Widerschein, auffassen könne.
sandmann_3_f000064|Damit klarer werde, was gleich anfangs zu wissen nötig, ist jenen Briefen noch hinzuzufügen, daß bald darauf, als Nathanaels Vater gestorben, Clara und Lothar, Kinder eines weitläuftigen Verwandten, der ebenfalls gestorben und sie verwaist nachgelassen,|Damit klarer werde, was gleich anfangs zu wissen nötig, ist jenen Briefen noch hinzuzufügen, daß bald darauf, als Nathanaels Vater gestorben, Clara und Lothar, Kinder eines weitläuftigen Verwandten, der ebenfalls gestorben und sie verwaist nachgelassen,
sandmann_3_f000065|von Nathanaels Mutter ins Haus genommen wurden.|von Nathanaels Mutter ins Haus genommen wurden.
sandmann_3_f000066|Clara und Nathanael faßten eine heftige Zuneigung zueinander, wogegen kein Mensch auf Erden etwas einzuwenden hatte; sie waren daher Verlobte, als Nathanael den Ort verließ um seine Studien in G. fortzusetzen.|Clara und Nathanael faßten eine heftige Zuneigung zueinander, wogegen kein Mensch auf Erden etwas einzuwenden hatte; sie waren daher Verlobte, als Nathanael den Ort verließ um seine Studien in G. fortzusetzen.
sandmann_3_f000067|Da ist er nun in seinem letzten Brief und hört Kollegia bei dem berühmten Professor Physices, Spalanzani.|Da ist er nun in seinem letzten Brief und hört Kollegia bei dem berühmten Professor Physices, Spalanzani.
sandmann_3_f000068|Nun könnte ich getrost in der Erzählung fortfahren; aber in dem Augenblick steht Claras Bild so lebendig mir vor Augen, daß ich nicht wegschauen kann, so wie es immer geschah, wenn sie mich holdlächelnd anblickte.|Nun könnte ich getrost in der Erzählung fortfahren; aber in dem Augenblick steht Claras Bild so lebendig mir vor Augen, daß ich nicht wegschauen kann, so wie es immer geschah, wenn sie mich holdlächelnd anblickte.
sandmann_3_f000069|Für schön konnte Clara keinesweges gelten; das meinten alle, die sich von Amtswegen auf Schönheit verstehen.|Für schön konnte Clara keinesweges gelten; das meinten alle, die sich von Amtswegen auf Schönheit verstehen.
sandmann_3_f000070|Doch lobten die Architekten die reinen Verhältnisse ihres Wuchses, die Maler fanden Nacken, Schultern und Brust beinahe zu keusch geformt, verliebten sich dagegen sämtlich in das wunderbare Magdalenenhaar und faselten überhaupt viel von Battonischem Kolorit.|Doch lobten die Architekten die reinen Verhältnisse ihres Wuchses, die Maler fanden Nacken, Schultern und Brust beinahe zu keusch geformt, verliebten sich dagegen sämtlich in das wunderbare Magdalenenhaar und faselten überhaupt viel von Battonischem Kolorit.
sandmann_3_f000071|Einer von ihnen, ein wirklicher Fantast, verglich aber höchstseltsamer Weise Claras Augen mit einem See von Ruisdael, in dem sich des wolkenlosen Himmels reines Azur, Wald- und Blumenflur, der reichen Landschaft ganzes buntes, heitres Leben spiegelt.|Einer von ihnen, ein wirklicher Fantast, verglich aber höchstseltsamer Weise Claras Augen mit einem See von Ruisdael, in dem sich des wolkenlosen Himmels reines Azur, Wald- und Blumenflur, der reichen Landschaft ganzes buntes, heitres Leben spiegelt.
sandmann_3_f000072|Dichter und Meister gingen aber weiter und sprachen: Was See was Spiegel!|Dichter und Meister gingen aber weiter und sprachen: Was See was Spiegel!
sandmann_3_f000073|Können wir denn das Mädchen anschauen, ohne daß uns aus ihrem Blick wunderbare himmlische Gesänge und Klänge entgegenstrahlen, die in unser Innerstes dringen, daß da alles wach und rege wird?|Können wir denn das Mädchen anschauen, ohne daß uns aus ihrem Blick wunderbare himmlische Gesänge und Klänge entgegenstrahlen, die in unser Innerstes dringen, daß da alles wach und rege wird?
sandmann_3_f000074|Singen wir selbst dann nichts wahrhaft Gescheutes, so ist überhaupt nicht viel an uns und das lesen wir denn auch deutlich in dem um Claras Lippen schwebenden feinen Lächeln, wenn wir uns unterfangen, ihr etwas vorzuquinkelieren,|Singen wir selbst dann nichts wahrhaft Gescheutes, so ist überhaupt nicht viel an uns und das lesen wir denn auch deutlich in dem um Claras Lippen schwebenden feinen Lächeln, wenn wir uns unterfangen, ihr etwas vorzuquinkelieren,
sandmann_3_f000075|das so tun will als sei es Gesang, unerachtet nur einzelne Töne verworren durcheinander springen.|das so tun will als sei es Gesang, unerachtet nur einzelne Töne verworren durcheinander springen.
sandmann_3_f000076|Es war dem so. Clara hatte die lebenskräftige Fantasie des heitern unbefangenen, kindischen Kindes, ein tiefes weiblich zartes Gemüt, einen gar hellen scharf sichtenden Verstand.|Es war dem so. Clara hatte die lebenskräftige Fantasie des heitern unbefangenen, kindischen Kindes, ein tiefes weiblich zartes Gemüt, einen gar hellen scharf sichtenden Verstand.
sandmann_3_f000077|Die Nebler und Schwebler hatten bei ihr böses Spiel; denn ohne zu viel zu reden, was überhaupt in Claras schweigsamer Natur nicht lag, sagte ihnen der helle Blick, und jenes feine ironische Lächeln: Lieben Freunde!|Die Nebler und Schwebler hatten bei ihr böses Spiel; denn ohne zu viel zu reden, was überhaupt in Claras schweigsamer Natur nicht lag, sagte ihnen der helle Blick, und jenes feine ironische Lächeln: Lieben Freunde!
sandmann_3_f000078|wie möget ihr mir denn zumuten, daß ich eure verfließende Schattengebilde für wahre Gestalten ansehen soll, mit Leben und Regung?|wie möget ihr mir denn zumuten, daß ich eure verfließende Schattengebilde für wahre Gestalten ansehen soll, mit Leben und Regung?
sandmann_3_f000079|Clara wurde deshalb von vielen kalt, gefühllos, prosaisch gescholten; aber andere, die das Leben in klarer Tiefe aufgefaßt, liebten ungemein das gemütvolle, verständige, kindliche Mädchen, doch keiner so sehr,|Clara wurde deshalb von vielen kalt, gefühllos, prosaisch gescholten; aber andere, die das Leben in klarer Tiefe aufgefaßt, liebten ungemein das gemütvolle, verständige, kindliche Mädchen, doch keiner so sehr,
sandmann_3_f000080|als Nathanael, der sich in Wissenschaft und Kunst kräftig und heiter bewegte.|als Nathanael, der sich in Wissenschaft und Kunst kräftig und heiter bewegte.
sandmann_3_f000081|Clara hing an dem Geliebten mit ganzer Seele; die ersten Wolkenschatten zogen durch ihr Leben, als er sich von ihr trennte.|Clara hing an dem Geliebten mit ganzer Seele; die ersten Wolkenschatten zogen durch ihr Leben, als er sich von ihr trennte.
sandmann_3_f000082|Mit welchem Entzücken flog sie in seine Arme, als er nun, wie er im letzten Briefe an Lothar es verheißen, wirklich in seiner Vaterstadt ins Zimmer der Mutter eintrat.|Mit welchem Entzücken flog sie in seine Arme, als er nun, wie er im letzten Briefe an Lothar es verheißen, wirklich in seiner Vaterstadt ins Zimmer der Mutter eintrat.
sandmann_3_f000083|Es geschah so wie Nathanael geglaubt; denn in dem Augenblick, als er Clara wiedersah, dachte er weder an den Advokaten Coppelius, noch an Claras verständigen Brief, jede Verstimmung war verschwunden.|Es geschah so wie Nathanael geglaubt; denn in dem Augenblick, als er Clara wiedersah, dachte er weder an den Advokaten Coppelius, noch an Claras verständigen Brief, jede Verstimmung war verschwunden.
sandmann_3_f000084|Recht hatte aber Nathanael doch, als er seinem Freunde Lothar schrieb, daß des widerwärtigen Wetterglashändlers Coppola Gestalt recht feindlich in sein Leben getreten sei.|Recht hatte aber Nathanael doch, als er seinem Freunde Lothar schrieb, daß des widerwärtigen Wetterglashändlers Coppola Gestalt recht feindlich in sein Leben getreten sei.
sandmann_3_f000085|Alle fühlten das, da Nathanael gleich in den ersten Tagen in seinem ganzen Wesen durchaus verändert sich zeigte.|Alle fühlten das, da Nathanael gleich in den ersten Tagen in seinem ganzen Wesen durchaus verändert sich zeigte.
sandmann_3_f000086|Er versank in düstre Träumereien, und trieb es bald so seltsam, wie man es niemals von ihm gewohnt gewesen.|Er versank in düstre Träumereien, und trieb es bald so seltsam, wie man es niemals von ihm gewohnt gewesen.
sandmann_3_f000087|Alles, das ganze Leben war ihm Traum und Ahnung geworden; immer sprach er davon, wie jeder Mensch, sich frei wähnend, nur dunklen Mächten zum grausamen Spiel diene, vergeblich lehne man sich dagegen auf,|Alles, das ganze Leben war ihm Traum und Ahnung geworden; immer sprach er davon, wie jeder Mensch, sich frei wähnend, nur dunklen Mächten zum grausamen Spiel diene, vergeblich lehne man sich dagegen auf,
sandmann_3_f000088|demütig müsse man sich dem fügen, was das Schicksal verhängt habe.|demütig müsse man sich dem fügen, was das Schicksal verhängt habe.
sandmann_3_f000089|Er ging so weit, zu behaupten, daß es töricht sei, wenn man glaube, in Kunst und Wissenschaft nach selbsttätiger Willkür zu schaffen; denn die Begeisterung, in der man nur zu schaffen fähig sei, komme nicht aus dem eignen Innern,|Er ging so weit, zu behaupten, daß es töricht sei, wenn man glaube, in Kunst und Wissenschaft nach selbsttätiger Willkür zu schaffen; denn die Begeisterung, in der man nur zu schaffen fähig sei, komme nicht aus dem eignen Innern,
sandmann_3_f000090|sondern sei das Einwirken irgend eines außer uns selbst liegenden höheren Prinzips.|sondern sei das Einwirken irgend eines außer uns selbst liegenden höheren Prinzips.
sandmann_3_f000091|Der verständigen Clara war diese mystische Schwärmerei im höchsten Grade zuwider, doch schien es vergebens, sich auf Widerlegung einzulassen.|Der verständigen Clara war diese mystische Schwärmerei im höchsten Grade zuwider, doch schien es vergebens, sich auf Widerlegung einzulassen.
sandmann_3_f000092|Nur dann, wenn Nathanael bewies, daß Coppelius das böse Prinzip sei, was ihn in dem Augenblick erfaßt habe, als er hinter dem Vorhange lauschte, und daß dieser widerwärtige Dämon auf entsetzliche Weise ihr Liebesglück stören werde, da wurde Clara sehr ernst und sprach:|Nur dann, wenn Nathanael bewies, daß Coppelius das böse Prinzip sei, was ihn in dem Augenblick erfaßt habe, als er hinter dem Vorhange lauschte, und daß dieser widerwärtige Dämon auf entsetzliche Weise ihr Liebesglück stören werde, da wurde Clara sehr ernst und sprach:
sandmann_3_f000093|Ja Nathanael! du hast recht, Coppelius ist ein böses feindliches Prinzip, er kann Entsetzliches wirken, wie eine teuflische Macht, die sichtbarlich in das Leben trat, aber nur dann, wenn du ihn nicht aus Sinn und Gedanken verbannst.|Ja Nathanael! du hast recht, Coppelius ist ein böses feindliches Prinzip, er kann Entsetzliches wirken, wie eine teuflische Macht, die sichtbarlich in das Leben trat, aber nur dann, wenn du ihn nicht aus Sinn und Gedanken verbannst.
sandmann_3_f000094|Solange du an ihn glaubst, ist er auch und wirkt, nur dein Glaube ist seine Macht.|Solange du an ihn glaubst, ist er auch und wirkt, nur dein Glaube ist seine Macht.
sandmann_3_f000095|Nathanael, ganz erzürnt, daß Clara die Existenz des Dämons nur in seinem eignen Innern statuiere, wollte dann hervorrücken mit der ganzen mystischen Lehre von Teufeln und grausen Mächten, Clara brach aber verdrüßlich ab,|Nathanael, ganz erzürnt, daß Clara die Existenz des Dämons nur in seinem eignen Innern statuiere, wollte dann hervorrücken mit der ganzen mystischen Lehre von Teufeln und grausen Mächten, Clara brach aber verdrüßlich ab,
sandmann_3_f000096|indem sie irgend etwas Gleichgültiges dazwischen schob, zu Nathanaels nicht geringem Ärger.|indem sie irgend etwas Gleichgültiges dazwischen schob, zu Nathanaels nicht geringem Ärger.
sandmann_3_f000097|Der dachte, kalten unempfänglichen Gemütern verschließen sich solche tiefe Geheimnisse, ohne sich deutlich bewußt zu sein, daß er Clara eben zu solchen untergeordneten Naturen zähle, weshalb er nicht abließ mit Versuchen, sie in jene Geheimnisse einzuweihen.|Der dachte, kalten unempfänglichen Gemütern verschließen sich solche tiefe Geheimnisse, ohne sich deutlich bewußt zu sein, daß er Clara eben zu solchen untergeordneten Naturen zähle, weshalb er nicht abließ mit Versuchen, sie in jene Geheimnisse einzuweihen.
sandmann_3_f000098|Am frühen Morgen, wenn Clara das Frühstück bereiten half, stand er bei ihr und las ihr aus allerlei mystischen Büchern vor, daß Clara bat: Aber lieber Nathanael, wenn ich dich nun das böse Prinzip schelten wollte, das feindlich auf meinen Kaffee wirkt?|Am frühen Morgen, wenn Clara das Frühstück bereiten half, stand er bei ihr und las ihr aus allerlei mystischen Büchern vor, daß Clara bat: Aber lieber Nathanael, wenn ich dich nun das böse Prinzip schelten wollte, das feindlich auf meinen Kaffee wirkt?
sandmann_3_f000099|Denn, wenn ich, wie du es willst, alles stehen und liegen lassen und dir, indem du liesest, in die Augen schauen soll, so läuft mir der Kaffee ins Feuer und ihr bekommt alle kein Frühstück!|Denn, wenn ich, wie du es willst, alles stehen und liegen lassen und dir, indem du liesest, in die Augen schauen soll, so läuft mir der Kaffee ins Feuer und ihr bekommt alle kein Frühstück!
sandmann_3_f000100|Nathanael klappte das Buch heftig zu und rannte voll Unmut fort in sein Zimmer.|Nathanael klappte das Buch heftig zu und rannte voll Unmut fort in sein Zimmer.
sandmann_3_f000101|Sonst hatte er eine besondere Stärke in anmutigen, lebendigen Erzählungen, die er aufschrieb, und die Clara mit dem innigsten Vergnügen anhörte, jetzt waren seine Dichtungen düster, unverständlich, gestaltlos,|Sonst hatte er eine besondere Stärke in anmutigen, lebendigen Erzählungen, die er aufschrieb, und die Clara mit dem innigsten Vergnügen anhörte, jetzt waren seine Dichtungen düster, unverständlich, gestaltlos,
sandmann_3_f000102|so daß, wenn Clara schonend es auch nicht sagte, er doch wohl fühlte, wie wenig sie davon angesprochen wurde.|so daß, wenn Clara schonend es auch nicht sagte, er doch wohl fühlte, wie wenig sie davon angesprochen wurde.
sandmann_3_f000103|Nichts war für Clara tötender, als das Langweilige; in Blick und Rede sprach sich dann ihre nicht zu besiegende geistige Schläfrigkeit aus.|Nichts war für Clara tötender, als das Langweilige; in Blick und Rede sprach sich dann ihre nicht zu besiegende geistige Schläfrigkeit aus.
sandmann_3_f000104|Nathanaels Dichtungen waren in der Tat sehr langweilig.|Nathanaels Dichtungen waren in der Tat sehr langweilig.
