odysseus_01_f000001|Erster Abend.|Erster Abend.
odysseus_09_f000101|Sie ließen sich geduldig die Ohren verkleben, und ich gab Stricke heraus, womit sie mich an den Mastbaum binden mußten.|Sie ließen sich geduldig die Ohren verkleben, und ich gab Stricke heraus, womit sie mich an den Mastbaum binden mußten.
odysseus_09_f000102|So ruderten wir den Sirenen entgegen.|So ruderten wir den Sirenen entgegen.
odysseus_09_f000103|Und siehe, reizende Mädchenköpfe blickten vom grünen Strande her, und zarte Arme, glänzender als Alabaster, streckten sich verlangend nach uns aus.|Und siehe, reizende Mädchenköpfe blickten vom grünen Strande her, und zarte Arme, glänzender als Alabaster, streckten sich verlangend nach uns aus.
odysseus_09_f000104|Aber über alles sanft und melodisch waren die schmelzenden Stimmen, welche von den rosigen Lippen ertönten.|Aber über alles sanft und melodisch waren die schmelzenden Stimmen, welche von den rosigen Lippen ertönten.
odysseus_09_f000105|Komm, so lautete ihr lockender Gesang, komm, preisvoller Odysseus, du berühmtester der Achäer; lenke dein Schiff zu uns her ans Gestade und laß dir unsere Lieder gefallen.|Komm, so lautete ihr lockender Gesang, komm, preisvoller Odysseus, du berühmtester der Achäer; lenke dein Schiff zu uns her ans Gestade und laß dir unsere Lieder gefallen.
odysseus_09_f000106|Noch ist hier keiner vorübergesegelt, der sich nicht derselben erfreut hätte.|Noch ist hier keiner vorübergesegelt, der sich nicht derselben erfreut hätte.
odysseus_09_f000107|Komm, wir wollen dir singen von Troja und von deinen Freunden, von den toten und von den lebenden; denn wir wissen alles, was vorgeht auf dem weiten Raume der Erde, Also sangen jene.|Komm, wir wollen dir singen von Troja und von deinen Freunden, von den toten und von den lebenden; denn wir wissen alles, was vorgeht auf dem weiten Raume der Erde, Also sangen jene.
odysseus_09_f000108|Mich aber ergriff heißes Verlangen noch weiter ihrer Stimme zu lauschen.|Mich aber ergriff heißes Verlangen noch weiter ihrer Stimme zu lauschen.
odysseus_09_f000109|Ich strebte mich loszumachen, ja ich bat die Freunde mit Winken und Mienen, aber sie banden mich nur fester, bis wir die Singenden weit hinter uns hatten und leiser, immer leiser der zauberische Klang verhallte.|Ich strebte mich loszumachen, ja ich bat die Freunde mit Winken und Mienen, aber sie banden mich nur fester, bis wir die Singenden weit hinter uns hatten und leiser, immer leiser der zauberische Klang verhallte.
odysseus_09_f000110|Da erst lösten sie meine Bande und nahmen sich selber das Wachs aus den Ohren.|Da erst lösten sie meine Bande und nahmen sich selber das Wachs aus den Ohren.
odysseus_09_f000111|Als wir danach auf die Insel zusegelten, erblickte ich schon von ferne mit Grausen die schroffen Felsen, und meinen Ruderern erstarrten die Arme, als sie den Donner der wütenden Brandung vernahmen.|Als wir danach auf die Insel zusegelten, erblickte ich schon von ferne mit Grausen die schroffen Felsen, und meinen Ruderern erstarrten die Arme, als sie den Donner der wütenden Brandung vernahmen.
odysseus_09_f000112|Ich ermahnte sie mit aller Anstrengung so schnell als möglich hindurchzurudern, und dem Steuermanne befahl ich, sich auf der rechten Seite zu halten, damit wir nicht in den Strudel der Charybdis hinabgerissen würden.|Ich ermahnte sie mit aller Anstrengung so schnell als möglich hindurchzurudern, und dem Steuermanne befahl ich, sich auf der rechten Seite zu halten, damit wir nicht in den Strudel der Charybdis hinabgerissen würden.
odysseus_09_f000113|Von der fürchterlichen Skylla schwieg ich weislich, sonst hätte mir niemand ferner gerudert, sondern alle hätten sich in dem Schiffsraume verkrochen.|Von der fürchterlichen Skylla schwieg ich weislich, sonst hätte mir niemand ferner gerudert, sondern alle hätten sich in dem Schiffsraume verkrochen.
odysseus_09_f000114|Indem ich nun, völlig gerüstet und zwei Speere in der Hand haltend, auf dem hohen Verdeck da stand und links in den schäumenden Strudel staunend und zagend hinabsah da auf einmal hörte ich ein Wehgeschrei zur Rechten,|Indem ich nun, völlig gerüstet und zwei Speere in der Hand haltend, auf dem hohen Verdeck da stand und links in den schäumenden Strudel staunend und zagend hinabsah da auf einmal hörte ich ein Wehgeschrei zur Rechten,
odysseus_09_f000115|und siehe, das fürchterliche Ungeheuer zog eben mit seinen sechs Rachen sechs meiner besten Ruderer in die Luft, wie ein Fischer den zappelnden Fisch an der Angel hinaufschwingt.|und siehe, das fürchterliche Ungeheuer zog eben mit seinen sechs Rachen sechs meiner besten Ruderer in die Luft, wie ein Fischer den zappelnden Fisch an der Angel hinaufschwingt.
odysseus_09_f000116|Wir alle erschraken und jammerten laut; die armen Ergriffenen riefen mich flehend um Hilfe an, aber was konnte ich thun?|Wir alle erschraken und jammerten laut; die armen Ergriffenen riefen mich flehend um Hilfe an, aber was konnte ich thun?
odysseus_09_f000117|Ich mußte nur treiben, daß das Schiff vorwärts kam, damit wir in der furchtbaren Kluft nicht noch mehr Unheil erlebten.|Ich mußte nur treiben, daß das Schiff vorwärts kam, damit wir in der furchtbaren Kluft nicht noch mehr Unheil erlebten.
odysseus_09_f000118|Endlich kamen wir glücklich hinaus und wendeten unsere Augen an dem herrlichen Anblick der grünen Hügel Thrinakias, von denen wir schon im Schiffe das Gebrüll der herrlichen Rinder und das friedliche Geblök der Schafherden hörten.|Endlich kamen wir glücklich hinaus und wendeten unsere Augen an dem herrlichen Anblick der grünen Hügel Thrinakias, von denen wir schon im Schiffe das Gebrüll der herrlichen Rinder und das friedliche Geblök der Schafherden hörten.
odysseus_09_f000119|Helios, der Sonnengott, hatte diese Herden der Hut zweier Nymphen übergeben und ergötzte sich an ihnen, so oft er seinen goldenen Wagen über Thrinakias Berge hinlenkte.|Helios, der Sonnengott, hatte diese Herden der Hut zweier Nymphen übergeben und ergötzte sich an ihnen, so oft er seinen goldenen Wagen über Thrinakias Berge hinlenkte.
odysseus_09_f000120|Nimmer vermehrten oder verminderten sie sich, denn ihre Zahl war abgemessen, auch alterten sie nicht, sondern glänzten in unvergänglicher Jugendfülle.|Nimmer vermehrten oder verminderten sie sich, denn ihre Zahl war abgemessen, auch alterten sie nicht, sondern glänzten in unvergänglicher Jugendfülle.
odysseus_09_f000121|Freunde, sprach ich, das ist die Insel, an die unser Schicksal geknüpft ist.|Freunde, sprach ich, das ist die Insel, an die unser Schicksal geknüpft ist.
odysseus_09_f000122|Schon sehe ich die verführerischen Herden des Helios, auf deren Berührung der Tod steht.|Schon sehe ich die verführerischen Herden des Helios, auf deren Berührung der Tod steht.
odysseus_09_f000123|Laßt uns lieber der Versuchung entfliehen und steuert an dieser Küste vorbei; wir finden ja wohl ein anderes Eiland, um anlegen zu können.|Laßt uns lieber der Versuchung entfliehen und steuert an dieser Küste vorbei; wir finden ja wohl ein anderes Eiland, um anlegen zu können.
odysseus_09_f000124|Aber das war ihnen eine unwillkommene Rede.|Aber das war ihnen eine unwillkommene Rede.
odysseus_09_f000125|Ein allgemeines Murren erhob sich, und der widerspenstige Eurylochos nahm das Wort und sprach: Grausamer Mann, du trotzest vor Mut, denn dir erschlafft nie ein Gelenk, du bist wie von Stahl und Eisen.|Ein allgemeines Murren erhob sich, und der widerspenstige Eurylochos nahm das Wort und sprach: Grausamer Mann, du trotzest vor Mut, denn dir erschlafft nie ein Gelenk, du bist wie von Stahl und Eisen.
odysseus_09_f000126|Aber wir andern alle sind von der schweren Arbeit so ermattet, daß wir nicht weiter können, und du willst uns nicht einmal die nötige Erquickung vergönnen?|Aber wir andern alle sind von der schweren Arbeit so ermattet, daß wir nicht weiter können, und du willst uns nicht einmal die nötige Erquickung vergönnen?
odysseus_09_f000127|Blind sollen wir in die Nacht hineinrudern, wo wir weder Weg noch Steg kennen und wo wir verloren sind, sobald sich nur ein widriger Wind erhebt!|Blind sollen wir in die Nacht hineinrudern, wo wir weder Weg noch Steg kennen und wo wir verloren sind, sobald sich nur ein widriger Wind erhebt!
odysseus_09_f000128|Laß uns doch wenigstens ans Land stoßen, damit wir dort etwas Nahrung zu uns nehmen und die Nacht bei dem Schiffe ausruhen.|Laß uns doch wenigstens ans Land stoßen, damit wir dort etwas Nahrung zu uns nehmen und die Nacht bei dem Schiffe ausruhen.
odysseus_09_f000129|Morgen mit dem Frühesten können wir ja dann wieder einsteigen und ins offene Meer steuern.|Morgen mit dem Frühesten können wir ja dann wieder einsteigen und ins offene Meer steuern.
odysseus_09_f000130|Alle stimmten in dies Verlangen ein, und ich sah nun wohl, daß ein Gott mir zuwider war und Böses über uns verhängte.|Alle stimmten in dies Verlangen ein, und ich sah nun wohl, daß ein Gott mir zuwider war und Böses über uns verhängte.
odysseus_09_f000131|Da sprach ich zu ihnen: Ihr alle zwingt mich Einzelnen leicht zum Gehorsam; allein schwört mir keines jener Tiere anzurühren, sondern euch mit der Speise zu begnügen, welche uns Kirke mitgegeben hat.|Da sprach ich zu ihnen: Ihr alle zwingt mich Einzelnen leicht zum Gehorsam; allein schwört mir keines jener Tiere anzurühren, sondern euch mit der Speise zu begnügen, welche uns Kirke mitgegeben hat.
odysseus_09_f000132|Das schwuren sie bereitwillig, und so legte der Steuermann am Ufer an.|Das schwuren sie bereitwillig, und so legte der Steuermann am Ufer an.
odysseus_09_f000133|Wir stiegen aus und aßen zu Nacht.|Wir stiegen aus und aßen zu Nacht.
odysseus_09_f000134|Dann schütteten wir im Gespräch den Gram des Herzens aus über den schrecklichen Tod unserer lieben Gefährten, und spät erst stillte der süßbetäubende Schlummer unsere Thränen.|Dann schütteten wir im Gespräch den Gram des Herzens aus über den schrecklichen Tod unserer lieben Gefährten, und spät erst stillte der süßbetäubende Schlummer unsere Thränen.
odysseus_09_f000135|Aber ach, welch ein Erwachen stand uns bevor!|Aber ach, welch ein Erwachen stand uns bevor!
odysseus_09_f000136|Noch war die Nacht nicht vorüber und die letzten Sterne funkelten noch am Himmel, als ein ungeheurer Orkan sich erhob und Meer und Land sich in dickes, schwarzes Gewölk verhüllte.|Noch war die Nacht nicht vorüber und die letzten Sterne funkelten noch am Himmel, als ein ungeheurer Orkan sich erhob und Meer und Land sich in dickes, schwarzes Gewölk verhüllte.
odysseus_09_f000137|Mit dem Anbruch des Morgens zogen wir unter fürchterlichem Regen das Schiff in eine Felsgrotte und bargen uns selbst, so gut wir konnten.|Mit dem Anbruch des Morgens zogen wir unter fürchterlichem Regen das Schiff in eine Felsgrotte und bargen uns selbst, so gut wir konnten.
odysseus_09_f000138|Freunde, sprach ich, wir kommen heute nicht fort von dieser Insel, aber wir haben zum Glück noch Vorrat von Speise und Trank im Schiffe.|Freunde, sprach ich, wir kommen heute nicht fort von dieser Insel, aber wir haben zum Glück noch Vorrat von Speise und Trank im Schiffe.
odysseus_09_f000139|Darum beschwöre ich euch nochmals, rühre mir keiner die heiligen Stiere an, damit uns nichts Böses begegne.|Darum beschwöre ich euch nochmals, rühre mir keiner die heiligen Stiere an, damit uns nichts Böses begegne.
odysseus_09_f000140|Sie alle versprachen's und ich beruhigte mich.|Sie alle versprachen's und ich beruhigte mich.
odysseus_09_f000141|Aber den ganzen Monat hindurch wechselte Südwind mit rauhem Ostwinde, und wir mußten noch immer liegen bleiben.|Aber den ganzen Monat hindurch wechselte Südwind mit rauhem Ostwinde, und wir mußten noch immer liegen bleiben.
odysseus_09_f000142|So lange es an Speise und Wein nicht fehlte, schonten meine Gefährten der Rinder in ängstlicher Sorge für ihr eigenes Wohl.|So lange es an Speise und Wein nicht fehlte, schonten meine Gefährten der Rinder in ängstlicher Sorge für ihr eigenes Wohl.
odysseus_09_f000143|Als aber endlich der ganze Vorrat verzehrt war, da zerstreuten sie sich und suchten kümmerlich Muscheln zu ihrer Nahrung, oder sie fingen sich Fische oder schossen einmal einen Vogel aus der Luft.|Als aber endlich der ganze Vorrat verzehrt war, da zerstreuten sie sich und suchten kümmerlich Muscheln zu ihrer Nahrung, oder sie fingen sich Fische oder schossen einmal einen Vogel aus der Luft.
odysseus_09_f000144|Allein das alles reichte nicht hin den nagenden Hunger zu stillen.|Allein das alles reichte nicht hin den nagenden Hunger zu stillen.
odysseus_09_f000145|Da ging ich einmal weit weg vom Schiffe, trat ans Ufer, wusch die Hände in der heiligen Meeresflut und flehte lange und inbrünstig zu den Göttern, meinem Elend ein Ende zu machen.|Da ging ich einmal weit weg vom Schiffe, trat ans Ufer, wusch die Hände in der heiligen Meeresflut und flehte lange und inbrünstig zu den Göttern, meinem Elend ein Ende zu machen.
odysseus_09_f000146|Und als ich so heiß gebetet hatte, überfiel mich ein tiefer Schlaf, und ich sank ermattet am Gestade nieder.|Und als ich so heiß gebetet hatte, überfiel mich ein tiefer Schlaf, und ich sank ermattet am Gestade nieder.
odysseus_09_f000147|Inzwischen erwachte in meinen Gefährten die böse Begierde ihren Schwur zu brechen.|Inzwischen erwachte in meinen Gefährten die böse Begierde ihren Schwur zu brechen.
odysseus_09_f000148|Vorzüglich ermunterte jener Eurylochos sie mit trüglichen Worten zum Ungehorsam.|Vorzüglich ermunterte jener Eurylochos sie mit trüglichen Worten zum Ungehorsam.
odysseus_09_f000149|Wie? sagte er, ist uns einmal der Tod bestimmt, so mag uns Zeus lieber auf einmal im Schiffe zerschmettern, als daß wir hier langsam von des Hungers fürchterlichster Qual verzehrt werden.|Wie? sagte er, ist uns einmal der Tod bestimmt, so mag uns Zeus lieber auf einmal im Schiffe zerschmettern, als daß wir hier langsam von des Hungers fürchterlichster Qual verzehrt werden.
odysseus_09_f000150|In dieser Not kann der Raub kein Unrecht mehr sein.|In dieser Not kann der Raub kein Unrecht mehr sein.
odysseus_09_f000151|Auf! laßt uns einige jener Stiere fangen und opfern, und dem beleidigten Sonnengott einen stattlichen Tempel in Ithaka geloben, sobald wir glücklich nach Hause gekommen sein werden.|Auf! laßt uns einige jener Stiere fangen und opfern, und dem beleidigten Sonnengott einen stattlichen Tempel in Ithaka geloben, sobald wir glücklich nach Hause gekommen sein werden.
odysseus_09_f000152|Leicht waren die Gemüter überredet.|Leicht waren die Gemüter überredet.
odysseus_09_f000153|Die besten Rinder wurden gefangen und den Göttern unter Gebet und Gelübden geopfert.|Die besten Rinder wurden gefangen und den Göttern unter Gebet und Gelübden geopfert.
odysseus_09_f000154|Statt der heiligen Gerste streuten sie zartes Eichenlaub unter, und statt des Weines besprengten sie die Eingeweide mit Wasser.|Statt der heiligen Gerste streuten sie zartes Eichenlaub unter, und statt des Weines besprengten sie die Eingeweide mit Wasser.
odysseus_09_f000155|Eben als auf kunstlosem Altare die fetten Hüftenstücke bratend aufdampften, erwachte ich von meinem langen Schlummer und lief eilig herbei.|Eben als auf kunstlosem Altare die fetten Hüftenstücke bratend aufdampften, erwachte ich von meinem langen Schlummer und lief eilig herbei.
odysseus_09_f000156|Götter! wie ward mir, als mir der unerwartete Duft schon von ferne entgegenwehte!|Götter! wie ward mir, als mir der unerwartete Duft schon von ferne entgegenwehte!
odysseus_09_f000157|Vergebens zürnte ich mir selbst, daß ich mich so weit entfernt hatte, vergebens schalt ich die Gefährten; ach, nun war ja alles zu spät!|Vergebens zürnte ich mir selbst, daß ich mich so weit entfernt hatte, vergebens schalt ich die Gefährten; ach, nun war ja alles zu spät!
odysseus_09_f000158|Aber Kalypso hat mir nachher erzählt, wie die Nymphen sogleich den Raub angezeigt, wie mich Helios darauf beim Zeus verklagt und gedroht, wenn er nicht Genugthuung erhalte,|Aber Kalypso hat mir nachher erzählt, wie die Nymphen sogleich den Raub angezeigt, wie mich Helios darauf beim Zeus verklagt und gedroht, wenn er nicht Genugthuung erhalte,
odysseus_09_f000159|so wolle er nicht mehr den Göttern und Menschen, sondern nur den Unterirdischen leuchten;|so wolle er nicht mehr den Göttern und Menschen, sondern nur den Unterirdischen leuchten;
odysseus_09_f000160|darauf habe Zeus ihm heilig versprochen mein ganzes Schiff zu zertrümmern, sobald ich mich wieder auf dem Meere würde sehen lassen.|darauf habe Zeus ihm heilig versprochen mein ganzes Schiff zu zertrümmern, sobald ich mich wieder auf dem Meere würde sehen lassen.
odysseus_09_f000161|Ach, ich armer Mann, was sollte ich noch alles erdulden!|Ach, ich armer Mann, was sollte ich noch alles erdulden!
odysseus_09_f000162|Hätte ich's vorher gewußt, ich hätte es für unmöglich gehalten.|Hätte ich's vorher gewußt, ich hätte es für unmöglich gehalten.
odysseus_09_f000163|Nur sechs Tage reichte das Fleisch der Rinder zu, aber am siebenten legte sich der Ostwind, und der Himmel versprach uns eine ruhige Fahrt.|Nur sechs Tage reichte das Fleisch der Rinder zu, aber am siebenten legte sich der Ostwind, und der Himmel versprach uns eine ruhige Fahrt.
odysseus_09_f000164|Wir stiegen also schnell ein und eilten mit schimmernden Segeln der vaterländischen Küste zu.|Wir stiegen also schnell ein und eilten mit schimmernden Segeln der vaterländischen Küste zu.
odysseus_09_f000165|Indessen waren wir nicht lange gefahren, als sich plötzlich ein gewaltiger Westwind erhob, der dunkle Gewitterwolken über uns auftürmte.|Indessen waren wir nicht lange gefahren, als sich plötzlich ein gewaltiger Westwind erhob, der dunkle Gewitterwolken über uns auftürmte.
odysseus_09_f000166|Unter den Schlägen des Donners und dem Geheul des Sturms schwankte unser schwaches Fahrzeug hin und her und füllte sich ganz mit Wasser.|Unter den Schlägen des Donners und dem Geheul des Sturms schwankte unser schwaches Fahrzeug hin und her und füllte sich ganz mit Wasser.
odysseus_09_f000167|Und auf einmal mit lautem Gekrach brach der Mast mitten entzwei und erschlug im Fallen den Steuermann, daß er kopfüber ins Meer stürzte.|Und auf einmal mit lautem Gekrach brach der Mast mitten entzwei und erschlug im Fallen den Steuermann, daß er kopfüber ins Meer stürzte.
odysseus_09_f000168|Und gleich darauf zuckte ein fürchterlicher Blitz herunter, schlug mir die Wände des Schiffs platt ab, und alle Gefährten stürzten hinaus, wie sie auf den Ruderbänken gesessen hatten.|Und gleich darauf zuckte ein fürchterlicher Blitz herunter, schlug mir die Wände des Schiffs platt ab, und alle Gefährten stürzten hinaus, wie sie auf den Ruderbänken gesessen hatten.
odysseus_09_f000169|Schwimmend tauchten sie rings um die Trümmer des Schiffes noch eine Weile auf, faßten auch wohl in der Angst ein Brett, aber bald entfloh einem nach dem andern kraftlos der Atem.|Schwimmend tauchten sie rings um die Trümmer des Schiffes noch eine Weile auf, faßten auch wohl in der Angst ein Brett, aber bald entfloh einem nach dem andern kraftlos der Atem.
odysseus_09_f000170|Ich hatte mich fest an den Kiel geklammert, und als ich den zerbrochenen Mastbaum, welcher neben mir schwamm, mit dem großen Segeltaue erreichen konnte, nahm ich dasselbe und band den Kiel mit dem Mastbaum zusammen.|Ich hatte mich fest an den Kiel geklammert, und als ich den zerbrochenen Mastbaum, welcher neben mir schwamm, mit dem großen Segeltaue erreichen konnte, nahm ich dasselbe und band den Kiel mit dem Mastbaum zusammen.
odysseus_09_f000171|Auf diesem elenden Floß suchte ich mich mühsam zu erhalten, da verwandelte sich der Westwind plötzlich in Süd und trieb mich in gerader Richtung wieder in die Meerenge der Skylla zurück.|Auf diesem elenden Floß suchte ich mich mühsam zu erhalten, da verwandelte sich der Westwind plötzlich in Süd und trieb mich in gerader Richtung wieder in die Meerenge der Skylla zurück.
odysseus_09_f000172|Nur warf mich die Flut diesmal mehr nach dem Strudel der Charybdis hin.|Nur warf mich die Flut diesmal mehr nach dem Strudel der Charybdis hin.
odysseus_09_f000173|Mir gleichviel! Denn hier wie dort schien ich verloren; nur ein Wunder konnte mich retten. Und siehe!|Mir gleichviel! Denn hier wie dort schien ich verloren; nur ein Wunder konnte mich retten. Und siehe!
odysseus_09_f000174|Es war aus einer mit Moos und Erde bedeckten Klippe, welche dicht über dem Schlunde der Charybdis hing, ein Feigenbaum hervorgewachsen.|Es war aus einer mit Moos und Erde bedeckten Klippe, welche dicht über dem Schlunde der Charybdis hing, ein Feigenbaum hervorgewachsen.
odysseus_09_f000175|Als nun der jähe Wirbel des Stromes mich in den Abgrund schleudern wollte, ergriff ich mit beiden Händen den schlanken Stamm und schwang mich schnell auch mit den Beinen hinauf.|Als nun der jähe Wirbel des Stromes mich in den Abgrund schleudern wollte, ergriff ich mit beiden Händen den schlanken Stamm und schwang mich schnell auch mit den Beinen hinauf.
odysseus_09_f000176|Hier schwebte ich zwischen Tod und Leben, indes mein Floß in die Tiefe versunken war.|Hier schwebte ich zwischen Tod und Leben, indes mein Floß in die Tiefe versunken war.
odysseus_09_f000177|Aber ich wußte, daß das Ungeheuer alles bald wieder ausspeie, und so hoffte ich denn mein treues Floß, meine einzige Rettung, auch bald wieder hervortauchen zu sehen.|Aber ich wußte, daß das Ungeheuer alles bald wieder ausspeie, und so hoffte ich denn mein treues Floß, meine einzige Rettung, auch bald wieder hervortauchen zu sehen.
odysseus_09_f000178|Es kam glücklich zurück; ich wagte den schnellen Sprung, klammerte mich fest an dasselbe und ward durch dieselbe Gewalt des Strudels wieder aus der Kluft hinaus ins hohe Meer getrieben.|Es kam glücklich zurück; ich wagte den schnellen Sprung, klammerte mich fest an dasselbe und ward durch dieselbe Gewalt des Strudels wieder aus der Kluft hinaus ins hohe Meer getrieben.
odysseus_09_f000179|Der Sturm hatte sich unterdessen gelegt, und ich ruderte nun auf gut Glück mit bloßen Händen neun Tage auf dem Meere umher, fast aufgerieben vom grimmigsten Hunger.|Der Sturm hatte sich unterdessen gelegt, und ich ruderte nun auf gut Glück mit bloßen Händen neun Tage auf dem Meere umher, fast aufgerieben vom grimmigsten Hunger.
odysseus_09_f000180|Am zehnten Tage erreichte ich glücklich das Land.|Am zehnten Tage erreichte ich glücklich das Land.
odysseus_09_f000181|Es war die Insel Ogygia, wo Kalypso wohnt, die mich neun Jahre allein dort festgehalten hat, wie ich euch gestern schon erzählt habe.|Es war die Insel Ogygia, wo Kalypso wohnt, die mich neun Jahre allein dort festgehalten hat, wie ich euch gestern schon erzählt habe.
odysseus_09_f000182|Was soll ich es also wiederholen?|Was soll ich es also wiederholen?
odysseus_09_f000183|Ohnehin ist Mitternacht schon vorüber, und die sinkenden Sterne mahnen zum Schlummer.|Ohnehin ist Mitternacht schon vorüber, und die sinkenden Sterne mahnen zum Schlummer.
odysseus_10_f000001|Zehnter Abend.|Zehnter Abend.
odysseus_10_f000002|Auf dem Boden der Heimat.|Auf dem Boden der Heimat.
odysseus_10_f000003|Noch waren alle Augen unverwandt auf den Erzähler gerichtet, der so wunderbare Schicksale und Abenteuer bestanden und sich aus allen mit so großer Kühnheit und Besonnenheit gerettet hatte.|Noch waren alle Augen unverwandt auf den Erzähler gerichtet, der so wunderbare Schicksale und Abenteuer bestanden und sich aus allen mit so großer Kühnheit und Besonnenheit gerettet hatte.
odysseus_10_f000004|Alkinoos, wie reichlich er auch seinen Gast bereits beschenkt hatte, glaubte doch solch einen Mann noch höher ehren zu müssen und schlug daher vor,|Alkinoos, wie reichlich er auch seinen Gast bereits beschenkt hatte, glaubte doch solch einen Mann noch höher ehren zu müssen und schlug daher vor,
odysseus_10_f000005|daß jeder der zwölf Fürsten noch ein dreifüßiges ehernes Geschirr und ein Becken zu den früheren Geschenken hinzufügen solle.|daß jeder der zwölf Fürsten noch ein dreifüßiges ehernes Geschirr und ein Becken zu den früheren Geschenken hinzufügen solle.
odysseus_10_f000006|Sie waren's alle zufrieden und verließen den Palast, um sich in ihren Wohnungen zur Ruhe zu begeben.|Sie waren's alle zufrieden und verließen den Palast, um sich in ihren Wohnungen zur Ruhe zu begeben.
odysseus_10_f000007|Mit dem Anbruch der Morgenröte waren sie wieder beisammen.|Mit dem Anbruch der Morgenröte waren sie wieder beisammen.
odysseus_10_f000008|Ein jeder kam mit seinem Geschenke, und Alkinoos selber stieg in das Schiff, besah es überall und ließ sich die Sachen hineinreichen, um sie an die bequemsten Orte unter den Ruderbänken zu packen,|Ein jeder kam mit seinem Geschenke, und Alkinoos selber stieg in das Schiff, besah es überall und ließ sich die Sachen hineinreichen, um sie an die bequemsten Orte unter den Ruderbänken zu packen,
odysseus_10_f000009|damit sie weder dem Odysseus noch den Rudernden im Wege stünden.|damit sie weder dem Odysseus noch den Rudernden im Wege stünden.
odysseus_10_f000010|Darauf versammelten sich alle die Fürsten und Edeln noch einmal zum Abschiedsopfer im Königspalaste, wo Alkinoos dem Zeus ein junges Rind opferte und das Fleisch davon seinen Gästen zum besten gab.|Darauf versammelten sich alle die Fürsten und Edeln noch einmal zum Abschiedsopfer im Königspalaste, wo Alkinoos dem Zeus ein junges Rind opferte und das Fleisch davon seinen Gästen zum besten gab.
odysseus_10_f000011|Die Herolde mischten Wein, auch sang der treffliche Sänger wieder.|Die Herolde mischten Wein, auch sang der treffliche Sänger wieder.
odysseus_10_f000012|Odysseus aber sehnte sich ungeduldig nach der Heimkehr und redete den König also an: Hochgepriesener Held Alkinoos, mächtigster König, und ihr übrigen Fürsten der Phäaken, entsendet mich jetzt, da alles vollbracht ist, was mein Herz sich gewünscht hat.|Odysseus aber sehnte sich ungeduldig nach der Heimkehr und redete den König also an: Hochgepriesener Held Alkinoos, mächtigster König, und ihr übrigen Fürsten der Phäaken, entsendet mich jetzt, da alles vollbracht ist, was mein Herz sich gewünscht hat.
odysseus_10_f000013|Ich habe nun eine sichere Fahrt und werte Geschenke.|Ich habe nun eine sichere Fahrt und werte Geschenke.
odysseus_10_f000014|Mögen mir die Götter eure Gaben segnen, und möchte ich zu Hause meine Gattin und alle Freunde wohlbehalten antreffen!|Mögen mir die Götter eure Gaben segnen, und möchte ich zu Hause meine Gattin und alle Freunde wohlbehalten antreffen!
odysseus_10_f000015|Ihr aber, die ich jetzt verlasse, beglückt die Weiber eurer Jugend und die teuren Kinder lange in Freude!|Ihr aber, die ich jetzt verlasse, beglückt die Weiber eurer Jugend und die teuren Kinder lange in Freude!
odysseus_10_f000016|Die gütigen Götter mögen euch Heil und Tugend verleihen, und nimmer erhebe sich Böses im Volke!|Die gütigen Götter mögen euch Heil und Tugend verleihen, und nimmer erhebe sich Böses im Volke!
odysseus_10_f000017|Allen gefiel diese herzliche und verständige Rede.|Allen gefiel diese herzliche und verständige Rede.
odysseus_10_f000018|Der König gab hierauf den Wink zum Aufbruch, doch mußte der Herold noch einmal zum letzten Sprengopfer den Gästen Wein herumreichen.|Der König gab hierauf den Wink zum Aufbruch, doch mußte der Herold noch einmal zum letzten Sprengopfer den Gästen Wein herumreichen.
odysseus_10_f000019|Jeder sprengte von seinem Sitze den seligen Göttern mit halblautem Gebete.|Jeder sprengte von seinem Sitze den seligen Göttern mit halblautem Gebete.
odysseus_10_f000020|Da stand Odysseus auf, reichte seinen Becher der Arete zum Abschiedstrunke und sprach zu ihr die freundlichen Worte: Leb auf immer wohl, o Königin, bis Alter und Tod sanft über dich kommen, die ja allen Menschen bevorstehen.|Da stand Odysseus auf, reichte seinen Becher der Arete zum Abschiedstrunke und sprach zu ihr die freundlichen Worte: Leb auf immer wohl, o Königin, bis Alter und Tod sanft über dich kommen, die ja allen Menschen bevorstehen.
odysseus_10_f000021|Jetzt muß ich von dir scheiden; du aber freue dich lange hier im Palaste deiner Kinder, deines Gemahls und deines Volkes.|Jetzt muß ich von dir scheiden; du aber freue dich lange hier im Palaste deiner Kinder, deines Gemahls und deines Volkes.
odysseus_10_f000022|Er ging nun eilig davon, und ein Herold begleitete ihn an den Strand.|Er ging nun eilig davon, und ein Herold begleitete ihn an den Strand.
odysseus_10_f000023|Auch sandte die Königin noch drei Mägde, um ihm die saubern Gewänder und die Reisezehrung nachzutragen.|Auch sandte die Königin noch drei Mägde, um ihm die saubern Gewänder und die Reisezehrung nachzutragen.
odysseus_10_f000024|Sie legten alles ordentlich im Schiffe beiseite, und für Odysseus breiteten sie auf dem Steuerdeck ein zottiges Fell und eine Decke aus, damit er ruhig schlafen könne.|Sie legten alles ordentlich im Schiffe beiseite, und für Odysseus breiteten sie auf dem Steuerdeck ein zottiges Fell und eine Decke aus, damit er ruhig schlafen könne.
