ferien_vom_ich_001_f000001|Abschnitt 1.|Abschnitt eins.
ferien_vom_ich_011_f000026|Er wolle ein für die Neustädter sehr demütigendes Dokument aufsetzen, das die Gefangenen unterzeichnen und in dem sie ihre völlige Niederlage zugeben müßten, und dieses Dokument solle in der Räuberhöhle unter Glas und Rahmen aufbewahrt werden als ein Zeichen, daß der langjährige Kampf zwischen Waltersburg und Neustadt mit dem endgültigen Sieg der Waltersburger geendet habe.|Er wolle ein für die Neustädter sehr demütigendes Dokument aufsetzen, das die Gefangenen unterzeichnen und in dem sie ihre völlige Niederlage zugeben müßten, und dieses Dokument solle in der Räuberhöhle unter Glas und Rahmen aufbewahrt werden als ein Zeichen, daß der langjährige Kampf zwischen Waltersburg und Neustadt mit dem endgültigen Sieg der Waltersburger geendet habe.
ferien_vom_ich_011_f000027|Dem unbequemen Mitbewerber um Pauline aber werde man zu einem unfreiwilligen Bad im Bach verhelfen, wodurch alle wärmeren Gefühle, die die Jungfrau etwa in ihrem Herzen noch für den Gastwirt hegen sollte, abgekühlt werden würden; denn er, Piesecke, wisse aus seinem eigenen bewegten Leben aus vielen Fällen, daß nichts so sicher die Liebe des Weibes ertötet, als wenn der Geliebte vor ihr lächerlich wird.|Dem unbequemen Mitbewerber um Pauline aber werde man zu einem unfreiwilligen Bad im Bach verhelfen, wodurch alle wärmeren Gefühle, die die Jungfrau etwa in ihrem Herzen noch für den Gastwirt hegen sollte, abgekühlt werden würden; denn er, Piesecke, wisse aus seinem eigenen bewegten Leben aus vielen Fällen, daß nichts so sicher die Liebe des Weibes ertötet, als wenn der Geliebte vor ihr lächerlich wird.
ferien_vom_ich_011_f000028|Während dieser Ausführungen hatte Emmerich bereits auf dem Tisch einen Siegesmarsch komponiert und Methusalem auf der einen weißgetünchten Wand die Umrisse zu einem Triptychon großen Umfangs entworfen.|Während dieser Ausführungen hatte Emmerich bereits auf dem Tisch einen Siegesmarsch komponiert und Methusalem auf der einen weißgetünchten Wand die Umrisse zu einem Triptychon großen Umfangs entworfen.
ferien_vom_ich_011_f000029|Die Seitenteile des Bildes sollten die Tücke und der Kampf heißen, das Mittelstück aber Der Sieg.|Die Seitenteile des Bildes sollten die Tücke und der Kampf heißen, das Mittelstück aber Der Sieg.
ferien_vom_ich_011_f000030|Die Tücke würde Anton und Pauline im Dämmerlicht dahinwandelnd und von den Neustädter Unholden belauert zeigen, der Kampf eine besonders dramatische Szene aus der Waldschlacht darstellen und das Mittelstück den Sieg Waltersburgs in großer Apotheose feiern.|Die Tücke würde Anton und Pauline im Dämmerlicht dahinwandelnd und von den Neustädter Unholden belauert zeigen, der Kampf eine besonders dramatische Szene aus der Waldschlacht darstellen und das Mittelstück den Sieg Waltersburgs in großer Apotheose feiern.
ferien_vom_ich_011_f000031|Das Mittelstück war schon etwas ausgeführt.|Das Mittelstück war schon etwas ausgeführt.
ferien_vom_ich_011_f000032|Im Hintergrund der Forellenhof, auf einem Roß Piesecke als Triumphator voranreitend, ihm folgend Anton und Pauline mit Kränzen im Haar; als nächstes Paar die Vertreter der Künste, Emmerich mit der Harfe und Methusalem selbst mit einem Farbentopf und Pinsel, zuletzt die bärenhäutigen Kriegsgenossen.|Im Hintergrund der Forellenhof, auf einem Roß Piesecke als Triumphator voranreitend, ihm folgend Anton und Pauline mit Kränzen im Haar; als nächstes Paar die Vertreter der Künste, Emmerich mit der Harfe und Methusalem selbst mit einem Farbentopf und Pinsel, zuletzt die bärenhäutigen Kriegsgenossen.
ferien_vom_ich_011_f000033|Und nun mußte die ganze Kriegsgenossenschaft stundenlang stillsitzen, da der Maler sie zeichnete.|Und nun mußte die ganze Kriegsgenossenschaft stundenlang stillsitzen, da der Maler sie zeichnete.
ferien_vom_ich_011_f000034|Emmerich benutzte die Zeit, ihnen seinen Siegesmarsch, zu dem er rasch eine Textunterlage geschaffen hatte, einzuüben.|Emmerich benutzte die Zeit, ihnen seinen Siegesmarsch, zu dem er rasch eine Textunterlage geschaffen hatte, einzuüben.
ferien_vom_ich_011_f000035|So, sagte nach einer Stunde Methusalem, der Sieg ist ganz und die Tücke teilweise gesichert; fehlt bloß der Kampf.|So, sagte nach einer Stunde Methusalem, der Sieg ist ganz und die Tücke teilweise gesichert; fehlt bloß der Kampf.
ferien_vom_ich_011_f000036|Der wird gigantisch!|Der wird gigantisch!
ferien_vom_ich_011_f000037|rief Piesecke.|rief Piesecke.
ferien_vom_ich_011_f000038|Die Sache verlief nicht ganz programmäßig.|Die Sache verlief nicht ganz programmäßig.
ferien_vom_ich_011_f000039|Zwar gingen die Neustädter wirklich in die Falle und überfielen Anton zweihundert Meter jenseits der Waldecke, aber die Kerle rissen nicht – wie vorausgesehen – durch die Übermacht erschreckt und ihr böses Gewissen beunruhigt aus, sondern blieben da, und da sie sehr handfeste Burschen waren, verhieben sie die Waltersburger jämmerlich.|Zwar gingen die Neustädter wirklich in die Falle und überfielen Anton zweihundert Meter jenseits der Waldecke, aber die Kerle rissen nicht - wie vorausgesehen - durch die Übermacht erschreckt und ihr böses Gewissen beunruhigt aus, sondern blieben da, und da sie sehr handfeste Burschen waren, verhieben sie die Waltersburger jämmerlich.
ferien_vom_ich_011_f000040|Das kam aber daher, daß sich die in Anrechnung gebrachte Übermacht Waltersburgs alsbald in eine faktische Minorität verwandelte;|Das kam aber daher, daß sich die in Anrechnung gebrachte Übermacht Waltersburgs alsbald in eine faktische Minorität verwandelte;
ferien_vom_ich_011_f000041|denn der Feldherr Piesecke wurde gleich bei Beginn der Schlacht dadurch kampfunfähig gemacht, daß ihn ein riesenhafter Neustädter Bräuknecht in die Höhe hob und in den Bach warf;|denn der Feldherr Piesecke wurde gleich bei Beginn der Schlacht dadurch kampfunfähig gemacht, daß ihn ein riesenhafter Neustädter Bräuknecht in die Höhe hob und in den Bach warf;
ferien_vom_ich_011_f000042|Methusalem konnte sich an dem Ringen auch nicht beteiligen, da er etwas abseits stehen und die Szene mit dem Bleistift in rasender Geschwindigkeit in seinem Skizzenbuch verewigen mußte, und der Musiker Emmerich fühlte sich dazu berufen, ebenfalls abseits zu stehen und den Mut seiner Kameraden durch Absingung seiner Siegeshymne anzufeuern.|Methusalem konnte sich an dem Ringen auch nicht beteiligen, da er etwas abseits stehen und die Szene mit dem Bleistift in rasender Geschwindigkeit in seinem Skizzenbuch verewigen mußte, und der Musiker Emmerich fühlte sich dazu berufen, ebenfalls abseits zu stehen und den Mut seiner Kameraden durch Absingung seiner Siegeshymne anzufeuern.
ferien_vom_ich_011_f000043|So kämpften nur der Sänger Hagen Korrundt, der Bräutigam Anton und die Raubgesellen Karaseck und Jaromir, die aber – da sie in ihrem Privatberuf Wiener Gigerls waren – gegen die rohe Gewalt der Neustädter Raufer nicht aufkamen.|So kämpften nur der Sänger Hagen Korrundt, der Bräutigam Anton und die Raubgesellen Karaseck und Jaromir, die aber - da sie in ihrem Privatberuf Wiener Gigerls waren - gegen die rohe Gewalt der Neustädter Raufer nicht aufkamen.
ferien_vom_ich_011_f000044|Es gab fürchterliche Prügel, und der Maler Methusalem rettete Waltersburgs Ruhm nur dadurch, daß er nachträglich seine Schlachtskizze umkehrte, wodurch alle, die unten lagen, nach oben kamen, und umgekehrt.|Es gab fürchterliche Prügel, und der Maler Methusalem rettete Waltersburgs Ruhm nur dadurch, daß er nachträglich seine Schlachtskizze umkehrte, wodurch alle, die unten lagen, nach oben kamen, und umgekehrt.
ferien_vom_ich_011_f000045|Moor und Schinderhannes, die hundert Meter weiter unten im Hinterhalt lagen, um den Neustädtern den Rückzug abzuschneiden, hörten den Skandal, lugten um die Baumstämme, kamen aber nicht zu Hilfe, da sie doch eben im Hinterhalt zu liegen hatten.|Moor und Schinderhannes, die hundert Meter weiter unten im Hinterhalt lagen, um den Neustädtern den Rückzug abzuschneiden, hörten den Skandal, lugten um die Baumstämme, kamen aber nicht zu Hilfe, da sie doch eben im Hinterhalt zu liegen hatten.
ferien_vom_ich_011_f000046|Wer weiß, wie schrecklich diese Schlacht bei Waltersburg noch ausgelaufen wäre, wenn nicht eine starke auswärtige Macht sich eingemischt hätte.|Wer weiß, wie schrecklich diese Schlacht bei Waltersburg noch ausgelaufen wäre, wenn nicht eine starke auswärtige Macht sich eingemischt hätte.
ferien_vom_ich_011_f000047|Durch den Wald erscholl plötzlich eine scharfe Stimme: Pauline!|Durch den Wald erscholl plötzlich eine scharfe Stimme: Pauline!
ferien_vom_ich_011_f000048|Pauline!|Pauline!
ferien_vom_ich_011_f000049|Pauline hatte bis jetzt an einer Birke gelehnt und zu einem Vierteil mit Entsetzen, zu drei Vierteilen aber mit Stolz zugesehen, welch grauses Männerwerk da für sie und um sie getan wurde.|Pauline hatte bis jetzt an einer Birke gelehnt und zu einem Vierteil mit Entsetzen, zu drei Vierteilen aber mit Stolz zugesehen, welch grauses Männerwerk da für sie und um sie getan wurde.
ferien_vom_ich_011_f000050|Als sie nun aber die rufende Stimme hörte, schrie sie: Um Himmels willen, die Mutter!|Als sie nun aber die rufende Stimme hörte, schrie sie: Um Himmels willen, die Mutter!
ferien_vom_ich_011_f000051|Macht, daß ihr fortkommt!|Macht, daß ihr fortkommt!
ferien_vom_ich_011_f000052|Drauf rissen erst die beiden Bräutigame aus, und mit ihnen verlor sich rasch ihr Anhang.|Drauf rissen erst die beiden Bräutigame aus, und mit ihnen verlor sich rasch ihr Anhang.
ferien_vom_ich_011_f000053|Pauline eilte nach Hause zu und bekam von ihrer energischen Mama ein paar Ohrfeigen, weil sie sich herumgetrieben habe; alles Mannesvolk aber flüchtete gen Waltersburg.|Pauline eilte nach Hause zu und bekam von ihrer energischen Mama ein paar Ohrfeigen, weil sie sich herumgetrieben habe; alles Mannesvolk aber flüchtete gen Waltersburg.
ferien_vom_ich_011_f000054|Und da hat es sich begeben, daß der Neustädter Gastwirt, der den Rückzug der anderen deckte, als er sich außer Frau Susannes Ruf- und Sehweite fühlte, doch noch in die Hände der Waltersburger fiel.|Und da hat es sich begeben, daß der Neustädter Gastwirt, der den Rückzug der anderen deckte, als er sich außer Frau Susannes Ruf- und Sehweite fühlte, doch noch in die Hände der Waltersburger fiel.
ferien_vom_ich_011_f000055|Sechs Mann haben ihn gefangengenommen und ihn nochmals verprügeln wollen.|Sechs Mann haben ihn gefangengenommen und ihn nochmals verprügeln wollen.
ferien_vom_ich_011_f000056|Aber Methusalem hat gesagt: Pst!|Aber Methusalem hat gesagt: Pst!
ferien_vom_ich_011_f000057|Man darf sich an einem geschlagenen tapferen Feinde nicht versündigen!|Man darf sich an einem geschlagenen tapferen Feinde nicht versündigen!
ferien_vom_ich_011_f000058|Man soll ihn vielmehr ehren.|Man soll ihn vielmehr ehren.
ferien_vom_ich_011_f000059|Deshalb werde ich dem Feinde jetzt mit der schönen grünen Farbe, die ich in diesem Fläschchen habe, einen Lorbeerzweig auf die Stirn malen.|Deshalb werde ich dem Feinde jetzt mit der schönen grünen Farbe, die ich in diesem Fläschchen habe, einen Lorbeerzweig auf die Stirn malen.
ferien_vom_ich_011_f000060|Der Gastwirt hat mit Händen und Füßen geschlagen, aber sechs Kerle haben ihn gehalten, und Methusalem hat ihm einen Lorbeerzweig auf die Stirn gemalt.|Der Gastwirt hat mit Händen und Füßen geschlagen, aber sechs Kerle haben ihn gehalten, und Methusalem hat ihm einen Lorbeerzweig auf die Stirn gemalt.
ferien_vom_ich_011_f000061|Mit Ölfarbe!|Mit Ölfarbe!
ferien_vom_ich_011_f000062|Der Gastwirt hat sich in Neustadt nicht mehr sehen lassen können und nach drei Tagen Selbstmordgedanken gehabt.|Der Gastwirt hat sich in Neustadt nicht mehr sehen lassen können und nach drei Tagen Selbstmordgedanken gehabt.
ferien_vom_ich_011_f000063|Da hat ihm Methusalem ein Mittel geschickt, durch das er die unerwünschte Ehrung abwaschen konnte.|Da hat ihm Methusalem ein Mittel geschickt, durch das er die unerwünschte Ehrung abwaschen konnte.
ferien_vom_ich_011_f000064|Aus dem Triptychon ist nichts geworden.|Aus dem Triptychon ist nichts geworden.
ferien_vom_ich_011_f000065|Nur eine schöne Bleistiftskizze von Methusalem, auf der alle Waltersburger oben liegen, ist unseren Sammlungen einverleibt und zeugt von der Schlacht auf unseren Gemarkungen, die sich gegen den Erbfeind Neustadt abgespielt hat.|Nur eine schöne Bleistiftskizze von Methusalem, auf der alle Waltersburger oben liegen, ist unseren Sammlungen einverleibt und zeugt von der Schlacht auf unseren Gemarkungen, die sich gegen den Erbfeind Neustadt abgespielt hat.
ferien_vom_ich_011_f000066|Piesecke hat an jenem Abend grollend am Bachrand gesessen, triefend vor Nässe, und alle Schwachheit und Feigheit der Kämpfenden sowie die Niedertracht der nicht in den Kampf eingreifenden Teile seines Heeres mit einem einzigen, aus seinem hochfürstlichen Mund hervorzischenden Wort charakterisiert: Plebs!|Piesecke hat an jenem Abend grollend am Bachrand gesessen, triefend vor Nässe, und alle Schwachheit und Feigheit der Kämpfenden sowie die Niedertracht der nicht in den Kampf eingreifenden Teile seines Heeres mit einem einzigen, aus seinem hochfürstlichen Mund hervorzischenden Wort charakterisiert: Plebs!
ferien_vom_ich_011_f000067|HERBST.|HERBST.
ferien_vom_ich_011_f000068|Das erste Halbjahr, da das Ferienheim in Betrieb ist, geht zu Ende.|Das erste Halbjahr, da das Ferienheim in Betrieb ist, geht zu Ende.
ferien_vom_ich_011_f000069|Wenn ich es überschaue, erfüllt mein Herz rechte Befriedigung.|Wenn ich es überschaue, erfüllt mein Herz rechte Befriedigung.
ferien_vom_ich_011_f000070|Nicht nur der äußeren Erfolge wegen.|Nicht nur der äußeren Erfolge wegen.
ferien_vom_ich_011_f000071|Unser Unternehmen steht glänzend da.|Unser Unternehmen steht glänzend da.
ferien_vom_ich_011_f000072|Wir haben lange nicht alle aufnehmen können, die zu uns kommen wollten.|Wir haben lange nicht alle aufnehmen können, die zu uns kommen wollten.
ferien_vom_ich_011_f000073|Die Ernte auf den Feldern und in den Gärten war gut, unsere Bauern sind zufrieden, und unsere Kassen und Kasten sind gefüllt.|Die Ernte auf den Feldern und in den Gärten war gut, unsere Bauern sind zufrieden, und unsere Kassen und Kasten sind gefüllt.
ferien_vom_ich_011_f000074|Vieles, ja das meiste, verdankt dieser äußere Erfolg der glänzenden Organisation, die Stefenson dem Ganzen gegeben hat und die er von Amerika aus geleitet und weiter ausgebaut hat, wenn auch der Sonderling noch immer nicht nach Europa zurückgekehrt ist.|Vieles, ja das meiste, verdankt dieser äußere Erfolg der glänzenden Organisation, die Stefenson dem Ganzen gegeben hat und die er von Amerika aus geleitet und weiter ausgebaut hat, wenn auch der Sonderling noch immer nicht nach Europa zurückgekehrt ist.
ferien_vom_ich_011_f000075|Was mich als Arzt und Mensch am meisten freut, ist der Umstand, daß kaum einer unserer Kurgäste ohne großen gesundheitlichen Gewinn von uns fortgezogen ist.|Was mich als Arzt und Mensch am meisten freut, ist der Umstand, daß kaum einer unserer Kurgäste ohne großen gesundheitlichen Gewinn von uns fortgezogen ist.
ferien_vom_ich_011_f000076|Das bestätigt meine eigene Erfahrung, das bestätigen meine Kollegen, das sagen vor allem unsere Kurgäste selbst, die schweren Herzens Abschied nehmen, wenn ihre Zeit abgelaufen ist.|Das bestätigt meine eigene Erfahrung, das bestätigen meine Kollegen, das sagen vor allem unsere Kurgäste selbst, die schweren Herzens Abschied nehmen, wenn ihre Zeit abgelaufen ist.
ferien_vom_ich_011_f000077|Wenn sie nach dem Rathaus kommen, ihre Uhr, ihr Geld zurückerhalten, liegen diese Dinge kalt und fremd in ihren Händen, und wenn sie im Zeughaus ihre eigenen Kleider wieder anlegen und, ohne noch einmal umkehren zu dürfen, durch die große Hinterpforte auf die Straße gelassen werden, wo der Wagen wartet, stehen die meisten befangen da wie ängstliches Volk, das zum ersten Male in die Welt zieht.|Wenn sie nach dem Rathaus kommen, ihre Uhr, ihr Geld zurückerhalten, liegen diese Dinge kalt und fremd in ihren Händen, und wenn sie im Zeughaus ihre eigenen Kleider wieder anlegen und, ohne noch einmal umkehren zu dürfen, durch die große Hinterpforte auf die Straße gelassen werden, wo der Wagen wartet, stehen die meisten befangen da wie ängstliches Volk, das zum ersten Male in die Welt zieht.
ferien_vom_ich_011_f000078|So sicher, geborgen und heimisch haben sie sich in ihren Ferien vom Ich gefühlt.|So sicher, geborgen und heimisch haben sie sich in ihren Ferien vom Ich gefühlt.
ferien_vom_ich_011_f000079|Sie schreiben alle freundliche Briefe des Dankes und guten Erinnerns und sagen, daß sie draußen unsere Anstalt preisen, und wenn sie dem oft gehörten Einwand begegnen, es sei wohl doch eine etwas kindliche, theatralische Sache,|Sie schreiben alle freundliche Briefe des Dankes und guten Erinnerns und sagen, daß sie draußen unsere Anstalt preisen, und wenn sie dem oft gehörten Einwand begegnen, es sei wohl doch eine etwas kindliche, theatralische Sache,
ferien_vom_ich_011_f000080|so beklagten sie alle diejenigen, die nicht wüßten, wie herzstärkend und verjüngend die Rückkehr zu kindlicher Schlichtheit sei und wie sie gerade vom Theatralischen erlöse, von der bösen, so raffiniert eingeübten und so schwer zu spielenden, immer aber im tiefsten Grunde erfolglosen Theaterei unseres Lebens ...|so beklagten sie alle diejenigen, die nicht wüßten, wie herzstärkend und verjüngend die Rückkehr zu kindlicher Schlichtheit sei und wie sie gerade vom Theatralischen erlöse, von der bösen, so raffiniert eingeübten und so schwer zu spielenden, immer aber im tiefsten Grunde erfolglosen Theaterei unseres Lebens ...
ferien_vom_ich_011_f000081|Auch diejenigen, die organisch leidend waren, haben durch gewissenhafte ärztliche Kunst sowie durch die Gemütsruhe und Herzensheiterkeit, die sie umfing, die besten Erfolge gehabt.|Auch diejenigen, die organisch leidend waren, haben durch gewissenhafte ärztliche Kunst sowie durch die Gemütsruhe und Herzensheiterkeit, die sie umfing, die besten Erfolge gehabt.
ferien_vom_ich_011_f000082|Der Sommer war gut; es mag Herbst werden.|Der Sommer war gut; es mag Herbst werden.
ferien_vom_ich_011_f000083|Die Fröhlichkeit stirbt deswegen nicht aus.|Die Fröhlichkeit stirbt deswegen nicht aus.
ferien_vom_ich_011_f000084|Diese großen Kinder der Welt fühlen hier alle die tiefe Schönheit des Herbstes, von dem sie früher nichts wußten, als daß mit seiner Ankunft Neuanschaffungen nötig seien, die Gasrechnungen höher wurden und die Theater- und Konzertsaison beginne.|Diese großen Kinder der Welt fühlen hier alle die tiefe Schönheit des Herbstes, von dem sie früher nichts wußten, als daß mit seiner Ankunft Neuanschaffungen nötig seien, die Gasrechnungen höher wurden und die Theater- und Konzertsaison beginne.
ferien_vom_ich_011_f000085|Nach Andeutungen und Schilderungen eines unserer Kurgäste will ich schildern, wie ein Herbstmorgen im Ferienheim verläuft.|Nach Andeutungen und Schilderungen eines unserer Kurgäste will ich schildern, wie ein Herbstmorgen im Ferienheim verläuft.
ferien_vom_ich_011_f000086|Der Herbstwind hat gesungen die ganze Nacht.|Der Herbstwind hat gesungen die ganze Nacht.
ferien_vom_ich_011_f000087|Und wie er an den Fenstern rüttelt und welkes Laub und dürre Zweige an die Scheiben warf, hat sich das Menschlein fest in die Decke gehüllt und mit großen Augen ins Dunkle gestarrt.|Und wie er an den Fenstern rüttelt und welkes Laub und dürre Zweige an die Scheiben warf, hat sich das Menschlein fest in die Decke gehüllt und mit großen Augen ins Dunkle gestarrt.
ferien_vom_ich_011_f000088|Langsam ist seine Phantasie an Bord eines schwarzen Wolkenschiffes gegangen, das durch das kalte Meer des Himmels fuhr zu einem unbekannten Ziele.|Langsam ist seine Phantasie an Bord eines schwarzen Wolkenschiffes gegangen, das durch das kalte Meer des Himmels fuhr zu einem unbekannten Ziele.
ferien_vom_ich_011_f000089|Ein schwarzer Mann stand am Steuer des Schiffes; müde, schweigende Seelen lehnten oder saßen an seinen Bordwänden.|Ein schwarzer Mann stand am Steuer des Schiffes; müde, schweigende Seelen lehnten oder saßen an seinen Bordwänden.
ferien_vom_ich_011_f000090|Lautlos glitt das Schiff.|Lautlos glitt das Schiff.
ferien_vom_ich_011_f000091|Nur der Sturm sang seine Melodie, und wilde Gänse schrien ihr Sehnsuchtslied in den Wind.|Nur der Sturm sang seine Melodie, und wilde Gänse schrien ihr Sehnsuchtslied in den Wind.
ferien_vom_ich_011_f000092|Sie folgten dem Schiff wie große Möwen, und ihr weißes Gefieder zuckte gespenstisch durch die Nacht.|Sie folgten dem Schiff wie große Möwen, und ihr weißes Gefieder zuckte gespenstisch durch die Nacht.
ferien_vom_ich_011_f000093|Unter dem Wolkenschiff war der große Ozean der Luft.|Unter dem Wolkenschiff war der große Ozean der Luft.
ferien_vom_ich_011_f000094|Menschenhäuser lagen wie Muscheln auf dem Meeresgrund, die Wälder standen wie seltsames wirres Gewächs wilder Schlingpflanzen, manchmal ragte ein Berg auf wie eine Insel, um die das Wolkenschiff herumschwimmen mußte.|Menschenhäuser lagen wie Muscheln auf dem Meeresgrund, die Wälder standen wie seltsames wirres Gewächs wilder Schlingpflanzen, manchmal ragte ein Berg auf wie eine Insel, um die das Wolkenschiff herumschwimmen mußte.
ferien_vom_ich_011_f000095|Von der Insel glimmte das Licht einer Berghütte her wie der Schimmer einer Lampe aus einsamem Strandhaus.|Von der Insel glimmte das Licht einer Berghütte her wie der Schimmer einer Lampe aus einsamem Strandhaus.
ferien_vom_ich_011_f000096|Ein Felsen ragte auf wie eine Klippe, an der ein unvorsichtiges Schiff zerschellen kann.|Ein Felsen ragte auf wie eine Klippe, an der ein unvorsichtiges Schiff zerschellen kann.
ferien_vom_ich_011_f000097|Das Luftmeer rollte, grollte, stampfte, es schleuderte die schwarze Flotte der Nacht hin und her.|Das Luftmeer rollte, grollte, stampfte, es schleuderte die schwarze Flotte der Nacht hin und her.
ferien_vom_ich_011_f000098|Die wilde Fahrt war voll Grausen, aber auch voll Schönheit.|Die wilde Fahrt war voll Grausen, aber auch voll Schönheit.
ferien_vom_ich_011_f000099|Immerzu, immerzu ging es vorwärts.|Immerzu, immerzu ging es vorwärts.
ferien_vom_ich_011_f000100|Da drang ein Läuten aus der Tiefe.|Da drang ein Läuten aus der Tiefe.
ferien_vom_ich_011_f000101|Irgendein Vineta lag drunten auf dem Grund, da gingen die Glocken.|Irgendein Vineta lag drunten auf dem Grund, da gingen die Glocken.
ferien_vom_ich_011_f000102|Nun wurde ein lichter Schimmer am Horizont sichtbar.|Nun wurde ein lichter Schimmer am Horizont sichtbar.
ferien_vom_ich_011_f000103|Dort lagen die weißen Berge des Morgens.|Dort lagen die weißen Berge des Morgens.
ferien_vom_ich_011_f000104|Und im Morgenlande lag die Heimat.|Und im Morgenlande lag die Heimat.
ferien_vom_ich_011_f000105|Da fielen dem Träumer die Augen zu – er stieg herab von dem dunklen Schiff –, stieg ans lichte Land und war zu Hause.|Da fielen dem Träumer die Augen zu - er stieg herab von dem dunklen Schiff -, stieg ans lichte Land und war zu Hause.
ferien_vom_ich_011_f000106|Weib und Kind waren bei ihm, und die guten Freunde kamen und schüttelten ihm die Hände.|Weib und Kind waren bei ihm, und die guten Freunde kamen und schüttelten ihm die Hände.
ferien_vom_ich_011_f000107|Er erzählte ihnen, wo er gewesen sei.|Er erzählte ihnen, wo er gewesen sei.
ferien_vom_ich_011_f000108|Da klopfte es an die Tür.|Da klopfte es an die Tür.
ferien_vom_ich_011_f000109|Gottfried, stehen Sie auf, es ist halb sieben Uhr!|Gottfried, stehen Sie auf, es ist halb sieben Uhr!
ferien_vom_ich_011_f000110|Gottfried rieb sich die Augen und besann sich.|Gottfried rieb sich die Augen und besann sich.
ferien_vom_ich_011_f000111|Richtig, er war nicht auf einem Wolkenschiffe, er war auch nicht zu Hause, er war Kurgast im Ferienheim, richtiger gesagt Bauernknecht auf dem Forellenhofe.|Richtig, er war nicht auf einem Wolkenschiffe, er war auch nicht zu Hause, er war Kurgast im Ferienheim, richtiger gesagt Bauernknecht auf dem Forellenhofe.
ferien_vom_ich_011_f000112|Sechseinhalb!|Sechseinhalb!
ferien_vom_ich_011_f000113|Es war noch ganz dunkel in der Stube.|Es war noch ganz dunkel in der Stube.
ferien_vom_ich_011_f000114|Und kalt war es.|Und kalt war es.
ferien_vom_ich_011_f000115|Ein feiner Regen spritzte ans Fenster.|Ein feiner Regen spritzte ans Fenster.
ferien_vom_ich_011_f000116|Jetzt wäre es wohlig, noch eine oder zwei Stunden zu schlafen.|Jetzt wäre es wohlig, noch eine oder zwei Stunden zu schlafen.
ferien_vom_ich_011_f000117|Ach, bloß noch ein paar Minuten!|Ach, bloß noch ein paar Minuten!
ferien_vom_ich_011_f000118|Sacht beginnt Gottfried wieder einzuschlafen.|Sacht beginnt Gottfried wieder einzuschlafen.
ferien_vom_ich_011_f000119|Aber in dem Augenblick, da sich das Bewußtsein vom letzten Faden lösen will, schrickt er auf und springt mit beiden Beinen aus dem Bett.|Aber in dem Augenblick, da sich das Bewußtsein vom letzten Faden lösen will, schrickt er auf und springt mit beiden Beinen aus dem Bett.
ferien_vom_ich_011_f000120|Er wird sich doch nicht von dem Barthel – dem Bauern – einen Meldezettel an den Arzt schreiben lassen wie ein Schuljunge, der was pexiert hat, von seinem Lehrer.|Er wird sich doch nicht von dem Barthel - dem Bauern - einen Meldezettel an den Arzt schreiben lassen wie ein Schuljunge, der was pexiert hat, von seinem Lehrer.
ferien_vom_ich_011_f000121|Dieser Barthel ist ein ganz netter Kerl, aber er klemmt einen sofort, falls man über die Hausordnung hinweggeht.|Dieser Barthel ist ein ganz netter Kerl, aber er klemmt einen sofort, falls man über die Hausordnung hinweggeht.
ferien_vom_ich_011_f000122|Und es ist so blöd, sich dann beim Doktor entschuldigen zu müssen.|Und es ist so blöd, sich dann beim Doktor entschuldigen zu müssen.
ferien_vom_ich_011_f000123|Unglaublich, wie leicht ein Mensch in die alten Pennälerängste zurücksinken kann.|Unglaublich, wie leicht ein Mensch in die alten Pennälerängste zurücksinken kann.
ferien_vom_ich_011_f000124|Also aufstehen!|Also aufstehen!
ferien_vom_ich_011_f000125|Beim Anziehen hält man sich hier nicht lange auf, es ist zu kalt in der Bude.|Beim Anziehen hält man sich hier nicht lange auf, es ist zu kalt in der Bude.
ferien_vom_ich_011_f000126|Auch das Waschwasser ist kalt.|Auch das Waschwasser ist kalt.
ferien_vom_ich_011_f000127|Warmes müßte extra verordnet werden.|Warmes müßte extra verordnet werden.
ferien_vom_ich_011_f000128|Und man schämt sich hier unglaublich, wenn man so etwas wie verfeinerte Bedürfnisse erkennen lassen will.|Und man schämt sich hier unglaublich, wenn man so etwas wie verfeinerte Bedürfnisse erkennen lassen will.
ferien_vom_ich_011_f000129|Es paßt nicht zu einem, wenn man Gottfried Stumpe heißt.|Es paßt nicht zu einem, wenn man Gottfried Stumpe heißt.
ferien_vom_ich_011_f000130|Eigentlich war’s doch schön im Traume, so plötzlich zu Hause zu sein.|Eigentlich wars doch schön im Traume, so plötzlich zu Hause zu sein.
ferien_vom_ich_011_f000131|Wie sie alle zärtlich und besorgt waren und nach den Augen schauten, ob da ein Wunsch abzulesen sei.|Wie sie alle zärtlich und besorgt waren und nach den Augen schauten, ob da ein Wunsch abzulesen sei.
ferien_vom_ich_011_f000132|Hier war das anders, hier hieß es nicht wünschen, sondern gehorchen.|Hier war das anders, hier hieß es nicht wünschen, sondern gehorchen.
ferien_vom_ich_011_f000133|Ein Wunder war’s ja nicht, wenn man manchmal ein bißchen Heimweh hatte, zumal man fast gar nichts von Hause erfuhr.|Ein Wunder wars ja nicht, wenn man manchmal ein bißchen Heimweh hatte, zumal man fast gar nichts von Hause erfuhr.
ferien_vom_ich_011_f000134|Gestern war eine Postkarte gekommen, nach sechs Wochen die erste Nachricht.|Gestern war eine Postkarte gekommen, nach sechs Wochen die erste Nachricht.
ferien_vom_ich_011_f000135|Lieber Mann!|Lieber Mann!
