maerchen_001_f000001|Der glückliche Prinz.|Der glückliche Prinz.
maerchen_006_f000227|Er ging die strahlende Porphyrtreppe hinab und durch die bronzenen Tore, er stieg auf sein Roß und ritt nach dem Dom, während der kleine Page neben ihm lief.|Er ging die strahlende Porphyrtreppe hinab und durch die bronzenen Tore, er stieg auf sein Roß und ritt nach dem Dom, während der kleine Page neben ihm lief.
maerchen_006_f000228|Und die Leute lachten und sprachen: Er ist des Königs Narr, der herbeireitet, und sie spotteten über ihn.|Und die Leute lachten und sprachen: Er ist des Königs Narr, der herbeireitet, und sie spotteten über ihn.
maerchen_006_f000229|Da hielt er sein Pferd an und sagte: Ihr irrt, ich bin der König.|Da hielt er sein Pferd an und sagte: Ihr irrt, ich bin der König.
maerchen_006_f000230|Und er erzählte ihnen seine drei Träume.|Und er erzählte ihnen seine drei Träume.
maerchen_006_f000231|Da trat ein Mann aus der Menge.|Da trat ein Mann aus der Menge.
maerchen_006_f000232|Er sprach bittere Worte und sagte: Herr, weißt du nicht, daß aus dem Luxus der Reichen das Leben der Armen kommt?|Er sprach bittere Worte und sagte: Herr, weißt du nicht, daß aus dem Luxus der Reichen das Leben der Armen kommt?
maerchen_006_f000233|Durch eure Verschwendung werden wir ernährt, und eure Verderbnis gibt uns Brot.|Durch eure Verschwendung werden wir ernährt, und eure Verderbnis gibt uns Brot.
maerchen_006_f000234|Für einen harten Herrn arbeiten, ist bitter, aber noch bitterer ist es, keinen Herrn zu haben, für den man arbeiten kann.|Für einen harten Herrn arbeiten, ist bitter, aber noch bitterer ist es, keinen Herrn zu haben, für den man arbeiten kann.
maerchen_006_f000235|Glaubst du, daß die Raben uns ernähren werden?|Glaubst du, daß die Raben uns ernähren werden?
maerchen_006_f000236|Und wie willst du diese Dinge besser machen?|Und wie willst du diese Dinge besser machen?
maerchen_006_f000237|Willst du zu dem Bauherrn sagen: ›du sollst zu einem solchen Preise bauen‹, und zu dem Händler: ›du sollst zu einem solchen Preis verkaufen‹?|Willst du zu dem Bauherrn sagen: du sollst zu einem solchen Preise bauen, und zu dem Händler: du sollst zu einem solchen Preis verkaufen?
maerchen_006_f000238|Hoffentlich nicht.|Hoffentlich nicht.
maerchen_006_f000239|Darum kehre in deinen Palast zurück, lege Purpur und zarte Leinwand an.|Darum kehre in deinen Palast zurück, lege Purpur und zarte Leinwand an.
maerchen_006_f000240|Was hast du mit uns zu tun und mit dem, was wir leiden?|Was hast du mit uns zu tun und mit dem, was wir leiden?
maerchen_006_f000241|Sind nicht die Armen und die Reichen Brüder?|Sind nicht die Armen und die Reichen Brüder?
maerchen_006_f000242|fragte der junge König.|fragte der junge König.
maerchen_006_f000243|Ja, antwortete der Mann, und der Name des reichen Bruders ist Kain.|Ja, antwortete der Mann, und der Name des reichen Bruders ist Kain.
maerchen_006_f000244|Da füllten sich die Augen des jungen Königs mit Tränen, und er ritt weiter durch das Murren der Menge, und der kleine Page fürchtete sich und verließ ihn.|Da füllten sich die Augen des jungen Königs mit Tränen, und er ritt weiter durch das Murren der Menge, und der kleine Page fürchtete sich und verließ ihn.
maerchen_006_f000245|Und als er das große Domportal erreichte, streckten die Soldaten ihre Hellebarden aus und sagten: Was suchst du hier?|Und als er das große Domportal erreichte, streckten die Soldaten ihre Hellebarden aus und sagten: Was suchst du hier?
maerchen_006_f000246|Niemand darf durch diese Pforte eintreten als der König.|Niemand darf durch diese Pforte eintreten als der König.
maerchen_006_f000247|Da rötete sich sein Gesicht vor Zorn und er sprach zu ihnen: Ich bin der König.|Da rötete sich sein Gesicht vor Zorn und er sprach zu ihnen: Ich bin der König.
maerchen_006_f000248|Dann drückte er ihre Hellebarden zur Seite und ging hinein.|Dann drückte er ihre Hellebarden zur Seite und ging hinein.
maerchen_006_f000249|Als ihn der alte Bischof in der Kleidung des Ziegenhirten kommen sah, erhob er sich erstaunt von seinem Stuhl, trat auf ihn zu und sprach zu ihm: Mein Sohn, ist dies die Tracht eines Königs?|Als ihn der alte Bischof in der Kleidung des Ziegenhirten kommen sah, erhob er sich erstaunt von seinem Stuhl, trat auf ihn zu und sprach zu ihm: Mein Sohn, ist dies die Tracht eines Königs?
maerchen_006_f000250|Und mit welcher Krone soll ich dich krönen, und welches Zepter soll ich in deine Hand legen?|Und mit welcher Krone soll ich dich krönen, und welches Zepter soll ich in deine Hand legen?
maerchen_006_f000251|Sicherlich soll dies doch für dich ein Freudentag sein und nicht ein Tag der Erniedrigung?|Sicherlich soll dies doch für dich ein Freudentag sein und nicht ein Tag der Erniedrigung?
maerchen_006_f000252|Darf sich Freude mit dem schmücken, was Leid geschaffen hat?|Darf sich Freude mit dem schmücken, was Leid geschaffen hat?
maerchen_006_f000253|fragte der junge König, und er erzählte ihm seine drei Träume.|fragte der junge König, und er erzählte ihm seine drei Träume.
maerchen_006_f000254|Als der Bischof sie gehört hatte, zog er seine Stirn in Falten und sprach: Mein Sohn, ich bin ein alter Mann und am Ende meiner Tage.|Als der Bischof sie gehört hatte, zog er seine Stirn in Falten und sprach: Mein Sohn, ich bin ein alter Mann und am Ende meiner Tage.
maerchen_006_f000255|Ich weiß, daß viel Böses in der weiten Welt geschieht.|Ich weiß, daß viel Böses in der weiten Welt geschieht.
maerchen_006_f000256|Die wilden Räuber kommen von den Bergen herab, stehlen die kleinen Kinder und verkaufen sie an die Mohren.|Die wilden Räuber kommen von den Bergen herab, stehlen die kleinen Kinder und verkaufen sie an die Mohren.
maerchen_006_f000257|Die Löwen lauern auf die Karawanen und stürzen sich auf die Kamele.|Die Löwen lauern auf die Karawanen und stürzen sich auf die Kamele.
maerchen_006_f000258|Der wilde Eber wühlt das Getreide im Tale auf, und die Füchse zerfressen die Weinstöcke auf dem Hügel.|Der wilde Eber wühlt das Getreide im Tale auf, und die Füchse zerfressen die Weinstöcke auf dem Hügel.
maerchen_006_f000259|Die Piraten brandschatzen die Meeresküste und verbrennen die Schiffe der Fischer und nehmen ihnen ihre Netze.|Die Piraten brandschatzen die Meeresküste und verbrennen die Schiffe der Fischer und nehmen ihnen ihre Netze.
maerchen_006_f000260|In den Salzsümpfen leben die Aussätzigen; sie haben Hütten aus geflochtenem Ried, und niemand darf ihnen nahe kommen.|In den Salzsümpfen leben die Aussätzigen; sie haben Hütten aus geflochtenem Ried, und niemand darf ihnen nahe kommen.
maerchen_006_f000261|Die Bettler wandern durch die Städte und essen ihre Nahrung mit den Hunden.|Die Bettler wandern durch die Städte und essen ihre Nahrung mit den Hunden.
maerchen_006_f000262|Kannst du machen, daß diese Dinge nicht sind?|Kannst du machen, daß diese Dinge nicht sind?
maerchen_006_f000263|Willst du den Aussätzigen zum Bettgenossen nehmen und den Bettler an deinen Tisch setzen?|Willst du den Aussätzigen zum Bettgenossen nehmen und den Bettler an deinen Tisch setzen?
maerchen_006_f000264|Soll der Löwe deinem Bitten folgen und der wilde Eber dir gehorchen?|Soll der Löwe deinem Bitten folgen und der wilde Eber dir gehorchen?
maerchen_006_f000265|War Er es nicht, der das Elend seliger machte, als du es bist?|War Er es nicht, der das Elend seliger machte, als du es bist?
maerchen_006_f000266|Darum preise ich dich nicht für das, was du getan hast, sondern bitte dich, nach dem Palast zurückzureiten, dein Antlitz zu erheitern und das Gewand anzuziehen, das einem Könige geziemt.|Darum preise ich dich nicht für das, was du getan hast, sondern bitte dich, nach dem Palast zurückzureiten, dein Antlitz zu erheitern und das Gewand anzuziehen, das einem Könige geziemt.
maerchen_006_f000267|Dann werde ich dich mit der goldenen Krone krönen und das Perlenzepter in deine Hand legen.|Dann werde ich dich mit der goldenen Krone krönen und das Perlenzepter in deine Hand legen.
maerchen_006_f000268|Aber was deine Träume angeht, so denke nicht mehr daran.|Aber was deine Träume angeht, so denke nicht mehr daran.
maerchen_006_f000269|Die Bürde dieser Welt ist zu schwer, als daß ein Mensch sie tragen könnte, und das Leid der Welt ist zu gewaltig, als daß ein Herz es erdulden könnte.|Die Bürde dieser Welt ist zu schwer, als daß ein Mensch sie tragen könnte, und das Leid der Welt ist zu gewaltig, als daß ein Herz es erdulden könnte.
maerchen_006_f000270|Sprichst du so in diesem Hause?|Sprichst du so in diesem Hause?
maerchen_006_f000271|fragte der junge König, und er schritt an dem Bischof vorüber, stieg die Stufen zum Altar hinauf und stand vor dem Bildnis Christi.|fragte der junge König, und er schritt an dem Bischof vorüber, stieg die Stufen zum Altar hinauf und stand vor dem Bildnis Christi.
maerchen_006_f000272|Er stand vor dem Bildnis Christi, und rechts und links von ihm waren die wunderbaren goldenen Gefäße, der Kelch mit dem gelben Wein und die Flasche mit dem heiligen Öl.|Er stand vor dem Bildnis Christi, und rechts und links von ihm waren die wunderbaren goldenen Gefäße, der Kelch mit dem gelben Wein und die Flasche mit dem heiligen Öl.
maerchen_006_f000273|Er kniete vor dem Bilde Christi nieder, und die großen Kerzen brannten hell neben dem juwelengeschmückten Schrein, und der Qualm des Weihrauchs zog sich in dünnen blauen Wolken durch den Dom.|Er kniete vor dem Bilde Christi nieder, und die großen Kerzen brannten hell neben dem juwelengeschmückten Schrein, und der Qualm des Weihrauchs zog sich in dünnen blauen Wolken durch den Dom.
maerchen_006_f000274|Er neigte sein Haupt im Gebet, und die Priester in ihren gesteiften Chorröcken zogen sich vom Altar zurück.|Er neigte sein Haupt im Gebet, und die Priester in ihren gesteiften Chorröcken zogen sich vom Altar zurück.
maerchen_006_f000275|Da kam plötzlich von der Straße ein wilder Aufruhr.|Da kam plötzlich von der Straße ein wilder Aufruhr.
maerchen_006_f000276|Die Ritter drangen herein mit gezogenen Schwertern, mit nickenden Federbüschen und Schilden aus geschliffenem Stahl.|Die Ritter drangen herein mit gezogenen Schwertern, mit nickenden Federbüschen und Schilden aus geschliffenem Stahl.
maerchen_006_f000277|Wo ist der Träumer von Träumen? riefen sie.|Wo ist der Träumer von Träumen? riefen sie.
maerchen_006_f000278|Wo ist dieser König, der sich kleidet wie ein Bettler – dieser Knabe, der Schande über den Staat bringt?|Wo ist dieser König, der sich kleidet wie ein Bettler - dieser Knabe, der Schande über den Staat bringt?
maerchen_006_f000279|Wahrhaftig, wir wollen ihn erschlagen, denn er ist unwürdig, über uns zu herrschen.|Wahrhaftig, wir wollen ihn erschlagen, denn er ist unwürdig, über uns zu herrschen.
maerchen_006_f000280|Und der junge König verneigte noch einmal sein Haupt und betete, und als er sein Gebet beendet hatte, erhob er sich, wandte sich um und sah sie traurig an.|Und der junge König verneigte noch einmal sein Haupt und betete, und als er sein Gebet beendet hatte, erhob er sich, wandte sich um und sah sie traurig an.
maerchen_006_f000281|Und siehe da!|Und siehe da!
maerchen_006_f000282|Durch die bunten Fenster strömte das Sonnenlicht über ihn hin, und die Sonnenstrahlen umwoben ihn mit einem goldenen Gewand, das kostbarer war als das Gewand, das man zu seiner Lust angefertigt hatte.|Durch die bunten Fenster strömte das Sonnenlicht über ihn hin, und die Sonnenstrahlen umwoben ihn mit einem goldenen Gewand, das kostbarer war als das Gewand, das man zu seiner Lust angefertigt hatte.
maerchen_006_f000283|Der tote Stab blühte und trug Lilien, die weißer waren als Perlen.|Der tote Stab blühte und trug Lilien, die weißer waren als Perlen.
maerchen_006_f000284|Die verdorrte Dornenranke erblühte und trug Rosen, die roter waren als Rubinen.|Die verdorrte Dornenranke erblühte und trug Rosen, die roter waren als Rubinen.
maerchen_006_f000285|Weißer als echte Perlen waren die Lilien, und ihre Stengel waren von glänzendem Silber.|Weißer als echte Perlen waren die Lilien, und ihre Stengel waren von glänzendem Silber.
maerchen_006_f000286|Roter als kostbare Rubinen waren die Rosen, und ihre Blätter waren von getriebenem Gold.|Roter als kostbare Rubinen waren die Rosen, und ihre Blätter waren von getriebenem Gold.
maerchen_006_f000287|Er stand da im Gewand eines Königs, und die Türen des juwelengeschmückten Schreins flogen auf, und von dem Kristall der vielstrahligen Monstranz schien ein wunderbares und geheimnisvolles Licht.|Er stand da im Gewand eines Königs, und die Türen des juwelengeschmückten Schreins flogen auf, und von dem Kristall der vielstrahligen Monstranz schien ein wunderbares und geheimnisvolles Licht.
maerchen_006_f000288|Er stand da im Gewand eines Königs, und die Glorie Gottes erfüllte den Raum, und die Heiligen in ihren geschnitzten Nischen schienen sich zu bewegen.|Er stand da im Gewand eines Königs, und die Glorie Gottes erfüllte den Raum, und die Heiligen in ihren geschnitzten Nischen schienen sich zu bewegen.
maerchen_006_f000289|In dem strahlenden Gewand eines Königs stand er vor ihnen, und die Orgel dröhnte ihre Musik, die Trompeter bliesen auf ihren Trompeten, und der Knabenchor begann zu singen.|In dem strahlenden Gewand eines Königs stand er vor ihnen, und die Orgel dröhnte ihre Musik, die Trompeter bliesen auf ihren Trompeten, und der Knabenchor begann zu singen.
maerchen_006_f000290|Das Volk aber fiel scheu auf die Knie, die Ritter steckten ihre Schwerter ein und huldigten ihm, und des Bischofs Antlitz wurde bleich, und seine Hände zitterten.|Das Volk aber fiel scheu auf die Knie, die Ritter steckten ihre Schwerter ein und huldigten ihm, und des Bischofs Antlitz wurde bleich, und seine Hände zitterten.
maerchen_006_f000291|Ein Höherer, als ich bin, hat dich gekrönt, rief er und kniete vor ihm nieder.|Ein Höherer, als ich bin, hat dich gekrönt, rief er und kniete vor ihm nieder.
maerchen_006_f000292|Und der junge König stieg vom Hochaltar herab und schritt heim durch die Mitte des Volkes.|Und der junge König stieg vom Hochaltar herab und schritt heim durch die Mitte des Volkes.
maerchen_006_f000293|Aber keiner wagte es, ihm ins Antlitz zu schauen, denn es war wie das Antlitz eines Engels.|Aber keiner wagte es, ihm ins Antlitz zu schauen, denn es war wie das Antlitz eines Engels.
maerchen_006_f000294|Ende von Der junge König.|Ende von Der junge König.
maerchen_007_f000001|Absnitt 7 von märchen von Oskar Wild.|Absnitt sieben von marchen von Oskar Wild.
maerchen_007_f000002|Ubersetzt von wilhelm krämer.|Ubersetzt von wilhelm krämer.
maerchen_007_f000003|Diese librivox aufnahme ist in der public domain.|Diese librivox aufnahme ist in der public domain.
maerchen_007_f000004|Der Geburtstag der Infantin teil 1.|Der Geburtstag der Infantin teil eins.
maerchen_007_f000005|Es war der Geburtstag der Infantin.|Es war der Geburtstag der Infantin.
maerchen_007_f000006|Sie zählte gerade zwölf Jahre, und die Sonne schien hell in die Gärten des Palastes.|Sie zählte gerade zwölf Jahre, und die Sonne schien hell in die Gärten des Palastes.
maerchen_007_f000007|Obgleich sie eine wirkliche Prinzessin und die Infantin von Spanien war, so hatte sie nur einen Geburtstag in jedem Jahr, gerade wie die Kinder von ganz armen Leuten.|Obgleich sie eine wirkliche Prinzessin und die Infantin von Spanien war, so hatte sie nur einen Geburtstag in jedem Jahr, gerade wie die Kinder von ganz armen Leuten.
maerchen_007_f000008|Deshalb war es natürlich eine Sache von hoher Bedeutung für das ganze Land, daß es bei der Gelegenheit ein wirklich schönes Wetter sein mußte.|Deshalb war es natürlich eine Sache von hoher Bedeutung für das ganze Land, daß es bei der Gelegenheit ein wirklich schönes Wetter sein mußte.
maerchen_007_f000009|Und es war tatsächlich ein wirklich schönes Wetter.|Und es war tatsächlich ein wirklich schönes Wetter.
maerchen_007_f000010|Die hohen gestreiften Tulpen standen steif auf ihren Stengeln wie lange Reihen von Soldaten und blickten verächtlich über das Gras nach den Rosen und sagten: Jetzt sind wir mindestens so prächtig wie ihr.|Die hohen gestreiften Tulpen standen steif auf ihren Stengeln wie lange Reihen von Soldaten und blickten verächtlich über das Gras nach den Rosen und sagten: Jetzt sind wir mindestens so prächtig wie ihr.
maerchen_007_f000011|Die roten Schmetterlinge flatterten mit Goldstaub auf ihren Flügeln umher und besuchten nach der Reihe alle Blumen; die kleinen Eidechsen krochen aus den Spalten der Mauer hervor und lagen, sich sonnend, in dem lichten Glanz;|Die roten Schmetterlinge flatterten mit Goldstaub auf ihren Flügeln umher und besuchten nach der Reihe alle Blumen; die kleinen Eidechsen krochen aus den Spalten der Mauer hervor und lagen, sich sonnend, in dem lichten Glanz;
maerchen_007_f000012|und die Granatäpfel sprangen und krachten von der Hitze und zeigten ihr blutrotes Innere.|und die Granatäpfel sprangen und krachten von der Hitze und zeigten ihr blutrotes Innere.
maerchen_007_f000013|Selbst die blaßgelben Zitronen, die in solcher Überfülle von dem zerfallenden Spalier und an den schattigen Arkaden hingen, schienen von dem wundervollen Sonnenlicht eine reifere Farbe bekommen zu haben,|Selbst die blaßgelben Zitronen, die in solcher Überfülle von dem zerfallenden Spalier und an den schattigen Arkaden hingen, schienen von dem wundervollen Sonnenlicht eine reifere Farbe bekommen zu haben,
maerchen_007_f000014|und die Magnolienbäume öffneten ihre großen kugeligen, wie von Elfenbein geschnittenen Blüten und erfüllten die Luft mit einem süßen, schweren Duft.|und die Magnolienbäume öffneten ihre großen kugeligen, wie von Elfenbein geschnittenen Blüten und erfüllten die Luft mit einem süßen, schweren Duft.
maerchen_007_f000015|Die kleine Prinzessin lief mit ihren Gefährten die Terrasse hinauf und hinab und spielte Versteck hinter den Steinvasen und den alten, moosbewachsenen Statuen.|Die kleine Prinzessin lief mit ihren Gefährten die Terrasse hinauf und hinab und spielte Versteck hinter den Steinvasen und den alten, moosbewachsenen Statuen.
maerchen_007_f000016|An gewöhnlichen Tagen durfte sie nur mit ebenbürtigen Kindern spielen, daher mußte sie immer allein spielen, aber ihr Geburtstag war eine Ausnahme, und der König hatte Befehl gegeben,|An gewöhnlichen Tagen durfte sie nur mit ebenbürtigen Kindern spielen, daher mußte sie immer allein spielen, aber ihr Geburtstag war eine Ausnahme, und der König hatte Befehl gegeben,
maerchen_007_f000017|daß sie von ihren jungen Freunden einladen konnte, wen sie wollte, um sich mit ihnen zu vergnügen.|daß sie von ihren jungen Freunden einladen konnte, wen sie wollte, um sich mit ihnen zu vergnügen.
maerchen_007_f000018|Es lag eine prächtige Anmut in diesen schlanken spanischen Kindern, wenn sie dahinflogen, die Knaben mit großen Federn auf den Hüten und mit kurzen, flatternden Mänteln, die Mädchen,|Es lag eine prächtige Anmut in diesen schlanken spanischen Kindern, wenn sie dahinflogen, die Knaben mit großen Federn auf den Hüten und mit kurzen, flatternden Mänteln, die Mädchen,
maerchen_007_f000019|die die Schleppen ihrer langen Brokatgewänder festhielten und mit riesigen schwarzsilbrigen Fächern ihre Augen vor der Sonne schützten.|die die Schleppen ihrer langen Brokatgewänder festhielten und mit riesigen schwarzsilbrigen Fächern ihre Augen vor der Sonne schützten.
maerchen_007_f000020|Aber die Infantin war die anmutigste von allen, und sie war am geschmackvollsten gekleidet nach der etwas bedrückten Mode der Zeit.|Aber die Infantin war die anmutigste von allen, und sie war am geschmackvollsten gekleidet nach der etwas bedrückten Mode der Zeit.
maerchen_007_f000021|Ihr Kleid war von grauer Seide, der Rock und die breit gepufften Ärmel schwer mit Silber bestickt, und der starre Schnürleib mit Reihen echter Perlen besetzt.|Ihr Kleid war von grauer Seide, der Rock und die breit gepufften Ärmel schwer mit Silber bestickt, und der starre Schnürleib mit Reihen echter Perlen besetzt.
maerchen_007_f000022|Zwei winzige Pantoffeln mit großen roten Rosetten lugten unter ihrem Kleid hervor, wenn sie ging.|Zwei winzige Pantoffeln mit großen roten Rosetten lugten unter ihrem Kleid hervor, wenn sie ging.
maerchen_007_f000023|Rötlich und perlfarben war ihr Florfächer, und in ihrem Haar, das wie eine Strahlenkrone von blassem Gold steif um ihr bleiches Gesichtchen stand, trug sie eine weiße Rose.|Rötlich und perlfarben war ihr Florfächer, und in ihrem Haar, das wie eine Strahlenkrone von blassem Gold steif um ihr bleiches Gesichtchen stand, trug sie eine weiße Rose.
maerchen_007_f000024|Von einem Fenster im Palaste aus sah ihnen der grämliche König zu.|Von einem Fenster im Palaste aus sah ihnen der grämliche König zu.
maerchen_007_f000025|Hinter ihm stand sein Bruder, Don Pedro von Aragonien, den er haßte, und sein Beichtvater, der Großinquisitor von Granada, saß an seiner Seite.|Hinter ihm stand sein Bruder, Don Pedro von Aragonien, den er haßte, und sein Beichtvater, der Großinquisitor von Granada, saß an seiner Seite.
maerchen_007_f000026|Trauriger noch als gewöhnlich war der König, denn als er auf die Infantin blickte, die mit kindlicher Würde ihrem sich versammelnden Hofstaat eine Verneigung machte oder hinter ihrem Fächer über die finstere Herzogin von Albuguerque lachte,|Trauriger noch als gewöhnlich war der König, denn als er auf die Infantin blickte, die mit kindlicher Würde ihrem sich versammelnden Hofstaat eine Verneigung machte oder hinter ihrem Fächer über die finstere Herzogin von Albuguerque lachte,
maerchen_007_f000027|die sie immer begleitete, dachte er an die junge Königin, ihre Mutter, die vor erst kurzer Zeit – so schien es ihm – aus dem fröhlichen Frankreich gekommen und in der düsteren Pracht des spanischen Hofes dahingewelkt war.|die sie immer begleitete, dachte er an die junge Königin, ihre Mutter, die vor erst kurzer Zeit - so schien es ihm - aus dem fröhlichen Frankreich gekommen und in der düsteren Pracht des spanischen Hofes dahingewelkt war.
maerchen_007_f000028|Sie war gerade sechs Monate nach der Geburt ihres Kindes gestorben, bevor sie zweimal in dem Obstgarten die Mandeln blühen gesehen oder eines zweiten Jahres Frucht von dem alten, knorrigen Feigenbaum gepflückt hatte,|Sie war gerade sechs Monate nach der Geburt ihres Kindes gestorben, bevor sie zweimal in dem Obstgarten die Mandeln blühen gesehen oder eines zweiten Jahres Frucht von dem alten, knorrigen Feigenbaum gepflückt hatte,
maerchen_007_f000029|der gerade in der Mitte des jetzt grasbewachsenen Hofraumes stand.|der gerade in der Mitte des jetzt grasbewachsenen Hofraumes stand.
maerchen_007_f000030|So groß war seine Liebe zu ihr gewesen, daß er nicht einmal duldete, daß das Grab sie vor ihm verbarg.|So groß war seine Liebe zu ihr gewesen, daß er nicht einmal duldete, daß das Grab sie vor ihm verbarg.
maerchen_007_f000031|Sie war durch einen maurischen Arzt einbalsamiert worden, dem man zum Lohn für seinen Dienst sein Leben geschenkt hatte, das, wie man erzählte, wegen Ketzerei und Verdacht magischer Kunstgriffe schon der Inquisition verfallen war.|Sie war durch einen maurischen Arzt einbalsamiert worden, dem man zum Lohn für seinen Dienst sein Leben geschenkt hatte, das, wie man erzählte, wegen Ketzerei und Verdacht magischer Kunstgriffe schon der Inquisition verfallen war.
maerchen_007_f000032|Doch jetzt lag ihr Körper auf seiner teppichbedeckten Bahre genau so, wie ihn die Mönche vor nun fast zwölf Jahren an jenem stürmischen Märztag dahingetragen hatten.|Doch jetzt lag ihr Körper auf seiner teppichbedeckten Bahre genau so, wie ihn die Mönche vor nun fast zwölf Jahren an jenem stürmischen Märztag dahingetragen hatten.
maerchen_007_f000033|Einmal in jedem Monat ging der König, in einen dunklen Mantel gehüllt, eine umwickelte Laterne in der Hand, dorthin und kniete an ihrer Seite nieder.|Einmal in jedem Monat ging der König, in einen dunklen Mantel gehüllt, eine umwickelte Laterne in der Hand, dorthin und kniete an ihrer Seite nieder.
maerchen_007_f000034|Mi reina! Mi reina! rief er aus, und manchmal durchbrach er die strenge Etikette, die in Spanien jede einzelne Handlung des Lebens regelt und selbst dem Leid eines Königs Grenzen setzt, und ergriff in einer wilden Schmerzensangst die bleichen,|Mi reina! Mi reina! rief er aus, und manchmal durchbrach er die strenge Etikette, die in Spanien jede einzelne Handlung des Lebens regelt und selbst dem Leid eines Königs Grenzen setzt, und ergriff in einer wilden Schmerzensangst die bleichen,
maerchen_007_f000035|juwelengeschmückten Hände und versuchte, mit seinen wahnsinnigen Küssen das kalte, bemalte Antlitz zu erwecken.|juwelengeschmückten Hände und versuchte, mit seinen wahnsinnigen Küssen das kalte, bemalte Antlitz zu erwecken.
maerchen_007_f000036|Heute schien er sie wieder so zu sehen, wie er sie zuerst auf dem Schloß von Fontainebleau gesehen hatte, als er erst fünfzehn Jahre alt und sie noch jünger war.|Heute schien er sie wieder so zu sehen, wie er sie zuerst auf dem Schloß von Fontainebleau gesehen hatte, als er erst fünfzehn Jahre alt und sie noch jünger war.
maerchen_007_f000037|Sie waren bei jener Gelegenheit von dem päpstlichen Nuntius in Gegenwart des französischen Königs und des ganzen Hofes feierlich verlobt worden,|Sie waren bei jener Gelegenheit von dem päpstlichen Nuntius in Gegenwart des französischen Königs und des ganzen Hofes feierlich verlobt worden,
maerchen_007_f000038|und als er zum Eskorial zurückkehrte, brachte er ein kleines Ringlein von blondem Haar mit sich und die Erinnerung an zwei kindliche Lippen, die sich über seine Hand beugten, um sie zu küssen, als er in seinen Wagen stieg.|und als er zum Eskorial zurückkehrte, brachte er ein kleines Ringlein von blondem Haar mit sich und die Erinnerung an zwei kindliche Lippen, die sich über seine Hand beugten, um sie zu küssen, als er in seinen Wagen stieg.
maerchen_007_f000039|Später war dann die Heirat gefolgt, die man schnell in Burgos, einer kleinen Stadt an der Grenze zwischen den beiden Ländern, geschlossen hatte,|Später war dann die Heirat gefolgt, die man schnell in Burgos, einer kleinen Stadt an der Grenze zwischen den beiden Ländern, geschlossen hatte,
maerchen_007_f000040|und der große öffentliche Einzug in Madrid mit dem herkömmlichen feierlichen Hochamt in der Kirche von La Atocha und einem ungewöhnlich feierlichen Autodafe,|und der große öffentliche Einzug in Madrid mit dem herkömmlichen feierlichen Hochamt in der Kirche von La Atocha und einem ungewöhnlich feierlichen Autodafe,
maerchen_007_f000041|bei dem nahezu dreihundert Ketzer, darunter auch manche Engländer, der geistlichen Gewalt zur Verbrennung übergeben wurden.|bei dem nahezu dreihundert Ketzer, darunter auch manche Engländer, der geistlichen Gewalt zur Verbrennung übergeben wurden.
maerchen_007_f000042|Sicherlich hatte er sie wahnsinnig geliebt, und, wie viele glaubten, zum Schaden seines Landes, das damals mit England um den Besitz der neuen Welt kämpfte.|Sicherlich hatte er sie wahnsinnig geliebt, und, wie viele glaubten, zum Schaden seines Landes, das damals mit England um den Besitz der neuen Welt kämpfte.
maerchen_007_f000043|Er hatte ihr kaum jemals erlaubt, seinen Gesichtskreis zu verlassen; für sie hatte er alle schweren Staatsgeschäfte vergessen, oder schien sie wenigstens vergessen zu haben; und mit jener schrecklichen Blindheit,|Er hatte ihr kaum jemals erlaubt, seinen Gesichtskreis zu verlassen; für sie hatte er alle schweren Staatsgeschäfte vergessen, oder schien sie wenigstens vergessen zu haben; und mit jener schrecklichen Blindheit,
maerchen_007_f000044|die Leidenschaft über ihre Sklaven bringt, bemerkte er nicht, daß die erlesenen Feierlichkeiten, durch die er ihr zu gefallen suchte, nur die seltsame Krankheit verstärkten, an der sie litt.|die Leidenschaft über ihre Sklaven bringt, bemerkte er nicht, daß die erlesenen Feierlichkeiten, durch die er ihr zu gefallen suchte, nur die seltsame Krankheit verstärkten, an der sie litt.
maerchen_007_f000045|Als sie starb, war er, wenigstens eine Zeitlang, wie einer, der seinen Verstand verloren hat.|Als sie starb, war er, wenigstens eine Zeitlang, wie einer, der seinen Verstand verloren hat.
maerchen_007_f000046|Und zweifellos würde er förmlich abgedankt und sich in das große Trappistenkloster zu Granada, dessen Titularprior er schon war, zurückgezogen haben, hätte er sich nicht gefürchtet,|Und zweifellos würde er förmlich abgedankt und sich in das große Trappistenkloster zu Granada, dessen Titularprior er schon war, zurückgezogen haben, hätte er sich nicht gefürchtet,
maerchen_007_f000047|die kleine Infantin der Gewalt seines Bruders zu überlassen, der wegen seiner Grausamkeit selbst in Spanien berüchtigt war, und von dem viele vermuteten, er habe den Tod der Königin durch ein Paar vergifteter Handschuhe herbeigeführt,|die kleine Infantin der Gewalt seines Bruders zu überlassen, der wegen seiner Grausamkeit selbst in Spanien berüchtigt war, und von dem viele vermuteten, er habe den Tod der Königin durch ein Paar vergifteter Handschuhe herbeigeführt,
maerchen_007_f000048|die er ihr bei ihrem Besuche in seinem Schlosse in Aragonien geschenkt hatte.|die er ihr bei ihrem Besuche in seinem Schlosse in Aragonien geschenkt hatte.
