altehaus_001_f000001|Kapitel 1.|Kapitel eins.
altehaus_009_1_f000048|daß die Nachbarn dort sie ansehen und erkennen und dann auch wissen müßten, weßhalb sie eigentlich so erschreckt sei – obgleich das eben gar kein Mensch hier wissen konnte –,|daß die Nachbarn dort sie ansehen und erkennen und dann auch wissen müßten, weßhalb sie eigentlich so erschreckt sei - obgleich das eben gar kein Mensch hier wissen konnte -,
altehaus_009_1_f000049|trat sie zu dem kleinen Ladenfenster hin, das eine Masse der verschiedenartigsten Artikel dem Auge der Vorübergehenden ausgestellt bot.|trat sie zu dem kleinen Ladenfenster hin, das eine Masse der verschiedenartigsten Artikel dem Auge der Vorübergehenden ausgestellt bot.
altehaus_009_1_f000050|Fischhaken und auf wettergebräuntem Papier aufgereihte Stahlfedern, schmutzige Puppenköpfe und in Strahlen aufgesteckte Stricknadeln, Büchschen mit Pomade und Oelen à la mille fleurs wie à la vanille; Päckchen mit Papilloten und Streichhölzchen;|Fischhaken und auf wettergebräuntem Papier aufgereihte Stahlfedern, schmutzige Puppenköpfe und in Strahlen aufgesteckte Stricknadeln, Büchschen mit Pomade und Oelen a la mille fleurs wie a la vanille; Päckchen mit Papilloten und Streichhölzchen;
altehaus_009_1_f000051|kleine Gläser mit verschlossenen Bonbons und staubigem Gerstenzucker, lackirte Schnupftabaks-Dosen und Brillen-Futterale;|kleine Gläser mit verschlossenen Bonbons und staubigem Gerstenzucker, lackirte Schnupftabaks-Dosen und Brillen-Futterale;
altehaus_009_1_f000052|Licht- und Augenschirme etc. etc., Alles war hier zu haben.|Licht- und Augenschirme etc. etc., Alles war hier zu haben.
altehaus_009_1_f000053|Selbst die schmale Glasthür, zu der drei von Eis freigehaltene und sorgfältig mit Asche bestreute Stufen hinaufführten, war inwendig mit angefrorenen Dochten und Garn und Bandproben behängt.|Selbst die schmale Glasthür, zu der drei von Eis freigehaltene und sorgfältig mit Asche bestreute Stufen hinaufführten, war inwendig mit angefrorenen Dochten und Garn und Bandproben behängt.
altehaus_009_1_f000054|Marie kämpfte mit einem eigenen Entschlusse – sie wollte eintreten in den Laden und dadurch ihren thörichten Ideen und Träumen gleich ein Ende machen.|Marie kämpfte mit einem eigenen Entschlusse - sie wollte eintreten in den Laden und dadurch ihren thörichten Ideen und Träumen gleich ein Ende machen.
altehaus_009_1_f000055|Ein Vorwand war ja leicht gefunden – brauchte sie doch nur nach ein Paar Stecknadeln, einem Fingerhut oder sonst einer unbedeutenden Kleinigkeit zu fragen.|Ein Vorwand war ja leicht gefunden - brauchte sie doch nur nach ein Paar Stecknadeln, einem Fingerhut oder sonst einer unbedeutenden Kleinigkeit zu fragen.
altehaus_009_1_f000056|Und doch wieder fürchtete sie sich und mochte sich nicht eingestehen, weßhalb.|Und doch wieder fürchtete sie sich und mochte sich nicht eingestehen, weßhalb.
altehaus_009_1_f000057|Da ging die Thür neben ihr so plötzlich auf, daß sie einen leisen Schrei kaum unterdrücken konnte; die freundliche Anrede aber, die in der Gestalt der Frau Bause auf der Schwelle erschien, machte ihrem weiteren Zaudern ein rasches Ende.|Da ging die Thür neben ihr so plötzlich auf, daß sie einen leisen Schrei kaum unterdrücken konnte; die freundliche Anrede aber, die in der Gestalt der Frau Bause auf der Schwelle erschien, machte ihrem weiteren Zaudern ein rasches Ende.
altehaus_009_1_f000058|Aber, mein liebwerthestes Fräulein Hechner – habe ich denn auch einmal das Vergnügen, Sie wiederzusehen? – und wie groß und hübsch Sie geworden sind!|Aber, mein liebwerthestes Fräulein Hechner - habe ich denn auch einmal das Vergnügen, Sie wiederzusehen? - und wie groß und hübsch Sie geworden sind!
altehaus_009_1_f000059|Aber so treten Sie doch nur einen Augenblick herein.|Aber so treten Sie doch nur einen Augenblick herein.
altehaus_009_1_f000060|Als kleines Kind, und ehe Sie krank wurden, wo Sie dann gar nicht mehr in die weite Schule gingen, sind Sie ja so oft bei mir eingesprochen und haben sich einen Bonbon oder ein Stückchen Gerstenzucker geholt.|Als kleines Kind, und ehe Sie krank wurden, wo Sie dann gar nicht mehr in die weite Schule gingen, sind Sie ja so oft bei mir eingesprochen und haben sich einen Bonbon oder ein Stückchen Gerstenzucker geholt.
altehaus_009_1_f000061|Lieber Gott, werden doch die alte Frau Bause in den Paar Jahren nicht ganz vergessen haben!|Lieber Gott, werden doch die alte Frau Bause in den Paar Jahren nicht ganz vergessen haben!
altehaus_009_1_f000062|Und während die Frau das mit freundlicher Stimme sprach und die schmale Thür weit dabei geöffnet hielt, bimmelte ein silberreines Glöckchen,|Und während die Frau das mit freundlicher Stimme sprach und die schmale Thür weit dabei geöffnet hielt, bimmelte ein silberreines Glöckchen,
altehaus_009_1_f000063|das oben an einer eingebogenen Feder befestigt war, in Einem fort, und so vergnügt, als ob es sich selber freue, hier draußen eine alte Bekannte begrüßen und gleich auch bewillkommnen zu können.|das oben an einer eingebogenen Feder befestigt war, in Einem fort, und so vergnügt, als ob es sich selber freue, hier draußen eine alte Bekannte begrüßen und gleich auch bewillkommnen zu können.
altehaus_009_1_f000064|Marie stand, keines Entschlusses fähig, vor der Frau.|Marie stand, keines Entschlusses fähig, vor der Frau.
altehaus_009_1_f000065|Ihr erster Gedanke war freilich, mit kurzem Gruß ihrem Laden den Rücken zu kehren und die gefährliche Stelle so rasch als möglich zu meiden.|Ihr erster Gedanke war freilich, mit kurzem Gruß ihrem Laden den Rücken zu kehren und die gefährliche Stelle so rasch als möglich zu meiden.
altehaus_009_1_f000066|Aber die Frau sprach gar so freundlich mit ihr, und wenn sie auch in der That selber nicht recht wußte, wie sie dahin gekommen,|Aber die Frau sprach gar so freundlich mit ihr, und wenn sie auch in der That selber nicht recht wußte, wie sie dahin gekommen,
altehaus_009_1_f000067|fand sie sich doch wenige Secunden später in der engen Thür, indeß die kleine Glocke über ihr einen wahren Sturmmarsch von Seligkeit jubelte.|fand sie sich doch wenige Secunden später in der engen Thür, indeß die kleine Glocke über ihr einen wahren Sturmmarsch von Seligkeit jubelte.
altehaus_009_1_f000068|Nein, Mamsell Hechner, das freut mich ja ganz unmenschlich, Sie auch einmal wieder bei mir zu sehen!|Nein, Mamsell Hechner, das freut mich ja ganz unmenschlich, Sie auch einmal wieder bei mir zu sehen!
altehaus_009_1_f000069|rief dabei die Frau, des jungen Mädchens Hand ergreifend und dieses mehr nach der Mitte des kleinen Ladens, von der Thür wegführend – ich hatte es doch bald aufgegeben, Sie je wieder bei mir zu sehen – ja, lieber Gott, wie die Zeit vergeht!|rief dabei die Frau, des jungen Mädchens Hand ergreifend und dieses mehr nach der Mitte des kleinen Ladens, von der Thür wegführend - ich hatte es doch bald aufgegeben, Sie je wieder bei mir zu sehen - ja, lieber Gott, wie die Zeit vergeht!
altehaus_009_1_f000070|214  Marie konnte noch nicht antworten – es war, als ob ihr die Worte in der Kehle stecken blieben, und nur ihr Auge schweifte rastlos über die Gestalt der vor ihr Stehenden hin, nach den Fächern des Ladens hinüber und dann zu jener zurück.|zweihundertvierzehn  Marie konnte noch nicht antworten - es war, als ob ihr die Worte in der Kehle stecken blieben, und nur ihr Auge schweifte rastlos über die Gestalt der vor ihr Stehenden hin, nach den Fächern des Ladens hinüber und dann zu jener zurück.
altehaus_009_1_f000071|Der kleine Raum war dicht gedrängt voll von den verschiedenartigsten Waaren, die in schmalen, bis zur Decke laufenden Fächern alle drei Wände einnahmen und für die in das Nebenstübchen führende Thür nur eben den allernothwendigsten Raum übrig gelassen hatten.|Der kleine Raum war dicht gedrängt voll von den verschiedenartigsten Waaren, die in schmalen, bis zur Decke laufenden Fächern alle drei Wände einnahmen und für die in das Nebenstübchen führende Thür nur eben den allernothwendigsten Raum übrig gelassen hatten.
altehaus_009_1_f000072|Und schmunzelnd und nickend stand die Frau Bause dazwischen, dieselbe hohe spitze Mütze auf, in der Marie schon als Kind sie in ihrer Ladenthür hatte sitzen sehen.|Und schmunzelnd und nickend stand die Frau Bause dazwischen, dieselbe hohe spitze Mütze auf, in der Marie schon als Kind sie in ihrer Ladenthür hatte sitzen sehen.
altehaus_009_1_f000073|Die weißen, breiten, sauberen Bänder waren unter dem etwas spitzigen Kinn in einen sorgfältigen Knoten zusammengebunden, und das etwas gelbliche Gesicht stach scharf gegen die schneeige Einrahmung derselben ab.|Die weißen, breiten, sauberen Bänder waren unter dem etwas spitzigen Kinn in einen sorgfältigen Knoten zusammengebunden, und das etwas gelbliche Gesicht stach scharf gegen die schneeige Einrahmung derselben ab.
altehaus_009_1_f000074|Sie trug dabei – und Marie erschrak fast, als sie die Farbe sah – ein schwefelgelbes wollenes Umschlagetuch über einer eben so farbigen Jacke und darunter einen blau- und rothgestreiften Rock mit einer schneeweißen und so breiten Schürze,|Sie trug dabei - und Marie erschrak fast, als sie die Farbe sah - ein schwefelgelbes wollenes Umschlagetuch über einer eben so farbigen Jacke und darunter einen blau- und rothgestreiften Rock mit einer schneeweißen und so breiten Schürze,
altehaus_009_1_f000075|daß sie fast drei Viertheile des letzteren bedeckte.|daß sie fast drei Viertheile des letzteren bedeckte.
altehaus_009_1_f000076|Und was für ein niedliches Kindchen Sie damals waren! fuhr die Frau fort.|Und was für ein niedliches Kindchen Sie damals waren! fuhr die Frau fort.
altehaus_009_1_f000077|– Sie sind noch niedlich, Mamsellchen, aber doch jetzt natürlich viel ansehnlicher geworden – aber damals – nein, gar so ein liebes Herzchen, und meine Rosenbonbons, die schmeckten Ihnen nun vor allem Anderen gut.|- Sie sind noch niedlich, Mamsellchen, aber doch jetzt natürlich viel ansehnlicher geworden - aber damals - nein, gar so ein liebes Herzchen, und meine Rosenbonbons, die schmeckten Ihnen nun vor allem Anderen gut.
altehaus_009_1_f000078|Wissen Sie wohl, daß ich einen von meiner besten Sorte ein ganzes Jahr habe da oben liegen gehabt, der nur auf Sie gewartet hat?|Wissen Sie wohl, daß ich einen von meiner besten Sorte ein ganzes Jahr habe da oben liegen gehabt, der nur auf Sie gewartet hat?
altehaus_009_1_f000079|Aber wer nicht mehr kam, war natürlich das Mariechen.|Aber wer nicht mehr kam, war natürlich das Mariechen.
altehaus_009_1_f000080|Marien schwamm es vor den Augen – die Traumgestalt und die wirkliche Frau Baust fingen an, sich vor ihren Augen zu drehen – die Haubenzipfel zuckten wieder in Strahlen aus, wie zu jener Zeit,|Marien schwamm es vor den Augen - die Traumgestalt und die wirkliche Frau Baust fingen an, sich vor ihren Augen zu drehen - die Haubenzipfel zuckten wieder in Strahlen aus, wie zu jener Zeit,
altehaus_009_1_f000081|und der Laden mit all seinen Gläsern und Büchsen und Päckchen und Schachteln sog sich voll von dem grellen Gelb des Tuches und der Jacke und flimmerte und glitzerte vor ihren Augen.|und der Laden mit all seinen Gläsern und Büchsen und Päckchen und Schachteln sog sich voll von dem grellen Gelb des Tuches und der Jacke und flimmerte und glitzerte vor ihren Augen.
altehaus_009_1_f000082|Sie mußte sich an den Ladentisch anhalten, um nicht schwindelig zu werden, und fühlte dabei ordentlich, wie das Blut ihre Wangen verließ.|Sie mußte sich an den Ladentisch anhalten, um nicht schwindelig zu werden, und fühlte dabei ordentlich, wie das Blut ihre Wangen verließ.
altehaus_009_1_f000083|Jesus, meine Güte! rief da die Frau Bause und sprang zu, sie zu halten – Sie sehen ja kreideweiß aus, Mamsellchen!|Jesus, meine Güte! rief da die Frau Bause und sprang zu, sie zu halten - Sie sehen ja kreideweiß aus, Mamsellchen!
altehaus_009_1_f000084|Ich danke, lächelte Marie verlegen – es war nur so ein Augenblick – ein plötzlicher Schwindel – mir ist schon wieder viel besser – schon ganz wohl.|Ich danke, lächelte Marie verlegen - es war nur so ein Augenblick - ein plötzlicher Schwindel - mir ist schon wieder viel besser - schon ganz wohl.
altehaus_009_1_f000085|Das macht die heiße Luft hier im Laden, sagte die Frau gutmüthig, indem sie eine ihrer Hände faßte und streichelte; der rasche Uebergang von der Kälte draußen greift die Kopfnerven an und erregt Schwindel.|Das macht die heiße Luft hier im Laden, sagte die Frau gutmüthig, indem sie eine ihrer Hände faßte und streichelte; der rasche Uebergang von der Kälte draußen greift die Kopfnerven an und erregt Schwindel.
altehaus_009_1_f000086|Das wollen wir aber schon wieder verbessern, setzte sie dann geschäftig hinzu, indem sie nach ihrem, unter der Schürze hängenden Schlüsselbunde griff,|Das wollen wir aber schon wieder verbessern, setzte sie dann geschäftig hinzu, indem sie nach ihrem, unter der Schürze hängenden Schlüsselbunde griff,
altehaus_009_1_f000087|das wollen wir bald curiren, und Bonbons kann ich dem Mamsellchen doch nicht mehr vorsetzen, dazu ist sie mir ja viel zu groß geworden.|das wollen wir bald curiren, und Bonbons kann ich dem Mamsellchen doch nicht mehr vorsetzen, dazu ist sie mir ja viel zu groß geworden.
altehaus_009_1_f000088|Mit emsiger Geschäftigkeit drückte sie sich dabei durch die etwas enge Passage hinter den Ladentisch, öffnete hier ein kleines schmales Fach und nahm eine Flasche und ein Glas heraus, mit dem sie zurück zu Marien kam.|Mit emsiger Geschäftigkeit drückte sie sich dabei durch die etwas enge Passage hinter den Ladentisch, öffnete hier ein kleines schmales Fach und nahm eine Flasche und ein Glas heraus, mit dem sie zurück zu Marien kam.
altehaus_009_1_f000089|Hier, sagte sie, indem sie den Stöpsel dabei öffnete und einen dunkelfarbigen und aromatisch duftenden Madeira in das kleine Glas schenkte, hier, mein liebes Mariechen – Sie dürfen nicht böse sein,|Hier, sagte sie, indem sie den Stöpsel dabei öffnete und einen dunkelfarbigen und aromatisch duftenden Madeira in das kleine Glas schenkte, hier, mein liebes Mariechen - Sie dürfen nicht böse sein,
altehaus_009_1_f000090|wenn ich Sie noch so nenne, denn ich meine es ja gut – das trinken Sie nur getrost auf Einen Schluck hinunter – es ist alter, echter Madeira, und nur für solche Gelegenheiten bestimmt – der geht Ihnen wie frisches Feuer und Lebensblut durch die Adern.|wenn ich Sie noch so nenne, denn ich meine es ja gut - das trinken Sie nur getrost auf Einen Schluck hinunter - es ist alter, echter Madeira, und nur für solche Gelegenheiten bestimmt - der geht Ihnen wie frisches Feuer und Lebensblut durch die Adern.
altehaus_009_1_f000091|Marie nahm halb willenlos das Glas, und wieder zuckte ihr die fremde Traumgestalt durch das Hirn.|Marie nahm halb willenlos das Glas, und wieder zuckte ihr die fremde Traumgestalt durch das Hirn.
altehaus_009_1_f000092|Sie sah jene Margareth vor sich, wie sie mit der weißen Schürze und der angerichteten Schüssel in die Stube getreten war und sie zuletzt gewarnt hatte, nichts zu genießen, weil sie sonst da bleiben müsse und nie wieder hinüber dürfe zu ihren Eltern.|Sie sah jene Margareth vor sich, wie sie mit der weißen Schürze und der angerichteten Schüssel in die Stube getreten war und sie zuletzt gewarnt hatte, nichts zu genießen, weil sie sonst da bleiben müsse und nie wieder hinüber dürfe zu ihren Eltern.
altehaus_009_1_f000093|Und wenn sie jetzt nun hätte hier bleiben müssen in der Gewalt der Frau – sie hielt das Glas noch zögernd in der Hand.|Und wenn sie jetzt nun hätte hier bleiben müssen in der Gewalt der Frau - sie hielt das Glas noch zögernd in der Hand.
altehaus_009_1_f000094|Das dürfen Sie trinken, sagte die Frau Bause, ihr mit den Augen zublinzelnd, als ob sie ihre Gedanken errathen hätte.|Das dürfen Sie trinken, sagte die Frau Bause, ihr mit den Augen zublinzelnd, als ob sie ihre Gedanken errathen hätte.
altehaus_009_1_f000095|Es hat keine Gefahr, Mamsellchen – reineren Wein giebtes nicht auf der Welt und kein besseres Getränk für schwache Nerven.|Es hat keine Gefahr, Mamsellchen - reineren Wein giebtes nicht auf der Welt und kein besseres Getränk für schwache Nerven.
altehaus_009_1_f000096|Marie faßte das Glas fast krampfhaft, aber sie fühlte auch, daß sie der Stärkung bedürfe, und leerte es auf Einen Zug.|Marie faßte das Glas fast krampfhaft, aber sie fühlte auch, daß sie der Stärkung bedürfe, und leerte es auf Einen Zug.
altehaus_009_1_f000097|Bravo! rief die Frau Bause und klatschte in die Hände, daß es schallte, und nun sollen Sie einmal sehen, ob Ihnen nicht im Handumdrehen besser ist – so, mein Kindchen, geben Sie mir nur das Glas – die alte Bause hat es noch immer gut mit Ihnen gemeint.|Bravo! rief die Frau Bause und klatschte in die Hände, daß es schallte, und nun sollen Sie einmal sehen, ob Ihnen nicht im Handumdrehen besser ist - so, mein Kindchen, geben Sie mir nur das Glas - die alte Bause hat es noch immer gut mit Ihnen gemeint.
altehaus_009_1_f000098|Ich danke Ihnen, sagte jetzt Marie, den dargebotenen Stuhl benutzend und sich daraus niederlassend, und glaube wohl, daß mir der Wein gut thun wird.|Ich danke Ihnen, sagte jetzt Marie, den dargebotenen Stuhl benutzend und sich daraus niederlassend, und glaube wohl, daß mir der Wein gut thun wird.
altehaus_009_1_f000099|Es war nur eine augenblickliche Schwäche – wahrscheinlich, wie Sie sagen, von der raschen Veränderung der Luft herrührend.|Es war nur eine augenblickliche Schwäche - wahrscheinlich, wie Sie sagen, von der raschen Veränderung der Luft herrührend.
altehaus_009_1_f000100|Von weiter nichts, mein bestes Mamsellchen, von weiter nichts, sagte die alte Frau gutmüthig; sollte mir aber doch auch erschrecklich leid gethan haben,|Von weiter nichts, mein bestes Mamsellchen, von weiter nichts, sagte die alte Frau gutmüthig; sollte mir aber doch auch erschrecklich leid gethan haben,
altehaus_009_1_f000101|wenn Sie nach so langer Zeit endlich einmal wieder Ihre alte Frau Bause aufgesucht hätten und bei ihr krank geworden wären.|wenn Sie nach so langer Zeit endlich einmal wieder Ihre alte Frau Bause aufgesucht hätten und bei ihr krank geworden wären.
altehaus_009_1_f000102|Oder wollten Sie gar nicht zu mir hereinkommen, und war es nur im Vorübergehen, daß ich mir die Freude gemacht habe, Sie aufzufangen?|Oder wollten Sie gar nicht zu mir hereinkommen, und war es nur im Vorübergehen, daß ich mir die Freude gemacht habe, Sie aufzufangen?
altehaus_009_1_f000103|Ich bin allerdings nur zufällig durch die Straße gekommen, sagte Marie, leicht erröthend, aber wie ich Ihr Schild sah und wiedererkannte – mochte ich doch nicht vorbeigehen.|Ich bin allerdings nur zufällig durch die Straße gekommen, sagte Marie, leicht erröthend, aber wie ich Ihr Schild sah und wiedererkannte - mochte ich doch nicht vorbeigehen.
altehaus_009_1_f000104|Das ist brav von Ihnen, mein liebes, bestes Mariechen, das ist recht brav, sagte die alte Frau, und jetzt wollte ich, wüßte ich nur etwas, das ich Ihnen zu Gefallen thun könnte,|Das ist brav von Ihnen, mein liebes, bestes Mariechen, das ist recht brav, sagte die alte Frau, und jetzt wollte ich, wüßte ich nur etwas, das ich Ihnen zu Gefallen thun könnte,
altehaus_009_1_f000105|um Ihnen zu beweisen, wie große Freude Sie mir gemacht haben – und beinahe wären wir noch dazu Nachbarsleute geworden, setzte sie lächelnd hinzu.|um Ihnen zu beweisen, wie große Freude Sie mir gemacht haben - und beinahe wären wir noch dazu Nachbarsleute geworden, setzte sie lächelnd hinzu.
altehaus_009_1_f000106|Nachbarsleute? fragte Marie rasch und erstaunt.|Nachbarsleute? fragte Marie rasch und erstaunt.
altehaus_009_1_f000107|Nun ja, der junge Herr Schierling – so ein braver, rechtschaffener Mensch, wie nicht weiter auf Gottes Erde lebt, und steinreich dabei und jung und hübsch – nun, Sie kennen ihn ja doch,|Nun ja, der junge Herr Schierling - so ein braver, rechtschaffener Mensch, wie nicht weiter auf Gottes Erde lebt, und steinreich dabei und jung und hübsch - nun, Sie kennen ihn ja doch,
altehaus_009_1_f000108|und Ihnen brauche ich ihn nicht zu beschreiben – wird doch wieder in das alte Haus hineinziehen, das ihm die Gerichte endlich zugesprochen haben, und da wollte er mich gern als Haushälterin zu sich nehmen.|und Ihnen brauche ich ihn nicht zu beschreiben - wird doch wieder in das alte Haus hineinziehen, das ihm die Gerichte endlich zugesprochen haben, und da wollte er mich gern als Haushälterin zu sich nehmen.
altehaus_009_1_f000109|Sie, Frau Bause?|Sie, Frau Bause?
altehaus_009_1_f000110|Nun ja, habe ich ihn doch auf diesen Armen herum getragen, wie er noch so klein war, und ihn genährt viel lange Monate durch, wie seine Mutter, Gott habe sie selig! dem schweren Wochenbett erlegen war, den braven jungen Herrn Schierling.|Nun ja, habe ich ihn doch auf diesen Armen herum getragen, wie er noch so klein war, und ihn genährt viel lange Monate durch, wie seine Mutter, Gott habe sie selig! dem schweren Wochenbett erlegen war, den braven jungen Herrn Schierling.
altehaus_009_1_f000111|Und so ein gutes, dankbares Gemüth!|Und so ein gutes, dankbares Gemüth!
altehaus_009_1_f000112|Und Sie ziehen hinüber? fragte Marie, kaum der Worte bewußt, die sie sprach, und nur bemüht, der Frau die Bewegung zu verbergen, die nicht allein ihre Rede, nein, schon ihr Anblick in ihr hervorgerufen.|Und Sie ziehen hinüber? fragte Marie, kaum der Worte bewußt, die sie sprach, und nur bemüht, der Frau die Bewegung zu verbergen, die nicht allein ihre Rede, nein, schon ihr Anblick in ihr hervorgerufen.
altehaus_009_1_f000113|Doch wohl nicht, mein schönes Mamsellchen, sagte die Frau kopfschüttelnd – erstlich habe ich hier mein Auskommen und bin nun einmal daran gewöhnt, frei und unabhängig in der Welt dazustehen,|Doch wohl nicht, mein schönes Mamsellchen, sagte die Frau kopfschüttelnd - erstlich habe ich hier mein Auskommen und bin nun einmal daran gewöhnt, frei und unabhängig in der Welt dazustehen,
altehaus_009_1_f000114|und dann – man wird auch alt, und seit ich bei der Madame Schierling in Diensten stand, sind schon manche, manche Jahre verflossen.|und dann - man wird auch alt, und seit ich bei der Madame Schierling in Diensten stand, sind schon manche, manche Jahre verflossen.
altehaus_009_1_f000115|Es freut Einen allerdings, wenn man sieht, daß Einen noch andere Leute haben wollen; aber ich habe es hier doch gut, und mein Geschäft, mit dem, was ich daneben verdiene, nährt und erhält mich vollkommen.|Es freut Einen allerdings, wenn man sieht, daß Einen noch andere Leute haben wollen; aber ich habe es hier doch gut, und mein Geschäft, mit dem, was ich daneben verdiene, nährt und erhält mich vollkommen.
altehaus_009_1_f000116|Aber nicht wahr, sagte Marie, und fühlte dabei, wie ihr das Blut – sie wußte selber eigentlich nicht, warum – in Stirn und Schläfe stieg, nicht wahr, was die Leute von Ihnen sagen, daß Sie aus Karten und Bleiguß ihre künftigen Schicksale prophezeien, ist doch nicht wahr?|Aber nicht wahr, sagte Marie, und fühlte dabei, wie ihr das Blut - sie wußte selber eigentlich nicht, warum - in Stirn und Schläfe stieg, nicht wahr, was die Leute von Ihnen sagen, daß Sie aus Karten und Bleiguß ihre künftigen Schicksale prophezeien, ist doch nicht wahr?
altehaus_009_1_f000117|Und warum nicht, mein schönes Mamsellchen? lächelte die Frau Bause und nahm dabei in einer Art Gewohnheit ein altes Tuch, das neben ihr lag, die ihr zunächst stehenden Glaskasten abzuwischen und vom Staube zu befreien – warum nicht?|Und warum nicht, mein schönes Mamsellchen? lächelte die Frau Bause und nahm dabei in einer Art Gewohnheit ein altes Tuch, das neben ihr lag, die ihr zunächst stehenden Glaskasten abzuwischen und vom Staube zu befreien - warum nicht?
altehaus_009_1_f000118|Manche spotten freilich darüber, wie ich recht gut weiß; beredet wird man ja doch in der Welt, man mag thun oder lassen, was man will.|Manche spotten freilich darüber, wie ich recht gut weiß; beredet wird man ja doch in der Welt, man mag thun oder lassen, was man will.
altehaus_009_1_f000119|Und glauben Sie wirklich, daß Gott uns in bunten Blättern, denen wir unsere eigene Deutung geben, die Zukunft offenbaren würde? fragte Marie.|Und glauben Sie wirklich, daß Gott uns in bunten Blättern, denen wir unsere eigene Deutung geben, die Zukunft offenbaren würde? fragte Marie.
altehaus_009_1_f000120|Die Frau Bause zuckte die Achseln und erwiderte: Es ist Manches wunderbar in der Welt, mein gutes Mamsellchen – Manches sehr wunderbar, und es passiren Sachen, setzte sie mit einem eigenthümlichen Blicke hinzu, die sich manche Menschen nicht einmal träumen lassen.|Die Frau Bause zuckte die Achseln und erwiderte: Es ist Manches wunderbar in der Welt, mein gutes Mamsellchen - Manches sehr wunderbar, und es passiren Sachen, setzte sie mit einem eigenthümlichen Blicke hinzu, die sich manche Menschen nicht einmal träumen lassen.
altehaus_009_1_f000121|Uebrigens erfahren wir auch eben nicht viel mehr von unseren künftigen Schicksalen, als uns gerade gut ist – und das ist meist ungemein wenig, und dann zeigt sich das auch oft als ein sehr mißliches Geschäft.|Uebrigens erfahren wir auch eben nicht viel mehr von unseren künftigen Schicksalen, als uns gerade gut ist - und das ist meist ungemein wenig, und dann zeigt sich das auch oft als ein sehr mißliches Geschäft.
altehaus_009_1_f000122|Nicht allen Menschen läßt sich Gutes prophezeien, und spricht man die Wahrheit, hates Einem Niemand Dank.|Nicht allen Menschen läßt sich Gutes prophezeien, und spricht man die Wahrheit, hates Einem Niemand Dank.
altehaus_009_1_f000123|Aber heißt es nicht freveln, sagte Marie mit leiser, kaum hörbarer Stimme, wenn wir durch irgend eine geheime Macht das zu erlangen suchen, was uns Gott in seiner allweisen Güte selbst verhüllt?|Aber heißt es nicht freveln, sagte Marie mit leiser, kaum hörbarer Stimme, wenn wir durch irgend eine geheime Macht das zu erlangen suchen, was uns Gott in seiner allweisen Güte selbst verhüllt?
altehaus_009_1_f000124|– Sie dachte dabei der Worte, die jene Margareth im Traume damals zu ihr gesprochen, und das Herz klopfte ihr stärker, als der Gedanke in ihr aufstieg, die Frau zu fragen, ob sie ihr nicht einmal ihr Schicksal prophezeien wolle.|- Sie dachte dabei der Worte, die jene Margareth im Traume damals zu ihr gesprochen, und das Herz klopfte ihr stärker, als der Gedanke in ihr aufstieg, die Frau zu fragen, ob sie ihr nicht einmal ihr Schicksal prophezeien wolle.
altehaus_009_1_f000125|Die Frau Bause aber sagte rasch:|Die Frau Bause aber sagte rasch:
altehaus_009_1_f000126|Freveln?|Freveln?
altehaus_009_1_f000127|Nein, mein gutes Mamsellchen, freveln können Sie das nicht nennen.|Nein, mein gutes Mamsellchen, freveln können Sie das nicht nennen.
altehaus_009_1_f000128|Sagt denn die Bibel nicht selber: Suchet, so werdet Ihr finden, klopfet an, so wird Euch aufgethan?|Sagt denn die Bibel nicht selber: Suchet, so werdet Ihr finden, klopfet an, so wird Euch aufgethan?
altehaus_009_1_f000129|Und wenn man nun einmal mit leisem Finger an der Zukunft Pforte anpochte, wäre es doch nicht gefrevelt.|Und wenn man nun einmal mit leisem Finger an der Zukunft Pforte anpochte, wäre es doch nicht gefrevelt.
altehaus_009_1_f000130|Die Antwort steht jenen Mächten ja frei – und manchmal verweigern die sie auch.|Die Antwort steht jenen Mächten ja frei - und manchmal verweigern die sie auch.
altehaus_009_1_f000131|Alle Menschen können das aber auch nicht vertragen, und Ihnen, mein gutes Mamsellchen, setzte sie plötzlich hinzu, prophezeite ich zum Beispiel schon gar nicht, und wenn Sie mir Gott weiß was dafür geben wollten.|Alle Menschen können das aber auch nicht vertragen, und Ihnen, mein gutes Mamsellchen, setzte sie plötzlich hinzu, prophezeite ich zum Beispiel schon gar nicht, und wenn Sie mir Gott weiß was dafür geben wollten.
altehaus_009_1_f000132|Mir nicht?|Mir nicht?
altehaus_009_1_f000133|sagte Marie und stand rasch von dem Stuhle auf.|sagte Marie und stand rasch von dem Stuhle auf.
altehaus_009_1_f000134|Sie fühlte, wie sie bei den Worten erblich.|Sie fühlte, wie sie bei den Worten erblich.
altehaus_009_1_f000135|Nein, mein gutes Mariechen.|Nein, mein gutes Mariechen.
altehaus_009_1_f000136|Sie haben viel zu schwache Nerven und sehen jetzt schon wieder ganz bleich aus – bleiben Sie doch lieber noch ein Bißchen sitzen.|Sie haben viel zu schwache Nerven und sehen jetzt schon wieder ganz bleich aus - bleiben Sie doch lieber noch ein Bißchen sitzen.
