imalavoglia_00_verga_f000001|Prefazione.|Prefazione.
imalavoglia_09_verga_f000114|colla faccia seria come se fosse per cascare il mondo.|colla faccia seria come se fosse per cascare il mondo.
imalavoglia_09_verga_f000115|Alla spezieria c’erano i soliti sfaccendati, che si dicevano le orazioni, col giornale in mano|Alla spezieria cerano i soliti sfaccendati, che si dicevano le orazioni, col giornale in mano
imalavoglia_09_verga_f000116|o si piantavano le mani sulla faccia, chiacchierando, quasi volessero accapigliarsi;|o si piantavano le mani sulla faccia, chiacchierando, quasi volessero accapigliarsi;
imalavoglia_09_verga_f000117|e don Giammaria rideva e ci tirava su una presa, che si vedeva di là il piacere che gli faceva.|e don Giammaria rideva e ci tirava su una presa, che si vedeva di là il piacere che gli faceva.
imalavoglia_09_verga_f000118|— O perché non sono venuti il vicario e don Silvestro?|- O perché non sono venuti il vicario e don Silvestro?
imalavoglia_09_verga_f000119|— domandò Piedipapera.|- domandò Piedipapera.
imalavoglia_09_verga_f000120|— Gliel’ho detto anche a loro, ma vuol dire che hanno da fare, — rispose padron Antoni.|- Glielho detto anche a loro, ma vuol dire che hanno da fare, - rispose padron Antoni.
imalavoglia_09_verga_f000121|— Son là, alla spezieria, che sembra ci sia quello dei numeri del lotto.|- Son là, alla spezieria, che sembra ci sia quello dei numeri del lotto.
imalavoglia_09_verga_f000122|O cosa diavolo è successo?|O cosa diavolo è successo?
imalavoglia_09_verga_f000123|Una vecchia andava strillando per la piazza, e si strappava i capelli, quasi le avessero portata la malanuova;|Una vecchia andava strillando per la piazza, e si strappava i capelli, quasi le avessero portata la malanuova;
imalavoglia_09_verga_f000124|e davanti alla bottega di Pizzuto c’era folla come quando casca un asino sotto il carico, e tutti si affollano a vedere cos’è stato|e davanti alla bottega di Pizzuto cera folla come quando casca un asino sotto il carico, e tutti si affollano a vedere cosè stato
imalavoglia_09_verga_f000125|talché anche le donnicciuole guardavano da lontano colla bocca aperta, senza osare d’accostarsi.|talché anche le donnicciuole guardavano da lontano colla bocca aperta, senza osare daccostarsi.
imalavoglia_09_verga_f000126|— Io, per me, vado a vedere cos’è successo;|- Io, per me, vado a vedere cosè successo;
imalavoglia_09_verga_f000127|— disse Piedipapera, e scese dal muro adagio adagio.|- disse Piedipapera, e scese dal muro adagio adagio.
imalavoglia_09_verga_f000128|In quel crocchio, invece dell’asino caduto, c’erano due soldati di marina|In quel crocchio, invece dellasino caduto, cerano due soldati di marina
imalavoglia_09_verga_f000129|col sacco in spalla e le teste fasciate, che tornavano in congedo.|col sacco in spalla e le teste fasciate, che tornavano in congedo.
imalavoglia_09_verga_f000130|Intanto si erano fermati dal barbiere a farsi dare un bicchierino d’erbabianca.|Intanto si erano fermati dal barbiere a farsi dare un bicchierino derbabianca.
imalavoglia_09_verga_f000131|Raccontavano che si era combattuta una gran battaglia di mare|Raccontavano che si era combattuta una gran battaglia di mare
imalavoglia_09_verga_f000132|e si erano annegati dei bastimenti grandi come Aci Trezza, carichi zeppi di soldati;|e si erano annegati dei bastimenti grandi come Aci Trezza, carichi zeppi di soldati;
imalavoglia_09_verga_f000133|insomma un mondo di cose che parevano quelli che raccontano la storia d’Orlando e dei paladini di Francia alla Marina di Catania|insomma un mondo di cose che parevano quelli che raccontano la storia dOrlando e dei paladini di Francia alla Marina di Catania
imalavoglia_09_verga_f000134|e la gente stava ad ascoltare colle orecchie tese, fitta come le mosche.|e la gente stava ad ascoltare colle orecchie tese, fitta come le mosche.
imalavoglia_09_verga_f000135|— Il figlio di Maruzza la Longa ci era anche lui sul Re d’Italia, — osservò don Silvestro, il quale si era accostato per sentire.|- Il figlio di Maruzza la Longa ci era anche lui sul Re dItalia, - osservò don Silvestro, il quale si era accostato per sentire.
imalavoglia_09_verga_f000136|— Ora vado a dirlo a mia moglie! — saltò su mastro Cola Zuppiddu|- Ora vado a dirlo a mia moglie! - saltò su mastro Cola Zuppiddu
imalavoglia_09_verga_f000137|— così si persuaderà ad andarci da comare Maruzza, ché i musi lunghi non mi piacciono fra vicini ed amici.|- così si persuaderà ad andarci da comare Maruzza, ché i musi lunghi non mi piacciono fra vicini ed amici.
imalavoglia_09_verga_f000138|Ma intanto la Longa non ne sapeva nulla, poveraccia! e rideva ed era in festa coi parenti e gli amici.|Ma intanto la Longa non ne sapeva nulla, poveraccia! e rideva ed era in festa coi parenti e gli amici.
imalavoglia_09_verga_f000139|Il soldato non finiva di chiacchierare con quelli che volevano ascoltarlo, giocando colle braccia come un predicatore.|Il soldato non finiva di chiacchierare con quelli che volevano ascoltarlo, giocando colle braccia come un predicatore.
imalavoglia_09_verga_f000140|— Sì, c’erano anche dei siciliani;|- Sì, cerano anche dei siciliani;
imalavoglia_09_verga_f000141|ce n’erano di tutti i paesi.|ce nerano di tutti i paesi.
imalavoglia_09_verga_f000142|Del resto, sapete, quando suona la generale nelle batterie|Del resto, sapete, quando suona la generale nelle batterie
imalavoglia_09_verga_f000143|non si sente più né scia né vossìa, e le carabine le fanno parlar tutti allo stesso modo.|non si sente più né scia né vossìa, e le carabine le fanno parlar tutti allo stesso modo.
imalavoglia_09_verga_f000144|Bravi giovanotti tutti! e con del fegato sotto la camicia.|Bravi giovanotti tutti! e con del fegato sotto la camicia.
imalavoglia_09_verga_f000145|Sentite, quando si è visto quello che hanno veduto questi occhi, e come ci stavano quei ragazzi a fare il loro dovere|Sentite, quando si è visto quello che hanno veduto questi occhi, e come ci stavano quei ragazzi a fare il loro dovere
imalavoglia_09_verga_f000146|per la madonna! questo cappello qui lo si può portare sull’orecchio!|per la madonna! questo cappello qui lo si può portare sullorecchio!
imalavoglia_09_verga_f000147|Il giovanotto aveva gli occhi lustri, ma diceva che non era nulla, ed era perché aveva bevuto.|Il giovanotto aveva gli occhi lustri, ma diceva che non era nulla, ed era perché aveva bevuto.
imalavoglia_09_verga_f000148|— Si chiamava il Re d’Italia, un bastimento come non ce n’erano altri|- Si chiamava il Re dItalia, un bastimento come non ce nerano altri
imalavoglia_09_verga_f000149|colla corazza, vuol dire come chi dicesse voi altre donne che avete il busto|colla corazza, vuol dire come chi dicesse voi altre donne che avete il busto
imalavoglia_09_verga_f000150|e questo busto fosse di ferro, che potrebbero spararvi addosso una cannonata senza farvi nulla.|e questo busto fosse di ferro, che potrebbero spararvi addosso una cannonata senza farvi nulla.
imalavoglia_09_verga_f000151|È andato a fondo in un momento, e non l’abbiamo visto più, in mezzo al fumo|È andato a fondo in un momento, e non labbiamo visto più, in mezzo al fumo
imalavoglia_09_verga_f000152|un fumo come se ci fossero state venti fornaci di mattone, lo sapete?|un fumo come se ci fossero state venti fornaci di mattone, lo sapete?
imalavoglia_09_verga_f000153|— A Catania c’era una casa del diavolo! — aggiunse lo speziale.|- A Catania cera una casa del diavolo! - aggiunse lo speziale.
imalavoglia_09_verga_f000154|— La gente si affollava attorno a quelli che leggevano i giornali, che pareva una festa.|- La gente si affollava attorno a quelli che leggevano i giornali, che pareva una festa.
imalavoglia_09_verga_f000155|— I giornali son tutte menzogne stampate! — sentenziò don Giammaria.|- I giornali son tutte menzogne stampate! - sentenziò don Giammaria.
imalavoglia_09_verga_f000156|— Dicono che è stato un brutto affare;|- Dicono che è stato un brutto affare;
imalavoglia_09_verga_f000157|abbiamo perso una gran battaglia, — disse don Silvestro.|abbiamo perso una gran battaglia, - disse don Silvestro.
imalavoglia_09_verga_f000158|Padron Cipolla era accorso anche lui a vedere cos’era quella folla.|Padron Cipolla era accorso anche lui a vedere cosera quella folla.
imalavoglia_09_verga_f000159|— Voi ci credete? — sogghignò egli alfine.|- Voi ci credete? - sogghignò egli alfine.
imalavoglia_09_verga_f000160|— Son chiacchiere per chiappare il soldo del giornale.|- Son chiacchiere per chiappare il soldo del giornale.
imalavoglia_09_verga_f000161|— Se lo dicono tutti che abbiamo perso!|- Se lo dicono tutti che abbiamo perso!
imalavoglia_09_verga_f000162|— Che cosa? — disse lo zio Crocifisso mettendosi la mano dietro l’orecchio.|- Che cosa? - disse lo zio Crocifisso mettendosi la mano dietro lorecchio.
imalavoglia_09_verga_f000163|— Una battaglia. — Chi l’ha persa?|- Una battaglia. - Chi lha persa?
imalavoglia_09_verga_f000164|— Io, voi, tutti insomma, l’Italia; — disse lo speziale.|- Io, voi, tutti insomma, lItalia; - disse lo speziale.
imalavoglia_09_verga_f000165|— Io non ho perso nulla! — rispose Campana di legno stringendosi nelle spalle;|- Io non ho perso nulla! - rispose Campana di legno stringendosi nelle spalle;
imalavoglia_09_verga_f000166|— adesso è affare di compare Piedipapera e ci penserà lui;|- adesso è affare di compare Piedipapera e ci penserà lui;
imalavoglia_09_verga_f000167|— e guardava la casa del nespolo, dove facevano baldoria.|- e guardava la casa del nespolo, dove facevano baldoria.
imalavoglia_09_verga_f000168|— Sapete com’è? — conchiuse padron Cipolla, — è come quando il comune di Aci Trezza litigava pel territorio col Comune di Aci Castello.|- Sapete comè? - conchiuse padron Cipolla, - è come quando il comune di Aci Trezza litigava pel territorio col Comune di Aci Castello.
imalavoglia_09_verga_f000169|Cosa ve n’entrava in tasca, a voi e a me?|Cosa ve nentrava in tasca, a voi e a me?
imalavoglia_09_verga_f000170|— Ve n’entra! — esclamò lo speziale tutto rosso.|- Ve nentra! - esclamò lo speziale tutto rosso.
imalavoglia_09_verga_f000171|— Ve n’entra... che siete tante bestie!...|- Ve nentra... che siete tante bestie!...
imalavoglia_09_verga_f000172|— Il guaio è per tante povere mamme! — s’arrischiò a dire qualcheduno;|- Il guaio è per tante povere mamme! - sarrischiò a dire qualcheduno;
imalavoglia_09_verga_f000173|lo zio Crocifisso che non era mamma alzò le spalle.|lo zio Crocifisso che non era mamma alzò le spalle.
imalavoglia_09_verga_f000174|— Ve lo dico io in due parole com’è, — raccontava intanto l’altro soldato.|- Ve lo dico io in due parole comè, - raccontava intanto laltro soldato.
imalavoglia_09_verga_f000175|— È come all’osteria, allorché ci si scalda la testa, e volano i piatti e i bicchieri in mezzo al fumo ed alle grida.|- È come allosteria, allorché ci si scalda la testa, e volano i piatti e i bicchieri in mezzo al fumo ed alle grida.
imalavoglia_09_verga_f000176|— L’avete visto? Tale e quale! Dapprincipio, quando state sull’impagliettatura colla carabina in pugno, in quel gran silenzio|- Lavete visto? Tale e quale! Dapprincipio, quando state sullimpagliettatura colla carabina in pugno, in quel gran silenzio
imalavoglia_09_verga_f000177|non sentite altro che il rumore della macchina, e vi pare che quel punf! punf! ve lo facciano dentro lo stomaco: null’altro.|non sentite altro che il rumore della macchina, e vi pare che quel punf! punf! ve lo facciano dentro lo stomaco: nullaltro.
imalavoglia_09_verga_f000178|Poi, alla prima cannonata, e come incomincia il parapiglia, vi vien voglia di ballare anche voi,|Poi, alla prima cannonata, e come incomincia il parapiglia, vi vien voglia di ballare anche voi,
imalavoglia_09_verga_f000179|che non vi terrebbero le catene, come quando suona il violino all’osteria, dopo che avete mangiato e bevuto,|che non vi terrebbero le catene, come quando suona il violino allosteria, dopo che avete mangiato e bevuto,
imalavoglia_09_verga_f000180|e allungate la carabina dappertutto dove vedete un po’ di cristiano, in mezzo al fumo. In terra è tutt’altra cosa.|e allungate la carabina dappertutto dove vedete un po di cristiano, in mezzo al fumo. In terra è tuttaltra cosa.
imalavoglia_09_verga_f000181|Un bersagliere che tornava con noi a Messina ci diceva che non si può stare al pinf panf|Un bersagliere che tornava con noi a Messina ci diceva che non si può stare al pinf panf
imalavoglia_09_verga_f000182|delle fucilate senza sentirsi pizzicar le gambe dalla voglia di buttarsi avanti a testa bassa.|delle fucilate senza sentirsi pizzicar le gambe dalla voglia di buttarsi avanti a testa bassa.
imalavoglia_09_verga_f000183|Ma i bersaglieri non sono marinari, e non sanno come si fa a stare nel sartiame col piede fermo sulla corda e la mano sicura al grilletto|Ma i bersaglieri non sono marinari, e non sanno come si fa a stare nel sartiame col piede fermo sulla corda e la mano sicura al grilletto
imalavoglia_09_verga_f000184|malgrado il rollìo del bastimento, e mentre i compagni vi fioccano d’attorno come pere fradicie.|malgrado il rollìo del bastimento, e mentre i compagni vi fioccano dattorno come pere fradicie.
imalavoglia_09_verga_f000185|— Per la madonna! — esclamò Rocco Spatu.|- Per la madonna! - esclamò Rocco Spatu.
imalavoglia_09_verga_f000186|— Avrei voluto esserci anch’io a far quattro pugni!|- Avrei voluto esserci anchio a far quattro pugni!
imalavoglia_09_verga_f000187|Tutti gli altri stavano ad ascoltare con tanto d’occhi aperti.|Tutti gli altri stavano ad ascoltare con tanto docchi aperti.
imalavoglia_09_verga_f000188|L’altro giovanotto poi raccontò pure in qual modo era saltata in aria la Palestro, — la quale ardeva come una catasta di legna|Laltro giovanotto poi raccontò pure in qual modo era saltata in aria la Palestro, - la quale ardeva come una catasta di legna
imalavoglia_09_verga_f000189|quando ci passò vicino, e le fiamme salivano alte sino alla penna di trinchetto.|quando ci passò vicino, e le fiamme salivano alte sino alla penna di trinchetto.
imalavoglia_09_verga_f000190|Tutti al loro posto però, quei ragazzi, nelle batterie o sul bastingaggio.|Tutti al loro posto però, quei ragazzi, nelle batterie o sul bastingaggio.
imalavoglia_09_verga_f000191|Il nostro comandante domandò se avevano bisogno di nulla.|Il nostro comandante domandò se avevano bisogno di nulla.
imalavoglia_09_verga_f000192|— No, grazie tante, — risposero.|- No, grazie tante, - risposero.
imalavoglia_09_verga_f000193|Poi passò a babordo e non si vide più.|Poi passò a babordo e non si vide più.
imalavoglia_09_verga_f000194|— Questa di morire arrostito non mi piacerebbe, — conchiuse Spatu; — ma pei pugni ci sto.|- Questa di morire arrostito non mi piacerebbe, - conchiuse Spatu; - ma pei pugni ci sto.
imalavoglia_09_verga_f000195|— E la Santuzza come tornò all’osteria gli disse: — Chiamateli qua, quei poveretti|- E la Santuzza come tornò allosteria gli disse: - Chiamateli qua, quei poveretti
imalavoglia_09_verga_f000196|che devono aver sete, dopo tanta strada che hanno fatto, e ci vuole un bicchiere di vino schietto.|che devono aver sete, dopo tanta strada che hanno fatto, e ci vuole un bicchiere di vino schietto.
imalavoglia_09_verga_f000197|Quel Pizzuto avvelena la gente colla sua erbabianca, e non va a confessarsene.|Quel Pizzuto avvelena la gente colla sua erbabianca, e non va a confessarsene.
imalavoglia_09_verga_f000198|Certuni la coscienza l’hanno dietro le spalle, poveretti loro!|Certuni la coscienza lhanno dietro le spalle, poveretti loro!
imalavoglia_09_verga_f000199|— A me mi sembrano tanti pazzi, costoro! — diceva padron Cipolla soffiandosi il naso adagio adagio.|- A me mi sembrano tanti pazzi, costoro! - diceva padron Cipolla soffiandosi il naso adagio adagio.
imalavoglia_09_verga_f000200|— Che vi fareste ammazzare voi quando il re vi dicesse: fatti ammazzare per conto mio?|- Che vi fareste ammazzare voi quando il re vi dicesse: fatti ammazzare per conto mio?
imalavoglia_09_verga_f000201|— Poveracci, non ci hanno colpa! — osservava don Silvestro.|- Poveracci, non ci hanno colpa! - osservava don Silvestro.
imalavoglia_09_verga_f000202|— Devono farlo per forza, perché dietro ogni soldato ci sta un caporale col fucile carico|- Devono farlo per forza, perché dietro ogni soldato ci sta un caporale col fucile carico
imalavoglia_09_verga_f000203|e non ha a far altro che star a vedere se il soldato vuol scappare|e non ha a far altro che star a vedere se il soldato vuol scappare
imalavoglia_09_verga_f000204|e se il soldato vuol scappare il caporale gli tira addosso peggio di un beccafico.|e se il soldato vuol scappare il caporale gli tira addosso peggio di un beccafico.
imalavoglia_09_verga_f000205|— Ah! così va bene! — Ma è una bricconata bell’e buona!|- Ah! così va bene! - Ma è una bricconata belle buona!
imalavoglia_09_verga_f000206|Tutta la sera si rise e si bevette nel cortile dei Malavoglia, con un bel chiaro di luna;|Tutta la sera si rise e si bevette nel cortile dei Malavoglia, con un bel chiaro di luna;
imalavoglia_09_verga_f000207|e sul tardi poi, quando tutti erano stanchi, e ruminavano lentamente le fave abbrustolite, e alcuni anche cantarellavano sottovoce|e sul tardi poi, quando tutti erano stanchi, e ruminavano lentamente le fave abbrustolite, e alcuni anche cantarellavano sottovoce
imalavoglia_09_verga_f000208|colle spalle al muro, vennero a raccontare la storia che avevano portato in paese i due congedati.|colle spalle al muro, vennero a raccontare la storia che avevano portato in paese i due congedati.
imalavoglia_09_verga_f000209|Padron Fortunato se n’era andato di buon’ora, e aveva condotto via Brasi col vestito nuovo.|Padron Fortunato se nera andato di buonora, e aveva condotto via Brasi col vestito nuovo.
imalavoglia_09_verga_f000210|— Quei poveri Malavoglia, — diceva incontrando sulla piazza Campana di legno, — Dio gliela mandi buona! Hanno la iettatura addosso!|- Quei poveri Malavoglia, - diceva incontrando sulla piazza Campana di legno, - Dio gliela mandi buona! Hanno la iettatura addosso!
imalavoglia_09_verga_f000211|Lo zio Crocifisso stava zitto e si grattava la testa.|Lo zio Crocifisso stava zitto e si grattava la testa.
imalavoglia_09_verga_f000212|Lui non c’entrava più, se n’era lavate le mani.|Lui non centrava più, se nera lavate le mani.
imalavoglia_09_verga_f000213|Ora era affare di Piedipapera; ma gli dispiaceva, in coscienza.|Ora era affare di Piedipapera; ma gli dispiaceva, in coscienza.
imalavoglia_09_verga_f000214|Il giorno dopo cominciò a correre la voce che nel mare verso Trieste ci era stato un combattimento tra i bastimenti nostri e quelli dei nemici|Il giorno dopo cominciò a correre la voce che nel mare verso Trieste ci era stato un combattimento tra i bastimenti nostri e quelli dei nemici
imalavoglia_09_verga_f000215|che nessuno sapeva nemmeno chi fossero, ed era morta molta gente;|che nessuno sapeva nemmeno chi fossero, ed era morta molta gente;
imalavoglia_09_verga_f000216|chi raccontava la cosa in un modo e chi in un altro, a pezzi e bocconi, masticando le parole.|chi raccontava la cosa in un modo e chi in un altro, a pezzi e bocconi, masticando le parole.
imalavoglia_09_verga_f000217|Le vicine venivano colle mani sotto il grembiule a domandare se comare Maruzza ci avesse il suo Luca laggiù|Le vicine venivano colle mani sotto il grembiule a domandare se comare Maruzza ci avesse il suo Luca laggiù
imalavoglia_09_verga_f000218|e stavano a guardarla con tanto d’occhi prima d’andarsene.|e stavano a guardarla con tanto docchi prima dandarsene.
imalavoglia_09_verga_f000219|La povera donna cominciava a star sempre sulla porta, come ogni volta che succedeva una disgrazia, voltando la testa di qua e di là|La povera donna cominciava a star sempre sulla porta, come ogni volta che succedeva una disgrazia, voltando la testa di qua e di là
imalavoglia_09_verga_f000220|da un capo all’altro della via, quasi aspettasse più presto del solito il suocero e i ragazzi dal mare.|da un capo allaltro della via, quasi aspettasse più presto del solito il suocero e i ragazzi dal mare.
imalavoglia_09_verga_f000221|Le vicine le domandavano pure se Luca avesse scritto, o era molto che non riceveva lettera di lui.|Le vicine le domandavano pure se Luca avesse scritto, o era molto che non riceveva lettera di lui.
imalavoglia_09_verga_f000222|— Davvero ella non ci aveva pensato alla lettera;|- Davvero ella non ci aveva pensato alla lettera;
imalavoglia_09_verga_f000223|e tutta la notte non potè chiudere occhio, e aveva sempre la testa là, nel mare verso Trieste, dov’era successa quella ruina;|e tutta la notte non potè chiudere occhio, e aveva sempre la testa là, nel mare verso Trieste, dovera successa quella ruina;
imalavoglia_09_verga_f000224|e vedeva sempre suo figlio, pallido e immobile, che la guardava con certi occhioni sbarrati e lucenti, e diceva sempre di sì|e vedeva sempre suo figlio, pallido e immobile, che la guardava con certi occhioni sbarrati e lucenti, e diceva sempre di sì
imalavoglia_09_verga_f000225|come quando l’avevano mandato a fare il soldato — talché sentiva anche lei una sete, un’arsura da non dirsi.|come quando lavevano mandato a fare il soldato - talché sentiva anche lei una sete, unarsura da non dirsi.
imalavoglia_09_verga_f000226|— In mezzo a tutte le storie che correvano pel villaggio|- In mezzo a tutte le storie che correvano pel villaggio
imalavoglia_09_verga_f000227|e che erano venuti a raccontargliele, le era rimasto in mente di uno di quei marinari|e che erano venuti a raccontargliele, le era rimasto in mente di uno di quei marinari
imalavoglia_09_verga_f000228|che l’avevano pescato dopo dodici ore, quando stavano per mangiarselo i pescicani, e in mezzo a tutta quell’acqua moriva di sete.|che lavevano pescato dopo dodici ore, quando stavano per mangiarselo i pescicani, e in mezzo a tutta quellacqua moriva di sete.
imalavoglia_09_verga_f000229|Allora la Longa, come pensava a quell’uomo che moriva di sete in mezzo a tutta quell’acqua|Allora la Longa, come pensava a quelluomo che moriva di sete in mezzo a tutta quellacqua
imalavoglia_09_verga_f000230|non poteva stare dall’andare ad attaccarsi alla brocca|non poteva stare dallandare ad attaccarsi alla brocca
imalavoglia_09_verga_f000231|quasi ce l’avesse avuta dentro di sè quell’arsura, e nel buio spalancava gli occhi, dove ci aveva sempre stampato quel cristiano.|quasi ce lavesse avuta dentro di sè quellarsura, e nel buio spalancava gli occhi, dove ci aveva sempre stampato quel cristiano.
imalavoglia_09_verga_f000232|Coll’andare dei giorni però, nessuno parlava più di quello che era successo;|Collandare dei giorni però, nessuno parlava più di quello che era successo;
imalavoglia_09_verga_f000233|ma come la Longa non vedeva spuntare la lettera, non aveva testa né di lavorare né di stare in casa;|ma come la Longa non vedeva spuntare la lettera, non aveva testa né di lavorare né di stare in casa;
imalavoglia_09_verga_f000234|era sempre ingiro a chiacchierare di porta in porta, quasi andasse cercando quel che voleva sapere.|era sempre ingiro a chiacchierare di porta in porta, quasi andasse cercando quel che voleva sapere.
imalavoglia_09_verga_f000235|— Avete visto una gatta quando ha perso i suoi gattini?|- Avete visto una gatta quando ha perso i suoi gattini?
imalavoglia_09_verga_f000236|— dicevano le vicine.|- dicevano le vicine.
imalavoglia_09_verga_f000237|La lettera non veniva però.|La lettera non veniva però.
imalavoglia_09_verga_f000238|Anche padron Antoni non s’imbarcava più e stava sempre attaccato alle gonnelle della nuora come un cagnolino.|Anche padron Antoni non simbarcava più e stava sempre attaccato alle gonnelle della nuora come un cagnolino.
imalavoglia_09_verga_f000239|Alcuni gli dicevano: — Andate a Catania che è paese grosso, e qualcosa sapranno dirvi.|Alcuni gli dicevano: - Andate a Catania che è paese grosso, e qualcosa sapranno dirvi.
imalavoglia_09_verga_f000240|Nel paese grosso il povero vecchio si sentiva perso peggio del trovarsi in mare di notte, e senza sapere dove drizzare il timone.|Nel paese grosso il povero vecchio si sentiva perso peggio del trovarsi in mare di notte, e senza sapere dove drizzare il timone.
imalavoglia_09_verga_f000241|Infine gli fecero la carità di dirgli che andasse dal capitano del porto, giacché le notizie doveva saperle lui.|Infine gli fecero la carità di dirgli che andasse dal capitano del porto, giacché le notizie doveva saperle lui.
imalavoglia_09_verga_f000242|Colà, dopo averlo rimandato per un pezzo da Erode a Pilato|Colà, dopo averlo rimandato per un pezzo da Erode a Pilato
imalavoglia_09_verga_f000243|si misero a sfogliare certi libracci e a cercare col dito sulla lista dei morti.|si misero a sfogliare certi libracci e a cercare col dito sulla lista dei morti.
imalavoglia_09_verga_f000244|allorché arrivarono ad un nome, la Longa che non aveva ben udito, perché le fischiavano gli orecchi|allorché arrivarono ad un nome, la Longa che non aveva ben udito, perché le fischiavano gli orecchi
imalavoglia_09_verga_f000245|e ascoltava bianca come quelle cartacce, sdrucciolò pian piano per terra, mezzo morta.|e ascoltava bianca come quelle cartacce, sdrucciolò pian piano per terra, mezzo morta.
imalavoglia_09_verga_f000246|— Son più di quaranta giorni, — conchiuse l’impiegato, chiudendo il registro.|- Son più di quaranta giorni, - conchiuse limpiegato, chiudendo il registro.
imalavoglia_09_verga_f000247|— Fu a Lissa; che non lo sapevate ancora?|- Fu a Lissa; che non lo sapevate ancora?
imalavoglia_09_verga_f000248|La Longa la portarono a casa su di un carro, e fu malata per alcuni giorni.|La Longa la portarono a casa su di un carro, e fu malata per alcuni giorni.
imalavoglia_09_verga_f000249|D’allora in poi fu presa di una gran devozione per l’Addolorata che c’è sull’altare della chiesetta|Dallora in poi fu presa di una gran devozione per lAddolorata che cè sullaltare della chiesetta
imalavoglia_09_verga_f000250|e le pareva che quel corpo lungo e disteso sulle ginocchia della madre colle costole nere e i ginocchi rossi di sangue|e le pareva che quel corpo lungo e disteso sulle ginocchia della madre colle costole nere e i ginocchi rossi di sangue
imalavoglia_09_verga_f000251|fosse il ritratto del suo Luca, e si sentiva fitte nel cuore tutte quelle spade d’argento che ci aveva la Madonna.|fosse il ritratto del suo Luca, e si sentiva fitte nel cuore tutte quelle spade dargento che ci aveva la Madonna.
imalavoglia_09_verga_f000252|Ogni sera le donnicciuole, quando andavano a prendersi la benedizione, e compare Cirino faceva risuonare le chiavi prima di chiudere|Ogni sera le donnicciuole, quando andavano a prendersi la benedizione, e compare Cirino faceva risuonare le chiavi prima di chiudere
imalavoglia_09_verga_f000253|la vedevano sempre lì, a quel posto, accasciata sui ginocchi, e la chiamavano anche lei la madre addolorata.|la vedevano sempre lì, a quel posto, accasciata sui ginocchi, e la chiamavano anche lei la madre addolorata.
imalavoglia_09_verga_f000254|— Ha ragione, — dicevano nel paese.|- Ha ragione, - dicevano nel paese.
imalavoglia_09_verga_f000255|— Luca sarebbe tornato fra breve, e i suoi trenta soldi al giorno se li sarebbe guadagnati.|- Luca sarebbe tornato fra breve, e i suoi trenta soldi al giorno se li sarebbe guadagnati.
imalavoglia_09_verga_f000256|«A nave rotta ogni vento è contrario».|A nave rotta ogni vento è contrario.
imalavoglia_09_verga_f000257|— Avete visto padron Antoni? — aggiungeva Piedipapera;|- Avete visto padron Antoni? - aggiungeva Piedipapera;
imalavoglia_09_verga_f000258|— dopo la disgrazia di suo nipote sembra un gufo tale e quale.|- dopo la disgrazia di suo nipote sembra un gufo tale e quale.
imalavoglia_09_verga_f000259|— Adesso la casa del nespolo fa acqua davvero da tutte le parti|- Adesso la casa del nespolo fa acqua davvero da tutte le parti
imalavoglia_09_verga_f000260|come una scarpa rotta, e ogni galantuomo bisogna che pensi ai suoi interessi.|come una scarpa rotta, e ogni galantuomo bisogna che pensi ai suoi interessi.
imalavoglia_09_verga_f000261|La Zuppidda era sempre con tanto di muso|La Zuppidda era sempre con tanto di muso
imalavoglia_09_verga_f000262|e borbottava che ora tutta la famiglia rimaneva sulle braccia di Antoni! Questa volta una ragazza ci penserà prima di pigliarselo per marito.|e borbottava che ora tutta la famiglia rimaneva sulle braccia di Antoni! Questa volta una ragazza ci penserà prima di pigliarselo per marito.
imalavoglia_09_verga_f000263|— Cosa ci hai con quel povero giovane? — domandava mastro Bastiano.|- Cosa ci hai con quel povero giovane? - domandava mastro Bastiano.
imalavoglia_09_verga_f000264|— Voi tacete, ché non sapete nulla; — gli gridava la moglie.|- Voi tacete, ché non sapete nulla; - gli gridava la moglie.
imalavoglia_09_verga_f000265|— I pasticci non mi piacciono! Andate a lavorare che non sono affari vostri:|- I pasticci non mi piacciono! Andate a lavorare che non sono affari vostri:
imalavoglia_09_verga_f000266|— e lo mandava fuori dell’uscio colle braccia penzoloni e quella malabestia di dieci rotoli in mano.|- e lo mandava fuori delluscio colle braccia penzoloni e quella malabestia di dieci rotoli in mano.
imalavoglia_09_verga_f000267|Barbara, seduta sul parapetto del terrazzo, a strappare le foglioline secche dei garofani, colla bocca stretta anche lei|Barbara, seduta sul parapetto del terrazzo, a strappare le foglioline secche dei garofani, colla bocca stretta anche lei
imalavoglia_09_verga_f000268|faceva cascare nel discorso che «maritati e muli vogliono star soli» e che «fra suocera e nuora ci si sta in malora».|faceva cascare nel discorso che maritati e muli vogliono star soli e che fra suocera e nuora ci si sta in malora.
imalavoglia_09_verga_f000269|— Quando Mena si sarà maritata, — rispondeva Antoni, — il nonno ci darà la camera di sopra.|- Quando Mena si sarà maritata, - rispondeva Antoni, - il nonno ci darà la camera di sopra.
imalavoglia_09_verga_f000270|— Io non ci sono avvezza a star nella camera di sopra, come i colombi! — tagliava corto la Barbara;|- Io non ci sono avvezza a star nella camera di sopra, come i colombi! - tagliava corto la Barbara;
imalavoglia_09_verga_f000271|tanto che suo padre, ch’era suo padre! diceva a Antoni, guardandosi attorno|tanto che suo padre, chera suo padre! diceva a Antoni, guardandosi attorno
