koenigsgaukler_1_f000001|Die Geburt Mantaos in der Lotosblume|Die Geburt Mantaos in der Lotosblume
koenigsgaukler_3_f000041|Deine Königin der Ferne ist in ihrem und deinem Königreich über den Sternen und sie wartet darauf, daß du ihr noch heute einen Edelstein schenkst, den sie sich ins Diadem flechten kann.|Deine Königin der Ferne ist in ihrem und deinem Königreich über den Sternen und sie wartet darauf, daß du ihr noch heute einen Edelstein schenkst, den sie sich ins Diadem flechten kann.
koenigsgaukler_3_f000042|Wie soll ich hier in der Wildnis einen Edelstein finden? fragte Mantao.|Wie soll ich hier in der Wildnis einen Edelstein finden? fragte Mantao.
koenigsgaukler_3_f000043|Geh und wirke deinen Teppich, sagte der Kleine mit den Elefantenohren, wirke deinen Teppich, Mantao, mein Königsgaukler.|Geh und wirke deinen Teppich, sagte der Kleine mit den Elefantenohren, wirke deinen Teppich, Mantao, mein Königsgaukler.
koenigsgaukler_3_f000044|Ich aber will mich in meine Elefantenohren hüllen und schlafen, denn auch dazu sind diese herrlichen Ohren gut.|Ich aber will mich in meine Elefantenohren hüllen und schlafen, denn auch dazu sind diese herrlichen Ohren gut.
koenigsgaukler_3_f000045|Wenn ich mich in diese Ohren wickle, so ruhe ich wie in einer Bettdecke, die mich schützt und wärmt, daß kein Schlangenzahn hindurchkann, kein nasser Regen und kein kalter Morgentau.|Wenn ich mich in diese Ohren wickle, so ruhe ich wie in einer Bettdecke, die mich schützt und wärmt, daß kein Schlangenzahn hindurchkann, kein nasser Regen und kein kalter Morgentau.
koenigsgaukler_3_f000046|Dank diesen Ohren und der Erhabene segne Mammamutra und seine Kinder und Kindeskinder und die kleinsten Säuglinge seiner ganzen Elefantensippe.|Dank diesen Ohren und der Erhabene segne Mammamutra und seine Kinder und Kindeskinder und die kleinsten Säuglinge seiner ganzen Elefantensippe.
koenigsgaukler_3_f000047|Mit diesen Worten wickelte sich der Kleine in seine Elefantenohren hinein, so daß er völlig darin verschwand, denn Mammamutra hatte diese Ohren überaus reichlich bemessen.|Mit diesen Worten wickelte sich der Kleine in seine Elefantenohren hinein, so daß er völlig darin verschwand, denn Mammamutra hatte diese Ohren überaus reichlich bemessen.
koenigsgaukler_3_f000048|Mantao war seinen Weg weiter gegangen und dachte darüber nach, wie er wohl den Teppich seines Lebens wirken könne und wie es ihm gelingen möge, noch heute einen Edelstein für das Diadem seiner Königin der Ferne zu finden.|Mantao war seinen Weg weiter gegangen und dachte darüber nach, wie er wohl den Teppich seines Lebens wirken könne und wie es ihm gelingen möge, noch heute einen Edelstein für das Diadem seiner Königin der Ferne zu finden.
koenigsgaukler_3_f000049|Da hörte er, abseits von seinem Wege, ein schwächliches Klagen im Gebüsch, ähnlich dem Weinen eines kleinen Kindes.|Da hörte er, abseits von seinem Wege, ein schwächliches Klagen im Gebüsch, ähnlich dem Weinen eines kleinen Kindes.
koenigsgaukler_3_f000050|Er ging den Klagelauten nach und fand ein Äffchen, das wimmernd und jammernd neben seiner toten Affenmutter hockte und ihn flehentlich aus seinen Kinderaugen ansah.|Er ging den Klagelauten nach und fand ein Äffchen, das wimmernd und jammernd neben seiner toten Affenmutter hockte und ihn flehentlich aus seinen Kinderaugen ansah.
koenigsgaukler_3_f000051|Mantao brachte ihm Früchte und Wasser, aber das Äffchen aß und trank nichts.|Mantao brachte ihm Früchte und Wasser, aber das Äffchen aß und trank nichts.
koenigsgaukler_3_f000052|Es blieb auf dem Boden kauern und jammerte.|Es blieb auf dem Boden kauern und jammerte.
koenigsgaukler_3_f000053|Sein Leib hungert nicht, aber seine Seele hungert, dachte Mantao und er wußte nicht, wie er dem kleinen Geschöpf helfen sollte.|Sein Leib hungert nicht, aber seine Seele hungert, dachte Mantao und er wußte nicht, wie er dem kleinen Geschöpf helfen sollte.
koenigsgaukler_3_f000054|Da hörte er eine Stimme neben sich reden.|Da hörte er eine Stimme neben sich reden.
koenigsgaukler_3_f000055|Denke an eine kranke Frau, die im Straßengraben starb, sagte die Stimme neben ihm, es war eine Paria und die Pest hatte sie angesehen aus ihren hohlen Augen.|Denke an eine kranke Frau, die im Straßengraben starb, sagte die Stimme neben ihm, es war eine Paria und die Pest hatte sie angesehen aus ihren hohlen Augen.
koenigsgaukler_3_f000056|Sie hielt ein Kind auf den Armen und sie flehte die Menschen an, sich ihres Kindes anzunehmen, aber niemand half ihr.|Sie hielt ein Kind auf den Armen und sie flehte die Menschen an, sich ihres Kindes anzunehmen, aber niemand half ihr.
koenigsgaukler_3_f000057|Da kam ein alter Mann und nahm das kleine Kind in seine Arme und trug es in die Berge von Tibet.|Da kam ein alter Mann und nahm das kleine Kind in seine Arme und trug es in die Berge von Tibet.
koenigsgaukler_3_f000058|Denke daran, Mantao, mein Königsgaukler.|Denke daran, Mantao, mein Königsgaukler.
koenigsgaukler_3_f000059|Es war sein Engel, der neben ihm stand und redete.|Es war sein Engel, der neben ihm stand und redete.
koenigsgaukler_3_f000060|Mantao hörte seine Stimme, aber er sah seinen Engel nicht.|Mantao hörte seine Stimme, aber er sah seinen Engel nicht.
koenigsgaukler_3_f000061|Da gedachte er der Königin der Ferne und seines Schildes und er erhob seinen Schild und hielt ihn über dem kleinen Affen.|Da gedachte er der Königin der Ferne und seines Schildes und er erhob seinen Schild und hielt ihn über dem kleinen Affen.
koenigsgaukler_3_f000062|Es war das erste Geschöpf, über dem Mantao, der Königsgaukler, seinen Schild hielt.|Es war das erste Geschöpf, über dem Mantao, der Königsgaukler, seinen Schild hielt.
koenigsgaukler_3_f000063|Der kleine Affe aber hörte auf zu jammern.|Der kleine Affe aber hörte auf zu jammern.
koenigsgaukler_3_f000064|Er ließ sich von Mantao aufnehmen und schlang die dünnen, schwachen befellten Arme um seinen Hals.|Er ließ sich von Mantao aufnehmen und schlang die dünnen, schwachen befellten Arme um seinen Hals.
koenigsgaukler_3_f000065|Dieser Schild von einfacher Arbeit und geringem Ansehn muß eine seltsame Zauberkraft enthalten, dachte Mantao und eine Ahnung stieg in ihm auf, welch eine heilige Aufgabe es ist, solch einen Schild zu tragen und ihn zu halten über allem, was atmet.|Dieser Schild von einfacher Arbeit und geringem Ansehn muß eine seltsame Zauberkraft enthalten, dachte Mantao und eine Ahnung stieg in ihm auf, welch eine heilige Aufgabe es ist, solch einen Schild zu tragen und ihn zu halten über allem, was atmet.
koenigsgaukler_3_f000066|Nun hatte Mantao seinen Weggenossen gefunden und er ging mit dem kleinen Affen seinen Pfad weiter.|Nun hatte Mantao seinen Weggenossen gefunden und er ging mit dem kleinen Affen seinen Pfad weiter.
koenigsgaukler_3_f000067|Der Engel ging unsichtbar neben ihnen.|Der Engel ging unsichtbar neben ihnen.
koenigsgaukler_3_f000068|Ein kleiner Affe ist dein Begleiter, sagte er, siehe, nun werden die Menschen über dich lachen und sagen, daß du ein Gaukler bist, wenn du Schild und Schwert trägst und ein Affe dich geleitet.|Ein kleiner Affe ist dein Begleiter, sagte er, siehe, nun werden die Menschen über dich lachen und sagen, daß du ein Gaukler bist, wenn du Schild und Schwert trägst und ein Affe dich geleitet.
koenigsgaukler_3_f000069|Laß es die Menschen sagen. Du bist doch ein König, größer als alle ihre Könige, Mantao, mein Königsgaukler.|Laß es die Menschen sagen. Du bist doch ein König, größer als alle ihre Könige, Mantao, mein Königsgaukler.
koenigsgaukler_3_f000070|Über den Sternen reichten sich eine Menschenmutter und eine Affenmutter die Hände, ein alter Mann mit einer sonderbaren spitzen Mütze freute sich und die Königin der Ferne flocht sich einen funkelnden Edelstein in ihr Diadem.|Über den Sternen reichten sich eine Menschenmutter und eine Affenmutter die Hände, ein alter Mann mit einer sonderbaren spitzen Mütze freute sich und die Königin der Ferne flocht sich einen funkelnden Edelstein in ihr Diadem.
koenigsgaukler_3_f000071|Mantao, der Königsgaukler, aber verließ die Wildnis und trat mit dem kleinen Affen hinaus auf die Straße des Lebens.|Mantao, der Königsgaukler, aber verließ die Wildnis und trat mit dem kleinen Affen hinaus auf die Straße des Lebens.
koenigsgaukler_4_f000001|Die Stadt der bunten Lampen.|Die Stadt der bunten Lampen.
koenigsgaukler_4_f000002|Die Straße des Lebens, die Mantao, der Königsgaukler, betreten hatte, war staubig und häßlich für einen, der vom samtenen Pflanzenteppich der indischen Wildnis kam und von den schneegewaschenen Bergwegen Tibets.|Die Straße des Lebens, die Mantao, der Königsgaukler, betreten hatte, war staubig und häßlich für einen, der vom samtenen Pflanzenteppich der indischen Wildnis kam und von den schneegewaschenen Bergwegen Tibets.
koenigsgaukler_4_f000003|Zögernd setzte Mantao seinen Fuß auf den Pfad, den Tausende und Abertausende vor ihm gegangen waren und den er nun ging, selber nur einer von Tausenden.|Zögernd setzte Mantao seinen Fuß auf den Pfad, den Tausende und Abertausende vor ihm gegangen waren und den er nun ging, selber nur einer von Tausenden.
koenigsgaukler_4_f000004|Fast sehnte er sich nach der reinen Einsamkeit der Berge, aber er war jung und das Leben auf der Straße war bunt, lärmend und farbenfroh und seine Jugend spann Fäden in dieses fremde Leben hinein.|Fast sehnte er sich nach der reinen Einsamkeit der Berge, aber er war jung und das Leben auf der Straße war bunt, lärmend und farbenfroh und seine Jugend spann Fäden in dieses fremde Leben hinein.
koenigsgaukler_4_f000005|Das Äffchen lief neugierig und ein wenig ängstlich neben ihm her.|Das Äffchen lief neugierig und ein wenig ängstlich neben ihm her.
koenigsgaukler_4_f000006|Immer bunter und gedrängter wurde die Straße des Lebens, je weiter die beiden Weggenossen wanderten.|Immer bunter und gedrängter wurde die Straße des Lebens, je weiter die beiden Weggenossen wanderten.
koenigsgaukler_4_f000007|Sauberer und schöner wurde sie nicht, aber man gewöhnte sich nun allmählich daran.|Sauberer und schöner wurde sie nicht, aber man gewöhnte sich nun allmählich daran.
koenigsgaukler_4_f000008|Unzählige Menschen, Männer, Frauen und Kinder liefen durcheinander, alle verschiedenartig gekleidet und geartet.|Unzählige Menschen, Männer, Frauen und Kinder liefen durcheinander, alle verschiedenartig gekleidet und geartet.
koenigsgaukler_4_f000009|Es waren viele darunter von Mantaos Bronzefarbe, die still ihres Weges gingen und selten und leise sprachen, das waren die Menschen Indiens.|Es waren viele darunter von Mantaos Bronzefarbe, die still ihres Weges gingen und selten und leise sprachen, das waren die Menschen Indiens.
koenigsgaukler_4_f000010|Gelbe kleine Menschen mit kurzen Beinen und geschlitzten Augen waren dabei, die schrieen und schwatzten, und schöne ruhige Gestalten von weißlich schimmernder elfenbeinerner Hautfarbe ritten auf geschmückten Dromedaren|Gelbe kleine Menschen mit kurzen Beinen und geschlitzten Augen waren dabei, die schrieen und schwatzten, und schöne ruhige Gestalten von weißlich schimmernder elfenbeinerner Hautfarbe ritten auf geschmückten Dromedaren
koenigsgaukler_4_f000011|deren Köpfe bei jedem Schritt nickten, so daß die kleinen silbernen Glocken am Halfter zusammenklangen.|deren Köpfe bei jedem Schritt nickten, so daß die kleinen silbernen Glocken am Halfter zusammenklangen.
koenigsgaukler_4_f000012|Das waren fremde Reisende aus den fernen Ländern um Samarkand.|Das waren fremde Reisende aus den fernen Ländern um Samarkand.
koenigsgaukler_4_f000013|Zwischen all der schweigenden und schwatzenden Menge aber zog sich wie eine endlose Kette die Reihe von Ochsenkarren, die, mit allerlei Warenballen beladen, langsam und bedächtig die knarrenden und quietschenden Räder durch den Staub der Straße schoben.|Zwischen all der schweigenden und schwatzenden Menge aber zog sich wie eine endlose Kette die Reihe von Ochsenkarren, die, mit allerlei Warenballen beladen, langsam und bedächtig die knarrenden und quietschenden Räder durch den Staub der Straße schoben.
koenigsgaukler_4_f000014|Einige trugen bunte Zelte mit flatternden Wimpeln, mit Teppichen verhangen, aus denen zuweilen ein verschleierter Frauenkopf hervorschaute, um schnell wieder zu verschwinden, oder ein Papagei mit einem Gefieder von grellem Grün|Einige trugen bunte Zelte mit flatternden Wimpeln, mit Teppichen verhangen, aus denen zuweilen ein verschleierter Frauenkopf hervorschaute, um schnell wieder zu verschwinden, oder ein Papagei mit einem Gefieder von grellem Grün
koenigsgaukler_4_f000015|Gelb und Rot erschien und ärgerlich und erbost auf die Vorübergehenden schimpfte.|Gelb und Rot erschien und ärgerlich und erbost auf die Vorübergehenden schimpfte.
koenigsgaukler_4_f000016|Das freute das kleine Äffchen, so daß es grinste und sich die Hände rieb vor Vergnügen.|Das freute das kleine Äffchen, so daß es grinste und sich die Hände rieb vor Vergnügen.
koenigsgaukler_4_f000017|Aber bald wurde es müde und Mantao nahm es auf den Arm.|Aber bald wurde es müde und Mantao nahm es auf den Arm.
koenigsgaukler_4_f000018|Seht den Gaukler! schrieen die Leute, er trägt Schild und Schwert und einen Affen auf den Armen.|Seht den Gaukler! schrieen die Leute, er trägt Schild und Schwert und einen Affen auf den Armen.
koenigsgaukler_4_f000019|Das waren die ersten Worte, die Mantao von den Menschen hörte.|Das waren die ersten Worte, die Mantao von den Menschen hörte.
koenigsgaukler_4_f000020|Seht den Gaukler, Gaukler, Gaukler!|Seht den Gaukler, Gaukler, Gaukler!
koenigsgaukler_4_f000021|kreischte ein bunter Papagei und wackelte spaßhaft mit dem Kopfe hin und her, wie ein Gelehrter, der seinen Tadel und sein Mißfallen zum Ausdruck bringt.|kreischte ein bunter Papagei und wackelte spaßhaft mit dem Kopfe hin und her, wie ein Gelehrter, der seinen Tadel und sein Mißfallen zum Ausdruck bringt.
koenigsgaukler_4_f000022|Könnt ihr so genau Könige und Gaukler unterscheiden? fragte Mantao und lächelte.|Könnt ihr so genau Könige und Gaukler unterscheiden? fragte Mantao und lächelte.
koenigsgaukler_4_f000023|Sein Lächeln aber war nicht das Lächeln eines Gauklers.|Sein Lächeln aber war nicht das Lächeln eines Gauklers.
koenigsgaukler_4_f000024|Selten haben Gaukler so schöne Züge und so ebenmäßige Glieder, sagte eine Frau aus Samarkand und lugte aus ihrem Zeltteppich hervor.|Selten haben Gaukler so schöne Züge und so ebenmäßige Glieder, sagte eine Frau aus Samarkand und lugte aus ihrem Zeltteppich hervor.
koenigsgaukler_4_f000025|Er redet sonderbar und er ist seltsam gekleidet, ähnlich wie die einsamen Weisen von Tibet, sagte jemand aus dem Volkshaufen, laßt ihn in Ruhe seinen Weg wandern, vielleicht ist er ein Heiliger und sein Fluch kann euch treffen.|Er redet sonderbar und er ist seltsam gekleidet, ähnlich wie die einsamen Weisen von Tibet, sagte jemand aus dem Volkshaufen, laßt ihn in Ruhe seinen Weg wandern, vielleicht ist er ein Heiliger und sein Fluch kann euch treffen.
koenigsgaukler_4_f000026|Mir scheint, er ist kein Heiliger, sagte die Frau aus Samarkand und zog den Teppich ihres Zeltes wieder zu.|Mir scheint, er ist kein Heiliger, sagte die Frau aus Samarkand und zog den Teppich ihres Zeltes wieder zu.
koenigsgaukler_4_f000027|Ich fluche euch nicht, sagte Mantao, wie soll ich euch fluchen, da ihr nicht wißt, ob einer ein König, ein Gaukler oder ein Heiliger sei.|Ich fluche euch nicht, sagte Mantao, wie soll ich euch fluchen, da ihr nicht wißt, ob einer ein König, ein Gaukler oder ein Heiliger sei.
koenigsgaukler_4_f000028|Aber sagt mir, wohin führt diese breite und staubige Straße, auf der sich so viele Menschen drängen, als gelte es ein herrliches Ziel zu erreichen?|Aber sagt mir, wohin führt diese breite und staubige Straße, auf der sich so viele Menschen drängen, als gelte es ein herrliches Ziel zu erreichen?
koenigsgaukler_4_f000029|Fragst du, wo du doch selbst diese Straße wanderst? rief ein Krämer, der seine reichbeladenen Ochsenkarren führte, du bist doch wohl ein Gaukler, daß du eine Straße gehst ohne Zweck und Ziel und ohne zu wissen, wohin dich dein Weg führt.|Fragst du, wo du doch selbst diese Straße wanderst? rief ein Krämer, der seine reichbeladenen Ochsenkarren führte, du bist doch wohl ein Gaukler, daß du eine Straße gehst ohne Zweck und Ziel und ohne zu wissen, wohin dich dein Weg führt.
koenigsgaukler_4_f000030|Viele glauben ein Ziel und einen Zweck zu haben, aber des Lebens Zweck und Ziel liegt nicht in deinen beladenen Ochsenkarren, viele glauben ihren Weg zu gehen und ihren Weg zu kennen und wandern doch nur dahin|Viele glauben ein Ziel und einen Zweck zu haben, aber des Lebens Zweck und Ziel liegt nicht in deinen beladenen Ochsenkarren, viele glauben ihren Weg zu gehen und ihren Weg zu kennen und wandern doch nur dahin
koenigsgaukler_4_f000031|wohin die Fäden sie ziehen, sagte ein armer alter Bettelmönch und murmelte Gebete vor sich hin.|wohin die Fäden sie ziehen, sagte ein armer alter Bettelmönch und murmelte Gebete vor sich hin.
koenigsgaukler_4_f000032|Ein kleines Mädchen spielte mit einem Ball und warf ihn gerade vor Mantaos Füße.|Ein kleines Mädchen spielte mit einem Ball und warf ihn gerade vor Mantaos Füße.
koenigsgaukler_4_f000033|Es ist die Stadt der bunten Lampen, wohin wir wandern, sagte es.|Es ist die Stadt der bunten Lampen, wohin wir wandern, sagte es.
koenigsgaukler_4_f000034|Da tauchte ein violetter Schein ins verglimmende Abendrot, immer dunkler und dunkler hasteten die Schatten der Dämmerung über das Land und in der Ferne der breiten Straße lohten die ersten Lichter auf von der Stadt der bunten Lampen.|Da tauchte ein violetter Schein ins verglimmende Abendrot, immer dunkler und dunkler hasteten die Schatten der Dämmerung über das Land und in der Ferne der breiten Straße lohten die ersten Lichter auf von der Stadt der bunten Lampen.
koenigsgaukler_4_f000035|Es war Nacht geworden, als sie in der Stadt der bunten Lampen anlangten.|Es war Nacht geworden, als sie in der Stadt der bunten Lampen anlangten.
koenigsgaukler_4_f000036|Aber in der Stadt der bunten Lampen feierte man keine Nachtruhe.|Aber in der Stadt der bunten Lampen feierte man keine Nachtruhe.
koenigsgaukler_4_f000037|Durch die krummen engen Gassen fluteten die Menschen mit festlichen Lichtern in den Händen, die sie auf hohen Stangen trugen, und hoch über der drängenden Menge schwankten Baldachine von Samt und Seide auf den breiten Rücken geschmückter Elefanten.|Durch die krummen engen Gassen fluteten die Menschen mit festlichen Lichtern in den Händen, die sie auf hohen Stangen trugen, und hoch über der drängenden Menge schwankten Baldachine von Samt und Seide auf den breiten Rücken geschmückter Elefanten.
koenigsgaukler_4_f000038|Es war, als sei die ganze breite Straße des Lebens in einen wirren Knäuel zusammengeworfen worden und strahlte all die zuckenden Lichter ihrer vielartigen Wesenheit aus.|Es war, als sei die ganze breite Straße des Lebens in einen wirren Knäuel zusammengeworfen worden und strahlte all die zuckenden Lichter ihrer vielartigen Wesenheit aus.
koenigsgaukler_4_f000039|Vor den kunstvoll geschnitzten hölzernen Toren der Häuser brannten bunte Lampen in allen Farben und aus den verhangenen Fensteröffnungen drang ein mattes verschleiertes Licht und der gedämpfte Klang leiser Saiteninstrumente.|Vor den kunstvoll geschnitzten hölzernen Toren der Häuser brannten bunte Lampen in allen Farben und aus den verhangenen Fensteröffnungen drang ein mattes verschleiertes Licht und der gedämpfte Klang leiser Saiteninstrumente.
koenigsgaukler_4_f000040|Mantao irrte ratlos mit dem kleinen Affen im Arm durch all die unbekannte Wirrnis in der Stadt der bunten Lampen.|Mantao irrte ratlos mit dem kleinen Affen im Arm durch all die unbekannte Wirrnis in der Stadt der bunten Lampen.
koenigsgaukler_4_f000041|Niemand beachtete ihn hier und er wagte niemand um eine Herberge anzugehen, denn alle die Menschen erschienen ihm voller Unrast, er aber suchte Ruhe und ein Dach, unter dem Stille und Frieden war.|Niemand beachtete ihn hier und er wagte niemand um eine Herberge anzugehen, denn alle die Menschen erschienen ihm voller Unrast, er aber suchte Ruhe und ein Dach, unter dem Stille und Frieden war.
koenigsgaukler_4_f000042|Schon wollte er die Stadt der bunten Lampen verlassen und draußen auf dem Felde schlafen, als er ein junges Mädchen erblickte, das vor seinem Hause unter einer bunten Lampe stand und ihn aus neugierigen Augen musterte.|Schon wollte er die Stadt der bunten Lampen verlassen und draußen auf dem Felde schlafen, als er ein junges Mädchen erblickte, das vor seinem Hause unter einer bunten Lampe stand und ihn aus neugierigen Augen musterte.
koenigsgaukler_4_f000043|Ihre bronzenen Glieder waren mit goldenem Schmuck und zierlichen Ketten behangen und im kunstvoll geflochtenen Haar trug sie einen Kranz von roten Blüten, die Mantao nicht kannte und die einen betäubenden Duft ausströmten.|Ihre bronzenen Glieder waren mit goldenem Schmuck und zierlichen Ketten behangen und im kunstvoll geflochtenen Haar trug sie einen Kranz von roten Blüten, die Mantao nicht kannte und die einen betäubenden Duft ausströmten.
koenigsgaukler_4_f000044|Der goldene Schmuck und die Ketten klirrten, wenn das Mädchen sich regte, und schon wollte Mantao sich abwenden und weitergehen, denn die Fremde erschien ihm so fremd wie die anderen in der Stadt der bunten Lampen.|Der goldene Schmuck und die Ketten klirrten, wenn das Mädchen sich regte, und schon wollte Mantao sich abwenden und weitergehen, denn die Fremde erschien ihm so fremd wie die anderen in der Stadt der bunten Lampen.
koenigsgaukler_4_f000045|Da schaute er ihr in die Augen und sah, daß diese Augen, so laut auch alles um sie war, still und ruhig und tief waren, ähnlich den Bergseen in Tibet.|Da schaute er ihr in die Augen und sah, daß diese Augen, so laut auch alles um sie war, still und ruhig und tief waren, ähnlich den Bergseen in Tibet.
koenigsgaukler_4_f000046|Willst du mir eine Herberge geben? fragte Mantao, mir und dem Affen auf meinem Arm?|Willst du mir eine Herberge geben? fragte Mantao, mir und dem Affen auf meinem Arm?
koenigsgaukler_4_f000047|Gerne, sagte das Mädchen und lachte, tritt ein in mein Haus.|Gerne, sagte das Mädchen und lachte, tritt ein in mein Haus.
koenigsgaukler_4_f000048|Ich bin Myramar, die Tänzerin, und habe nichts gelernt als lachen und die bunten Lampen in meinem Hause anzünden.|Ich bin Myramar, die Tänzerin, und habe nichts gelernt als lachen und die bunten Lampen in meinem Hause anzünden.
koenigsgaukler_4_f000049|Einmal wirst du weinen lernen und deine bunten Lampen werden erlöschen, sagte Mantao, siehe, ich bin Mantao, ein König aus den Bergen von Tibet, aber die Menschen auf der Straße haben mich einen Gaukler genannt.|Einmal wirst du weinen lernen und deine bunten Lampen werden erlöschen, sagte Mantao, siehe, ich bin Mantao, ein König aus den Bergen von Tibet, aber die Menschen auf der Straße haben mich einen Gaukler genannt.
koenigsgaukler_4_f000050|Ich danke dir für deine Herberge, aber ich habe keinen Lohn dafür zu geben, als den Segen Brahmas.|Ich danke dir für deine Herberge, aber ich habe keinen Lohn dafür zu geben, als den Segen Brahmas.
koenigsgaukler_4_f000051|Ich will keinen Lohn von dir, sagte die Tänzerin, denn ich liebe dich, Mantao, mein Königsgaukler.|Ich will keinen Lohn von dir, sagte die Tänzerin, denn ich liebe dich, Mantao, mein Königsgaukler.
koenigsgaukler_4_f000052|Da war es Mantao, als habe die Tänzerin etwas in ihm erkannt, was in ihm war, als sie ihn mit diesem Namen nannte, und er folgte ihr in ihr Haus.|Da war es Mantao, als habe die Tänzerin etwas in ihm erkannt, was in ihm war, als sie ihn mit diesem Namen nannte, und er folgte ihr in ihr Haus.
koenigsgaukler_4_f000053|Seidenweiche Teppiche lagen darinnen ausgebreitet auf dem Fußboden, so daß man darüber hinwegschritt auf lautlosen Sohlen, Brot und Früchte lagen auf einem kleinen Tischchen aus vergoldetem Rosenholz und an der Wand stand|Seidenweiche Teppiche lagen darinnen ausgebreitet auf dem Fußboden, so daß man darüber hinwegschritt auf lautlosen Sohlen, Brot und Früchte lagen auf einem kleinen Tischchen aus vergoldetem Rosenholz und an der Wand stand
koenigsgaukler_4_f000054|von einem schweren Vorhang halb verborgen, eine purpurrote Lagerstatt, überstreut mit den gleichen roten Blumen, die das Mädchen im Haar trug.|von einem schweren Vorhang halb verborgen, eine purpurrote Lagerstatt, überstreut mit den gleichen roten Blumen, die das Mädchen im Haar trug.
koenigsgaukler_4_f000055|Über allem aber lag das matte Licht einer Ampel aus Alabaster. Willst du dem Affen die gleiche Herberge geben wie mir? fragte Mantao.|Über allem aber lag das matte Licht einer Ampel aus Alabaster. Willst du dem Affen die gleiche Herberge geben wie mir? fragte Mantao.
koenigsgaukler_4_f000056|Da lachte die Tänzerin, daß ihre weißen Zähne zwischen den dunklen Lippen blitzten, nahm den kleinen Affen auf den Schoß und fütterte ihn mit den Früchten von dem Tisch aus Rosenholz.|Da lachte die Tänzerin, daß ihre weißen Zähne zwischen den dunklen Lippen blitzten, nahm den kleinen Affen auf den Schoß und fütterte ihn mit den Früchten von dem Tisch aus Rosenholz.
koenigsgaukler_4_f000057|Dafür will ich einmal meinen Schild über dir halten, wenn deine Lampe erloschen ist, sagte Mantao, der Königsgaukler.|Dafür will ich einmal meinen Schild über dir halten, wenn deine Lampe erloschen ist, sagte Mantao, der Königsgaukler.
koenigsgaukler_4_f000058|Rede nicht von erloschenen Lampen, sagte die Tänzerin, siehe, dies ist die Stadt der bunten Lampen und über sie herrscht Prinzessin Amaranth.|Rede nicht von erloschenen Lampen, sagte die Tänzerin, siehe, dies ist die Stadt der bunten Lampen und über sie herrscht Prinzessin Amaranth.
koenigsgaukler_4_f000059|Wir dürfen lachen, tanzen und unsere bunten Lampen brennen Nacht für Nacht, aber wir dürfen nicht von erloschenen Lampen reden, das hat Prinzessin Amaranth verboten in ihrem Reich.|Wir dürfen lachen, tanzen und unsere bunten Lampen brennen Nacht für Nacht, aber wir dürfen nicht von erloschenen Lampen reden, das hat Prinzessin Amaranth verboten in ihrem Reich.
koenigsgaukler_4_f000060|Einmal müssen alle die bunten Lampen erlöschen, sagte Mantao, es ist besser, davon zu reden, als zu schweigen.|Einmal müssen alle die bunten Lampen erlöschen, sagte Mantao, es ist besser, davon zu reden, als zu schweigen.
koenigsgaukler_4_f000061|Wohin gehen denn die von euch, deren Lampen erloschen sind?|Wohin gehen denn die von euch, deren Lampen erloschen sind?
koenigsgaukler_4_f000062|Es gibt noch eine Stadt der erloschenen Lampen, sagte die Tänzerin, aber Prinzessin Amaranth hat verboten, davon zu reden.|Es gibt noch eine Stadt der erloschenen Lampen, sagte die Tänzerin, aber Prinzessin Amaranth hat verboten, davon zu reden.
koenigsgaukler_4_f000063|Ich will auch nicht davon reden, denn meine bunten Lampen brennen und ich will tanzen und lachen, denn etwas anderes habe ich nicht gelernt.|Ich will auch nicht davon reden, denn meine bunten Lampen brennen und ich will tanzen und lachen, denn etwas anderes habe ich nicht gelernt.
koenigsgaukler_4_f000064|Sie setzte den kleinen Affen mitten zwischen lauter seidene gestickte Kissen und begann zu tanzen, erst langsam, dann immer schneller und schneller, daß der goldene Schmuck und die feinen Ketten an ihren bronzenen Gliedern klirrten und die duftenden Blüten eine nach der anderen aus ihren Haaren fielen.|Sie setzte den kleinen Affen mitten zwischen lauter seidene gestickte Kissen und begann zu tanzen, erst langsam, dann immer schneller und schneller, daß der goldene Schmuck und die feinen Ketten an ihren bronzenen Gliedern klirrten und die duftenden Blüten eine nach der anderen aus ihren Haaren fielen.
koenigsgaukler_4_f000065|Das Äffchen freute sich und schlug den Takt mit dem langen Schwanz dazu, den es wechselnd auf- und zusammenrollte, je nach den Klängen der Melodie.|Das Äffchen freute sich und schlug den Takt mit dem langen Schwanz dazu, den es wechselnd auf- und zusammenrollte, je nach den Klängen der Melodie.
koenigsgaukler_4_f000066|Die Melodie aber war die eines uralten indischen Liebesliedes.|Die Melodie aber war die eines uralten indischen Liebesliedes.
koenigsgaukler_4_f000067|Immer leiser und leiser wurden die Klänge des alten indischen Liebesliedes, das die Tänzerin vor sich hinsummte, und als es zu Ende war, da neigte sich Myramar und küßte Mantao, den Königsgaukler.|Immer leiser und leiser wurden die Klänge des alten indischen Liebesliedes, das die Tänzerin vor sich hinsummte, und als es zu Ende war, da neigte sich Myramar und küßte Mantao, den Königsgaukler.
koenigsgaukler_4_f000068|Über ihnen brannte die Ampel von Alabaster und um sie war die Nacht, Indiens weiche samtene Nacht mit ihren tausend Träumen und abertausend Wundern.|Über ihnen brannte die Ampel von Alabaster und um sie war die Nacht, Indiens weiche samtene Nacht mit ihren tausend Träumen und abertausend Wundern.
