weihnachtsabend_01_f000001|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.
weihnachtsabend_05_f000008|und wünschte nicht überrascht und erschreckt zu werden.|und wünschte nicht überrascht und erschreckt zu werden.
weihnachtsabend_05_f000009|Leute von keckem Mute, die sich schmeicheln, es schon mit etwas aufnehmen zu können, und immer an ihrem Platze zu sein, drücken den weiten Bereich ihrer Fähigkeiten mit den Worten aus:|Leute von keckem Mute, die sich schmeicheln, es schon mit etwas aufnehmen zu können, und immer an ihrem Platze zu sein, drücken den weiten Bereich ihrer Fähigkeiten mit den Worten aus:
weihnachtsabend_05_f000010|Sie wären gut für alles, vom Brotessen bis zum Menschenverschlingen;|Sie wären gut für alles, vom Brotessen bis zum Menschenverschlingen;
weihnachtsabend_05_f000011|zwischen welchen beiden Extremen ohne Zweifel ziemlich viel Gelegenheit zur Darlegung ihrer Kräfte liegt.|zwischen welchen beiden Extremen ohne Zweifel ziemlich viel Gelegenheit zur Darlegung ihrer Kräfte liegt.
weihnachtsabend_05_f000012|Ohne gerade zu behaupten, daß Scrooge es so weit gebracht hätte, muß ich doch von dem Leser den Glauben fordern,|Ohne gerade zu behaupten, daß Scrooge es so weit gebracht hätte, muß ich doch von dem Leser den Glauben fordern,
weihnachtsabend_05_f000013|daß er auf ein recht schönes Sortiment von Erscheinungen gefaßt war, und daß nichts zwischen einem Wickelkind und einem Rhinoceros ihn sehr staunen gemacht haben würde.|daß er auf ein recht schönes Sortiment von Erscheinungen gefaßt war, und daß nichts zwischen einem Wickelkind und einem Rhinoceros ihn sehr staunen gemacht haben würde.
weihnachtsabend_05_f000014|Eben weil er auf fast alles gefaßt war, war er nicht vorbereitet, nichts zu sehen;|Eben weil er auf fast alles gefaßt war, war er nicht vorbereitet, nichts zu sehen;
weihnachtsabend_05_f000015|und so, als die Glocke Eins schlug  und keine Gestalt erschien, überfiel ihn ein heftiges Zittern.|und so, als die Glocke Eins schlug  und keine Gestalt erschien, überfiel ihn ein heftiges Zittern.
weihnachtsabend_05_f000016|Fünf Minuten, zehn Minuten, eine Viertelstunde vergingen, aber es kam nichts.|Fünf Minuten, zehn Minuten, eine Viertelstunde vergingen, aber es kam nichts.
weihnachtsabend_05_f000017|Die ganze Zeit über lag er auf seinem Bett recht in der Mitte eines Stromes rötlichen Lichtes, welches sich über ihn ausgoß, als die Glocke die Stunde verkündigte;|Die ganze Zeit über lag er auf seinem Bett recht in der Mitte eines Stromes rötlichen Lichtes, welches sich über ihn ausgoß, als die Glocke die Stunde verkündigte;
weihnachtsabend_05_f000018|und welches, weil es nur Licht war, viel beunruhigender als ein Dutzend Geister war, da es ihm unmöglich war zu erraten, was es bedeute oder was es wolle.|und welches, weil es nur Licht war, viel beunruhigender als ein Dutzend Geister war, da es ihm unmöglich war zu erraten, was es bedeute oder was es wolle.
weihnachtsabend_05_f000019|Ja, er fürchtete zuweilen, er möchte in diesem Augenblick ein merkwürdiger Fall von Selbstentzündung sein, ohne den Trost zu haben, es zu wissen.|Ja, er fürchtete zuweilen, er möchte in diesem Augenblick ein merkwürdiger Fall von Selbstentzündung sein, ohne den Trost zu haben, es zu wissen.
weihnachtsabend_05_f000020|Endlich jedoch fing er an zu denken, daß die Quelle dieses geisterhaften Lichtes wohl in dem anliegenden Zimmer sein möge, aus dem es bei näherer Betrachtung zu strömen schien.|Endlich jedoch fing er an zu denken, daß die Quelle dieses geisterhaften Lichtes wohl in dem anliegenden Zimmer sein möge, aus dem es bei näherer Betrachtung zu strömen schien.
weihnachtsabend_05_f000021|Wie dieser Gedanke die Herrschaft über seine Seele bekommen hatte, stand er leise auf und schlürfte in den Pantoffeln nach der Thür.|Wie dieser Gedanke die Herrschaft über seine Seele bekommen hatte, stand er leise auf und schlürfte in den Pantoffeln nach der Thür.
weihnachtsabend_05_f000022|In demselben Augenblick, wo sich Scrooges Hand auf den Drücker legte, rief ihn eine fremde Stimme bei Namen und hieß ihn eintreten. Er gehorchte.|In demselben Augenblick, wo sich Scrooges Hand auf den Drücker legte, rief ihn eine fremde Stimme bei Namen und hieß ihn eintreten. Er gehorchte.
weihnachtsabend_05_f000023|Es war sein eigenes Zimmer. Daran ließ sich nicht zweifeln.|Es war sein eigenes Zimmer. Daran ließ sich nicht zweifeln.
weihnachtsabend_05_f000024|Aber eine wunderbare Umwandlung war mit ihm vorgegangen.|Aber eine wunderbare Umwandlung war mit ihm vorgegangen.
weihnachtsabend_05_f000025|Wände und Decke waren ganz mit grünen Zweigen bedeckt, daß es ganz aussah wie eine Laube, in der überall glänzende Beeren schimmerten.|Wände und Decke waren ganz mit grünen Zweigen bedeckt, daß es ganz aussah wie eine Laube, in der überall glänzende Beeren schimmerten.
weihnachtsabend_05_f000026|Die glänzenden, strammen Blätter der Stecheiche, der Mistel und des Epheus warfen das Licht zurück und erschienen wie ebensoviel kleine Spiegel.|Die glänzenden, strammen Blätter der Stecheiche, der Mistel und des Epheus warfen das Licht zurück und erschienen wie ebensoviel kleine Spiegel.
weihnachtsabend_05_f000027|Eine so gewaltige Flamme loderte die Esse hinauf, wie dieses Spottbild eines Kamines in Scrooges oder Marleys Zeit seit vielen, vielen Wintern nicht gekannt hatte.|Eine so gewaltige Flamme loderte die Esse hinauf, wie dieses Spottbild eines Kamines in Scrooges oder Marleys Zeit seit vielen, vielen Wintern nicht gekannt hatte.
weihnachtsabend_05_f000028|Auf dem Fußboden waren zu einer Art von Thron Truthähne, Gänse, Wildbret, große Braten, Spanferkel, lange Reihen von Würsten,|Auf dem Fußboden waren zu einer Art von Thron Truthähne, Gänse, Wildbret, große Braten, Spanferkel, lange Reihen von Würsten,
weihnachtsabend_05_f000029|Pasteten, Plumpuddings, Austerfäßchen, glühende Kastanien, rotbäckige Aepfel, saftige Orangen, appetitliche Birnen,|Pasteten, Plumpuddings, Austerfäßchen, glühende Kastanien, rotbäckige Aepfel, saftige Orangen, appetitliche Birnen,
weihnachtsabend_05_f000030|ungeheure Stollen und siedende Punschbowlen aufgehäuft, welche das Zimmer mit köstlichem Geruch  erfüllten.|ungeheure Stollen und siedende Punschbowlen aufgehäuft, welche das Zimmer mit köstlichem Geruch  erfüllten.
weihnachtsabend_05_f000031|Auf diesem Thron saß behaglich und mit fröhlichem Angesicht ein Riese, gar herrlich anzuschauen.|Auf diesem Thron saß behaglich und mit fröhlichem Angesicht ein Riese, gar herrlich anzuschauen.
weihnachtsabend_05_f000032|In der Hand trug er eine brennende Fackel, fast wie ein Füllhorn gestaltet, und hielt sie hoch in die Höhe, um Scrooge damit zu beleuchten, wie er in das Zimmer guckte.|In der Hand trug er eine brennende Fackel, fast wie ein Füllhorn gestaltet, und hielt sie hoch in die Höhe, um Scrooge damit zu beleuchten, wie er in das Zimmer guckte.
weihnachtsabend_05_f000033|Nur herein, rief der Geist. Nur herein, und lerne mich besser kennen.|Nur herein, rief der Geist. Nur herein, und lerne mich besser kennen.
weihnachtsabend_05_f000034|Scrooge trat schüchtern ein und senkte das Haupt vor dem Geiste.|Scrooge trat schüchtern ein und senkte das Haupt vor dem Geiste.
weihnachtsabend_05_f000035|Er war nicht mehr der hartfühlende, nichtsscheuende Scrooge wie früher, und obgleich des Geistes Augen hell und mild glänzten, wünschte er ihnen doch nicht zu begegnen.|Er war nicht mehr der hartfühlende, nichtsscheuende Scrooge wie früher, und obgleich des Geistes Augen hell und mild glänzten, wünschte er ihnen doch nicht zu begegnen.
weihnachtsabend_05_f000036|Ich bin der Geist der heurigen Weihnacht, sagte die Gestalt. Siehe mich an.|Ich bin der Geist der heurigen Weihnacht, sagte die Gestalt. Siehe mich an.
weihnachtsabend_05_f000037|Scrooge that es mit ehrfurchtsvollem Blick. Der Geist war in ein einfaches, dunkelgrünes Gewand, mit weißem Pelz verbrämt, gekleidet.|Scrooge that es mit ehrfurchtsvollem Blick. Der Geist war in ein einfaches, dunkelgrünes Gewand, mit weißem Pelz verbrämt, gekleidet.
weihnachtsabend_05_f000038|Die breite Brust war entblößt, als verschmähe sie, sich zu verstecken.|Die breite Brust war entblößt, als verschmähe sie, sich zu verstecken.
weihnachtsabend_05_f000039|Auch die Füße waren bloß und schauten unter den weiten Falten des Gewandes hervor;|Auch die Füße waren bloß und schauten unter den weiten Falten des Gewandes hervor;
weihnachtsabend_05_f000040|und das Haupt hatte keine andere Bedeckung, als einen Stecheichenkranz, in dem hier und da Eiszapfen glänzten.|und das Haupt hatte keine andere Bedeckung, als einen Stecheichenkranz, in dem hier und da Eiszapfen glänzten.
weihnachtsabend_05_f000041|Seine dunkelbraunen Locken wallten fessellos auf die Schultern.|Seine dunkelbraunen Locken wallten fessellos auf die Schultern.
weihnachtsabend_05_f000042|Sein munteres Gesicht, sein glänzendes Auge, seine fröhliche Stimme, sein ungezwungenes Benehmen, alles sprach von Offenheit und heiterm Sinn.|Sein munteres Gesicht, sein glänzendes Auge, seine fröhliche Stimme, sein ungezwungenes Benehmen, alles sprach von Offenheit und heiterm Sinn.
weihnachtsabend_05_f000043|Um den Leib trug er eine alte Degenscheide gegürtet; aber sie war von Rost zerfressen und kein Schwert stak darin.|Um den Leib trug er eine alte Degenscheide gegürtet; aber sie war von Rost zerfressen und kein Schwert stak darin.
weihnachtsabend_05_f000044|Du hast nie meinesgleichen vorher gesehen, rief der Geist.|Du hast nie meinesgleichen vorher gesehen, rief der Geist.
weihnachtsabend_05_f000045|Niemals, entgegnete Scrooge.|Niemals, entgegnete Scrooge.
weihnachtsabend_05_f000046|Hast dich nie mit den jüngern Gliedern meiner Familie abgegeben;|Hast dich nie mit den jüngern Gliedern meiner Familie abgegeben;
weihnachtsabend_05_f000047|ich meine denn ich bin sehr jung meine ältern Brüder, welche in den letztern Jahren geboren worden sind, fuhr das Phantom fort.|ich meine denn ich bin sehr jung meine ältern Brüder, welche in den letztern Jahren geboren worden sind, fuhr das Phantom fort.
weihnachtsabend_05_f000048|Ich glaube nicht, sagte Scrooge. Es thut mir leid, es nicht gethan zu haben. Hast du viele Brüder gehabt, Geist?|Ich glaube nicht, sagte Scrooge. Es thut mir leid, es nicht gethan zu haben. Hast du viele Brüder gehabt, Geist?
weihnachtsabend_05_f000049|Mehr als achtzehnhundert, sagte dieser.|Mehr als achtzehnhundert, sagte dieser.
weihnachtsabend_05_f000050|Eine schrecklich große Familie, wer für sie zu sorgen hat, murmelte Scrooge.|Eine schrecklich große Familie, wer für sie zu sorgen hat, murmelte Scrooge.
weihnachtsabend_05_f000051|Der Geist der heurigen Weihnacht stand auf.|Der Geist der heurigen Weihnacht stand auf.
weihnachtsabend_05_f000052|Geist, sagte Scrooge demütig, führe mich wohin du willst.|Geist, sagte Scrooge demütig, führe mich wohin du willst.
weihnachtsabend_05_f000053|Gestern Nacht wurde ich durch Zwang hinausgeführt und mir wurde eine Lehre gegeben, die jetzt im Wirken ist.|Gestern Nacht wurde ich durch Zwang hinausgeführt und mir wurde eine Lehre gegeben, die jetzt im Wirken ist.
weihnachtsabend_05_f000054|Heute bin ich bereit zu folgen, und wenn du mir etwas zu lehren hast, will ich hören.|Heute bin ich bereit zu folgen, und wenn du mir etwas zu lehren hast, will ich hören.
weihnachtsabend_05_f000055|Berühre mein Gewand.|Berühre mein Gewand.
weihnachtsabend_05_f000056|Scrooge that, wie ihm gesagt worden und hielt es fest.|Scrooge that, wie ihm gesagt worden und hielt es fest.
weihnachtsabend_05_f000057|Stecheichen, Misteln, rote Beeren, Epheu, Truthähne, Gänse, Braten, Spanferkel, Würste, Austern, Pasteten, Puddings, Früchte und Punsch, alles verschwand augenblicklich.|Stecheichen, Misteln, rote Beeren, Epheu, Truthähne, Gänse, Braten, Spanferkel, Würste, Austern, Pasteten, Puddings, Früchte und Punsch, alles verschwand augenblicklich.
weihnachtsabend_05_f000058|Auch das Zimmer verschwand, das Feuer, der rötliche Schimmer, die nächtliche Stunde, und sie standen in den Straßen der Stadt,|Auch das Zimmer verschwand, das Feuer, der rötliche Schimmer, die nächtliche Stunde, und sie standen in den Straßen der Stadt,
weihnachtsabend_05_f000059|am Morgen des Weihnachtstages, wo die Leute, denn es war sehr kalt, eine rauhe, aber muntere und nicht unangenehme Musik machten,|am Morgen des Weihnachtstages, wo die Leute, denn es war sehr kalt, eine rauhe, aber muntere und nicht unangenehme Musik machten,
weihnachtsabend_05_f000060|wie sie den Schnee von dem Straßenpflaster und den Dächern der Häuser zusammenscharrten.|wie sie den Schnee von dem Straßenpflaster und den Dächern der Häuser zusammenscharrten.
weihnachtsabend_05_f000061|Und daneben standen die Kinder und freuten sich und frohlockten, wie die Schneelawinen von den Dächern herunterstürzten und in künstliche Schneestürme zerstiebten.|Und daneben standen die Kinder und freuten sich und frohlockten, wie die Schneelawinen von den Dächern herunterstürzten und in künstliche Schneestürme zerstiebten.
weihnachtsabend_05_f000062|Die Häuser erschienen schwarz und die Fenster noch schwärzer, verglichen mit der glatten, weißen Schneedecke auf den Dächern und dem schmutzigern Schnee auf den Straßen.|Die Häuser erschienen schwarz und die Fenster noch schwärzer, verglichen mit der glatten, weißen Schneedecke auf den Dächern und dem schmutzigern Schnee auf den Straßen.
weihnachtsabend_05_f000063|In den letztern war er von den schweren Rädern der Wagen und Karren in tiefe Furchen aufgepflügt;|In den letztern war er von den schweren Rädern der Wagen und Karren in tiefe Furchen aufgepflügt;
weihnachtsabend_05_f000064|Furchen, die sich hundert- und aberhundertmal kreuzten, wo eine Nebenstraße ausging, und in dem dicken, gelben Schmutz und halberstarrten Wasser labyrinthische Kanäle bildeten.|Furchen, die sich hundert- und aberhundertmal kreuzten, wo eine Nebenstraße ausging, und in dem dicken, gelben Schmutz und halberstarrten Wasser labyrinthische Kanäle bildeten.
weihnachtsabend_05_f000065|Der Himmel war trübe und selbst die kürzesten Straßen schienen sich in einen dicken Nebel zu verlieren,|Der Himmel war trübe und selbst die kürzesten Straßen schienen sich in einen dicken Nebel zu verlieren,
weihnachtsabend_05_f000066|dessen schwerere Teile in einem rußigen Regen niederfielen, als  wenn alle Essen von England sich auf einmal entzündet hätten und jetzt nach Herzenslust brennten.|dessen schwerere Teile in einem rußigen Regen niederfielen, als  wenn alle Essen von England sich auf einmal entzündet hätten und jetzt nach Herzenslust brennten.
weihnachtsabend_05_f000067|Es war nichts Heiteres in der ganzen Umgebung und doch lag etwas in der Luft, was die klarste Sommerluft und die hellste Sommersonne nicht hätten verbreiten können.|Es war nichts Heiteres in der ganzen Umgebung und doch lag etwas in der Luft, was die klarste Sommerluft und die hellste Sommersonne nicht hätten verbreiten können.
weihnachtsabend_05_f000068|Denn die Leute, welche den Schnee von den Dächern schaufelten, waren lustig und voll mutwilliger Laune.|Denn die Leute, welche den Schnee von den Dächern schaufelten, waren lustig und voll mutwilliger Laune.
weihnachtsabend_05_f000069|Sie riefen sich einander zu von den Dächern und wechselten dann und wann einen Schneeball – ein gutmütigerer Pfeil,|Sie riefen sich einander zu von den Dächern und wechselten dann und wann einen Schneeball - ein gutmütigerer Pfeil,
weihnachtsabend_05_f000070|als manches Wort – und lachten herzlich, wenn er traf und nicht weniger herzlich, wenn sie fehlschossen.|als manches Wort - und lachten herzlich, wenn er traf und nicht weniger herzlich, wenn sie fehlschossen.
weihnachtsabend_05_f000071|Die Läden der Geflügelhändler waren noch halb offen und die der Fruchthändler strahlten in heller Freude.|Die Läden der Geflügelhändler waren noch halb offen und die der Fruchthändler strahlten in heller Freude.
weihnachtsabend_05_f000072|Da sah man große, runde, dickbäuchige Körbe voll Kastanien, gleich den Westen lustiger, alter Herren,|Da sah man große, runde, dickbäuchige Körbe voll Kastanien, gleich den Westen lustiger, alter Herren,
weihnachtsabend_05_f000073|an den Thüren lehnend, oder im apoplektischen Ueberfluß auf die Straße rollend.|an den Thüren lehnend, oder im apoplektischen Ueberfluß auf die Straße rollend.
weihnachtsabend_05_f000074|Da sah man braune, dickbäuchige, spanische Zwiebeln, in ihrer Fettheit spanischen Mönchen gleichend und mutwillig den Mädchen winkend,|Da sah man braune, dickbäuchige, spanische Zwiebeln, in ihrer Fettheit spanischen Mönchen gleichend und mutwillig den Mädchen winkend,
weihnachtsabend_05_f000075|welche vorübergingen und verschämt nach dem Mistelzweige schielten.|welche vorübergingen und verschämt nach dem Mistelzweige schielten.
weihnachtsabend_05_f000076|Da sah man Birnen und Aepfel in Pyramiden zusammengestellt;|Da sah man Birnen und Aepfel in Pyramiden zusammengestellt;
weihnachtsabend_05_f000077|Trauben, die der Kaufmann in seiner Gutmütigkeit recht augenfällig im Gewölbe hängen ließ, daß den Vorübergehenden der Mund gratis wässere;|Trauben, die der Kaufmann in seiner Gutmütigkeit recht augenfällig im Gewölbe hängen ließ, daß den Vorübergehenden der Mund gratis wässere;
weihnachtsabend_05_f000078|Haufen von Haselnüssen, bemoost und braun, mit ihrem frischen Duft vergangene Streifereien in den Wald durch das raschelnde, fußhohe welke Laub zurückrufend;|Haufen von Haselnüssen, bemoost und braun, mit ihrem frischen Duft vergangene Streifereien in den Wald durch das raschelnde, fußhohe welke Laub zurückrufend;
weihnachtsabend_05_f000079|Norfolk-Biffins, fett und krispig, mit ihrer Bräune von den gelben Orangen abstechend und gar dringend bittend, daß man sie nach Hause tragen und nach Tische essen möge.|Norfolk-Biffins, fett und krispig, mit ihrer Bräune von den gelben Orangen abstechend und gar dringend bittend, daß man sie nach Hause tragen und nach Tische essen möge.
weihnachtsabend_05_f000080|Ja, selbst die Gold- und Silberfische, welche in einem Glas mitten unter den auserlesenen Früchten standen,|Ja, selbst die Gold- und Silberfische, welche in einem Glas mitten unter den auserlesenen Früchten standen,
weihnachtsabend_05_f000081|obgleich von einem dick- und kaltblütigen Geschlechte, schienen zu wissen, daß etwas Besonderes los sei und schwammen um ihre kleine Welt in langsamer und leidenschaftsloser Bewegung.|obgleich von einem dick- und kaltblütigen Geschlechte, schienen zu wissen, daß etwas Besonderes los sei und schwammen um ihre kleine Welt in langsamer und leidenschaftsloser Bewegung.
weihnachtsabend_05_f000082|Ach die Materialwarenläden! fast geschlossen waren sie, vielleicht ein oder zwei Laden vorgesetzt; aber welche Herrlichkeiten sah man durch diese Oeffnungen!|Ach die Materialwarenläden! fast geschlossen waren sie, vielleicht ein oder zwei Laden vorgesetzt; aber welche Herrlichkeiten sah man durch diese Oeffnungen!
weihnachtsabend_05_f000083|Nicht allein, daß die Wagschalen mit einem fröhlichen Klange auf den Ladentisch klirrten, oder daß der Bindfaden und seine Rolle so munter voneinander schieden,|Nicht allein, daß die Wagschalen mit einem fröhlichen Klange auf den Ladentisch klirrten, oder daß der Bindfaden und seine Rolle so munter voneinander schieden,
weihnachtsabend_05_f000084|oder daß die Büchsen wie durch Zauberei blitzschnell hin und her fuhren, oder daß der vermischte Geruch von Kaffee und Thee der Nase so wohlthuend war,|oder daß die Büchsen wie durch Zauberei blitzschnell hin und her fuhren, oder daß der vermischte Geruch von Kaffee und Thee der Nase so wohlthuend war,
weihnachtsabend_05_f000085|die Rosinen so wunderschön, die Mandeln so außerordentlich weiß, die Zimtstengel so lang und gerade, die andern Gewürze so köstlich,|die Rosinen so wunderschön, die Mandeln so außerordentlich weiß, die Zimtstengel so lang und gerade, die andern Gewürze so köstlich,
weihnachtsabend_05_f000086|die eingemachten Früchte so dick mit geschmolzenem Zucker belegt waren, daß der kälteste Zuschauer entzückt wurde;|die eingemachten Früchte so dick mit geschmolzenem Zucker belegt waren, daß der kälteste Zuschauer entzückt wurde;
weihnachtsabend_05_f000087|nicht daß die Feigen so saftig und fleischig waren, oder daß die Brignolen in bescheidener Koketterie in ihren verzierten Büchsen erröteten,|nicht daß die Feigen so saftig und fleischig waren, oder daß die Brignolen in bescheidener Koketterie in ihren verzierten Büchsen erröteten,
weihnachtsabend_05_f000088|oder daß alles so gut zu essen oder so schön in seinem Weihnachtskleid war; das war es nicht allein.|oder daß alles so gut zu essen oder so schön in seinem Weihnachtskleid war; das war es nicht allein.
weihnachtsabend_05_f000089|Die Kaufenden waren auch alle so eifrig und eilig in der Hoffnung des Festes, daß sie in der Thüre gegeneinander rannten,|Die Kaufenden waren auch alle so eifrig und eilig in der Hoffnung des Festes, daß sie in der Thüre gegeneinander rannten,
weihnachtsabend_05_f000090|wie von Sinnen mit ihren Körben zusammenstießen und ihre Einkäufe vergaßen und wieder zurückliefen, um sie zu holen,|wie von Sinnen mit ihren Körben zusammenstießen und ihre Einkäufe vergaßen und wieder zurückliefen, um sie zu holen,
weihnachtsabend_05_f000091|und tausend ähnliche Irrtümer in der bestmöglichsten Laune begingen, während der Kaufmann und seine Leute so frisch und froh waren,|und tausend ähnliche Irrtümer in der bestmöglichsten Laune begingen, während der Kaufmann und seine Leute so frisch und froh waren,
weihnachtsabend_05_f000092|daß die blanken Herzen, welche ihre Schürzen hinten zusammenhielten, ihre eigenen hätten sein können, die für aller Augen Besichtigung auswendig getragen wurden.|daß die blanken Herzen, welche ihre Schürzen hinten zusammenhielten, ihre eigenen hätten sein können, die für aller Augen Besichtigung auswendig getragen wurden.
weihnachtsabend_05_f000093|Aber bald riefen die Glocken nach den Kirchen und der Kapelle und in ihren besten Kleidern und mit ihren feiertäglichsten Gesichtern gingen die Leute durch die Straßen;|Aber bald riefen die Glocken nach den Kirchen und der Kapelle und in ihren besten Kleidern und mit ihren feiertäglichsten Gesichtern gingen die Leute durch die Straßen;
weihnachtsabend_05_f000094|und zu derselben Zeit strömten aus den Nebenstraßen und Gäßchen und namenlosen Winkeln zahllose Leute, welche ihr Mittagsessen zu dem Bäcker trugen.|und zu derselben Zeit strömten aus den Nebenstraßen und Gäßchen und namenlosen Winkeln zahllose Leute, welche ihr Mittagsessen zu dem Bäcker trugen.
weihnachtsabend_05_f000095|Der Anblick dieser Armen und doch so Glücklichen schien des Geistes Teilnahme am meisten zu erregen, denn er blieb mit Scrooge neben eines Bäckers Thür stehen,|Der Anblick dieser Armen und doch so Glücklichen schien des Geistes Teilnahme am meisten zu erregen, denn er blieb mit Scrooge neben eines Bäckers Thür stehen,
weihnachtsabend_05_f000096|und indem er die Decken von  den Schüsseln nahm, wie die Träger vorübergingen, bestreute er ihr Mahl mit Weihrauch von seiner Fackel.|und indem er die Decken von  den Schüsseln nahm, wie die Träger vorübergingen, bestreute er ihr Mahl mit Weihrauch von seiner Fackel.
weihnachtsabend_05_f000097|Es war eine gar wunderbare Fackel, denn ein paarmal, als ein paar von den Leuten zusammengerannt waren und einige heftige Worte fielen,|Es war eine gar wunderbare Fackel, denn ein paarmal, als ein paar von den Leuten zusammengerannt waren und einige heftige Worte fielen,
weihnachtsabend_05_f000098|besprengte er sie mit einigen Tropfen Thau von seiner Fackel und ihre gute Laune war augenblicklich wiederhergestellt.|besprengte er sie mit einigen Tropfen Thau von seiner Fackel und ihre gute Laune war augenblicklich wiederhergestellt.
weihnachtsabend_05_f000099|Denn sie sagten, es sei eine Schande, sich am Weihnachtstage zu zanken.|Denn sie sagten, es sei eine Schande, sich am Weihnachtstage zu zanken.
weihnachtsabend_05_f000100|Jetzt schwiegen die Glocken und die Läden der Bäcker wurden geschlossen;|Jetzt schwiegen die Glocken und die Läden der Bäcker wurden geschlossen;
weihnachtsabend_05_f000101|und doch schwebte noch ein Schattenbild von allen diesen Mittagsessen und dem Fortschreiten ihrer Zubereitung in dem gethauten, nassen Fleck über jedem Ofen;|und doch schwebte noch ein Schattenbild von allen diesen Mittagsessen und dem Fortschreiten ihrer Zubereitung in dem gethauten, nassen Fleck über jedem Ofen;
weihnachtsabend_05_f000102|und vor ihnen rauchte das Pflaster, als wenn selbst die Steine kochten.|und vor ihnen rauchte das Pflaster, als wenn selbst die Steine kochten.
weihnachtsabend_05_f000103|Ist eine besondere Kraft in dem, was deine Fackel ausstreut? frug Scrooge.|Ist eine besondere Kraft in dem, was deine Fackel ausstreut? frug Scrooge.
weihnachtsabend_05_f000104|Ja. Meine eigene.|Ja. Meine eigene.
weihnachtsabend_05_f000105|Und wirkt sie auf jedes Mittagsmahl an diesem Tage? fragte Scrooge.|Und wirkt sie auf jedes Mittagsmahl an diesem Tage? fragte Scrooge.
weihnachtsabend_05_f000106|Auf jedes, welches gern gegeben wird. Auf ein ärmliches am meisten.|Auf jedes, welches gern gegeben wird. Auf ein ärmliches am meisten.
weihnachtsabend_05_f000107|Warum auf ein ärmliches am meisten?|Warum auf ein ärmliches am meisten?
weihnachtsabend_05_f000108|Weil das sie am meisten bedarf.|Weil das sie am meisten bedarf.
weihnachtsabend_05_f000109|Geist, sagte Scrooge nach einem augenblicklichen Sinnen, mich wundertes, daß du von allen Wesen auf den vielen Welten um uns wünschen solltest,|Geist, sagte Scrooge nach einem augenblicklichen Sinnen, mich wundertes, daß du von allen Wesen auf den vielen Welten um uns wünschen solltest,
weihnachtsabend_05_f000110|diesen Leuten die Gelegenheit unschuldigen Genusses zu rauben.|diesen Leuten die Gelegenheit unschuldigen Genusses zu rauben.
weihnachtsabend_05_f000111|Ich? rief der Geist.|Ich? rief der Geist.
weihnachtsabend_05_f000112|Du willst ihnen die Mittel nehmen, jeden siebenten Tag zu Mittag zu essen, und doch ist das der einzige Tag, wo sie überhaupt zu Mittag essen können, sagte Scrooge.|Du willst ihnen die Mittel nehmen, jeden siebenten Tag zu Mittag zu essen, und doch ist das der einzige Tag, wo sie überhaupt zu Mittag essen können, sagte Scrooge.
weihnachtsabend_05_f000113|Ich? rief der Geist.|Ich? rief der Geist.
weihnachtsabend_05_f000114|Verzeihe mir, wenn ich unrecht habe. Es ist in deinem Namen geschehen oder wenigstens in dem deiner Familie, sagte Scrooge.|Verzeihe mir, wenn ich unrecht habe. Es ist in deinem Namen geschehen oder wenigstens in dem deiner Familie, sagte Scrooge.
weihnachtsabend_05_f000115|Es giebt Menschen auf Eurer Erde, entgegnete der Geist, welche uns kennen wollen und ihre Thaten des Stolzes,|Es giebt Menschen auf Eurer Erde, entgegnete der Geist, welche uns kennen wollen und ihre Thaten des Stolzes,
weihnachtsabend_05_f000116|der Mißgunst, des Hasses, des Neides, des Fanatismus und der Selbstsucht in unserm Namen thun;|der Mißgunst, des Hasses, des Neides, des Fanatismus und der Selbstsucht in unserm Namen thun;
weihnachtsabend_05_f000117|die uns in allem, was zu uns gehört, so fremd sind, als wenn sie nie gelebt hätten. Bedenke das und schreibe ihre Thaten ihnen selbst zu und nicht uns.|die uns in allem, was zu uns gehört, so fremd sind, als wenn sie nie gelebt hätten. Bedenke das und schreibe ihre Thaten ihnen selbst zu und nicht uns.
weihnachtsabend_05_f000118|Scrooge versprach es und sie gingen unsichtbar, wie bisher, weiter in die Vorstadt.|Scrooge versprach es und sie gingen unsichtbar, wie bisher, weiter in die Vorstadt.
weihnachtsabend_05_f000119|Es war eine wunderbare Eigenschaft des Geistes Scrooge hatte sie bei dem Bäcker bemerkt, daß er, trotz seiner riesenhaften Gestalt, doch überall leicht Platz fand;|Es war eine wunderbare Eigenschaft des Geistes Scrooge hatte sie bei dem Bäcker bemerkt, daß er, trotz seiner riesenhaften Gestalt, doch überall leicht Platz fand;
weihnachtsabend_05_f000120|und daß er unter einem niedrigen Dach ebenso schön und wie ein übernatürliches Wesen dastand, wie im geräumigen hohen Saal.|und daß er unter einem niedrigen Dach ebenso schön und wie ein übernatürliches Wesen dastand, wie im geräumigen hohen Saal.
weihnachtsabend_05_f000121|Vielleicht war es die Freude, welche der gute Geist darin fühlte, diese Macht zu zeigen, vielleicht auch seine warmherzige,|Vielleicht war es die Freude, welche der gute Geist darin fühlte, diese Macht zu zeigen, vielleicht auch seine warmherzige,
weihnachtsabend_05_f000122|freundliche Natur und seine Teilnahme für alle Armen, was ihn gerade zu Scrooges Diener führte;|freundliche Natur und seine Teilnahme für alle Armen, was ihn gerade zu Scrooges Diener führte;
