maedchenvommoorhof_1_f000001|Es ist in einem Thingsaal, weit draußen auf dem Lande.|Es ist in einem Thingsaal, weit draußen auf dem Lande.
maedchenvommoorhof_4_f000197|Erland Erlandsson also fuhr Helga auf dem schlechten Wege heim und ließ nicht zu, daß sie bei irgendeiner steilen Stelle ausstieg.|Erland Erlandsson also fuhr Helga auf dem schlechten Wege heim und ließ nicht zu, daß sie bei irgendeiner steilen Stelle ausstieg.
maedchenvommoorhof_4_f000198|Als sie auf dem Moorhof angelangt waren, saß er lange in der Hütte und sprach mit Helgas Eltern und erzählte ihnen, wie zufrieden er und Mutter Ingeborg mit ihr gewesen waren.|Als sie auf dem Moorhof angelangt waren, saß er lange in der Hütte und sprach mit Helgas Eltern und erzählte ihnen, wie zufrieden er und Mutter Ingeborg mit ihr gewesen waren.
maedchenvommoorhof_4_f000199|Nur weil sie jetzt nicht mehr so viele Dienstleute brauchten, müßten sie sie nach Hause schicken.|Nur weil sie jetzt nicht mehr so viele Dienstleute brauchten, müßten sie sie nach Hause schicken.
maedchenvommoorhof_4_f000200|Sie hätte gehen müssen, weil sie die Jüngste wäre.|Sie hätte gehen müssen, weil sie die Jüngste wäre.
maedchenvommoorhof_4_f000201|Sie hätten es unrecht gefunden, jemand fortzuschicken, der schon lange bei ihnen diente.|Sie hätten es unrecht gefunden, jemand fortzuschicken, der schon lange bei ihnen diente.
maedchenvommoorhof_4_f000202|Erland Erlandssons Rede machte einen guten Eindruck, und die Eltern bereiteten Helga einen freundlichen Empfang.|Erland Erlandssons Rede machte einen guten Eindruck, und die Eltern bereiteten Helga einen freundlichen Empfang.
maedchenvommoorhof_4_f000203|Als sie dazu noch hörten, sie hätte so große Bestellungen erhalten, daß sie sich mit ihrer Weberei das Brot verdienen könne, waren sie es recht zufrieden, daß sie nun daheim blieb.|Als sie dazu noch hörten, sie hätte so große Bestellungen erhalten, daß sie sich mit ihrer Weberei das Brot verdienen könne, waren sie es recht zufrieden, daß sie nun daheim blieb.
maedchenvommoorhof_5_f000001|Gudmund kam es vor, als ob er Hildur Erikstochter bis zu dem Tage geliebt hätte, an dem sie ihm das Versprechen abgezwungen, daß Helga aus Närlunda fort sollte.|Gudmund kam es vor, als ob er Hildur Erikstochter bis zu dem Tage geliebt hätte, an dem sie ihm das Versprechen abgezwungen, daß Helga aus Närlunda fort sollte.
maedchenvommoorhof_5_f000002|Wenigstens hatte es bis dahin niemand gegeben, den er mehr bewundert und geachtet hätte.|Wenigstens hatte es bis dahin niemand gegeben, den er mehr bewundert und geachtet hätte.
maedchenvommoorhof_5_f000003|Kein junges Mädchen schien ihm Hildur an die Seite gestellt werden zu können, und er war sehr stolz darauf gewesen, daß er sie gewonnen hatte.|Kein junges Mädchen schien ihm Hildur an die Seite gestellt werden zu können, und er war sehr stolz darauf gewesen, daß er sie gewonnen hatte.
maedchenvommoorhof_5_f000004|Es war ihm auch ein lieber Gedanke, sich die Zukunft mit ihr zusammen vorzustellen.|Es war ihm auch ein lieber Gedanke, sich die Zukunft mit ihr zusammen vorzustellen.
maedchenvommoorhof_5_f000005|Sie würden reich und angesehen sein, und er hatte das sichere Gefühl, daß es sich in dem Heim, wo Hildur das Regiment führte, gut leben lassen müßte.|Sie würden reich und angesehen sein, und er hatte das sichere Gefühl, daß es sich in dem Heim, wo Hildur das Regiment führte, gut leben lassen müßte.
maedchenvommoorhof_5_f000006|Er dachte auch gern daran, daß er viel Geld haben würde, wenn er mit ihr verheiratet wäre.|Er dachte auch gern daran, daß er viel Geld haben würde, wenn er mit ihr verheiratet wäre.
maedchenvommoorhof_5_f000007|Er könnte seine Wirtschaft verbessern, könnte alle verfallnen Hütten wieder aufbauen und den Hof erweitern, so daß er ein richtiger Großbauer würde.|Er könnte seine Wirtschaft verbessern, könnte alle verfallnen Hütten wieder aufbauen und den Hof erweitern, so daß er ein richtiger Großbauer würde.
maedchenvommoorhof_5_f000008|An demselben Sonntag, da er mit Helga von der Kirche heimging, war er abends nach Älvåkra gefahren.|An demselben Sonntag, da er mit Helga von der Kirche heimging, war er abends nach Älvkra gefahren.
maedchenvommoorhof_5_f000009|Da hatte Hildur angefangen von Helga zu sprechen und hatte gesagt, daß sie nicht nach Närlunda kommen wolle, ehe die Dirne von dort fort sei.|Da hatte Hildur angefangen von Helga zu sprechen und hatte gesagt, daß sie nicht nach Närlunda kommen wolle, ehe die Dirne von dort fort sei.
maedchenvommoorhof_5_f000010|Gudmund versuchte zuerst, das Ganze als einen Scherz fortzulachen.|Gudmund versuchte zuerst, das Ganze als einen Scherz fortzulachen.
maedchenvommoorhof_5_f000011|Aber es zeigte sich bald, daß es Hildur ernst war.|Aber es zeigte sich bald, daß es Hildur ernst war.
maedchenvommoorhof_5_f000012|Gudmund führte Helgas Sache sehr beredt; er sagte, sie sei noch so jung gewesen, als sie in den Dienst geschickt wurde, da sei es nicht zu verwundern, daß sie ins Unglück gekommen wäre, wo sie an einen so schlechten Menschen geraten war wie Per Martensson.|Gudmund führte Helgas Sache sehr beredt; er sagte, sie sei noch so jung gewesen, als sie in den Dienst geschickt wurde, da sei es nicht zu verwundern, daß sie ins Unglück gekommen wäre, wo sie an einen so schlechten Menschen geraten war wie Per Martensson.
maedchenvommoorhof_5_f000013|Aber seit seine Mutter sich ihrer angenommen, hätte sie sich immer gut betragen.|Aber seit seine Mutter sich ihrer angenommen, hätte sie sich immer gut betragen.
maedchenvommoorhof_5_f000014|Es kann nicht Recht sein, sie wieder hinauszustoßen, sagte er.|Es kann nicht Recht sein, sie wieder hinauszustoßen, sagte er.
maedchenvommoorhof_5_f000015|Da könnte sie ja wieder ins Elend kommen.|Da könnte sie ja wieder ins Elend kommen.
maedchenvommoorhof_5_f000016|Aber Hildur hatte nicht nachgeben wollen.|Aber Hildur hatte nicht nachgeben wollen.
maedchenvommoorhof_5_f000017|Wenn das Mädchen auf Närlunda bleibt, so komme ich nie hin, sagte sie.|Wenn das Mädchen auf Närlunda bleibt, so komme ich nie hin, sagte sie.
maedchenvommoorhof_5_f000018|Ich kann eine solche Person in meinem Hause nicht dulden.|Ich kann eine solche Person in meinem Hause nicht dulden.
maedchenvommoorhof_5_f000019|Du weißt nicht, was du tust, sagte Gudmund.|Du weißt nicht, was du tust, sagte Gudmund.
maedchenvommoorhof_5_f000020|Niemand hat Mutter noch so gut gepflegt wie Helga.|Niemand hat Mutter noch so gut gepflegt wie Helga.
maedchenvommoorhof_5_f000021|Wir sind alle froh, daß sie zu uns gekommen ist; früher war Mutter oft verdrießlich und schlechter Laune.|Wir sind alle froh, daß sie zu uns gekommen ist; früher war Mutter oft verdrießlich und schlechter Laune.
maedchenvommoorhof_5_f000022|Ich zwinge dich ja nicht, sie fortzuschicken, sagte Hildur, aber man merkte: sie war, wenn Gudmund ihr in dieser Sache nicht den Willen täte, entschlossen, die Heirat aufzugeben.|Ich zwinge dich ja nicht, sie fortzuschicken, sagte Hildur, aber man merkte: sie war, wenn Gudmund ihr in dieser Sache nicht den Willen täte, entschlossen, die Heirat aufzugeben.
maedchenvommoorhof_5_f000023|Nein, es soll so sein, wie du willst, sagte Gudmund schließlich.|Nein, es soll so sein, wie du willst, sagte Gudmund schließlich.
maedchenvommoorhof_5_f000024|Er fand, daß er Helgas wegen doch nicht seine ganze Zukunft aufs Spiel setzen könnte.|Er fand, daß er Helgas wegen doch nicht seine ganze Zukunft aufs Spiel setzen könnte.
maedchenvommoorhof_5_f000025|Aber er sah sehr blaß aus, als er so nachgab, und war den ganzen Abend schweigsam und verstimmt.|Aber er sah sehr blaß aus, als er so nachgab, und war den ganzen Abend schweigsam und verstimmt.
maedchenvommoorhof_5_f000026|Diese Sache nun ließ Gudmund befürchten, daß Hildur vielleicht nicht ganz so sei, wie er sie sich vorgestellt hatte.|Diese Sache nun ließ Gudmund befürchten, daß Hildur vielleicht nicht ganz so sei, wie er sie sich vorgestellt hatte.
maedchenvommoorhof_5_f000027|Es gefiel ihm nicht, daß sie ihren Willen über den seinen gesetzt hatte; aber das Schlimmste war: er konnte sich nicht verhehlen, daß sie im Unrecht war.|Es gefiel ihm nicht, daß sie ihren Willen über den seinen gesetzt hatte; aber das Schlimmste war: er konnte sich nicht verhehlen, daß sie im Unrecht war.
maedchenvommoorhof_5_f000028|Er sagte sich, daß er ihr gern nachgegeben hätte, wenn sie sich großherzig gezeigt haben würde; aber nun schien es ihm, daß sie nur kleinlich und herzlos gewesen wäre.|Er sagte sich, daß er ihr gern nachgegeben hätte, wenn sie sich großherzig gezeigt haben würde; aber nun schien es ihm, daß sie nur kleinlich und herzlos gewesen wäre.
maedchenvommoorhof_5_f000029|Jedesmal von da an, wenn Gudmund Hildur traf, saß er und suchte und spähte, ob das, was er in ihr zu finden geglaubt hatte, sich wieder zeigen würde.|Jedesmal von da an, wenn Gudmund Hildur traf, saß er und suchte und spähte, ob das, was er in ihr zu finden geglaubt hatte, sich wieder zeigen würde.
maedchenvommoorhof_5_f000030|Nun sein Mißtrauen einmal geweckt war, dauerte es nicht lange, und er fand manches, was nicht so war, wie er es sich gewünscht hätte.|Nun sein Mißtrauen einmal geweckt war, dauerte es nicht lange, und er fand manches, was nicht so war, wie er es sich gewünscht hätte.
maedchenvommoorhof_5_f000031|Sie ist wohl so eine, die zu allererst an sich selbst denkt, murmelte er jedesmal, wenn er sich von ihr trennte, und er fragte sich, wie lange wohl ihre Liebe zu ihm standhalten würde, wenn man sie auf die Probe stellte.|Sie ist wohl so eine, die zu allererst an sich selbst denkt, murmelte er jedesmal, wenn er sich von ihr trennte, und er fragte sich, wie lange wohl ihre Liebe zu ihm standhalten würde, wenn man sie auf die Probe stellte.
maedchenvommoorhof_5_f000032|Er suchte sich damit zu trösten, daß alle Menschen zuerst an sich selbst dächten; aber sogleich fiel ihm Helga ein.|Er suchte sich damit zu trösten, daß alle Menschen zuerst an sich selbst dächten; aber sogleich fiel ihm Helga ein.
maedchenvommoorhof_5_f000033|Er sah sie vor sich, wie sie im Thingsaal gestanden und die Bibel an sich gerissen hatte, er hörte, wie sie rief: Ich will die Klage zurückziehen.|Er sah sie vor sich, wie sie im Thingsaal gestanden und die Bibel an sich gerissen hatte, er hörte, wie sie rief: Ich will die Klage zurückziehen.
maedchenvommoorhof_5_f000034|Ich hab ihn noch lieb.|Ich hab ihn noch lieb.
maedchenvommoorhof_5_f000035|Ich will nicht, daß er falsch schwört.|Ich will nicht, daß er falsch schwört.
maedchenvommoorhof_5_f000036|So hätte er sich Hildur gewünscht.|So hätte er sich Hildur gewünscht.
maedchenvommoorhof_5_f000037|Helga war ihm ein Maß geworden, nach dem er die Menschen beurteilte, wahrlich, es gab nicht viele, die ein so liebevolles Herz hatten.|Helga war ihm ein Maß geworden, nach dem er die Menschen beurteilte, wahrlich, es gab nicht viele, die ein so liebevolles Herz hatten.
maedchenvommoorhof_5_f000038|Von Tag zu Tag gefiel ihm Hildur weniger; aber er kam nie auf den Gedanken, daß er von der Heirat abstehen könnte.|Von Tag zu Tag gefiel ihm Hildur weniger; aber er kam nie auf den Gedanken, daß er von der Heirat abstehen könnte.
maedchenvommoorhof_5_f000039|Er suchte sich einzureden, daß sein Mißmut nichts andres sei als leere Grillen.|Er suchte sich einzureden, daß sein Mißmut nichts andres sei als leere Grillen.
maedchenvommoorhof_5_f000040|Vor einigen Wochen erst hatte er sie ja für die Beste gehalten, die es gäbe.|Vor einigen Wochen erst hatte er sie ja für die Beste gehalten, die es gäbe.
maedchenvommoorhof_5_f000041|Wäre er noch am Anfang seiner Werbung gewesen, dann hätte er sich vielleicht zurückgezogen.|Wäre er noch am Anfang seiner Werbung gewesen, dann hätte er sich vielleicht zurückgezogen.
maedchenvommoorhof_5_f000042|Aber jetzt waren sie schon aufgeboten, der Hochzeitstag war bestimmt, und bei ihm daheim hatten sie bereits große Ausbesserungen in Angriff genommen.|Aber jetzt waren sie schon aufgeboten, der Hochzeitstag war bestimmt, und bei ihm daheim hatten sie bereits große Ausbesserungen in Angriff genommen.
maedchenvommoorhof_5_f000043|Er wollte auch den Reichtum und die gute Stellung, die ihn erwarteten, nicht preisgeben.|Er wollte auch den Reichtum und die gute Stellung, die ihn erwarteten, nicht preisgeben.
maedchenvommoorhof_5_f000044|Und welchen Grund hätte er für einen Bruch anzuführen vermocht?|Und welchen Grund hätte er für einen Bruch anzuführen vermocht?
maedchenvommoorhof_5_f000045|Was er gegen Hildur einzuwenden hatte, war so unbedeutend, daß es sich auf seinen Lippen in Luft verwandeln würde, wenn er versuchen wollte, es auszusprechen.|Was er gegen Hildur einzuwenden hatte, war so unbedeutend, daß es sich auf seinen Lippen in Luft verwandeln würde, wenn er versuchen wollte, es auszusprechen.
maedchenvommoorhof_5_f000046|Aber das Herz war ihm oft schwer, und jedesmal, wenn er im Kirchdorf oder in der Stadt etwas zu besorgen hatte, ließ er sich Bier oder Wein geben, um sich eine gute Laune anzutrinken.|Aber das Herz war ihm oft schwer, und jedesmal, wenn er im Kirchdorf oder in der Stadt etwas zu besorgen hatte, ließ er sich Bier oder Wein geben, um sich eine gute Laune anzutrinken.
maedchenvommoorhof_5_f000047|Wenn er ein paar Flaschen geleert hatte, war er wieder stolz auf die Heirat und zufrieden mit Hildur.|Wenn er ein paar Flaschen geleert hatte, war er wieder stolz auf die Heirat und zufrieden mit Hildur.
maedchenvommoorhof_5_f000048|Dann begriff er gar nicht, was ihn eigentlich quäle.|Dann begriff er gar nicht, was ihn eigentlich quäle.
maedchenvommoorhof_5_f000049|Gudmund dachte oft an Helga und empfand Sehnsicht, sie zu treffen.|Gudmund dachte oft an Helga und empfand Sehnsicht, sie zu treffen.
maedchenvommoorhof_5_f000050|Aber er glaubte, daß Helga ihn für einen schlechten Kerl halte, weil er dem Versprechen, das er ihr freiwillig gegeben hatte, untreu geworden war, und sie hatte ziehen lassen.|Aber er glaubte, daß Helga ihn für einen schlechten Kerl halte, weil er dem Versprechen, das er ihr freiwillig gegeben hatte, untreu geworden war, und sie hatte ziehen lassen.
maedchenvommoorhof_5_f000051|Er konnte es ihr weder erklären, noch sich rechtfertigen, und darum vermied er es, mit ihr zusammenzutreffen.|Er konnte es ihr weder erklären, noch sich rechtfertigen, und darum vermied er es, mit ihr zusammenzutreffen.
maedchenvommoorhof_5_f000052|Doch eines Morgens, als Gudmund gerade über die Straße ging, begegnete er Helga, die im Tal gewesen war, Milch zu kaufen.|Doch eines Morgens, als Gudmund gerade über die Straße ging, begegnete er Helga, die im Tal gewesen war, Milch zu kaufen.
maedchenvommoorhof_5_f000053|Gudmund kehrte um und schloß sich ihr an.|Gudmund kehrte um und schloß sich ihr an.
maedchenvommoorhof_5_f000054|Sie schien über seine Gesellschaft nicht gerade erfreut zu sein, sondern schritt rasch aus, als wolle sie von ihm fortkommen, und sagte kein Wort.|Sie schien über seine Gesellschaft nicht gerade erfreut zu sein, sondern schritt rasch aus, als wolle sie von ihm fortkommen, und sagte kein Wort.
maedchenvommoorhof_5_f000055|Auch Gudmund schwieg, weil er nicht recht wußte, wie er ein Gespräch einleiten solle.|Auch Gudmund schwieg, weil er nicht recht wußte, wie er ein Gespräch einleiten solle.
maedchenvommoorhof_5_f000056|Da kam vom andern Ende der Straße ein Gefährt heran.|Da kam vom andern Ende der Straße ein Gefährt heran.
maedchenvommoorhof_5_f000057|Gudmund ging in Gedanken versunken und bemerkte es nicht, aber Helga hatte es gesehen und wendete sich nun plötzlich zu ihm.|Gudmund ging in Gedanken versunken und bemerkte es nicht, aber Helga hatte es gesehen und wendete sich nun plötzlich zu ihm.
maedchenvommoorhof_5_f000058|Es hat keinen Zweck, daß du mit mir weitergehst, Gudmund; denn wenn ich recht sehe, kommen da Amtmanns aus Älvåkra gefahren.|Es hat keinen Zweck, daß du mit mir weitergehst, Gudmund; denn wenn ich recht sehe, kommen da Amtmanns aus Älvkra gefahren.
maedchenvommoorhof_5_f000059|Gudmund sah rasch auf, erkannte Pferd und Wagen und machte eine Bewegung, als ob er umkehren wolle.|Gudmund sah rasch auf, erkannte Pferd und Wagen und machte eine Bewegung, als ob er umkehren wolle.
maedchenvommoorhof_5_f000060|Im nächsten Augenblick jedoch richtete er sich auf und ging ruhig an Helgas Seite weiter wie zuvor; und sie trennten sich, ohne daß er ihr ein Wort gesagt hatte.|Im nächsten Augenblick jedoch richtete er sich auf und ging ruhig an Helgas Seite weiter wie zuvor; und sie trennten sich, ohne daß er ihr ein Wort gesagt hatte.
maedchenvommoorhof_5_f000061|Aber an diesem ganzen Tage war er zufriedener mit sich selbst, als er seit lange gewesen war.|Aber an diesem ganzen Tage war er zufriedener mit sich selbst, als er seit lange gewesen war.
maedchenvommoorhof_6_f000001|Es war bestimmt, daß Gudmund und Hildurs Hochzeit am zweiten Pfingstfeiertag auf Älvåkra gefeiert werden sollte.|Es war bestimmt, daß Gudmund und Hildurs Hochzeit am zweiten Pfingstfeiertag auf Älvkra gefeiert werden sollte.
maedchenvommoorhof_6_f000002|Am Freitag vor Pfingsten fuhr Gudmund in die Stadt, einige Einkäufe für einen Begrüßungsschmaus zu machen, der am Tage nach der Hochzeit auf Närlunda stattfinden sollte.|Am Freitag vor Pfingsten fuhr Gudmund in die Stadt, einige Einkäufe für einen Begrüßungsschmaus zu machen, der am Tage nach der Hochzeit auf Närlunda stattfinden sollte.
maedchenvommoorhof_6_f000003|In der Stadt traf er mit einigen andern jungen Burschen aus seinem Kirchspiel zusammen.|In der Stadt traf er mit einigen andern jungen Burschen aus seinem Kirchspiel zusammen.
maedchenvommoorhof_6_f000004|Sie wußten, daß dies Gudmunds letzter Stadtbesuch vor der Hochzeit war, und nahmen dies zum Anlaß, ein großes Trinkgelage zu veranstalten.|Sie wußten, daß dies Gudmunds letzter Stadtbesuch vor der Hochzeit war, und nahmen dies zum Anlaß, ein großes Trinkgelage zu veranstalten.
maedchenvommoorhof_6_f000005|Alle legten es darauf an, daß Gudmund trinke, und es gelang ihnen schließlich, ihn ganz bewußtlos zu machen.|Alle legten es darauf an, daß Gudmund trinke, und es gelang ihnen schließlich, ihn ganz bewußtlos zu machen.
maedchenvommoorhof_6_f000006|Am Samstag morgen kam er so spät nach Hause, daß sein Vater und der Knecht schon zu ihrer Arbeit gegangen waren, und er schlief bis tief in den Nachmittag.|Am Samstag morgen kam er so spät nach Hause, daß sein Vater und der Knecht schon zu ihrer Arbeit gegangen waren, und er schlief bis tief in den Nachmittag.
maedchenvommoorhof_6_f000007|Als er aufstand und sich anziehen wollte, sah er, daß sein Rock an mehreren Stellen zerrissen war.|Als er aufstand und sich anziehen wollte, sah er, daß sein Rock an mehreren Stellen zerrissen war.
maedchenvommoorhof_6_f000008|Das sieht ja aus, als wenn ich heute nacht eine Schlägerei gehabt hätte, sagte er und versuchte, sich zu besinnen, was geschehen wäre, erinnerte sich jedoch nur,|Das sieht ja aus, als wenn ich heute nacht eine Schlägerei gehabt hätte, sagte er und versuchte, sich zu besinnen, was geschehen wäre, erinnerte sich jedoch nur,
maedchenvommoorhof_6_f000009|daß er gegen elf Uhr in Gesellschaft der andern aus dem Wirtshaus gegangen war, aber wohin sie sich dann begeben hätten, das konnte er sich nicht zurückrufen.|daß er gegen elf Uhr in Gesellschaft der andern aus dem Wirtshaus gegangen war, aber wohin sie sich dann begeben hätten, das konnte er sich nicht zurückrufen.
maedchenvommoorhof_6_f000010|Es war, als versuchte er, in eine große Dunkelheit hineinzustarren.|Es war, als versuchte er, in eine große Dunkelheit hineinzustarren.
maedchenvommoorhof_6_f000011|Er wußte nicht, ob sie sich nur auf den Straßen herumgetrieben hätten, oder ob sie noch irgendwo eingekehrt wären.|Er wußte nicht, ob sie sich nur auf den Straßen herumgetrieben hätten, oder ob sie noch irgendwo eingekehrt wären.
maedchenvommoorhof_6_f000012|Er konnte sich auch nicht erinnern, ob er selbst oder irgendein andrer sein Pferd eingespannt hätte, und er hatte gar keine Erinnerung an die Heimfahrt.|Er konnte sich auch nicht erinnern, ob er selbst oder irgendein andrer sein Pferd eingespannt hätte, und er hatte gar keine Erinnerung an die Heimfahrt.
maedchenvommoorhof_6_f000013|Als er in die Wohnstube trat, war sie der Feiertage wegen gescheuert und gefegt.|Als er in die Wohnstube trat, war sie der Feiertage wegen gescheuert und gefegt.
maedchenvommoorhof_6_f000014|Alle Arbeit war beendigt, und das Hausgesinde trank Kaffee.|Alle Arbeit war beendigt, und das Hausgesinde trank Kaffee.
maedchenvommoorhof_6_f000015|Niemand sagte etwas über Gudmunds Ausbleiben.|Niemand sagte etwas über Gudmunds Ausbleiben.
maedchenvommoorhof_6_f000016|Es schien ein stillschweigendes Übereinkommen zu sein, daß er in diesen letzten Wochen die Freiheit haben solle, so zu leben, wie es ihm behagte.|Es schien ein stillschweigendes Übereinkommen zu sein, daß er in diesen letzten Wochen die Freiheit haben solle, so zu leben, wie es ihm behagte.
maedchenvommoorhof_6_f000017|Gudmund setzte sich an den Tisch und bekam seinen Kaffee wie die andern.|Gudmund setzte sich an den Tisch und bekam seinen Kaffee wie die andern.
maedchenvommoorhof_6_f000018|Während er so dasaß und ihn aus der Schale in die Untertasse und dann wieder in die Schale goß, um ihn abkühlen zu lassen, wurde Mutter Ingeborg mit dem ihren fertig; sie nahm die Zeitung zur Hand, die eben gekommen war, und begann zu lesen.|Während er so dasaß und ihn aus der Schale in die Untertasse und dann wieder in die Schale goß, um ihn abkühlen zu lassen, wurde Mutter Ingeborg mit dem ihren fertig; sie nahm die Zeitung zur Hand, die eben gekommen war, und begann zu lesen.
maedchenvommoorhof_6_f000019|Sie las Spalte für Spalte vor, und Gudmund, der Vater und die andern saßen da und hörten zu.|Sie las Spalte für Spalte vor, und Gudmund, der Vater und die andern saßen da und hörten zu.
maedchenvommoorhof_6_f000020|Unter anderm las sie einen Bericht vor über eine Schlägerei, die in der vorhergehenden Nacht auf dem großen Marktplatz zwischen einer Schar betrunkner Bauern und einigen Arbeitern stattgefunden hatte.|Unter anderm las sie einen Bericht vor über eine Schlägerei, die in der vorhergehenden Nacht auf dem großen Marktplatz zwischen einer Schar betrunkner Bauern und einigen Arbeitern stattgefunden hatte.
maedchenvommoorhof_6_f000021|Sobald die Polizei sich zeigte, waren die Streitenden entflohen; nur einer von ihnen hatte leblos auf dem Marktplatz gelegen.|Sobald die Polizei sich zeigte, waren die Streitenden entflohen; nur einer von ihnen hatte leblos auf dem Marktplatz gelegen.
maedchenvommoorhof_6_f000022|Man trug den Gefallenen auf die Polizeistation, und da man keine äußere Verletzung an ihm entdecken konnte, begann man Belebungsversuche zu machen.|Man trug den Gefallenen auf die Polizeistation, und da man keine äußere Verletzung an ihm entdecken konnte, begann man Belebungsversuche zu machen.
maedchenvommoorhof_6_f000023|Alle Bemühungen waren jedoch vergebens, und schließlich entdeckte man, daß eine Messerklinge in seinem Kopfe stak.|Alle Bemühungen waren jedoch vergebens, und schließlich entdeckte man, daß eine Messerklinge in seinem Kopfe stak.
maedchenvommoorhof_6_f000024|Es war die Klinge eines ungewöhnlich großen Taschenmessers, die durch die Hirnschale ins Gehirn eingedrungen und dicht am Kopfe abgebrochen war.|Es war die Klinge eines ungewöhnlich großen Taschenmessers, die durch die Hirnschale ins Gehirn eingedrungen und dicht am Kopfe abgebrochen war.
maedchenvommoorhof_6_f000025|Der Mörder war mit dem Messerschaft entflohen, aber da die Polizei die Leute, die an der Schlägerei beteiligt waren, genau kannte, bestand die Hoffnung, man würde ihn bald finden.|Der Mörder war mit dem Messerschaft entflohen, aber da die Polizei die Leute, die an der Schlägerei beteiligt waren, genau kannte, bestand die Hoffnung, man würde ihn bald finden.
maedchenvommoorhof_6_f000026|Während Mutter Ingeborg dies las, stellte Gudmund die Kaffeetasse hin, fuhr mit der Hand in die Tasche, zog sein Messer hervor und warf einen gleichgültigen Blick darauf.|Während Mutter Ingeborg dies las, stellte Gudmund die Kaffeetasse hin, fuhr mit der Hand in die Tasche, zog sein Messer hervor und warf einen gleichgültigen Blick darauf.
maedchenvommoorhof_6_f000027|Aber mit einem Mal zuckte er zusammen, drehte das Messer um und steckte es dann so hastig in die Tasche, als hätte er sich daran verbrannt.|Aber mit einem Mal zuckte er zusammen, drehte das Messer um und steckte es dann so hastig in die Tasche, als hätte er sich daran verbrannt.
maedchenvommoorhof_6_f000028|Er rührte den Kaffee nicht mehr an, sondern blieb lange ganz still mit einem nachdenklichen Ausdruck sitzen.|Er rührte den Kaffee nicht mehr an, sondern blieb lange ganz still mit einem nachdenklichen Ausdruck sitzen.
maedchenvommoorhof_6_f000029|Seine Stirn legte sich in tiefe Falten.|Seine Stirn legte sich in tiefe Falten.
maedchenvommoorhof_6_f000030|Es war deutlich zu sehen, daß er mit aller Macht versuchte, sich über etwas klar zu werden.|Es war deutlich zu sehen, daß er mit aller Macht versuchte, sich über etwas klar zu werden.
maedchenvommoorhof_6_f000031|Endlich stand er auf, streckte sich, gähnte und ging langsam auf die Tür zu.|Endlich stand er auf, streckte sich, gähnte und ging langsam auf die Tür zu.
maedchenvommoorhof_6_f000032|Ich muß mir ein bißchen Bewegung machen.|Ich muß mir ein bißchen Bewegung machen.
maedchenvommoorhof_6_f000033|Ich bin den ganzen Tag nicht aus dem Hause gewesen, sagte er und verließ das Zimmer.|Ich bin den ganzen Tag nicht aus dem Hause gewesen, sagte er und verließ das Zimmer.
maedchenvommoorhof_6_f000034|Ungefähr gleichzeitig erhob sich auch Erland Erlandsson.|Ungefähr gleichzeitig erhob sich auch Erland Erlandsson.
maedchenvommoorhof_6_f000035|Er hatte seine Pfeife ausgeraucht und ging nun in die Kammer, sich neuen Tabak zu holen.|Er hatte seine Pfeife ausgeraucht und ging nun in die Kammer, sich neuen Tabak zu holen.
maedchenvommoorhof_6_f000036|Als er da drinnen stand und die Pfeife stopfte, sah er Gudmund vorübergehen.|Als er da drinnen stand und die Pfeife stopfte, sah er Gudmund vorübergehen.
maedchenvommoorhof_6_f000037|Die Fenster der Kammer gingen nicht auf den Hof, wie die der Wohnstube, sondern auf ein kleines Gärtchen, in dem ein paar hohe Äpfelbäume standen.|Die Fenster der Kammer gingen nicht auf den Hof, wie die der Wohnstube, sondern auf ein kleines Gärtchen, in dem ein paar hohe Äpfelbäume standen.
maedchenvommoorhof_6_f000038|Unterhalb des Gärtchens lag ein Sumpfland, wo um die Frühlingszeit große Wasserpfützen waren, die aber im Sommer fast ganz austrockneten.|Unterhalb des Gärtchens lag ein Sumpfland, wo um die Frühlingszeit große Wasserpfützen waren, die aber im Sommer fast ganz austrockneten.
maedchenvommoorhof_6_f000039|Dahin pflegte selten jemand zu gehen.|Dahin pflegte selten jemand zu gehen.
maedchenvommoorhof_6_f000040|Erland Erlandsson fragte sich, was Gudmund da wohl zu suchen habe, und folgte ihm mit den Blicken.|Erland Erlandsson fragte sich, was Gudmund da wohl zu suchen habe, und folgte ihm mit den Blicken.
maedchenvommoorhof_6_f000041|Da sah er, wie der Sohn die Hand in die Tasche steckte, einen Gegenstand herauszog und ihn in den Morast warf.|Da sah er, wie der Sohn die Hand in die Tasche steckte, einen Gegenstand herauszog und ihn in den Morast warf.
maedchenvommoorhof_6_f000042|Dann ging er durch das kleine Gärtchen, sprang über einen Zaun und entfernte sich in der Richtung nach der Straße.|Dann ging er durch das kleine Gärtchen, sprang über einen Zaun und entfernte sich in der Richtung nach der Straße.
maedchenvommoorhof_6_f000043|Sowie der Sohn außer Sehweite war, verließ Erland ebenfalls das Haus und begab sich an den Morast.|Sowie der Sohn außer Sehweite war, verließ Erland ebenfalls das Haus und begab sich an den Morast.
maedchenvommoorhof_6_f000044|Hier watete er in den Schlamm hinaus, beugte sich zu Boden und hob etwas auf, woran er mit dem Fuß gestoßen war.|Hier watete er in den Schlamm hinaus, beugte sich zu Boden und hob etwas auf, woran er mit dem Fuß gestoßen war.
