le_pays_des_fourrures_1_10_f000001|Un retour sur le passé.|Un retour sur le passé.
le_pays_des_fourrures_2_04_f000091|On ne voyait plus que la tête et les bras du sergent. Pendant qu'il creusait, le sol glacé avait soudain manqué sous lui, et il avait été plongé dans l'eau jusqu'à la ceinture.|On ne voyait plus que la tête et les bras du sergent. Pendant qu'il creusait, le sol glacé avait soudain manqué sous lui, et il avait été plongé dans l'eau jusqu'à la ceinture.
le_pays_des_fourrures_2_04_f000092|Jasper Hobson se contenta de dire: Tenez bon! Et, se couchant sur l'entaille, il arriva au bord du trou.|Jasper Hobson se contenta de dire: Tenez bon! Et, se couchant sur l'entaille, il arriva au bord du trou.
le_pays_des_fourrures_2_04_f000093|Puis il tendit la main au sergent qui, sûr de ce point d'appui, parvint à sortir de l'excavation.|Puis il tendit la main au sergent qui, sûr de ce point d'appui, parvint à sortir de l'excavation.
le_pays_des_fourrures_2_04_f000094|Mon Dieu, sergent Long! s'écria Mrs. Paulina Barnett, que vous est-il donc arrivé?|Mon Dieu, sergent Long! s'écria Mrs. Paulina Barnett, que vous est-il donc arrivé?
le_pays_des_fourrures_2_04_f000095|-- Il m'est arrivé, madame, répondit Long, en se secouant comme un barbet mouillé, que ce sol de glace a cédé sous moi et que j'ai pris un bain forcé.|-- Il m'est arrivé, madame, répondit Long, en se secouant comme un barbet mouillé, que ce sol de glace a cédé sous moi et que j'ai pris un bain forcé.
le_pays_des_fourrures_2_04_f000096|-- Mais, demanda Jasper Hobson, vous n'avez donc pas tenu compte de ma recommandation de ne pas creuser trop profondément au- dessous de la couche de terre?|-- Mais, demanda Jasper Hobson, vous n'avez donc pas tenu compte de ma recommandation de ne pas creuser trop profondément au- dessous de la couche de terre?
le_pays_des_fourrures_2_04_f000097|-- Faites excuse, mon lieutenant. Vous pouvez voir que c'est à peine si j'ai entamé de quinze pouces le sol de glace.|-- Faites excuse, mon lieutenant. Vous pouvez voir que c'est à peine si j'ai entamé de quinze pouces le sol de glace.
le_pays_des_fourrures_2_04_f000098|Seulement, il faut croire qu'il existait en dessous une boursouflure, qu'il y avait là comme une sorte de caverne.|Seulement, il faut croire qu'il existait en dessous une boursouflure, qu'il y avait là comme une sorte de caverne.
le_pays_des_fourrures_2_04_f000099|La glace ne reposait pas sur l'eau, et je suis passé comme au travers d'un plafond qui se fend.|La glace ne reposait pas sur l'eau, et je suis passé comme au travers d'un plafond qui se fend.
le_pays_des_fourrures_2_04_f000100|Si je n'avais pu m'accrocher à mon couteau, je m'en allais tout bêtement sous l'île, et c'eût été fâcheux, n'est-il pas vrai, madame?|Si je n'avais pu m'accrocher à mon couteau, je m'en allais tout bêtement sous l'île, et c'eût été fâcheux, n'est-il pas vrai, madame?
le_pays_des_fourrures_2_04_f000101|-- Très fâcheux, brave sergent! répondit la voyageuse, en tendant la main au digne homme.|-- Très fâcheux, brave sergent! répondit la voyageuse, en tendant la main au digne homme.
le_pays_des_fourrures_2_04_f000102|L'explication donnée par le sergent Long était exacte.|L'explication donnée par le sergent Long était exacte.
le_pays_des_fourrures_2_04_f000103|En cet endroit, par une raison quelconque, sans doute par suite d'un emmagasinage d'air, la glace avait formé voûte au-dessus de l'eau,|En cet endroit, par une raison quelconque, sans doute par suite d'un emmagasinage d'air, la glace avait formé voûte au-dessus de l'eau,
le_pays_des_fourrures_2_04_f000104|et, par conséquent, sa paroi peu épaisse, amincie encore par le couteau à neige, n'avait pas tardé à se rompre sous le poids du sergent.|et, par conséquent, sa paroi peu épaisse, amincie encore par le couteau à neige, n'avait pas tardé à se rompre sous le poids du sergent.
le_pays_des_fourrures_2_04_f000105|Cette disposition qui, sans doute, se reproduisait en mainte partie du champ de glace, n'était point rassurante.|Cette disposition qui, sans doute, se reproduisait en mainte partie du champ de glace, n'était point rassurante.
le_pays_des_fourrures_2_04_f000106|Où serait-on jamais certain de poser le pied sur un terrain solide?|Où serait-on jamais certain de poser le pied sur un terrain solide?
le_pays_des_fourrures_2_04_f000107|Le sol ne pouvait-il à chaque pas céder à la pression?|Le sol ne pouvait-il à chaque pas céder à la pression?
le_pays_des_fourrures_2_04_f000108|Et quand on songeait que sous cette mince couche de terre et de glace se creusaient les gouffres de l'Océan, quel coeur ne se serait pas serré, si énergique qu'il fût!|Et quand on songeait que sous cette mince couche de terre et de glace se creusaient les gouffres de l'Océan, quel coeur ne se serait pas serré, si énergique qu'il fût!
le_pays_des_fourrures_2_04_f000109|Cependant le sergent Long, se préoccupant peu du bain qu'il venait de prendre, voulait reprendre en un autre endroit son travail de mineur.|Cependant le sergent Long, se préoccupant peu du bain qu'il venait de prendre, voulait reprendre en un autre endroit son travail de mineur.
le_pays_des_fourrures_2_04_f000110|Mais, cette fois, Mrs. Paulina Barnett n'y voulut pas consentir. Une nuit à passer en plein air ne l'embarrassait pas.|Mais, cette fois, Mrs. Paulina Barnett n'y voulut pas consentir. Une nuit à passer en plein air ne l'embarrassait pas.
le_pays_des_fourrures_2_04_f000111|L'abri du taillis voisin lui suffirait aussi bien qu'à ses compagnons, et elle s'opposa absolument à ce que le sergent Long recommençât son opération.|L'abri du taillis voisin lui suffirait aussi bien qu'à ses compagnons, et elle s'opposa absolument à ce que le sergent Long recommençât son opération.
le_pays_des_fourrures_2_04_f000112|Celui-ci dut se résigner et obéir.|Celui-ci dut se résigner et obéir.
le_pays_des_fourrures_2_04_f000113|Le campement fut donc reporté à une centaine de pieds en arrière du littoral, sur une petite extumescence où poussaient quelques bouquets isolés de pins et de bouleaux, dont l'agglomération ne méritait certainement pas la qualification de taillis.|Le campement fut donc reporté à une centaine de pieds en arrière du littoral, sur une petite extumescence où poussaient quelques bouquets isolés de pins et de bouleaux, dont l'agglomération ne méritait certainement pas la qualification de taillis.
le_pays_des_fourrures_2_04_f000114|Un feu pétillant de branches mortes fut allumé vers dix heures du soir, au moment où le soleil rasait les bords de cet horizon au-dessous duquel il n'allait disparaître que pendant quelques heures.|Un feu pétillant de branches mortes fut allumé vers dix heures du soir, au moment où le soleil rasait les bords de cet horizon au-dessous duquel il n'allait disparaître que pendant quelques heures.
le_pays_des_fourrures_2_04_f000115|Le sergent Long eut là une belle occasion de sécher ses jambes, et il ne la manqua pas.|Le sergent Long eut là une belle occasion de sécher ses jambes, et il ne la manqua pas.
le_pays_des_fourrures_2_04_f000116|Jasper Hobson et lui causèrent jusqu'au moment où le crépuscule remplaça la lumière du jour.|Jasper Hobson et lui causèrent jusqu'au moment où le crépuscule remplaça la lumière du jour.
le_pays_des_fourrures_2_04_f000117|Mrs. Paulina Barnett prenait de temps en temps part à la conversation et cherchait à distraire le lieutenant de ses idées un peu sombres.|Mrs. Paulina Barnett prenait de temps en temps part à la conversation et cherchait à distraire le lieutenant de ses idées un peu sombres.
le_pays_des_fourrures_2_04_f000118|Cette belle nuit, très étoilée au zénith, comme toutes les nuits polaires, était propice d'ailleurs à un apaisement de l'esprit.|Cette belle nuit, très étoilée au zénith, comme toutes les nuits polaires, était propice d'ailleurs à un apaisement de l'esprit.
le_pays_des_fourrures_2_04_f000119|Le vent murmurait à travers les sapins. La mer semblait dormir sur le littoral.|Le vent murmurait à travers les sapins. La mer semblait dormir sur le littoral.
le_pays_des_fourrures_2_04_f000120|Une houle très allongée gonflait à peine sa surface et venait expirer sans bruit à la lisière de l'île.|Une houle très allongée gonflait à peine sa surface et venait expirer sans bruit à la lisière de l'île.
le_pays_des_fourrures_2_04_f000121|Pas un cri d'oiseau dans l'air, pas un vagissement sur la plaine.|Pas un cri d'oiseau dans l'air, pas un vagissement sur la plaine.
le_pays_des_fourrures_2_04_f000122|Quelques crépitements des souches de sapins s'épanouissant en flammes résineuses, puis, à de certains intervalles, le murmure des voix qui s'envolaient dans l'espace,|Quelques crépitements des souches de sapins s'épanouissant en flammes résineuses, puis, à de certains intervalles, le murmure des voix qui s'envolaient dans l'espace,
le_pays_des_fourrures_2_04_f000123|troublaient seuls, en le faisant paraître sublime, ce silence de la nuit.|troublaient seuls, en le faisant paraître sublime, ce silence de la nuit.
le_pays_des_fourrures_2_04_f000124|Qui pourrait croire, dit Mrs. Paulina Barnett, que nous sommes ainsi emportés à la surface de l'Océan!|Qui pourrait croire, dit Mrs. Paulina Barnett, que nous sommes ainsi emportés à la surface de l'Océan!
le_pays_des_fourrures_2_04_f000125|En vérité, monsieur Hobson, il me faut un certain effort pour me rendre à l'évidence, car cette mer nous paraît absolument immobile,|En vérité, monsieur Hobson, il me faut un certain effort pour me rendre à l'évidence, car cette mer nous paraît absolument immobile,
le_pays_des_fourrures_2_04_f000126|et, cependant, elle nous entraîne avec une irrésistible puissance!|et, cependant, elle nous entraîne avec une irrésistible puissance!
le_pays_des_fourrures_2_04_f000127|-- Oui, madame, répondit Jasper Hobson, et j'avouerai que si le plancher de notre véhicule était solide, si la carène ne devait pas tôt ou tard manquer au bâtiment,|-- Oui, madame, répondit Jasper Hobson, et j'avouerai que si le plancher de notre véhicule était solide, si la carène ne devait pas tôt ou tard manquer au bâtiment,
le_pays_des_fourrures_2_04_f000128|si sa coque ne devait pas s'entrouvrir un jour ou l'autre, et enfin si je savais où il me mène, j'aurais quelque plaisir à flotter ainsi sur cet Océan.|si sa coque ne devait pas s'entrouvrir un jour ou l'autre, et enfin si je savais où il me mène, j'aurais quelque plaisir à flotter ainsi sur cet Océan.
le_pays_des_fourrures_2_04_f000129|-- En effet, monsieur Hobson, reprit la voyageuse, est-il un mode de locomotion plus agréable que le nôtre? Nous ne nous sentons pas aller.|-- En effet, monsieur Hobson, reprit la voyageuse, est-il un mode de locomotion plus agréable que le nôtre? Nous ne nous sentons pas aller.
le_pays_des_fourrures_2_04_f000130|Notre île a précisément la même vitesse que celle du courant qui l'emporte.|Notre île a précisément la même vitesse que celle du courant qui l'emporte.
le_pays_des_fourrures_2_04_f000131|N'est-ce pas le même phénomène que celui qui accompagne un ballon dans l'air? Puis, quel charme ce serait de voyager ainsi avec sa maison, son jardin, son parc, son pays lui-même!|N'est-ce pas le même phénomène que celui qui accompagne un ballon dans l'air? Puis, quel charme ce serait de voyager ainsi avec sa maison, son jardin, son parc, son pays lui-même!
le_pays_des_fourrures_2_04_f000132|Une île errante, mais j'entends une véritable île, avec une base solide, insubmersible, ce serait véritablement le plus confortable et le plus merveilleux véhicule que l'on pût imaginer.|Une île errante, mais j'entends une véritable île, avec une base solide, insubmersible, ce serait véritablement le plus confortable et le plus merveilleux véhicule que l'on pût imaginer.
le_pays_des_fourrures_2_04_f000133|On a fait des jardins suspendus, dit-on? Pourquoi, un jour, ne ferait-on pas des parcs flottants qui nous transporteraient à tous les points du monde? Leur grandeur les rendrait absolument insensibles à la houle.|On a fait des jardins suspendus, dit-on? Pourquoi, un jour, ne ferait-on pas des parcs flottants qui nous transporteraient à tous les points du monde? Leur grandeur les rendrait absolument insensibles à la houle.
le_pays_des_fourrures_2_04_f000134|Ils n'auraient rien à craindre des tempêtes. Peut-être même, par les vents favorables, pourrait-on les diriger avec de grandes voiles tendues à la brise?|Ils n'auraient rien à craindre des tempêtes. Peut-être même, par les vents favorables, pourrait-on les diriger avec de grandes voiles tendues à la brise?
le_pays_des_fourrures_2_04_f000135|Et puis, quels miracles de végétation surprendraient les regards des passagers, quand des zones tempérées ils seraient passés sous les zones tropicales!|Et puis, quels miracles de végétation surprendraient les regards des passagers, quand des zones tempérées ils seraient passés sous les zones tropicales!
le_pays_des_fourrures_2_04_f000136|J'imagine même qu'avec d'habiles pilotes, bien instruits des courants, on saurait se maintenir sous des latitudes choisies et jouir à son gré d'un printemps éternel!|J'imagine même qu'avec d'habiles pilotes, bien instruits des courants, on saurait se maintenir sous des latitudes choisies et jouir à son gré d'un printemps éternel!
le_pays_des_fourrures_2_04_f000137|Jasper Hobson ne pouvait que sourire aux rêveries de l'enthousiaste Paulina Barnett.|Jasper Hobson ne pouvait que sourire aux rêveries de l'enthousiaste Paulina Barnett.
le_pays_des_fourrures_2_04_f000138|L'audacieuse femme se laissait entraîner avec tant de grâce, elle ressemblait si bien à cette île Victoria qui marchait sans aucunement trahir sa marche!|L'audacieuse femme se laissait entraîner avec tant de grâce, elle ressemblait si bien à cette île Victoria qui marchait sans aucunement trahir sa marche!
le_pays_des_fourrures_2_04_f000139|Certes, étant donnée la situation, on pouvait ne pas se plaindre de cette étrange façon de courir les mers, mais à la condition, toutefois,|Certes, étant donnée la situation, on pouvait ne pas se plaindre de cette étrange façon de courir les mers, mais à la condition, toutefois,
le_pays_des_fourrures_2_04_f000140|que l'île ne menaçât point à chaque instant de fondre et de s'effondrer dans l'abîme.|que l'île ne menaçât point à chaque instant de fondre et de s'effondrer dans l'abîme.
le_pays_des_fourrures_2_04_f000141|La nuit se passa. On dormit quelques heures. Au réveil, on déjeuna, et chacun trouva le déjeuner excellent.|La nuit se passa. On dormit quelques heures. Au réveil, on déjeuna, et chacun trouva le déjeuner excellent.
le_pays_des_fourrures_2_04_f000142|Des broussailles bien flambantes ranimèrent les jambes des dormeurs, un peu engourdis par le froid de la nuit.|Des broussailles bien flambantes ranimèrent les jambes des dormeurs, un peu engourdis par le froid de la nuit.
le_pays_des_fourrures_2_04_f000143|À six heures du matin, Mrs. Paulina Barnett, Jasper Hobson et le sergent Long se remettaient en route.|À six heures du matin, Mrs. Paulina Barnett, Jasper Hobson et le sergent Long se remettaient en route.
le_pays_des_fourrures_2_04_f000144|La côte, depuis le cap Michel jusqu'à l'ancien port Barnett, se dirigeait presque en droite ligne du sud au nord, sur une longueur de onze milles environ.|La côte, depuis le cap Michel jusqu'à l'ancien port Barnett, se dirigeait presque en droite ligne du sud au nord, sur une longueur de onze milles environ.
le_pays_des_fourrures_2_04_f000145|Elle n'offrait aucune particularité et ne semblait pas avoir souffert depuis la rupture de l'isthme.|Elle n'offrait aucune particularité et ne semblait pas avoir souffert depuis la rupture de l'isthme.
le_pays_des_fourrures_2_04_f000146|C'était une lisière généralement basse, peu ondulée.|C'était une lisière généralement basse, peu ondulée.
le_pays_des_fourrures_2_04_f000147|Le sergent Long, sur l'ordre du lieutenant, plaça quelques repères en arrière du littoral, qui permettraient plus tard d'en reconnaître les modifications.|Le sergent Long, sur l'ordre du lieutenant, plaça quelques repères en arrière du littoral, qui permettraient plus tard d'en reconnaître les modifications.
le_pays_des_fourrures_2_04_f000148|Le lieutenant Hobson désirait, et pour cause, rallier le Fort- Espérance le soir même.|Le lieutenant Hobson désirait, et pour cause, rallier le Fort- Espérance le soir même.
le_pays_des_fourrures_2_04_f000149|De son côté, Mrs. Paulina Barnett avait hâte de revoir ses compagnons, ses amis, et, dans les conditions où ils se trouvaient, il ne fallait pas prolonger l'absence du chef de la factorerie.|De son côté, Mrs. Paulina Barnett avait hâte de revoir ses compagnons, ses amis, et, dans les conditions où ils se trouvaient, il ne fallait pas prolonger l'absence du chef de la factorerie.
le_pays_des_fourrures_2_04_f000150|On marcha donc vite, en coupant par une ligne oblique, et, à midi, on tournait le petit promontoire qui défendait autrefois le port Barnett contre les vents de l'est.|On marcha donc vite, en coupant par une ligne oblique, et, à midi, on tournait le petit promontoire qui défendait autrefois le port Barnett contre les vents de l'est.
le_pays_des_fourrures_2_04_f000151|De ce point au Fort-Espérance il ne fallait plus compter qu'une huitaine de milles.|De ce point au Fort-Espérance il ne fallait plus compter qu'une huitaine de milles.
le_pays_des_fourrures_2_04_f000152|Avant quatre heures du soir, ces huit milles étaient franchis, et le retour des explorateurs était salué par les hurrahs du caporal Joliffe.|Avant quatre heures du soir, ces huit milles étaient franchis, et le retour des explorateurs était salué par les hurrahs du caporal Joliffe.
le_pays_des_fourrures_2_05_f000001|Du 25 juillet au 20 août.|Du 25 juillet au 20 août.
le_pays_des_fourrures_2_05_f000002|Le premier soin de Jasper Hobson, en rentrant au fort, fut d'interroger Thomas Black sur l'état de la petite colonie.|Le premier soin de Jasper Hobson, en rentrant au fort, fut d'interroger Thomas Black sur l'état de la petite colonie.
le_pays_des_fourrures_2_05_f000003|Aucun changement n'avait eu lieu depuis vingt-quatre heures.|Aucun changement n'avait eu lieu depuis vingt-quatre heures.
le_pays_des_fourrures_2_05_f000004|Mais l'île, ainsi que le démontra une observation subséquente, s'était abaissée d'un degré en latitude, c'est-à-dire qu'elle avait dérivé vers le sud, tout en gagnant dans l'ouest.|Mais l'île, ainsi que le démontra une observation subséquente, s'était abaissée d'un degré en latitude, c'est-à-dire qu'elle avait dérivé vers le sud, tout en gagnant dans l'ouest.
le_pays_des_fourrures_2_05_f000005|Elle se trouvait alors à la hauteur du cap des Glaces, petite pointe de la Géorgie occidentale, et à deux cents milles de la côte américaine.|Elle se trouvait alors à la hauteur du cap des Glaces, petite pointe de la Géorgie occidentale, et à deux cents milles de la côte américaine.
le_pays_des_fourrures_2_05_f000006|La vitesse du courant, en ces parages, semblait être un peu moins forte que dans la partie orientale de la mer Arctique, mais l'île se déplaçait toujours, et, au grand ennui de Jasper Hobson, elle gagnait du côté du détroit de Behring.|La vitesse du courant, en ces parages, semblait être un peu moins forte que dans la partie orientale de la mer Arctique, mais l'île se déplaçait toujours, et, au grand ennui de Jasper Hobson, elle gagnait du côté du détroit de Behring.
le_pays_des_fourrures_2_05_f000007|On n'était encore qu'au 24 juillet, et il suffisait d'un courant un peu rapide pour l'entraîner, en moins d'un mois, à travers le détroit et jusque dans les flots échauffés du Pacifique,|On n'était encore qu'au 24 juillet, et il suffisait d'un courant un peu rapide pour l'entraîner, en moins d'un mois, à travers le détroit et jusque dans les flots échauffés du Pacifique,
le_pays_des_fourrures_2_05_f000008|où elle fondrait comme un morceau de sucre dans un verre d'eau.|où elle fondrait comme un morceau de sucre dans un verre d'eau.
le_pays_des_fourrures_2_05_f000009|Mrs. Paulina Barnett fit connaître à Madge le résultat de son exploration autour de l'île;|Mrs. Paulina Barnett fit connaître à Madge le résultat de son exploration autour de l'île;
le_pays_des_fourrures_2_05_f000010|elle lui indiqua la disposition des couches stratifiées sur la partie rompue de l'isthme, l'épaisseur de l'icefield évaluée à cinq pieds au-dessous du niveau de la mer,|elle lui indiqua la disposition des couches stratifiées sur la partie rompue de l'isthme, l'épaisseur de l'icefield évaluée à cinq pieds au-dessous du niveau de la mer,
le_pays_des_fourrures_2_05_f000011|l'incident du sergent Long et son bain involontaire, enfin toutes ces raisons qui pouvaient amener à chaque instant la rupture ou l'affaissement du glaçon.|l'incident du sergent Long et son bain involontaire, enfin toutes ces raisons qui pouvaient amener à chaque instant la rupture ou l'affaissement du glaçon.
le_pays_des_fourrures_2_05_f000012|Cependant, l'idée d'une sécurité complète régnait dans la factorerie.|Cependant, l'idée d'une sécurité complète régnait dans la factorerie.
le_pays_des_fourrures_2_05_f000013|Jamais la pensée ne fût venue à ces braves gens que le Fort-Espérance flottait sur un abîme, et que la vie de ses habitants était à chaque minute en danger.|Jamais la pensée ne fût venue à ces braves gens que le Fort-Espérance flottait sur un abîme, et que la vie de ses habitants était à chaque minute en danger.
le_pays_des_fourrures_2_05_f000014|Ils étaient tous bien portants. Le temps était beau, le climat sain et vivifiant.|Ils étaient tous bien portants. Le temps était beau, le climat sain et vivifiant.
le_pays_des_fourrures_2_05_f000015|Hommes et femmes rivalisaient de bonne humeur et de belle santé.|Hommes et femmes rivalisaient de bonne humeur et de belle santé.
le_pays_des_fourrures_2_05_f000016|Le bébé Michel venait à ravir; il commençait à faire de petits pas dans l'enceinte du fort, et le caporal Joliffe, qui en raffolait, voulait déjà lui apprendre le maniement du mousqueton et les premiers principes de l'école du soldat.|Le bébé Michel venait à ravir; il commençait à faire de petits pas dans l'enceinte du fort, et le caporal Joliffe, qui en raffolait, voulait déjà lui apprendre le maniement du mousqueton et les premiers principes de l'école du soldat.
le_pays_des_fourrures_2_05_f000017|Ah! si Mrs. Joliffe lui eût donné un pareil fils, quel guerrier il en eût fait!|Ah! si Mrs. Joliffe lui eût donné un pareil fils, quel guerrier il en eût fait!
le_pays_des_fourrures_2_05_f000018|Mais l'intéressante famille Joliffe ne prospérait pas, et le ciel, jusqu'alors du moins, lui refusait une bénédiction qu'elle implorait chaque jour.|Mais l'intéressante famille Joliffe ne prospérait pas, et le ciel, jusqu'alors du moins, lui refusait une bénédiction qu'elle implorait chaque jour.
le_pays_des_fourrures_2_05_f000019|Quant aux soldats, ils ne manquaient pas de besogne.|Quant aux soldats, ils ne manquaient pas de besogne.
le_pays_des_fourrures_2_05_f000020|Mac Nap, le charpentier, et ses ouvriers, Petersen, Belcher, Garry, Pond, Hope, travaillaient avec ardeur à la construction du bateau,|Mac Nap, le charpentier, et ses ouvriers, Petersen, Belcher, Garry, Pond, Hope, travaillaient avec ardeur à la construction du bateau,
le_pays_des_fourrures_2_05_f000021|opération longue et difficile, qui devait durer plusieurs mois.|opération longue et difficile, qui devait durer plusieurs mois.
le_pays_des_fourrures_2_05_f000022|Mais, comme cette embarcation ne pourrait être utilisée qu'à l'été prochain, après la débâcle des glaces, on ne négligea pas pour elle les travaux plus spécialement relatifs à la factorerie.|Mais, comme cette embarcation ne pourrait être utilisée qu'à l'été prochain, après la débâcle des glaces, on ne négligea pas pour elle les travaux plus spécialement relatifs à la factorerie.
le_pays_des_fourrures_2_05_f000023|Jasper Hobson laissait faire, comme si la durée du fort eût été assurée pour un temps illimité.|Jasper Hobson laissait faire, comme si la durée du fort eût été assurée pour un temps illimité.
le_pays_des_fourrures_2_05_f000024|Il persistait à tenir ses hommes dans l'ignorance de leur situation.|Il persistait à tenir ses hommes dans l'ignorance de leur situation.
le_pays_des_fourrures_2_05_f000025|Plusieurs fois, cette question assez grave avait été traitée par ce qu'on pourrait appeler l'état-major du Fort-Espérance.|Plusieurs fois, cette question assez grave avait été traitée par ce qu'on pourrait appeler l'état-major du Fort-Espérance.
le_pays_des_fourrures_2_05_f000026|Mrs. Paulina Barnett et Madge ne partageaient pas absolument les idées du lieutenant à ce sujet.|Mrs. Paulina Barnett et Madge ne partageaient pas absolument les idées du lieutenant à ce sujet.
le_pays_des_fourrures_2_05_f000027|Il leur semblait que leurs compagnons, énergiques et résolus, n'étaient pas gens à désespérer, et qu'en tout cas, le coup serait certainement plus rude,|Il leur semblait que leurs compagnons, énergiques et résolus, n'étaient pas gens à désespérer, et qu'en tout cas, le coup serait certainement plus rude,
le_pays_des_fourrures_2_05_f000028|lorsque les dangers de la situation se seraient tellement accrus qu'on ne pourrait plus les leur cacher.|lorsque les dangers de la situation se seraient tellement accrus qu'on ne pourrait plus les leur cacher.
le_pays_des_fourrures_2_05_f000029|Mais, malgré la valeur de cet argument, Jasper Hobson ne se rendit pas, et on doit dire que, sur cette question, il fut soutenu par le sergent Long.|Mais, malgré la valeur de cet argument, Jasper Hobson ne se rendit pas, et on doit dire que, sur cette question, il fut soutenu par le sergent Long.
le_pays_des_fourrures_2_05_f000030|Peut-être, après tout, avaient-ils raison tous deux, ayant pour eux l'expérience des choses et des hommes.|Peut-être, après tout, avaient-ils raison tous deux, ayant pour eux l'expérience des choses et des hommes.
le_pays_des_fourrures_2_05_f000031|Aussi les travaux d'appropriation et de défense du fort furent-ils continués.|Aussi les travaux d'appropriation et de défense du fort furent-ils continués.
le_pays_des_fourrures_2_05_f000032|L'enceinte palissadée, renforcée de nouveaux pieux et surélevée en maint endroit, forma une circonvallation très sérieusement défensive, Maître Mac Nap exécuta même un des projets qui lui tenaient le plus au coeur, et que son chef approuva.|L'enceinte palissadée, renforcée de nouveaux pieux et surélevée en maint endroit, forma une circonvallation très sérieusement défensive, Maître Mac Nap exécuta même un des projets qui lui tenaient le plus au coeur, et que son chef approuva.
le_pays_des_fourrures_2_05_f000033|Aux angles qui formaient saillant sur le lac, il éleva deux petites poivrières aiguës qui complétaient l'oeuvre, et le caporal Joliffe soupirait après le moment où il irait y relever les sentinelles.|Aux angles qui formaient saillant sur le lac, il éleva deux petites poivrières aiguës qui complétaient l'oeuvre, et le caporal Joliffe soupirait après le moment où il irait y relever les sentinelles.
le_pays_des_fourrures_2_05_f000034|Cela donnait à l'ensemble des constructions un aspect militaire qui le réjouissait.|Cela donnait à l'ensemble des constructions un aspect militaire qui le réjouissait.
le_pays_des_fourrures_2_05_f000035|La palissade entièrement achevée, Mac Nap, se rappelant les rigueurs du dernier hiver, construisit un nouveau hangar à bois sur le flanc même de la maison principale,|La palissade entièrement achevée, Mac Nap, se rappelant les rigueurs du dernier hiver, construisit un nouveau hangar à bois sur le flanc même de la maison principale,
le_pays_des_fourrures_2_05_f000036|à droite, de telle sorte qu'on pouvait communiquer avec ce hangar bien clos, par une porte intérieure, sans être obligé de s'aventurer au-dehors.|à droite, de telle sorte qu'on pouvait communiquer avec ce hangar bien clos, par une porte intérieure, sans être obligé de s'aventurer au-dehors.
le_pays_des_fourrures_2_05_f000037|De cette façon, le combustible serait toujours sous la main des consommateurs.|De cette façon, le combustible serait toujours sous la main des consommateurs.
le_pays_des_fourrures_2_05_f000038|Sur le flanc gauche, le charpentier bâtit, en retour, une vaste salle destinée au logement des soldats, de façon à débarrasser du lit de camp la salle commune.|Sur le flanc gauche, le charpentier bâtit, en retour, une vaste salle destinée au logement des soldats, de façon à débarrasser du lit de camp la salle commune.
le_pays_des_fourrures_2_05_f000039|Cette salle fut uniquement consacrée, désormais, aux repas, aux jeux, au travail.|Cette salle fut uniquement consacrée, désormais, aux repas, aux jeux, au travail.
le_pays_des_fourrures_2_05_f000040|Le nouveau logement, depuis lors, servit exclusivement d'habitation aux trois ménages qui furent établis dans des chambres particulières, et aux autres soldats de la colonie.|Le nouveau logement, depuis lors, servit exclusivement d'habitation aux trois ménages qui furent établis dans des chambres particulières, et aux autres soldats de la colonie.
le_pays_des_fourrures_2_05_f000041|Un magasin spécial, destiné aux fourrures, fut également élevé en arrière de la maison, près de la poudrière, ce qui laissa libre tout le grenier,|Un magasin spécial, destiné aux fourrures, fut également élevé en arrière de la maison, près de la poudrière, ce qui laissa libre tout le grenier,
le_pays_des_fourrures_2_05_f000042|dont les chevrons et les fermes furent assujettis au moyen de crampons de fer, de manière à défier toute agression.|dont les chevrons et les fermes furent assujettis au moyen de crampons de fer, de manière à défier toute agression.
le_pays_des_fourrures_2_05_f000043|Mac Nap avait aussi l'intention de construire une petite chapelle en bois.|Mac Nap avait aussi l'intention de construire une petite chapelle en bois.
le_pays_des_fourrures_2_05_f000044|Cet édifice était compris dans les plans primitifs de Jasper Hobson et devait compléter l'ensemble de la factorerie.|Cet édifice était compris dans les plans primitifs de Jasper Hobson et devait compléter l'ensemble de la factorerie.
le_pays_des_fourrures_2_05_f000045|Mais son érection fut remise à la prochaine saison d'été.|Mais son érection fut remise à la prochaine saison d'été.
le_pays_des_fourrures_2_05_f000046|Avec quel soin, quel zèle, quelle activité le lieutenant Hobson aurait autrefois suivi tous ces détails de son établissement!|Avec quel soin, quel zèle, quelle activité le lieutenant Hobson aurait autrefois suivi tous ces détails de son établissement!
le_pays_des_fourrures_2_05_f000047|S'il eût bâti sur un terrain solide, avec quel plaisir il aurait vu ces maisons, ces hangars, ces magasins, s'élever autour de lui!|S'il eût bâti sur un terrain solide, avec quel plaisir il aurait vu ces maisons, ces hangars, ces magasins, s'élever autour de lui!
le_pays_des_fourrures_2_05_f000048|Et ce projet, désormais inutile, qu'il avait formé de couronner le cap Bathurst par un ouvrage qui eût assuré la sécurité du Fort- Espérance!|Et ce projet, désormais inutile, qu'il avait formé de couronner le cap Bathurst par un ouvrage qui eût assuré la sécurité du Fort- Espérance!
le_pays_des_fourrures_2_05_f000049|Le Fort-Espérance! Ce nom, maintenant, lui serrait le coeur!|Le Fort-Espérance! Ce nom, maintenant, lui serrait le coeur!
