zweiplaneten_01_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_35_lasswitz_f000085|Man würde in Friedau dafür gesorgt haben, daß ihm dasselbe unter dem Gesichtspunkt der Friedauer erschien.|Man würde in Friedau dafür gesorgt haben, daß ihm dasselbe unter dem Gesichtspunkt der Friedauer erschien.
zweiplaneten_35_lasswitz_f000086|Und sie, die nicht ohne ihn in Friedau bleiben wollte, nun mußte sie ihn allein lassen –.|Und sie, die nicht ohne ihn in Friedau bleiben wollte, nun mußte sie ihn allein lassen -.
zweiplaneten_35_lasswitz_f000087|Isma verbrachte eine schlaflose Nacht.|Isma verbrachte eine schlaflose Nacht.
zweiplaneten_35_lasswitz_f000088|Dann setzte sie noch einmal alles in Bewegung, um ihre Mitnahme auf dem Raumschiff nach der Erde zu erreichen. Es war unmöglich.|Dann setzte sie noch einmal alles in Bewegung, um ihre Mitnahme auf dem Raumschiff nach der Erde zu erreichen. Es war unmöglich.
zweiplaneten_35_lasswitz_f000089|Wenigstens einen Brief sollte man mitnehmen. Ja, aber nur einen offenen.|Wenigstens einen Brief sollte man mitnehmen. Ja, aber nur einen offenen.
zweiplaneten_35_lasswitz_f000090|Sie schrieb, doch das konnte ihr nicht genügen.|Sie schrieb, doch das konnte ihr nicht genügen.
zweiplaneten_35_lasswitz_f000091|Was sie ihm zu sagen hatte, das ging niemand andern an;|Was sie ihm zu sagen hatte, das ging niemand andern an;
zweiplaneten_35_lasswitz_f000092|das konnte sie nicht lesen lassen.|das konnte sie nicht lesen lassen.
zweiplaneten_35_lasswitz_f000093|Sie wußte, wie sie schreiben müsse und daß er sie nur so verstehen würde. Und dies wurde versagt.|Sie wußte, wie sie schreiben müsse und daß er sie nur so verstehen würde. Und dies wurde versagt.
zweiplaneten_35_lasswitz_f000094|Und hier ließ sie Ell im Stich! Sie bat ihn flehentlich, ihren Brief zu besorgen.|Und hier ließ sie Ell im Stich! Sie bat ihn flehentlich, ihren Brief zu besorgen.
zweiplaneten_35_lasswitz_f000095|Es ginge nicht! Sie bat ihn, selbst die Reise zu machen, ihren Mann aufzuklären.|Es ginge nicht! Sie bat ihn, selbst die Reise zu machen, ihren Mann aufzuklären.
zweiplaneten_35_lasswitz_f000096|Er weigerte sich, er wolle jetzt nicht auf die Erde zurückkehren.|Er weigerte sich, er wolle jetzt nicht auf die Erde zurückkehren.
zweiplaneten_35_lasswitz_f000097|Die Martier selbst hätten es vielleicht gern gesehen, aber er könne sich nicht entschließen, jetzt den Mars zu verlassen.|Die Martier selbst hätten es vielleicht gern gesehen, aber er könne sich nicht entschließen, jetzt den Mars zu verlassen.
zweiplaneten_35_lasswitz_f000098|Warum nicht? Warum wollte er nicht?|Warum nicht? Warum wollte er nicht?
zweiplaneten_35_lasswitz_f000099|Um sie, Isma, nicht allein zu lassen?|Um sie, Isma, nicht allein zu lassen?
zweiplaneten_35_lasswitz_f000100|Sie glaubte es nicht, sie vermutete einen anderen Grund, den sie ihm nicht verzeihen konnte. Sie sagte ihm Bitteres.|Sie glaubte es nicht, sie vermutete einen anderen Grund, den sie ihm nicht verzeihen konnte. Sie sagte ihm Bitteres.
zweiplaneten_35_lasswitz_f000101|Sie wollte ihn nicht wiedersehen. Und er ging.|Sie wollte ihn nicht wiedersehen. Und er ging.
zweiplaneten_35_lasswitz_f000102|Natürlich! La würde ihn wohl trösten – –.|Natürlich! La würde ihn wohl trösten - -.
zweiplaneten_35_lasswitz_f000103|Ell versetzte sich in Ismas Seele, er sah deutlich, was in ihr vorging – alles dachte er wieder durch|Ell versetzte sich in Ismas Seele, er sah deutlich, was in ihr vorging - alles dachte er wieder durch
zweiplaneten_35_lasswitz_f000104|während er in die Nacht hinausstarrte – das Gefühl der Bitterkeit verließ ihn, er konnte ihr nicht zürnen.|während er in die Nacht hinausstarrte - das Gefühl der Bitterkeit verließ ihn, er konnte ihr nicht zürnen.
zweiplaneten_35_lasswitz_f000105|Nur traurig wurde er, tieftraurig. Aber er mußte es tragen.|Nur traurig wurde er, tieftraurig. Aber er mußte es tragen.
zweiplaneten_35_lasswitz_f000106|Er konnte nicht anders handeln, es war unmöglich.|Er konnte nicht anders handeln, es war unmöglich.
zweiplaneten_35_lasswitz_f000107|Stand sie auf der Erde, so stand er auf dem Mars.|Stand sie auf der Erde, so stand er auf dem Mars.
zweiplaneten_35_lasswitz_f000108|Die Kluft überbrückte kein Raumschiff.|Die Kluft überbrückte kein Raumschiff.
zweiplaneten_35_lasswitz_f000109|Und selbst wenn die Planeten sich versöhnten – würde er sie dann wiederfinden?|Und selbst wenn die Planeten sich versöhnten - würde er sie dann wiederfinden?
zweiplaneten_35_lasswitz_f000110|Er preßte die Hände gegen die Stirn und seufzte tief.|Er preßte die Hände gegen die Stirn und seufzte tief.
zweiplaneten_35_lasswitz_f000111|Und seltsam, mitten in den Kummer um Isma drängte sich das Bild Las vor Ells Augen.|Und seltsam, mitten in den Kummer um Isma drängte sich das Bild Las vor Ells Augen.
zweiplaneten_35_lasswitz_f000112|Dieser Verkehr war so beglückend, so frei von dem dunkeln Hintergrund irdischer Fesseln! Das war Numenart|Dieser Verkehr war so beglückend, so frei von dem dunkeln Hintergrund irdischer Fesseln! Das war Numenart
zweiplaneten_35_lasswitz_f000113|zu geben und zu nehmen! Die reizenden Stunden kamen ihm in den Sinn|zu geben und zu nehmen! Die reizenden Stunden kamen ihm in den Sinn
zweiplaneten_35_lasswitz_f000114|in denen er sich sagen durfte, daß sie ihn bevorzugte, und es schien ihm, daß deren immer mehr geworden seien.|in denen er sich sagen durfte, daß sie ihn bevorzugte, und es schien ihm, daß deren immer mehr geworden seien.
zweiplaneten_35_lasswitz_f000115|Und doch! Er mußte sich gestehen, wäre La ihm so geneigt, wie er hoffte, sie hätte sich ihm noch anders zeigen müssen.|Und doch! Er mußte sich gestehen, wäre La ihm so geneigt, wie er hoffte, sie hätte sich ihm noch anders zeigen müssen.
zweiplaneten_35_lasswitz_f000116|Sie hatte sich in der letzten Zeit sichtlich von Saltner zurückgezogen|Sie hatte sich in der letzten Zeit sichtlich von Saltner zurückgezogen
zweiplaneten_35_lasswitz_f000117|aber gerade darin schien ihm eine gewisse Absichtlichkeit zu liegen.|aber gerade darin schien ihm eine gewisse Absichtlichkeit zu liegen.
zweiplaneten_35_lasswitz_f000118|Er konnte das Gefühl nicht loswerden, daß La unter der gleichmäßigen Liebenswürdigkeit ihres Wesens eine heimliche Sorge barg|Er konnte das Gefühl nicht loswerden, daß La unter der gleichmäßigen Liebenswürdigkeit ihres Wesens eine heimliche Sorge barg
zweiplaneten_35_lasswitz_f000119|und er sann nach, was sie wohl bedrücken könne.|und er sann nach, was sie wohl bedrücken könne.
zweiplaneten_35_lasswitz_f000120|Gestern, als er bei ihr war, hatte er sie überrascht, wie sie in Gedanken versunken saß|Gestern, als er bei ihr war, hatte er sie überrascht, wie sie in Gedanken versunken saß
zweiplaneten_35_lasswitz_f000121|und er glaubte die heimlichen Spuren von Tränen in ihrem Auge gesehen zu haben.|und er glaubte die heimlichen Spuren von Tränen in ihrem Auge gesehen zu haben.
zweiplaneten_35_lasswitz_f000122|Aber auf seine warmen Worte erwiderte sie mit Scherzen, es war|Aber auf seine warmen Worte erwiderte sie mit Scherzen, es war
zweiplaneten_35_lasswitz_f000123|als wollte sie nicht verstehen, was sie doch längst wußte, wie er für sie fühle.|als wollte sie nicht verstehen, was sie doch längst wußte, wie er für sie fühle.
zweiplaneten_35_lasswitz_f000124|Zum erstenmal war er fortgegangen, ohne sie recht verstanden zu haben.|Zum erstenmal war er fortgegangen, ohne sie recht verstanden zu haben.
zweiplaneten_35_lasswitz_f000125|Und jetzt war Saltner auf dem Weg zu ihr.|Und jetzt war Saltner auf dem Weg zu ihr.
zweiplaneten_35_lasswitz_f000126|Es war ja nicht daran zu denken, daß sie auf seine Bitte eingehen würde – Überhaupt –.|Es war ja nicht daran zu denken, daß sie auf seine Bitte eingehen würde - Überhaupt -.
zweiplaneten_35_lasswitz_f000127|Ell fiel es plötzlich ein – vielleicht war sie gar nicht in Kla.|Ell fiel es plötzlich ein - vielleicht war sie gar nicht in Kla.
zweiplaneten_35_lasswitz_f000128|La hatte mehrfach davon gesprochen, daß sie möglicherweise verreisen würde, und Saltner hatte sie heute vergebens zu sprechen versucht.|La hatte mehrfach davon gesprochen, daß sie möglicherweise verreisen würde, und Saltner hatte sie heute vergebens zu sprechen versucht.
zweiplaneten_35_lasswitz_f000129|– Er wollte sich doch überzeugen, ob La zu Hause sei.|- Er wollte sich doch überzeugen, ob La zu Hause sei.
zweiplaneten_35_lasswitz_f000130|Auch die Plattform war mit dem Haus telephonisch verbunden. Er sprach La an.|Auch die Plattform war mit dem Haus telephonisch verbunden. Er sprach La an.
zweiplaneten_35_lasswitz_f000131|Sie war zu Hause, aber in großer Eile, wie sie sagte.|Sie war zu Hause, aber in großer Eile, wie sie sagte.
zweiplaneten_35_lasswitz_f000132|Ell teilte ihr mit, daß Saltner bei ihr vorsprechen werde mit einem Ansinnen|Ell teilte ihr mit, daß Saltner bei ihr vorsprechen werde mit einem Ansinnen
zweiplaneten_35_lasswitz_f000133|das unmöglich zu erfüllen sei – darauf keine Antwort, trotz seiner wiederholten Frage.|das unmöglich zu erfüllen sei - darauf keine Antwort, trotz seiner wiederholten Frage.
zweiplaneten_35_lasswitz_f000134|Endlich die Worte, wie mit gezwungener Stimme: »Befürchten Sie nichts. Leben Sie wohl.|Endlich die Worte, wie mit gezwungener Stimme: Befürchten Sie nichts. Leben Sie wohl.
zweiplaneten_35_lasswitz_f000135|Nichts, nichts weiter! Ell wußte nicht, was er davon denken sollte.|Nichts, nichts weiter! Ell wußte nicht, was er davon denken sollte.
zweiplaneten_35_lasswitz_f000136|Er trat zurück an den Tisch, auf dem seine Papiere lagen, und ließ die Lampe aufflammen.|Er trat zurück an den Tisch, auf dem seine Papiere lagen, und ließ die Lampe aufflammen.
zweiplaneten_35_lasswitz_f000137|Er wollte versuchen, in der Arbeit zu vergessen, und versenkte sich in das Studium des Etats der Marsstaaten.|Er wollte versuchen, in der Arbeit zu vergessen, und versenkte sich in das Studium des Etats der Marsstaaten.
zweiplaneten_35_lasswitz_f000138|Die einhundertvierundfünfzig Staaten, welche den Planetenbund des Mars bildeten, waren an Einwohnerzahl sehr stark verschieden;|Die einhundertvierundfünfzig Staaten, welche den Planetenbund des Mars bildeten, waren an Einwohnerzahl sehr stark verschieden;
zweiplaneten_35_lasswitz_f000139|es gab darunter Reiche, die bis gegen hundert Millionen Einwohner zählten|es gab darunter Reiche, die bis gegen hundert Millionen Einwohner zählten
zweiplaneten_35_lasswitz_f000140|und kleine Staaten, die nicht einmal die Zahl von einer Million erreichten;|und kleine Staaten, die nicht einmal die Zahl von einer Million erreichten;
zweiplaneten_35_lasswitz_f000141|der kleinste von ihnen umfaßte nur zwanzig Bezirke mit zusammen achthunderttausend Einwohnern.|der kleinste von ihnen umfaßte nur zwanzig Bezirke mit zusammen achthunderttausend Einwohnern.
zweiplaneten_35_lasswitz_f000142|Ebenso mannigfaltig wie die Größen waren die Verfassungen der Einzelstaaten.|Ebenso mannigfaltig wie die Größen waren die Verfassungen der Einzelstaaten.
zweiplaneten_35_lasswitz_f000143|Die republikanischen Staatsformen herrschten vor, aber auch unter ihnen gab es eine bunte Musterkarte von kommunistischen|Die republikanischen Staatsformen herrschten vor, aber auch unter ihnen gab es eine bunte Musterkarte von kommunistischen
zweiplaneten_35_lasswitz_f000144|sozialistischen, demokratischen und aristokratischen Verfassungen.|sozialistischen, demokratischen und aristokratischen Verfassungen.
zweiplaneten_35_lasswitz_f000145|Die Monarchien waren besonders unter den kleineren Staaten vertreten.|Die Monarchien waren besonders unter den kleineren Staaten vertreten.
zweiplaneten_35_lasswitz_f000146|Ganz wie es die historische Entwicklung der lokalen Verhältnisse mit sich gebracht hatte|Ganz wie es die historische Entwicklung der lokalen Verhältnisse mit sich gebracht hatte
zweiplaneten_35_lasswitz_f000147|waren auch in diesen die Verfassungen sehr mannigfaltig;|waren auch in diesen die Verfassungen sehr mannigfaltig;
zweiplaneten_35_lasswitz_f000148|im ganzen unterschieden sie sich von den republikanischen nur dadurch, daß das Staatsoberhaupt nicht durch Wahl|im ganzen unterschieden sie sich von den republikanischen nur dadurch, daß das Staatsoberhaupt nicht durch Wahl
zweiplaneten_35_lasswitz_f000149|sondern durch Erbfolge bestimmt war und sich eines größeren Einkommens und einer glänzenderen Hofhaltung als die Präsidenten erfreute.|sondern durch Erbfolge bestimmt war und sich eines größeren Einkommens und einer glänzenderen Hofhaltung als die Präsidenten erfreute.
zweiplaneten_35_lasswitz_f000150|Einen höheren politischen Einfluß besaßen die Fürsten des Mars nicht, sie hatten vornehmlich eine ästhetische Bedeutung.|Einen höheren politischen Einfluß besaßen die Fürsten des Mars nicht, sie hatten vornehmlich eine ästhetische Bedeutung.
zweiplaneten_35_lasswitz_f000151|Die reiche Entwicklung, welche die Verfeinerung des Lebens durch die Hofhaltung eines intelligenten Fürsten erfahren konnte|Die reiche Entwicklung, welche die Verfeinerung des Lebens durch die Hofhaltung eines intelligenten Fürsten erfahren konnte
zweiplaneten_35_lasswitz_f000152|und der Einfluß, den eine hochsinnige Persönlichkeit hier zu entfalten vermochte, sollte auch auf dem Mars nicht verlorengehen.|und der Einfluß, den eine hochsinnige Persönlichkeit hier zu entfalten vermochte, sollte auch auf dem Mars nicht verlorengehen.
zweiplaneten_35_lasswitz_f000153|Die individualistischen Neigungen der Martier konnten daher nach jeder Richtung hin Befriedigung finden|Die individualistischen Neigungen der Martier konnten daher nach jeder Richtung hin Befriedigung finden
zweiplaneten_35_lasswitz_f000154|und dem Ehrgeiz wie dem Unabhängigkeitsgefühl eines jeden war freier Spielraum gelassen.|und dem Ehrgeiz wie dem Unabhängigkeitsgefühl eines jeden war freier Spielraum gelassen.
zweiplaneten_35_lasswitz_f000155|Zwischen allen Staaten herrschte, durch das Bundesgesetz garantiert, vollständige Freizügigkeit und Erwerbsfreiheit.|Zwischen allen Staaten herrschte, durch das Bundesgesetz garantiert, vollständige Freizügigkeit und Erwerbsfreiheit.
zweiplaneten_35_lasswitz_f000156|Wem es in dem einen Staat nicht gefiel, transportierte sein Haus in einen andern|Wem es in dem einen Staat nicht gefiel, transportierte sein Haus in einen andern
zweiplaneten_35_lasswitz_f000157|und es genügte, daß er dies bei der betreffenden Behörde anmeldete.|und es genügte, daß er dies bei der betreffenden Behörde anmeldete.
zweiplaneten_35_lasswitz_f000158|Dadurch war eine natürliche Regulierung dafür gegeben, daß kein Staat seine Machtbefugnis mißbrauchte|Dadurch war eine natürliche Regulierung dafür gegeben, daß kein Staat seine Machtbefugnis mißbrauchte
zweiplaneten_35_lasswitz_f000159|denn er riskierte sonst, sehr bald seine Einwohner zu verlieren.|denn er riskierte sonst, sehr bald seine Einwohner zu verlieren.
zweiplaneten_35_lasswitz_f000160|Die natürliche Verschiedenheit der Individuen, ihre Gewohnheiten und ihre Anhänglichkeit für das Hergebrachte sorgten andererseits dafür|Die natürliche Verschiedenheit der Individuen, ihre Gewohnheiten und ihre Anhänglichkeit für das Hergebrachte sorgten andererseits dafür
zweiplaneten_35_lasswitz_f000161|daß den einzelnen Staaten ihre Eigentümlichkeiten erhalten blieben und der Fluß der Bevölkerung nicht in Unbeständigkeit ausartete.|daß den einzelnen Staaten ihre Eigentümlichkeiten erhalten blieben und der Fluß der Bevölkerung nicht in Unbeständigkeit ausartete.
zweiplaneten_35_lasswitz_f000162|Jede Gegend hatte ihre Vorzüge.|Jede Gegend hatte ihre Vorzüge.
zweiplaneten_35_lasswitz_f000163|Waren auch die wirtschaftlichen Lebensbedingungen in den breiten, die Wüsten durchziehenden|Waren auch die wirtschaftlichen Lebensbedingungen in den breiten, die Wüsten durchziehenden
zweiplaneten_35_lasswitz_f000164|durch künstliche Bewässerung erhaltenen Kulturstreifen etwas erschwert, so boten dieselben doch andere Vorteile.|durch künstliche Bewässerung erhaltenen Kulturstreifen etwas erschwert, so boten dieselben doch andere Vorteile.
zweiplaneten_35_lasswitz_f000165|Die Gelegenheit zum gewerblichen Gewinn war hier wegen der Nähe der großen Energiestrahlungsgebiete günstiger|Die Gelegenheit zum gewerblichen Gewinn war hier wegen der Nähe der großen Energiestrahlungsgebiete günstiger
zweiplaneten_35_lasswitz_f000166|und ein reicherer Arbeitsertrag entschädigte für die Störungen des äußeren Komforts|und ein reicherer Arbeitsertrag entschädigte für die Störungen des äußeren Komforts
zweiplaneten_35_lasswitz_f000167|die dadurch entstanden, daß bei eintretendem Wassermangel die schützenden Bäume binnen wenigen Tagen ihr Laub verloren und die Vegetation unter ihnen vertrocknete.|die dadurch entstanden, daß bei eintretendem Wassermangel die schützenden Bäume binnen wenigen Tagen ihr Laub verloren und die Vegetation unter ihnen vertrocknete.
zweiplaneten_35_lasswitz_f000168|Dafür waren aber auch die hier gelegenen Staaten imstande, größere Zuschüsse den Privaten zu gewähren.|Dafür waren aber auch die hier gelegenen Staaten imstande, größere Zuschüsse den Privaten zu gewähren.
zweiplaneten_35_lasswitz_f000169|Gemeinschaftlich für den gesamten Staatenbund und unmittelbar dem Zentralrat unterstellt|Gemeinschaftlich für den gesamten Staatenbund und unmittelbar dem Zentralrat unterstellt
zweiplaneten_35_lasswitz_f000170|der seinerseits dem Bundesparlament verantwortlich blieb, war die technische Verwaltung.|der seinerseits dem Bundesparlament verantwortlich blieb, war die technische Verwaltung.
zweiplaneten_35_lasswitz_f000171|Sie schied sich in die beiden großen Gebiete des Verkehrswesens und des Bewässerungswesens|Sie schied sich in die beiden großen Gebiete des Verkehrswesens und des Bewässerungswesens
zweiplaneten_35_lasswitz_f000172|wozu als drittes jetzt noch die Raumschifffahrt gekommen war.|wozu als drittes jetzt noch die Raumschifffahrt gekommen war.
zweiplaneten_35_lasswitz_f000173|Diese ungeheure Organisation hielt die Bundesstaaten als ein untrennbares Ganze zusammen und machte es ebenso unmöglich, daß sich einzelne|Diese ungeheure Organisation hielt die Bundesstaaten als ein untrennbares Ganze zusammen und machte es ebenso unmöglich, daß sich einzelne
zweiplaneten_35_lasswitz_f000174|selbst mächtige Staaten, vom Zusammenhang des Planeten ablösen konnten|selbst mächtige Staaten, vom Zusammenhang des Planeten ablösen konnten
zweiplaneten_35_lasswitz_f000175|als sich ein Organ des menschlichen Körpers der Blutzirkulation zu entziehen vermag.|als sich ein Organ des menschlichen Körpers der Blutzirkulation zu entziehen vermag.
zweiplaneten_35_lasswitz_f000176|Unterhalten wurde der Riesenbetrieb durch ein stehendes Arbeitsheer von sechzig Millionen Personen – ›Mann‹ kann man nicht gut sagen|Unterhalten wurde der Riesenbetrieb durch ein stehendes Arbeitsheer von sechzig Millionen Personen - Mann kann man nicht gut sagen
zweiplaneten_35_lasswitz_f000177|denn die allgemeine einjährige Dienstpflicht galt für beide Geschlechter.|denn die allgemeine einjährige Dienstpflicht galt für beide Geschlechter.
zweiplaneten_35_lasswitz_f000178|Für besondere Fälle stand eine dreifache Reserve zur Verfügung.|Für besondere Fälle stand eine dreifache Reserve zur Verfügung.
zweiplaneten_35_lasswitz_f000179|Finanziert wurde der Betrieb durch die Sonne selbst.|Finanziert wurde der Betrieb durch die Sonne selbst.
zweiplaneten_35_lasswitz_f000180|Der Gesamtetat der Marsstaaten betrug – nach deutschem Geld gerechnet für das Erdenjahr|Der Gesamtetat der Marsstaaten betrug - nach deutschem Geld gerechnet für das Erdenjahr
zweiplaneten_35_lasswitz_f000181|also für ein halbes Marsjahr – dreihundert Billionen|also für ein halbes Marsjahr - dreihundert Billionen
zweiplaneten_35_lasswitz_f000182|das sind dreihunderttausend Milliarden Mark, also einhunderttausend Mark auf den Kopf der Bevölkerung.|das sind dreihunderttausend Milliarden Mark, also einhunderttausend Mark auf den Kopf der Bevölkerung.
zweiplaneten_35_lasswitz_f000183|Dabei hatte aber niemand eine Steuer, außer der persönlichen Dienstleistung während eines Lebensjahres, beizutragen.|Dabei hatte aber niemand eine Steuer, außer der persönlichen Dienstleistung während eines Lebensjahres, beizutragen.
zweiplaneten_35_lasswitz_f000184|Das Privateinkommen der Martier belief sich außerdem im Durchschnitt pro Kopf der Bevölkerung auf einhunderttausend Mark|Das Privateinkommen der Martier belief sich außerdem im Durchschnitt pro Kopf der Bevölkerung auf einhunderttausend Mark
zweiplaneten_35_lasswitz_f000185|schwankte jedoch für den einzelnen zwischen dem Maximum des zulässigen Einkommens von zwanzig Millionen und der Null.|schwankte jedoch für den einzelnen zwischen dem Maximum des zulässigen Einkommens von zwanzig Millionen und der Null.
zweiplaneten_35_lasswitz_f000186|Die Besteuerung des Einkommens der Privaten diente nur dazu, um jedem, der nichts verdiente|Die Besteuerung des Einkommens der Privaten diente nur dazu, um jedem, der nichts verdiente
zweiplaneten_35_lasswitz_f000187|wenigstens ein Minimum von Kapital pro Jahr zu sichern, wodurch er sich wieder heraufarbeiten konnte.|wenigstens ein Minimum von Kapital pro Jahr zu sichern, wodurch er sich wieder heraufarbeiten konnte.
zweiplaneten_35_lasswitz_f000188|Ein Notleiden aus Mangel an Nahrung, Wohnung und Kleidung konnte nicht eintreten|Ein Notleiden aus Mangel an Nahrung, Wohnung und Kleidung konnte nicht eintreten
zweiplaneten_35_lasswitz_f000189|da hierfür durch öffentliche Verpflegungsanstalten gesorgt war.|da hierfür durch öffentliche Verpflegungsanstalten gesorgt war.
zweiplaneten_35_lasswitz_f000190|Aber es war natürlich jedem daran gelegen, dieser Armenpflege nicht anheimzufallen.|Aber es war natürlich jedem daran gelegen, dieser Armenpflege nicht anheimzufallen.
zweiplaneten_35_lasswitz_f000191|Der Gesamtbetrag, der vom Staat und von den Privaten auf dem ganzen Planeten in einem halben Marsjahr eingenommen wurde|Der Gesamtbetrag, der vom Staat und von den Privaten auf dem ganzen Planeten in einem halben Marsjahr eingenommen wurde
zweiplaneten_35_lasswitz_f000192|belief sich also auf sechshundert Billionen Mark.|belief sich also auf sechshundert Billionen Mark.
zweiplaneten_35_lasswitz_f000193|Dies war jedoch nur die Hälfte dessen, was bei völliger Ausnutzung aller Kräfte hätte erzielt werden können.|Dies war jedoch nur die Hälfte dessen, was bei völliger Ausnutzung aller Kräfte hätte erzielt werden können.
zweiplaneten_35_lasswitz_f000194|Diese Summen erschienen Ell so ungeheuerlich, daß er sich damit beschäftigte|Diese Summen erschienen Ell so ungeheuerlich, daß er sich damit beschäftigte
zweiplaneten_35_lasswitz_f000195|sie nachzuprüfen und sich zu vergewissern, wie es möglich sei, eine so kolossale Rente zu erzielen.|sie nachzuprüfen und sich zu vergewissern, wie es möglich sei, eine so kolossale Rente zu erzielen.
zweiplaneten_35_lasswitz_f000196|Ell hatte bei seinem ersten Versuch, den Geldwert auf dem Mars mit dem auf der Erde zu vergleichen|Ell hatte bei seinem ersten Versuch, den Geldwert auf dem Mars mit dem auf der Erde zu vergleichen
zweiplaneten_35_lasswitz_f000197|seiner Umrechnung den Wärmewert der Kohle zugrunde gelegt;|seiner Umrechnung den Wärmewert der Kohle zugrunde gelegt;
zweiplaneten_35_lasswitz_f000198|er führte nun die Rechnung noch einmal so durch, daß er als Vergleichseinheit die Pferdestärken nahm|er führte nun die Rechnung noch einmal so durch, daß er als Vergleichseinheit die Pferdestärken nahm
zweiplaneten_35_lasswitz_f000199|welche durch die Sonnenstrahlung pro Stunde als Arbeitseffekt erzielt werden konnten.|welche durch die Sonnenstrahlung pro Stunde als Arbeitseffekt erzielt werden konnten.
zweiplaneten_35_lasswitz_f000200|Wenn er den gegenwärtigen Stand der Technik auf der Erde in Betracht zog|Wenn er den gegenwärtigen Stand der Technik auf der Erde in Betracht zog
zweiplaneten_35_lasswitz_f000201|so glaubte er annehmen zu dürfen, daß selbst unter den günstigsten Verhältnissen|so glaubte er annehmen zu dürfen, daß selbst unter den günstigsten Verhältnissen
zweiplaneten_35_lasswitz_f000202|bei Berücksichtigung der Anlagekosten|bei Berücksichtigung der Anlagekosten
zweiplaneten_35_lasswitz_f000203|die Pferdekraft in der Stunde nicht unter null comma acht Pfennig oder eins Centime geliefert werden könne.|die Pferdekraft in der Stunde nicht unter null comma acht Pfennig oder eins Centime geliefert werden könne.
zweiplaneten_35_lasswitz_f000204|Um nun den geringsten Wert der Sonnenrente für den Mars zu ermitteln, nahm er an|Um nun den geringsten Wert der Sonnenrente für den Mars zu ermitteln, nahm er an
zweiplaneten_35_lasswitz_f000205|daß auch auf dem Mars nur die direkte Wärmestrahlung seitens der Sonne – nicht die anderen Wellengattungen – zur Arbeit verwertet werden.|daß auch auf dem Mars nur die direkte Wärmestrahlung seitens der Sonne - nicht die anderen Wellengattungen - zur Arbeit verwertet werden.
zweiplaneten_35_lasswitz_f000206|Er fand dann, daß im Lauf eines Erdenjahres die Sonnenstrahlung dem Mars soviel Wärme zuführt, daß|Er fand dann, daß im Lauf eines Erdenjahres die Sonnenstrahlung dem Mars soviel Wärme zuführt, daß
zweiplaneten_35_lasswitz_f000207|wenn sie vollständig in Arbeit übergeführt wurde, ihr Wert pro Quadratmeter der Oberfläche durchschnittlich dreißig Mark betragen würde.|wenn sie vollständig in Arbeit übergeführt wurde, ihr Wert pro Quadratmeter der Oberfläche durchschnittlich dreißig Mark betragen würde.
zweiplaneten_35_lasswitz_f000208|Die zur Bestrahlung ausgenutzte Oberfläche des Mars beträgt aber rund hundert Billionen Quadratmeter|Die zur Bestrahlung ausgenutzte Oberfläche des Mars beträgt aber rund hundert Billionen Quadratmeter
zweiplaneten_35_lasswitz_f000209|somit erhält der Mars eine Rente von dreitausend Billionen Mark.|somit erhält der Mars eine Rente von dreitausend Billionen Mark.
zweiplaneten_35_lasswitz_f000210|Von diesem Strahlungsbetrag können jedoch nur etwa vierzig Prozent wirklich in Arbeit verwandelt und ausgenutzt werden|Von diesem Strahlungsbetrag können jedoch nur etwa vierzig Prozent wirklich in Arbeit verwandelt und ausgenutzt werden
zweiplaneten_35_lasswitz_f000211|– bei dem Stand der Technik auf dem Mars –|- bei dem Stand der Technik auf dem Mars -
zweiplaneten_35_lasswitz_f000212|so daß der Gesamtgewinn des Mars an Arbeit (im Laufe eines Erdenjahrs) eintausendzweihundert Billionen Mark beträgt.|so daß der Gesamtgewinn des Mars an Arbeit im Laufe eines Erdenjahrs eintausendzweihundert Billionen Mark beträgt.
zweiplaneten_35_lasswitz_f000213|Tatsächlich benutzte man hiervon nur die Hälfte.|Tatsächlich benutzte man hiervon nur die Hälfte.
zweiplaneten_35_lasswitz_f000214|Denn die Gesamteinnahme der Marsstaaten betrug dreihundert Billionen, die der Privaten ebensoviel.|Denn die Gesamteinnahme der Marsstaaten betrug dreihundert Billionen, die der Privaten ebensoviel.
zweiplaneten_35_lasswitz_f000215|Es war also kein Zweifel, daß die Marsstaaten über diese ungeheuren Mittel verfügten.|Es war also kein Zweifel, daß die Marsstaaten über diese ungeheuren Mittel verfügten.
zweiplaneten_35_lasswitz_f000216|Und dabei empfängt der Mars nur etwa ein Neuntel so viel Wärme von der Sonne wie die Erde.|Und dabei empfängt der Mars nur etwa ein Neuntel so viel Wärme von der Sonne wie die Erde.
zweiplaneten_35_lasswitz_f000217|Wie weit also war die Erde zurück in der Ausnutzung der Mittel|Wie weit also war die Erde zurück in der Ausnutzung der Mittel
zweiplaneten_35_lasswitz_f000218|die ihr von der Natur verliehen waren! Wieviel konnte sie noch gewinnen, wenn ihr die Erfahrung der Martier zugute kam!|die ihr von der Natur verliehen waren! Wieviel konnte sie noch gewinnen, wenn ihr die Erfahrung der Martier zugute kam!
