mattiapascal_01_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.
mattiapascal_10_pirandello_f000277|e perché io, Adriano Meis, dopo avere errato un pezzo sperduto in quella nuova libertà illimitata|e perché io, Adriano Meis, dopo avere errato un pezzo sperduto in quella nuova libertà illimitata
mattiapascal_10_pirandello_f000278|avevo finalmente acquistato l'equilibrio, raggiunto l'ideale che m'ero prefisso|avevo finalmente acquistato l'equilibrio, raggiunto l'ideale che m'ero prefisso
mattiapascal_10_pirandello_f000279|di far di me un altr'uomo, per vivere un'altra vita, che ora, ecco, sentivo, sentivo piena in me.|di far di me un altr'uomo, per vivere un'altra vita, che ora, ecco, sentivo, sentivo piena in me.
mattiapascal_10_pirandello_f000280|E il mio spirito ridiventò ilare, come nella prima giovinezza;|E il mio spirito ridiventò ilare, come nella prima giovinezza;
mattiapascal_10_pirandello_f000281|perdette il veleno dell'esperienza.|perdette il veleno dell'esperienza.
mattiapascal_10_pirandello_f000282|Finanche il signor Anselmo Paleari non mi sembrò più tanto nojoso: l'ombra, la nebbia|Finanche il signor Anselmo Paleari non mi sembrò più tanto nojoso: l'ombra, la nebbia
mattiapascal_10_pirandello_f000283|il fumo della sua filosofia erano svaniti al sole di quella mia nuova gioja.|il fumo della sua filosofia erano svaniti al sole di quella mia nuova gioja.
mattiapascal_10_pirandello_f000284|Povero signor Anselmo! delle due cose, a cui si doveva, secondo lui|Povero signor Anselmo! delle due cose, a cui si doveva, secondo lui
mattiapascal_10_pirandello_f000285|pensare su la terra, egli non s'accorgeva che pensava ormai a una sola: ma forse|pensare su la terra, egli non s'accorgeva che pensava ormai a una sola: ma forse
mattiapascal_10_pirandello_f000286|via! aveva anche pensato a vivere a' suoi bei dì! Era più degna di compassione la maestra Caporale|via! aveva anche pensato a vivere a' suoi bei dì! Era più degna di compassione la maestra Caporale
mattiapascal_10_pirandello_f000287|a cui neanche il vino riusciva a dar l'allegria di quell'indimenticabile ubriaco di Via Borgo Nuovo: voleva vivere|a cui neanche il vino riusciva a dar l'allegria di quell'indimenticabile ubriaco di Via Borgo Nuovo: voleva vivere
mattiapascal_10_pirandello_f000288|lei, poveretta, e stimava ingenerosi gli uomini che badano soltanto alla bellezza esteriore.|lei, poveretta, e stimava ingenerosi gli uomini che badano soltanto alla bellezza esteriore.
mattiapascal_10_pirandello_f000289|Dunque, intimamente, nell'anima, si sentiva bella, lei?|Dunque, intimamente, nell'anima, si sentiva bella, lei?
mattiapascal_10_pirandello_f000290|Oh chi sa di quali e quanti sacrifizii sarebbe stata capace veramente|Oh chi sa di quali e quanti sacrifizii sarebbe stata capace veramente
mattiapascal_10_pirandello_f000291|se avesse trovato un uomo «generoso»! Forse non avrebbe più bevuto neppure un dito di vino.|se avesse trovato un uomo generoso! Forse non avrebbe più bevuto neppure un dito di vino.
mattiapascal_10_pirandello_f000292|«Se noi riconosciamo,» pensavo, «che errare è dell'uomo, non è crudeltà sovrumana la giustizia?|Se noi riconosciamo, pensavo, che errare è dell'uomo, non è crudeltà sovrumana la giustizia?
mattiapascal_10_pirandello_f000293|» E mi proposi di non esser più crudele verso la povera signorina Caporale.| E mi proposi di non esser più crudele verso la povera signorina Caporale.
mattiapascal_10_pirandello_f000294|Me lo proposi; ma, ahimè, fui crudele senza volerlo;|Me lo proposi; ma, ahimè, fui crudele senza volerlo;
mattiapascal_10_pirandello_f000295|e anzi tanto più, quanto meno volli essere.|e anzi tanto più, quanto meno volli essere.
mattiapascal_10_pirandello_f000296|La mia affabilità fu nuova esca al suo facile fuoco.|La mia affabilità fu nuova esca al suo facile fuoco.
mattiapascal_10_pirandello_f000297|E intanto avveniva questo: che, alle mie parole, la povera donna impallidiva, mentre Adriana arrossiva.|E intanto avveniva questo: che, alle mie parole, la povera donna impallidiva, mentre Adriana arrossiva.
mattiapascal_10_pirandello_f000298|Non sapevo bene ciò che dicessi, ma sentivo che ogni parola, il suono|Non sapevo bene ciò che dicessi, ma sentivo che ogni parola, il suono
mattiapascal_10_pirandello_f000299|l'espressione di essa non spingeva mai tanto oltre il turbamento di colei a cui veramente era diretta|l'espressione di essa non spingeva mai tanto oltre il turbamento di colei a cui veramente era diretta
mattiapascal_10_pirandello_f000300|da rompere la segreta armonia, che già – non so come – s'era tra noi stabilita.|da rompere la segreta armonia, che già - non so come - s'era tra noi stabilita.
mattiapascal_10_pirandello_f000301|Le anime hanno un loro particolar modo d'intendersi, d'entrare in intimità, fino a darsi del tu|Le anime hanno un loro particolar modo d'intendersi, d'entrare in intimità, fino a darsi del tu
mattiapascal_10_pirandello_f000302|mentre le nostre persone sono tuttavia impacciate nel commercio delle parole comuni, nella schiavitù delle esigenze sociali.|mentre le nostre persone sono tuttavia impacciate nel commercio delle parole comuni, nella schiavitù delle esigenze sociali.
mattiapascal_10_pirandello_f000303|Han bisogni lor proprii e loro proprie aspirazioni le anime, di cui il corpo non si dà per inteso|Han bisogni lor proprii e loro proprie aspirazioni le anime, di cui il corpo non si dà per inteso
mattiapascal_10_pirandello_f000304|quando veda l'impossibilità di soddisfarli e di tradurle in atto.|quando veda l'impossibilità di soddisfarli e di tradurle in atto.
mattiapascal_10_pirandello_f000305|E ogni qualvolta due che comunichino fra loro così, con le anime soltanto, si trovano soli in qualche luogo|E ogni qualvolta due che comunichino fra loro così, con le anime soltanto, si trovano soli in qualche luogo
mattiapascal_10_pirandello_f000306|provano un turbamento angoscioso e quasi una repulsione violenta d'ogni minimo contatto materiale|provano un turbamento angoscioso e quasi una repulsione violenta d'ogni minimo contatto materiale
mattiapascal_10_pirandello_f000307|una sofferenza che li allontana, e che cessa subito, non appena un terzo intervenga.|una sofferenza che li allontana, e che cessa subito, non appena un terzo intervenga.
mattiapascal_10_pirandello_f000308|Allora, passata l'angoscia, le due anime sollevate si ricercano e tornano a sorridersi da lontano.|Allora, passata l'angoscia, le due anime sollevate si ricercano e tornano a sorridersi da lontano.
mattiapascal_10_pirandello_f000309|Quante volte non ne feci l'esperienza con Adriana!|Quante volte non ne feci l'esperienza con Adriana!
mattiapascal_10_pirandello_f000310|Ma l'impaccio ch'ella provava era allora per me effetto del natural ritegno e della timidezza della sua indole|Ma l'impaccio ch'ella provava era allora per me effetto del natural ritegno e della timidezza della sua indole
mattiapascal_10_pirandello_f000311|e il mio credevo derivasse dal rimorso che la finzione mi cagionava, la finzione del mio essere|e il mio credevo derivasse dal rimorso che la finzione mi cagionava, la finzione del mio essere
mattiapascal_10_pirandello_f000312|continua, a cui ero obbligato, di fronte al candore e alla ingenuità di quella dolce e mite creatura.|continua, a cui ero obbligato, di fronte al candore e alla ingenuità di quella dolce e mite creatura.
mattiapascal_10_pirandello_f000313|La vedevo ormai con altri occhi.|La vedevo ormai con altri occhi.
mattiapascal_10_pirandello_f000314|Ma non s'era ella veramente trasformata da un mese in qua?|Ma non s'era ella veramente trasformata da un mese in qua?
mattiapascal_10_pirandello_f000315|Non s'accendevano ora d'una più viva luce interiore i suoi sguardi fuggitivi?|Non s'accendevano ora d'una più viva luce interiore i suoi sguardi fuggitivi?
mattiapascal_10_pirandello_f000316|e i suoi sorrisi non accusavano ora men penoso lo sforzo che le costava quel suo fare da savia mammina|e i suoi sorrisi non accusavano ora men penoso lo sforzo che le costava quel suo fare da savia mammina
mattiapascal_10_pirandello_f000317|il quale a me da prima era apparso come un'ostentazione?|il quale a me da prima era apparso come un'ostentazione?
mattiapascal_10_pirandello_f000318|Sì, forse anch'ella istintivamente obbediva al bisogno mio stesso|Sì, forse anch'ella istintivamente obbediva al bisogno mio stesso
mattiapascal_10_pirandello_f000319|al bisogno di farsi l'illusione d'una nuova vita, senza voler sapere né quale né come.|al bisogno di farsi l'illusione d'una nuova vita, senza voler sapere né quale né come.
mattiapascal_10_pirandello_f000320|Un desiderio vago, come un'aura dell'anima, aveva schiuso pian piano per lei, come per me, una finestra nell'avvenire|Un desiderio vago, come un'aura dell'anima, aveva schiuso pian piano per lei, come per me, una finestra nell'avvenire
mattiapascal_10_pirandello_f000321|donde un raggio dal tepore inebriante veniva a noi|donde un raggio dal tepore inebriante veniva a noi
mattiapascal_10_pirandello_f000322|che non sapevamo intanto appressarci a quella finestra né per richiuderla né per vedere che cosa ci fosse di là.|che non sapevamo intanto appressarci a quella finestra né per richiuderla né per vedere che cosa ci fosse di là.
mattiapascal_10_pirandello_f000323|Risentiva gli effetti di questa nostra pura soavissima ebrezza la povera signorina Caporale.|Risentiva gli effetti di questa nostra pura soavissima ebrezza la povera signorina Caporale.
mattiapascal_10_pirandello_f000324|— Oh sa, signorina, — diss'io a questa una sera, — che quasi quasi ho deciso di seguire il suo consiglio?|- Oh sa, signorina, - diss'io a questa una sera, - che quasi quasi ho deciso di seguire il suo consiglio?
mattiapascal_10_pirandello_f000325|— Quale? — mi domandò ella.|- Quale? - mi domandò ella.
mattiapascal_10_pirandello_f000326|— Di farmi operare da un oculista. La Caporale batté le mani, tutta contenta.|- Di farmi operare da un oculista. La Caporale batté le mani, tutta contenta.
mattiapascal_10_pirandello_f000327|— Ah! Benissimo! Il dottor Ambrosini! Chiami l'Ambrosini: è il più bravo:|- Ah! Benissimo! Il dottor Ambrosini! Chiami l'Ambrosini: è il più bravo:
mattiapascal_10_pirandello_f000328|fece l'operazione della cateratta alla povera mamma mia. Vedi? vedi, Adriana,|fece l'operazione della cateratta alla povera mamma mia. Vedi? vedi, Adriana,
mattiapascal_10_pirandello_f000329|che lo specchio ha parlato? Che ti dicevo io? Adriana sorrise, e sorrisi anch'io.|che lo specchio ha parlato? Che ti dicevo io? Adriana sorrise, e sorrisi anch'io.
mattiapascal_10_pirandello_f000330|— Non lo specchio, signorina — dissi però.|- Non lo specchio, signorina - dissi però.
mattiapascal_10_pirandello_f000331|— S'è fatto sentire il bisogno. Da un po' di tempo a questa parte, l'occhio mi fa male: non mi ha servito mai bene;|- S'è fatto sentire il bisogno. Da un po' di tempo a questa parte, l'occhio mi fa male: non mi ha servito mai bene;
mattiapascal_10_pirandello_f000332|tuttavia non vorrei perderlo.|tuttavia non vorrei perderlo.
mattiapascal_10_pirandello_f000333|Non era vero: aveva ragione lei, la signorina Caporale: lo specchio|Non era vero: aveva ragione lei, la signorina Caporale: lo specchio
mattiapascal_10_pirandello_f000334|lo specchio aveva parlato e mi aveva detto che se un'operazione relativamente lieve poteva farmi sparire dal volto quello sconcio connotato così particolare di Mattia Pascal|lo specchio aveva parlato e mi aveva detto che se un'operazione relativamente lieve poteva farmi sparire dal volto quello sconcio connotato così particolare di Mattia Pascal
mattiapascal_10_pirandello_f000335|Adriano Meis avrebbe potuto anche fare a meno degli occhiali azzurri, concedersi un pajo di baffi e accordarsi insomma|Adriano Meis avrebbe potuto anche fare a meno degli occhiali azzurri, concedersi un pajo di baffi e accordarsi insomma
mattiapascal_10_pirandello_f000336|alla meglio, corporalmente, con le proprie mutate condizioni di spirito.|alla meglio, corporalmente, con le proprie mutate condizioni di spirito.
mattiapascal_10_pirandello_f000337|Pochi giorni dopo, una scena notturna, a cui assistetti|Pochi giorni dopo, una scena notturna, a cui assistetti
mattiapascal_10_pirandello_f000338|nascosto dietro la persiana d'una delle mie finestre, venne a frastornarmi all'improvviso.|nascosto dietro la persiana d'una delle mie finestre, venne a frastornarmi all'improvviso.
mattiapascal_10_pirandello_f000339|La scena si svolse nel terrazzino lì accanto, dove mi ero trattenuto fin verso le dieci, in compagnia delle due donne.|La scena si svolse nel terrazzino lì accanto, dove mi ero trattenuto fin verso le dieci, in compagnia delle due donne.
mattiapascal_10_pirandello_f000340|Ritiratomi in camera, m'ero messo a leggere, distratto, uno dei libri prediletti del signor Anselmo, su la Rincarnazione.|Ritiratomi in camera, m'ero messo a leggere, distratto, uno dei libri prediletti del signor Anselmo, su la Rincarnazione.
mattiapascal_10_pirandello_f000341|Mi parve, a un certo punto, di sentir parlare nel terrazzino: tesi l'orecchio per accertarmi se vi fosse Adriana.|Mi parve, a un certo punto, di sentir parlare nel terrazzino: tesi l'orecchio per accertarmi se vi fosse Adriana.
mattiapascal_10_pirandello_f000342|No. Due vi parlavan basso, concitatamente: sentivo una voce maschile, che non era quella del Paleari.|No. Due vi parlavan basso, concitatamente: sentivo una voce maschile, che non era quella del Paleari.
mattiapascal_10_pirandello_f000343|Ma di uomini in casa non c'eravamo altri che lui e io.|Ma di uomini in casa non c'eravamo altri che lui e io.
mattiapascal_10_pirandello_f000344|Incuriosito, m'appressai alla finestra per guardar dalle spie della persiana.|Incuriosito, m'appressai alla finestra per guardar dalle spie della persiana.
mattiapascal_10_pirandello_f000345|Nel bujo mi parve discernere la signorina Caporale.|Nel bujo mi parve discernere la signorina Caporale.
mattiapascal_10_pirandello_f000346|Ma chi era quell'uomo con cui essa parlava?|Ma chi era quell'uomo con cui essa parlava?
mattiapascal_10_pirandello_f000347|Che fosse arrivato da Napoli, improvvisamente, Terenzio Papiano?|Che fosse arrivato da Napoli, improvvisamente, Terenzio Papiano?
mattiapascal_10_pirandello_f000348|Da una parola proferita un po' più forte dalla Caporale compresi che parlavano di me.|Da una parola proferita un po' più forte dalla Caporale compresi che parlavano di me.
mattiapascal_10_pirandello_f000349|M'accostai di più alla persiana e tesi maggiormente l'orecchio.|M'accostai di più alla persiana e tesi maggiormente l'orecchio.
mattiapascal_10_pirandello_f000350|Quell'uomo si mostrava irritato delle notizie che certo la maestra di pianoforte gli aveva dato di me;|Quell'uomo si mostrava irritato delle notizie che certo la maestra di pianoforte gli aveva dato di me;
mattiapascal_10_pirandello_f000351|ed ecco, ora essa cercava d'attenuar l'impressione che quelle notizie avevan prodotto nell'animo di colui.|ed ecco, ora essa cercava d'attenuar l'impressione che quelle notizie avevan prodotto nell'animo di colui.
mattiapascal_10_pirandello_f000352|— Ricco? — domandò egli, a un certo punto.|- Ricco? - domandò egli, a un certo punto.
mattiapascal_10_pirandello_f000353|E la Caporale: — Non so.|E la Caporale: - Non so.
mattiapascal_10_pirandello_f000354|Pare! Certo campa sul suo, senza far nulla...|Pare! Certo campa sul suo, senza far nulla...
mattiapascal_10_pirandello_f000355|— Sempre per casa?|- Sempre per casa?
mattiapascal_10_pirandello_f000356|— Ma no! E poi domani lo vedrai...|- Ma no! E poi domani lo vedrai...
mattiapascal_10_pirandello_f000357|Disse proprio così: vedrai.|Disse proprio così: vedrai.
mattiapascal_10_pirandello_f000358|Dunque gli dava del tu;|Dunque gli dava del tu;
mattiapascal_10_pirandello_f000359|dunque il Papiano (non c'era più dubbio) era l'amante della signorina Caporale...|dunque il Papiano non c'era più dubbio era l'amante della signorina Caporale...
mattiapascal_10_pirandello_f000360|E come mai, allora, in tutti quei giorni, s'era ella dimostrata così condiscendente con me?|E come mai, allora, in tutti quei giorni, s'era ella dimostrata così condiscendente con me?
mattiapascal_10_pirandello_f000361|La mia curiosità diventò più che mai viva;|La mia curiosità diventò più che mai viva;
mattiapascal_10_pirandello_f000362|ma, quasi a farmelo apposta, quei due si misero a parlare pianissimo.|ma, quasi a farmelo apposta, quei due si misero a parlare pianissimo.
mattiapascal_10_pirandello_f000363|Non potendo più con gli orecchi, cercai d'ajutarmi con gli occhi.|Non potendo più con gli orecchi, cercai d'ajutarmi con gli occhi.
mattiapascal_10_pirandello_f000364|Ed ecco, vidi che la Caporale posava una mano su la spalla di Papiano.|Ed ecco, vidi che la Caporale posava una mano su la spalla di Papiano.
mattiapascal_10_pirandello_f000365|Questi, poco dopo, la respinse sgarbatamente.|Questi, poco dopo, la respinse sgarbatamente.
mattiapascal_10_pirandello_f000366|— Ma come potevo io impedirlo?|- Ma come potevo io impedirlo?
mattiapascal_10_pirandello_f000367|— disse quella, alzando un po' la voce con intensa esasperazione.|- disse quella, alzando un po' la voce con intensa esasperazione.
mattiapascal_10_pirandello_f000368|— Chi sono io?|- Chi sono io?
mattiapascal_10_pirandello_f000369|che rappresento io in questa casa?|che rappresento io in questa casa?
mattiapascal_10_pirandello_f000370|— Chiamami Adriana! — le ordinò quegli allora, imperioso.|- Chiamami Adriana! - le ordinò quegli allora, imperioso.
mattiapascal_10_pirandello_f000371|Sentendo proferire il nome di Adriana con quel tono, strinsi le pugna e sentii frizzarmi il sangue per le vene.|Sentendo proferire il nome di Adriana con quel tono, strinsi le pugna e sentii frizzarmi il sangue per le vene.
mattiapascal_10_pirandello_f000372|— Dorme, — disse la Caporale.|- Dorme, - disse la Caporale.
mattiapascal_10_pirandello_f000373|E colui, fosco, minaccioso : — Va' a svegliarla! subito! Non so come mi trattenni dallo spalancar di furia la persiana.|E colui, fosco, minaccioso : - Va' a svegliarla! subito! Non so come mi trattenni dallo spalancar di furia la persiana.
mattiapascal_10_pirandello_f000374|Lo sforzo che feci per impormi quel freno, mi richiamò intanto in me stesso per un momento.|Lo sforzo che feci per impormi quel freno, mi richiamò intanto in me stesso per un momento.
mattiapascal_10_pirandello_f000375|Le medesime parole, che aveva or ora proferite con tanta esasperazione quella povera donna, mi vennero alle labbra: «Chi sono io?|Le medesime parole, che aveva or ora proferite con tanta esasperazione quella povera donna, mi vennero alle labbra: Chi sono io?
mattiapascal_10_pirandello_f000376|che rappresento io in questa casa?|che rappresento io in questa casa?
mattiapascal_10_pirandello_f000377|Mi ritrassi dalla finestra.|Mi ritrassi dalla finestra.
mattiapascal_10_pirandello_f000378|Subito però mi sovvenne la scusa che io ero pure in ballo lì: parlavano di me, quei due|Subito però mi sovvenne la scusa che io ero pure in ballo lì: parlavano di me, quei due
mattiapascal_10_pirandello_f000379|e quell'uomo voleva ancora parlarne con Adriana: dovevo sapere, conoscere i sentimenti di colui a mio riguardo.|e quell'uomo voleva ancora parlarne con Adriana: dovevo sapere, conoscere i sentimenti di colui a mio riguardo.
mattiapascal_10_pirandello_f000380|La facilità però con cui accolsi questa scusa per la indelicatezza che commettevo spiando e origliando così nascosto, mi fece sentire|La facilità però con cui accolsi questa scusa per la indelicatezza che commettevo spiando e origliando così nascosto, mi fece sentire
mattiapascal_10_pirandello_f000381|intravedere ch'io ponevo innanzi il mio proprio interesse per impedirmi di assumer coscienza di quello ben più vivo che un'altra mi destava in quel momento.|intravedere ch'io ponevo innanzi il mio proprio interesse per impedirmi di assumer coscienza di quello ben più vivo che un'altra mi destava in quel momento.
mattiapascal_10_pirandello_f000382|Tornai a guardare attraverso le stecche della persiana.|Tornai a guardare attraverso le stecche della persiana.
mattiapascal_10_pirandello_f000383|La Caporale non era più nel terrazzino.|La Caporale non era più nel terrazzino.
mattiapascal_10_pirandello_f000384|L'altro, rimasto solo, s'era messo a guardare il fiume appoggiato con tutti e due i gomiti sul parapetto e la testa tra le mani.|L'altro, rimasto solo, s'era messo a guardare il fiume appoggiato con tutti e due i gomiti sul parapetto e la testa tra le mani.
mattiapascal_10_pirandello_f000385|In preda a un'ansia smaniosa, attesi, curvo, stringendomi forte con le mani i ginocchi, che Adriana si facesse al terrazzino.|In preda a un'ansia smaniosa, attesi, curvo, stringendomi forte con le mani i ginocchi, che Adriana si facesse al terrazzino.
mattiapascal_10_pirandello_f000386|La lunga attesa non mi stancò affatto, anzi mi sollevò man mano, mi procurò una viva e crescente soddisfazione: supposi che Adriana|La lunga attesa non mi stancò affatto, anzi mi sollevò man mano, mi procurò una viva e crescente soddisfazione: supposi che Adriana
mattiapascal_10_pirandello_f000387|di là, non volesse arrendersi alla prepotenza di quel villano.|di là, non volesse arrendersi alla prepotenza di quel villano.
mattiapascal_10_pirandello_f000388|Forse la Caporale la pregava a mani giunte.|Forse la Caporale la pregava a mani giunte.
mattiapascal_10_pirandello_f000389|Ed ecco, intanto, colui, là nel terrazzino, si rodeva dal dispetto.|Ed ecco, intanto, colui, là nel terrazzino, si rodeva dal dispetto.
mattiapascal_10_pirandello_f000390|Sperai, a un certo punto, che la maestra venisse a dire che Adriana non aveva voluto levarsi.|Sperai, a un certo punto, che la maestra venisse a dire che Adriana non aveva voluto levarsi.
mattiapascal_10_pirandello_f000391|Ma no: eccola! Papiano le andò subito incontro.|Ma no: eccola! Papiano le andò subito incontro.
mattiapascal_10_pirandello_f000392|— Lei vada a letto! — intimò alla signorina Caporale.|- Lei vada a letto! - intimò alla signorina Caporale.
mattiapascal_10_pirandello_f000393|— Mi lasci parlare con mia cognata.|- Mi lasci parlare con mia cognata.
mattiapascal_10_pirandello_f000394|Quella ubbidì, e allora Papiano fece per chiudere le imposte tra la sala da pranzo e il terrazzino.|Quella ubbidì, e allora Papiano fece per chiudere le imposte tra la sala da pranzo e il terrazzino.
mattiapascal_10_pirandello_f000395|— Nient'affatto! — disse Adriana, tendendo un braccio contro l'imposta.|- Nient'affatto! - disse Adriana, tendendo un braccio contro l'imposta.
mattiapascal_10_pirandello_f000396|— Ma io ho da parlarti! — inveì il cognato, con fosca maniera, sforzandosi di parlar basso.|- Ma io ho da parlarti! - inveì il cognato, con fosca maniera, sforzandosi di parlar basso.
mattiapascal_10_pirandello_f000397|— Parla così! Che vuoi dirmi?|- Parla così! Che vuoi dirmi?
mattiapascal_10_pirandello_f000398|— riprese Adriana.|- riprese Adriana.
mattiapascal_10_pirandello_f000399|— Avresti potuto aspettare fino a domani.|- Avresti potuto aspettare fino a domani.
mattiapascal_10_pirandello_f000400|— No! ora! — ribatté quegli, afferrandole un braccio e attirandola a sé.|- No! ora! - ribatté quegli, afferrandole un braccio e attirandola a sé.
mattiapascal_10_pirandello_f000401|— Insomma! — gridò Adriana, svincolandosi fieramente.|- Insomma! - gridò Adriana, svincolandosi fieramente.
mattiapascal_10_pirandello_f000402|Non mi potei più reggere: aprii la persiana.|Non mi potei più reggere: aprii la persiana.
mattiapascal_10_pirandello_f000403|— Oh! signor Meis! — chiamò ella subito.|- Oh! signor Meis! - chiamò ella subito.
mattiapascal_10_pirandello_f000404|— Vuol venire un po' qua, se non le dispiace?|- Vuol venire un po' qua, se non le dispiace?
mattiapascal_10_pirandello_f000405|— Eccomi, signorina! — m'affrettai a rispondere.|- Eccomi, signorina! - m'affrettai a rispondere.
mattiapascal_10_pirandello_f000406|Il cuore mi balzò in petto dalla gioja, dalla riconoscenza: d'un salto, fui nel corridojo: ma lì|Il cuore mi balzò in petto dalla gioja, dalla riconoscenza: d'un salto, fui nel corridojo: ma lì
mattiapascal_10_pirandello_f000407|presso l'uscio della mia camera, trovai quasi asserpolato su un baule un giovane smilzo|presso l'uscio della mia camera, trovai quasi asserpolato su un baule un giovane smilzo
mattiapascal_10_pirandello_f000408|biondissimo, dal volto lungo lungo, diafano, che apriva a malapena un pajo d'occhi azzurri|biondissimo, dal volto lungo lungo, diafano, che apriva a malapena un pajo d'occhi azzurri
mattiapascal_10_pirandello_f000409|languidi, attoniti: m'arrestai un momento, sorpreso, a guardarlo;|languidi, attoniti: m'arrestai un momento, sorpreso, a guardarlo;
mattiapascal_10_pirandello_f000410|pensai che fosse il fratello di Papiano;|pensai che fosse il fratello di Papiano;
mattiapascal_10_pirandello_f000411|corsi al terrazzino.|corsi al terrazzino.
mattiapascal_10_pirandello_f000412|— Le presento, signor Meis, — disse Adriana, — mio cognato Terenzio Papiano, arrivato or ora da Napoli.|- Le presento, signor Meis, - disse Adriana, - mio cognato Terenzio Papiano, arrivato or ora da Napoli.
mattiapascal_10_pirandello_f000413|— Felicissimo! Fortunatissimo! — esclamò quegli, scoprendosi, strisciando una riverenza, e stringendomi calorosamente la mano.|- Felicissimo! Fortunatissimo! - esclamò quegli, scoprendosi, strisciando una riverenza, e stringendomi calorosamente la mano.
mattiapascal_10_pirandello_f000414|— Mi dispiace ch'io sia stato tutto questo tempo assente da Roma;|- Mi dispiace ch'io sia stato tutto questo tempo assente da Roma;
mattiapascal_10_pirandello_f000415|ma son sicuro che la mia cognatina avrà saputo provvedere a tutto, è vero?|ma son sicuro che la mia cognatina avrà saputo provvedere a tutto, è vero?
mattiapascal_10_pirandello_f000416|Se le mancasse qualche cosa, dica, dica tutto, sa! Se le bisognasse, per esempio, una scrivania più ampia...|Se le mancasse qualche cosa, dica, dica tutto, sa! Se le bisognasse, per esempio, una scrivania più ampia...
mattiapascal_10_pirandello_f000417|o qualche altro oggetto, dica senza cerimonie...|o qualche altro oggetto, dica senza cerimonie...
mattiapascal_10_pirandello_f000418|A noi piace accontentare gli ospiti che ci onorano.|A noi piace accontentare gli ospiti che ci onorano.
mattiapascal_10_pirandello_f000419|— Grazie, grazie, — dissi io.|- Grazie, grazie, - dissi io.
mattiapascal_10_pirandello_f000420|— Non mi manca proprio nulla. Grazie.|- Non mi manca proprio nulla. Grazie.
mattiapascal_10_pirandello_f000421|— Ma dovere, che c'entra! E si avvalga pure di me, sa, in tutte le sue opportunità, per quel poco che posso valere...|- Ma dovere, che c'entra! E si avvalga pure di me, sa, in tutte le sue opportunità, per quel poco che posso valere...
mattiapascal_10_pirandello_f000422|Adriana, figliuola mia, tu dormivi: ritorna pure a letto, se vuoi...|Adriana, figliuola mia, tu dormivi: ritorna pure a letto, se vuoi...
mattiapascal_10_pirandello_f000423|— Eh, tanto, — fece Adriana, sorridendo mestamente, — ora che mi son levata...|- Eh, tanto, - fece Adriana, sorridendo mestamente, - ora che mi son levata...
mattiapascal_10_pirandello_f000424|E s'appressò al parapetto, a guardare il fiume.|E s'appressò al parapetto, a guardare il fiume.
mattiapascal_10_pirandello_f000425|Sentii ch'ella non voleva lasciarmi solo con colui.|Sentii ch'ella non voleva lasciarmi solo con colui.
mattiapascal_10_pirandello_f000426|Di che temeva?|Di che temeva?
mattiapascal_10_pirandello_f000427|Rimase lì, assorta, mentre l'altro, col cappello ancora in mano, mi parlava di Napoli|Rimase lì, assorta, mentre l'altro, col cappello ancora in mano, mi parlava di Napoli
mattiapascal_10_pirandello_f000428|dove aveva dovuto trattenersi più tempo che non avesse preveduto|dove aveva dovuto trattenersi più tempo che non avesse preveduto
mattiapascal_10_pirandello_f000429|per copiare un gran numero di documenti dell'archivio privato dell'eccellentissima duchessa donna Teresa Ravaschieri Fieschi: Mamma Duchessa|per copiare un gran numero di documenti dell'archivio privato dell'eccellentissima duchessa donna Teresa Ravaschieri Fieschi: Mamma Duchessa
mattiapascal_10_pirandello_f000430|come tutti la chiamavano, Mamma Carità|come tutti la chiamavano, Mamma Carità
mattiapascal_10_pirandello_f000431|com'egli avrebbe voluto chiamarla: documenti di straordinario valore|com'egli avrebbe voluto chiamarla: documenti di straordinario valore
mattiapascal_10_pirandello_f000432|che avrebbero recato nuova luce su la fine del regno delle due Sicilie e segnatamente su la figura di Gaetano Filangieri|che avrebbero recato nuova luce su la fine del regno delle due Sicilie e segnatamente su la figura di Gaetano Filangieri
mattiapascal_10_pirandello_f000433|principe di Satriano, che il marchese Giglio, don Ignazio Giglio d'Auletta, di cui egli|principe di Satriano, che il marchese Giglio, don Ignazio Giglio d'Auletta, di cui egli
mattiapascal_10_pirandello_f000434|Papiano, era segretario, intendeva illustrare in una biografia minuta e sincera.|Papiano, era segretario, intendeva illustrare in una biografia minuta e sincera.
mattiapascal_10_pirandello_f000435|Sincera almeno quanto la devozione e la fedeltà ai Borboni avrebbero al signor marchese consentito.|Sincera almeno quanto la devozione e la fedeltà ai Borboni avrebbero al signor marchese consentito.
mattiapascal_10_pirandello_f000436|Non la finì più. Godeva certo della propria loquela, dava alla voce, parlando,|Non la finì più. Godeva certo della propria loquela, dava alla voce, parlando,
mattiapascal_10_pirandello_f000437|inflessioni da provetto filodrammatico, e qua appoggiava una risatina e là un gesto espressivo.|inflessioni da provetto filodrammatico, e qua appoggiava una risatina e là un gesto espressivo.
mattiapascal_10_pirandello_f000438|Ero rimasto intronato, come un ceppo d'incudine|Ero rimasto intronato, come un ceppo d'incudine
