tschun_01_f000001|Tschun war ein schmutziger kleiner chinesischer Junge.|Tschun war ein schmutziger kleiner chinesischer Junge.
tschun_14_f000077|Meinst Du aber etwa nur die augenblicklichen äußeren Folgen: nun, damals blieben schließlich die Fremden Sieger – und so wird es vermutlich auch hier bei diesen gehen.|Meinst Du aber etwa nur die augenblicklichen äußeren Folgen: nun, damals blieben schließlich die Fremden Sieger - und so wird es vermutlich auch hier bei diesen gehen.
tschun_14_f000078|So glaubt Ihr natürlich auch nicht an die Wunder der I ho Chüan? sagte Tschun erfreut über des Alten tröstliche Prophezeiung.|So glaubt Ihr natürlich auch nicht an die Wunder der I ho Chüan? sagte Tschun erfreut über des Alten tröstliche Prophezeiung.
tschun_14_f000079|Ich glaube an viel größere Wunder, antwortete der Einsiedler ernst, und in meinem Lande könntest Du heilige Männer sehen,|Ich glaube an viel größere Wunder, antwortete der Einsiedler ernst, und in meinem Lande könntest Du heilige Männer sehen,
tschun_14_f000080|die, in tiefer Weltabgeschiedenheit, viel schwierigere und rätselhaftere Dinge zu vollbringen imstande sind – aber zu solchem Tun,|die, in tiefer Weltabgeschiedenheit, viel schwierigere und rätselhaftere Dinge zu vollbringen imstande sind - aber zu solchem Tun,
tschun_14_f000081|wie diese wilden Horden hier vorhaben, leihen die Überirdischen nicht ihre Kräfte.|wie diese wilden Horden hier vorhaben, leihen die Überirdischen nicht ihre Kräfte.
tschun_14_f000082|Wieder versank der Alte in träumendes Sinnen. Doch Tschun, den nach Tatsachen dürstete, frug nach einer Weile:|Wieder versank der Alte in träumendes Sinnen. Doch Tschun, den nach Tatsachen dürstete, frug nach einer Weile:
tschun_14_f000083|Aber sagt mir, heiliger Mann, wie kommt es, daß Ihr selbst jetzt bei beginnendem Sommer hier in der Stadt seid?|Aber sagt mir, heiliger Mann, wie kommt es, daß Ihr selbst jetzt bei beginnendem Sommer hier in der Stadt seid?
tschun_14_f000084|Ich dachte, da wärt Ihr längst draußen in Eurem Tempel?|Ich dachte, da wärt Ihr längst draußen in Eurem Tempel?
tschun_14_f000085|Ich war auch schon hinausgezogen in die Berge, antwortete der Alte, aber es ist ja niemand mehr dort, der mir mein bißchen Nahrung brächte.|Ich war auch schon hinausgezogen in die Berge, antwortete der Alte, aber es ist ja niemand mehr dort, der mir mein bißchen Nahrung brächte.
tschun_14_f000086|Niemand mehr dort? wiederholte Tschun erstaunt.|Niemand mehr dort? wiederholte Tschun erstaunt.
tschun_14_f000087|Viele der Mönche und Priester haben die Tempel verlassen, erzählte der Inder, sie ziehen mit den Aufrührern und feuern sie an zu ihren schlimmen Taten – ach,|Viele der Mönche und Priester haben die Tempel verlassen, erzählte der Inder, sie ziehen mit den Aufrührern und feuern sie an zu ihren schlimmen Taten - ach,
tschun_14_f000088|was sind das für Zeiten, wo heilige Männer zu solch verruchten Dingen aneifern, statt einzig das Versenken in sündlose Beschaulichkeit zu lehren.|was sind das für Zeiten, wo heilige Männer zu solch verruchten Dingen aneifern, statt einzig das Versenken in sündlose Beschaulichkeit zu lehren.
tschun_14_f000089|Ja, aber die Dorfleute? und vor allem Mahan?|Ja, aber die Dorfleute? und vor allem Mahan?
tschun_14_f000090|Ach siehst Du, die sorgten für mich in den guten Jahren, wo sie genug Regen hatten, weil sie sich eingeredet hatten,|Ach siehst Du, die sorgten für mich in den guten Jahren, wo sie genug Regen hatten, weil sie sich eingeredet hatten,
tschun_14_f000091|den schicke ich ihnen aus den Wolken, die ja so oft mein Tempelchen oben auf der Bergspitze ganz dicht umhüllten.|den schicke ich ihnen aus den Wolken, die ja so oft mein Tempelchen oben auf der Bergspitze ganz dicht umhüllten.
tschun_14_f000092|Aber es will ja schon lange gar nicht mehr regnen, und die Dürre dies Jahr ist schlimmer denn je zuvor.|Aber es will ja schon lange gar nicht mehr regnen, und die Dürre dies Jahr ist schlimmer denn je zuvor.
tschun_14_f000093|Dadurch sind viele Menschen arm geworden, und es gibt sogar solche, die ihre Kinder um ein paar Kupfermünzen verkaufen.|Dadurch sind viele Menschen arm geworden, und es gibt sogar solche, die ihre Kinder um ein paar Kupfermünzen verkaufen.
tschun_14_f000094|All das Elend schieben die Leute auf die Gegenwart der Fremden im Lande.|All das Elend schieben die Leute auf die Gegenwart der Fremden im Lande.
tschun_14_f000095|Auch gegen mich richtete sich ihr Zorn und sie begannen zu sagen, wenn meine Gebete so wenig taugten,|Auch gegen mich richtete sich ihr Zorn und sie begannen zu sagen, wenn meine Gebete so wenig taugten,
tschun_14_f000096|daß ich die böse Macht der Fremden nicht zu entkräften vermöchte, dann lohne es sich auch nicht, mir noch Essen zu bringen.|daß ich die böse Macht der Fremden nicht zu entkräften vermöchte, dann lohne es sich auch nicht, mir noch Essen zu bringen.
tschun_14_f000097|Da sei es schon besser, alles den I ho Chüan zu geben, die versprächen, die Fremden zu vernichten, und dann würde es auch bestimmt wieder regnen.|Da sei es schon besser, alles den I ho Chüan zu geben, die versprächen, die Fremden zu vernichten, und dann würde es auch bestimmt wieder regnen.
tschun_14_f000098|Niemand kam mehr hinauf zu mir und ich lebte von Wurzeln, die ich ausgrub.|Niemand kam mehr hinauf zu mir und ich lebte von Wurzeln, die ich ausgrub.
tschun_14_f000099|Dann hörte ich, Mahan, mein einstmaliger kleiner Ernährer, sei fortgezogen mit den Aufrührern.|Dann hörte ich, Mahan, mein einstmaliger kleiner Ernährer, sei fortgezogen mit den Aufrührern.
tschun_14_f000100|Schließlich bin ich in die Stadt gewandert, ich dachte, hier würde ich eher mal eine mitleidige Seele finden, die mir etwas gäbe.|Schließlich bin ich in die Stadt gewandert, ich dachte, hier würde ich eher mal eine mitleidige Seele finden, die mir etwas gäbe.
tschun_14_f000101|Aber damit ist es spärlich bestellt, und obschon ich aus Gautamas Land bin, den sie doch hier anzubeten vorgeben,|Aber damit ist es spärlich bestellt, und obschon ich aus Gautamas Land bin, den sie doch hier anzubeten vorgeben,
tschun_14_f000102|fangen sie an, mich zu vertreiben und fremden Teufel zu schimpfen.|fangen sie an, mich zu vertreiben und fremden Teufel zu schimpfen.
tschun_14_f000103|Der Einsiedler sah so kümmerlich und verfallen aus, daß es Tschun dauerte, und er sagte:|Der Einsiedler sah so kümmerlich und verfallen aus, daß es Tschun dauerte, und er sagte:
tschun_14_f000104|Ich bete zwar nicht zu Gautama, aber solltet Ihr je in die Gegend der Stadt kommen, wo ich jetzt bei meiner Mutter wohne,|Ich bete zwar nicht zu Gautama, aber solltet Ihr je in die Gegend der Stadt kommen, wo ich jetzt bei meiner Mutter wohne,
tschun_14_f000105|so würde es mich freuen, wenn Eure ehrwürdigen Füße unsere Schwelle überschreiten wollten und ich Eurem Alter etwas Nahrung anbieten dürfte.|so würde es mich freuen, wenn Eure ehrwürdigen Füße unsere Schwelle überschreiten wollten und ich Eurem Alter etwas Nahrung anbieten dürfte.
tschun_14_f000106|Er beschrieb dem Alten die Lage seines Häuschens. Dann trennten sie sich.|Er beschrieb dem Alten die Lage seines Häuschens. Dann trennten sie sich.
tschun_14_f000107|Und während im Westen die Sonne mit blutrotem Scheine in den dichten Staubdunst sank, der über der endlosen Ebene lagerte,|Und während im Westen die Sonne mit blutrotem Scheine in den dichten Staubdunst sank, der über der endlosen Ebene lagerte,
tschun_14_f000108|stieg Tschun den Weg von der Mauer hinab zu der dämmernden Stadt.|stieg Tschun den Weg von der Mauer hinab zu der dämmernden Stadt.
tschun_14_f000109|Unten in den Straßen drängten sich die Menschen um die offenen Garküchen, deren brodelnde Gerichte einen scharfen Geruch von brenzligem Fett verbreiteten.|Unten in den Straßen drängten sich die Menschen um die offenen Garküchen, deren brodelnde Gerichte einen scharfen Geruch von brenzligem Fett verbreiteten.
tschun_14_f000110|Herumziehende Verkäufer boten ihre Waren mit weithin hallenden Rufen aus. Tschun aber schob sich eilend durch das Gewühl der Leute, denn er sollte noch zu Sin schen kommen.|Herumziehende Verkäufer boten ihre Waren mit weithin hallenden Rufen aus. Tschun aber schob sich eilend durch das Gewühl der Leute, denn er sollte noch zu Sin schen kommen.
tschun_14_f000111|Als er eintrat, fand er die beiden Ältesten der Familie, Lin te i und Yang hung, bei dem Vetter.|Als er eintrat, fand er die beiden Ältesten der Familie, Lin te i und Yang hung, bei dem Vetter.
tschun_14_f000112|Sin schen erzählte ihnen eben sehr erregt: Die Dinge schreiten mächtig weiter.|Sin schen erzählte ihnen eben sehr erregt: Die Dinge schreiten mächtig weiter.
tschun_14_f000113|Die Peking-Paoting-fu-Bahn ist zerstört, alles dort soll brennen.|Die Peking-Paoting-fu-Bahn ist zerstört, alles dort soll brennen.
tschun_14_f000114|Und eine Menge I ho Chüan sind schon in der Stadt. Prinz Tuan, sein Bruder der Herzog Lan und viele andere beherbergen sie in ihren Yamen.|Und eine Menge I ho Chüan sind schon in der Stadt. Prinz Tuan, sein Bruder der Herzog Lan und viele andere beherbergen sie in ihren Yamen.
tschun_14_f000115|Große Scharen von ihnen sind aber auch draußen beim Sommerpalast versammelt, wo die Kaiserin jetzt weilt.|Große Scharen von ihnen sind aber auch draußen beim Sommerpalast versammelt, wo die Kaiserin jetzt weilt.
tschun_14_f000116|General Tung fu hsiang, der dort in der Gegend mit seinen wilden Kansutruppen steht und den Sommerpalast bewacht,|General Tung fu hsiang, der dort in der Gegend mit seinen wilden Kansutruppen steht und den Sommerpalast bewacht,
tschun_14_f000117|hat sich offen für die Bewegung erklärt, heute will er der göttlichen Mutter draußen eine Vorstellung durch die I ho Chüan geben lassen,|hat sich offen für die Bewegung erklärt, heute will er der göttlichen Mutter draußen eine Vorstellung durch die I ho Chüan geben lassen,
tschun_14_f000118|damit sie sich endlich von der Wahrheit ihrer Wunder überzeuge.|damit sie sich endlich von der Wahrheit ihrer Wunder überzeuge.
tschun_14_f000119|Li lien ying ist auch hinaus, um es zu sehen.|Li lien ying ist auch hinaus, um es zu sehen.
tschun_14_f000120|Oh, wer das auch könnte! riefen die Alten.|Oh, wer das auch könnte! riefen die Alten.
tschun_14_f000121|Sin schen antwortete: Zur Kaiserin kann ich Euch freilich keinen Eintritt verschaffen, aber das gleiche Schauspiel wie sie könntet Ihr haben.|Sin schen antwortete: Zur Kaiserin kann ich Euch freilich keinen Eintritt verschaffen, aber das gleiche Schauspiel wie sie könntet Ihr haben.
tschun_14_f000122|Hier in der Stadt üben die I ho Chüan ja auch, und ich habe die Erlaubnis, heute abend zu einer Vorstellung in eines der Yamen zu kommen und Freunde zum Zuschauen mitzubringen.|Hier in der Stadt üben die I ho Chüan ja auch, und ich habe die Erlaubnis, heute abend zu einer Vorstellung in eines der Yamen zu kommen und Freunde zum Zuschauen mitzubringen.
tschun_14_f000123|Und dann wandte er sich an Tschun:|Und dann wandte er sich an Tschun:
tschun_14_f000124|Dich habe ich eigentlich deswegen rufen lassen, damit Du es siehst und Dich davon überzeugst, daß es mächtigere Geister gibt wie diesen Gott der Fremden,|Dich habe ich eigentlich deswegen rufen lassen, damit Du es siehst und Dich davon überzeugst, daß es mächtigere Geister gibt wie diesen Gott der Fremden,
tschun_14_f000125|der nichts Besseres vermochte, als sich kreuzigen zu lassen.|der nichts Besseres vermochte, als sich kreuzigen zu lassen.
tschun_14_f000126|Es täte mir leid um Dich, wenn Du bei dem kommenden Kampf auf seiner Seite ständest, denn er wird seinen Anhängern nicht gerade viel helfen können. –|Es täte mir leid um Dich, wenn Du bei dem kommenden Kampf auf seiner Seite ständest, denn er wird seinen Anhängern nicht gerade viel helfen können. -
tschun_14_f000127|Den beiden Alten glänzten die Augen vor Erregung; sie waren sofort bereit, das wunderbare Schauspiel zu besuchen.|Den beiden Alten glänzten die Augen vor Erregung; sie waren sofort bereit, das wunderbare Schauspiel zu besuchen.
tschun_14_f000128|Auch Tschun entschloß sich, mitzukommen. Die unheimliche Anziehung war doch größer als das Grauen. Ein Maultierkarren wurde herangeholt, und so fuhren sie schnell davon.|Auch Tschun entschloß sich, mitzukommen. Die unheimliche Anziehung war doch größer als das Grauen. Ein Maultierkarren wurde herangeholt, und so fuhren sie schnell davon.
tschun_14_f000129|Im Hof des Yamen harrte schon eine große Menschenmenge, und all diese Gesichter hatten denselben gespannten Ausdruck.|Im Hof des Yamen harrte schon eine große Menschenmenge, und all diese Gesichter hatten denselben gespannten Ausdruck.
tschun_14_f000130|Es waren allerhand hohe Beamte darunter, und Tschun glaubte, etliche wiederzuerkennen, die er im Sommerpalast gesehen.|Es waren allerhand hohe Beamte darunter, und Tschun glaubte, etliche wiederzuerkennen, die er im Sommerpalast gesehen.
tschun_14_f000131|Daneben gab es auch manche verwahrlost aussehende Gestalten.|Daneben gab es auch manche verwahrlost aussehende Gestalten.
tschun_14_f000132|Leute, die, in der Erwartung des Zusammenbruchs aller Dinge, die Arbeit aufgegeben hatten und dadurch offenbar schon sehr herabgekommen waren.|Leute, die, in der Erwartung des Zusammenbruchs aller Dinge, die Arbeit aufgegeben hatten und dadurch offenbar schon sehr herabgekommen waren.
tschun_14_f000133|Aus den kleinen tückischen Augen aller aber glänzte dieselbe täglich befriedigte und täglich zunehmende Gier nach sich stets steigernden Sensationen.|Aus den kleinen tückischen Augen aller aber glänzte dieselbe täglich befriedigte und täglich zunehmende Gier nach sich stets steigernden Sensationen.
tschun_14_f000134|Eine erhöhte Estrade war in dem weiten Hof errichtet.|Eine erhöhte Estrade war in dem weiten Hof errichtet.
tschun_14_f000135|Ein kleiner Altar erhob sich in der Mitte. Räuchergefäße standen darauf und Götzenbilder.|Ein kleiner Altar erhob sich in der Mitte. Räuchergefäße standen darauf und Götzenbilder.
tschun_14_f000136|An beiden Seiten der Estrade befanden sich die Sitze der besonders bevorzugten Gäste.|An beiden Seiten der Estrade befanden sich die Sitze der besonders bevorzugten Gäste.
tschun_14_f000137|Die wurden nun hingeleitet. Man stellte rote Laternen auf, denn es fing an zu dunkeln.|Die wurden nun hingeleitet. Man stellte rote Laternen auf, denn es fing an zu dunkeln.
tschun_14_f000138|Tschun mußte plötzlich an die Nacht denken, die er einst im Hof des Sommerpalastes zugebracht hatte.|Tschun mußte plötzlich an die Nacht denken, die er einst im Hof des Sommerpalastes zugebracht hatte.
tschun_14_f000139|Es war dieselbe schwüle, erwartungsvolle Stimmung. Nur daß damals die Angst vorgeherrscht hatte, während heute eine grausame Gier von all den Menschen ausströmte.|Es war dieselbe schwüle, erwartungsvolle Stimmung. Nur daß damals die Angst vorgeherrscht hatte, während heute eine grausame Gier von all den Menschen ausströmte.
tschun_14_f000140|Tschun vernahm abgerissene Sätze aus den Gesprächen der immer zahlreicher werdenden Zuschauer.|Tschun vernahm abgerissene Sätze aus den Gesprächen der immer zahlreicher werdenden Zuschauer.
tschun_14_f000141|Es waren Beschuldigungen gegen die Fremden, Aufforderungen, an ihnen Rache zu nehmen.|Es waren Beschuldigungen gegen die Fremden, Aufforderungen, an ihnen Rache zu nehmen.
tschun_14_f000142|Und es wollte ihm dabei scheinen, als schöben sich immerwährend Leute durch die Menge, deren Aufgabe es war,|Und es wollte ihm dabei scheinen, als schöben sich immerwährend Leute durch die Menge, deren Aufgabe es war,
tschun_14_f000143|sie noch aufzuhetzen, Männer, die nach Bonzen und Schriftgelehrten aussahen.|sie noch aufzuhetzen, Männer, die nach Bonzen und Schriftgelehrten aussahen.
tschun_14_f000144|Man hätte den fremden Teufeln nie gestatten sollen, sich bei uns niederzulassen.|Man hätte den fremden Teufeln nie gestatten sollen, sich bei uns niederzulassen.
tschun_14_f000145|Sicher nicht, das war ein großer Fehler. Wir waren eben viel zu nachsichtig gegen sie, und sie haben diese Nachsicht für Schwäche gehalten und haben sie mißbraucht.|Sicher nicht, das war ein großer Fehler. Wir waren eben viel zu nachsichtig gegen sie, und sie haben diese Nachsicht für Schwäche gehalten und haben sie mißbraucht.
tschun_14_f000146|Und den ärgsten Fehler hat der Kaiser Kangschi begangen, als er ihnen erlaubte, ihre Religion bei uns zu verbreiten.|Und den ärgsten Fehler hat der Kaiser Kangschi begangen, als er ihnen erlaubte, ihre Religion bei uns zu verbreiten.
tschun_14_f000147|Wir brauchen sie nicht, diese Barbaren, die die Lehren unserer Weisen nicht kennen und unsere Sitten mißachten.|Wir brauchen sie nicht, diese Barbaren, die die Lehren unserer Weisen nicht kennen und unsere Sitten mißachten.
tschun_14_f000148|Täglich haben sie uns durch ihr ungeschlachtes Wesen verletzt, keine Zeremonie beobachten sie.|Täglich haben sie uns durch ihr ungeschlachtes Wesen verletzt, keine Zeremonie beobachten sie.
tschun_14_f000149|Und dabei bilden sie sich noch ein, alles besser zu wissen!|Und dabei bilden sie sich noch ein, alles besser zu wissen!
tschun_14_f000150|Aber zaubern, das können sie doch! Ja, das Wetter haben sie behext! Sie sind schuld an allem Übel, das uns seit langem befällt.|Aber zaubern, das können sie doch! Ja, das Wetter haben sie behext! Sie sind schuld an allem Übel, das uns seit langem befällt.
tschun_14_f000151|Ja, unsere Götter zürnen, daß wir sie dulden. Wenn wir sie vertreiben, wird alles wieder gut werden.|Ja, unsere Götter zürnen, daß wir sie dulden. Wenn wir sie vertreiben, wird alles wieder gut werden.
tschun_14_f000152|Und jetzt können wir’s, jetzt sind wir stärker als sie!|Und jetzt können wirs, jetzt sind wir stärker als sie!
tschun_14_f000153|Jetzt haben wir die I ho Chüan! Ihr Zauber ist mächtiger als der der Fremden, die sollen sie ins Meer werfen! Oder besser, gleich verbrennen.|Jetzt haben wir die I ho Chüan! Ihr Zauber ist mächtiger als der der Fremden, die sollen sie ins Meer werfen! Oder besser, gleich verbrennen.
tschun_14_f000154|Brennen, brennen, das ist am sichersten. Und nicht nur sie, vor allem auch die Teufel zweiten Grades! Alle, die zu ihnen halten! Alle, alle! Töten! Töten!|Brennen, brennen, das ist am sichersten. Und nicht nur sie, vor allem auch die Teufel zweiten Grades! Alle, die zu ihnen halten! Alle, alle! Töten! Töten!
tschun_14_f000155|Doch jetzt öffneten sich die Tore einer großen Halle, die im Hintergrund den Abschluß des Hofes bildete. Man sah, daß es drinnen von Menschen wimmelte.|Doch jetzt öffneten sich die Tore einer großen Halle, die im Hintergrund den Abschluß des Hofes bildete. Man sah, daß es drinnen von Menschen wimmelte.
tschun_14_f000156|Da sind sie! Da kommen die I ho Chüan! ging es durch die Menge.|Da sind sie! Da kommen die I ho Chüan! ging es durch die Menge.
tschun_14_f000157|Was aber zuerst aus der Halle strömte, erschien Tschun nicht sonderlich beängstigend.|Was aber zuerst aus der Halle strömte, erschien Tschun nicht sonderlich beängstigend.
tschun_14_f000158|Eine Schar halbwüchsiger Knaben war es. In rhythmischer Gangweise schritten sie heran, mit seltsam verschränkten Armen,|Eine Schar halbwüchsiger Knaben war es. In rhythmischer Gangweise schritten sie heran, mit seltsam verschränkten Armen,
tschun_14_f000159|künstlich verrenkte Stellungen einnehmend, die sie wie ausgeschnittene Silhouettenbilder immer im Profil erscheinen ließen.|künstlich verrenkte Stellungen einnehmend, die sie wie ausgeschnittene Silhouettenbilder immer im Profil erscheinen ließen.
tschun_14_f000160|Und wieder mußte Tschun an den Sommerpalast denken und an die Bewegungen der jugendlichen Bogenschützen des Kriegsgottes, unter denen auch er dort im Theater mitgewirkt hatte.|Und wieder mußte Tschun an den Sommerpalast denken und an die Bewegungen der jugendlichen Bogenschützen des Kriegsgottes, unter denen auch er dort im Theater mitgewirkt hatte.
tschun_14_f000161|Zuerst war es nur ein allgemeiner Eindruck, eine verschwommene Erinnerung, aber wie die Knaben nun näher herankamen,|Zuerst war es nur ein allgemeiner Eindruck, eine verschwommene Erinnerung, aber wie die Knaben nun näher herankamen,
tschun_14_f000162|um durch die Menge zur Estrade zu gelangen, blieben Tschuns Augen wie gebannt auf einem von ihnen haften.|um durch die Menge zur Estrade zu gelangen, blieben Tschuns Augen wie gebannt auf einem von ihnen haften.
tschun_14_f000163|Ja, er täuschte sich nicht – das war er wirklich! Der kleine Mahan von damals!|Ja, er täuschte sich nicht - das war er wirklich! Der kleine Mahan von damals!
tschun_14_f000164|Länger in die Höhe geschossen, magerer und unkindlicher geworden, aber doch Mahan! Als er ihm ganz nahe gekommen, versuchte Tschun ihm ein Zeichen zu machen.|Länger in die Höhe geschossen, magerer und unkindlicher geworden, aber doch Mahan! Als er ihm ganz nahe gekommen, versuchte Tschun ihm ein Zeichen zu machen.
tschun_14_f000165|Aber Mahan erwiderte es nicht, hatte es wohl gar nicht gesehen.|Aber Mahan erwiderte es nicht, hatte es wohl gar nicht gesehen.
tschun_14_f000166|Sah er überhaupt, sahen seine Gefährten etwas von dem, was nicht sie selbst war?|Sah er überhaupt, sahen seine Gefährten etwas von dem, was nicht sie selbst war?
tschun_14_f000167|Tschun beobachtete sie jetzt genauer; bei jedem Schritt warfen sie die Oberkörper herum, als seien sie von den Hüften ganz losgelöst.|Tschun beobachtete sie jetzt genauer; bei jedem Schritt warfen sie die Oberkörper herum, als seien sie von den Hüften ganz losgelöst.
tschun_14_f000168|Das hatte etwas Gewaltsames, Krampfhaftes. Und krampfhaft gezogen waren auch die Gesichter, mit den ganz stieren Augen, die nichts zu sehen schienen.|Das hatte etwas Gewaltsames, Krampfhaftes. Und krampfhaft gezogen waren auch die Gesichter, mit den ganz stieren Augen, die nichts zu sehen schienen.
tschun_14_f000169|Nur die Lippen bewegten sich unablässig in einem beständigen eintönigen Murmeln.|Nur die Lippen bewegten sich unablässig in einem beständigen eintönigen Murmeln.
tschun_14_f000170|Auf den Stirnen standen ihnen große Tropfen. Die Menge, die jetzt ganz lautlos geworden, starrte ihnen nach.|Auf den Stirnen standen ihnen große Tropfen. Die Menge, die jetzt ganz lautlos geworden, starrte ihnen nach.
tschun_14_f000171|Das sind Geister, hörte Tschun dicht neben sich einen derer murmeln, die sich beständig durch die Reihen schoben.|Das sind Geister, hörte Tschun dicht neben sich einen derer murmeln, die sich beständig durch die Reihen schoben.
tschun_14_f000172|Sie bahnen den I ho Chüan den Weg! Sie wissen, ohne zu sehen, wo große Teufel und Teufel zweiten Grades sich verbergen!|Sie bahnen den I ho Chüan den Weg! Sie wissen, ohne zu sehen, wo große Teufel und Teufel zweiten Grades sich verbergen!
tschun_14_f000173|Zu ihren Häusern werden sie durch tiefste Nacht die I ho Chüan führen! Sie werden die Stellen bezeichnen, wo die Feuer entzündet werden müssen!|Zu ihren Häusern werden sie durch tiefste Nacht die I ho Chüan führen! Sie werden die Stellen bezeichnen, wo die Feuer entzündet werden müssen!
tschun_14_f000174|Blutrot wehte es jetzt über den Häuptern der Menge durch die Luft.|Blutrot wehte es jetzt über den Häuptern der Menge durch die Luft.
tschun_14_f000175|Das waren die I-ho-Chüan-Banner mit ihren berüchtigten Sprüchen.|Das waren die I-ho-Chüan-Banner mit ihren berüchtigten Sprüchen.
tschun_14_f000176|Dräuend, im tiefsten Schwarz, standen die riesigen Schriftzeichen gegen das flammende Rot.|Dräuend, im tiefsten Schwarz, standen die riesigen Schriftzeichen gegen das flammende Rot.
tschun_14_f000177|Und dann kamen sie selbst, die Unverwundbaren! Ganz wie Tschun es nun schon oft hatte beschreiben hören, waren sie gekleidet;|Und dann kamen sie selbst, die Unverwundbaren! Ganz wie Tschun es nun schon oft hatte beschreiben hören, waren sie gekleidet;
tschun_14_f000178|mit roten Gürteln über losen schwarzen Jacken und roten Tüchern um die Köpfe gewickelt.|mit roten Gürteln über losen schwarzen Jacken und roten Tüchern um die Köpfe gewickelt.
tschun_14_f000179|Und wilde Gesichter blickten unter diesen feurigen Umrahmungen hervor, und bei manchen war dieser Ausdruck des Grausigen noch erhöht durch dicke Farbenstriche.|Und wilde Gesichter blickten unter diesen feurigen Umrahmungen hervor, und bei manchen war dieser Ausdruck des Grausigen noch erhöht durch dicke Farbenstriche.
tschun_14_f000180|So erinnerten sie Tschun an die Bilder phantastischer Raubtiere, mit denen Umfassungsmauern bemalt werden, um böse Geister durch noch Böseres zu verscheuchen.|So erinnerten sie Tschun an die Bilder phantastischer Raubtiere, mit denen Umfassungsmauern bemalt werden, um böse Geister durch noch Böseres zu verscheuchen.
tschun_14_f000181|Eine unheimlich gefährliche Rotte bildeten die schaurigen Gestalten, obschon sie als Waffen nur große Messer, Knüppel und einige veraltete Büchsen bei sich führten.|Eine unheimlich gefährliche Rotte bildeten die schaurigen Gestalten, obschon sie als Waffen nur große Messer, Knüppel und einige veraltete Büchsen bei sich führten.
tschun_14_f000182|Unheimlich durch den grausam-stieren Ausdruck ihrer teuflisch verzerrten Gesichter, gefährlich durch den dem Irrsinn so nahe verwandten fanatischen Glauben an sich selbst.|Unheimlich durch den grausam-stieren Ausdruck ihrer teuflisch verzerrten Gesichter, gefährlich durch den dem Irrsinn so nahe verwandten fanatischen Glauben an sich selbst.
tschun_15_f000001|Dumpfe Gongschläge dröhnten, als sie auf der Estrade anlangten.|Dumpfe Gongschläge dröhnten, als sie auf der Estrade anlangten.
tschun_15_f000002|Räucherkerzen glommen und vermischten schwelend ihren benebelnden Duft mit dem Geruch von Staub, Fett,|Räucherkerzen glommen und vermischten schwelend ihren benebelnden Duft mit dem Geruch von Staub, Fett,
tschun_15_f000003|Knoblauch und heißen Menschenleibern, der über dem dichtgefüllten Hof, ja über der ganzen Stadt in beklemmender Dunstschicht lagerte.|Knoblauch und heißen Menschenleibern, der über dem dichtgefüllten Hof, ja über der ganzen Stadt in beklemmender Dunstschicht lagerte.
tschun_15_f000004|Und nun warfen sich die I ho Chüan vor dem Altar nieder, dreimal den Boden mit den rotumwundenen Köpfen berührend.|Und nun warfen sich die I ho Chüan vor dem Altar nieder, dreimal den Boden mit den rotumwundenen Köpfen berührend.
tschun_15_f000005|Dann sprangen sie auf, und man hörte sie mit rauhen Stimmen ihre Beschwörungsformeln rufen.|Dann sprangen sie auf, und man hörte sie mit rauhen Stimmen ihre Beschwörungsformeln rufen.
tschun_15_f000006|Tschun horchte angestrengt; er unterschied einzelne Worte: A Mi To Fo, ich lade Dich ein!|Tschun horchte angestrengt; er unterschied einzelne Worte: A Mi To Fo, ich lade Dich ein!
tschun_15_f000007|Heilige Mutter der drei Genien! Ehrwürdiger Weiser des südlichen Meeres!|Heilige Mutter der drei Genien! Ehrwürdiger Weiser des südlichen Meeres!
tschun_15_f000008|Genius der Pfirsichblüten! General Schildkröte, General Schlange, General mit der diamantenen Krone und Ihr achthundert höchste Geister!|Genius der Pfirsichblüten! General Schildkröte, General Schlange, General mit der diamantenen Krone und Ihr achthundert höchste Geister!
tschun_15_f000009|Ihr Millionen Gespenstersoldaten, die Ihr könnt die Hiebe aufhalten und sie könnt versetzen, kommt herbei in Eile, mein Leben zu schützen!|Ihr Millionen Gespenstersoldaten, die Ihr könnt die Hiebe aufhalten und sie könnt versetzen, kommt herbei in Eile, mein Leben zu schützen!
tschun_15_f000010|Macht, daß die Wirkung des Zaubers meinen Leib unversehrt bewahre.|Macht, daß die Wirkung des Zaubers meinen Leib unversehrt bewahre.
tschun_15_f000011|Sie wollten noch weiter reden, aber in der Menge entstand ein ungeduldiges Murmeln: Die Proben! Die Proben!|Sie wollten noch weiter reden, aber in der Menge entstand ein ungeduldiges Murmeln: Die Proben! Die Proben!
tschun_15_f000012|Nun traten einige der Sektierer dicht an den Rand der Estrade, entblößten die mageren Oberkörper, ergriffen bereitliegende Steine und begannen sich damit heftig zu schlagen.|Nun traten einige der Sektierer dicht an den Rand der Estrade, entblößten die mageren Oberkörper, ergriffen bereitliegende Steine und begannen sich damit heftig zu schlagen.
tschun_15_f000013|Doch das genügte den Schaulustigen nicht, man kannte ja auch die scheinbar wuchtigen, in Wahrheit milden Streiche, die durch Bestechung von den Henkern zu erlangen sind.|Doch das genügte den Schaulustigen nicht, man kannte ja auch die scheinbar wuchtigen, in Wahrheit milden Streiche, die durch Bestechung von den Henkern zu erlangen sind.
