l_ile_mysterieuse_1_01_f000001|Remontons-nous?|Remontons-nous?
l_ile_mysterieuse_2_12_f000031|Le chien n'aboyait pas, cette fois, près de l'orifice du puits, mais au seuil de la porte, et il se jetait dessus comme s'il eût voulu l'enfoncer.|Le chien n'aboyait pas, cette fois, près de l'orifice du puits, mais au seuil de la porte, et il se jetait dessus comme s'il eût voulu l'enfoncer.
l_ile_mysterieuse_2_12_f000032|Jup, de son côté, poussait des cris aigus.|Jup, de son côté, poussait des cris aigus.
l_ile_mysterieuse_2_12_f000033|Eh bien, Top! cria Nab, qui fut le premier éveillé.|Eh bien, Top! cria Nab, qui fut le premier éveillé.
l_ile_mysterieuse_2_12_f000034|Mais le chien continua d'aboyer avec plus de fureur.|Mais le chien continua d'aboyer avec plus de fureur.
l_ile_mysterieuse_2_12_f000035|Qu'est-ce donc? demanda Cyrus Smith.|Qu'est-ce donc? demanda Cyrus Smith.
l_ile_mysterieuse_2_12_f000036|Et tous, vêtus à la hâte, se précipitèrent vers les fenêtres de la chambre, qu'ils ouvrirent.|Et tous, vêtus à la hâte, se précipitèrent vers les fenêtres de la chambre, qu'ils ouvrirent.
l_ile_mysterieuse_2_12_f000037|Sous leurs yeux se développait une couche de neige qui paraissait à peine blanche dans cette nuit très obscure.|Sous leurs yeux se développait une couche de neige qui paraissait à peine blanche dans cette nuit très obscure.
l_ile_mysterieuse_2_12_f000038|Les colons ne virent rien, mais ils entendirent de singuliers aboiements qui éclataient dans l'ombre.|Les colons ne virent rien, mais ils entendirent de singuliers aboiements qui éclataient dans l'ombre.
l_ile_mysterieuse_2_12_f000039|Il était évident que la grève avait été envahie par un certain nombre d'animaux que l'on ne pouvait distinguer.|Il était évident que la grève avait été envahie par un certain nombre d'animaux que l'on ne pouvait distinguer.
l_ile_mysterieuse_2_12_f000040|Qu'est-ce? s'écria Pencroff.|Qu'est-ce? s'écria Pencroff.
l_ile_mysterieuse_2_12_f000041|-- Des loups, des jaguars ou des singes! répondit Nab.|-- Des loups, des jaguars ou des singes! répondit Nab.
l_ile_mysterieuse_2_12_f000042|-- Diable! Mais ils peuvent gagner le haut du plateau! dit le reporter.|-- Diable! Mais ils peuvent gagner le haut du plateau! dit le reporter.
l_ile_mysterieuse_2_12_f000043|-- Et notre basse-cour, s'écria Harbert, et nos plantations?...|-- Et notre basse-cour, s'écria Harbert, et nos plantations?...
l_ile_mysterieuse_2_12_f000044|-- Par où ont-ils donc passé? demanda Pencroff.|-- Par où ont-ils donc passé? demanda Pencroff.
l_ile_mysterieuse_2_12_f000045|-- Ils auront franchi le ponceau de la grève, répondit l'ingénieur, que l'un de nous aura oublié de refermer.|-- Ils auront franchi le ponceau de la grève, répondit l'ingénieur, que l'un de nous aura oublié de refermer.
l_ile_mysterieuse_2_12_f000046|-- En effet, dit Spilett, je me rappelle l'avoir laissé ouvert...|-- En effet, dit Spilett, je me rappelle l'avoir laissé ouvert...
l_ile_mysterieuse_2_12_f000047|-- Un beau coup que vous avez fait là, Monsieur Spilett! s'écria le marin.|-- Un beau coup que vous avez fait là, Monsieur Spilett! s'écria le marin.
l_ile_mysterieuse_2_12_f000048|-- Ce qui est fait est fait, répondit Cyrus Smith. Avisons à ce qu'il faut faire!|-- Ce qui est fait est fait, répondit Cyrus Smith. Avisons à ce qu'il faut faire!
l_ile_mysterieuse_2_12_f000049|Telles furent les demandes et les réponses qui furent rapidement échangées entre Cyrus Smith et ses compagnons.|Telles furent les demandes et les réponses qui furent rapidement échangées entre Cyrus Smith et ses compagnons.
l_ile_mysterieuse_2_12_f000050|Il était certain que le ponceau avait été franchi, que la grève était envahie par des animaux, et que ceux-ci, quels qu'ils fussent, pouvaient, en remontant la rive gauche de la Mercy, arriver au plateau de Grande-vue.|Il était certain que le ponceau avait été franchi, que la grève était envahie par des animaux, et que ceux-ci, quels qu'ils fussent, pouvaient, en remontant la rive gauche de la Mercy, arriver au plateau de Grande-vue.
l_ile_mysterieuse_2_12_f000051|Il fallait donc les gagner de vitesse et les combattre, au besoin.|Il fallait donc les gagner de vitesse et les combattre, au besoin.
l_ile_mysterieuse_2_12_f000052|Mais quelles sont ces bêtes-là? fut-il demandé une seconde fois, au moment où les aboiements retentissaient avec plus de force.|Mais quelles sont ces bêtes-là? fut-il demandé une seconde fois, au moment où les aboiements retentissaient avec plus de force.
l_ile_mysterieuse_2_12_f000053|Ces aboiements firent tressaillir Harbert, et il se souvint de les avoir déjà entendus pendant sa première visite aux sources du creek-rouge.|Ces aboiements firent tressaillir Harbert, et il se souvint de les avoir déjà entendus pendant sa première visite aux sources du creek-rouge.
l_ile_mysterieuse_2_12_f000054|Ce sont des culpeux, ce sont des renards! dit-il.|Ce sont des culpeux, ce sont des renards! dit-il.
l_ile_mysterieuse_2_12_f000055|-- En avant! s'écria le marin.|-- En avant! s'écria le marin.
l_ile_mysterieuse_2_12_f000056|Et tous, s'armant de haches, de carabines et de revolvers, se précipitèrent dans la banne de l'ascenseur et prirent pied sur la grève.|Et tous, s'armant de haches, de carabines et de revolvers, se précipitèrent dans la banne de l'ascenseur et prirent pied sur la grève.
l_ile_mysterieuse_2_12_f000057|Ce sont de dangereux animaux que ces culpeux, quand ils sont en grand nombre et que la faim les irrite.|Ce sont de dangereux animaux que ces culpeux, quand ils sont en grand nombre et que la faim les irrite.
l_ile_mysterieuse_2_12_f000058|Néanmoins, les colons n'hésitèrent pas à se jeter au milieu de la bande, et leurs premiers coups de revolver, lançant de rapides éclairs dans l'obscurité,|Néanmoins, les colons n'hésitèrent pas à se jeter au milieu de la bande, et leurs premiers coups de revolver, lançant de rapides éclairs dans l'obscurité,
l_ile_mysterieuse_2_12_f000059|firent reculer les premiers assaillants.|firent reculer les premiers assaillants.
l_ile_mysterieuse_2_12_f000060|Ce qui importait avant tout, c'était d'empêcher ces pillards de s'élever jusqu'au plateau de Grande-vue, car les plantations, la basse-cour,|Ce qui importait avant tout, c'était d'empêcher ces pillards de s'élever jusqu'au plateau de Grande-vue, car les plantations, la basse-cour,
l_ile_mysterieuse_2_12_f000061|eussent été à leur merci, et d'immenses dégâts, peut- être irréparables, surtout en ce qui concernait le champ de blé, se seraient inévitablement produits.|eussent été à leur merci, et d'immenses dégâts, peut- être irréparables, surtout en ce qui concernait le champ de blé, se seraient inévitablement produits.
l_ile_mysterieuse_2_12_f000062|Mais comme l'envahissement du plateau ne pouvait se faire que par la rive gauche de la Mercy, il suffisait d'opposer aux culpeux une barrière insurmontable sur cette étroite portion de la berge comprise entre la rivière et la muraille de granit.|Mais comme l'envahissement du plateau ne pouvait se faire que par la rive gauche de la Mercy, il suffisait d'opposer aux culpeux une barrière insurmontable sur cette étroite portion de la berge comprise entre la rivière et la muraille de granit.
l_ile_mysterieuse_2_12_f000063|Ceci fut compris de tous, et, sur un ordre de Cyrus Smith, ils gagnèrent l'endroit désigné, pendant que la troupe des culpeux bondissait dans l'ombre.|Ceci fut compris de tous, et, sur un ordre de Cyrus Smith, ils gagnèrent l'endroit désigné, pendant que la troupe des culpeux bondissait dans l'ombre.
l_ile_mysterieuse_2_12_f000064|Cyrus Smith, Gédéon Spilett, Harbert, Pencroff et Nab se disposèrent donc de manière à former une ligne infranchissable.|Cyrus Smith, Gédéon Spilett, Harbert, Pencroff et Nab se disposèrent donc de manière à former une ligne infranchissable.
l_ile_mysterieuse_2_12_f000065|Top, ses formidables mâchoires ouvertes, précédait les colons, et il était suivi de Jup, armé d'un gourdin noueux qu'il brandissait comme une massue.|Top, ses formidables mâchoires ouvertes, précédait les colons, et il était suivi de Jup, armé d'un gourdin noueux qu'il brandissait comme une massue.
l_ile_mysterieuse_2_12_f000066|La nuit était extrêmement obscure. Ce n'était qu'à la lueur des décharges, dont chacune devait porter, qu'on apercevait les assaillants,|La nuit était extrêmement obscure. Ce n'était qu'à la lueur des décharges, dont chacune devait porter, qu'on apercevait les assaillants,
l_ile_mysterieuse_2_12_f000067|qui devaient être au moins une centaine, et dont les yeux brillaient comme des braises.|qui devaient être au moins une centaine, et dont les yeux brillaient comme des braises.
l_ile_mysterieuse_2_12_f000068|Il ne faut pas qu'ils passent! s'écria Pencroff.|Il ne faut pas qu'ils passent! s'écria Pencroff.
l_ile_mysterieuse_2_12_f000069|-- Ils ne passeront pas! répondit l'ingénieur.|-- Ils ne passeront pas! répondit l'ingénieur.
l_ile_mysterieuse_2_12_f000070|Mais s'ils ne passèrent pas, ce ne fut pas faute de l'avoir tenté.|Mais s'ils ne passèrent pas, ce ne fut pas faute de l'avoir tenté.
l_ile_mysterieuse_2_12_f000071|Les derniers rangs poussaient les premiers, et ce fut une lutte incessante à coups de revolver et à coups de hache.|Les derniers rangs poussaient les premiers, et ce fut une lutte incessante à coups de revolver et à coups de hache.
l_ile_mysterieuse_2_12_f000072|Bien des cadavres de culpeux devaient déjà joncher le sol, mais la bande ne semblait pas diminuer, et on eût dit qu'elle se renouvelait sans cesse par le ponceau de la grève.|Bien des cadavres de culpeux devaient déjà joncher le sol, mais la bande ne semblait pas diminuer, et on eût dit qu'elle se renouvelait sans cesse par le ponceau de la grève.
l_ile_mysterieuse_2_12_f000073|Bientôt, les colons durent lutter corps à corps, et ils n'étaient pas sans avoir reçu quelques blessures, légères fort heureusement.|Bientôt, les colons durent lutter corps à corps, et ils n'étaient pas sans avoir reçu quelques blessures, légères fort heureusement.
l_ile_mysterieuse_2_12_f000074|Harbert avait, d'un coup de revolver, débarrassé Nab, sur le dos duquel un culpeux venait de s'abattre comme un chat-tigre.|Harbert avait, d'un coup de revolver, débarrassé Nab, sur le dos duquel un culpeux venait de s'abattre comme un chat-tigre.
l_ile_mysterieuse_2_12_f000075|Top se battait avec une fureur véritable, sautant à la gorge des renards et les étranglant net.|Top se battait avec une fureur véritable, sautant à la gorge des renards et les étranglant net.
l_ile_mysterieuse_2_12_f000076|Jup, armé de son bâton, tapait comme un sourd, et c'était en vain qu'on voulait le faire rester en arrière.|Jup, armé de son bâton, tapait comme un sourd, et c'était en vain qu'on voulait le faire rester en arrière.
l_ile_mysterieuse_2_12_f000077|Doué, sans doute, d'une vue qui lui permettait de percer cette obscurité, il était toujours au plus fort du combat et poussait de temps en temps un sifflement aigu, qui était chez lui la marque d'une extrême jubilation.|Doué, sans doute, d'une vue qui lui permettait de percer cette obscurité, il était toujours au plus fort du combat et poussait de temps en temps un sifflement aigu, qui était chez lui la marque d'une extrême jubilation.
l_ile_mysterieuse_2_12_f000078|À un certain moment, il s'avança même si loin, qu'à la lueur d'un coup de revolver, on put le voir entouré de cinq ou six grands culpeux,|À un certain moment, il s'avança même si loin, qu'à la lueur d'un coup de revolver, on put le voir entouré de cinq ou six grands culpeux,
l_ile_mysterieuse_2_12_f000079|auxquels il tenait tête avec un rare sang-froid.|auxquels il tenait tête avec un rare sang-froid.
l_ile_mysterieuse_2_12_f000080|Cependant la lutte devait finir à l'avantage des colons, mais après qu'ils eurent résisté deux grandes heures!|Cependant la lutte devait finir à l'avantage des colons, mais après qu'ils eurent résisté deux grandes heures!
l_ile_mysterieuse_2_12_f000081|Les premières lueurs de l'aube, sans doute, déterminèrent la retraite des assaillants, qui détalèrent vers le nord, de manière à repasser le ponceau,|Les premières lueurs de l'aube, sans doute, déterminèrent la retraite des assaillants, qui détalèrent vers le nord, de manière à repasser le ponceau,
l_ile_mysterieuse_2_12_f000082|que Nab courut relever immédiatement.|que Nab courut relever immédiatement.
l_ile_mysterieuse_2_12_f000083|Quand le jour eut suffisamment éclairé le champ de bataille, les colons purent compter une cinquantaine de cadavres épars sur la grève.|Quand le jour eut suffisamment éclairé le champ de bataille, les colons purent compter une cinquantaine de cadavres épars sur la grève.
l_ile_mysterieuse_2_12_f000084|Et Jup! s'écria Pencroff. Où est donc Jup?|Et Jup! s'écria Pencroff. Où est donc Jup?
l_ile_mysterieuse_2_12_f000085|Jup avait disparu. Son ami Nab l'appela, et, pour la première fois, Jup ne répondit pas à l'appel de son ami.|Jup avait disparu. Son ami Nab l'appela, et, pour la première fois, Jup ne répondit pas à l'appel de son ami.
l_ile_mysterieuse_2_12_f000086|Chacun se mit en quête de Jup, tremblant de le compter parmi les morts.|Chacun se mit en quête de Jup, tremblant de le compter parmi les morts.
l_ile_mysterieuse_2_12_f000087|On déblaya la place des cadavres, qui tachaient la neige de leur sang, et Jup fut retrouvé au milieu d'un véritable monceau de culpeux dont les mâchoires fracassées, les reins brisés, témoignaient qu'ils avaient eu affaire au terrible gourdin de l'intrépide animal.|On déblaya la place des cadavres, qui tachaient la neige de leur sang, et Jup fut retrouvé au milieu d'un véritable monceau de culpeux dont les mâchoires fracassées, les reins brisés, témoignaient qu'ils avaient eu affaire au terrible gourdin de l'intrépide animal.
l_ile_mysterieuse_2_12_f000088|Le pauvre Jup tenait encore à la main le tronçon de son bâton rompu; mais privé de son arme, il avait été accablé par le nombre, et de profondes blessures labouraient sa poitrine.|Le pauvre Jup tenait encore à la main le tronçon de son bâton rompu; mais privé de son arme, il avait été accablé par le nombre, et de profondes blessures labouraient sa poitrine.
l_ile_mysterieuse_2_12_f000089|Il est vivant! s'écria Nab, qui se pencha sur lui.|Il est vivant! s'écria Nab, qui se pencha sur lui.
l_ile_mysterieuse_2_12_f000090|-- Et nous le sauverons, répondit le marin, nous le soignerons comme l'un de nous!|-- Et nous le sauverons, répondit le marin, nous le soignerons comme l'un de nous!
l_ile_mysterieuse_2_12_f000091|Il semblait que Jup comprît, car il inclina sa tête sur l'épaule de Pencroff, comme pour le remercier.|Il semblait que Jup comprît, car il inclina sa tête sur l'épaule de Pencroff, comme pour le remercier.
l_ile_mysterieuse_2_12_f000092|Le marin était blessé lui-même, mais ses blessures, ainsi que celles de ses compagnons, étaient insignifiantes, car, grâce à leurs armes à feu, presque toujours ils avaient pu tenir les assaillants à distance.|Le marin était blessé lui-même, mais ses blessures, ainsi que celles de ses compagnons, étaient insignifiantes, car, grâce à leurs armes à feu, presque toujours ils avaient pu tenir les assaillants à distance.
l_ile_mysterieuse_2_12_f000093|Il n'y avait donc que l'orang dont l'état fût grave.|Il n'y avait donc que l'orang dont l'état fût grave.
l_ile_mysterieuse_2_12_f000094|Jup, porté par Nab et Pencroff, fut amené jusqu'à l'ascenseur, et c'est à peine si un faible gémissement sortit de ses lèvres.|Jup, porté par Nab et Pencroff, fut amené jusqu'à l'ascenseur, et c'est à peine si un faible gémissement sortit de ses lèvres.
l_ile_mysterieuse_2_12_f000095|On le remonta doucement à Granite-House. Là, il fut installé sur un des matelas empruntés à l'une des couchettes, et ses blessures furent lavées avec le plus grand soin.|On le remonta doucement à Granite-House. Là, il fut installé sur un des matelas empruntés à l'une des couchettes, et ses blessures furent lavées avec le plus grand soin.
l_ile_mysterieuse_2_12_f000096|Il ne paraissait pas qu'elles eussent atteint quelque organe essentiel, mais Jup avait été très affaibli par la perte de son sang, et la fièvre se déclara à un degré assez fort.|Il ne paraissait pas qu'elles eussent atteint quelque organe essentiel, mais Jup avait été très affaibli par la perte de son sang, et la fièvre se déclara à un degré assez fort.
l_ile_mysterieuse_2_12_f000097|On le coucha donc, après son pansement, on lui imposa une diète sévère, tout comme à une personne naturelle, dit Nab, et on lui fit boire quelques tasses de tisane rafraîchissante,|On le coucha donc, après son pansement, on lui imposa une diète sévère, tout comme à une personne naturelle, dit Nab, et on lui fit boire quelques tasses de tisane rafraîchissante,
l_ile_mysterieuse_2_12_f000098|dont la pharmacie végétale de Granite-House fournit les ingrédients.|dont la pharmacie végétale de Granite-House fournit les ingrédients.
l_ile_mysterieuse_2_12_f000099|Jup s'endormit d'un sommeil agité d'abord; mais peu à peu sa respiration devint plus régulière, et on le laissa reposer dans le plus grand calme.|Jup s'endormit d'un sommeil agité d'abord; mais peu à peu sa respiration devint plus régulière, et on le laissa reposer dans le plus grand calme.
l_ile_mysterieuse_2_12_f000100|De temps en temps, Top, marchant, on peut dire sur la pointe des pieds, venait visiter son ami et semblait approuver tous les soins que l'on prenait de lui.|De temps en temps, Top, marchant, on peut dire sur la pointe des pieds, venait visiter son ami et semblait approuver tous les soins que l'on prenait de lui.
l_ile_mysterieuse_2_12_f000101|Une des mains de Jup pendait hors de la couche, et Top la léchait d'un air contrit.|Une des mains de Jup pendait hors de la couche, et Top la léchait d'un air contrit.
l_ile_mysterieuse_2_12_f000102|Ce matin même, on procéda à l'ensevelissement des morts, qui furent traînés jusqu'à la forêt du Far-West et enterrés profondément.|Ce matin même, on procéda à l'ensevelissement des morts, qui furent traînés jusqu'à la forêt du Far-West et enterrés profondément.
l_ile_mysterieuse_2_12_f000103|Cette attaque, qui aurait pu avoir des conséquences si graves, fut une leçon pour les colons, et désormais ils ne se couchèrent plus sans que l'un d'eux se fût assuré que tous les ponts étaient relevés et qu'aucune invasion n'était possible.|Cette attaque, qui aurait pu avoir des conséquences si graves, fut une leçon pour les colons, et désormais ils ne se couchèrent plus sans que l'un d'eux se fût assuré que tous les ponts étaient relevés et qu'aucune invasion n'était possible.
l_ile_mysterieuse_2_12_f000104|Cependant Jup, après avoir donné des craintes sérieuses pendant quelques jours, réagit vigoureusement contre le mal.|Cependant Jup, après avoir donné des craintes sérieuses pendant quelques jours, réagit vigoureusement contre le mal.
l_ile_mysterieuse_2_12_f000105|Sa constitution l'emporta, la fièvre diminua peu à peu, et Gédéon Spilett, qui était un peu médecin, le considéra bientôt comme tiré d'affaire.|Sa constitution l'emporta, la fièvre diminua peu à peu, et Gédéon Spilett, qui était un peu médecin, le considéra bientôt comme tiré d'affaire.
l_ile_mysterieuse_2_12_f000106|Le 16 août, Jup commença à manger. Nab lui faisait de bons petits plats sucrés que le malade dégustait avec sensualité, car, s'il avait un défaut mignon,|Le 16 août, Jup commença à manger. Nab lui faisait de bons petits plats sucrés que le malade dégustait avec sensualité, car, s'il avait un défaut mignon,
l_ile_mysterieuse_2_12_f000107|c'était d'être un tantinet gourmand, et Nab n'avait jamais rien fait pour le corriger de ce défaut-là.|c'était d'être un tantinet gourmand, et Nab n'avait jamais rien fait pour le corriger de ce défaut-là.
l_ile_mysterieuse_2_12_f000108|Que voulez-vous? Disait-il à Gédéon Spilett, qui lui reprochait quelquefois de le gâter, il n'a pas d'autre plaisir que celui de la bouche,|Que voulez-vous? Disait-il à Gédéon Spilett, qui lui reprochait quelquefois de le gâter, il n'a pas d'autre plaisir que celui de la bouche,
l_ile_mysterieuse_2_12_f000109|ce pauvre Jup, et je suis trop heureux de pouvoir reconnaître ainsi ses services!|ce pauvre Jup, et je suis trop heureux de pouvoir reconnaître ainsi ses services!
l_ile_mysterieuse_2_12_f000110|Dix jours après avoir pris le lit, le 21 août, maître Jup se leva.|Dix jours après avoir pris le lit, le 21 août, maître Jup se leva.
l_ile_mysterieuse_2_12_f000111|Ses blessures étaient cicatrisées, et on vit bien qu'il ne tarderait pas à recouvrer sa souplesse et sa vigueur habituelles.|Ses blessures étaient cicatrisées, et on vit bien qu'il ne tarderait pas à recouvrer sa souplesse et sa vigueur habituelles.
l_ile_mysterieuse_2_12_f000112|Comme tous les convalescents, il fut alors pris d'une faim dévorante, et le reporter le laissa manger à sa fantaisie, car il se fiait à cet instinct qui manque trop souvent aux êtres raisonnants et qui devait préserver l'orang de tout excès.|Comme tous les convalescents, il fut alors pris d'une faim dévorante, et le reporter le laissa manger à sa fantaisie, car il se fiait à cet instinct qui manque trop souvent aux êtres raisonnants et qui devait préserver l'orang de tout excès.
l_ile_mysterieuse_2_12_f000113|Nab était ravi de voir revenir l'appétit de son élève.|Nab était ravi de voir revenir l'appétit de son élève.
l_ile_mysterieuse_2_12_f000114|Mange, lui disait-il, mon Jup, et ne te fais faute de rien! Tu as versé ton sang pour nous, et c'est bien le moins que je t'aide à le refaire!|Mange, lui disait-il, mon Jup, et ne te fais faute de rien! Tu as versé ton sang pour nous, et c'est bien le moins que je t'aide à le refaire!
l_ile_mysterieuse_2_12_f000115|Enfin, le 25 août, on entendit la voix de Nab qui appelait ses compagnons.|Enfin, le 25 août, on entendit la voix de Nab qui appelait ses compagnons.
l_ile_mysterieuse_2_12_f000116|Monsieur Cyrus, Monsieur Gédéon, Monsieur Harbert, Pencroff, venez! Venez!|Monsieur Cyrus, Monsieur Gédéon, Monsieur Harbert, Pencroff, venez! Venez!
l_ile_mysterieuse_2_12_f000117|Les colons, réunis dans la grande salle, se levèrent à l'appel de Nab, qui était alors dans la chambre réservée à Jup.|Les colons, réunis dans la grande salle, se levèrent à l'appel de Nab, qui était alors dans la chambre réservée à Jup.
l_ile_mysterieuse_2_12_f000118|Qu'y a-t-il? demanda le reporter.|Qu'y a-t-il? demanda le reporter.
l_ile_mysterieuse_2_12_f000119|-- Voyez! répondit Nab en poussant un vaste éclat de rire.|-- Voyez! répondit Nab en poussant un vaste éclat de rire.
l_ile_mysterieuse_2_12_f000120|Et que vit-on? Maître Jup, qui fumait, tranquillement et sérieusement, accroupi comme un turc sur la porte de Granite- House! Ma pipe! s'écria Pencroff.|Et que vit-on? Maître Jup, qui fumait, tranquillement et sérieusement, accroupi comme un turc sur la porte de Granite- House! Ma pipe! s'écria Pencroff.
l_ile_mysterieuse_2_12_f000121|Il a pris ma pipe! Ah! Mon brave Jup, je t'en fais cadeau! Fume, mon ami, fume!|Il a pris ma pipe! Ah! Mon brave Jup, je t'en fais cadeau! Fume, mon ami, fume!
l_ile_mysterieuse_2_12_f000122|Et Jup lançait gravement d'épaisses bouffées de tabac, ce qui semblait lui procurer des jouissances sans pareilles.|Et Jup lançait gravement d'épaisses bouffées de tabac, ce qui semblait lui procurer des jouissances sans pareilles.
l_ile_mysterieuse_2_12_f000123|Cyrus Smith ne se montra pas autrement étonné de l'incident, et il cita plusieurs exemples de singes apprivoisés, auxquels l'usage du tabac était devenu familier.|Cyrus Smith ne se montra pas autrement étonné de l'incident, et il cita plusieurs exemples de singes apprivoisés, auxquels l'usage du tabac était devenu familier.
l_ile_mysterieuse_2_12_f000124|Mais, à partir de ce jour, maître Jup eut sa pipe à lui, l'ex-pipe du marin, qui fut suspendue dans sa chambre, près de sa provision de tabac.|Mais, à partir de ce jour, maître Jup eut sa pipe à lui, l'ex-pipe du marin, qui fut suspendue dans sa chambre, près de sa provision de tabac.
l_ile_mysterieuse_2_12_f000125|Il la bourrait lui-même, il l'allumait à un charbon ardent et paraissait être le plus heureux des quadrumanes.|Il la bourrait lui-même, il l'allumait à un charbon ardent et paraissait être le plus heureux des quadrumanes.
l_ile_mysterieuse_2_12_f000126|On pense bien que cette communauté de goût ne fit que resserrer entre Jup et Pencroff ces étroits liens d'amitié qui unissaient déjà le digne singe et l'honnête marin.|On pense bien que cette communauté de goût ne fit que resserrer entre Jup et Pencroff ces étroits liens d'amitié qui unissaient déjà le digne singe et l'honnête marin.
l_ile_mysterieuse_2_12_f000127|C'est peut-être un homme, disait quelquefois Pencroff à Nab. Est- ce que ça t'étonnerait si un jour il se mettait à nous parler?|C'est peut-être un homme, disait quelquefois Pencroff à Nab. Est- ce que ça t'étonnerait si un jour il se mettait à nous parler?
l_ile_mysterieuse_2_12_f000128|-- Ma foi non, répondait Nab. Ce qui m'étonne, c'est plutôt qu'il ne parle pas, car enfin, il ne lui manque que la parole!|-- Ma foi non, répondait Nab. Ce qui m'étonne, c'est plutôt qu'il ne parle pas, car enfin, il ne lui manque que la parole!
l_ile_mysterieuse_2_12_f000129|-- Ça m'amuserait tout de même, reprenait le marin, si un beau jour il me disait: si nous changions de pipe, Pencroff!|-- Ça m'amuserait tout de même, reprenait le marin, si un beau jour il me disait: si nous changions de pipe, Pencroff!
l_ile_mysterieuse_2_12_f000130|-- Oui, répondait Nab. Quel malheur qu'il soit muet de naissance!|-- Oui, répondait Nab. Quel malheur qu'il soit muet de naissance!
l_ile_mysterieuse_2_12_f000131|Avec le mois de septembre, l'hiver fut entièrement terminé, et les travaux reprirent avec ardeur.|Avec le mois de septembre, l'hiver fut entièrement terminé, et les travaux reprirent avec ardeur.
l_ile_mysterieuse_2_12_f000132|La construction du bateau avança rapidement. Il était entièrement bordé déjà, et on le membra intérieurement, de manière à relier toutes les parties de la coque,|La construction du bateau avança rapidement. Il était entièrement bordé déjà, et on le membra intérieurement, de manière à relier toutes les parties de la coque,
l_ile_mysterieuse_2_12_f000133|avec des membrures assouplies par la vapeur d'eau, qui se prêtèrent à toutes les exigences du gabarit.|avec des membrures assouplies par la vapeur d'eau, qui se prêtèrent à toutes les exigences du gabarit.
l_ile_mysterieuse_2_12_f000134|Comme le bois ne manquait pas, Pencroff proposa à l'ingénieur de doubler intérieurement la coque avec un vaigrage étanche, ce qui assurerait complètement la solidité de l'embarcation.|Comme le bois ne manquait pas, Pencroff proposa à l'ingénieur de doubler intérieurement la coque avec un vaigrage étanche, ce qui assurerait complètement la solidité de l'embarcation.
l_ile_mysterieuse_2_12_f000135|Cyrus Smith ne sachant pas ce que réservait l'avenir, approuva l'idée du marin de rendre son embarcation aussi solide que possible.|Cyrus Smith ne sachant pas ce que réservait l'avenir, approuva l'idée du marin de rendre son embarcation aussi solide que possible.
l_ile_mysterieuse_2_12_f000136|Le vaigrage et le pont du bateau furent entièrement finis vers le 15 septembre.|Le vaigrage et le pont du bateau furent entièrement finis vers le 15 septembre.
l_ile_mysterieuse_2_12_f000137|Pour calfater les coutures, on fit de l'étoupe avec du zostère sec, qui fut introduit à coups de maillet entre les bordages de la coque, du vaigrage et du pont;|Pour calfater les coutures, on fit de l'étoupe avec du zostère sec, qui fut introduit à coups de maillet entre les bordages de la coque, du vaigrage et du pont;
l_ile_mysterieuse_2_12_f000138|puis, ces coutures furent recouvertes de goudron bouillant, que les pins de la forêt fournirent avec abondance.|puis, ces coutures furent recouvertes de goudron bouillant, que les pins de la forêt fournirent avec abondance.
l_ile_mysterieuse_2_12_f000139|L'aménagement de l'embarcation fut des plus simples.|L'aménagement de l'embarcation fut des plus simples.
l_ile_mysterieuse_2_12_f000140|Elle avait d'abord été lestée avec de lourds morceaux de granit, maçonnés dans un lit de chaux, et dont on arrima douze mille livres environ.|Elle avait d'abord été lestée avec de lourds morceaux de granit, maçonnés dans un lit de chaux, et dont on arrima douze mille livres environ.
l_ile_mysterieuse_2_12_f000141|Un tillac fut posé par-dessus ce lest, et l'intérieur fut divisé en deux chambres, le long desquelles s'étendaient deux bancs, qui servaient de coffres.|Un tillac fut posé par-dessus ce lest, et l'intérieur fut divisé en deux chambres, le long desquelles s'étendaient deux bancs, qui servaient de coffres.
l_ile_mysterieuse_2_12_f000142|Le pied du mât devait épontiller la cloison qui séparait les deux chambres, dans lesquelles on parvenait par deux écoutilles, ouvertes sur le pont et munies de capots.|Le pied du mât devait épontiller la cloison qui séparait les deux chambres, dans lesquelles on parvenait par deux écoutilles, ouvertes sur le pont et munies de capots.
l_ile_mysterieuse_2_12_f000143|Pencroff n'eut aucune peine à trouver un arbre convenable pour la mâture.|Pencroff n'eut aucune peine à trouver un arbre convenable pour la mâture.
l_ile_mysterieuse_2_12_f000144|Il choisit un jeune sapin, bien droit, sans noeuds, qu'il n'eut qu'à équarrir à son emplanture et à arrondir à sa tête.|Il choisit un jeune sapin, bien droit, sans noeuds, qu'il n'eut qu'à équarrir à son emplanture et à arrondir à sa tête.
l_ile_mysterieuse_2_12_f000145|Les ferrures du mât, celles du gouvernail et celles de la coque avaient été grossièrement, mais solidement fabriquées à la forge des cheminées.|Les ferrures du mât, celles du gouvernail et celles de la coque avaient été grossièrement, mais solidement fabriquées à la forge des cheminées.
l_ile_mysterieuse_2_12_f000146|Enfin, vergues, mât de flèche, gui, espars, avirons, etc.|Enfin, vergues, mât de flèche, gui, espars, avirons, etc.
