ritrattodeldiavolo_01_barrili_f000001|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.
ritrattodeldiavolo_06_barrili_f000086|ma altresì l'onore del maestro e di tutta la sua scuola, a cui non era mai accaduta una cosa simile.|ma altresì l'onore del maestro e di tutta la sua scuola, a cui non era mai accaduta una cosa simile.
ritrattodeldiavolo_06_barrili_f000087|--Del resto,--soggiungeva mastro Jacopo,--questa volta ci sarò io a vegliare|--Del resto,--soggiungeva mastro Jacopo,--questa volta ci sarò io a vegliare
ritrattodeldiavolo_06_barrili_f000088|e non entreranno in Duomo altri colori che quelli macinati e mesticati da noi.|e non entreranno in Duomo altri colori che quelli macinati e mesticati da noi.
ritrattodeldiavolo_06_barrili_f000089|I massari chinarono la testa, in atto di assentimento|I massari chinarono la testa, in atto di assentimento
ritrattodeldiavolo_06_barrili_f000090|e diedero licenza a mastro Jacopo di fare in tutto come gli piacesse meglio, ma a sue spese e sotto la sua malleveria. --Non temete, messeri onorandissimi;|e diedero licenza a mastro Jacopo di fare in tutto come gli piacesse meglio, ma a sue spese e sotto la sua malleveria. --Non temete, messeri onorandissimi;
ritrattodeldiavolo_06_barrili_f000091|--rispose il vecchio pittore, abbastanza contento di averla aggiustata in quel modo.|--rispose il vecchio pittore, abbastanza contento di averla aggiustata in quel modo.
ritrattodeldiavolo_06_barrili_f000092|--Ho giurato di smettere i pennelli, se la cosa non va come è giusto che vada.|--Ho giurato di smettere i pennelli, se la cosa non va come è giusto che vada.
ritrattodeldiavolo_06_barrili_f000093|La mattina seguente, chiuso il Duomo ai curiosi importuni|La mattina seguente, chiuso il Duomo ai curiosi importuni
ritrattodeldiavolo_06_barrili_f000094|i manovali si fecero tosto a rizzare una nuova impalcatura, nella cappella di San Donato.|i manovali si fecero tosto a rizzare una nuova impalcatura, nella cappella di San Donato.
ritrattodeldiavolo_06_barrili_f000095|Frattanto, Spinello Spinelli, andando dalla bottega al Duomo, ci aveva da rispondere a tutti coloro che lo fermavano per via|Frattanto, Spinello Spinelli, andando dalla bottega al Duomo, ci aveva da rispondere a tutti coloro che lo fermavano per via
ritrattodeldiavolo_06_barrili_f000096|e da mandar giù le condoglianze più o meno sincere, che tornano così moleste ad un galantuomo, quando ci ha l'anima oppressa.|e da mandar giù le condoglianze più o meno sincere, che tornano così moleste ad un galantuomo, quando ci ha l'anima oppressa.
ritrattodeldiavolo_06_barrili_f000097|Io non riesco a capire come mai non ci pensino, le persone cerimoniose, all'effetto di certi loro discorsi.|Io non riesco a capire come mai non ci pensino, le persone cerimoniose, all'effetto di certi loro discorsi.
ritrattodeldiavolo_06_barrili_f000098|Basterebbe il dire: "v'e andata male, abbiate pazienza, rifate e prendete la vostra rivincita".|Basterebbe il dire: v'e andata male, abbiate pazienza, rifate e prendete la vostra rivincita.
ritrattodeldiavolo_06_barrili_f000099|Ma no, bisogna proprio che vi s'accostino con aria malinconica, che vi stringano la mano con tutt'e due le loro|Ma no, bisogna proprio che vi s'accostino con aria malinconica, che vi stringano la mano con tutt'e due le loro
ritrattodeldiavolo_06_barrili_f000100|che levino gli occhi al cielo in atto di fare a Dio l'offerta dei vostri dolori, e che vi facciano una stampita da non finirla più.|che levino gli occhi al cielo in atto di fare a Dio l'offerta dei vostri dolori, e che vi facciano una stampita da non finirla più.
ritrattodeldiavolo_06_barrili_f000101|E voi escite dalle loro consolazioni più disanimati che mai.|E voi escite dalle loro consolazioni più disanimati che mai.
ritrattodeldiavolo_06_barrili_f000102|Peggio, poi, quando le condoglianze vi sanno di bugiardo|Peggio, poi, quando le condoglianze vi sanno di bugiardo
ritrattodeldiavolo_06_barrili_f000103|perchè allora ci avete anche la nausea, dovendo dar fuori il dolce e tenervi in corpo l'amaro.|perchè allora ci avete anche la nausea, dovendo dar fuori il dolce e tenervi in corpo l'amaro.
ritrattodeldiavolo_06_barrili_f000104|Spinello Spinelli, come potete argomentare da questo discorso che io vi ho fatto secondo la sua intenzione cansava molto volentieri ogni incontro.|Spinello Spinelli, come potete argomentare da questo discorso che io vi ho fatto secondo la sua intenzione cansava molto volentieri ogni incontro.
ritrattodeldiavolo_06_barrili_f000105|Nello stato d'animo in cui egli si trovava, ogni conoscente era un seccatore. Da bottega al Duomo; dal Duomo a bottega;|Nello stato d'animo in cui egli si trovava, ogni conoscente era un seccatore. Da bottega al Duomo; dal Duomo a bottega;
ritrattodeldiavolo_06_barrili_f000106|era questo il suo itinerario quotidiano, compiuto con una rapidità da meritargli il soprannome di Saetta.|era questo il suo itinerario quotidiano, compiuto con una rapidità da meritargli il soprannome di Saetta.
ritrattodeldiavolo_06_barrili_f000107|La nuova impalcatura era stata rizzata dai manovali;|La nuova impalcatura era stata rizzata dai manovali;
ritrattodeldiavolo_06_barrili_f000108|e Spinello, come potè avvicinarsi al suo povero affresco, non durò fatica a riconoscere che, scambio di terre|e Spinello, come potè avvicinarsi al suo povero affresco, non durò fatica a riconoscere che, scambio di terre
ritrattodeldiavolo_06_barrili_f000109|gli avevano macinato colori minerali, con qualche altra diavoleria per giunta alla derrata.|gli avevano macinato colori minerali, con qualche altra diavoleria per giunta alla derrata.
ritrattodeldiavolo_06_barrili_f000110|Ma che cosa fosse veramente questa diavoleria, nè egli, nè mastro Jacopo riuscivano ad intendere|Ma che cosa fosse veramente questa diavoleria, nè egli, nè mastro Jacopo riuscivano ad intendere
ritrattodeldiavolo_06_barrili_f000111|mancando a quei tempi il benefico trovato delle analisi chimiche.|mancando a quei tempi il benefico trovato delle analisi chimiche.
ritrattodeldiavolo_06_barrili_f000112|Ambedue maledissero un'altra volta il Chiacchiera e lo votarono agli spiriti maligni|Ambedue maledissero un'altra volta il Chiacchiera e lo votarono agli spiriti maligni
ritrattodeldiavolo_06_barrili_f000113|come usavano fare gli antichi Ebrei col capro emissario della tribù;|come usavano fare gli antichi Ebrei col capro emissario della tribù;
ritrattodeldiavolo_06_barrili_f000114|indi Spinello si diede a rifare i suoi cartoni, in quella che i manovali scalcinavano la vòlta.|indi Spinello si diede a rifare i suoi cartoni, in quella che i manovali scalcinavano la vòlta.
ritrattodeldiavolo_06_barrili_f000115|Disgraziato affresco! Egli sparì dopo aver brillato una settimana agli occhi della moltitudine stupefatta;|Disgraziato affresco! Egli sparì dopo aver brillato una settimana agli occhi della moltitudine stupefatta;
ritrattodeldiavolo_06_barrili_f000116|sparì, come sparisce una donna leggiadra, dopo avere innamorato mezzo mondo della sua fiorente bellezza.|sparì, come sparisce una donna leggiadra, dopo avere innamorato mezzo mondo della sua fiorente bellezza.
ritrattodeldiavolo_06_barrili_f000117|Ma quantunque la fine dell'affresco di Spinello Spinelli fosse stata precoce|Ma quantunque la fine dell'affresco di Spinello Spinelli fosse stata precoce
ritrattodeldiavolo_06_barrili_f000118|non gli era toccata la sorte delle belle donne che muoiono giovani|non gli era toccata la sorte delle belle donne che muoiono giovani
ritrattodeldiavolo_06_barrili_f000119|poichè s'era da un giorno all'altro imbruttito e ne avevano detto corna quegli stessi che più lo avevano lodato. Instabilità degli umani giudizi!|poichè s'era da un giorno all'altro imbruttito e ne avevano detto corna quegli stessi che più lo avevano lodato. Instabilità degli umani giudizi!
ritrattodeldiavolo_06_barrili_f000120|Animato da un po' di rabbia, ma più dai conforti della bella Fiordalisa, Spinello si pose all'opera e lavorò per quattro.|Animato da un po' di rabbia, ma più dai conforti della bella Fiordalisa, Spinello si pose all'opera e lavorò per quattro.
ritrattodeldiavolo_06_barrili_f000121|Già si capisce che il ritratto di madonna fu per allora rimesso a dormire.|Già si capisce che il ritratto di madonna fu per allora rimesso a dormire.
ritrattodeldiavolo_06_barrili_f000122|Infelice ritratto! Non era venuto bene da principio, e meritava la sua sorte. Mastro Jacopo non si dolse di ciò.|Infelice ritratto! Non era venuto bene da principio, e meritava la sua sorte. Mastro Jacopo non si dolse di ciò.
ritrattodeldiavolo_06_barrili_f000123|Egli, che pure aveva spese tante parole a consigliare quell'opera, fu il primo a dire che era meglio lasciarla da banda.|Egli, che pure aveva spese tante parole a consigliare quell'opera, fu il primo a dire che era meglio lasciarla da banda.
ritrattodeldiavolo_06_barrili_f000124|Un po' di intervallo ci voleva, perchè l'animo si mettesse in pace e l'occhio del pittore si liberasse da certi dirizzoni; più tardi si sarebbe veduto.|Un po' di intervallo ci voleva, perchè l'animo si mettesse in pace e l'occhio del pittore si liberasse da certi dirizzoni; più tardi si sarebbe veduto.
ritrattodeldiavolo_06_barrili_f000125|Ma Spinello non contava di ripigliare il lavoro, nè più tardi, nè mai.|Ma Spinello non contava di ripigliare il lavoro, nè più tardi, nè mai.
ritrattodeldiavolo_06_barrili_f000126|Sapete già che nella impossibilità di ritrarre i lineamenti di Fiordalisa egli ci vedeva l'effetto di una malia.|Sapete già che nella impossibilità di ritrarre i lineamenti di Fiordalisa egli ci vedeva l'effetto di una malia.
ritrattodeldiavolo_06_barrili_f000127|Perchè avrebbe richiamato lo spirito maligno, che si beffava così crudelmente di lui? Meglio era non pensarci affatto.|Perchè avrebbe richiamato lo spirito maligno, che si beffava così crudelmente di lui? Meglio era non pensarci affatto.
ritrattodeldiavolo_06_barrili_f000128|Del resto, il Miracolo di san Donato richiedeva tutto il suo tempo.|Del resto, il Miracolo di san Donato richiedeva tutto il suo tempo.
ritrattodeldiavolo_06_barrili_f000129|Spinello era pieno d'ardore e passava sul trespolo le intiere giornate, lavorando alla brava.|Spinello era pieno d'ardore e passava sul trespolo le intiere giornate, lavorando alla brava.
ritrattodeldiavolo_06_barrili_f000130|I pennelli, nelle sue mani, andavano e venivano come la spola in mano alla tessitrice.|I pennelli, nelle sue mani, andavano e venivano come la spola in mano alla tessitrice.
ritrattodeldiavolo_06_barrili_f000131|Un mese dopo la scena coi massari del Duomo, che v'ho raccontata più su, il nuovo affresco era condotto a termine.|Un mese dopo la scena coi massari del Duomo, che v'ho raccontata più su, il nuovo affresco era condotto a termine.
ritrattodeldiavolo_06_barrili_f000132|Tutto era stato osservato con diligenza, e direi quasi passato allo staccio, la calce, la rena, i colori.|Tutto era stato osservato con diligenza, e direi quasi passato allo staccio, la calce, la rena, i colori.
ritrattodeldiavolo_06_barrili_f000133|Mastro Jacopo vegliava come uno degli Otto;|Mastro Jacopo vegliava come uno degli Otto;
ritrattodeldiavolo_06_barrili_f000134|nessuno, oltre lui e Spinello, aveva potuto metter piede sul ponte.|nessuno, oltre lui e Spinello, aveva potuto metter piede sul ponte.
ritrattodeldiavolo_06_barrili_f000135|Anzi, il vecchio pittore aveva spinto il rigore a tal segno, che lo scaccino del Duomo dovesse vietare a lui stesso a lui|Anzi, il vecchio pittore aveva spinto il rigore a tal segno, che lo scaccino del Duomo dovesse vietare a lui stesso a lui
ritrattodeldiavolo_06_barrili_f000136|mastro Jacopo, di salire sull'impalcatura, se non fosse stato presente Spinello. --Non si sa mai!--diceva egli ridendo.|mastro Jacopo, di salire sull'impalcatura, se non fosse stato presente Spinello. --Non si sa mai!--diceva egli ridendo.
ritrattodeldiavolo_06_barrili_f000137|--Potrei essere sonnambulo, venire in Duomo senza avvedermene e tentare di salire quassù;|--Potrei essere sonnambulo, venire in Duomo senza avvedermene e tentare di salire quassù;
ritrattodeldiavolo_06_barrili_f000138|per fare qualche tiro mancino, sotto la guida del diavolo.|per fare qualche tiro mancino, sotto la guida del diavolo.
ritrattodeldiavolo_06_barrili_f000139|I massari degnissimi videro il nuovo dipinto e si congratularono col giovine artista per la sua diligenza, come per la sua valentia.|I massari degnissimi videro il nuovo dipinto e si congratularono col giovine artista per la sua diligenza, come per la sua valentia.
ritrattodeldiavolo_06_barrili_f000140|Il popolo fu chiamato e ammirò.|Il popolo fu chiamato e ammirò.
ritrattodeldiavolo_06_barrili_f000141|Spinello, rifacendo, aveva mutato alcune cose, pensando che potesse vantaggiarsene il quadro.|Spinello, rifacendo, aveva mutato alcune cose, pensando che potesse vantaggiarsene il quadro.
ritrattodeldiavolo_06_barrili_f000142|E certamente la composizione, restando suppergiù quella di prima, ci aveva guadagnato di scioltezza;|E certamente la composizione, restando suppergiù quella di prima, ci aveva guadagnato di scioltezza;
ritrattodeldiavolo_06_barrili_f000143|il disegno appariva più corretto, e tutte le parti assai meglio dipinte.|il disegno appariva più corretto, e tutte le parti assai meglio dipinte.
ritrattodeldiavolo_06_barrili_f000144|Chi ha dovuto rifare un lavoro, anche lodato nella sua prima forma, intenderà queste cose.|Chi ha dovuto rifare un lavoro, anche lodato nella sua prima forma, intenderà queste cose.
ritrattodeldiavolo_06_barrili_f000145|Ma non mancarono neanche i sofistici, per sentenziare che il primo affresco era meglio.|Ma non mancarono neanche i sofistici, per sentenziare che il primo affresco era meglio.
ritrattodeldiavolo_06_barrili_f000146|E forse, anche senza saperlo, dicevano il vero|E forse, anche senza saperlo, dicevano il vero
ritrattodeldiavolo_06_barrili_f000147|poichè la freschezza di una prima impressione non si ripete più, anche facendo un più corretto lavoro.|poichè la freschezza di una prima impressione non si ripete più, anche facendo un più corretto lavoro.
ritrattodeldiavolo_06_barrili_f000148|Lodato, levato a cielo, messo a confronto con sè medesimo, Spinello non era tuttavia con l'animo all'altezza della sua riputazione.|Lodato, levato a cielo, messo a confronto con sè medesimo, Spinello non era tuttavia con l'animo all'altezza della sua riputazione.
ritrattodeldiavolo_06_barrili_f000149|Il poveretto sfioriva, avvizziva, intristiva ad occhi veggenti.|Il poveretto sfioriva, avvizziva, intristiva ad occhi veggenti.
ritrattodeldiavolo_06_barrili_f000150|--Ragazzo mio,--gli disse un giorno Mastro Jacopo,--tu non sei contento dei fatti tuoi;|--Ragazzo mio,--gli disse un giorno Mastro Jacopo,--tu non sei contento dei fatti tuoi;
ritrattodeldiavolo_06_barrili_f000151|tu aspetti qualche cosa, come a dire la manna del cielo.|tu aspetti qualche cosa, come a dire la manna del cielo.
ritrattodeldiavolo_06_barrili_f000152|--Che dite, maestro!--esclamò il giovinetto, confuso. --Negalo, se ti basta l'animo.|--Che dite, maestro!--esclamò il giovinetto, confuso. --Negalo, se ti basta l'animo.
ritrattodeldiavolo_06_barrili_f000153|Non sarà la manna, lo capisco, ma qualche cosa di simile.|Non sarà la manna, lo capisco, ma qualche cosa di simile.
ritrattodeldiavolo_06_barrili_f000154|Per esempio,--soggiunse maliziosamente il vecchio pittore,--una parolina di quel certo babbo.|Per esempio,--soggiunse maliziosamente il vecchio pittore,--una parolina di quel certo babbo.
ritrattodeldiavolo_06_barrili_f000155|Ed io, scimunito, m'ero messo in testa che ti bastasse la gloria!|Ed io, scimunito, m'ero messo in testa che ti bastasse la gloria!
ritrattodeldiavolo_06_barrili_f000156|--Oh, padre mio,--rispose Spinello, indovinando finalmente dove volesse andare a battere mastro Jacopo|--Oh, padre mio,--rispose Spinello, indovinando finalmente dove volesse andare a battere mastro Jacopo
ritrattodeldiavolo_06_barrili_f000157|--la gloria è una bella cosa, soltanto perchè è donna.|--la gloria è una bella cosa, soltanto perchè è donna.
ritrattodeldiavolo_06_barrili_f000158|Ma una donna vera, sia detto con vostra licenza, vale assai più della gloria, che è donna solamente per grammatica.|Ma una donna vera, sia detto con vostra licenza, vale assai più della gloria, che è donna solamente per grammatica.
ritrattodeldiavolo_06_barrili_f000159|--Eh! non dirai mica sempre così; --ripigliò mastro Jacopo.|--Eh! non dirai mica sempre così; --ripigliò mastro Jacopo.
ritrattodeldiavolo_06_barrili_f000160|--Come tu mi vedi, io amo adesso la gloria, che è donna per burla.|--Come tu mi vedi, io amo adesso la gloria, che è donna per burla.
ritrattodeldiavolo_06_barrili_f000161|È vero che anch'io non sono più l'uomo di prima.|È vero che anch'io non sono più l'uomo di prima.
ritrattodeldiavolo_06_barrili_f000162|Tuttavia, quando aveva i tuoi anni, amavo una cosa e l'altra, anzi una cosa per l'altra.|Tuttavia, quando aveva i tuoi anni, amavo una cosa e l'altra, anzi una cosa per l'altra.
ritrattodeldiavolo_06_barrili_f000163|Ma infine, siamo giusti, non è questo ciò che tu fai?|Ma infine, siamo giusti, non è questo ciò che tu fai?
ritrattodeldiavolo_06_barrili_f000164|Desideri di risplendere, d'innalzarti, per raggiungere un fiore.|Desideri di risplendere, d'innalzarti, per raggiungere un fiore.
ritrattodeldiavolo_06_barrili_f000165|--Ed un fiore che voi tenete tropp'alto con la mano; --disse Spinello, ridendo. --Sì, eh, manigoldo! Troppo alto?|--Ed un fiore che voi tenete tropp'alto con la mano; --disse Spinello, ridendo. --Sì, eh, manigoldo! Troppo alto?
ritrattodeldiavolo_06_barrili_f000166|Stiamo a vedere che dovrei buttartelo tra' piedi! Ma basti di ciò;|Stiamo a vedere che dovrei buttartelo tra' piedi! Ma basti di ciò;
ritrattodeldiavolo_06_barrili_f000167|--soggiunse mastro Jacopo, vedendo che il povero innamorato si faceva serio da capo;|--soggiunse mastro Jacopo, vedendo che il povero innamorato si faceva serio da capo;
ritrattodeldiavolo_06_barrili_f000168|--che diresti tu del giorno di San Luca? Sai pure. San Luca è il patrono dei pittori.|--che diresti tu del giorno di San Luca? Sai pure. San Luca è il patrono dei pittori.
ritrattodeldiavolo_06_barrili_f000169|--Dico,--rispose il giovane, chinando la testa,--che san Luca verrà fra trentadue giorni. --Ti paion troppi?|--Dico,--rispose il giovane, chinando la testa,--che san Luca verrà fra trentadue giorni. --Ti paion troppi?
ritrattodeldiavolo_06_barrili_f000170|Contentati! Anche Fiordalisa ci ha i suoi apparecchi da fare.|Contentati! Anche Fiordalisa ci ha i suoi apparecchi da fare.
ritrattodeldiavolo_06_barrili_f000171|Spinello Spinelli si buttò nelle braccia di mastro Jacopo.|Spinello Spinelli si buttò nelle braccia di mastro Jacopo.
ritrattodeldiavolo_06_barrili_f000172|--Animo, via!--brontolò il vecchio pittore.|--Animo, via!--brontolò il vecchio pittore.
ritrattodeldiavolo_06_barrili_f000173|--Non piangere, io credo di aver disimparata quest'arte, e potrei esser geloso di te.|--Non piangere, io credo di aver disimparata quest'arte, e potrei esser geloso di te.
ritrattodeldiavolo_06_barrili_f000174|Così dicendo, mastro Jacopo asciugava due luccioloni, che erano venuti proprio allora a farlo bugiardo.|Così dicendo, mastro Jacopo asciugava due luccioloni, che erano venuti proprio allora a farlo bugiardo.
ritrattodeldiavolo_06_barrili_f000175|Quel giorno, Spinello Spinelli entrò raggiante in bottega.|Quel giorno, Spinello Spinelli entrò raggiante in bottega.
ritrattodeldiavolo_06_barrili_f000176|E Parri della Quercia e Tuccio di Credi, opachi e taciturni lavoratori|E Parri della Quercia e Tuccio di Credi, opachi e taciturni lavoratori
ritrattodeldiavolo_06_barrili_f000177|levarono gli occhi stupiti a contemplare quel giovine cherubino, che non capiva più nella pelle.|levarono gli occhi stupiti a contemplare quel giovine cherubino, che non capiva più nella pelle.
ritrattodeldiavolo_06_barrili_f000178|--Che c'è? --disse Parri della Quercia. --Vi fiammeggiano gli occhi. --Lo credo io!--rispose Spinello.|--Che c'è? --disse Parri della Quercia. --Vi fiammeggiano gli occhi. --Lo credo io!--rispose Spinello.
ritrattodeldiavolo_06_barrili_f000179|--C'è... c'è, amici miei, una grande novità. Ve la dò a indovinare alle cento.|--C'è... c'è, amici miei, una grande novità. Ve la dò a indovinare alle cento.
ritrattodeldiavolo_06_barrili_f000180|--Dio buono!--esclamò Parri della Quercia,--si tratta di una cosa che vi fa molto piacere.|--Dio buono!--esclamò Parri della Quercia,--si tratta di una cosa che vi fa molto piacere.
ritrattodeldiavolo_06_barrili_f000181|--Benissimo! Avete indovinato alla prima.|--Benissimo! Avete indovinato alla prima.
ritrattodeldiavolo_06_barrili_f000182|--Eh, che sia una cosa allegra lo si vede dalla vostra cera.|--Eh, che sia una cosa allegra lo si vede dalla vostra cera.
ritrattodeldiavolo_06_barrili_f000183|Che cosa sia, poi, aspettiamo di udirlo dalle vostre labbra, poichè non basterebbero a noi, nè le cento, nè le mille.|Che cosa sia, poi, aspettiamo di udirlo dalle vostre labbra, poichè non basterebbero a noi, nè le cento, nè le mille.
ritrattodeldiavolo_06_barrili_f000184|--San Luca! San Luca!--gridò Spinello, saltando, e abbracciando l'amico Parri. --Mi capite? Il giorno di San Luca.|--San Luca! San Luca!--gridò Spinello, saltando, e abbracciando l'amico Parri. --Mi capite? Il giorno di San Luca.
ritrattodeldiavolo_06_barrili_f000185|--Cade se non m'inganno ai diciotto di ottobre; --rispose Parri della Quercia. --Che importa a me quando casca?|--Cade se non m'inganno ai diciotto di ottobre; --rispose Parri della Quercia. --Che importa a me quando casca?
ritrattodeldiavolo_06_barrili_f000186|Volevo dirvi che quel giorno io sposerò madonna Fiordalisa. --Ah!--disse Parri.|Volevo dirvi che quel giorno io sposerò madonna Fiordalisa. --Ah!--disse Parri.
ritrattodeldiavolo_06_barrili_f000187|--Abbiate le mie congratulazioni. Quantunque, potete anche farne di meno. --V'ingannate, Parri;|--Abbiate le mie congratulazioni. Quantunque, potete anche farne di meno. --V'ingannate, Parri;
ritrattodeldiavolo_06_barrili_f000188|le congratulazioni degli amici ci esprimono il loro animo e portano fortuna come gli augurii.|le congratulazioni degli amici ci esprimono il loro animo e portano fortuna come gli augurii.
ritrattodeldiavolo_06_barrili_f000189|E il vostro e quello di Tuccio mi saranno carissimi.|E il vostro e quello di Tuccio mi saranno carissimi.
ritrattodeldiavolo_06_barrili_f000190|Tuccio di Credi, così chiamato a parte della gioia di Spinello Spinelli, lasciò di macinar colori|Tuccio di Credi, così chiamato a parte della gioia di Spinello Spinelli, lasciò di macinar colori
ritrattodeldiavolo_06_barrili_f000191|per rispondere col suo accento grave, che pareva scaturire dagli abissi: --Siate felice!|per rispondere col suo accento grave, che pareva scaturire dagli abissi: --Siate felice!
ritrattodeldiavolo_06_barrili_f000192|--E voi mi sarete compagni alla cerimonia, non è vero?|--E voi mi sarete compagni alla cerimonia, non è vero?
ritrattodeldiavolo_06_barrili_f000193|--ripigliò Spinello, che era avvezzo al tono di voce dell'amico Tuccio e non doveva farne più caso.|--ripigliò Spinello, che era avvezzo al tono di voce dell'amico Tuccio e non doveva farne più caso.
ritrattodeldiavolo_06_barrili_f000194|--Sicuramente,--rispose Parri della Quercia. --La vostra allegrezza è la nostra. --Ed è grande, sapete?|--Sicuramente,--rispose Parri della Quercia. --La vostra allegrezza è la nostra. --Ed è grande, sapete?
ritrattodeldiavolo_06_barrili_f000195|Così grande che io non la posso contenere; così grande, che ho sempre paura di.... Ma non diciamo sciocchezze.|Così grande che io non la posso contenere; così grande, che ho sempre paura di.... Ma non diciamo sciocchezze.
ritrattodeldiavolo_06_barrili_f000196|Volevo soltanto farvi intendere che gioia profonda sia quella di possedere chi s'ama, quando si ama.... --Come voi amate, ho capito;|Volevo soltanto farvi intendere che gioia profonda sia quella di possedere chi s'ama, quando si ama.... --Come voi amate, ho capito;
ritrattodeldiavolo_06_barrili_f000197|--disse Parri della Quercia, col suo placido viso.|--disse Parri della Quercia, col suo placido viso.
ritrattodeldiavolo_06_barrili_f000198|Era contento quel buon diavolaccio di Parri.|Era contento quel buon diavolaccio di Parri.
ritrattodeldiavolo_06_barrili_f000199|Non si sentiva nato per nessuna altezza, e dalla sua mediocrità consapevole, ma non gelosa, godeva di ammirare i fortunati che andavano su|Non si sentiva nato per nessuna altezza, e dalla sua mediocrità consapevole, ma non gelosa, godeva di ammirare i fortunati che andavano su
ritrattodeldiavolo_06_barrili_f000200|fin dove un uomo può andare, per cogliere ciò che è più desiderato nel mondo|fin dove un uomo può andare, per cogliere ciò che è più desiderato nel mondo
ritrattodeldiavolo_06_barrili_f000201|una corona di alloro o un amplesso, il bacio della gloria o un bacio di donna.|una corona di alloro o un amplesso, il bacio della gloria o un bacio di donna.
ritrattodeldiavolo_06_barrili_f000202|Tuccio di Credi, per contro, era diventato livido come un cadavere.|Tuccio di Credi, per contro, era diventato livido come un cadavere.
ritrattodeldiavolo_06_barrili_f000203|Ma già, voi lo sapete, Tuccio di Credi aveva la faccia di colore olivastro|Ma già, voi lo sapete, Tuccio di Credi aveva la faccia di colore olivastro
ritrattodeldiavolo_06_barrili_f000204|e queste tinte illividiscono facilmente ad ogni commozione dell'animo.|e queste tinte illividiscono facilmente ad ogni commozione dell'animo.
ritrattodeldiavolo_06_barrili_f000205|Ora, il lividore di Tuccio poteva essere un segno di allegrezza profonda, come era di profondo rancore.|Ora, il lividore di Tuccio poteva essere un segno di allegrezza profonda, come era di profondo rancore.
ritrattodeldiavolo_06_barrili_f000206|Anch'egli aveva amato Fiordalisa, ma senza speranza|Anch'egli aveva amato Fiordalisa, ma senza speranza
ritrattodeldiavolo_06_barrili_f000207|prima che Spinello Spinelli entrasse in bottega di mastro Jacopo e innamorasse la bella figliuola del pittore.|prima che Spinello Spinelli entrasse in bottega di mastro Jacopo e innamorasse la bella figliuola del pittore.
ritrattodeldiavolo_06_barrili_f000208|Per altro, avrebbe voluto che gliela rubasse un altro;|Per altro, avrebbe voluto che gliela rubasse un altro;
ritrattodeldiavolo_06_barrili_f000209|il Buontalenti, per esempio, o il primo venuto tra i cavalieri d'Arezzo.|il Buontalenti, per esempio, o il primo venuto tra i cavalieri d'Arezzo.
ritrattodeldiavolo_06_barrili_f000210|Egli certamente avrebbe odiato il rivale, ma non così fieramente come un compagno d'arte|Egli certamente avrebbe odiato il rivale, ma non così fieramente come un compagno d'arte
ritrattodeldiavolo_06_barrili_f000211|la cui felicità dovesse stargli sempre davanti agli occhi, quasi un rimprovero alla sua dappocaggine.|la cui felicità dovesse stargli sempre davanti agli occhi, quasi un rimprovero alla sua dappocaggine.
ritrattodeldiavolo_06_barrili_f000212|--Ecco qua (parea dirgli un matrimonio di quella fatta);|--Ecco qua parea dirgli un matrimonio di quella fatta;
ritrattodeldiavolo_06_barrili_f000213|madonna Fiordalisa, quest'angelo di bellezza doveva toccare in premio ad uno che avesse in petto il sacro fuoco dell'arte; e tu non eri quell'uno.|madonna Fiordalisa, quest'angelo di bellezza doveva toccare in premio ad uno che avesse in petto il sacro fuoco dell'arte; e tu non eri quell'uno.
ritrattodeldiavolo_06_barrili_f000214|Ma che importa, quando si ama (dirà il lettore), che importa che la persona amata vi sia rapita da Caio, anzi che da Sempronio?|Ma che importa, quando si ama dirà il lettore, che importa che la persona amata vi sia rapita da Caio, anzi che da Sempronio?
ritrattodeldiavolo_06_barrili_f000215|Importa moltissimo, se all'amore aggiungete l'invidia.|Importa moltissimo, se all'amore aggiungete l'invidia.
ritrattodeldiavolo_07_barrili_f000001|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO SETTIMO.|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO SETTIMO.
ritrattodeldiavolo_07_barrili_f000002|Siamo già presso al gran giorno, e ancora non si è fatta un'intima conoscenza con madonna Fiordalisa|Siamo già presso al gran giorno, e ancora non si è fatta un'intima conoscenza con madonna Fiordalisa
ritrattodeldiavolo_07_barrili_f000003|che dovrebb'essere l'eroina della festa.|che dovrebb'essere l'eroina della festa.
ritrattodeldiavolo_07_barrili_f000004|Abbiamo ammirata la sua bellezza esteriore, ma l'anima sua non ci è nota.|Abbiamo ammirata la sua bellezza esteriore, ma l'anima sua non ci è nota.
ritrattodeldiavolo_07_barrili_f000005|Abbiamo veduto il fiore, non abbiamo sentito il profumo.|Abbiamo veduto il fiore, non abbiamo sentito il profumo.
ritrattodeldiavolo_07_barrili_f000006|Fiordalisa era vissuta molti anni da sola in casa di mastro Jacopo, padre amoroso, ma burbero e tutto sprofondato nell'arte sua.|Fiordalisa era vissuta molti anni da sola in casa di mastro Jacopo, padre amoroso, ma burbero e tutto sprofondato nell'arte sua.
