kleine_lord_01_f000001|Erstes Kapitel|Erstes Kapitel
kleine_lord_06_f000062|Und dann war es doch gar zu merkwürdig, zu denken, daß das alles für ihn herbeigeschafft worden war, daß,|Und dann war es doch gar zu merkwürdig, zu denken, daß das alles für ihn herbeigeschafft worden war, daß,
kleine_lord_06_f000063|noch ehe er New York verlassen, alle diese Herrlichkeit für ihn vorbereitet worden war.|noch ehe er New York verlassen, alle diese Herrlichkeit für ihn vorbereitet worden war.
kleine_lord_06_f000064|Haben Sie je von so einem guten Großvater gehört? fragte er Dawson mit Begeisterung.|Haben Sie je von so einem guten Großvater gehört? fragte er Dawson mit Begeisterung.
kleine_lord_06_f000065|Dawson war erst seit wenigen Tagen im Hause, aber im Dienerschaftszimmer hatte sie schon mancherlei von den Eigenheiten des alten Herrn gehört.|Dawson war erst seit wenigen Tagen im Hause, aber im Dienerschaftszimmer hatte sie schon mancherlei von den Eigenheiten des alten Herrn gehört.
kleine_lord_06_f000066|Von all den sündhaften, jähzornigen, wilden alten Kerls, deren bunten Rock zu tragen ich das Pech gehabt,|Von all den sündhaften, jähzornigen, wilden alten Kerls, deren bunten Rock zu tragen ich das Pech gehabt,
kleine_lord_06_f000067|ist der hier der ärgste Wüterich, hatte sich Thomas, der lange Bediente, geäußert.|ist der hier der ärgste Wüterich, hatte sich Thomas, der lange Bediente, geäußert.
kleine_lord_06_f000068|Und dieser selbe Thomas hatte auch mit angehört, in welchen Worten der Graf Mister Havisham gegenüber diese zarte Fürsorge für seinen Enkel begründet hatte,|Und dieser selbe Thomas hatte auch mit angehört, in welchen Worten der Graf Mister Havisham gegenüber diese zarte Fürsorge für seinen Enkel begründet hatte,
kleine_lord_06_f000069|und hatte nicht verfehlt, dieselben in den unteren Regionen zu wiederholen.|und hatte nicht verfehlt, dieselben in den unteren Regionen zu wiederholen.
kleine_lord_06_f000070|Man läßt ihm den Willen und füllt seine Zimmer mit Spielzeug, hatte Mylord gesagt. Gebt ihm, was ihm Spaß macht, dann wird die Mutter schnell vergessen sein – das ist Kinderart.|Man läßt ihm den Willen und füllt seine Zimmer mit Spielzeug, hatte Mylord gesagt. Gebt ihm, was ihm Spaß macht, dann wird die Mutter schnell vergessen sein - das ist Kinderart.
kleine_lord_06_f000071|Bei diesen liebenswürdigen Absichten war die dem Grafen vorbehaltene Entdeckung, daß es dieses Kindes Art nun eben nicht sei, keine erfreuliche für denselben.|Bei diesen liebenswürdigen Absichten war die dem Grafen vorbehaltene Entdeckung, daß es dieses Kindes Art nun eben nicht sei, keine erfreuliche für denselben.
kleine_lord_06_f000072|Er hatte eine schlechte Nacht gehabt und war den Vormittag über in seinem Zimmer geblieben. Nach dem zweiten Frühstück ließ er aber den Enkel doch rufen.|Er hatte eine schlechte Nacht gehabt und war den Vormittag über in seinem Zimmer geblieben. Nach dem zweiten Frühstück ließ er aber den Enkel doch rufen.
kleine_lord_06_f000073|Sofort vernahm er kurze, hastige Schritte in der Halle, und mit heißen Wangen und blitzenden Augen trat Cedrik bei ihm ein.|Sofort vernahm er kurze, hastige Schritte in der Halle, und mit heißen Wangen und blitzenden Augen trat Cedrik bei ihm ein.
kleine_lord_06_f000074|Ich habe immer gewartet, ob du nicht nach mir schicken würdest, sagte er, und ich danke dir viel tausend-, tausendmal für all die schönen Sachen!|Ich habe immer gewartet, ob du nicht nach mir schicken würdest, sagte er, und ich danke dir viel tausend-, tausendmal für all die schönen Sachen!
kleine_lord_06_f000075|Den ganzen Vormittag habe ich damit gespielt!|Den ganzen Vormittag habe ich damit gespielt!
kleine_lord_06_f000076|So, so! versetzte der Graf. Sie gefallen dir also – hm?|So, so! versetzte der Graf. Sie gefallen dir also - hm?
kleine_lord_06_f000077|O, und wie! Das kann ich dir gar nicht sagen! beteuerte Lord Fauntleroy freudestrahlend.|O, und wie! Das kann ich dir gar nicht sagen! beteuerte Lord Fauntleroy freudestrahlend.
kleine_lord_06_f000078|Eins ist dabei, das ist gerade wie base-ball, nur daß man's auf einem Brett spielt mit schwarz und weißen Zapfen.|Eins ist dabei, das ist gerade wie base-ball, nur daß man's auf einem Brett spielt mit schwarz und weißen Zapfen.
kleine_lord_06_f000079|Ich hab's Dawson zeigen wollen, aber sie hat's nicht recht verstanden – natürlich, weil sie eine Dame ist,|Ich hab's Dawson zeigen wollen, aber sie hat's nicht recht verstanden - natürlich, weil sie eine Dame ist,
kleine_lord_06_f000080|hat sie ja nie Ball gespielt, und ich hab's wahrscheinlich nicht gut erklärt. Aber du kennst's doch?|hat sie ja nie Ball gespielt, und ich hab's wahrscheinlich nicht gut erklärt. Aber du kennst's doch?
kleine_lord_06_f000081|Ich fürchte, nein, versetzte der Graf. Das ist wohl ein amerikanisches Spiel, nicht? Etwa wie Cricket?|Ich fürchte, nein, versetzte der Graf. Das ist wohl ein amerikanisches Spiel, nicht? Etwa wie Cricket?
kleine_lord_06_f000082|Cricket habe ich nie gesehen; aber Mister Hobbs hat mich einigemal mitgenommen, um base-ball spielen zu sehen.|Cricket habe ich nie gesehen; aber Mister Hobbs hat mich einigemal mitgenommen, um base-ball spielen zu sehen.
kleine_lord_06_f000083|Ein ganz famoses Spiel! O, man wird so aufgeregt! Soll ich das Spiel holen und dir zeigen?|Ein ganz famoses Spiel! O, man wird so aufgeregt! Soll ich das Spiel holen und dir zeigen?
kleine_lord_06_f000084|Vielleicht gefällt dir's so gut, daß du deinen Fuß ganz vergißt – thut er dir heute sehr weh?|Vielleicht gefällt dir's so gut, daß du deinen Fuß ganz vergißt - thut er dir heute sehr weh?
kleine_lord_06_f000085|Mehr, als mir lieb ist, wenigstens.|Mehr, als mir lieb ist, wenigstens.
kleine_lord_06_f000086|Dann kannst du's vielleicht nicht vergessen, sagte Ceddie mit besorgter Miene. Vielleicht wär dir's dann lästig, das Spiel zu lernen.|Dann kannst du's vielleicht nicht vergessen, sagte Ceddie mit besorgter Miene. Vielleicht wär dir's dann lästig, das Spiel zu lernen.
kleine_lord_06_f000087|Geh nur immerhin und hole es, entschied der Graf.|Geh nur immerhin und hole es, entschied der Graf.
kleine_lord_06_f000088|Es lag wieder ein ironisches Lächeln um seinen Mund, als Cedrik mit der Schachtel im Arm und dem größten Feuereifer in seinem frischen Gesichte zurückkam.|Es lag wieder ein ironisches Lächeln um seinen Mund, als Cedrik mit der Schachtel im Arm und dem größten Feuereifer in seinem frischen Gesichte zurückkam.
kleine_lord_06_f000089|Darf ich den kleinen Tisch zu dir hinschieben? fragte er.|Darf ich den kleinen Tisch zu dir hinschieben? fragte er.
kleine_lord_06_f000090|Klingle nur – Thomas besorgt das.|Klingle nur - Thomas besorgt das.
kleine_lord_06_f000091|O, das kann ich ganz gut allein! Er ist gar nicht schwer!|O, das kann ich ganz gut allein! Er ist gar nicht schwer!
kleine_lord_06_f000092|Auch gut, bemerkte der Großvater, den es sichtlich belustigte, wie eifrig sein kleiner Kamerad die Vorbereitungen zum Spiele betrieb.|Auch gut, bemerkte der Großvater, den es sichtlich belustigte, wie eifrig sein kleiner Kamerad die Vorbereitungen zum Spiele betrieb.
kleine_lord_06_f000093|Der Tisch wurde glücklich herbeigeschleppt und dann begann eine gründliche, ausführliche Auseinandersetzung und eine sehr dramatische Schilderung des großen base-ball-Wettspieles,|Der Tisch wurde glücklich herbeigeschleppt und dann begann eine gründliche, ausführliche Auseinandersetzung und eine sehr dramatische Schilderung des großen base-ball-Wettspieles,
kleine_lord_06_f000094|das er mit Mister Hobbs gesehen hatte.|das er mit Mister Hobbs gesehen hatte.
kleine_lord_06_f000095|Schließlich konnte das Spiel allen Ernstes beginnen, und der alte Herr fand es zu seinem Erstaunen keineswegs langweilig.|Schließlich konnte das Spiel allen Ernstes beginnen, und der alte Herr fand es zu seinem Erstaunen keineswegs langweilig.
kleine_lord_06_f000096|Sein Partner war mit Leib und Seele dabei, sein fröhliches Lachen, wenn er einen famosen Wurf gethan hatte,|Sein Partner war mit Leib und Seele dabei, sein fröhliches Lachen, wenn er einen famosen Wurf gethan hatte,
kleine_lord_06_f000097|seine unparteiische Freude, wenn er selbst, oder wenn der Gegner Glück hatte, belebten die Sache ungemein.|seine unparteiische Freude, wenn er selbst, oder wenn der Gegner Glück hatte, belebten die Sache ungemein.
kleine_lord_06_f000098|Wer dem Grafen vor einigen Tagen gesagt hätte, daß er Gicht und üble Launen vergessen würde überm Spiele mit schwarz und weißen Holzzäpfchen und einem blondlockigen, kleinen Jungen als Partner!|Wer dem Grafen vor einigen Tagen gesagt hätte, daß er Gicht und üble Launen vergessen würde überm Spiele mit schwarz und weißen Holzzäpfchen und einem blondlockigen, kleinen Jungen als Partner!
kleine_lord_06_f000099|Und nun war er so vertieft darin, daß er's beinahe überhörte, als Thomas einen Besuch meldete.|Und nun war er so vertieft darin, daß er's beinahe überhörte, als Thomas einen Besuch meldete.
kleine_lord_06_f000100|Der in Rede stehende Besucher war ein älterer Herr in schwarzer Kleidung und kein Geringerer, als der Geistliche des Ortes;|Der in Rede stehende Besucher war ein älterer Herr in schwarzer Kleidung und kein Geringerer, als der Geistliche des Ortes;
kleine_lord_06_f000101|derselbe war so verblüfft über das Bild, das sich ihm bei seinem Eintritt darbot, daß er, einen Schritt zurückprallend, fast mit Thomas zusammengestoßen wäre.|derselbe war so verblüfft über das Bild, das sich ihm bei seinem Eintritt darbot, daß er, einen Schritt zurückprallend, fast mit Thomas zusammengestoßen wäre.
kleine_lord_06_f000102|Es gab keinen Teil seiner Amtspflicht, den Mister Mordaunt so schwierig und so peinlich zu erledigen fand,|Es gab keinen Teil seiner Amtspflicht, den Mister Mordaunt so schwierig und so peinlich zu erledigen fand,
kleine_lord_06_f000103|als den Verkehr mit seinem Gutsherrn, der die Besuche bei ihm stets zu überaus unerquicklichen Stunden gestaltete.|als den Verkehr mit seinem Gutsherrn, der die Besuche bei ihm stets zu überaus unerquicklichen Stunden gestaltete.
kleine_lord_06_f000104|Gegen Kirchen und Wohlthätigkeitsanstalten hatte derselbe nun einmal ein entschiedenes Vorurteil;|Gegen Kirchen und Wohlthätigkeitsanstalten hatte derselbe nun einmal ein entschiedenes Vorurteil;
kleine_lord_06_f000105|war die Gicht sehr schlimm, so erklärte er ohne weiteres, daß er nicht durch Erzählungen über das Bettlerpack mißhandelt werden wolle.|war die Gicht sehr schlimm, so erklärte er ohne weiteres, daß er nicht durch Erzählungen über das Bettlerpack mißhandelt werden wolle.
kleine_lord_06_f000106|Waren die Schmerzen etwas geringer und die Stimmung menschlicher, so gab er zuletzt einiges Geld her,|Waren die Schmerzen etwas geringer und die Stimmung menschlicher, so gab er zuletzt einiges Geld her,
kleine_lord_06_f000107|aber nie, ohne möglichst viel Sarkasmen und verletzende Bemerkungen über den Pfarrer ausgegossen zu haben,|aber nie, ohne möglichst viel Sarkasmen und verletzende Bemerkungen über den Pfarrer ausgegossen zu haben,
kleine_lord_06_f000108|der es äußerst schwierig fand, seine christlichen Gesinnungen auch auf den edlen Lord in Anwendung zu bringen.|der es äußerst schwierig fand, seine christlichen Gesinnungen auch auf den edlen Lord in Anwendung zu bringen.
kleine_lord_06_f000109|Aus freiem Willen etwas Gutes thun oder einen freundlichen Gedanken für andre hegen, waren Dinge, welche Mister Mordaunt in all den Jahren an seinem Gebieter nicht kennen gelernt hatte.|Aus freiem Willen etwas Gutes thun oder einen freundlichen Gedanken für andre hegen, waren Dinge, welche Mister Mordaunt in all den Jahren an seinem Gebieter nicht kennen gelernt hatte.
kleine_lord_06_f000110|Heute war er gekommen, um über einen besonders dringenden Fall zu reden, und er hatte sich noch mehr als sonst mit Furcht und Zittern auf den Weg gemacht.|Heute war er gekommen, um über einen besonders dringenden Fall zu reden, und er hatte sich noch mehr als sonst mit Furcht und Zittern auf den Weg gemacht.
kleine_lord_06_f000111|Einmal wußte er, daß der Graf seit mehreren Tagen an einem besonders heftigen Gichtanfall litt und daß das Barometer auf Sturm stand,|Einmal wußte er, daß der Graf seit mehreren Tagen an einem besonders heftigen Gichtanfall litt und daß das Barometer auf Sturm stand,
kleine_lord_06_f000112|so daß Gerüchte darüber sogar bis ins Dorf gedrungen waren – Missis Dibble, die einen kleinen Laden mit Nähnadeln,|so daß Gerüchte darüber sogar bis ins Dorf gedrungen waren - Missis Dibble, die einen kleinen Laden mit Nähnadeln,
kleine_lord_06_f000113|Strickgarn, Pfefferminzzeltchen und Klatsch hielt, besaß als Hauptbezugsquelle für letzteren gesuchten Artikel eine Schwester,|Strickgarn, Pfefferminzzeltchen und Klatsch hielt, besaß als Hauptbezugsquelle für letzteren gesuchten Artikel eine Schwester,
kleine_lord_06_f000114|die als Hausmädchen im Schlosse diente, mit Mister Thomas auf gutem Fuße stand und einfach alles wußte.|die als Hausmädchen im Schlosse diente, mit Mister Thomas auf gutem Fuße stand und einfach alles wußte.
kleine_lord_06_f000115|Wie's der Lord jetzt treibt, hatte Missis Dibble erzählt, das ist nicht mehr zu sagen, und was er für Ausdrücke braucht – Mister Thomas hat selbst zu meiner Jane gesagt,|Wie's der Lord jetzt treibt, hatte Missis Dibble erzählt, das ist nicht mehr zu sagen, und was er für Ausdrücke braucht - Mister Thomas hat selbst zu meiner Jane gesagt,
kleine_lord_06_f000116|das halte kein Christenmensch mehr aus, und wenn der Dienst sonst nicht gut wäre, und die Gesellschaft im Unterstocke so nett,|das halte kein Christenmensch mehr aus, und wenn der Dienst sonst nicht gut wäre, und die Gesellschaft im Unterstocke so nett,
kleine_lord_06_f000117|hätte er ihm neulich, nachdem Mylord ihm die heiße Platte mit dem Toast an den Kopf geworfen, rundweg aufgesagt!|hätte er ihm neulich, nachdem Mylord ihm die heiße Platte mit dem Toast an den Kopf geworfen, rundweg aufgesagt!
kleine_lord_06_f000118|Dies alles war auch ins Pfarrhaus gedrungen, denn der Lord war nun einmal das schwarze Schaf in der Gemeinde,|Dies alles war auch ins Pfarrhaus gedrungen, denn der Lord war nun einmal das schwarze Schaf in der Gemeinde,
kleine_lord_06_f000119|von dem man nicht genug Schauergeschichten erzählen und hören konnte.|von dem man nicht genug Schauergeschichten erzählen und hören konnte.
kleine_lord_06_f000120|Und noch ein andres ließ den wackeren Geistlichen gerade heute einen üblen Empfang im Schlosse fürchten.|Und noch ein andres ließ den wackeren Geistlichen gerade heute einen üblen Empfang im Schlosse fürchten.
kleine_lord_06_f000121|Jedermann wußte, wie wütend der Graf über seines Sohnes amerikanische Heirat gewesen war, jedermann wußte,|Jedermann wußte, wie wütend der Graf über seines Sohnes amerikanische Heirat gewesen war, jedermann wußte,
kleine_lord_06_f000122|wie hart er ihn behandelt hatte, und daß der frische, hübsche junge Mann – der einzige seiner Familie,|wie hart er ihn behandelt hatte, und daß der frische, hübsche junge Mann - der einzige seiner Familie,
kleine_lord_06_f000123|der allgemein beliebt gewesen – arm und unversöhnt im fremden Lande gestorben war.|der allgemein beliebt gewesen - arm und unversöhnt im fremden Lande gestorben war.
kleine_lord_06_f000124|Jedermann wußte ferner, daß er ohne jede Neigung oder Freude der Ankunft jenes Enkels entgegensah und daß er sich in den Kopf gesetzt hatte,|Jedermann wußte ferner, daß er ohne jede Neigung oder Freude der Ankunft jenes Enkels entgegensah und daß er sich in den Kopf gesetzt hatte,
kleine_lord_06_f000125|einen ungeschlachten, plumpen Lümmel von Amerikaner in ihm zu finden, der seinem Namen Schande machen mußte.|einen ungeschlachten, plumpen Lümmel von Amerikaner in ihm zu finden, der seinem Namen Schande machen mußte.
kleine_lord_06_f000126|Das alles wußte man, obgleich der harte, stolze Mann sein Inneres vor jedem Menschen zu verbergen glaubte!|Das alles wußte man, obgleich der harte, stolze Mann sein Inneres vor jedem Menschen zu verbergen glaubte!
kleine_lord_06_f000127|Und während er sich völlig gesichert vor jedem Einblick in sein Leben hielt, hieß es am Dienerschaftstische:|Und während er sich völlig gesichert vor jedem Einblick in sein Leben hielt, hieß es am Dienerschaftstische:
kleine_lord_06_f000128|Wenn der Alte an des Kapitäns Jungen denkt, treibt er's noch toller als sonst, weil er eine Hundeangst vor dem Bengel hat.|Wenn der Alte an des Kapitäns Jungen denkt, treibt er's noch toller als sonst, weil er eine Hundeangst vor dem Bengel hat.
kleine_lord_06_f000129|Geschieht ihm aber ganz recht, er ist selber schuld daran, und was kann er von einem Kinde erwarten, das da drüben in dem Amerika unter geringen Leuten aufgezogen ist?|Geschieht ihm aber ganz recht, er ist selber schuld daran, und was kann er von einem Kinde erwarten, das da drüben in dem Amerika unter geringen Leuten aufgezogen ist?
kleine_lord_06_f000130|Dies alles überlegte sich Seine Ehrwürden, als er, im Schatten der herrlichen alten Bäume dahinschritt,|Dies alles überlegte sich Seine Ehrwürden, als er, im Schatten der herrlichen alten Bäume dahinschritt,
kleine_lord_06_f000131|und er sagte sich, daß dieser besagte Enkel gestern angekommen und zehn gegen eins der Graf infolge des ersten Eindruckes in einer Berserkerwut sei, und doch mußte es sein!|und er sagte sich, daß dieser besagte Enkel gestern angekommen und zehn gegen eins der Graf infolge des ersten Eindruckes in einer Berserkerwut sei, und doch mußte es sein!
kleine_lord_06_f000132|Dann hatte Thomas ihm die Thür geöffnet, und sein erster Blick war auf das merkwürdigste Bild gefallen:|Dann hatte Thomas ihm die Thür geöffnet, und sein erster Blick war auf das merkwürdigste Bild gefallen:
kleine_lord_06_f000133|der Graf in seinem Lehnstuhle, den gichtischen Fuß weich unterstützt, und dicht neben ihm, an das gesunde Knie gelehnt,|der Graf in seinem Lehnstuhle, den gichtischen Fuß weich unterstützt, und dicht neben ihm, an das gesunde Knie gelehnt,
kleine_lord_06_f000134|ein kleiner Junge mit heißen Wangen und vor Uebermut blitzenden Augen.|ein kleiner Junge mit heißen Wangen und vor Uebermut blitzenden Augen.
kleine_lord_06_f000135|Zwei heraus! jauchzte die helle Kinderstimme. Diesmal hast du kein Glück gehabt, gelt?|Zwei heraus! jauchzte die helle Kinderstimme. Diesmal hast du kein Glück gehabt, gelt?
kleine_lord_06_f000136|Da wurden beide Spieler plötzlich des Eintretenden ansichtig.|Da wurden beide Spieler plötzlich des Eintretenden ansichtig.
kleine_lord_06_f000137|Der Graf blickte auf, zog die Augenbrauen zusammen, wie es seine Art war, und zu Mister Mordaunts ungemessenem Erstaunen verdüsterte sich seine Miene keineswegs,|Der Graf blickte auf, zog die Augenbrauen zusammen, wie es seine Art war, und zu Mister Mordaunts ungemessenem Erstaunen verdüsterte sich seine Miene keineswegs,
kleine_lord_06_f000138|als er ihn erkannte, ja er sah sogar aus, als ob er ganz vergessen hätte, daß es zu seinen Lebensgewohnheiten gehörte, Furcht und Schrecken um sich zu verbreiten.|als er ihn erkannte, ja er sah sogar aus, als ob er ganz vergessen hätte, daß es zu seinen Lebensgewohnheiten gehörte, Furcht und Schrecken um sich zu verbreiten.
kleine_lord_06_f000139|Ach! sagte er mit seiner rauhen Stimme, reichte ihm aber mit verhältnismäßiger Artigkeit die Hand. Guten Morgen, Mordaunt. Sie sehen, ich bin auf eine ganz neue Art beschäftigt.|Ach! sagte er mit seiner rauhen Stimme, reichte ihm aber mit verhältnismäßiger Artigkeit die Hand. Guten Morgen, Mordaunt. Sie sehen, ich bin auf eine ganz neue Art beschäftigt.
kleine_lord_06_f000140|Die andre Hand legte er auf Cedriks Schulter – möglich daß sich insgeheim etwas wie Stolz in seinem Herzen regte, solch einen Erben vorstellen zu können.|Die andre Hand legte er auf Cedriks Schulter - möglich daß sich insgeheim etwas wie Stolz in seinem Herzen regte, solch einen Erben vorstellen zu können.
kleine_lord_06_f000141|Dies ist der neue Lord Fauntleroy, fuhr er fort, Fauntleroy, dies ist Mordaunt, unser Geistlicher.|Dies ist der neue Lord Fauntleroy, fuhr er fort, Fauntleroy, dies ist Mordaunt, unser Geistlicher.
kleine_lord_06_f000142|Fauntleroy blickte zu dem steifen, schwarz gekleideten Herrn auf und reichte ihm die kleine Hand.|Fauntleroy blickte zu dem steifen, schwarz gekleideten Herrn auf und reichte ihm die kleine Hand.
kleine_lord_06_f000143|Es freut mich sehr, Ihre Bekanntschaft zu machen, Sir, sagte er, eingedenk der Redensart, mit welcher Mister Hobbs hier und da einen neuen, hochgeschätzten Kunden beehrte.|Es freut mich sehr, Ihre Bekanntschaft zu machen, Sir, sagte er, eingedenk der Redensart, mit welcher Mister Hobbs hier und da einen neuen, hochgeschätzten Kunden beehrte.
kleine_lord_06_f000144|Cedrik war überzeugt, daß man einem Geistlichen gegenüber in der Höflichkeit ein übriges thun müsse.|Cedrik war überzeugt, daß man einem Geistlichen gegenüber in der Höflichkeit ein übriges thun müsse.
kleine_lord_06_f000145|Mister Mordaunt hielt das Händchen einen Augenblick in der seinen und blickte, unwillkürlich lächelnd, in das blühende Kindergesicht.|Mister Mordaunt hielt das Händchen einen Augenblick in der seinen und blickte, unwillkürlich lächelnd, in das blühende Kindergesicht.
kleine_lord_06_f000146|Er hatte den kleinen Gesellen bereits lieb – wie es ja den meisten Menschen erging.|Er hatte den kleinen Gesellen bereits lieb - wie es ja den meisten Menschen erging.
kleine_lord_06_f000147|Nicht die Schönheit und Anmut des Knaben sprach zu seinem Herzen, sondern die Einfachheit und Kindlichkeit,|Nicht die Schönheit und Anmut des Knaben sprach zu seinem Herzen, sondern die Einfachheit und Kindlichkeit,
kleine_lord_06_f000148|die all seine Worte, so wunderlich und komisch dieselben oft waren, liebenswürdig und herzgewinnend machten.|die all seine Worte, so wunderlich und komisch dieselben oft waren, liebenswürdig und herzgewinnend machten.
kleine_lord_06_f000149|Und ich freue mich von ganzem Herzen der Ihrigen, Lord Fauntleroy, erwiderte der Pastor die Anrede.|Und ich freue mich von ganzem Herzen der Ihrigen, Lord Fauntleroy, erwiderte der Pastor die Anrede.
kleine_lord_06_f000150|Sie haben eine lange Reise machen müssen und wir sind alle erfreut, daß Sie dieselbe so glücklich überstanden haben.|Sie haben eine lange Reise machen müssen und wir sind alle erfreut, daß Sie dieselbe so glücklich überstanden haben.
kleine_lord_06_f000151|Die Reise war sehr lang, versetzte Fauntleroy, aber Herzlieb, meine Mama, ist mit mir gekommen, und da bin ich natürlich gar nicht einsam gewesen.|Die Reise war sehr lang, versetzte Fauntleroy, aber Herzlieb, meine Mama, ist mit mir gekommen, und da bin ich natürlich gar nicht einsam gewesen.
kleine_lord_06_f000152|Man ist ja nie einsam, wenn man seine Mutter bei sich hat, und das Schiff war wunderschön.|Man ist ja nie einsam, wenn man seine Mutter bei sich hat, und das Schiff war wunderschön.
kleine_lord_06_f000153|Setzen Sie sich, Mordaunt, sagte der Graf.|Setzen Sie sich, Mordaunt, sagte der Graf.
kleine_lord_06_f000154|Eure Herrlichkeit ist sehr zu beglückwünschen, sprach der Geistliche mit Wärme, indem er sich einen Stuhl zurechtrückte:|Eure Herrlichkeit ist sehr zu beglückwünschen, sprach der Geistliche mit Wärme, indem er sich einen Stuhl zurechtrückte:
kleine_lord_06_f000155|der Graf schien jedoch nicht geneigt, seine Gefühle über den Punkt laut werden zu lassen.|der Graf schien jedoch nicht geneigt, seine Gefühle über den Punkt laut werden zu lassen.
kleine_lord_06_f000156|Er sieht seinem Vater ähnlich, bemerkte er ziemlich kurz angebunden.|Er sieht seinem Vater ähnlich, bemerkte er ziemlich kurz angebunden.
kleine_lord_06_f000157|Hoffentlich führt er sich einmal verständiger auf. Nun, und was gibt's heute, Mordaunt? setzte er hinzu. Wer ist wieder einmal im Elend?|Hoffentlich führt er sich einmal verständiger auf. Nun, und was gibt's heute, Mordaunt? setzte er hinzu. Wer ist wieder einmal im Elend?
kleine_lord_06_f000158|Das klang lange nicht so schlimm, als Mister Mordaunt erwartet hatte, und doch begann er erst nach einigem Zögern sein Anliegen vorzutragen.|Das klang lange nicht so schlimm, als Mister Mordaunt erwartet hatte, und doch begann er erst nach einigem Zögern sein Anliegen vorzutragen.
kleine_lord_06_f000159|Es handelt sich um Higgins – Higgins von der äußeren Farm.|Es handelt sich um Higgins - Higgins von der äußeren Farm.
kleine_lord_06_f000160|Der Mann hat Unglück gehabt. Ich will nicht gerade behaupten, daß er ein sehr guter Wirtschafter ist, allein die Verhältnisse sind derart, daß er zurückkommen mußte.|Der Mann hat Unglück gehabt. Ich will nicht gerade behaupten, daß er ein sehr guter Wirtschafter ist, allein die Verhältnisse sind derart, daß er zurückkommen mußte.
kleine_lord_06_f000161|Er selbst war letzten Herbst krank, dann hatten die Kinder das Scharlachfieber und nun liegt die Frau.|Er selbst war letzten Herbst krank, dann hatten die Kinder das Scharlachfieber und nun liegt die Frau.
kleine_lord_06_f000162|Es handelt sich um den Pachtzins und Newick droht, ihm sofort zu kündigen, wenn er nicht zahlt.|Es handelt sich um den Pachtzins und Newick droht, ihm sofort zu kündigen, wenn er nicht zahlt.
kleine_lord_06_f000163|Die Sache steht natürlich sehr schlimm für ihn, und er kam gestern zu mir mit der Bitte, mich bei Ihnen für die Gewährung einer längern Frist zu verwenden.|Die Sache steht natürlich sehr schlimm für ihn, und er kam gestern zu mir mit der Bitte, mich bei Ihnen für die Gewährung einer längern Frist zu verwenden.
kleine_lord_06_f000164|Das alte Lied, sagte der Graf sichtlich verstimmt.|Das alte Lied, sagte der Graf sichtlich verstimmt.
kleine_lord_06_f000165|Fauntleroy stand zwischen dem Großvater und dem Besucher und war ganz Ohr.|Fauntleroy stand zwischen dem Großvater und dem Besucher und war ganz Ohr.
kleine_lord_06_f000166|Er 'tressierte sich natürlich sofort für Higgins und die Kinder und hätte gar zu gern gewußt, wie viele es ihrer seien, und ob sie sehr krank gewesen.|Er 'tressierte sich natürlich sofort für Higgins und die Kinder und hätte gar zu gern gewußt, wie viele es ihrer seien, und ob sie sehr krank gewesen.
kleine_lord_06_f000167|Higgins ist ein wohlgesinnter Mann, bemerkte der Geistliche, bemüht, sein Gesuch zu unterstützen.|Higgins ist ein wohlgesinnter Mann, bemerkte der Geistliche, bemüht, sein Gesuch zu unterstützen.
kleine_lord_06_f000168|Und ein schlechter Pächter, der immer im Rückstande ist, erwiderte Seine Herrlichkeit. Ich weiß das von Newick.|Und ein schlechter Pächter, der immer im Rückstande ist, erwiderte Seine Herrlichkeit. Ich weiß das von Newick.
kleine_lord_06_f000169|Augenblicklich ist die Not groß. Der Mann hängt sehr an seiner Familie, und wenn ihm die Pacht gekündigt wird, so können sie alle miteinander verhungern.|Augenblicklich ist die Not groß. Der Mann hängt sehr an seiner Familie, und wenn ihm die Pacht gekündigt wird, so können sie alle miteinander verhungern.
kleine_lord_06_f000170|Zudem verordnet der Arzt Wein und kräftige Kost für die Kinder, und Higgins weiß nicht, woher das nehmen.|Zudem verordnet der Arzt Wein und kräftige Kost für die Kinder, und Higgins weiß nicht, woher das nehmen.
kleine_lord_06_f000171|So war's gerade bei Michael, warf Lord Fauntleroy, näher tretend, ein.|So war's gerade bei Michael, warf Lord Fauntleroy, näher tretend, ein.
kleine_lord_06_f000172|Der Graf blickte überrascht auf. Dich hatte ich ganz vergessen, sagte er.|Der Graf blickte überrascht auf. Dich hatte ich ganz vergessen, sagte er.
kleine_lord_06_f000173|Dachte gar nicht mehr daran, daß wir einen Philanthropen im Zimmer haben. Nun, wer war denn Michael? Und das belustigte Lächeln flog wieder über des alten Herrn Gesicht.|Dachte gar nicht mehr daran, daß wir einen Philanthropen im Zimmer haben. Nun, wer war denn Michael? Und das belustigte Lächeln flog wieder über des alten Herrn Gesicht.
kleine_lord_06_f000174|Bridgets Mann, der das Fieber gehabt hat, erklärte Fauntleroy eifrig.|Bridgets Mann, der das Fieber gehabt hat, erklärte Fauntleroy eifrig.
kleine_lord_06_f000175|Du weißt ja doch, Großvater! Der hat auch die Miete nicht zahlen und keinen Wein und solche Sachen kaufen können.|Du weißt ja doch, Großvater! Der hat auch die Miete nicht zahlen und keinen Wein und solche Sachen kaufen können.
